标题,开发商,房子信息,发布信息,售价/万,单价
金兰小区 3室2厅 南,金兰小区 -罗浮广场,3室2厅 | 134.76平米 | 南 | 精装 | 中楼层(共7层)  | 板塔结合,3人关注 / 25天以前发布,64.8,"4,809元/平"
装修精美，户型方正，交通方便，采光充足,通州大道834号 -三岔路口,3室2厅 | 102平米 | 东南 南 | 精装 | 低楼层(共10层)  | 暂无数据,0人关注 / 31天以前发布,45,"4,412元/平"
南客站 花园小区 步梯精装修 三房双卫,兴发茗苑东区 -南客站,3室2厅 | 105平米 | 南 | 精装 | 高楼层(共7层)  | 板塔结合,0人关注 / 26天以前发布,48,"4,572元/平"
一新国际精装大三房双卫，花园小区停车方便，房东急卖,一新国际社区 -南客站,3室2厅 | 63平米 | 西南 西北 | 精装 | 低楼层(共25层)  | 塔楼,0人关注 / 18天以前发布,60.5,"9,604元/平"
石化南苑 4室1厅 东南,石化南苑 -南客站,4室1厅 | 125平米 | 东南 | 精装 | 高楼层(共33层)  | 塔楼,0人关注 / 29天以前发布,82,"6,560元/平"
满五唯一精装大三房双卫，采光通透，户型方正,锦州国际五区 -三里坪,3室2厅 | 119平米 | 东北 | 精装 | 低楼层(共16层)  | 板塔结合,0人关注 / 24天以前发布,65,"5,463元/平"
兴诚·锦云府 4室2厅 东南,兴诚·锦云府 -南客站,4室2厅 | 116.5平米 | 东南 | 毛坯 | 中楼层(共32层)  | 塔楼,0人关注 / 17天以前发布,73,"6,267元/平"
三里坪花园小区，业主精装修，拎包入住,锦州国际二区 -三里坪,3室2厅 | 103平米 | 东南 | 精装 | 中楼层(共8层)  | 板楼,0人关注 / 16天以前发布,48.5,"4,709元/平"
莲花湖新装四房双卫业主急售，有钥匙，随时看房,中联·莲湖广场 -莲花湖,4室2厅 | 125.1平米 | 南 | 精装 | 高楼层(共26层)  | 塔楼,0人关注 / 25天以前发布,113,"9,033元/平"
精装大三房带品牌空调，采光好，朝中庭，电梯直达车库,巨林天下城B区 -南客站,3室1厅 | 89.5平米 | 东南 | 其他 | 低楼层(共26层)  | 塔楼,0人关注 / 17天以前发布,68,"7,598元/平"
西外成熟地段，交通方便，配套齐全,万锦城 -罗浮广场,3室2厅 | 107.79平米 | 东 | 其他 | 中楼层(共27层)  | 塔楼,2人关注 / 14天以前发布,88,"8,165元/平"
小北街三圣宫40号 3室2厅 东南 北,小北街三圣宫40号 -中心广场,3室2厅 | 75平米 | 东南 北 | 精装 | 低楼层(共10层)  | 暂无数据,0人关注 / 13天以前发布,40,"5,334元/平"
升华广场电梯三房，新房装修未住人，直接婚房,美好广场 -南客站,3室1厅 | 116平米 | 东南 南 | 其他 | 高楼层(共30层)  | 塔楼,0人关注 / 15天以前发布,73.8,"6,363元/平"
河景房滨河公园旁，南北朝向，临河，成熟地段花园小区,锦州国际五区 -三里坪,3室2厅 | 98.9平米 | 南 | 精装 | 低楼层(共20层)  | 板塔结合,0人关注 / 14天以前发布,65.8,"6,654元/平"
251小区 3室2厅 南,251小区 -中心广场,3室2厅 | 103.11平米 | 南 | 其他 | 中楼层(共12层)  | 板楼,1人关注 / 15天以前发布,57,"5,529元/平"
达州地区邮电局张家湾住宅区 3室2厅 南,达州地区邮电局张家湾住宅区 -老车坝,3室2厅 | 118平米 | 南 | 简装 | 中楼层(共8层)  | 板楼,1人关注 / 10天以前发布,29.8,"2,526元/平"
花园小区采光视野好，有停车场停车方便，交通便利,龙脉·江南世家 -三里坪,3室2厅 | 121.29平米 | 东南 | 精装 | 低楼层(共27层)  | 板塔结合,3人关注 / 3个月以前发布,49,"4,040元/平"
交通方便，采光充足，户型好，带院停车，电梯房,花溪街18号 -万达路,5室2厅 | 161平米 | 东南 | 精装 | 高楼层(共10层)  | 板楼,0人关注 / 26天以前发布,76,"4,721元/平"
廣電花園 3室1厅 西南,廣電花園 -罗浮广场,3室1厅 | 115平米 | 西南 | 精装 | 低楼层(共22层)  | 塔楼,0人关注 / 8天以前发布,92,"8,000元/平"
州一豪庭 3室2厅 南,州一豪庭 -金龙大道,3室2厅 | 106平米 | 南 | 精装 | 高楼层(共26层)  | 塔楼,0人关注 / 7天以前发布,80,"7,548元/平"
棕榈岛 3室2厅 东南,棕榈岛 -罗浮广场,3室2厅 | 95平米 | 东南 | 简装 | 低楼层(共25层)  | 塔楼,0人关注 / 6天以前发布,72.8,"7,664元/平"
天誉誉府 3室2厅 东,天誉誉府 -莲花湖,3室2厅 | 126.45平米 | 东 | 其他 | 高楼层(共32层)  | 板塔结合,0人关注 / 8天以前发布,86,"6,802元/平"
满五 位置好  采光好 三房精装,园丁巷 -万达路,3室2厅 | 103平米 | 东南 南 | 精装 | 高楼层(共12层)  | 板楼,0人关注 / 3天以前发布,34,"3,301元/平"
四房双卫花园洋房，户型方正 诚心出售,中梁首府 -莲花湖,4室2厅 | 127平米 | 南 | 其他 | 中楼层(共12层)  | 塔楼,0人关注 / 4天以前发布,93,"7,323元/平"
院棚巷34号 3室2厅 西南,院棚巷34号 -未知商圈,3室2厅 | 106平米 | 西南 | 其他 | 中楼层(共9层)  | 板楼,0人关注 / 7天以前发布,46,"4,340元/平"
逸夫电梯1房精装修家当全出入方便,城市之星 -南客站,1室1厅 | 35.32平米 | 东 | 精装 | 中楼层(共30层)  | 塔楼,0人关注 / 2个月以前发布,25,"7,079元/平"
地理位置好，位于市区，采光户型好，交通方便,珠市街72号 -未知商圈,3室2厅 | 86平米 | 东南 | 精装 | 中楼层(共7层)  | 暂无数据,0人关注 / 9天以前发布,38,"4,419元/平"
罗浮南山美庐花园小区小高层，房本满五，地段成熟,罗浮南山美庐 -南客站,4室2厅 | 130.65平米 | 南 | 毛坯 | 中楼层(共11层)  | 塔楼,3人关注 / 3个月以前发布,88,"6,736元/平"
成熟地段，此小区安静，装修精美，采光充足,曹家梁社区四小区 -万达路,3室2厅 | 81平米 | 东南 | 其他 | 中楼层(共11层)  | 暂无数据,0人关注 / 1个月以前发布,27,"3,334元/平"
房东急卖，大三房，证满两年，户型方正，采光好,侨兴·中华花园东区 -南客站,3室2厅 | 86平米 | 南 | 其他 | 高楼层(共32层)  | 塔楼,0人关注 / 1个月以前发布,58.7,"6,826元/平"
仁和春天国际花园 3室2厅 东南,仁和春天国际花园 -金龙大道,3室2厅 | 81平米 | 东南 | 精装 | 中楼层(共30层)  | 板塔结合,0人关注 / 21天以前发布,70,"8,642元/平"
南外品质小区，房龄新采光好，精装,一新国际社区 -南客站,3室2厅 | 81平米 | 南 | 精装 | 高楼层(共23层)  | 塔楼,1人关注 / 29天以前发布,56.5,"6,976元/平"
升华商圈花园小区传世启悦府精装修三房双卫,传世启悦府 -南客站,3室1厅 | 116.71平米 | 东南 西南 | 精装 | 低楼层(共32层)  | 暂无数据,0人关注 / 26天以前发布,88.8,"7,609元/平"
小高层精装三房，花园小区，地段好配套全,悦城 -三里坪,3室2厅 | 89.17平米 | 东南 南 | 精装 | 高楼层(共10层)  | 塔楼,1人关注 / 31天以前发布,57,"6,393元/平"
凤翎锦绣 3室2厅 东南 西,凤翎锦绣 -北客站,3室2厅 | 104平米 | 东南 西 | 其他 | 低楼层(共33层)  | 板楼,0人关注 / 25天以前发布,78,"7,500元/平"
侨兴时代广场B区 3室2厅 南,侨兴时代广场B区 -南客站,3室2厅 | 90平米 | 南 | 其他 | 中楼层(共6层)  | 塔楼,0人关注 / 21天以前发布,51,"5,667元/平"
公园电梯房，人车分流，配套成熟，证件齐全,中央公园 -南客站,4室2厅 | 112.89平米 | 南 | 精装 | 中楼层(共30层)  | 塔楼,0人关注 / 26天以前发布,82,"7,264元/平"
西外新区中石油小区 4室2厅 南,西外新区中石油小区 -金龙大道,4室2厅 | 127平米 | 南 | 简装 | 中楼层(共18层)  | 板楼,0人关注 / 23天以前发布,75,"5,906元/平"
繁华地段，步梯低楼层，小区环境安静,怡苑新村 -南客站,3室2厅 | 98.6平米 | 东南 | 简装 | 中楼层(共7层)  | 平房,0人关注 / 16天以前发布,39,"3,956元/平"
华南花园 3室2厅 南,华南花园 -南客站,3室2厅 | 105平米 | 南 | 精装 | 高楼层(共19层)  | 板塔结合,0人关注 / 25天以前发布,68,"6,477元/平"
龙郡外滩 4室2厅 东南,龙郡外滩 -南坝,4室2厅 | 150平米 | 东南 | 其他 | 高楼层(共12层)  | 板塔结合,0人关注 / 17天以前发布,88.8,"5,920元/平"
房东急售三号干道升华商圈 三房,华南花园 -南客站,3室1厅 | 87平米 | 东南 | 精装 | 低楼层(共29层)  | 板塔结合,0人关注 / 19天以前发布,51,"5,863元/平"
交通方便，低楼层，，，，，，户型方正，,锅厂梁巷49号  -老车坝,1室1厅 | 40平米 | 东南 | 精装 | 低楼层(共6层)  | 暂无数据,0人关注 / 21天以前发布,18,"4,500元/平"
西外花园小区，电梯房套二，户型巴适。,西城名苑 -金龙大道,2室2厅 | 78.77平米 | 东南 | 简装 | 中楼层(共33层)  | 塔楼,0人关注 / 19天以前发布,60,"7,618元/平"
机关幼儿园旁，配套齐全，业主急卖,福音巷142号 -老车坝,2室2厅 | 75平米 | 东南 | 简装 | 高楼层(共9层)  | 暂无数据,0人关注 / 29天以前发布,21,"2,800元/平"
低楼层，不爬坡，交通方便，户型方正，装修精美,锅厂梁巷49号  -老车坝,2室1厅 | 50平米 | 东南 | 精装 | 低楼层(共6层)  | 暂无数据,0人关注 / 21天以前发布,22,"4,400元/平"
通锦·国际广场 2室2厅 南,通锦·国际广场 -罗浮广场,2室2厅 | 75平米 | 南 | 精装 | 高楼层(共27层)  | 塔楼,1人关注 / 20天以前发布,54,"7,200元/平"
食品公司家属院 2室1厅 南 北,食品公司家属院 -老车坝,2室1厅 | 61平米 | 南 北 | 其他 | 低楼层(共10层)  | 暂无数据,0人关注 / 13天以前发布,22,"3,607元/平"
出行方便小区，中间楼层，老少皆宜,侨兴时代广场B区 -南客站,3室1厅 | 89.6平米 | 东 西 | 简装 | 中楼层(共6层)  | 塔楼,0人关注 / 29天以前发布,47,"5,246元/平"
福临苑 3室2厅 东 东南,福临苑 -老车坝,3室2厅 | 87平米 | 东 东南 | 精装 | 高楼层(共17层)  | 塔楼,1人关注 / 28天以前发布,45,"5,173元/平"
罗浮就近万人小区，小区树林遍布，充满负氧离子,天恒花园 -罗浮广场,3室2厅 | 145.68平米 | 东南 | 精装 | 高楼层(共12层)  | 塔楼,0人关注 / 3个月以前发布,76,"5,217元/平"
邮政花园 4室2厅 东南,邮政花园 -西客站,4室2厅 | 166平米 | 东南 | 其他 | 中楼层(共16层)  | 板塔结合,0人关注 / 11天以前发布,65,"3,916元/平"
三房单卫，楼层视野相当好，采光好，通风效果好,南城茗居 -三里坪,3室2厅 | 107.66平米 | 东南 | 其他 | 低楼层(共26层)  | 塔楼,24人关注 / 3个月以前发布,39,"3,623元/平"
御南苑 4室2厅 东南,御南苑 -南客站,4室2厅 | 140.76平米 | 东南 | 精装 | 中楼层(共19层)  | 塔楼,0人关注 / 1个月以前发布,69.8,"4,959元/平"
莲花湖中梁四房双卫 南 户型方正 明厨明卫,中梁首府 -莲花湖,4室2厅 | 117平米 | 南 | 毛坯 | 高楼层(共34层)  | 塔楼,9人关注 / 一年前发布,78,"6,667元/平"
升华商圈  配套设施齐全出行方便  地势平坦,兴诚·锦云府 -南客站,3室2厅 | 90.1平米 | 南 | 毛坯 | 中楼层(共33层)  | 暂无数据,1人关注 / 1个月以前发布,59.9,"6,649元/平"
三里坪县医院旁，精装正三房，拎包入住,汉兴街311号 -万达路,3室2厅 | 100平米 | 东南 西南 | 精装 | 中楼层(共8层)  | 板楼,3人关注 / 4个月以前发布,41.8,"4,180元/平"
房东急售！！！！地段好，交通方便，采光好,金山阁 -三里坪,3室2厅 | 96平米 | 南 | 精装 | 低楼层(共9层)  | 板塔结合,0人关注 / 3个月以前发布,40,"4,167元/平"
南客站繁华地段步梯精装修直接拎包入住,韩家巷 -南客站,3室2厅 | 109平米 | 东南 南 | 精装 | 高楼层(共8层)  | 暂无数据,0人关注 / 1个月以前发布,46,"4,221元/平"
领域广场旁电梯三房，业主精装修，拎包入住,怡鑫苑 -三里坪,3室1厅 | 80平米 | 东南 西北 | 精装 | 高楼层(共30层)  | 板楼,1人关注 / 1个月以前发布,50.8,"6,350元/平"
南客站花园小区，原房东自己精装修的，急卖。,一新国际社区 -南客站,3室1厅 | 103平米 | 东南 | 精装 | 低楼层(共28层)  | 塔楼,0人关注 / 3个月以前发布,73,"7,088元/平"
升华广场 花园小区 地势平坦 清水房,升华广场小区 -南客站,3室2厅 | 130平米 | 南 | 毛坯 | 中楼层(共19层)  | 板塔结合,1人关注 / 1个月以前发布,78.8,"6,062元/平"
罗浮商圈高档独栋品质小区，安家好选择,滨江四季花城二期A区 -罗浮广场,3室2厅 | 90平米 | 东南 | 毛坯 | 中楼层(共31层)  | 板楼,12人关注 / 5个月以前发布,67,"7,445元/平"
江湾城六期 毛坯大四房 户型方正,江湾城澜岸 -江湾城,4室2厅 | 116平米 | 西北 | 毛坯 | 中楼层(共34层)  | 塔楼,12人关注 / 9个月以前发布,75,"6,466元/平"
此房地段好 采光好.视野开阔.楼间距宽.总价低的大三房,堰湾新区 -罗浮广场,3室1厅 | 115平米 | 东南 南 | 毛坯 | 中楼层(共33层)  | 塔楼,1人关注 / 1个月以前发布,62,"5,392元/平"
2梯4户.停车免费.交通便利.读书近.诚心出售,西外新区中石油小区 -金龙大道,4室2厅 | 138平米 | 南 | 简装 | 中楼层(共18层)  | 平房,14人关注 / 7个月以前发布,76,"5,508元/平"
罗浮·道城 3室2厅 东南,罗浮·道城 -西客站,3室2厅 | 107.32平米 | 东南 | 精装 | 低楼层(共25层)  | 板楼,1人关注 / 2个月以前发布,66,"6,150元/平"
河景房现房，大开发商，物业有保障，环境优美支持按揭,碧桂园珑樾湾 -塔坨,3室2厅 | 101平米 | 南 | 毛坯 | 中楼层(共33层)  | 板塔结合,3人关注 / 5个月以前发布,71,"7,030元/平"
袁家巷176号 4室2厅 南,袁家巷176号 -南客站,4室2厅 | 119平米 | 南 | 精装 | 高楼层(共10层)  | 暂无数据,0人关注 / 1个月以前发布,59.8,"5,026元/平"
一号干道精装三房双卫，低总价，位置好，出行方便,金盾路达川区分局家属院 -南客站,3室2厅 | 117平米 | 东南 | 精装 | 低楼层(共8层)  | 板塔结合,1人关注 / 1个月以前发布,52,"4,445元/平"
房子格局好，采光充足，视野好，光线好,仁和春天国际花园 -金龙大道,4室1厅 | 106平米 | 南 | 毛坯 | 高楼层(共30层)  | 板塔结合,3人关注 / 2个月以前发布,74,"6,982元/平"
愿所得皆所期，所失皆无碍。。。。,学府雅苑 -莲花湖,3室2厅 | 106平米 | 西南 | 精装 | 中楼层(共22层)  | 板楼,2人关注 / 2个月以前发布,69.8,"6,585元/平"
侨兴新城C区 2室2厅 南,侨兴新城C区 -中心广场,2室2厅 | 76平米 | 南 | 其他 | 高楼层(共26层)  | 塔楼,0人关注 / 18天以前发布,49.8,"6,553元/平"
七小，达一中旁，离广场近，交通方便，户型方正,李家巷53号 -中心广场,2室1厅 | 56平米 | 南 | 其他 | 中楼层(共11层)  | 板楼,0人关注 / 24天以前发布,21.8,"3,893元/平"
堰湾新区 3室2厅 南,堰湾新区 -罗浮广场,3室2厅 | 95平米 | 南 | 其他 | 高楼层(共28层)  | 塔楼,0人关注 / 21天以前发布,62,"6,527元/平"
江景大平层，全屋品牌家电.可看凤凰山视野开阔,洲河湾 -三岔路口,4室2厅 | 160平米 | 南 | 精装 | 低楼层(共32层)  | 塔楼,0人关注 / 21天以前发布,99.9,"6,244元/平"
此房精装修，户型方正，采光好，小区配套齐全,富麗楠山 -三岔路口,3室2厅 | 108平米 | 东 | 其他 | 高楼层(共20层)  | 板楼,0人关注 / 25天以前发布,53.9,"4,991元/平"
达州市通川区级机关生活小区 3室2厅 东南,达州市通川区级机关生活小区 -老车坝,3室2厅 | 91平米 | 东南 | 其他 | 中楼层(共8层)  | 板塔结合,0人关注 / 27天以前发布,54,"5,935元/平"
滨江·名都城 2室2厅 南,滨江·名都城 -中心广场,2室2厅 | 66平米 | 南 | 精装 | 中楼层(共30层)  | 塔楼,1人关注 / 12天以前发布,42,"6,364元/平"
莲花湖高品质标准四房双卫中间楼层诚心出售,天誉誉府 -莲花湖,4室2厅 | 118.42平米 | 西 | 毛坯 | 中楼层(共33层)  | 暂无数据,5人关注 / 3个月以前发布,85,"7,178元/平"
房东诚意出售，看房方便，配套齐全，,中梁首府 -莲花湖,4室2厅 | 142.75平米 | 南 | 其他 | 低楼层(共12层)  | 塔楼,10人关注 / 9个月以前发布,95.5,"6,691元/平"
此房满二唯一，楼层好，视野宽阔，采光充足，配套齐全,金马巷105号 -老车坝,3室2厅 | 130平米 | 东南 北 | 其他 | 中楼层(共20层)  | 塔楼,0人关注 / 1个月以前发布,58.8,"4,524元/平"
双狮建材商场 3室2厅 南,双狮建材商场 -老车坝,3室2厅 | 103平米 | 南 | 其他 | 高楼层(共10层)  | 暂无数据,0人关注 / 2个月以前发布,42,"4,078元/平"
国际新城精装三房，中间楼层，南北通透。,国际新城 -罗浮广场,4室2厅 | 118平米 | 南 北 | 简装 | 中楼层(共7层)  | 板楼,1人关注 / 4个月以前发布,60,"5,085元/平"
莲花湖洋房户型，业主诚心出售！~,澜湖郡 -莲花湖,4室2厅 | 127平米 | 南 | 毛坯 | 中楼层(共9层)  | 板楼,1人关注 / 1个月以前发布,95,"7,481元/平"
廣電花園 3室1厅 西南,廣電花園 -罗浮广场,3室1厅 | 112平米 | 西南 | 精装 | 高楼层(共17层)  | 塔楼,33人关注 / 7个月以前发布,65,"5,804元/平"
堰湾新区 3室1厅 东,堰湾新区 -罗浮广场,3室1厅 | 95平米 | 东 | 其他 | 中楼层(共28层)  | 塔楼,2人关注 / 3个月以前发布,53,"5,579元/平"
月亮公寓 3室2厅 东南,月亮公寓 -未知商圈,3室2厅 | 116平米 | 东南 | 简装 | 高楼层(共8层)  | 暂无数据,0人关注 / 4个月以前发布,26,"2,242元/平"
莲花湖楼中楼户型，三梯三户，不打挤。,天誉誉府 -莲花湖,4室1厅 | 139平米 | 东 南 | 毛坯 | 中楼层(共27层)  | 塔楼,5人关注 / 10个月以前发布,98,"7,051元/平"
长田新苑 3室2厅 南 北,长田新苑 -梨树坪,3室2厅 | 104平米 | 南 北 | 其他 | 中楼层(共33层)  | 塔楼,7人关注 / 3个月以前发布,24.4,"2,347元/平"
天誉誉府 4室2厅 南,天誉誉府 -莲花湖,4室2厅 | 142平米 | 南 | 其他 | 低楼层(共31层)  | 塔楼,0人关注 / 1个月以前发布,106,"7,465元/平"
西外摩尔百货，世纪隆旁，金龙大道出行方便，拎包入住,通锦·国际广场 -罗浮广场,3室2厅 | 111平米 | 东 | 精装 | 中楼层(共28层)  | 塔楼,0人关注 / 1个月以前发布,88,"7,928元/平"
恒大·雍河湾 3室2厅 西南,恒大·雍河湾 -塔坨,3室2厅 | 116.67平米 | 西南 | 其他 | 中楼层(共34层)  | 塔楼,0人关注 / 8个月以前发布,88,"7,543元/平"
棕榈岛 3室1厅 南,棕榈岛 -罗浮广场,3室1厅 | 123平米 | 南 | 精装 | 中楼层(共30层)  | 塔楼,6人关注 / 5个月以前发布,89,"7,236元/平"
此房地段好，配套齐全，低楼层，采光充足,园丁巷24号 -万达路,3室1厅 | 66.88平米 | 东 | 其他 | 低楼层(共6层)  | 暂无数据,4人关注 / 6个月以前发布,43,"6,430元/平"
小高层标准三房 仁和新城旁 诚心出售,金科·集美天宸 -金龙大道,3室1厅 | 81平米 | 南 北 | 毛坯 | 高楼层(共18层)  | 暂无数据,0人关注 / 1个月以前发布,60,"7,408元/平"
来凤路精装三房 三圣宫门牌位置，楼下步行街,桑树巷100号 -中心广场,3室2厅 | 83平米 | 南 | 精装 | 高楼层(共9层)  | 板塔结合,1人关注 / 2个月以前发布,28,"3,374元/平"
一新国际社区 3室1厅 东南,一新国际社区 -南客站,3室1厅 | 84平米 | 东南 | 其他 | 高楼层(共28层)  | 塔楼,0人关注 / 1个月以前发布,65.8,"7,834元/平"
电梯通川桥头 河景房，精装四房，拎包入住,关家院小区 -三里坪,4室2厅 | 140平米 | 东南 南 | 精装 | 中楼层(共12层)  | 板楼,1人关注 / 1个月以前发布,57,"4,072元/平"
莲花湖品质楼盘、中间好楼层、视野好房东诚意出售,天誉誉府 -莲花湖,4室2厅 | 141平米 | 南 | 毛坯 | 低楼层(共31层)  | 塔楼,10人关注 / 4个月以前发布,102,"7,235元/平"
天合佳苑 3室1厅 南,天合佳苑 -南客站,3室1厅 | 90平米 | 南 | 其他 | 中楼层(共25层)  | 塔楼,0人关注 / 3个月以前发布,61,"6,778元/平"
小区新、地势平坦，精装拧包入住，有完善的生活配套,石化南苑 -南客站,4室2厅 | 125平米 | 东 | 其他 | 低楼层(共33层)  | 塔楼,0人关注 / 1个月以前发布,81,"6,480元/平"
恒大·雍河湾 4室1厅 南,恒大·雍河湾 -塔坨,4室1厅 | 137平米 | 南 | 其他 | 低楼层(共34层)  | 塔楼,6人关注 / 7个月以前发布,76,"5,548元/平"
一新国际社区 3室1厅 东,一新国际社区 -南客站,3室1厅 | 80平米 | 东 | 精装 | 高楼层(共27层)  | 塔楼,0人关注 / 1个月以前发布,59.8,"7,475元/平"
精装自带100平私家平台，小区平坦地理位置佳,时兴尚上城 -南客站,3室2厅 | 93.04平米 | 东南 北 | 精装 | 低楼层(共32层)  | 塔楼,1人关注 / 3个月以前发布,67,"7,202元/平"
此房方正     适合各种人群居住,一品南庭 -南客站,3室1厅 | 74平米 | 北 | 精装 | 低楼层(共22层)  | 塔楼,0人关注 / 1个月以前发布,50,"6,757元/平"
房主诚心出售，看过的都说不错，品牌家具家电。,罗浮第壹区 -罗浮广场,3室1厅 | 126平米 | 东南 南 | 精装 | 高楼层(共30层)  | 塔楼,2人关注 / 6个月以前发布,108,"8,572元/平"
西外 花园小区 精装大3房 拎包入住,巨鑫园 -罗浮广场,3室2厅 | 148.5平米 | 北 | 其他 | 低楼层(共19层)  | 塔楼,0人关注 / 1个月以前发布,79,"5,320元/平"
湿地公园旁 恒大雍河湾 精装大三房 朝小区中庭,恒大·雍河湾 -塔坨,3室2厅 | 119.01平米 | 南 | 精装 | 低楼层(共34层)  | 塔楼,0人关注 / 1个月以前发布,89,"7,479元/平"
南外平地小区三房 地势平坦 出行便捷,御南苑 -南客站,3室2厅 | 103平米 | 东南 南 | 其他 | 高楼层(共19层)  | 塔楼,0人关注 / 2个月以前发布,54.8,"5,321元/平"
中梁首府 3室2厅 南,中梁首府 -莲花湖,3室2厅 | 93平米 | 南 | 精装 | 中楼层(共34层)  | 塔楼,1人关注 / 1个月以前发布,83,"8,925元/平"
莲花湖品质住宅区、产权清晰无按揭、成功人士的象征,天誉誉府 -莲花湖,4室2厅 | 139平米 | 南 | 其他 | 中楼层(共27层)  | 塔楼,2人关注 / 4个月以前发布,103,"7,411元/平"
