标题,开发商,房子信息,发布信息,售价/万,单价
新上优质大四房 高楼层采光好 直望北龙湖 视野好,鑫苑名家 -北站,4室2厅 | 190.77平米 | 南 北 | 简装 | 中楼层(共23层)  | 板塔结合,2人关注 / 9天以前发布,265,"13,892元/平"
君悦城 4室2厅 南 北,君悦城 -财富广场,4室2厅 | 139.63平米 | 南 北 | 其他 | 低楼层(共33层)  | 塔楼,0人关注 / 6天以前发布,232,"16,616元/平"
房子是总高6层的，一梯两户，南边带大阳台，得房率高,建业城市花园 -燕庄,3室2厅 | 144平米 | 南 北 | 精装 | 中楼层(共7层)  | 板楼,0人关注 / 5天以前发布,196,"13,612元/平"
郑汴路未来路 兰桂 两室 双气 南户 适合居住,兰桂小区 -凤凰路,2室1厅 | 74.58平米 | 南 | 精装 | 低楼层(共22层)  | 塔楼,4人关注 / 14天以前发布,71,"9,520元/平"
此房满五年，没有贷款，配套设施全，交通便利,青年居易 -省中医院,1室1厅 | 56平米 | 东南 | 精装 | 低楼层(共6层)  | 板楼,1人关注 / 10天以前发布,41,"7,322元/平"
文化路，精装大三室，可随时网签，过户费用低。,文化公寓 -新郑城区,3室2厅 | 140.51平米 | 南 北 | 精装 | 高楼层(共6层)  | 平房,0人关注 / 11天以前发布,52,"3,701元/平"
郑东新区，8号地铁口，业主急售，户型方正,丹桂苑 -象湖,4室1厅 | 157.86平米 | 南 | 毛坯 | 低楼层(共31层)  | 板楼,4人关注 / 15天以前发布,115.8,"7,336元/平"
位于人民路北侧盛世龙城西区中间楼层对外出售,盛世龙城西区 -新郑城区,3室2厅 | 129.66平米 | 南 北 | 毛坯 | 中楼层(共17层)  | 暂无数据,0人关注 / 15天以前发布,74,"5,708元/平"
：丰庆路正商园田花园 精装三房 中低楼层,正商园田花园 -海洋馆,3室2厅 | 116.77平米 | 南 | 精装 | 低楼层(共21层)  | 板塔结合,0人关注 / 10天以前发布,118,"10,106元/平"
象湖旁 精装三房，契税满二，中间楼层，业主诚心出售,融创美盛象湖一号一期 -白沙,3室2厅 | 125.02平米 | 南 | 精装 | 中楼层(共21层)  | 板楼,4人关注 / 12天以前发布,170,"13,598元/平"
地税局家属楼 3室2厅 南 北,地税局家属楼 -荥阳城区,3室2厅 | 143平米 | 南 北 | 精装 | 高楼层(共6层)  | 板楼,0人关注 / 8天以前发布,51,"3,567元/平"
房子是电梯房，小区环境还可以，出行方便,启福华都 -电力新村,3室2厅 | 145.36平米 | 南 北 | 精装 | 中楼层(共17层)  | 板塔结合,1人关注 / 11天以前发布,258,"17,750元/平"
成熟主城区，品质小区，精装修，人车分流，产权清晰,亚星盛世雅居 -二七万达,4室2厅 | 158.65平米 | 南 北 | 精装 | 中楼层(共31层)  | 板塔结合,1人关注 / 16天以前发布,335,"21,116元/平"
广电总局家属院 小高层 带露台 精装修 户型好,天佑小区 -燕庄,4室2厅 | 165.33平米 | 南 北 | 精装 | 中楼层(共18层)  | 板楼,0人关注 / 11天以前发布,265,"16,029元/平"
经一路11号院 3室1厅 南,经一路11号院 -省人民医院,3室1厅 | 47.01平米 | 南 | 简装 | 低楼层(共4层)  | 板楼,1人关注 / 6天以前发布,46,"9,786元/平"
未来的旅游板块！一楼带30平院子，另包含70平地下室！,中建文苑 -商代遗址,3室2厅 | 129.61平米 | 南 北 | 简装 | 低楼层(共11层)  | 板楼,0人关注 / 15天以前发布,228,"17,592元/平"
双气 低楼层 户型好 采光好 业主诚售,司家庄西街5号院 -紫荆山公园,3室1厅 | 82.7平米 | 南 北 | 简装 | 低楼层(共6层)  | 暂无数据,1人关注 / 22天以前发布,90,"10,883元/平"
金水区田园新城，新装修三房，中间楼层，4号地铁口,田园新城 -索凌路北段,3室2厅 | 85.27平米 | 南 北 | 精装 | 中楼层(共18层)  | 板楼,1人关注 / 20天以前发布,140,"16,419元/平"
龙祥苑 小区中间位置不临街不临路 步梯二楼,龙祥苑 -通泰路,3室2厅 | 123.36平米 | 南 北 | 简装 | 低楼层(共7层)  | 板楼,0人关注 / 18天以前发布,238,"19,294元/平"
二环内地铁口大四房，199平 ，满五唯一，总价低,蓝钻 -蓝钻商圈,4室1厅 | 199.29平米 | 南 | 其他 | 中楼层(共18层)  | 塔楼,0人关注 / 25天以前发布,215,"10,789元/平"
真正的南北通透，采光无遮挡，顶层  安静睡眠好,荣邦城 -高新外国语,3室2厅 | 124.95平米 | 东 南 北 | 精装 | 高楼层(共27层)  | 板楼,3人关注 / 28天以前发布,145,"11,605元/平"
陇海路大润发方圆创世大三房两梯两户南北通透,方圆创世 -紫荆山,3室2厅 | 132.76平米 | 南 北 | 简装 | 高楼层(共29层)  | 板楼,2人关注 / 16天以前发布,148.8,"11,209元/平"
C B D旁 滨河绿苑 三居室 双气  临河观景房,滨河绿苑 -燕庄,3室1厅 | 115.68平米 | 南 | 毛坯 | 30层  | 板塔结合,2人关注 / 19天以前发布,150,"12,967元/平"
亚星星苑 4室1厅 南 北,亚星星苑 -兴华南街,4室1厅 | 120.94平米 | 南 北 | 简装 | 中楼层(共34层)  | 板塔结合,3人关注 / 29天以前发布,145,"11,990元/平"
南北通透大复式，不临街不临路，红本住宅,海悦华府 -二七万达,7室2厅 | 160.8平米 | 南 北 | 简装 | 高楼层(共17层)  | 板楼,1人关注 / 2个月以前发布,159.6,"9,926元/平"
一楼带院子 金水路中州大道西南 客厅挑空复式 精装修,新鑫花园(金水) -燕庄,5室2厅 | 349.71平米 | 南 北 | 精装 | 低楼层(共11层)  | 板楼,252人关注 / 一年前发布,435,"12,439元/平"
东苑南北通透顶层复式四房带露台，精装修拎包入住。,鑫苑中央花园东区 -通泰路,4室2厅 | 135.13平米 | 南 北 | 精装 | 高楼层(共6层)  | 板楼,2人关注 / 8个月以前发布,229,"16,947元/平"
双地铁口 一 二楼复式，二环边，户型通透，急售,市场街74-82号 -汽车西站,8室4厅 | 305.3平米 | 南 北 | 其他 | 低楼层(共7层)  | 板楼,47人关注 / 一年前发布,223,"7,305元/平"
鑫苑名家 电梯挑空大复式 16年新装修  负一层停车场,鑫苑名家 -北站,5室3厅 | 307.51平米 | 南 北 | 精装 | 高楼层(共22层)  | 板塔结合,107人关注 / 一年前发布,419,"13,626元/平"
此房客厅带阳台，位置好，出行方便交通便利,北晨颐商苑 -陈寨,5室2厅 | 231.66平米 | 南 东南 | 其他 | 高楼层(共6层)  | 板楼,0人关注 / 2个月以前发布,150,"6,476元/平"
复式四房，南北通透，楼层居中，业主诚售。,滨河苑 -未来大厦,4室2厅 | 199.97平米 | 南 北 | 简装 | 中楼层(共7层)  | 板楼,260人关注 / 一年前发布,126,"6,301元/平"
二环边双气、人车分流、标准南北通透三居,阳光城9号院 -阳光城,3室2厅 | 89.62平米 | 南 北 | 精装 | 中楼层(共32层)  | 板楼,2人关注 / 23天以前发布,151,"16,849元/平"
中行家属院 低楼层 大两房 看房有钥匙 诚意出售,中行家属院 -科技市场,2室2厅 | 90.09平米 | 南 北 | 简装 | 低楼层(共7层)  | 板楼,1人关注 / 8天以前发布,227,"25,198元/平"
2014年  40年土地使用权  办公性质商品房   也可自住,乐丁广场 -五龙口,2室1厅 | 81.46平米 | 南 | 简装 | 中楼层(共15层)  | 塔楼,0人关注 / 7天以前发布,50,"6,138元/平"
逸品春天 3室2厅 西,逸品春天 -中牟城区,3室2厅 | 140.4平米 | 西 | 简装 | 中楼层(共7层)  | 板塔结合,0人关注 / 11天以前发布,63,"4,488元/平"
天明森林国际公寓 1室1厅 南,天明森林国际公寓 -绿茵广场,1室1厅 | 51.72平米 | 南 | 简装 | 中楼层(共26层)  | 板塔结合,1人关注 / 17天以前发布,51.7,"9,997元/平"
中间楼层，业主急售看房方便，无抵押贷款,华启金悦府 -郑州东站,2室1厅 | 88.85平米 | 南 | 简装 | 中楼层(共34层)  | 板楼,1人关注 / 7天以前发布,180,"20,259元/平"
开祥御龙城 1室1厅 东,开祥御龙城 -绿茵广场,1室1厅 | 55.74平米 | 东 | 简装 | 低楼层(共33层)  | 塔楼,0人关注 / 5天以前发布,65,"11,662元/平"
双地地口 满五年业主诚心出售 温馨楼层 居家一定要看,永恒理想公元 -东建材,2室2厅 | 87.42平米 | 南 | 其他 | 高楼层(共24层)  | 塔楼,0人关注 / 16天以前发布,125,"14,299元/平"
小区环境优美，交通很便利。配套成熟，满足日常需要。,锦龙居小区 -正商城,2室1厅 | 71.01平米 | 南 西南 西 | 简装 | 低楼层(共6层)  | 板楼,0人关注 / 10天以前发布,65,"9,154元/平"
地铁口 精装修两房 中间楼层朝南采光好 满五唯一,迎宾路3号 -北大学城,2室2厅 | 86.34平米 | 南 | 精装 | 中楼层(共23层)  | 塔楼,0人关注 / 5天以前发布,125,"14,478元/平"
此房位置优越 健康路优胜北路、年代新、双气精装修,上都国际 -大石桥,2室1厅 | 78.18平米 | 西南 | 精装 | 高楼层(共30层)  | 塔楼,1人关注 / 13天以前发布,95,"12,152元/平"
此房拎包入住三室两厅两卫的户型边户通透全明,富源花都 -中牟城区,3室2厅 | 107平米 | 南 北 | 其他 | 中楼层(共7层)  | 板楼,0人关注 / 11天以前发布,65,"6,075元/平"
一楼婚房 全新装修 随时看房 标准2房带书房 无个税,绿洲花园1号院 -五龙口,2室1厅 | 84.27平米 | 南 | 精装 | 15层  | 塔楼,0人关注 / 7天以前发布,90,"10,680元/平"
诚心出售，楼层好，户型方正，满五不唯一,天伦水晶城 -陈寨,3室2厅 | 118.87平米 | 南 | 简装 | 高楼层(共30层)  | 板塔结合,2人关注 / 20天以前发布,132,"11,105元/平"
万达三房，南北通透一梯一户，满五唯一税费少，楼层好,万达3号院 -二七万达,3室2厅 | 140.11平米 | 东 南 北 | 精装 | 33层  | 板塔结合,0人关注 / 22天以前发布,240,"17,130元/平"
满五年唯一住房，房产权清晰，户型方正，采光好,姿华文雅新世界四期 -绿茵广场,3室1厅 | 110平米 | 南 北 | 精装 | 6层  | 板楼,0人关注 / 10天以前发布,137,"12,455元/平"
东风路省中医院 04年小区已改暖气 低楼层总价低的两室,香桔市 -省中医院,2室1厅 | 66.48平米 | 南 | 其他 | 低楼层(共6层)  | 板楼,0人关注 / 6天以前发布,70,"10,530元/平"
京广路长江路，多层二楼，公摊小，诚心出售,开元丽城 -二七万达,2室2厅 | 93.31平米 | 南 北 | 其他 | 低楼层(共6层)  | 板楼,0人关注 / 14天以前发布,82.5,"8,842元/平"
古德佳苑精装大三室，小区中间位置，带车位.,古德佳苑 -熙地港,3室2厅 | 151.55平米 | 南 | 精装 | 中楼层(共7层)  | 板塔结合,0人关注 / 16天以前发布,450,"29,694元/平"
地铁三四号线换乘站50米 独栋独院 人车分流 拎包入住,英协鼎峰 -燕庄,3室1厅 | 166.77平米 | 南 北 | 精装 | 中楼层(共31层)  | 塔楼,0人关注 / 8天以前发布,165,"9,894元/平"
航海路正商城裕园2号院，大三房诚心出售,正商城裕园2号院 -正商城,3室2厅 | 134.91平米 | 南 北 | 精装 | 低楼层(共34层)  | 板塔结合,0人关注 / 6天以前发布,173,"12,824元/平"
品质精装，拎包入住，航海路二环上，4-5号双地铁换乘,美景鸿城三期 -阳光城,3室1厅 | 117.89平米 | 南 北 | 精装 | 高楼层(共30层)  | 板楼,1人关注 / 5天以前发布,155,"13,148元/平"
临东区CBD，地铁口，园林式小区，低容积新装修大3房,名门世家 -燕庄,3室2厅 | 175.49平米 | 南 北 | 精装 | 高楼层(共25层)  | 板楼,2人关注 / 9天以前发布,290,"16,526元/平"
F户型 这个楼层全天无遮挡 满五唯一 看房随时可看,万科城紫兰苑 -高新万科,3室2厅 | 89.85平米 | 南 北 | 精装 | 高楼层(共34层)  | 板楼,0人关注 / 4天以前发布,116,"12,911元/平"
二环康城棕榈泉挑高大复式7室2厅4卫地铁2、5号线,康城棕榈泉 -正商城,7室2厅 | 303.14平米 | 南 | 精装 | 高楼层(共11层)  | 板楼,29人关注 / 9个月以前发布,395,"13,031元/平"
兴龙湾经典两室，中间好楼层，采光全明,富田兴龙湾 -南龙湖商圈,2室1厅 | 86.03平米 | 南 | 简装 | 中楼层(共33层)  | 板楼,4人关注 / 13天以前发布,51,"5,929元/平"
森林半岛别墅区，精装修自住，业主诚心出售,建业森林半岛 -绿茵广场,6室3厅 | 334.92平米 | 南 | 精装 | 2层  | 板塔结合 | 联排别墅 ,41人关注 / 8个月以前发布,800,"23,887元/平"
客厅带阳台 中高好楼层 纯南方正好户型,橡树玫瑰城 -阳光城,2室1厅 | 87.18平米 | 南 | 简装 | 26层  | 板楼,0人关注 / 12天以前发布,88,"10,095元/平"
鑫苑都汇广场 2室2厅 南 北,鑫苑都汇广场 -万客来,2室2厅 | 80.64平米 | 南 北 | 精装 | 中楼层(共23层)  | 板塔结合,0人关注 / 13天以前发布,59,"7,317元/平"
人车分流 澜庭3号院 通透大三房双卫 价格优 随时看,正商华钻澜庭3号院 -蓝钻商圈,3室2厅 | 134.32平米 | 南 北 | 精装 | 高楼层(共33层)  | 板楼,1人关注 / 11天以前发布,173,"12,880元/平"
一环内均价六千多，3室1厅，通透采光好，可停车急售,铁英街25号院 -老郑大,3室1厅 | 68.96平米 | 南 北 | 简装 | 高楼层(共5层)  | 暂无数据,2人关注 / 14天以前发布,45,"6,526元/平"
万达商圈精装大两房，比市场价便宜30万出售。,万千世纪城 -二七万达,2室2厅 | 87.94平米 | 东 南 | 精装 | 低楼层(共34层)  | 板楼,1人关注 / 13天以前发布,97,"11,031元/平"
好楼层 采光好  精装双气 无遮挡 有地下车位 三卧朝南,文博花园 -文博广场,4室2厅 | 198.27平米 | 南 北 | 精装 | 中楼层(共12层)  | 塔楼,0人关注 / 8天以前发布,500,"25,219元/平"
精装三室两厅 小区环境好，人车分离,谦祥世茂兴隆臻园 -南阳路,3室2厅 | 88.39平米 | 南 | 精装 | 低楼层(共34层)  | 板塔结合,0人关注 / 16天以前发布,132,"14,934元/平"
一江弘城电梯中层三室双气诚意出售,一江弘城 -新郑城区,3室2厅 | 105.57平米 | 南 北 | 精装 | 中楼层(共18层)  | 塔楼,0人关注 / 7天以前发布,78,"7,389元/平"
次新小区，不临路，精装修，楼层好,碧桂园天琴湾 -郑州东站,3室1厅 | 113平米 | 南 北 | 精装 | 高楼层(共18层)  | 暂无数据,1人关注 / 6天以前发布,265,"23,452元/平"
大学路地铁7号线南北通透小三室精装现房,鑫苑鑫家东苑 -万客来,3室2厅 | 89.8平米 | 南 北 | 精装 | 高楼层(共27层)  | 板塔结合,54人关注 / 5个月以前发布,95.6,"10,646元/平"
政法委家属院 1楼 双气 73中,桐柏南路56号 -儿童公园,4室2厅 | 206.25平米 | 南 | 简装 | 低楼层(共7层)  | 板楼,11人关注 / 5个月以前发布,190,"9,213元/平"
诚售！精装 双气 通透 满五年 无贷款 看房方便,城市山水 -兴华南街,3室2厅 | 133.73平米 | 西 西南 | 简装 | 低楼层(共28层)  | 板塔结合,0人关注 / 2个月以前发布,163,"12,189元/平"
满五，三环内，通和盛世三房，电梯双气,通和盛世东院 -五龙口,3室1厅 | 106.73平米 | 西南 | 精装 | 18层  | 塔楼,2人关注 / 4个月以前发布,102.5,"9,604元/平"
东方盛典3室2厅2卫有钥匙随时可看房,元正置业广场 -荥阳城区,3室2厅 | 137.85平米 | 东 东南 | 毛坯 | 中楼层(共24层)  | 板塔结合,10人关注 / 4个月以前发布,63.5,"4,607元/平"
陇海路紫荆山 地铁口 大社区 舒适两房 双卫,方圆创世 -紫荆山,2室2厅 | 113.29平米 | 南 | 简装 | 中楼层(共23层)  | 板楼,2人关注 / 3个月以前发布,145,"12,800元/平"
满五年唯一，看房方便，业主诚意出售,美林河畔 -阳光城,3室2厅 | 142.5平米 | 南 北 | 简装 | 高楼层(共28层)  | 板楼,22人关注 / 一年前发布,135,"9,474元/平"
诚 售 高新区管委会家属院洋房,锦绣苑 -高新公园道,3室2厅 | 138平米 | 南 北 | 精装 | 低楼层(共7层)  | 板塔结合,1人关注 / 2个月以前发布,245,"17,754元/平"
30万精装索菲亚定制TaTa门箭牌智能马桶全友家私,融创城开龙府1号院 -惠济万达,3室2厅 | 89.1平米 | 南 | 精装 | 高楼层(共33层)  | 板楼,5人关注 / 2个月以前发布,146,"16,387元/平"
升龙汇金一号院  精装小三居家具家电齐全  人车分流,升龙汇金广场一号院 -南阳路,3室2厅 | 90.15平米 | 南 | 精装 | 高楼层(共26层)  | 塔楼,17人关注 / 6个月以前发布,113,"12,535元/平"
房子满二，二期中间楼层的大三房，视野好全天采光,坤达祥龙城 -南龙湖商圈,3室1厅 | 114.19平米 | 南 | 毛坯 | 中楼层(共27层)  | 板楼,3人关注 / 4个月以前发布,75,"6,569元/平"
方圆经纬精装小三房 满五唯一 中间楼层 诚心出售,方圆经纬社区 -王府井,3室2厅 | 85.71平米 | 南 北 | 精装 | 中楼层(共31层)  | 板塔结合,64人关注 / 一年前发布,132,"15,401元/平"
金水区 大两房 没有抵押 随时看房 产权明晰,海星花园 -未来大厦,2室1厅 | 87.83平米 | 东南 | 简装 | 中楼层(共7层)  | 板楼,2人关注 / 2个月以前发布,81,"9,223元/平"
玉米楼旁精装三室，4号线地铁口，2012年次新双气小区,中州锦绣花苑 -燕庄,3室2厅 | 122.04平米 | 南 | 精装 | 高楼层(共33层)  | 塔楼,23人关注 / 9个月以前发布,168,"13,766元/平"
此房满五，精装双气 视野宽阔，采光充足 业主诚心出售,高新锦华苑 -高新公园道,3室1厅 | 151.2平米 | 南 北 | 精装 | 高楼层(共6层)  | 板楼,5人关注 / 2个月以前发布,152,"10,053元/平"
三环内 次新小区 通透三室 看房方便 诚心出售,谦祥世茂兴隆臻园 -南阳路,3室2厅 | 129.36平米 | 南 北 | 毛坯 | 中楼层(共34层)  | 板塔结合,3人关注 / 3个月以前发布,178,"13,761元/平"
满五唯一，舒适2+1户型，三房设计合理，采光无遮挡。,康桥溪月 -南龙湖商圈,3室2厅 | 81.33平米 | 南 | 简装 | 高楼层(共18层)  | 板楼,33人关注 / 8个月以前发布,67,"8,239元/平"
南北西三面采光，餐客分离，卧室两南两北私密性好,朗悦公园道1号玺园 -高新公园道,3室2厅 | 88.71平米 | 南 北 | 精装 | 中楼层(共34层)  | 塔楼,3人关注 / 3个月以前发布,152,"17,135元/平"
成熟小区 四居室 满五年 视野宽阔，三面采光 无抵押,21世纪国际城北区 -南龙湖商圈,3室2厅 | 134.97平米 | 南 北 | 毛坯 | 高楼层(共6层)  | 板楼,1人关注 / 一年前发布,72,"5,335元/平"
小区安静  精装南北通透大三房,金成豪庭 -枣庄,3室2厅 | 140.22平米 | 北 南 | 精装 | 低楼层(共6层)  | 板楼,1人关注 / 1个月以前发布,175,"12,481元/平"
郑大旁 次新小三房 93万！ 中间楼层 出门即是公园 ！,糖果时光 -高新新郑大,3室1厅 | 87.75平米 | 南 北 | 精装 | 中楼层(共27层)  | 板楼,1人关注 / 1个月以前发布,91,"10,371元/平"
海龙香槟大道中间楼层，三开间朝南，户型方正，采光佳,海龙香槟大道 -荥阳城区,3室2厅 | 111.64平米 | 南 北 | 精装 | 中楼层(共6层)  | 板塔结合,17人关注 / 7个月以前发布,75,"6,719元/平"
惠济区第壹 地tie旁 奢华四室 人车分流 给车位！！,绿地璀璨天城 -省体育中心,4室2厅 | 140.68平米 | 南 北 | 毛坯 | 低楼层(共34层)  | 板楼,3人关注 / 4个月以前发布,168,"11,942元/平"
郑东新区 雅居乐花园80万装大五房 带车位 诚心出售,雅居乐国际花园西苑 -象湖,5室2厅 | 145.91平米 | 南 北 | 精装 | 中楼层(共26层)  | 板楼,6人关注 / 2个月以前发布,245,"16,792元/平"
曼哈顿经典三室，户型方正，一号线地铁口，满五唯一,曼哈顿 -燕庄,3室2厅 | 138平米 | 南 | 简装 | 高楼层(共32层)  | 板塔结合,39人关注 / 3个月以前发布,175,"12,682元/平"
报业集团家属院  厅级领导楼  楼中  不临街,东瑞园 -郑州东站,6室2厅 | 274.38平米 | 南 北 | 精装 | 高楼层(共18层)  | 板塔结合,29人关注 / 4个月以前发布,480,"17,494元/平"
好户型，低楼层，光线好 出行方便，光线好,金地格林小城 -荥阳城区,3室2厅 | 89.56平米 | 南 北 | 毛坯 | 高楼层(共34层)  | 板楼,4人关注 / 4个月以前发布,51,"5,695元/平"
郑东新区 象湖 雅居乐五房 采光好 视野开阔 看房方便,雅居乐国际花园西苑 -象湖,5室2厅 | 145.98平米 | 南 北 | 精装 | 高楼层(共26层)  | 板楼,49人关注 / 10个月以前发布,198,"13,564元/平"
103平通透大三房有钥匙，公摊小、物业费低、楼间距宽,21世纪国际城北区 -南龙湖商圈,3室2厅 | 102.45平米 | 南 | 简装 | 中楼层(共6层)  | 板楼,22人关注 / 7个月以前发布,52,"5,076元/平"
诚心出售，看房方便 南北通风空气流通好,万丰慧城 -高新公园道,3室2厅 | 109.31平米 | 南 | 简装 | 低楼层(共18层)  | 板楼,3人关注 / 3个月以前发布,103,"9,423元/平"
经一路金水路 地铁口 民航家属院 双气2楼 停车方便,省民航社区 -省人民医院,3室1厅 | 70.92平米 | 南 | 简装 | 中楼层(共4层)  | 板楼,0人关注 / 3个月以前发布,79,"11,140元/平"
此房满五年，中间楼层采光好，带电梯，一梯两户,东方明珠 -燕庄,3室2厅 | 145.72平米 | 南 北 | 简装 | 中楼层(共11层)  | 板楼,20人关注 / 5个月以前发布,165,"11,324元/平"
电梯洋房，三开间朝南，双卫，业主诚心出售看房方便,思念果岭悦庄 -邙山,2室2厅 | 89.79平米 | 南 北 | 毛坯 | 高楼层(共8层)  | 板楼,41人关注 / 11个月以前发布,75,"8,353元/平"
领秀城电梯房四室房子房东诚心低价出售,领秀城南区 -新郑城区,4室1厅 | 142.41平米 | 南 | 简装 | 高楼层(共7层)  | 板楼,17人关注 / 一年前发布,58.5,"4,108元/平"
此房三室两厅两卫，步梯中间楼层，公摊小，户型方正,庆都首府南区 -新郑城区,3室2厅 | 135.1平米 | 南 | 精装 | 中楼层(共6层)  | 暂无数据,4人关注 / 9个月以前发布,75,"5,552元/平"
采光流程 装修好 位置好 物业好 户型好,海龙香槟大道 -荥阳城区,4室2厅 | 154.22平米 | 南 | 精装 | 高楼层(共26层)  | 板塔结合,16人关注 / 一年前发布,93.5,"6,063元/平"
有院子，布局合理，干净整洁，南北通透,洧北一巷 -新郑城区,6室3厅 | 159.53平米 | 南 北 | 简装 | 低楼层(共3层)  | 平房,1人关注 / 2个月以前发布,110,"6,896元/平"
