标题,开发商,房子信息,发布信息,售价/万,单价
春天花园 中间楼层 纯毛坯 带23朝南车库 看房方便,春天花园 -能达商务区,3室1厅 | 124.86平米 | 南 | 毛坯 | 中楼层(共6层)  | 板塔结合,0人关注 / 6天以前发布,140,"11,213元/平"
中创北 仁和景苑 精装修 三房 带车库 房东诚心卖,仁和景苑 -兴仁,3室2厅 | 116.79平米 | 南 | 精装 | 低楼层(共18层)  | 板楼,0人关注 / 15天以前发布,132,"11,303元/平"
港闸区地铁口新小区中套楼中楼带大车库,幸福怡居 -幸福,3室1厅 | 173平米 | 南 北 | 毛坯 | 高楼层(共10层)  | 板楼,0人关注 / 5天以前发布,170,"9,827元/平"
金辉花园 楼中楼 明厨明卫精装修领包入住,金辉花园 -新城,4室2厅 | 158.96平米 | 南 | 精装 | 高楼层(共6层)  | 板塔结合,0人关注 / 6天以前发布,159.8,"10,053元/平"
本家精装自住 采光好 无遮挡 上汇龙 有车库随时看房,紫薇花苑东区 -启东市,2室2厅 | 94.87平米 | 南 | 精装 | 中楼层(共5层)  | 板楼,1人关注 / 22天以前发布,130,"13,703元/平"
西欧文澜府地理位环境优美，交通方便,西欧文澜府 -启东市,2室1厅 | 80.72平米 | 南 | 简装 | 中楼层(共18层)  | 暂无数据,0人关注 / 21天以前发布,148,"18,335元/平"
中创区紫琅湖  中南商圈   中间好楼层  诚心出售,景瑞御府 -军山,3室2厅 | 121.22平米 | 南 北 | 毛坯 | 中楼层(共33层)  | 板楼,1人关注 / 28天以前发布,208,"17,159元/平"
中南熙悦 好楼层 东边户 看房方便有钥匙随时方便,中南熙悦(南通经济技术开发区) -能达商务区,3室2厅 | 116.79平米 | 南 | 精装 | 中楼层(共34层)  | 板塔结合,0人关注 / 30天以前发布,170,"14,557元/平"
南北通透园景房，能看整个小区园景,恒大海上威尼斯 -启东市,3室2厅 | 121.03平米 | 南 北 | 精装 | 中楼层(共33层)  | 板楼,6人关注 / 31天以前发布,65,"5,371元/平"
小区环境好，配套齐全，户型好，房东诚心出售,碧桂园·中邦上海城 -启东市,3室2厅 | 139.58平米 | 南 | 精装 | 低楼层(共26层)  | 板塔结合,1人关注 / 17天以前发布,220,"15,762元/平"
全新装修  没有住过人  中间楼层  采光好,纽约时代 -秦灶,3室2厅 | 59.93平米 | 南 | 精装 | 21层  | 板塔结合,0人关注 / 19天以前发布,65,"10,846元/平"
此房通透格局，楼层好，采光充足，视野开阔，配套.,碧桂园天玺湾 -金沙,3室2厅 | 106平米 | 南 北 | 精装 | 低楼层(共31层)  | 板塔结合,1人关注 / 23天以前发布,160,"15,095元/平"
近地铁口 楼中楼  可拎包入住,金桥园 -任港,3室2厅 | 86.51平米 | 南 | 精装 | 高楼层(共6层)  | 板楼,0人关注 / 21天以前发布,105.8,"12,230元/平"
中上楼层 精装修视野好万达华府高档小区 三开间朝南,万达华府 -永兴,3室1厅 | 121.17平米 | 南 西南 | 精装 | 中楼层(共29层)  | 板塔结合,0人关注 / 20天以前发布,225,"18,569元/平"
恒大大两房，景观楼层，阳台已封，视野开阔，满五唯一,恒大海上威尼斯 -启东市,2室2厅 | 92.13平米 | 南 | 精装 | 高楼层(共32层)  | 板塔结合,0人关注 / 27天以前发布,54,"5,862元/平"
南通雅居乐花园，精装修带产权车位,南通雅居乐花园 -能达商务区,3室1厅 | 127.17平米 | 南 | 精装 | 中楼层(共34层)  | 板塔结合,3人关注 / 19天以前发布,182,"14,312元/平"
海尚家园  三室两厅一卫  三阳台 满五唯一,海尚家园 -小海,3室2厅 | 110.02平米 | 南 | 精装 | 低楼层(共18层)  | 板楼,0人关注 / 27天以前发布,126,"11,453元/平"
南山湖畔 精装大三房 好楼层 近育才,碧桂园天玺湾 -金沙,3室2厅 | 122.79平米 | 南 北 | 简装 | 中楼层(共28层)  | 板楼,107人关注 / 27天以前发布,180,"14,660元/平"
三房户型，北阳台还有面积 ，房东置换 人车分流,中南世纪城 -如皋市区,3室2厅 | 103平米 | 南 | 毛坯 | 中楼层(共31层)  | 板塔结合,0人关注 / 20天以前发布,128,"12,428元/平"
永旺东 富力半岛花园 精装三房两卫 户型方正 采光充足,富力半岛花园 -张芝山,3室2厅 | 109.25平米 | 南 | 精装 | 低楼层(共20层)  | 板楼,0人关注 / 30天以前发布,105,"9,611元/平"
新市花苑 3室2厅 南,新市花苑 -二甲,3室2厅 | 111.72平米 | 南 | 简装 | 低楼层(共10层)  | 暂无数据,0人关注 / 24天以前发布,79,"7,072元/平"
此房满五年唯一，配套设施齐全，出行便利，紧靠北城,银洲·皇家花园 -秦灶,3室2厅 | 142.87平米 | 南 | 精装 | 30层  | 板楼,0人关注 / 24天以前发布,225,"15,749元/平"
房东急售，好楼层，开发商精装修，无大税。视野好,中海碧林湾 -唐闸,3室1厅 | 96.08平米 | 南 | 精装 | 中楼层(共34层)  | 板楼,1人关注 / 23天以前发布,151.8,"15,800元/平"
未来锦城  采光好 户型合理 交通便利 出行方便,未来锦城 -观音山,4室2厅 | 159平米 | 南 | 毛坯 | 高楼层(共18层)  | 板楼,19人关注 / 一年前发布,263,"16,541元/平"
英伦上苑联排别墅采光充足诚心出售,英伦上院 -先锋,5室3厅 | 310.97平米 | 南 | 毛坯 | 3层  | 板楼 | 联排别墅 ,1人关注 / 一年前发布,468,"15,050元/平"
西区前排 稀有房源 顶复式 毛胚 可打造空间大,万通城 -观音山,4室2厅 | 141.04平米 | 南 | 毛坯 | 高楼层(共15层)  | 板楼,13人关注 / 一年前发布,169,"11,983元/平"
满二年 中装顶楼带阁楼有六个房间 带前后露台 钥匙房,星湖花园 -能达商务区,6室2厅 | 158.45平米 | 南 | 精装 | 高楼层(共5层)  | 板楼,69人关注 / 一年前发布,149,"9,404元/平"
采光充足，视野开阔，有新风地暖,恒大海上威尼斯 -启东市,4室2厅 | 140.79平米 | 南 北 | 精装 | 低楼层(共32层)  | 塔楼,7人关注 / 3个月以前发布,80,"5,683元/平"
富力院士廷 金沙湾新区 公园旁 运河畔 精装四房,富力院士廷 -金新,4室2厅 | 136.85平米 | 南 | 精装 | 低楼层(共31层)  | 板楼,60人关注 / 7个月以前发布,152,"11,108元/平"
军山叠加别墅，南北格局，精装修，满五无大税,军山花园 -军山,4室2厅 | 236.98平米 | 南 | 精装 | 高楼层(共6层)  | 板楼,0人关注 / 2个月以前发布,365,"15,403元/平"
棕榈湾  中上楼层 视野宽阔  采光充足  诚心出售,冠城大通棕榈湾 -观音山,4室2厅 | 137.75平米 | 南 | 毛坯 | 高楼层(共33层)  | 板楼,3人关注 / 一年前发布,233.8,"16,973元/平"
品质小区   精装修拎包入住   房东诚心出售。,翰林俯邸 -三余,5室2厅 | 216.36平米 | 南 | 精装 | 高楼层(共6层)  | 板楼,11人关注 / 9个月以前发布,62.3,"2,880元/平"
龙田一期  毛坯  满二  诚心出售,龙田花苑一期 -能达商务区,3室1厅 | 114.45平米 | 南 北 | 毛坯 | 低楼层(共17层)  | 板塔结合,1人关注 / 13天以前发布,106,"9,262元/平"
中间层，户型方正，精装修，房东急售,越江新村 -永兴,2室1厅 | 67.6平米 | 南 | 简装 | 中楼层(共5层)  | 板楼,0人关注 / 11天以前发布,82,"12,131元/平"
师范桥新村 2室1厅 南,师范桥新村 -金沙,2室1厅 | 43平米 | 南 | 简装 | 中楼层(共6层)  | 板楼,0人关注 / 14天以前发布,48,"11,163元/平"
此房满二，无大税，双房朝南，婚房装修,同和嘉苑北区 -观音山,2室2厅 | 90.05平米 | 南 | 精装 | 低楼层(共18层)  | 板楼,0人关注 / 15天以前发布,139.5,"15,492元/平"
印象城旁 悦海名邸高层采光视野好 诚心出售 精装,悦达悦海名邸 -虹桥,2室1厅 | 90.42平米 | 南 | 精装 | 高楼层(共34层)  | 板楼,0人关注 / 12天以前发布,189,"20,903元/平"
炜赋邻里洋房，全天采光，房东诚心出售，小区配套齐全,炜赋星湖邻里 -能达商务区,3室2厅 | 99.49平米 | 南 | 精装 | 中楼层(共16层)  | 板塔结合,0人关注 / 15天以前发布,152,"15,278元/平"
雅居乐花园，首排大三房，永旺旁，地铁口，诚心出售。,南通雅居乐花园 -能达商务区,3室2厅 | 127.11平米 | 南 | 毛坯 | 低楼层(共34层)  | 板塔结合,0人关注 / 13天以前发布,180,"14,161元/平"
东站   精装大三房  户型方正  楼层好 视野开阔,弘阳上城 -观音山,3室2厅 | 135.77平米 | 南 | 精装 | 高楼层(共24层)  | 板楼,0人关注 / 9天以前发布,255,"18,782元/平"
银河湾 楼层好 视野宽阔 采光充足 精装拎包入住,银河湾 -金沙,3室2厅 | 111.88平米 | 南 | 精装 | 中楼层(共18层)  | 板楼,0人关注 / 14天以前发布,138.8,"12,407元/平"
中海碧林湾 精装 两房朝南 满五唯一   诚心出售,中海碧林湾 -唐闸,3室1厅 | 96.91平米 | 南 | 精装 | 低楼层(共34层)  | 板楼,1人关注 / 11天以前发布,152,"15,685元/平"
锦绣福邸 三室两厅 精装修 中上楼层 拎包入住,锦绣福邸 -如东县,3室2厅 | 106.28平米 | 南 北 | 精装 | 中楼层(共22层)  | 板楼,0人关注 / 13天以前发布,144,"13,550元/平"
全新精装修。减去装修的烦恼。领包入住。,星雨华府 -如皋市区,3室2厅 | 123.23平米 | 南 | 精装 | 高楼层(共33层)  | 板楼,0人关注 / 14天以前发布,166,"13,471元/平"
中海碧林湾前排精装修 中楼层 有书房 有车位 看房方便,中海碧林湾 -唐闸,3室1厅 | 85.24平米 | 南 | 精装 | 低楼层(共34层)  | 板楼,0人关注 / 9天以前发布,148,"17,363元/平"
中创旁 地铁口 低总价两房 带车库 诚心急售,世纪东城 -新城,2室1厅 | 77.79平米 | 南 | 精装 | 中楼层(共5层)  | 板楼,0人关注 / 11天以前发布,115,"14,784元/平"
碧桂园时代悦城 3室2卫 小区前排中上层 全天采光,碧桂园时代悦城 -观音山,3室2厅 | 111.32平米 | 南 | 精装 | 中楼层(共20层)  | 板楼,0人关注 / 8天以前发布,230,"20,662元/平"
此房位置好 三房 户型方正 全天采光,学田苑 -城东,3室1厅 | 74平米 | 南 | 精装 | 6层  | 板楼,0人关注 / 14天以前发布,158,"21,352元/平"
高层品质住宅  龙湖物业 业主诚意出售,春风南岸东园 -能达商务区,4室2厅 | 135.55平米 | 南 | 精装 | 低楼层(共18层)  | 板塔结合,1人关注 / 7天以前发布,240,"17,706元/平"
富力院士廷 3室2厅 南 北,富力院士廷 -金新,3室2厅 | 136.1平米 | 南 北 | 其他 | 中楼层(共9层)  | 板楼,0人关注 / 29天以前发布,180,"13,226元/平"
景瑞望府 精装修  小高层 带有产权车位 业主诚心出售,景瑞望府 -能达商务区,2室1厅 | 92.74平米 | 南 | 精装 | 高楼层(共18层)  | 板楼,0人关注 / 23天以前发布,128,"13,803元/平"
学 田 苑 六楼 诚 心 急 售,学田苑 -城东,3室1厅 | 72.91平米 | 南 | 简装 | 6层  | 板楼,1人关注 / 18天以前发布,118,"16,185元/平"
光明南村双校区低总价71平118.8万,光明南村 -虹桥,2室1厅 | 70.1平米 | 南 | 简装 | 高楼层(共6层)  | 板楼,0人关注 / 22天以前发布,118.8,"16,948元/平"
星海花园 顶复带大露台 满二年 有边阳台 价格可谈,星海花园 -能达商务区,2室1厅 | 54.33平米 | 南 | 简装 | 高楼层(共6层)  | 板楼,0人关注 / 19天以前发布,60.8,"11,191元/平"
城港新村  两室一厅 中楼层  精装修 诚心卖,城港新村 -任港,2室1厅 | 60平米 | 南 | 简装 | 中楼层(共6层)  | 板塔结合,1人关注 / 26天以前发布,75.5,"12,584元/平"
绿城三期 精装2房 高层采光好 家具家电齐全 拎包入住,绿城玉兰公寓 -新城,2室1厅 | 91.45平米 | 南 | 精装 | 高楼层(共11层)  | 塔楼,3人关注 / 25天以前发布,276,"30,181元/平"
幸福天地首排 精装 两房 诚心出售,幸福天地二期 -能达商务区,2室2厅 | 88.75平米 | 南 | 精装 | 中楼层(共28层)  | 板楼,0人关注 / 17天以前发布,125,"14,085元/平"
保利香槟国际，好楼层，毛坯任意装修，看房有钥匙,保利香槟国际 -永兴,2室1厅 | 100.79平米 | 南 | 毛坯 | 中楼层(共33层)  | 板楼,1人关注 / 23天以前发布,156.8,"15,558元/平"
锦绣福邸精装2房2厅1卫132万电梯中层,锦绣福邸 -如东县,2室1厅 | 87.49平米 | 南 | 精装 | 中楼层(共18层)  | 暂无数据,0人关注 / 18天以前发布,132,"15,088元/平"
学田苑，中层，户型方正，明厨明卫，位置好，出行方便,学田苑 -城东,2室1厅 | 67.5平米 | 南 | 简装 | 6层  | 板楼,0人关注 / 28天以前发布,131,"19,408元/平"
世家花园  精装修 满五唯一 好楼层,世家花园 -能达商务区,2室2厅 | 128.43平米 | 南 | 精装 | 高楼层(共18层)  | 板楼,0人关注 / 16天以前发布,124,"9,656元/平"
空！看房随时！价格可谈！楼层好！两房朝南！,光明南村 -虹桥,2室1厅 | 77.44平米 | 南 | 简装 | 中楼层(共6层)  | 板楼,0人关注 / 16天以前发布,139.8,"18,053元/平"
学田苑，中层，户型方正，明厨明卫，位置好，出行方便,学田苑 -城东,2室1厅 | 68.5平米 | 南 | 毛坯 | 6层  | 板楼,0人关注 / 28天以前发布,132,"19,271元/平"
市北启秀旁+毛坯三房+满2年+业主急售+看房方便,新城香溢紫郡 -唐闸,3室2厅 | 97.24平米 | 南 北 | 毛坯 | 低楼层(共24层)  | 板塔结合,0人关注 / 20天以前发布,136,"13,987元/平"
房东诚心出售，户型方正，中间楼层，采光视野好,观河华府 -观音山,2室1厅 | 80.17平米 | 南 | 毛坯 | 中楼层(共11层)  | 板楼,1人关注 / 16天以前发布,109,"13,597元/平"
华强城中楼层，视野开阔，拎包入住，满五，好赞房必买,华强城 -秦灶,2室2厅 | 85.04平米 | 南 | 简装 | 中楼层(共33层)  | 板楼,0人关注 / 30天以前发布,149.8,"17,616元/平"
南山湖畔飞机户型诚心出售，三房两卫纯毛坯,招商新城雍景湾 -金沙,3室1厅 | 105.5平米 | 南 | 其他 | 低楼层(共18层)  | 板楼,0人关注 / 13天以前发布,131,"12,418元/平"
万达华府 万达旁  满五唯一  精装修 诚心出售  随时看,万达华府 -永兴,3室1厅 | 105.9平米 | 南 | 精装 | 高楼层(共30层)  | 板楼,0人关注 / 19天以前发布,190,"17,942元/平"
城市嘉苑 精装三居两卫 品质精装 采光无遮挡,城市嘉苑 -新城,3室2厅 | 136.07平米 | 南 北 | 精装 | 高楼层(共11层)  | 板楼,0人关注 / 1个月以前发布,350,"25,723元/平"
地铁口 中海碧林湾 好房出售 楼层价格美丽,中海碧林湾 -唐闸,2室0厅 | 107.97平米 | 南 | 简装 | 高楼层(共34层)  | 板楼,0人关注 / 28天以前发布,163,"15,097元/平"
世纪佳园 2室2厅 南,世纪佳园 -如皋市区,2室2厅 | 99.3平米 | 南 | 简装 | 中楼层(共14层)  | 板楼,1人关注 / 17天以前发布,105,"10,575元/平"
公园佳苑北区楼中楼，地面朝南大车库,公园佳苑北区 -唐闸,3室2厅 | 111平米 | 南 北 | 精装 | 高楼层(共7层)  | 板楼,0人关注 / 23天以前发布,110,"9,910元/平"
贵都西 邻资丰市场 二里新村 两层小别墅 出让土地,二里新村 -海安县,2室2厅 | 90平米 | 南 | 简装 | 低楼层(共2层)  | 暂无数据,0人关注 / 17天以前发布,105.8,"11,756元/平"
学士府新出 两室精装好房 户型方正 全天采光 带大车库,学士府 -虹桥,2室1厅 | 85.89平米 | 南 | 精装 | 高楼层(共24层)  | 板楼,0人关注 / 24天以前发布,159.8,"18,606元/平"
荷兰小镇郁香郡 137.46平 精装修 中层 3室满二,荷兰小镇郁香郡 -如皋市区,3室2厅 | 137.46平米 | 南 | 精装 | 高楼层(共17层)  | 平房,0人关注 / 16天以前发布,246,"17,897元/平"
南辰濠郡  精装电梯大两房    诚心出售   等你看房,南辰濠郡 -濠河,2室2厅 | 101.42平米 | 南 北 | 精装 | 32层  | 板塔结合,0人关注 / 25天以前发布,205,"20,213元/平"
新桥两房   精装  真正的拎包入住  欢迎咨询,新桥新村 -城东,2室1厅 | 55.37平米 | 南 | 精装 | 中楼层(共5层)  | 板楼,0人关注 / 15天以前发布,81,"14,629元/平"
房东诚心出售，中创区户型方正，采光好，视野好,都会沁园 -观音山,4室2厅 | 149.04平米 | 南 | 精装 | 高楼层(共21层)  | 板楼,43人关注 / 一年前发布,298,"19,995元/平"
地铁二号线，交通便利，房东诚心出售,涌鑫八达通广场 -观音山,2室1厅 | 30.82平米 | 东 | 精装 | 高楼层(共18层)  | 板楼,0人关注 / 10天以前发布,23.8,"7,723元/平"
精装修，拎包入住，房东产权清晰,皇都尚品 -金沙,1室1厅 | 37.58平米 | 南 | 精装 | 中楼层(共33层)  | 板塔结合,0人关注 / 12天以前发布,25.8,"6,866元/平"
中南世纪城北区，精装修哦，中间楼层,中南世纪城北区 -新城,1室1厅 | 51.25平米 | 北 | 简装 | 中楼层(共23层)  | 板塔结合,0人关注 / 13天以前发布,55,"10,732元/平"
郭里园 田家炳空户口 学田北边 位置好出行方便,郭里园 -濠河,2室1厅 | 64.01平米 | 南 | 精装 | 高楼层(共6层)  | 板楼,0人关注 / 9天以前发布,118,"18,435元/平"
地铁口人民医院端平桥菜场肯德基总店出入方便停车方便,万象西园 -任港,1室1厅 | 44.08平米 | 南 | 简装 | 中楼层(共7层)  | 板楼,0人关注 / 14天以前发布,52,"11,797元/平"
户型格局好，采光好，满五不唯一,棉纺厂 -启东市,1室0厅 | 30.5平米 | 南 | 其他 | 中楼层(共5层)  | 板塔结合,0人关注 / 6天以前发布,86.8,"28,460元/平"
学田南苑 3室1厅 南,学田南苑 -城东,3室1厅 | 78.64平米 | 南 | 精装 | 6层  | 板楼,1人关注 / 9天以前发布,179.8,"22,864元/平"
楼层好，户型好，房东诚心出售，采光充足,紫宸府 -金沙,3室2厅 | 117平米 | 南 | 毛坯 | 中楼层(共15层)  | 暂无数据,0人关注 / 13天以前发布,168,"14,359元/平"
万科翡翠公园   满两年 精装修 诚心出售 价格可谈,万科翡翠公园 -能达商务区,3室2厅 | 91.35平米 | 南 | 精装 | 低楼层(共27层)  | 板塔结合,0人关注 / 13天以前发布,152,"16,640元/平"
雅居乐前排 采光全天 带 103平地下室 满2,雅居乐万科中央公园 -海门,3室2厅 | 228平米 | 南 | 毛坯 | 低楼层(共6层)  | 板楼,0人关注 / 16天以前发布,263,"11,536元/平"
万科翡翠公园，精装大三房，地铁口，永旺旁。,万科翡翠公园 -能达商务区,3室2厅 | 124.99平米 | 南 | 精装 | 低楼层(共9层)  | 板塔结合,0人关注 / 15天以前发布,240,"19,202元/平"
龙湖丽园东区，全天采光，户型方正，业主诚心！,龙湖丽园 -如皋市区,3室2厅 | 110.75平米 | 南 | 毛坯 | 低楼层(共27层)  | 暂无数据,0人关注 / 15天以前发布,106,"9,572元/平"
中海碧林湾，门口就是一号线，圆融三店旁，精装出售,中海碧林湾 -唐闸,3室2厅 | 110.21平米 | 南 | 精装 | 低楼层(共34层)  | 板楼,1人关注 / 12天以前发布,158,"14,337元/平"
急售龙田花苑 精装修楼中楼，房东承担卖方各种税费,龙田花苑一期 -能达商务区,3室2厅 | 111.77平米 | 南 | 精装 | 高楼层(共5层)  | 板塔结合,1人关注 / 10天以前发布,87.2,"7,802元/平"
东方云樾，精装小三房，诚心出售，满二年，看房有钥匙,云樾东方 -能达商务区,3室2厅 | 94.36平米 | 南 | 精装 | 低楼层(共34层)  | 板塔结合,0人关注 / 8天以前发布,147,"15,579元/平"
滨江丽都桥语 3室1厅 南,滨江丽都桥语 -苏通,3室1厅 | 98.99平米 | 南 | 毛坯 | 低楼层(共11层)  | 板塔结合,0人关注 / 15天以前发布,70,"7,072元/平"
包含车位 诚心出售 出行方便 户型方正,爱法山水国际 -海安县,3室2厅 | 120.46平米 | 南 | 毛坯 | 中楼层(共30层)  | 板塔结合,0人关注 / 2个月以前发布,122.8,"10,195元/平"
满五唯一，楼层很好，采光充足，,万濠星城一期 -虹桥,3室2厅 | 98.04平米 | 南 | 精装 | 低楼层(共26层)  | 板塔结合,0人关注 / 1个月以前发布,236,"24,072元/平"
此房房东自住装修，满两年，东西厅的，配套设施齐全。,江城·逸品 -海门,3室2厅 | 141.3平米 | 东南 | 精装 | 中楼层(共32层)  | 板塔结合,2人关注 / 6个月以前发布,268,"18,967元/平"
房东诚心出售，楼层采光无遮挡。,景瑞望府 -能达商务区,3室2厅 | 140.05平米 | 南 | 毛坯 | 中楼层(共24层)  | 板楼,6人关注 / 一年前发布,178,"12,710元/平"
便宜好房 城市一品 三房一卫 毛坯 有储藏室 有车位,城市壹品 -启东市,3室2厅 | 104.56平米 | 南 北 | 毛坯 | 16层  | 板楼,1人关注 / 2个月以前发布,185,"17,694元/平"
急售看房随时植物园旁江山鼎大三房格局通透采光刺眼,江山鼎 -军山,3室2厅 | 137.44平米 | 南 | 毛坯 | 15层  | 板塔结合,9人关注 / 一年前发布,235,"17,099元/平"
东皋新村 房屋整洁清爽 业主诚心出售 看房方便,东皋新村 -如皋市区,2室2厅 | 81.75平米 | 南 | 简装 | 中楼层(共6层)  | 板楼,6人关注 / 一年前发布,150,"18,349元/平"
满五税少，户型好，全天采光无遮挡，房东自住精装修,海西花苑 -海门,2室1厅 | 96平米 | 南 | 精装 | 低楼层(共6层)  | 板塔结合,19人关注 / 一年前发布,109.8,"11,438元/平"
此房为毛坯，可根据自己喜欢的风格装修。,景瑞御府 -军山,3室1厅 | 126.67平米 | 南 | 毛坯 | 低楼层(共34层)  | 板楼,4人关注 / 一年前发布,219.8,"17,353元/平"
一期叠墅二楼，房东诚意出售。房型好，位置佳,恒大海上威尼斯 -启东市,3室2厅 | 135.33平米 | 南 北 | 精装 | 中楼层(共4层)  | 塔楼,13人关注 / 6个月以前发布,122.5,"9,052元/平"
和融•优山美地名邸3-2-1-1 102.36m² 172 万,和融•优山美地名邸 -能达商务区,3室2厅 | 102.36平米 | 南 | 精装 | 32层  | 板塔结合,7人关注 / 10个月以前发布,149,"14,557元/平"
南山国际，四开间朝南，纯毛坯，好楼层，诚心出售！,南山国际社区 -秦灶,4室2厅 | 130.75平米 | 南 | 毛坯 | 高楼层(共31层)  | 板塔结合,9人关注 / 10个月以前发布,206,"15,756元/平"
户型好，格局方正，大空间，价格优惠,金色城邦 -金沙,5室2厅 | 147.55平米 | 南 北 | 毛坯 | 高楼层(共18层)  | 板楼,5人关注 / 9个月以前发布,199,"13,487元/平"
小区位置好，绿化好，环境好，精装拎包入住,书院坊 -观音山,3室2厅 | 91.63平米 | 南 | 精装 | 低楼层(共9层)  | 板楼,48人关注 / 6个月以前发布,130,"14,188元/平"
金海国际花园，首看好房，值得一观。,金海国际花园 -海安县,3室2厅 | 141平米 | 南 | 精装 | 中楼层(共11层)  | 平房,2人关注 / 10个月以前发布,158.8,"11,263元/平"
此房满2，视野开阔，采光好，交通便利，适合居住,金水湾花园 -如东县,2室2厅 | 103.56平米 | 南 | 毛坯 | 5层  | 板塔结合,0人关注 / 3个月以前发布,49,"4,732元/平"
景观高层 东首户 三卧室朝南 户型方正,国城璟府 -观音山,3室2厅 | 144.69平米 | 南 | 毛坯 | 高楼层(共18层)  | 板楼,16人关注 / 10个月以前发布,288,"19,905元/平"
佳源都市，好楼层，首付无要求，3室毛坯,佳源都市 -金沙,3室1厅 | 115平米 | 南 | 毛坯 | 17层  | 板塔结合,5人关注 / 一年前发布,138,"12,000元/平"
北城名郡 精装修三房 业主诚心 好楼层 诚心卖！,帝奥北城名郡二期 -秦灶,3室2厅 | 106.22平米 | 南 | 精装 | 低楼层(共17层)  | 板塔结合,16人关注 / 8个月以前发布,185,"17,417元/平"
龙田花园 满二无大税 视野开阔 精装修 拎包入住,龙田花苑一期 -能达商务区,3室2厅 | 114.23平米 | 南 | 精装 | 高楼层(共17层)  | 板塔结合,15人关注 / 4个月以前发布,120,"10,506元/平"
小区成熟生活便利，属主城区位置，临机场未来潜力无限,香安雅苑 -西亭,3室2厅 | 125.92平米 | 南 | 毛坯 | 低楼层(共10层)  | 塔楼,0人关注 / 8个月以前发布,103,"8,180元/平"
诚心出售  小区环境优美  交通便利,南通雅居乐花园 -能达商务区,3室1厅 | 99平米 | 南 | 毛坯 | 中楼层(共34层)  | 板塔结合,1人关注 / 5个月以前发布,150,"15,152元/平"
此房户型方正，经典三房，中上，采光好，视野开阔,中海碧林湾 -唐闸,3室1厅 | 95.27平米 | 南 | 精装 | 低楼层(共18层)  | 板楼,7人关注 / 3个月以前发布,150,"15,745元/平"
地铁口 采光好 楼层佳 三开间朝南,翠园 -能达商务区,3室2厅 | 106.43平米 | 南 | 毛坯 | 29层  | 板塔结合,10人关注 / 5个月以前发布,176.8,"16,612元/平"
