标题,开发商,房子信息,发布信息,售价/万,单价
电力湖心路双阳台户型-一期实用高户型-业主保养好,家和城一期 -白藤头,3室2厅 | 113.31平米 | 南 北 | 精装 | 低楼层(共31层)  | 板塔结合,0人关注 / 10天以前发布,180,"15,886元/平"
满五，新房未入住，南北通透，中间楼层，交通便利,鸿泰花园 -航空新城,3室2厅 | 99.75平米 | 南 北 | 精装 | 中楼层(共33层)  | 板楼,0人关注 / 26天以前发布,173,"17,344元/平"
中珠上城  四房两厅急售，中间楼层，南北通透，不看塔,中珠上城 -新香洲,4室2厅 | 109.69平米 | 南 北 | 精装 | 中楼层(共28层)  | 板楼,0人关注 / 25天以前发布,363,"33,094元/平"
华发新城五期南向高层，景观无遮挡,华发新城五期 -南湾,3室2厅 | 89.79平米 | 南 | 精装 | 30层  | 塔楼,0人关注 / 16天以前发布,260,"28,957元/平"
珠海 金湾红旗 环境优雅 户型方正 房子采光好,荷塘物语 -红旗镇,2室2厅 | 81.08平米 | 东南 | 精装 | 低楼层(共17层)  | 板楼,0人关注 / 25天以前发布,102,"12,581元/平"
红旗笋盘  珠光新城  精装3房  保养好，采光好,珠光新城一期 -红旗镇,3室2厅 | 91.78平米 | 西北 | 精装 | 中楼层(共11层)  | 板塔结合,0人关注 / 30天以前发布,118,"12,857元/平"
德昌盛景精装两房  中间楼层  格局方正,德昌盛景花园 -白藤头,2室2厅 | 78.12平米 | 南 | 精装 | 中楼层(共26层)  | 板塔结合,0人关注 / 17天以前发布,95,"12,161元/平"
吉大华发物业，2008年小区，高层南向，毛坯可任意装修,龙园8号 -吉大,3室2厅 | 108.45平米 | 东南 | 毛坯 | 高楼层(共32层)  | 塔楼,5人关注 / 3个月以前发布,337,"31,075元/平"
华发新城六期 南向三房 业主急售 中高楼层,华发新城六期 -南湾,3室2厅 | 88.63平米 | 南 | 精装 | 27层  | 板塔结合,1人关注 / 4天以前发布,228,"25,725元/平"
镂王各付！泉薪未住！南北通双阳台，景观好,时代香海彼岸 -白藤头,4室1厅 | 122.39平米 | 南 北 | 其他 | 低楼层(共34层)  | 板塔结合,0人关注 / 13天以前发布,183,"14,953元/平"
香港恒基物业，五洲品质小区，楼间距宽，使用率高,五洲家园 -白藤头,4室1厅 | 97.59平米 | 南 | 精装 | 高楼层(共32层)  | 板塔结合,0人关注 / 5个月以前发布,190,"19,470元/平"
水湾六号 高层 海景 大3房大平层 电梯高层,水湾六号 -吉大,3室2厅 | 180.29平米 | 东南 | 精装 | 高楼层(共30层)  | 塔楼,2人关注 / 3个月以前发布,460,"25,515元/平"
华发水岸二期 精装二房带大入户花园 诚心出售,华发水岸二期 -南屏,3室2厅 | 85.46平米 | 南 | 精装 | 18层  | 塔楼,103人关注 / 一年前发布,168,"19,659元/平"
航空城，151平4房一梯两户小高层洋房，凤凰楼层,时代山湖海 -航空新城,4室2厅 | 151.2平米 | 南 北 | 精装 | 高楼层(共6层)  | 板塔结合,33人关注 / 一年前发布,260,"17,196元/平"
此房户型格局方正，电梯房，带阳台，通风采光好,九洲假日 -吉大,1室1厅 | 43.92平米 | 南 | 精装 | 中楼层(共25层)  | 塔楼,0人关注 / 14天以前发布,108,"24,591元/平"
业主诚心出售拱北次新房中铁诺德精装三房带车位！,中铁诺德国际 -拱北,3室2厅 | 128平米 | 南 | 精装 | 低楼层(共32层)  | 板塔结合,3人关注 / 7个月以前发布,465,"36,329元/平"
高层中间户园景，户型通透，格局方正，采光通风好,黄杨明月轩 -井岸镇,1室1厅 | 43.22平米 | 西北 | 简装 | 高楼层(共13层)  | 板塔结合,0人关注 / 9天以前发布,33,"7,636元/平"
华发蔚蓝堡高层精装复式 南北通透  业主自改5房 实用,华发蔚蓝堡 -唐家湾镇,5室2厅 | 199.7平米 | 南 北 | 精装 | 18层  | 板楼,29人关注 / 一年前发布,520,"26,040元/平"
城轨站 高尔夫 精装四房 有钥匙随时可看,翠湖香山玉兰苑 -唐家湾镇,4室2厅 | 142.26平米 | 南 | 精装 | 36层  | 板塔结合,5人关注 / 8个月以前发布,370,"26,009元/平"
华发商都 御东领岸 3房2卫  业主急卖,御东领岸 -南湾,4室2厅 | 88.58平米 | 东南 西北 | 精装 | 中楼层(共18层)  | 板塔结合,4人关注 / 3个月以前发布,278,"31,385元/平"
高楼层，户型方正，视野好，一线河景,华发新城五期 -南湾,4室2厅 | 202.04平米 | 东南 | 精装 | 29层  | 塔楼,9人关注 / 一年前发布,548,"27,124元/平"
保利香槟小区中间 俯瞰整个法式园林 精装保养好,保利香槟国际花园 -航空新城,4室2厅 | 129.89平米 | 东南 | 精装 | 低楼层(共38层)  | 塔楼,16人关注 / 一年前发布,235,"18,093元/平"
保利央企物业，东南向看园景户型，双阳台，视野宽阔,保利香槟国际花园 -航空新城,4室2厅 | 130.19平米 | 东南 | 精装 | 中楼层(共39层)  | 塔楼,1人关注 / 7个月以前发布,246,"18,896元/平"
三灶镇繁华地段 映月新村 楼梯高层 朝南3房 业主诚心,映月新村 -三灶镇,3室2厅 | 99.18平米 | 南 | 简装 | 高楼层(共7层)  | 暂无数据,0人关注 / 14天以前发布,67,"6,756元/平"
中珠上城 3室1厅 南,中珠上城 -新香洲,3室1厅 | 84平米 | 南 | 精装 | 高楼层(共17层)  | 板楼,0人关注 / 8天以前发布,268.8,"32,000元/平"
时代倾城一期 南向看小区 时代物业 看房方便,时代倾城一期 -白蕉镇,3室1厅 | 94平米 | 南 | 简装 | 低楼层(共33层)  | 板塔结合,0人关注 / 5天以前发布,102,"10,852元/平"
楼层好，格局方正通透，3房2厅，一线海景,宏海湾花园 -吉大,3室1厅 | 127.01平米 | 东南 | 毛坯 | 低楼层(共23层)  | 塔楼,8人关注 / 5个月以前发布,310,"24,408元/平"
2017年万科海愉半岛二期，对标格力广场，未入住，九洲,海愉半岛花园 -吉大,3室2厅 | 122.52平米 | 南 | 精装 | 中楼层(共13层)  | 暂无数据,13人关注 / 7个月以前发布,438,"35,750元/平"
钰海上峰 金典2房 新装修 业主基本没住过,钰海上峰 -兰埔,2室2厅 | 84.76平米 | 东南 南 | 精装 | 高楼层(共29层)  | 塔楼,0人关注 / 1个月以前发布,228,"26,900元/平"
湖心路湖星水岸二期电梯中楼层阳光三房,湖星水岸华庭二期 -白藤头,3室2厅 | 87平米 | 南 | 精装 | 中楼层(共17层)  | 板楼,9人关注 / 8个月以前发布,110,"12,644元/平"
远大美域 精装4房2厅 景观视野好 得房率99.9%,远大美域 -唐家湾镇,4室2厅 | 144.57平米 | 南 | 精装 | 5层  | 板塔结合,27人关注 / 4个月以前发布,288,"19,922元/平"
前山*地段，复式大3房，通风采光好,中联国际 -兰埔,3室2厅 | 94.96平米 | 北 南 | 精装 | 中楼层(共32层)  | 板塔结合,5人关注 / 一年前发布,192,"20,220元/平"
24时通关高层大三房 东南向 采光通风佳,国华花园 -夏湾,4室2厅 | 145.8平米 | 东南 | 精装 | 高楼层(共11层)  | 板楼,8人关注 / 一年前发布,290,"19,891元/平"
高层实用2房，视野开阔，装修保养好,保利香槟国际花园 -航空新城,2室2厅 | 83.91平米 | 东南 | 精装 | 高楼层(共36层)  | 塔楼,9人关注 / 5个月以前发布,145,"17,281元/平"
居家电梯小两房  业主诚心出售 适合刚需上车的你,万威美地 -白藤头,2室2厅 | 60平米 | 东 东北 | 精装 | 中楼层(共17层)  | 塔楼,1人关注 / 3个月以前发布,78,"13,000元/平"
时代大盘 品质小区 新房没有住过  安静舒适视野开阔！,时代香海彼岸 -白藤头,3室2厅 | 94.89平米 | 南 | 精装 | 中楼层(共34层)  | 板塔结合,3人关注 / 一年前发布,137,"14,438元/平"
时代倾城一期笋盘业主诚心出售。,时代倾城一期 -白蕉镇,3室2厅 | 94.72平米 | 东南 | 精装 | 低楼层(共33层)  | 板塔结合,0人关注 / 一年前发布,100,"10,558元/平"
新加坡花园，小区中间，房子保养好，格局方正、、、、,新加坡花园一期 -新香洲,3室2厅 | 104.71平米 | 东 西 | 简装 | 中楼层(共7层)  | 板楼,1人关注 / 3个月以前发布,242,"23,112元/平"
靓房 红旗 正光广场 电梯中层三房两卫 9.9成新,中珠上郡四期 -红旗镇,3室1厅 | 86.49平米 | 东南 | 精装 | 中楼层(共18层)  | 板塔结合,2人关注 / 1个月以前发布,130,"15,031元/平"
此房到22年5月份 满五 业主诚心出售 价格可商量。,华融琴海湾 -横琴,3室2厅 | 118.82平米 | 南 | 精装 | 高楼层(共24层)  | 板楼,4人关注 / 6个月以前发布,565,"47,551元/平"
电梯顶层复式 南向 采光充足 装修保养好,海怡湾畔 -唐家湾镇,4室2厅 | 172.5平米 | 南 | 精装 | 9层  | 板塔结合,89人关注 / 8个月以前发布,370,"21,450元/平"
金湾红旗电梯精装4房电梯高层看小区有钥匙,集美雅苑 -白藤头,4室2厅 | 98.35平米 | 东南 | 精装 | 中楼层(共16层)  | 板楼,6人关注 / 5个月以前发布,118,"11,998元/平"
湖心路首站，房子保养很好，中间楼层，看小区园林,万威美地 -白藤头,3室2厅 | 109.15平米 | 东北 | 精装 | 中楼层(共17层)  | 塔楼,0人关注 / 1个月以前发布,125,"11,453元/平"
海湾花园二期，三部新的电梯，高层南向看海景，读九洲,海湾花园 -吉大,3室2厅 | 101.48平米 | 南 | 精装 | 中楼层(共29层)  | 板塔结合,16人关注 / 一年前发布,215,"21,187元/平"
鹤洲新区 世荣名筑大三房 业主自住保养好,世荣名筑 -白藤头,3室2厅 | 100.37平米 | 南 | 精装 | 低楼层(共18层)  | 板楼,9人关注 / 4个月以前发布,129,"12,853元/平"
夏湾宝泰花园河景大3房，楼层好，出行方便,宝泰花园 -夏湾,3室2厅 | 98.39平米 | 西南 | 精装 | 中楼层(共7层)  | 板楼,15人关注 / 11个月以前发布,195,"19,820元/平"
西海岸花园 精装四两厅两卫房 高层带一块菜地,西海岸花园 -平沙镇,4室2厅 | 100平米 | 东北 | 精装 | 高楼层(共18层)  | 暂无数据,3人关注 / 7个月以前发布,73,"7,300元/平"
此房在双湖路边，朝向东南，格局方正，随时可看房。,幸福南路 -红旗镇,4室2厅 | 122.48平米 | 东南 | 简装 | 高楼层(共6层)  | 暂无数据,10人关注 / 一年前发布,68,"5,552元/平"
业主诚心出售，楼层视野好，税费少。。。。,西海岸花园 -平沙镇,4室2厅 | 152.36平米 | 南 | 毛坯 | 中楼层(共11层)  | 暂无数据,11人关注 / 一年前发布,106,"6,958元/平"
精装两房保养好，高楼层，采光足,中珠上郡四期 -红旗镇,2室2厅 | 70.75平米 | 东南 | 精装 | 高楼层(共18层)  | 板塔结合,3人关注 / 一年前发布,103,"14,559元/平"
电梯中层精装三房，格局方正视野开阔,中珠上郡 -红旗镇,2室2厅 | 91.77平米 | 南 | 精装 | 中楼层(共17层)  | 板楼,1人关注 / 5个月以前发布,115,"12,532元/平"
万科品质高层南向3房视野开阔无遮挡,万科金域缇香 -兰埔,3室2厅 | 88.57平米 | 南 | 精装 | 高楼层(共32层)  | 板楼,53人关注 / 3个月以前发布,245,"27,662元/平"
户型方正，安静舒适，装修保养好，一梯两户采光通风好,君怡花园 -吉大,4室2厅 | 132.15平米 | 西南 | 精装 | 中楼层(共11层)  | 塔楼,1人关注 / 2个月以前发布,373,"28,226元/平"
湖心路新小区，业主诚心出售，看小区景观，保养好,时代香海彼岸 -白藤头,3室2厅 | 94.11平米 | 北 南 | 精装 | 低楼层(共34层)  | 板塔结合,15人关注 / 4个月以前发布,125,"13,283元/平"
龙光玖龙府 4房2卫 前后双阳台 毛坯9楼 通风采光好,龙光玖龙府 -航空新城,4室2厅 | 118.66平米 | 东南 | 毛坯 | 低楼层(共33层)  | 板塔结合,0人关注 / 2个月以前发布,239.9,"20,218元/平"
唐家高新区 远大美域电梯四期四房保养好 看山景 诚售,远大美域 -唐家湾镇,4室2厅 | 180.25平米 | 南 北 | 精装 | 11层  | 板楼,50人关注 / 一年前发布,400,"22,192元/平"
仁恒三期南向精装海景小三房，诚心出售满二税费各付,仁恒滨海半岛三期 -唐家湾镇,3室2厅 | 95.2平米 | 东南 | 精装 | 34层  | 板塔结合,26人关注 / 11个月以前发布,305,"32,038元/平"
保利香槟4房急售急售 高层 无欠款,保利香槟国际花园 -航空新城,4室2厅 | 130.31平米 | 南 | 精装 | 高楼层(共36层)  | 塔楼,3人关注 / 3个月以前发布,220,"16,883元/平"
南屏蓝溪枫景精装2房业主诚心出售看房方便,蓝溪枫景 -南屏,2室2厅 | 77.5平米 | 南 | 精装 | 中楼层(共9层)  | 塔楼,1人关注 / 2个月以前发布,135,"17,420元/平"
金湾文体の电梯高层三房 视野采光充足,旗景中央园 -红旗镇,3室2厅 | 91.27平米 | 西南 | 精装 | 高楼层(共16层)  | 板塔结合,0人关注 / 4个月以前发布,118,"12,929元/平"
珠海湖心路看湖景精装舒奢三房 业主诚心出售,家和城二期 -白藤头,3室2厅 | 88.18平米 | 南 | 精装 | 低楼层(共32层)  | 板塔结合,33人关注 / 一年前发布,132,"14,970元/平"
保利五月花  南北通四房户型，没住过人，近中山大学,保利海上五月花 -唐家湾镇,4室2厅 | 141.28平米 | 东南 | 精装 | 高楼层(共28层)  | 板塔结合,87人关注 / 一年前发布,416,"29,446元/平"
吉大12年小区新光御景山113平方3房2卫双阳台,新光御景山花园 -吉大,3室2厅 | 112.91平米 | 南 北 | 简装 | 低楼层(共23层)  | 塔楼,1人关注 / 2个月以前发布,295,"26,128元/平"
业主诚心出售近拱北大三房。高楼层。格局方正。,正邦岭秀城 -拱北,3室2厅 | 132.29平米 | 南 | 精装 | 高楼层(共26层)  | 板楼,0人关注 / 5个月以前发布,350,"26,458元/平"
头排高尔夫景观，在自家阳台休闲赏景令人神清气爽,翠湖香山玉兰苑 -唐家湾镇,3室2厅 | 102平米 | 南 | 精装 | 28层  | 板塔结合,4人关注 / 4个月以前发布,325,"31,863元/平"
保利五月花精装四房，景观好采光足，少有的房源,保利海上五月花 -唐家湾镇,4室2厅 | 142.05平米 | 东南 | 其他 | 低楼层(共31层)  | 板塔结合,13人关注 / 7个月以前发布,438,"30,835元/平"
海怡湾畔 南向电梯4房，带大阳台,海怡湾畔 -唐家湾镇,4室2厅 | 132平米 | 南 | 精装 | 9层  | 板塔结合,236人关注 / 一年前发布,288,"21,819元/平"
唐家后环  家门口就是公园   绿景后湾南北通四房,绿景后湾 -唐家湾镇,4室1厅 | 118平米 | 北 | 精装 | 17层  | 板塔结合,0人关注 / 1个月以前发布,330,"27,967元/平"
百合花园大三房 精装修 保养好  看小区中间 诚心出售,百合花园 -夏湾,3室2厅 | 107.76平米 | 北 | 精装 | 中楼层(共7层)  | 板楼,0人关注 / 3个月以前发布,212,"19,674元/平"
看花园，户型方正二方，南向阳台,保利香槟国际花园 -航空新城,2室2厅 | 87.61平米 | 南 | 精装 | 中楼层(共30层)  | 塔楼,3人关注 / 3个月以前发布,143,"16,323元/平"
业主急卖 翠湖香山玉兰苑 近北理工 朝南三房 精装修,翠湖香山玉兰苑 -唐家湾镇,3室2厅 | 101.4平米 | 南 | 精装 | 32层  | 板塔结合,76人关注 / 8个月以前发布,255,"25,148元/平"
湖心路主干道  格局好 新精装修没入住过,诚丰新园 -白藤头,3室1厅 | 115.72平米 | 东南 | 精装 | 高楼层(共18层)  | 板楼,2人关注 / 4个月以前发布,135,"11,667元/平"
蔚蓝堡精装南向洋房三楼带多个阳台出售,华发蔚蓝堡 -唐家湾镇,4室2厅 | 154.8平米 | 南 | 精装 | 中楼层(共6层)  | 板楼,2人关注 / 1个月以前发布,388,"25,065元/平"
央企物业，满五，南向户型，交通便利,保利香槟国际花园 -航空新城,3室2厅 | 96.7平米 | 东南 | 精装 | 低楼层(共36层)  | 塔楼,5人关注 / 9个月以前发布,165,"17,064元/平"
南北设计 房子通透明亮 户型使用率高 楼层好视野开阔,中珠上郡二三期 -红旗镇,3室2厅 | 90.14平米 | 东南 | 毛坯 | 高楼层(共23层)  | 板塔结合,1人关注 / 3个月以前发布,113,"12,537元/平"
带花园，带天井，实用高，东南向两房，刚需好选择,权兴花园 -夏湾,2室2厅 | 74.75平米 | 东南 | 精装 | 低楼层(共6层)  | 板楼,33人关注 / 8个月以前发布,163.8,"21,914元/平"
双口岸 拱北 中珠豪庭 电梯三房 业主诚心出售,中珠豪庭 -拱北,3室2厅 | 117.46平米 | 东 | 简装 | 高楼层(共16层)  | 塔楼,16人关注 / 一年前发布,220,"18,730元/平"
正南朝向，采光好，格局合理，可用空间大,东方润园 -红旗镇,3室2厅 | 83.68平米 | 南 | 毛坯 | 低楼层(共18层)  | 板塔结合,11人关注 / 8个月以前发布,116,"13,863元/平"
湖心路 东方威尼城 毛胚3房 通风 中间楼层 采光好,东方威尼城 -白藤头,2室2厅 | 92.05平米 | 南 | 毛坯 | 低楼层(共27层)  | 板塔结合,3人关注 / 3个月以前发布,89,"9,669元/平"
楼层好 稀  有户型 朝南向 满五 唯   一 诚心出售,保利香槟国际花园 -航空新城,3室2厅 | 97.31平米 | 东南 | 精装 | 中楼层(共36层)  | 塔楼,7人关注 / 5个月以前发布,190,"19,526元/平"
钰海山庄 南向高楼层 大三房 无遮挡 看房方便,钰海山庄 -兰埔,3室2厅 | 120.9平米 | 南 | 简装 | 中楼层(共23层)  | 板楼,0人关注 / 3个月以前发布,325,"26,882元/平"
龙光九龙湾，2房，温馨住家。拱北口岸门口,龙光玖龙湾 -夏湾,2室1厅 | 72平米 | 南 | 精装 | 25层  | 塔楼,14人关注 / 一年前发布,248,"34,445元/平"
近关口满五年南向三房双阳台，小区中间,春泽名园 -夏湾,3室2厅 | 114.66平米 | 东南 | 简装 | 高楼层(共11层)  | 塔楼,7人关注 / 一年前发布,225,"19,624元/平"
湖心路电梯三房，格局方正通风采光足,藤业富濠广场 -白藤头,3室2厅 | 88.25平米 | 东南 | 简装 | 低楼层(共17层)  | 板楼,0人关注 / 2个月以前发布,98,"11,105元/平"
交楼未住过！可做婚房 3房2卫 中间楼层 过五少税,山海一品海岸花园 -三灶镇,3室2厅 | 96.67平米 | 东 | 精装 | 中楼层(共32层)  | 板楼,0人关注 / 30天以前发布,158,"16,345元/平"
高楼层  看园林  朝南向   采光充足  视野宽阔,华发城建未来荟 -上冲,3室2厅 | 86平米 | 南 | 精装 | 高楼层(共38层)  | 塔楼,101人关注 / 24天以前发布,250,"29,070元/平"
