标题,开发商,房子信息,发布信息,售价/万,单价
观江府4-2-1-2 118.00m² 房东急售 江景房,观江府 -大兴,4室2厅 | 118平米 | 东南 | 毛坯 | 高楼层(共8层)  | 暂无数据,2人关注 / 一年前发布,88,"7,458元/平"
十里源湾，套四大户型，视野开阔，楼下熊猫绿岛大公园,十里原湾 -上坝区域,4室2厅 | 157.13平米 | 南 | 毛坯 | 低楼层(共25层)  | 塔楼,2人关注 / 一年前发布,130,"8,274元/平"
十里原湾 精装套三空房 房东急售 只要120万,十里原湾 -上坝区域,3室2厅 | 119.92平米 | 南 北 | 精装 | 高楼层(共27层)  | 暂无数据,3人关注 / 3个月以前发布,120,"10,007元/平"
西康国际小区  交通便利 小区环境 干净舒适 适合居住,西康国际 -名山区,3室2厅 | 91平米 | 南 | 毛坯 | 中楼层(共18层)  | 塔楼,0人关注 / 一年前发布,53,"5,825元/平"
观江府套三双卫二楼带140平方平台房东诚心出售,观江府 -大兴,3室2厅 | 97.38平米 | 东南 | 毛坯 | 低楼层(共15层)  | 塔楼,7人关注 / 一年前发布,78,"8,010元/平"
金色雅郡套三单卫房东诚心出售楼层好户型好,正黄金色雅郡 -姚桥,3室2厅 | 85.56平米 | 西北 | 毛坯 | 高楼层(共24层)  | 塔楼,5人关注 / 一年前发布,53.9,"6,300元/平"
采光充足，洋房，可以实地看房，带车位,小城绿岛A区 -上坝区域,4室2厅 | 156平米 | 南 | 毛坯 | 中楼层(共4层)  | 板楼,0人关注 / 1个月以前发布,145,"9,295元/平"
三室两厅一厨两卫...........,西网江湾城 -大兴,3室2厅 | 108平米 | 南 | 毛坯 | 中楼层(共17层)  | 暂无数据,1人关注 / 7个月以前发布,95,"8,797元/平"
楼层视野好，一梯两户板式结构的户型,蘭台府一期 -大兴,3室1厅 | 132平米 | 东南 | 毛坯 | 中楼层(共18层)  | 暂无数据,0人关注 / 1个月以前发布,92,"6,970元/平"
龙溪源4-2-1-2 134.00m² 72 万,龙溪源 -大兴,4室2厅 | 134平米 | 东南 | 其他 | 低楼层(共16层)  | 暂无数据,5人关注 / 一年前发布,72,"5,374元/平"
观江府金典户型，电梯直达入户，马上下证过户方便,观江府 -大兴,3室2厅 | 101平米 | 南 | 毛坯 | 低楼层(共11层)  | 暂无数据,1人关注 / 一年前发布,64,"6,337元/平"
套三双卫，精装未入住，带有屋顶花园,丝绸公司商住楼 -名山区,3室2厅 | 125平米 | 南 | 精装 | 高楼层(共6层)  | 暂无数据,0人关注 / 4个月以前发布,56,"4,480元/平"
大兴现房 横厅套三双卫设计 业主急售,金科天宸雅苑 -大兴,3室2厅 | 105平米 | 西北 东北 | 毛坯 | 低楼层(共18层)  | 暂无数据,3人关注 / 5个月以前发布,71,"6,762元/平"
套三双卫，精装修，视野开阔，看房方便 带大车位,拓海第一江岸1期 -姚桥,3室2厅 | 98.65平米 | 东南 | 精装 | 中楼层(共26层)  | 暂无数据,0人关注 / 1个月以前发布,90,"9,124元/平"
金科二期雅郡 4室2厅2卫 清水房,金科天宸雅郡 -大兴,4室2厅 | 111平米 | 南 | 毛坯 | 中楼层(共21层)  | 板塔结合,4人关注 / 一年前发布,72,"6,487元/平"
澜台府一期清水套三双卫，楼层巴适，,蘭台府一期 -大兴,3室2厅 | 114.7平米 | 南 | 毛坯 | 中楼层(共17层)  | 暂无数据,0人关注 / 一年前发布,78,"6,801元/平"
金科二期40W精装套4房东急售,金科天宸雅郡 -大兴,4室2厅 | 125平米 | 东南 | 精装 | 低楼层(共10层)  | 暂无数据,9人关注 / 一年前发布,130,"10,400元/平"
红锦山庄4-2-1-2 189.00m² 92 万,红锦山庄 -城后区域,4室2厅 | 189平米 | 西南 | 其他 | 中楼层(共5层)  | 板塔结合,3人关注 / 一年前发布,90,"4,762元/平"
伯爵公馆 2室1厅 交通便利 小区环境干净舒适 适合居住,伯爵公馆 -名山区,2室1厅 | 72.4平米 | 东南 | 毛坯 | 高楼层(共33层)  | 塔楼,0人关注 / 一年前发布,42.5,"5,871元/平"
金科集美江宸 3室2厅 东南,金科集美江宸 -大兴,3室2厅 | 97平米 | 东南 | 毛坯 | 低楼层(共11层)  | 暂无数据,2人关注 / 一年前发布,85,"8,763元/平"
恒信精装套三 楼层适中 保养新,恒信上海城 -姚桥,3室2厅 | 97.44平米 | 南 | 精装 | 中楼层(共18层)  | 塔楼,4人关注 / 一年前发布,85,"8,724元/平"
交通便利、小区环境干净舒适、适合居住,十里原湾 -上坝区域,4室2厅 | 124平米 | 西南 | 毛坯 | 高楼层(共31层)  | 板楼,4人关注 / 一年前发布,95,"7,662元/平"
彩虹湾三室俩厅交通便利 小区环境干净舒适 适合居住,彩虹湾 -名山区,3室2厅 | 115.6平米 | 南 | 毛坯 | 低楼层(共24层)  | 塔楼,0人关注 / 3个月以前发布,68,"5,883元/平"
领地一期好楼层套三双卫，方正户型实际110多，诚意出,领地凯旋帝景一期B2 -姚桥,3室2厅 | 91.54平米 | 东 | 毛坯 | 中楼层(共6层)  | 塔楼,4人关注 / 6个月以前发布,73,"7,975元/平"
四季名城 套四双卫 通便利 小区环境干净舒适 适合居住,四季名城 -名山区,4室2厅 | 140平米 | 南 | 精装 | 高楼层(共21层)  | 塔楼,4人关注 / 一年前发布,103,"7,358元/平"
万达旁  四小旁边  带楼顶私人花园,领地.凯旋帝景1期B1 -姚桥,2室2厅 | 79平米 | 东南 | 精装 | 高楼层(共6层)  | 暂无数据,0人关注 / 1个月以前发布,58,"7,342元/平"
领地一期精装套二 满二 就住了几天 随时看,领地凯旋帝景一期B2 -姚桥,2室2厅 | 83.61平米 | 南 | 精装 | 中楼层(共6层)  | 暂无数据,0人关注 / 3个月以前发布,65,"7,775元/平"
四季名城稀有套二清水房，视野开阔,四季名城 -名山区,2室2厅 | 83.85平米 | 南 | 毛坯 | 高楼层(共14层)  | 塔楼,3人关注 / 9个月以前发布,41.8,"4,986元/平"
大兴现房 正对中 央公园 小套三 视野采光好,金科天宸雅郡 -大兴,3室2厅 | 88.28平米 | 南 | 毛坯 | 高楼层(共21层)  | 板塔结合,3人关注 / 9个月以前发布,56,"6,344元/平"
康藏路单位房 2室2厅1卫 装修 全配 小区可停车,康藏路790号 -康藏路区域,2室1厅 | 86平米 | 南 | 简装 | 中楼层(共7层)  | 暂无数据,14人关注 / 一年前发布,30,"3,489元/平"
江景，精装大套二，有钥匙，9成新,恒信上海城 -姚桥,2室1厅 | 97.5平米 | 南 | 精装 | 高楼层(共33层)  | 平房,0人关注 / 3个月以前发布,77,"7,898元/平"
此房满五年，出行方便，户型方正，居住方便舒适，,青江国际花园 -姚桥,3室2厅 | 138平米 | 南 | 精装 | 中楼层(共18层)  | 暂无数据,1人关注 / 5个月以前发布,139,"10,073元/平"
金科天宸雅郡 4室2厅 东南,金科天宸雅郡 -大兴,4室2厅 | 135.82平米 | 东南 | 毛坯 | 低楼层(共10层)  | 暂无数据,1人关注 / 一年前发布,128,"9,425元/平"
品质小区，洋房，一楼带花园，4室2厅1厨2卫,凯悦天地 -大兴,4室2厅 | 135平米 | 南 北 | 毛坯 | 低楼层(共7层)  | 板塔结合,8人关注 / 一年前发布,116,"8,593元/平"
一梯两户 板式洋房 品质小区 中庭位置 带车位,凯悦天地 -大兴,4室1厅 | 135平米 | 东南 | 毛坯 | 中楼层(共7层)  | 暂无数据,4人关注 / 6个月以前发布,118,"8,741元/平"
万达商圈，精装修，楼层好，视野开阔,领地.凯旋帝景1期B1 -姚桥,3室1厅 | 95.53平米 | 西南 | 精装 | 高楼层(共6层)  | 板楼,1人关注 / 2个月以前发布,70,"7,328元/平"
此房地段好，配套设施齐全，环境优美！,金科集美江宸 -大兴,3室1厅 | 98平米 | 南 | 毛坯 | 低楼层(共11层)  | 暂无数据,0人关注 / 9个月以前发布,88,"8,980元/平"
此房已满二！！！！！！！！！！,拓海第一江岸1期 -姚桥,3室2厅 | 107平米 | 东南 | 精装 | 高楼层(共32层)  | 板塔结合,8人关注 / 一年前发布,99,"9,253元/平"
出行方便，套三精装修，拎包入住，停车方便。,红园路76号 -康藏路区域,3室2厅 | 82.16平米 | 东南 | 精装 | 中楼层(共6层)  | 暂无数据,10人关注 / 一年前发布,44,"5,356元/平"
大兴金科二期满两年 精装修！拎包入住，价格可议.,金科天宸雅郡 -大兴,3室2厅 | 95平米 | 东南 南 | 精装 | 高楼层(共21层)  | 塔楼,4人关注 / 一年前发布,85,"8,948元/平"
房子 地段好，楼层也巴适   位于大兴雅中门口,花间集 -大兴,2室1厅 | 78平米 | 东南 | 毛坯 | 高楼层(共15层)  | 暂无数据,1人关注 / 一年前发布,56,"7,180元/平"
楼层视野好，正对大兴公园，，房东包过户,金科天宸雅郡 -大兴,3室2厅 | 87平米 | 西 | 毛坯 | 高楼层(共21层)  | 板塔结合,7人关注 / 11个月以前发布,54.2,"6,230元/平"
清水洋房户型方正诚售，采光好视野好,观江府 -大兴,3室2厅 | 101平米 | 东南 | 毛坯 | 高楼层(共11层)  | 暂无数据,0人关注 / 8天以前发布,69,"6,832元/平"
出行方便，户型方正，居住方便舒适,观江府 -大兴,4室2厅 | 118平米 | 南 | 毛坯 | 中楼层(共8层)  | 暂无数据,0人关注 / 19天以前发布,94,"7,967元/平"
十里源湾 3室2厅 交通便利 小区环境干净舒适 适合居住,十里原湾 -上坝区域,3室2厅 | 127.5平米 | 南 | 毛坯 | 中楼层(共24层)  | 塔楼,0人关注 / 11个月以前发布,112,"8,785元/平"
十里原湾套三双卫出售，价格美丽,十里原湾 -上坝区域,3室1厅 | 126.66平米 | 南 | 毛坯 | 高楼层(共32层)  | 塔楼,0人关注 / 27天以前发布,99,"7,817元/平"
商贸城高品质低密社区楼盘，业主急售，价格可议,翰城1981二期 -姚桥,3室2厅 | 109.63平米 | 西南 | 毛坯 | 高楼层(共17层)  | 板塔结合,0人关注 / 3天以前发布,72,"6,568元/平"
该房户型方正，采光好，通透，通透性好,正黄金色雅郡 -姚桥,3室1厅 | 86平米 | 东南 | 毛坯 | 高楼层(共25层)  | 塔楼,0人关注 / 一年前发布,62.8,"7,303元/平"
金科天宸雅郡 3室2厅 南,金科天宸雅郡 -大兴,3室2厅 | 88平米 | 南 | 其他 | 低楼层(共21层)  | 塔楼,0人关注 / 1天以前发布,63,"7,160元/平"
金科天宸雅郡 4室2厅  小区环境 干净舒适 适合居住,金科天宸雅郡 -大兴,4室2厅 | 111平米 | 南 | 毛坯 | 高楼层(共21层)  | 板塔结合,0人关注 / 19天以前发布,81,"7,298元/平"
籣台府一期.套三双卫.2梯2户板式结构,蘭台府一期 -大兴,3室2厅 | 131.88平米 | 东南 | 毛坯 | 低楼层(共18层)  | 板楼,0人关注 / 19天以前发布,105,"7,962元/平"
洋房观江府  独立电梯厅入户 有钥匙随时看房,观江府 -大兴,3室2厅 | 101平米 | 东南 | 毛坯 | 中楼层(共11层)  | 暂无数据,0人关注 / 1个月以前发布,70.8,"7,010元/平"
小区占地面积大，交通便利，绿化多，配套完善,蘭台府一期 -大兴,3室2厅 | 115平米 | 南 | 毛坯 | 高楼层(共17层)  | 塔楼,0人关注 / 2个月以前发布,96,"8,348元/平"
大兴桥头堡，套三双卫，户型方正，家具家电齐全,西网江湾城 -大兴,3室1厅 | 108平米 | 东南 | 精装 | 中楼层(共17层)  | 暂无数据,0人关注 / 4个月以前发布,98,"9,075元/平"
观江府 3室2厅 南,观江府 -大兴,3室2厅 | 100.17平米 | 南 | 毛坯 | 高楼层(共11层)  | 暂无数据,0人关注 / 7个月以前发布,83.6,"8,346元/平"
观江府   此房套三双卫    采光好   业主诚心出售,观江府 -大兴,3室2厅 | 101平米 | 东南 | 毛坯 | 中楼层(共11层)  | 暂无数据,0人关注 / 3个月以前发布,72,"7,129元/平"
三室两厅一厨两卫.......,蘭台府一期 -大兴,3室2厅 | 114.7平米 | 南 | 毛坯 | 中楼层(共17层)  | 板楼,0人关注 / 7个月以前发布,85,"7,411元/平"
此房通透、楼层好、视野宽阔、采光充足、环境优美,花间集 -大兴,3室2厅 | 105平米 | 东 | 毛坯 | 低楼层(共18层)  | 塔楼,1人关注 / 7个月以前发布,75,"7,143元/平"
翰城1981二期 4室2厅 东南,翰城1981二期 -姚桥,4室2厅 | 121平米 | 东南 | 毛坯 | 中楼层(共17层)  | 板塔结合,1人关注 / 一年前发布,82.8,"6,843元/平"
川航雅郡 4室2厅 南,川航雅郡 -姚桥,4室2厅 | 140.72平米 | 南 | 简装 | 高楼层(共6层)  | 板楼,0人关注 / 27天以前发布,73,"5,188元/平"
拓海江岸一期精装修竖厅套三出售,拓海第一江岸1期 -姚桥,3室1厅 | 108平米 | 东南 | 精装 | 中楼层(共30层)  | 板塔结合,0人关注 / 13天以前发布,103,"9,538元/平"
精装修套三，楼层巴适，采光足，带车位，急售,正黄金域首府二期 -姚桥,3室1厅 | 103.04平米 | 东南 | 精装 | 低楼层(共33层)  | 暂无数据,0人关注 / 16天以前发布,98,"9,511元/平"
业主诚心出售，正看江景套三双卫，带车位，随时可看房,碧桂园.江畔里 -大兴,3室2厅 | 96.3平米 | 东南 | 毛坯 | 中楼层(共26层)  | 板塔结合,0人关注 / 3天以前发布,65,"6,750元/平"
江岸二期，满五唯一，楼层适中。,拓海第一江岸2期 -姚桥,3室2厅 | 106.25平米 | 东 | 毛坯 | 中楼层(共17层)  | 暂无数据,0人关注 / 8天以前发布,75,"7,059元/平"
蘭台府一期 3室2厅 南,蘭台府一期 -大兴,3室2厅 | 131平米 | 南 | 其他 | 低楼层(共18层)  | 板楼,0人关注 / 1天以前发布,95,"7,252元/平"
七彩雅安套三双卫，有钥匙，居家装修，诚心出售！！,七彩雅安 -名山区,3室2厅 | 132平米 | 南 | 精装 | 中楼层(共5层)  | 板塔结合,0人关注 / 一年前发布,63,"4,773元/平"
房子位置好 装修好 带衣帽间 领包入住,拓海第一江岸1期 -姚桥,3室2厅 | 107.73平米 | 东南 | 精装 | 高楼层(共30层)  | 塔楼,2人关注 / 一年前发布,80,"7,426元/平"
太雅坊 4室2厅 带屋顶花园 小区环境干净舒适 适合居住,青衣江路中段90号 -康藏路区域,4室2厅 | 102.49平米 | 南 | 毛坯 | 高楼层(共24层)  | 塔楼,2人关注 / 一年前发布,88,"8,587元/平"
领地凯旋帝景一期B2 3室2厅 南,领地凯旋帝景一期B2 -姚桥,3室2厅 | 95平米 | 南 | 精装 | 中楼层(共6层)  | 塔楼,0人关注 / 15天以前发布,90,"9,474元/平"
金色家园大套三，满五唯一，拎包入住,科盛金色家园 -三雅园,3室1厅 | 138.8平米 | 东南 | 精装 | 低楼层(共19层)  | 塔楼,0人关注 / 10天以前发布,84,"6,052元/平"
正黄一期3室2厅  成熟配套  交通便捷,正黄金域首府一期 -姚桥,3室2厅 | 114平米 | 南 | 简装 | 低楼层(共33层)  | 暂无数据,0人关注 / 6天以前发布,88,"7,720元/平"
凯悦一期套四，户型方正，视野开阔,凯悦天地 -大兴,4室1厅 | 125平米 | 东南 | 毛坯 | 中楼层(共17层)  | 暂无数据,0人关注 / 1个月以前发布,96,"7,680元/平"
此房满2年，出行方便，户型方正，居住方便舒适,拓海第一江岸1期 -姚桥,3室1厅 | 98.37平米 | 南 | 精装 | 低楼层(共31层)  | 板塔结合,2人关注 / 5个月以前发布,77,"7,828元/平"
一梯两户的洋房，，采光好。。。。。。。,金科集美江宸 -大兴,3室1厅 | 96.8平米 | 东南 | 毛坯 | 中楼层(共11层)  | 暂无数据,1人关注 / 5个月以前发布,69,"7,129元/平"
此房满二唯一，户型方正通透，楼层好。周 边配套完善,金科天宸雅郡 -大兴,4室2厅 | 111平米 | 东南 | 毛坯 | 高楼层(共21层)  | 板塔结合,0人关注 / 4个月以前发布,85,"7,658元/平"
金科天宸雅郡   套三双卫    采光好,金科天宸雅郡 -大兴,3室2厅 | 111平米 | 东南 | 毛坯 | 高楼层(共21层)  | 塔楼,0人关注 / 3个月以前发布,80,"7,208元/平"
小区占地面积大，交通便利，绿化多，配套完善,蘭台府一期 -大兴,3室2厅 | 115平米 | 东南 南 | 毛坯 | 高楼层(共17层)  | 板楼,0人关注 / 2个月以前发布,90,"7,827元/平"
精装修套三双卫  领包入住   安静不吵闹,灯塔雅舍 -康藏路区域,3室2厅 | 122.43平米 | 东南 | 简装 | 中楼层(共7层)  | 暂无数据,0人关注 / 23天以前发布,55.8,"4,558元/平"
韩城1981二期套三双卫，带车位，带60平平台,翰城1981二期 -姚桥,3室1厅 | 95.89平米 | 西南 | 毛坯 | 低楼层(共17层)  | 板塔结合,0人关注 / 21天以前发布,70,"7,301元/平"
市政府，交警队隔壁，公馆1981，套三双卫，,公馆1981B区小区 -姚桥,3室2厅 | 105.47平米 | 南 | 简装 | 低楼层(共25层)  | 板塔结合,0人关注 / 1个月以前发布,75,"7,112元/平"
准新房领地云璟品质高小洋房业主换房带车位诚心出售,领地蘭台府云璟 -大兴,4室2厅 | 117平米 | 东南 | 毛坯 | 高楼层(共11层)  | 板楼,0人关注 / 22天以前发布,100,"8,548元/平"
彩虹名居 3室2厅 交通便利 小区环境干净舒适 适合居住,彩虹名居 -名山区,3室2厅 | 103平米 | 东南 | 精装 | 中楼层(共6层)  | 暂无数据,0人关注 / 25天以前发布,53,"5,146元/平"
恒信套三楼层采光好，户型好，房东诚心出售,恒信上海城 -姚桥,3室2厅 | 88.68平米 | 东南 | 精装 | 高楼层(共18层)  | 塔楼,6人关注 / 一年前发布,84,"9,473元/平"
此房楼层好，房视野开阔，采光充足，楼中楼跃层。,山水豪庭 -三雅园,3室2厅 | 131.85平米 | 南 | 毛坯 | 高楼层(共28层)  | 塔楼,0人关注 / 2个月以前发布,92,"6,978元/平"
大户型 优质带车位高品质小洋房 清水房,领地蘭台府云璟 -大兴,3室2厅 | 116.67平米 | 东南 | 毛坯 | 高楼层(共11层)  | 暂无数据,0人关注 / 4个月以前发布,91,"7,800元/平"
四小旁边三室两厅两卫，坐北朝南，配套成熟，交通方便,正黄金域首座 -姚桥,3室2厅 | 102平米 | 南 | 毛坯 | 高楼层(共26层)  | 塔楼,0人关注 / 19天以前发布,63.5,"6,226元/平"
大兴品质小区，套四双卫 ，户型房子，宽敞明亮。,蘭台府3期 -大兴,4室1厅 | 107平米 | 东南 | 毛坯 | 中楼层(共17层)  | 暂无数据,0人关注 / 21天以前发布,82,"7,664元/平"
老城区标准套三户型，房东诚心卖，价格好商量,张家山路256号 -城后区域,3室2厅 | 131.7平米 | 南 | 简装 | 中楼层(共5层)  | 暂无数据,0人关注 / 17天以前发布,36,"2,734元/平"
江景房 楼层好、视野宽阔、采光充足、带车位出售,十里原湾 -上坝区域,4室2厅 | 135平米 | 东南 | 毛坯 | 低楼层(共27层)  | 塔楼,0人关注 / 14天以前发布,145,"10,741元/平"
凯悦天地1期洋房.套3双卫.看房有钥匙,凯悦天地 -大兴,3室2厅 | 128平米 | 南 北 | 毛坯 | 中楼层(共7层)  | 暂无数据,0人关注 / 17天以前发布,113,"8,829元/平"
江湾城两梯两户，16楼，楼层适中,西网江湾城 -大兴,3室2厅 | 120平米 | 东 | 毛坯 | 高楼层(共17层)  | 暂无数据,0人关注 / 17天以前发布,95.5,"7,959元/平"
商贸城片区  500多平平台房  房主诚心出售,翰城1981一期 -姚桥,3室2厅 | 97平米 | 东南 | 毛坯 | 低楼层(共24层)  | 塔楼,0人关注 / 15天以前发布,122,"12,578元/平"
视野宽阔，采光好，小区配套设施齐全,观江府 -大兴,3室2厅 | 106平米 | 南 | 毛坯 | 低楼层(共15层)  | 板楼,0人关注 / 19天以前发布,76,"7,170元/平"
2梯2户，电梯直接入户，户型方正，视野开阔,领地天屿 -姚桥,4室1厅 | 138.5平米 | 东南 | 毛坯 | 低楼层(共25层)  | 板楼,0人关注 / 16天以前发布,125,"9,026元/平"
采光好、小区环境优美，居住舒适度高。,龙溪源 -大兴,4室2厅 | 133.57平米 | 东南 | 毛坯 | 中楼层(共16层)  | 暂无数据,0人关注 / 12天以前发布,98,"7,337元/平"
正对打兴公园视野好，，边边户，满二,领地蘭台府云璟 -大兴,3室1厅 | 99平米 | 东南 | 毛坯 | 高楼层(共17层)  | 暂无数据,0人关注 / 11天以前发布,78,"7,879元/平"
澜台府云景1梯2户洋房套四房屋出售,领地蘭台府云璟 -大兴,4室1厅 | 118平米 | 东南 | 毛坯 | 中楼层(共11层)  | 暂无数据,0人关注 / 11天以前发布,79.8,"6,763元/平"
2梯2户，电梯直接入户，户型方正，视野开阔,领地天屿 -姚桥,4室1厅 | 139平米 | 东南 | 毛坯 | 高楼层(共25层)  | 板塔结合,0人关注 / 16天以前发布,142,"10,216元/平"
名山玉管处小区，户型方正楼层好，价格可议,茶都大道261号 -名山区,3室2厅 | 128平米 | 南 | 简装 | 中楼层(共6层)  | 暂无数据,0人关注 / 13天以前发布,52,"4,063元/平"
正黄一期套三，，楼层好采光好，交通便利,正黄金域首府一期 -姚桥,3室2厅 | 86.41平米 | 东 | 毛坯 | 高楼层(共32层)  | 板塔结合,2人关注 / 一年前发布,69.8,"8,078元/平"
此房前后通透格局、楼层好、视野宽阔、采光充足、,观江府 -大兴,3室1厅 | 98平米 | 东南 | 毛坯 | 高楼层(共15层)  | 塔楼,0人关注 / 9天以前发布,63,"6,429元/平"
房子在一楼，门口可以自己打开，做生意的,尚雅怡心苑 -姚桥,3室1厅 | 101.2平米 | 东南 | 简装 | 低楼层(共18层)  | 塔楼,0人关注 / 13天以前发布,48,"4,744元/平"
此房是在公园里的房子 居住舒适 适合所 有人群,十里原湾 -上坝区域,3室2厅 | 109平米 | 东南 | 毛坯 | 高楼层(共30层)  | 板塔结合,0人关注 / 3个月以前发布,105,"9,634元/平"
花间集   套三双卫  楼层好  安静,花间集 -大兴,3室2厅 | 105平米 | 东南 | 毛坯 | 中楼层(共15层)  | 暂无数据,0人关注 / 2天以前发布,64,"6,096元/平"
此房套三双卫带装修，前后通透。,观江府 -大兴,3室1厅 | 98平米 | 东南 | 精装 | 高楼层(共15层)  | 板楼,0人关注 / 10天以前发布,88,"8,980元/平"
公园里的住房，环境优美 空气清晰 你还在等什么？,十里原湾 -上坝区域,3室2厅 | 109平米 | 西南 西 | 毛坯 | 低楼层(共30层)  | 板塔结合,0人关注 / 19天以前发布,100,"9,175元/平"
滨江华庭 套三双卫 安装了电梯  全屋暖气,滨江华庭 -三雅园,3室2厅 | 118平米 | 东南 | 精装 | 中楼层(共6层)  | 塔楼,0人关注 / 6天以前发布,72,"6,102元/平"
大众路53号 3室2厅 南,大众路53号 -西城区域,3室2厅 | 130平米 | 南 | 其他 | 低楼层(共7层)  | 塔楼,0人关注 / 4天以前发布,55,"4,231元/平"
老城区电梯房大套三，房东诚心出售~,领地天澜 -城后区域,3室1厅 | 126平米 | 南 | 毛坯 | 低楼层(共17层)  | 暂无数据,0人关注 / 7天以前发布,69.8,"5,540元/平"
