标题,开发商,房子信息,发布信息,售价/万,单价
御龙湾，东上首户型，好楼层，诚心出售。,金鹰御珑湾 -东台市,3室2厅 | 132平米 | 南 北 | 精装 | 低楼层(共26层)  | 塔楼,1人关注 / 15天以前发布,210,"15,910元/平"
新弄里旁 税少满五唯一，诚心出售，中上楼层 人车分流,金辉城 -中南商圈,3室2厅 | 92.33平米 | 南 | 精装 | 高楼层(共32层)  | 板楼,0人关注 / 10天以前发布,125,"13,539元/平"
港龙华侨城 3室2厅 南,港龙华侨城 -麦德龙商圈,3室2厅 | 107平米 | 南 | 精装 | 中楼层(共27层)  | 板塔结合,0人关注 / 8天以前发布,138,"12,898元/平"
恒大悦澜湾，4室2卫，精装修，中上楼层，看房随时,恒大悦澜湾 -亭湖高中商圈,4室2厅 | 141.12平米 | 南 | 精装 | 高楼层(共14层)  | 暂无数据,0人关注 / 6天以前发布,160,"11,338元/平"
德惠尚书房锦苑 四房 精装 品质小区 位置好 园林设计,德惠尚书房锦苑 -亭湖高中商圈,4室2厅 | 123.88平米 | 南 北 | 精装 | 高楼层(共9层)  | 板塔结合,1人关注 / 7天以前发布,169.8,"13,707元/平"
中南世纪城瑞城  采光好  满五唯一 毛坯随心装,中南世纪城瑞城 -中南商圈,4室2厅 | 121.59平米 | 南 | 毛坯 | 高楼层(共32层)  | 塔楼,14人关注 / 一年前发布,181,"14,887元/平"
高教公寓精装修，满五唯一，好楼层诚心卖！,高教公寓 -盐城会展中心商圈,2室2厅 | 88.22平米 | 南 | 精装 | 中楼层(共21层)  | 塔楼,1人关注 / 13天以前发布,84.8,"9,613元/平"
房子精装修，带车库，户型好，采光无遮挡，随时看房,玉龙路 -滨海公园商圈,4室2厅 | 148.02平米 | 南 | 精装 | 中楼层(共4层)  | 暂无数据,0人关注 / 3天以前发布,109.8,"7,418元/平"
荣润麒麟府 3室2厅 南,荣润麒麟府 -富康路商圈,3室2厅 | 124.23平米 | 南 | 精装 | 中楼层(共10层)  | 暂无数据,0人关注 / 13天以前发布,210,"16,905元/平"
精装大三房诚心出售，配套设施齐全，,华厦绿城 -聚龙湖商圈,3室1厅 | 120.77平米 | 南 | 精装 | 高楼层(共11层)  | 塔楼,2人关注 / 3个月以前发布,152,"12,586元/平"
碧桂园天玺，四开间朝南，拎包入住，采光无遮挡,碧桂园天玺 -富康路商圈,4室2厅 | 143.38平米 | 南 | 精装 | 高楼层(共15层)  | 板楼,7人关注 / 6个月以前发布,218,"15,205元/平"
此房2020年新房，户型正，适合一家三口居住,中梁聚龙首府 -中南商圈,3室2厅 | 102.91平米 | 南 | 毛坯 | 中楼层(共33层)  | 塔楼,6人关注 / 一年前发布,136.6,"13,274元/平"
文华名城多层，采光好，有车库，户型方正！,文华名城 -宝龙商圈,3室2厅 | 129.64平米 | 南 北 | 精装 | 低楼层(共6层)  | 板楼,6人关注 / 8个月以前发布,260,"20,056元/平"
恒大帝景 小区环境好 三室两厅 精装修 电梯房 房龄新,恒大帝景 -聚龙湖商圈,3室2厅 | 111.99平米 | 南 | 精装 | 低楼层(共29层)  | 板楼,15人关注 / 5个月以前发布,154.8,"13,823元/平"
总价低，楼层好，采光佳，房东着急出售价格可谈！,万户新村 -永基广场商圈,3室1厅 | 64.62平米 | 南 | 简装 | 中楼层(共5层)  | 塔楼,2人关注 / 1个月以前发布,54.9,"8,496元/平"
杏溪花苑3-2-1-1 精装修 解放路 景山 自带车库,杏溪花苑 -北金鹰商圈,3室2厅 | 137.05平米 | 南 | 精装 | 中楼层(共6层)  | 板楼,3人关注 / 一年前发布,185,"13,499元/平"
小区环境优美 诚心卖带大车库 满五唯一 看中可谈,高教公寓 -盐城会展中心商圈,3室2厅 | 131.96平米 | 南 | 毛坯 | 中楼层(共19层)  | 板楼,2人关注 / 一年前发布,125,"9,473元/平"
万户新村 三室两厅 精装带车库 诚心出售,盐南三区A -永基广场商圈,2室2厅 | 72.68平米 | 南 北 | 精装 | 中楼层(共5层)  | 板塔结合,0人关注 / 23天以前发布,64.8,"8,916元/平"
金融城东 大地苑 178平 135万,大地苑 -新河商业街商圈,4室2厅 | 178.77平米 | 南 | 精装 | 高楼层(共5层)  | 板楼,0人关注 / 20天以前发布,125,"6,993元/平"
恒大名都精装三房 拎包入住  诚心出售 看房方便,恒大名都 -麦德龙商圈,3室2厅 | 120.44平米 | 南 | 精装 | 中楼层(共32层)  | 塔楼,3人关注 / 一年前发布,133,"11,043元/平"
城南聚龙湖商圈棕榈泉广场精装三房车库车位，拎包入住,棕榈泉广场公寓 -聚龙湖商圈,3室2厅 | 140.44平米 | 南 | 精装 | 中楼层(共17层)  | 塔楼,0人关注 / 26天以前发布,180,"12,817元/平"
八佰伴北蓝色港湾3房2厅1厨1 卫130平，全新精装修！,蓝色港湾 -东台市,3室2厅 | 129.5平米 | 南 | 精装 | 低楼层(共5层)  | 暂无数据,2人关注 / 28天以前发布,105.8,"8,170元/平"
金融城旁 中海凯旋门 109平 精装3房,中海凯旋门 -新河商业街商圈,3室2厅 | 109.5平米 | 南 西 | 精装 | 高楼层(共34层)  | 板楼,0人关注 / 27天以前发布,155,"14,156元/平"
燕铭华庄 全新精装 品牌家具家电齐全,燕铭华庄 -崇礼路商圈,3室2厅 | 107.05平米 | 南 | 精装 | 高楼层(共27层)  | 板楼,1人关注 / 17天以前发布,123,"11,490元/平"
公园旁万水清华实小旁边户3室2厅,万水清华 -东台市,3室2厅 | 143.6平米 | 南 | 精装 | 高楼层(共17层)  | 板塔结合,0人关注 / 25天以前发布,200,"13,928元/平"
保利紫荆公馆  四室精装  楼层佳采光好  诚心出售,保利紫荆公馆 -亭湖高中商圈,4室1厅 | 124.83平米 | 南 | 精装 | 高楼层(共11层)  | 暂无数据,0人关注 / 28天以前发布,182,"14,580元/平"
采光充足，视野开阔，诚心出售，大阳光房,光明花苑 -东台市,2室2厅 | 93.74平米 | 南 | 精装 | 高楼层(共5层)  | 暂无数据,0人关注 / 16天以前发布,21.8,"2,326元/平"
景山解放路悦达889旁万科翡翠国际精装三房采光好,万科悦达翡翠国际 -富康路商圈,3室2厅 | 118.56平米 | 南 | 精装 | 低楼层(共13层)  | 暂无数据,0人关注 / 19天以前发布,179.8,"15,166元/平"
城南 恒大帝景 精装三房  诚心出售 看中可谈,恒大帝景 -聚龙湖商圈,3室2厅 | 108平米 | 南 | 精装 | 高楼层(共24层)  | 塔楼,0人关注 / 18天以前发布,145.8,"13,500元/平"
城南 海德公园 精装3房 采光佳,中庚海德公园 -中南商圈,3室2厅 | 92平米 | 南 | 精装 | 低楼层(共33层)  | 板塔结合,0人关注 / 27天以前发布,129.8,"14,109元/平"
香城美地精装大三房 几乎没入住过 拎包即住 品牌装修,香城美地 -聚龙湖商圈,3室2厅 | 127.21平米 | 南 | 精装 | 低楼层(共15层)  | 板楼,2人关注 / 1个月以前发布,165,"12,971元/平"
改善品质小区 天玺精装修满两年 中间楼层有汽车位,碧桂园天玺 -富康路商圈,4室2厅 | 143.38平米 | 南 | 精装 | 中楼层(共9层)  | 暂无数据,2人关注 / 4个月以前发布,225,"15,693元/平"
万泰时代城悦府3室2厅1厨2卫 124.35m² ）,万泰时代城悦府 -招商场商圈,3室2厅 | 124.35平米 | 南 | 精装 | 低楼层(共23层)  | 板楼,1人关注 / 3个月以前发布,134,"10,777元/平"
日月星城不靠马路，可拎包即住的精装三房，带28平车库,日月星城 -聚龙湖商圈,3室1厅 | 105.63平米 | 南 北 | 精装 | 高楼层(共18层)  | 板楼,8人关注 / 3个月以前发布,150,"14,201元/平"
万锦豪庭南苑 楼层佳 采光佳 精装修 3房2厅 109.8万,万锦豪庭.南苑 -滨海清水湖商圈,3室1厅 | 121.2平米 | 南 | 精装 | 高楼层(共18层)  | 暂无数据,0人关注 / 4个月以前发布,103.8,"8,565元/平"
金色华庭，7楼，精致小三房，诚意出售，拎包即住！,金色华庭西区 -双元西路商圈,3室2厅 | 97.87平米 | 南 | 精装 | 中楼层(共18层)  | 暂无数据,2人关注 / 5个月以前发布,115,"11,751元/平"
一中旁 神州路 天澜湾 112平 3房 精装,天澜湾 -麦德龙商圈,3室1厅 | 111.87平米 | 南 | 精装 | 高楼层(共18层)  | 板楼,0人关注 / 1个月以前发布,129.8,"11,603元/平"
中南新弄里商圈 业主急售 中南四期  精装三房,中南世纪城景城一期 -中南商圈,3室2厅 | 100平米 | 南 | 精装 | 低楼层(共33层)  | 板楼,0人关注 / 12天以前发布,145,"14,500元/平"
中南世纪城九期 楼层好采光无影响,中南世纪城9期 -中南商圈,3室2厅 | 102平米 | 南 | 精装 | 中楼层(共33层)  | 板塔结合,0人关注 / 13天以前发布,150,"14,706元/平"
中诚信河畔之星3-2-1-1 91.45 m² 113 万,中诚信河畔之星 -招商场商圈,3室2厅 | 91.45平米 | 南 | 毛坯 | 中楼层(共9层)  | 板楼,1人关注 / 9个月以前发布,105,"11,482元/平"
翰林壹品精装修，有车库，拎包即住,翰林壹品城 -麦德龙商圈,3室2厅 | 96.07平米 | 南 北 | 精装 | 低楼层(共18层)  | 板楼,5人关注 / 3个月以前发布,108,"11,242元/平"
虹润华府好楼层，飞机户，满二，房东诚心出售。,虹润华府 -东台市,3室1厅 | 131.71平米 | 南 北 | 毛坯 | 高楼层(共16层)  | 暂无数据,1人关注 / 2个月以前发布,138.8,"10,539元/平"
东海国际，飞机户型，精装修，满五，诚心出售,信拓东海国际 -东台市,3室2厅 | 137.13平米 | 南 北 | 精装 | 中楼层(共27层)  | 板塔结合,5人关注 / 7个月以前发布,110,"8,022元/平"
凤鸣缇香 2室1厅 南,凤鸣缇香 -聚龙湖商圈,2室1厅 | 80.75平米 | 南 | 其他 | 低楼层(共18层)  | 板楼,1人关注 / 5天以前发布,112.8,"13,970元/平"
城北新兴镇镇政府旁多层次顶楼毛坯房,格林春天 -亭湖商圈,3室2厅 | 105.42平米 | 南 北 | 毛坯 | 高楼层(共6层)  | 暂无数据,11人关注 / 一年前发布,48,"4,554元/平"
此房在吾悦广场旁边，温馨小区，居住放心安全.,八林新寓 -东台市,3室2厅 | 115.09平米 | 南 | 精装 | 低楼层(共9层)  | 板塔结合,0人关注 / 3个月以前发布,129,"11,209元/平"
城南 新弄里旁 小区环境优美 物业品质高  采光无遮拦,中南世纪城景城一期 -中南商圈,3室2厅 | 123.46平米 | 南 | 精装 | 高楼层(共24层)  | 板塔结合,5人关注 / 一年前发布,169,"13,689元/平"
新出房源！新弄里商圈！中南世纪城五期！看房方便,中南世纪城五期 -中南商圈,3室2厅 | 82平米 | 南 | 精装 | 中楼层(共29层)  | 板楼,1人关注 / 10天以前发布,128,"15,610元/平"
香苑西苑单价低，好楼层，采光佳。,香苑西园 -中南商圈,4室1厅 | 162.83平米 | 南 | 毛坯 | 高楼层(共31层)  | 板楼,1人关注 / 12天以前发布,226,"13,880元/平"
景山解放路悦达889旁力拓悦城毛坯,力拓悦城 -富康路商圈,3室2厅 | 139.17平米 | 南 | 毛坯 | 中楼层(共11层)  | 板楼,2人关注 / 8个月以前发布,160,"11,497元/平"
熙悦佳园 3室2厅 南,熙悦佳园 -东台市,3室2厅 | 90.21平米 | 南 | 精装 | 高楼层(共34层)  | 板塔结合,0人关注 / 12天以前发布,92.8,"10,288元/平"
此房两房朝南，全新装修，适宜居住。,大星公寓 -五星车站商圈,3室2厅 | 80.79平米 | 南 | 精装 | 中楼层(共7层)  | 板楼,0人关注 / 13天以前发布,79.8,"9,878元/平"
房东异地购房，急出售，景区旁边，生活便利，视野好,泰山新村 -东台市,3室2厅 | 124.72平米 | 南 北 | 简装 | 低楼层(共18层)  | 板塔结合,1人关注 / 5个月以前发布,94.6,"7,585元/平"
车库毛坯三房双卫装修可控中间楼层采光好,德惠尚书房东区 -亭湖高中商圈,3室2厅 | 126.3平米 | 南 | 毛坯 | 中楼层(共14层)  | 暂无数据,8人关注 / 8个月以前发布,152,"12,035元/平"
大城北新洋 德惠尚书府 人车分流 三房,德惠尚书府 -白马商圈,3室2厅 | 106.44平米 | 南 | 毛坯 | 中楼层(共18层)  | 塔楼,3人关注 / 3个月以前发布,97,"9,114元/平"
海德公园总高17层中间楼层带车位1梯2户采光没问题,中庚海德公园 -中南商圈,3室1厅 | 95.59平米 | 南 北 | 精装 | 中楼层(共17层)  | 塔楼,1人关注 / 31天以前发布,138,"14,437元/平"
总价低 城南新弄里旁中南六期 地段好  精装 拎包即住,中南世纪城6期悦城 -中南商圈,3室2厅 | 95.07平米 | 南 | 精装 | 低楼层(共33层)  | 板楼,15人关注 / 3个月以前发布,127,"13,359元/平"
城南 新弄里旁 精装三房  满二  中楼层  采光好,中南世纪城9期 -中南商圈,3室2厅 | 95.75平米 | 南 | 精装 | 高楼层(共27层)  | 板楼,1人关注 / 8个月以前发布,150,"15,666元/平"
（凯帝京都3-2-1-1 106.30m² 106.8 万）,凯帝京都 -东台市,3室2厅 | 106.03平米 | 南 | 精装 | 中楼层(共22层)  | 暂无数据,0人关注 / 1个月以前发布,102,"9,620元/平"
楼层好视野采光均佳 配套设施齐全 品质小区,晶都悦府 -中南商圈,3室2厅 | 100.36平米 | 南 | 毛坯 | 高楼层(共30层)  | 暂无数据,26人关注 / 一年前发布,145,"14,448元/平"
中南八期精装好楼层 三房朝南 采光无遮挡,中南景城南区 -中南商圈,3室2厅 | 102.89平米 | 南 | 精装 | 中楼层(共32层)  | 塔楼,1人关注 / 1个月以前发布,139.98,"13,605元/平"
中梁国宾府 三室二厅一厨二卫  精装修 满二,中梁国宾府 -东台市,3室2厅 | 113.26平米 | 南 | 精装 | 中楼层(共24层)  | 板塔结合,0人关注 / 4个月以前发布,176.8,"15,611元/平"
城南新弄里 香苑东园 东户 采光无遮挡 毛坯价卖有车库,香苑东园 -中南商圈,3室2厅 | 142.43平米 | 南 | 简装 | 低楼层(共29层)  | 板塔结合,0人关注 / 2个月以前发布,178,"12,498元/平"
新龙广场旁　毛坯四房８月份满两年　户型方正看房方便,金辉优步水岸 -中南商圈,4室1厅 | 115.88平米 | 南 | 毛坯 | 高楼层(共34层)  | 板塔结合,2人关注 / 6个月以前发布,159.8,"13,791元/平"
聚龙湖商圈恒荣世家3房，环境好交通便利，拎包入住,恒荣世家 -聚龙湖商圈,3室2厅 | 105平米 | 南 | 精装 | 低楼层(共17层)  | 板楼,8人关注 / 5个月以前发布,105,"10,000元/平"
急抛：中南城旁精装三房拎包入住速度秒,信拓东海国际 -东台市,3室2厅 | 121.17平米 | 东 南 | 精装 | 低楼层(共27层)  | 板塔结合,1人关注 / 1个月以前发布,79.8,"6,586元/平"
三开间朝南，洋房 得房率高 户型方正,香城世家 -麦德龙商圈,3室1厅 | 123.31平米 | 南 | 毛坯 | 中楼层(共9层)  | 板楼,0人关注 / 15天以前发布,185,"15,003元/平"
尚海滩好楼层 毛坯可配 合满二 有车库,尚海滩花园 -盐都商圈,4室1厅 | 121.67平米 | 南 | 毛坯 | 高楼层(共26层)  | 塔楼,0人关注 / 3天以前发布,108.8,"8,943元/平"
聚龙湖商圈，临靠南金鹰，明珠苑复式楼，有车库车位,明珠苑南区 -聚龙湖商圈,5室2厅 | 194.59平米 | 南 | 精装 | 高楼层(共5层)  | 板楼,2人关注 / 2个月以前发布,188,"9,662元/平"
芝林广场 精装 高楼层 满五唯一 看房方便,芝林广场 -永基广场商圈,3室2厅 | 107平米 | 南 | 精装 | 高楼层(共17层)  | 板塔结合,0人关注 / 15天以前发布,106,"9,907元/平"
翰林壹品精装修，有车库，拎包即住,翰林壹品城 -麦德龙商圈,3室2厅 | 88.1平米 | 南 | 精装 | 中楼层(共25层)  | 板楼,2人关注 / 12天以前发布,115,"13,054元/平"
通银天景  老城区  次顶楼   看房方便 毛坯随意装修,通银天璟 -永基广场商圈,3室1厅 | 133平米 | 南 | 毛坯 | 高楼层(共34层)  | 暂无数据,0人关注 / 6天以前发布,175,"13,158元/平"
中诚信河畔之星 3室2厅 南,中诚信河畔之星 -招商场商圈,3室2厅 | 96平米 | 南 | 精装 | 高楼层(共9层)  | 板楼,0人关注 / 7天以前发布,109,"11,355元/平"
城南  精装三房  锦盛豪庭北苑  采光无影响,锦盛豪庭·北苑 -中南商圈,3室2厅 | 133.67平米 | 南 | 精装 | 中楼层(共31层)  | 塔楼,0人关注 / 5天以前发布,149.8,"11,207元/平"
通银天御 毛坯房 可自主装修 房东城心卖,通银·天御 -中南商圈,3室1厅 | 128.57平米 | 南 | 毛坯 | 低楼层(共25层)  | 暂无数据,0人关注 / 5天以前发布,140,"10,890元/平"
紫御府 3室2厅 南,紫御府 -双元西路商圈,3室2厅 | 107平米 | 南 | 精装 | 高楼层(共32层)  | 板楼,0人关注 / 5天以前发布,142,"13,272元/平"
育才西路 3室2厅 南,育才西路 -滨海公园商圈,3室2厅 | 120平米 | 南 | 简装 | 中楼层(共5层)  | 暂无数据,0人关注 / 9天以前发布,86,"7,167元/平"
宏都花园2房老装修，采光很好，户型方正,宏都花园 -聚龙湖商圈,2室1厅 | 90.16平米 | 南 | 精装 | 中楼层(共6层)  | 板楼,0人关注 / 1个月以前发布,110,"12,201元/平"
政务区域 德润商圈  绿化物业好,锦绣华府 -东台市,2室1厅 | 86.37平米 | 南 | 毛坯 | 低楼层(共11层)  | 塔楼,10人关注 / 一年前发布,91,"10,537元/平"
景山解放路悦达889绿地乐居园精装拎包入住,国际花都三期 -盐城会展中心商圈,2室1厅 | 85.44平米 | 南 | 精装 | 低楼层(共14层)  | 塔楼,0人关注 / 1个月以前发布,108,"12,641元/平"
新弄里旁 锦盛豪庭南郡 毛坯2房 户型方正,锦盛豪庭·南郡 -中南商圈,2室2厅 | 87.32平米 | 南 北 | 毛坯 | 低楼层(共33层)  | 板塔结合,2人关注 / 一年前发布,102,"11,682元/平"
中南世纪城珺城  毛呸房  楼层好   采光好,中南世纪城珺城 -中南商圈,2室2厅 | 94.34平米 | 南 | 毛坯 | 高楼层(共21层)  | 板塔结合,3人关注 / 一年前发布,128,"13,568元/平"
三开间朝南，客厅和卧室连接的阳台 景观好,万科悦达翡翠书院 -亭湖高中商圈,3室2厅 | 96平米 | 南 | 精装 | 中楼层(共14层)  | 暂无数据,0人关注 / 10天以前发布,128.8,"13,417元/平"
老城区，电梯两房 带车库小区环境好,万方名城·畅心园 -双元西路商圈,2室1厅 | 77.8平米 | 南 | 精装 | 低楼层(共9层)  | 板塔结合,0人关注 / 7天以前发布,86,"11,054元/平"
德惠尚书房锦苑 3室2厅 南,德惠尚书房锦苑 -亭湖高中商圈,3室2厅 | 104.87平米 | 南 | 精装 | 中楼层(共9层)  | 暂无数据,0人关注 / 12天以前发布,160,"15,257元/平"
房东急售  东景山 德惠尚书房  精装三房   满两年,德惠尚书房西区 -亭湖高中商圈,3室1厅 | 107平米 | 南 | 精装 | 低楼层(共14层)  | 塔楼,10人关注 / 4个月以前发布,124,"11,589元/平"
此房户型方正 精装清爽 中间楼层 交通出行方便,汇成名居 -亭湖商圈,3室2厅 | 104.51平米 | 南 | 精装 | 中楼层(共6层)  | 塔楼,8人关注 / 6个月以前发布,73,"6,985元/平"
户型好，单价低，采光刺眼，有车库，价格可谈！,西城逸品 -潘黄商圈,3室2厅 | 126.66平米 | 南 | 精装 | 高楼层(共11层)  | 板塔结合,0人关注 / 1个月以前发布,138,"10,896元/平"
临靠万达！西城逸品！青年路高架交通便捷！,西城逸品 -潘黄商圈,3室2厅 | 131平米 | 南 | 精装 | 高楼层(共11层)  | 板塔结合,3人关注 / 5个月以前发布,137,"10,459元/平"
高力金色果缘 精装3房 中上楼层 采光佳 拎包即住,高力金色果缘 -中南商圈,2室2厅 | 86.6平米 | 南 | 精装 | 中楼层(共23层)  | 塔楼,1人关注 / 1个月以前发布,123,"14,204元/平"
钱江方洲，楼层好，采观好，品质小区，诚心出售,钱江方洲南区 -宝龙商圈,3室1厅 | 136.46平米 | 南 北 | 精装 | 中楼层(共11层)  | 板塔结合,31人关注 / 一年前发布,280,"20,519元/平"
世纪公园旁，中海花园   三房 便宜卖,中海世纪公馆 -聚龙湖商圈,3室1厅 | 97平米 | 南 | 精装 | 高楼层(共33层)  | 塔楼,37人关注 / 7个月以前发布,130,"13,403元/平"
恒大帝景二期景观房 满两年有车位 中楼层,恒大帝景 -聚龙湖商圈,3室2厅 | 112平米 | 南 西南 | 精装 | 低楼层(共33层)  | 板塔结合,1人关注 / 25天以前发布,149.8,"13,375元/平"
香苑东园 飞机户型  好楼层 采光佳,香苑东园 -中南商圈,3室2厅 | 147.55平米 | 南 | 精装 | 高楼层(共27层)  | 板塔结合,0人关注 / 29天以前发布,255,"17,283元/平"
双元西路   含车库  精装  拎包即住,万方名城·馨心园 -双元西路商圈,3室2厅 | 127平米 | 南 | 精装 | 低楼层(共10层)  | 板楼,0人关注 / 29天以前发布,125,"9,843元/平"
新弄里  中南九期  精装三房直接拎包入住采光无遮挡,中南世纪城9期 -中南商圈,3室2厅 | 112平米 | 南 | 精装 | 高楼层(共28层)  | 暂无数据,0人关注 / 27天以前发布,168,"15,000元/平"
西城逸品 总高11小洋房 装修好 房东诚心出售！,西城逸品 -潘黄商圈,4室2厅 | 131平米 | 南 北 | 精装 | 高楼层(共11层)  | 板塔结合,0人关注 / 17天以前发布,150,"11,451元/平"
吾悦和府北区，毛坯三室 中间楼层 带车位 诚心出售,吾悦和府北区 -东台市,3室2厅 | 107平米 | 南 | 毛坯 | 中楼层(共33层)  | 暂无数据,1人关注 / 23天以前发布,134,"12,524元/平"
此房好楼层 繁华地段 房东诚心出售 经典小三房,通达国宾府 -中南商圈,3室2厅 | 105平米 | 南 | 精装 | 中楼层(共33层)  | 暂无数据,0人关注 / 22天以前发布,135,"12,858元/平"
龙冈书香水岸  楼层好 采光刺眼  有大车库 拎包即住,书香水岸 -张庄商圈,4室2厅 | 133.2平米 | 南 北 | 精装 | 中楼层(共7层)  | 暂无数据,1人关注 / 22天以前发布,75,"5,631元/平"
低密居所  视野开阔 凯帝京都精装两室,凯帝京都 -东台市,2室2厅 | 87.75平米 | 南 | 精装 | 中楼层(共22层)  | 板塔结合,1人关注 / 4个月以前发布,79.8,"9,095元/平"
海德公园 精装两房 拎包入住 诚心出售 方便看房,中庚海德公园 -中南商圈,2室1厅 | 76.9平米 | 南 北 | 精装 | 高楼层(共33层)  | 塔楼,5人关注 / 3个月以前发布,108,"14,045元/平"
高铁站 高成金水湾 电梯两房 带地暖 随时看房,高成金水湾 -五星车站商圈,2室2厅 | 91.3平米 | 南 北 | 精装 | 低楼层(共18层)  | 板楼,3人关注 / 5个月以前发布,85,"9,310元/平"
圆融东的2楼，养老适合，2房1厅1厨1卫 55平,天竹巷 -东台市,2室1厅 | 54.35平米 | 南 | 简装 | 低楼层(共3层)  | 暂无数据,5人关注 / 一年前发布,49.8,"9,163元/平"
环苑小区2-2-1-1 89.00 m² 93 万,环苑小区 -招商场商圈,2室2厅 | 88.64平米 | 南 | 精装 | 中楼层(共6层)  | 板塔结合,1人关注 / 10个月以前发布,83.8,"9,454元/平"
长坝小区，位于双元西路 两室两厅含车库房东诚心出售,长坝小区 -双元西路商圈,2室1厅 | 65.16平米 | 南 | 简装 | 中楼层(共6层)  | 板塔结合,4人关注 / 7个月以前发布,54,"8,288元/平"
公园里的精装三房 中上楼层 全天采光 拎包入住,中江嘉城南区 -五星车站商圈,3室2厅 | 96.91平米 | 南 | 精装 | 中楼层(共26层)  | 板楼,0人关注 / 1个月以前发布,118,"12,177元/平"
欧景苑    清爽装修   户型方正   汽车库,欧景苑 -海华商圈,3室2厅 | 150.16平米 | 南 | 精装 | 高楼层(共7层)  | 塔楼,3人关注 / 6个月以前发布,129,"8,591元/平"
凯帝京都三房两卫，房东诚意出售,凯帝京都 -东台市,3室2厅 | 131.15平米 | 南 | 精装 | 高楼层(共18层)  | 暂无数据,0人关注 / 1个月以前发布,112,"8,540元/平"
金水湾134平中低楼层三房两卫！带16平车库，满五唯一,金水湾 -东台市,3室2厅 | 134.01平米 | 南 | 精装 | 低楼层(共6层)  | 板塔结合,2人关注 / 4个月以前发布,149.8,"11,179元/平"
急售城南金鹰旁印象花园，精装三室，看中可谈,城南印象花园 -聚龙湖商圈,3室1厅 | 96.14平米 | 南 | 精装 | 低楼层(共6层)  | 板塔结合,2人关注 / 3个月以前发布,118,"12,274元/平"
金品花园 精装3房，交通便利，采光好,金品花园 -双元西路商圈,3室2厅 | 101平米 | 南 | 简装 | 低楼层(共6层)  | 板塔结合,1人关注 / 1个月以前发布,86,"8,515元/平"
新日月 多层 不带电梯 精装带车库 诚心出售 价格可谈,新日月翠洲嘉园 -万达商圈,3室2厅 | 137.15平米 | 南 | 精装 | 中楼层(共5层)  | 板塔结合,8人关注 / 10个月以前发布,129.5,"9,443元/平"
锦峰苑 3室2厅 南,锦峰苑 -滨海公园商圈,3室2厅 | 126平米 | 南 | 精装 | 中楼层(共7层)  | 暂无数据,0人关注 / 12天以前发布,89.8,"7,127元/平"
金水湾两室两厅精装修，拎包入住,金水湾 -东台市,2室2厅 | 91.1平米 | 南 | 精装 | 中楼层(共5层)  | 板塔结合,0人关注 / 5天以前发布,128,"14,051元/平"
精装房 拎包入住 楼层好 采光佳,宏图伟厦嘉园 -缤纷亚洲商圈,3室2厅 | 96.82平米 | 南 | 精装 | 中楼层(共6层)  | 板楼,0人关注 / 一年前发布,148,"15,287元/平"
