标题,开发商,房子信息,发布信息,售价/万,单价
有大红本    早就满五   户型方正    采光充足,十八中宿舍 -旧省政府,2室1厅 | 66.56平米 | 南 北 | 简装 | 高楼层(共6层)  | 暂无数据,0人关注 / 26天以前发布,91.8,"13,793元/平"
大红本满五，税费低，把边户，全天采光无遮挡,中辐院东小区 -学府商圈,3室2厅 | 101.99平米 | 南 西 北 | 简装 | 高楼层(共6层)  | 板楼,0人关注 / 15天以前发布,99,"9,707元/平"
辰兴·优山美郡 3室2厅 南 北,辰兴·优山美郡 -三给,3室2厅 | 154.37平米 | 南 北 | 精装 | 中楼层(共29层)  | 板楼,0人关注 / 12天以前发布,120,"7,774元/平"
万科蓝山小高层 纯板楼 公摊小 楼层好 带实木家具家电,万科蓝山五期 -和平南路商圈,3室2厅 | 120.86平米 | 南 北 | 精装 | 高楼层(共15层)  | 板楼,1人关注 / 23天以前发布,146,"12,081元/平"
精装修花园房 拎包入佳 业主诚心出售 绿化好!,恒大绿洲西区 -经济开发区商圈,3室2厅 | 97.43平米 | 南 北 | 精装 | 低楼层(共22层)  | 板塔结合,2人关注 / 20天以前发布,123,"12,625元/平"
小东门建设格局很赞南北通透，采光好开阔视野停车方便,绿缘小区 -小东门,3室2厅 | 123.21平米 | 南 北 | 其他 | 高楼层(共6层)  | 暂无数据,0人关注 / 17天以前发布,95,"7,711元/平"
纯新房，一天未住，采光好，精装修,赞城A区 -千峰北路商圈,3室1厅 | 113.74平米 | 南 北 | 精装 | 高楼层(共34层)  | 板楼,2人关注 / 28天以前发布,107,"9,408元/平"
汾河公园大三居晋阳湖南中环滨河西路,天鹅堡 -晋阳湖商圈,3室2厅 | 186.3平米 | 南 北 | 毛坯 | 高楼层(共32层)  | 板楼,0人关注 / 30天以前发布,205,"11,004元/平"
桃园 三居室 总高5层在4层 近年装修 价格可谈,水干校宿舍 -桃北商圈,3室1厅 | 85.01平米 | 东 西 | 简装 | 中楼层(共5层)  | 板楼,3人关注 / 4个月以前发布,70.5,"8,294元/平"
半坡西街国贸解放路柳巷三居室总价低电梯房,半坡西街小区 -半坡商圈,3室2厅 | 131.66平米 | 南 北 | 精装 | 高楼层(共16层)  | 板楼,3人关注 / 3个月以前发布,99,"7,520元/平"
万达广场 地铁 东二道巷  泛华盛世 朝南3居  大红本,泛华盛世小区 -三墙路,3室2厅 | 126.04平米 | 南 北 | 简装 | 高楼层(共19层)  | 板楼,5人关注 / 4个月以前发布,123,"9,759元/平"
陪读新建路  房龄新  南北东三面采光,鸿兴楼 -十二中商圈,3室1厅 | 80.79平米 | 东 南 北 | 其他 | 中楼层(共5层)  | 板楼,8人关注 / 一年前发布,93,"11,512元/平"
新建路，龙潭公园，万达商圈，成熟小区,柳溪花园 -金刚堰商圈,2室1厅 | 120.06平米 | 东 南 | 精装 | 中楼层(共34层)  | 板塔结合,6人关注 / 4个月以前发布,95,"7,913元/平"
平阳路亲贤街口房东诚心出售亲贤街平阳路口,山西省生命与医药科学研究院宿舍 -亲贤商圈,2室1厅 | 58.17平米 | 南 北 | 简装 | 中楼层(共5层)  | 板楼,1人关注 / 19天以前发布,47,"8,080元/平"
两面朝南户型 方便装修 中间楼层 千峰南路 全明户型,西岸北区 -千峰南路商圈,3室2厅 | 144.17平米 | 南 北 | 毛坯 | 低楼层(共24层)  | 板楼,2人关注 / 30天以前发布,118,"8,185元/平"
此房是对五一路的新上小户型，，户型好，朝南,国师街小区东区 -旧省政府,1室1厅 | 34.86平米 | 南 | 毛坯 | 中楼层(共6层)  | 板楼,0人关注 / 15天以前发布,42,"12,049元/平"
亲贤街长治路精装3居 大红本满五唯一 茂业 随时看房,亲贤街供电局宿舍 -亲贤商圈,3室2厅 | 142.9平米 | 南 北 | 精装 | 中楼层(共6层)  | 板楼,1人关注 / 17天以前发布,118,"8,258元/平"
新上房源！单价6600电梯房，出行方便，看房随时！,中元小区 -敦化坊商圈,3室2厅 | 134.4平米 | 南 北 | 其他 | 中楼层(共18层)  | 板楼,0人关注 / 11天以前发布,89,"6,623元/平"
大红本单位分的福利房，入住费用比较低环境好，价格低,中国铁建电气化局集团二公司住宅小区 -三给,3室2厅 | 119.11平米 | 北 南 西 | 精装 | 中楼层(共6层)  | 板楼,0人关注 / 24天以前发布,65,"5,458元/平"
桃园四巷北一条 2室1厅 南,桃园四巷北一条 -桃北商圈,2室1厅 | 52.33平米 | 南 | 简装 | 低楼层(共4层)  | 板楼,0人关注 / 24天以前发布,46.5,"8,886元/平"
供销社宿舍南北通透三居室停车方便采光无遮挡,供销社北院 -水西关商圈,2室1厅 | 70.86平米 | 南 北 | 精装 | 高楼层(共4层)  | 板楼,1人关注 / 24天以前发布,62,"8,750元/平"
下元 电 梯小高层 中间层次 业主急售 精装不贵,应化和平小区 -千峰北路商圈,3室2厅 | 118.79平米 | 南 北 | 其他 | 中楼层(共14层)  | 板楼,0人关注 / 12天以前发布,120,"10,102元/平"
供销社北院 2室2厅 南 北,供销社北院 -水西关商圈,2室2厅 | 69平米 | 南 北 | 精装 | 中楼层(共4层)  | 板楼,0人关注 / 12天以前发布,68,"9,856元/平"
万达广场，三墙路，五一路，2000年的浇筑房在中间楼层,市建二公司宿舍 -三墙路,3室2厅 | 104平米 | 南 北 | 简装 | 中楼层(共6层)  | 板楼,0人关注 / 11天以前发布,85,"8,174元/平"
龙潭公园旁精装三居自住房东南朝向采光好,观湖印象 -国贸商圈,3室2厅 | 126.59平米 | 东南 | 精装 | 中楼层(共22层)  | 塔楼,4人关注 / 5个月以前发布,111,"8,769元/平"
水西关街  房龄新 精装修 中间层 三居室 诚心出售,新闻小区 -桃北商圈,3室1厅 | 78.75平米 | 东 西 | 其他 | 中楼层(共5层)  | 板楼,0人关注 / 1个月以前发布,89,"11,302元/平"
万达天玺小区，婚房装修完1年，带定制家具家电！,万达天玺小区 -龙潭公园,3室1厅 | 161.05平米 | 南 北 | 精装 | 高楼层(共32层)  | 板楼,1人关注 / 4个月以前发布,225,"13,971元/平"
劲松北路 省委宿舍 大三居 客厅带窗户99年建成,劲松北路9号院 -水西关商圈,3室2厅 | 124.38平米 | 南 北 | 简装 | 中楼层(共7层)  | 板楼,2人关注 / 3个月以前发布,152,"12,221元/平"
和平公园大红本 纺织苑浇筑房 带地下室 公摊小,纺织苑·A区 -理工大商圈,3室2厅 | 98.78平米 | 南 北 | 简装 | 低楼层(共6层)  | 板楼,0人关注 / 12天以前发布,89.5,"9,061元/平"
小区正在改造，整体环境优美，交通便利,职工公寓 -经济开发区商圈,3室1厅 | 64.26平米 | 南 北 | 简装 | 低楼层(共3层)  | 暂无数据,0人关注 / 11天以前发布,51.5,"8,015元/平"
三室两厅一卫精装房，看房方便，价格合适,兰亭·御湖城东区 -义井商圈,3室1厅 | 124.79平米 | 南 西 北 | 精装 | 中楼层(共33层)  | 板塔结合,0人关注 / 14天以前发布,108,"8,655元/平"
柳巷开化寺地铁两居朝南电梯房中间楼层格局方正,金地公寓 -柳巷商圈,2室1厅 | 102.41平米 | 东南 | 简装 | 高楼层(共27层)  | 板塔结合,2人关注 / 11个月以前发布,102,"9,960元/平"
南中环  滨河西  带车位  带露台  观景房,绿地世纪城五期 -晋阳湖商圈,2室2厅 | 90.68平米 | 南 北 | 简装 | 高楼层(共32层)  | 板楼,2人关注 / 1个月以前发布,105,"11,580元/平"
华润万象城旁　大红本在手　精装　满二　,兰亭·御湖城东区 -义井商圈,2室1厅 | 82.4平米 | 东南 | 简装 | 中楼层(共33层)  | 板楼,107人关注 / 5个月以前发布,89.6,"10,874元/平"
单价7900 南内环桥西 大小区 电梯房 中间层 采光充足,万水澜庭 -千峰南路商圈,3室2厅 | 132.87平米 | 南 | 毛坯 | 低楼层(共29层)  | 板楼,103人关注 / 一年前发布,105,"7,903元/平"
长治路地铁口精装两居.大红本满五,奥林花园 -亲贤商圈,2室1厅 | 47.68平米 | 西 | 简装 | 中楼层(共17层)  | 板楼,13人关注 / 5个月以前发布,76,"15,940元/平"
长风商务区　兰亭御湖城　温馨三居　大红本在手,兰亭·御湖城东区 -义井商圈,3室1厅 | 91.47平米 | 南 北 | 精装 | 低楼层(共32层)  | 板塔结合,6人关注 / 6个月以前发布,98,"10,714元/平"
2号线康宁街站  公摊小  楼层好 随时看房,漪汾仙庄 -经济开发区商圈,3室2厅 | 85.46平米 | 南 北 | 简装 | 中楼层(共5层)  | 板楼,15人关注 / 一年前发布,65,"7,606元/平"
兰亭御湖城房东自住精装两居，保养好,兰亭·御湖城东区 -义井商圈,2室2厅 | 91.61平米 | 东南 | 精装 | 高楼层(共32层)  | 板塔结合,1人关注 / 2个月以前发布,95,"10,371元/平"
万科品牌 金字系 大三居 21层 147平米 诚售好房,万科金域国际 -义井商圈,3室2厅 | 147.09平米 | 南 北 | 精装 | 中楼层(共33层)  | 板楼,5人关注 / 一年前发布,159,"10,810元/平"
义井 药厂小区 精装三居 随时看房,太药小区D区 -义井商圈,3室2厅 | 108.65平米 | 南 北 | 精装 | 高楼层(共6层)  | 板楼,7人关注 / 一年前发布,81,"7,456元/平"
省人民医院旁 精装 大红本 现房 三居 低价出售,辰兴·优山美郡 -三给,3室2厅 | 137.03平米 | 北 南 | 精装 | 中楼层(共30层)  | 塔楼,3人关注 / 一年前发布,105,"7,663元/平"
新.上南内环万水澜庭大红本住宅性质精装修3居室,万水澜庭 -千峰南路商圈,3室2厅 | 149.47平米 | 南 北 | 精装 | 高楼层(共29层)  | 板楼,15人关注 / 一年前发布,168,"11,240元/平"
龙潭湖边 电梯房 大红本满五 业主诚心出售 看房方便,观湖印象 -国贸商圈,3室2厅 | 126.59平米 | 西南 | 精装 | 高楼层(共22层)  | 塔楼,22人关注 / 一年前发布,118,"9,322元/平"
房东诚心出售桃园区小户型陪读房,百货公司宿舍(迎泽区) -桃北商圈,2室1厅 | 55.04平米 | 南 北 | 简装 | 高楼层(共4层)  | 板楼,6人关注 / 3个月以前发布,50,"9,085元/平"
长风商务区《澳林滨河花园》阔绰三居 落地大窗,澳林滨河花园 -义井商圈,3室2厅 | 160.98平米 | 南 北 | 简装 | 中楼层(共28层)  | 板楼,20人关注 / 一年前发布,158,"9,815元/平"
大东关 大四居 大红本 精装无公摊 全屋地暖,大东关街156-2号 -五龙口商圈,3室2厅 | 149.85平米 | 南 北 | 精装 | 中楼层(共6层)  | 板楼,5人关注 / 3个月以前发布,113.6,"7,581元/平"
精装修花园房  拎包入住 业主诚心出售 绿化好,恒大绿洲西西区 -经济开发区商圈,3室2厅 | 97.14平米 | 南 北 | 精装 | 低楼层(共26层)  | 板塔结合,2人关注 / 1个月以前发布,100,"10,295元/平"
保利梧桐语精装修价格便宜好房出售,保利梧桐语 -义井商圈,2室1厅 | 90.71平米 | 南 | 精装 | 低楼层(共32层)  | 塔楼,1人关注 / 8个月以前发布,100,"11,025元/平"
产权清晰大红本可按揭，采光好，房屋间距远，通风好,兰亭·御湖城东区 -义井商圈,3室2厅 | 91.47平米 | 南 北 | 精装 | 中楼层(共32层)  | 板塔结合,19人关注 / 一年前发布,90,"9,840元/平"
首开国风上观南北通透舒适三室二厅二卫业主诚意出售,首开·国风上观 -龙城商圈,3室2厅 | 141.68平米 | 南 北 | 简装 | 中楼层(共24层)  | 板楼,7人关注 / 7个月以前发布,193,"13,623元/平"
大红本满五年过户费低，小区生活配套成熟，生活费用低,铁十二局医院宿舍 -千峰北路商圈,3室2厅 | 99.2平米 | 南 北 | 精装 | 低楼层(共4层)  | 暂无数据,2人关注 / 2个月以前发布,69,"6,956元/平"
长风西街  大4室 南北通透  大红本  业主诚心卖,景秀苑北区 -千峰南路商圈,4室2厅 | 174.25平米 | 南 北 | 简装 | 高楼层(共11层)  | 板楼,4人关注 / 一年前发布,160,"9,183元/平"
恒大名都！精装三居！中间楼层！落地大飘窗！,恒大名都 -小商品商圈,3室2厅 | 119.58平米 | 南 北 | 精装 | 中楼层(共29层)  | 板塔结合,0人关注 / 4个月以前发布,113,"9,450元/平"
低密度小高层 带全屋品质家具 和 阳台面积  看房方便,万科太原小镇 -三给,3室1厅 | 105.47平米 | 南 北 | 精装 | 低楼层(共20层)  | 板楼,18人关注 / 6个月以前发布,89,"8,439元/平"
梧桐院，精装两居，业主自住，南北房,梧桐院 -义井商圈,2室2厅 | 89.7平米 | 南 北 | 精装 | 高楼层(共32层)  | 板楼,1人关注 / 1个月以前发布,103,"11,483元/平"
大红本在手 精装修晋阳湖畔 楼层好无遮挡,梧桐院 -义井商圈,3室2厅 | 123.9平米 | 东南 | 精装 | 高楼层(共33层)  | 板楼,6人关注 / 一年前发布,138,"11,139元/平"
楼层好，视野开阔，坐拥繁华配套，出行便捷，动静分离,奥林花园 -亲贤商圈,3室1厅 | 143.05平米 | 南 | 精装 | 中楼层(共14层)  | 板楼,2人关注 / 2个月以前发布,135,"9,438元/平"
富力华庭 带40平米露台 大红本满二 精装修 带家具,富力华庭C区 -矿机商圈,3室2厅 | 134.79平米 | 南 北 | 精装 | 低楼层(共27层)  | 板楼,39人关注 / 4个月以前发布,170,"12,613元/平"
大红本满二，高楼层，采光好，诚心卖,梧桐院 -义井商圈,2室1厅 | 89.84平米 | 南 | 精装 | 高楼层(共32层)  | 板楼,0人关注 / 1个月以前发布,95,"10,575元/平"
此房大红本满五年 简单装修 南北通透 拎包入住 采光好,城市信用社宿舍 -经济开发区商圈,3室2厅 | 90.8平米 | 南 北 | 简装 | 中楼层(共6层)  | 暂无数据,0人关注 / 1个月以前发布,81.5,"8,976元/平"
精装修拎包住 省人民医院旁 公园房  三室两卫,辰兴·优山美郡 -三给,3室2厅 | 126.4平米 | 南 北 | 精装 | 高楼层(共30层)  | 塔楼,0人关注 / 1个月以前发布,105,"8,307元/平"
南中环汾河湾，业主着急出售。南北通透两居室，单价低,阳光汾河湾A 区 -晋阳湖商圈,2室1厅 | 102.85平米 | 南 北 | 简装 | 低楼层(共31层)  | 塔楼,5人关注 / 4个月以前发布,128,"12,446元/平"
好房推荐.................................,矿机宿舍(涧河路) -小商品商圈,2室1厅 | 64.23平米 | 南 北 | 其他 | 低楼层(共3层)  | 暂无数据,0人关注 / 26天以前发布,29,"4,516元/平"
平阳路亲贤街 单位宿舍，低价出售，省检察院宿舍,平阳路省检察院宿舍 -亲贤商圈,2室1厅 | 62.18平米 | 南 北 | 简装 | 低楼层(共6层)  | 板楼,0人关注 / 16天以前发布,52,"8,363元/平"
晋阳街北美N1旁 精品3居  大红本满二 好楼层 拎包住,北美金棕榈 -晋阳街商圈,3室2厅 | 121.46平米 | 南 北 | 精装 | 中楼层(共33层)  | 板楼,0人关注 / 30天以前发布,143,"11,774元/平"
西部丽景 4室2厅 南 北,西部丽景 -和平南路商圈,4室2厅 | 173平米 | 南 北 | 精装 | 中楼层(共19层)  | 板塔结合,0人关注 / 8天以前发布,146,"8,440元/平"
急售！亲贤街体育路。茂业商圈，小面积，总价低！,核七院 -亲贤商圈,2室1厅 | 55.85平米 | 南 | 简装 | 中楼层(共6层)  | 板楼,0人关注 / 26天以前发布,52,"9,311元/平"
桃园四巷  精装修  大红本  浇筑房 好层次,惠民北巷水利厅宿舍 -桃北商圈,2室2厅 | 86.48平米 | 南 北 | 精装 | 低楼层(共6层)  | 板楼,0人关注 / 22天以前发布,116,"13,414元/平"
精装修 带家具家电 采光好 中间楼层 支持按揭,丽泽苑(杏花岭区) -三墙路,2室2厅 | 97.4平米 | 南 | 精装 | 低楼层(共32层)  | 暂无数据,0人关注 / 18天以前发布,110,"11,294元/平"
亲贤北街 茂业旁 住宅叠拼别墅 便宜出售,宜佳·美墅 -亲贤商圈,4室2厅 | 215.36平米 | 北 南 | 精装 | 中楼层(共7层)  | 板楼,1人关注 / 3个月以前发布,215,"9,984元/平"
柳巷 ，单位宿舍，三层，南北朝向，开化寺地铁。,省税务局宿舍 -柳巷商圈,3室2厅 | 104.85平米 | 南 北 | 其他 | 中楼层(共5层)  | 暂无数据,2人关注 / 2个月以前发布,125,"11,922元/平"
龙潭公园高层电梯房  南北通透,柳溪花园 -金刚堰商圈,3室2厅 | 135.83平米 | 南 北 | 简装 | 低楼层(共19层)  | 板楼,0人关注 / 2个月以前发布,113.5,"8,357元/平"
低楼层，成熟小区。对桃园，好房,惠民北南巷农机局宿舍 -桃北商圈,3室1厅 | 80平米 | 南 北 | 简装 | 低楼层(共6层)  | 板楼,0人关注 / 15天以前发布,84,"10,500元/平"
万达商场，，龙潭湖公园，青年宫，新建路，汾河公园，,晋福鑫园 -十二中商圈,2室2厅 | 119.19平米 | 南 | 其他 | 中楼层(共28层)  | 板楼,1人关注 / 3个月以前发布,150,"12,585元/平"
此房户型方正 保养好 南北通透 配套成熟 交通便利,富力城E区 -富力城商圈,3室2厅 | 138.89平米 | 南 北 | 精装 | 低楼层(共29层)  | 板楼,0人关注 / 22天以前发布,126,"9,072元/平"
亲贤街 佳地花园 三层 八一 诚心出售,佳地花园 -亲贤商圈,2室2厅 | 79.82平米 | 南 北 | 精装 | 中楼层(共6层)  | 板楼,0人关注 / 29天以前发布,90,"11,276元/平"
和谐公园旁   坤泽十里城精装修满二  三居室,坤泽十里城北区 -经济开发区商圈,3室1厅 | 107.29平米 | 南 北 | 精装 | 低楼层(共30层)  | 板楼,1人关注 / 27天以前发布,102,"9,507元/平"
山西电力杏花岭小区 3室2厅 南 北,山西电力杏花岭小区 -文庙商圈,3室2厅 | 143.8平米 | 南 北 | 简装 | 低楼层(共26层)  | 板塔结合,1人关注 / 22天以前发布,148,"10,293元/平"
南内环并州路，满五，中间楼层，首付20万电梯房,鼎太风华 -建南汽车站商圈,2室1厅 | 82.04平米 | 西 北 | 精装 | 高楼层(共30层)  | 板塔结合,1人关注 / 28天以前发布,72,"8,777元/平"
长治路王村南街单位宿舍费用低交通便利,砂布厂宿舍小区 -亲贤商圈,3室1厅 | 74.76平米 | 南 北 | 简装 | 中楼层(共5层)  | 暂无数据,0人关注 / 30天以前发布,59,"7,892元/平"
下元 西中环  保利百合 科大 双阳台 中间楼层 拎包住,保利百合 -千峰北路商圈,2室2厅 | 88.76平米 | 南 北 | 精装 | 中楼层(共30层)  | 板塔结合,0人关注 / 20天以前发布,86,"9,690元/平"
此房南北通透，小区环境好，出行方便,富力城D区 -富力城商圈,3室2厅 | 141平米 | 南 北 | 精装 | 中楼层(共24层)  | 板塔结合,1人关注 / 18天以前发布,130,"9,220元/平"
万科金域华府  中间楼层 全明三居 拎包住,万科金域华府 -千峰北路商圈,3室2厅 | 102.04平米 | 南 北 | 精装 | 中楼层(共30层)  | 板楼,0人关注 / 29天以前发布,106,"10,389元/平"
和平公园单价5000大红本停车免费总价低可公积金贷款,地矿小区 -千峰南路商圈,3室1厅 | 69.03平米 | 东 西 | 简装 | 高楼层(共4层)  | 板楼,0人关注 / 27天以前发布,33,"4,781元/平"
体育路许坦西街 公园旁 开元北小区 三居好户型,开元北小区 -学府商圈,3室2厅 | 123.02平米 | 南 北 | 简装 | 高楼层(共6层)  | 板塔结合,0人关注 / 30天以前发布,108,"8,780元/平"
建设南路省二建大红本浇筑房诚心出,山西二建集团张家巷住宅小区 -建南汽车站商圈,2室2厅 | 83.73平米 | 南 北 | 精装 | 中楼层(共6层)  | 板楼,1人关注 / 22天以前发布,70,"8,361元/平"
自带美颜的好房子 青城国际舒适大两居 拎包入住,青城国际公寓 -建南汽车站商圈,2室2厅 | 122.95平米 | 南 北 | 精装 | 中楼层(共22层)  | 板楼,0人关注 / 18天以前发布,125,"10,167元/平"
房子所在这个楼 一体浇筑房 房本满五年 业主诚心出售,太原铁路迎春小区E区 -大东关商圈,3室1厅 | 73.86平米 | 南 北 | 其他 | 高楼层(共6层)  | 板楼,0人关注 / 15天以前发布,46,"6,228元/平"
此房满五 楼层居中  东华门  82.70平米,省煤炭工业厅宿舍 -山大二院商圈,3室1厅 | 82.7平米 | 南 北 | 其他 | 中楼层(共5层)  | 板楼,0人关注 / 16天以前发布,70,"8,465元/平"
天鹅堡  南北通透大三居 大横厅 户型方正 看房方便,天鹅堡 -晋阳湖商圈,3室2厅 | 184平米 | 南 北 | 简装 | 低楼层(共33层)  | 板楼,0人关注 / 24天以前发布,196,"10,653元/平"
晋阳湖长风商务区温泉入户房业主诚心出售,阳光·汾河湾 -晋阳湖商圈,3室2厅 | 96.2平米 | 南 北 | 精装 | 低楼层(共33层)  | 板楼,1人关注 / 25天以前发布,124,"12,890元/平"
长风商务区 自己装修 三居两卫 南北通透 采光充足,兰亭御湖城西区 -义井商圈,3室1厅 | 106.66平米 | 南 北 | 精装 | 低楼层(共34层)  | 板塔结合,2人关注 / 28天以前发布,115,"10,782元/平"
长风街 方正无缺角户型 中间好楼层 单价低,逍邦ArtLife -义井商圈,3室1厅 | 145平米 | 南 北 | 简装 | 高楼层(共33层)  | 板塔结合,0人关注 / 17天以前发布,128,"8,828元/平"
长风商务区经典两居室便宜出售，准新房,远大·凤玺湾 -义井商圈,2室1厅 | 99平米 | 南 | 其他 | 低楼层(共34层)  | 板楼,0人关注 / 28天以前发布,111,"11,213元/平"
山大2院 经信委 大红本中间楼层 精装修,省经信委宿舍院 -三墙路,3室1厅 | 79.03平米 | 南 北 | 精装 | 中楼层(共6层)  | 板楼,0人关注 / 19天以前发布,90,"11,389元/平"
保利西湖林语3-2-1-2 118.00m² 154 万,保利西湖林语 -晋阳湖商圈,3室2厅 | 118平米 | 南 | 精装 | 中楼层(共34层)  | 板楼,0人关注 / 28天以前发布,153,"12,967元/平"
西中环、大红本、国企开发、现房,泰瑞城·九礼 -义井商圈,3室2厅 | 122.22平米 | 南 北 | 其他 | 高楼层(共33层)  | 板楼,0人关注 / 20天以前发布,113,"9,246元/平"
大红本可按揭，南北通透，有钥匙，诚心出售,丽景苑 -义井商圈,3室2厅 | 158.18平米 | 南 北 | 精装 | 中楼层(共22层)  | 板楼,0人关注 / 18天以前发布,155,"9,799元/平"
好房力荐！嘉怡国际南北通透大三居诚意出售,嘉怡国际丽都城 -千峰北路商圈,3室2厅 | 153平米 | 南 北 | 简装 | 中楼层(共28层)  | 板楼,0人关注 / 24天以前发布,142,"9,282元/平"
万象城 精装两居 产权清晰大红本采光好房屋间距远,兰亭·御湖城东区 -义井商圈,2室2厅 | 83.78平米 | 南 | 精装 | 高楼层(共29层)  | 板塔结合,24人关注 / 一年前发布,80,"9,549元/平"
带40平米露台的房子事什么样子呢 纯毛坯 可种花养草,梧桐院 -义井商圈,2室2厅 | 91.53平米 | 南 北 | 毛坯 | 低楼层(共32层)  | 板楼,14人关注 / 一年前发布,102,"11,144元/平"
公摊14%漪汾街上小高层南北通透客厅明亮,漪鑫雅园 -千峰北路商圈,3室2厅 | 131.88平米 | 东 南 北 | 简装 | 中楼层(共12层)  | 暂无数据,2人关注 / 4个月以前发布,103,"7,811元/平"
漪汾街口 大唐世家惠泽苑  精装修,大唐世家惠泽苑 -千峰北路商圈,3室1厅 | 60.92平米 | 东 | 其他 | 高楼层(共11层)  | 板楼,27人关注 / 一年前发布,66,"10,834元/平"
滨和西路 三面朝阳 精装修 大红本拎包入住,龙昌·滨河源 -兴华,3室2厅 | 131.25平米 | 南 北 | 其他 | 高楼层(共23层)  | 板楼,26人关注 / 6个月以前发布,92.5,"7,048元/平"
旱西关 大红本  中间楼层  98年房龄,唐久宿舍 -十二中商圈,2室1厅 | 61.56平米 | 南 北 | 简装 | 中楼层(共7层)  | 板楼,2人关注 / 4个月以前发布,51.5,"8,366元/平"
恒大名都经典两三居室，主卧朝南，采光好，视野佳,恒大名都 -小商品商圈,3室1厅 | 135.86平米 | 南 北 | 精装 | 低楼层(共32层)  | 板楼,3人关注 / 3个月以前发布,125.9,"9,267元/平"
老军营外西区四居 房龄新 楼层低,老军营外西区 -老军营商圈,4室1厅 | 102.94平米 | 北 南 | 精装 | 低楼层(共6层)  | 板楼,14人关注 / 一年前发布,137,"13,309元/平"
万科金域国际 大红本 满两年 急售 首付29万 看房方便,万科金域国际 -义井商圈,2室1厅 | 91.33平米 | 南 北 | 其他 | 低楼层(共33层)  | 板楼,0人关注 / 9天以前发布,95,"10,402元/平"
新上和平公园 观景房 大4居 豪.华装修大红本,润景·园著 -千峰南路商圈,4室2厅 | 237.32平米 | 南 北 | 精装 | 高楼层(共31层)  | 板楼,2人关注 / 2个月以前发布,399,"16,813元/平"
新建路 北大街 交通方便 配套成熟,尚层生活小区 -北大街商圈,2室1厅 | 110平米 | 南 北 | 其他 | 高楼层(共15层)  | 板塔结合,32人关注 / 6个月以前发布,69,"6,273元/平"
龙潭公园旁，胜利桥东，满五唯一，空家简装带储物间！,柳溪花园 -金刚堰商圈,2室1厅 | 107.99平米 | 南 北 | 简装 | 中楼层(共19层)  | 板楼,23人关注 / 一年前发布,82,"7,594元/平"
下元迎泽大街 三居中间楼层 配套成熟 带地下室,警苑小区 -千峰北路商圈,3室2厅 | 91.86平米 | 南 北 | 精装 | 中楼层(共6层)  | 板楼,13人关注 / 8个月以前发布,80,"8,709元/平"
房东诚心售卖 浇筑房 大红本 首付低,玉河街22号院 -千峰北路商圈,2室1厅 | 66.27平米 | 南 北 | 精装 | 高楼层(共6层)  | 板楼,2人关注 / 5个月以前发布,47,"7,093元/平"
