标题,开发商,房子信息,发布信息,售价/万,单价
11层小高8楼西打头三室两卫 相当于毛坯 满二 随时看房,越秀星汇金沙 -北京中路,3室2厅 | 117.04平米 | 北 西南 | 简装 | 中楼层(共11层)  | 板楼,1人关注 / 7天以前发布,95,"8,117元/平"
好楼层，采光好，进门厅双南卧室，全明户型，离校近。,东兴街 -解放路,3室1厅 | 77.93平米 | 南 北 | 简装 | 中楼层(共7层)  | 板楼,0人关注 / 30天以前发布,156,"20,018元/平"
带小棚，带车位，大三居天地一品好房出售,天地一品 -天地广场,3室2厅 | 121.57平米 | 南 北 | 毛坯 | 中楼层(共23层)  | 板楼,4人关注 / 22天以前发布,153,"12,586元/平"
塔山小区，矮楼层，框架房，大三室，单价低,塔山西路 -上夼,3室2厅 | 83.38平米 | 南 北 | 简装 | 低楼层(共6层)  | 板楼,1人关注 / 29天以前发布,93,"11,154元/平"
马赛克框架年代新，三楼东打头，采光无遮挡,四马路 -二马路,3室2厅 | 98.42平米 | 东 南 北 | 简装 | 中楼层(共6层)  | 板楼,4人关注 / 29天以前发布,247,"25,097元/平"
新出十里洋房急售 经典耳朵户型 2楼南北通透 采光充足,金象泰·十里洋房 -东泊子,3室2厅 | 137.77平米 | 南 北 | 毛坯 | 低楼层(共6层)  | 板楼,0人关注 / 29天以前发布,162,"11,759元/平"
华府南排 新装修 地暖 视野开阔采光好 海景好,南山世纪华府 -大学城,3室2厅 | 158.09平米 | 南 北 | 精装 | 中楼层(共32层)  | 板塔结合,2人关注 / 19天以前发布,210,"13,284元/平"
旭日小区 德胜商圈 南向 2室 中楼层 带小棚,旭日小区 -德胜,2室1厅 | 56.17平米 | 南 | 精装 | 中楼层(共5层)  | 板楼,1人关注 / 26天以前发布,40,"7,122元/平"
蜜橙小区精装婚房，满五唯一有地上车位可拎包入住,蜜橙 -高级中学,2室2厅 | 75.23平米 | 南 北 | 精装 | 低楼层(共28层)  | 板楼,1人关注 / 25天以前发布,79,"10,502元/平"
富力湾三室两卫精装修 中上好楼层 西打头 满二 不靠路,富力湾 -北京中路,3室2厅 | 107.27平米 | 南 西 北 | 精装 | 高楼层(共34层)  | 板楼,0人关注 / 21天以前发布,93,"8,670元/平"
南山丽景优质精装修小两居 全屋智能,南山丽景花园 -山海南路,2室1厅 | 75.68平米 | 南 | 精装 | 低楼层(共28层)  | 板楼,0人关注 / 25天以前发布,66,"8,721元/平"
大华上海滩花园 3室2厅 南 北,大华上海滩花园 -三滩社区,3室2厅 | 122.17平米 | 南 北 | 毛坯 | 中楼层(共18层)  | 板楼,2人关注 / 19天以前发布,118,"9,659元/平"
晨光小区一梯两户打头房南北通透全明户型低楼层,晨光小区(莱山) -迎春大街,2室1厅 | 73.22平米 | 南 北 | 简装 | 低楼层(共6层)  | 板楼,4人关注 / 27天以前发布,66,"9,014元/平"
南大街旁+只楚路+2单元+大阳台+采光好+产权明晰,金象泰温馨家园 -凤凰台,2室1厅 | 64.47平米 | 南 | 简装 | 低楼层(共32层)  | 板塔结合,0人关注 / 19天以前发布,62,"9,617元/平"
中间户，看房方便，业主诚心出售，可以随时电话联系。,龙湖时代公馆 -龙湖,2室2厅 | 88.26平米 | 南 | 简装 | 中楼层(共34层)  | 板楼,1人关注 / 10天以前发布,50,"5,666元/平"
房子满两年，中间楼层，采光好，通风好,鑫发小区 -刘家台,2室1厅 | 79.32平米 | 南 北 | 其他 | 中楼层(共6层)  | 板楼,1人关注 / 9天以前发布,65,"8,195元/平"
迎春大街 暖山国际 精装三居 经典户型  园林景观,暖山国际 -南塂,3室1厅 | 107.7平米 | 南 西 北 | 精装 | 低楼层(共26层)  | 板楼,2人关注 / 9天以前发布,89.99,"8,356元/平"
东区 电梯小两居 好楼层 视野采光好,富顺苑东区 -惠安,2室1厅 | 54.63平米 | 南 | 简装 | 中楼层(共12层)  | 板楼,0人关注 / 10天以前发布,53,"9,702元/平"
带车位打头房，采光无影响，精装修拎包入住,中海国际社区 -科技大道,3室1厅 | 119.18平米 | 南 北 | 精装 | 中楼层(共11层)  | 板楼,0人关注 / 10天以前发布,130,"10,908元/平"
黄河路上 海琴湾 封闭小区 155平米 打头房 拎包入住,海琴湾 -黄河路,3室2厅 | 154.1平米 | 东 南 北 | 精装 | 高楼层(共23层)  | 板楼,1人关注 / 26天以前发布,210,"13,628元/平"
阳光首院 电梯洋房好楼层 带车位  带家具家电,阳光首院 -首院,3室2厅 | 120.04平米 | 南 北 | 精装 | 低楼层(共7层)  | 板楼,1人关注 / 20天以前发布,160,"13,329元/平"
北方月光怡景 多层好楼层 带小棚,北方月光怡景 -富豪,2室2厅 | 85.24平米 | 南 北 | 精装 | 低楼层(共6层)  | 板楼,0人关注 / 7天以前发布,68,"7,978元/平"
新城福邸 3室1厅 南 北,新城福邸 -牟平振华,3室1厅 | 79.58平米 | 南 北 | 简装 | 低楼层(共19层)  | 暂无数据,0人关注 / 10天以前发布,33.6,"4,223元/平"
黄海城市花园 3室2厅 南 北,黄海城市花园 -黄海,3室2厅 | 121.9平米 | 南 北 | 其他 | 中楼层(共10层)  | 板楼,0人关注 / 2天以前发布,165,"13,536元/平"
衡悦大厦 中间楼层 双南卧大阳台 满五年,银和怡海衡悦大厦 -汽车西站,2室1厅 | 91.32平米 | 南 | 精装 | 中楼层(共31层)  | 板楼,1人关注 / 15天以前发布,78,"8,542元/平"
中海国际社区旁/多层房源/公摊小/伶包入住/有车位钥匙,滨海新城草埠新区 -科技大道,2室2厅 | 90.07平米 | 南 北 | 简装 | 中楼层(共6层)  | 板楼,0人关注 / 9天以前发布,79,"8,771元/平"
精装修 无主灯设计 格力中 央空调 家具家电齐全,中海紫御公馆 -科技大道,1室2厅 | 61平米 | 南 | 精装 | 29层  | 塔楼,1人关注 / 15天以前发布,39,"6,394元/平"
满二，精装修，看房有钥匙，南北通透,中海国际社区 -科技大道,3室1厅 | 98平米 | 南 北 | 其他 | 低楼层(共31层)  | 板楼,1人关注 / 2天以前发布,82,"8,368元/平"
桦林·颐和苑 3室1厅 东北,桦林·颐和苑 -魁玉路,3室1厅 | 77.79平米 | 东北 | 精装 | 低楼层(共29层)  | 板楼,1人关注 / 15天以前发布,67,"8,613元/平"
世嘉锦庭~南向2居室~带南向大阳台~家里装修保持不错,世嘉锦庭 -振华,2室1厅 | 76.99平米 | 南 | 精装 | 低楼层(共18层)  | 板楼,0人关注 / 15天以前发布,56.5,"7,339元/平"
万象城 2室1厅 南,万象城 -大学城,2室1厅 | 85.29平米 | 南 | 精装 | 低楼层(共21层)  | 塔楼,1人关注 / 7天以前发布,90,"10,553元/平"
楼层好 采光好 双阳卧室 生活便利,东兴街 -解放路,2室1厅 | 58.32平米 | 东 南 | 简装 | 中楼层(共7层)  | 板楼,1人关注 / 4天以前发布,122,"20,920元/平"
小区C位 房主急售  打头房 户型方正，开发商统装,中海国际社区 -科技大道,3室2厅 | 120.67平米 | 南 北 | 精装 | 低楼层(共34层)  | 板楼,0人关注 / 14天以前发布,121,"10,028元/平"
四季花城一期南北通透 一梯两户 三居室  全落地窗,四季花城（莱山） -迎春大街,3室2厅 | 100.59平米 | 南 北 | 精装 | 中楼层(共5层)  | 板楼,35人关注 / 一年前发布,138,"13,720元/平"
装修精美 家具家电全带 业主急售 看房随时,福地隆城 -科技大道,3室2厅 | 110.73平米 | 南 北 | 精装 | 高楼层(共28层)  | 板楼,11人关注 / 9个月以前发布,100,"9,031元/平"
复式精装修，采光好，带北向露台,海信依云小镇 -福莱山公园,4室2厅 | 188.9平米 | 南 北 | 精装 | 高楼层(共22层)  | 板楼,54人关注 / 一年前发布,158,"8,365元/平"
拎包入住精装修无大税好楼层，位置好，视野无遮挡,海信天山郡 -汽车西站,2室1厅 | 88.53平米 | 南 | 精装 | 中楼层(共33层)  | 板楼,9人关注 / 一年前发布,90,"10,167元/平"
一中国翠，封闭小区人车分流，宽敞4居2卫，看山看海,国翠 -后七夼,4室2厅 | 158.76平米 | 南 北 | 毛坯 | 高楼层(共27层)  | 板楼,1人关注 / 1个月以前发布,300,"18,897元/平"
万达商圈林语逸景精装三居室漂亮楼层拎包入住,林语逸景 -万达,3室2厅 | 113.14平米 | 南 北 东 | 精装 | 中楼层(共33层)  | 板楼,23人关注 / 一年前发布,145,"12,816元/平"
精装修 好楼层 全明户型 配套成熟,海信天山郡 -汽车西站,3室2厅 | 106.71平米 | 南 | 精装 | 中楼层(共33层)  | 板楼,1人关注 / 1个月以前发布,115,"10,777元/平"
蜜橙打头房三室两卫！满五唯一，婚房精装基本未住！,蜜橙 -高级中学,3室2厅 | 106平米 | 南 北 | 精装 | 中楼层(共27层)  | 板楼,15人关注 / 4个月以前发布,112,"10,567元/平"
四期精装交付 不带连廊 南北通透 中间楼层,中海国际社区 -科技大道,3室2厅 | 98.62平米 | 北 南 | 精装 | 低楼层(共33层)  | 板楼,39人关注 / 一年前发布,86,"8,721元/平"
御园 电梯洋房  精装修 161.99平  285万 莱山区政府旁,御园 -石沟屯,3室2厅 | 161.99平米 | 南 北 | 精装 | 中楼层(共5层)  | 板楼,120人关注 / 一年前发布,285,"17,594元/平"
房子错层结构，自带地暖，好楼层，框架房,华电小区 -德胜,3室2厅 | 136.37平米 | 南 北 | 精装 | 低楼层(共6层)  | 板楼,13人关注 / 一年前发布,135,"9,900元/平"
天山郡95万以内，无连廊三居室，好楼层。,海信天山郡 -汽车西站,3室1厅 | 89.65平米 | 南 北 | 精装 | 低楼层(共33层)  | 板楼,25人关注 / 4个月以前发布,90,"10,040元/平"
香山花园北区 小高层东打头采光好 南北通透耳朵户型,香山花园 -德胜,3室2厅 | 138.46平米 | 东 南 北 | 精装 | 低楼层(共12层)  | 板楼,8人关注 / 一年前发布,135,"9,751元/平"
房东诚心出售。中间楼层，采光视野敞亮,绿色家园 -迎春大街,3室2厅 | 117.23平米 | 东南 | 简装 | 中楼层(共22层)  | 塔楼,1人关注 / 2个月以前发布,87,"7,422元/平"
框架结构，多层二楼 户型南北通透 房子位置优越,金胜小区 -天地广场,2室2厅 | 73.28平米 | 南 北 | 简装 | 低楼层(共6层)  | 板楼,0人关注 / 1个月以前发布,79.5,"10,849元/平"
晨光两室带电梯可拎包住诚心出售,金力大厦 -德胜,2室1厅 | 88.17平米 | 西北 | 简装 | 低楼层(共17层)  | 塔楼,10人关注 / 一年前发布,55,"6,238元/平"
精装三室，中海物业，满五不唯一，好房价低。多多带看,中海银海熙岸 -东泊子,3室1厅 | 83平米 | 南 | 精装 | 中楼层(共19层)  | 板楼,10人关注 / 一年前发布,66,"7,952元/平"
越秀星汇金沙东打头一线海景房，带小棚,越秀星汇金沙 -北京中路,3室2厅 | 119.99平米 | 南 北 | 毛坯 | 高楼层(共30层)  | 板楼,0人关注 / 1个月以前发布,116,"9,668元/平"
力高精装修带车位，中高楼层，采光好，视野无遮挡,力高阳光海岸 -东泊子,3室2厅 | 107.05平米 | 南 北 | 精装 | 中楼层(共34层)  | 板楼,22人关注 / 一年前发布,98,"9,155元/平"
王座楼栋，4万芝华仕沙发，实木精装，停2辆车车位,融科林语 -万达,4室2厅 | 148.64平米 | 南 西 北 | 精装 | 中楼层(共18层)  | 塔楼,25人关注 / 一年前发布,205,"13,792元/平"
万科城三期东打头三居室好楼层全新未入住,万科城 -万科城,3室2厅 | 126.47平米 | 南 北 | 精装 | 中楼层(共34层)  | 板塔结合,7人关注 / 5个月以前发布,146,"11,545元/平"
万科城 采光好的精装三室带家具家电出售,万科城 -万科城,3室2厅 | 93.49平米 | 南 | 精装 | 高楼层(共34层)  | 板楼,10人关注 / 一年前发布,105,"11,232元/平"
急售精装中南山海湾下叠，一楼有院,中南山海湾 -开发区周边,4室2厅 | 147平米 | 南 北 | 精装 | 低楼层(共5层)  | 板楼,1人关注 / 3个月以前发布,168,"11,429元/平"
翡翠小区，多层，南北通透，框架房，中楼层,通世里 -南通路,3室1厅 | 84.3平米 | 南 北 | 简装 | 高楼层(共6层)  | 板楼,3人关注 / 4个月以前发布,128,"15,184元/平"
入户花园，东打头，产证满二无大税，低公摊,祥隆理想城 -科技大道,3室2厅 | 124.16平米 | 南 北 | 毛坯 | 低楼层(共23层)  | 板塔结合,56人关注 / 一年前发布,92,"7,410元/平"
马尔贝拉精装房，拎包入住，业主诚意卖,招商马尔贝拉 -北京中路,3室2厅 | 120.41平米 | 南 | 精装 | 10层  | 板楼,0人关注 / 4个月以前发布,133,"11,046元/平"
迎山路小三居 产证65.34平 多一间卧室 带小棚 带小院,迎山路 -二马路,3室1厅 | 65.34平米 | 南 北 | 精装 | 中楼层(共5层)  | 板楼,6人关注 / 2个月以前发布,135,"20,662元/平"
中海140平精装未住全明四居 位置优越 视野好 诚意出售,中海紫御公馆 -科技大道,4室2厅 | 141.43平米 | 南 北 | 精装 | 高楼层(共33层)  | 板楼,7人关注 / 1个月以前发布,160,"11,314元/平"
翡翠小区 东打头，，采光充足，实际面积大，框架房,通世里 -南通路,3室2厅 | 105.63平米 | 南 北 | 精装 | 低楼层(共6层)  | 板楼,29人关注 / 7个月以前发布,179,"16,946元/平"
中海四期锦城 好楼层 满二 精装 打头房 看房有钥匙,中海国际社区 -科技大道,3室2厅 | 120.67平米 | 南 北 | 精装 | 高楼层(共34层)  | 板楼,11人关注 / 一年前发布,112,"9,282元/平"
小高层 一梯两户 南北 公摊小,金鑫家园 -刘家台,2室2厅 | 93.26平米 | 南 北 | 精装 | 低楼层(共11层)  | 板楼,3人关注 / 5个月以前发布,76,"8,150元/平"
满五唯一，楼层好，视野宽阔，配套设施齐全,烟台开发区医院家属楼 -业达医院,2室2厅 | 89平米 | 南 北 | 简装 | 中楼层(共6层)  | 板楼,3人关注 / 7个月以前发布,82,"9,214元/平"
海天雅筑，耳朵户型，精装修，通透三居,海天雅筑 -科技大道,3室2厅 | 111.98平米 | 东南 | 精装 | 低楼层(共25层)  | 板楼,8人关注 / 一年前发布,82,"7,323元/平"
实验旁边，三居室，全明通透，卫生间有窗,沙河崖小区 -牟平振华,3室1厅 | 72.84平米 | 南 北 | 精装 | 中楼层(共6层)  | 板楼,2人关注 / 4个月以前发布,36.6,"5,025元/平"
毛坯三居室，双卫，南北通透格局好,融创迩海 -龙湖,3室2厅 | 125.34平米 | 南 北 | 毛坯 | 低楼层(共34层)  | 板楼,25人关注 / 9个月以前发布,65,"5,186元/平"
南通路+二北，坡上框架房结构好房龄新，近南山公园,通世里 -南通路,3室2厅 | 94.18平米 | 南 北 | 简装 | 中楼层(共7层)  | 板塔结合,11人关注 / 4个月以前发布,165,"17,520元/平"
南向独院别墅带大院子，临水系，车位入户。,龙湖葡醍海湾 -龙湖,3室2厅 | 174.33平米 | 南 | 毛坯 | 低楼层(共2层)  | 暂无数据,24人关注 / 6个月以前发布,260,"14,915元/平"
东方巴黎繁华地段精装三居室出售,东方巴黎 -三站,3室2厅 | 97.22平米 | 南 北 | 精装 | 低楼层(共6层)  | 板楼,31人关注 / 一年前发布,102.8,"10,574元/平"
南北通透，高楼层采光无遮挡，视野好,富力湾 -北京中路,3室2厅 | 106.56平米 | 南 北 | 精装 | 高楼层(共34层)  | 板楼,0人关注 / 3个月以前发布,93,"8,728元/平"
急售融创一期三居室打头房，采光好可观海，满两年,融创迩海 -龙湖,3室2厅 | 116.37平米 | 南 西 北 | 毛坯 | 高楼层(共34层)  | 板楼,8人关注 / 5个月以前发布,63,"5,414元/平"
婚房中 央空调新风系统、家具家电全带，南向四开间,金海名园 -科技大道,4室3厅 | 204.91平米 | 南 北 | 精装 | 中楼层(共30层)  | 板楼,5人关注 / 3个月以前发布,268,"13,079元/平"
保利地产开发，精装洋房好楼层，采光好，视野好,保利爱尚海 -科技大道,3室2厅 | 119.76平米 | 南 北 | 精装 | 高楼层(共8层)  | 板楼,13人关注 / 4个月以前发布,168,"14,029元/平"
业主诚心卖+精装修保持的不错+楼层适中,南山世纪华庭 -大学城,3室2厅 | 219.41平米 | 南 北 | 精装 | 低楼层(共32层)  | 板楼,31人关注 / 5个月以前发布,180,"8,204元/平"
三和星海 精装修带阁楼80平米 南北双阳台 满五唯一,三和星海花园 -碧海云天,4室3厅 | 122.23平米 | 南 北 | 精装 | 高楼层(共11层)  | 板楼,36人关注 / 一年前发布,160,"13,091元/平"
福海路  全明户型  格中 大三居,星河城 -福海路,3室2厅 | 97.9平米 | 南 北 | 其他 | 高楼层(共19层)  | 塔楼,7人关注 / 3个月以前发布,77.8,"7,947元/平"
精装未住，15楼，采光视野好，通透户型，小三居,大华上海滩花园 -三滩社区,2室2厅 | 106.19平米 | 南 北 | 精装 | 高楼层(共18层)  | 板楼,5人关注 / 3个月以前发布,104,"9,794元/平"
招商小高层三居室，满两年，急售,招商马尔贝拉 -北京中路,3室1厅 | 106.5平米 | 南 北 | 精装 | 10层  | 板楼,3人关注 / 3个月以前发布,95,"8,921元/平"
好楼层 精品装修 俯览福莱山全景,海信慧园西区 -高级中学,3室1厅 | 112.79平米 | 南 北 | 精装 | 高楼层(共32层)  | 板塔结合,31人关注 / 9个月以前发布,115,"10,196元/平"
万象城  东打头看山看海  房主诚意出售,万象城 -大学城,4室2厅 | 142平米 | 南 北 | 简装 | 中楼层(共22层)  | 板塔结合,11人关注 / 8个月以前发布,179,"12,606元/平"
小高层证满五 精装修拎包住 东打头采光好 无抵押,中海银海熙岸 -东泊子,3室2厅 | 91.17平米 | 东 南 北 | 精装 | 中楼层(共19层)  | 板楼,3人关注 / 一年前发布,83,"9,104元/平"
四季花城多层复式结构，视野开阔，南北通透,四季花城（莱山） -迎春大街,5室3厅 | 74.27平米 | 南 北 | 精装 | 高楼层(共5层)  | 板楼,59人关注 / 一年前发布,139.8,"18,824元/平"
新小区  全明户型 可以拎包入住,同德花园 -南塂,3室2厅 | 125.93平米 | 南 北 | 精装 | 低楼层(共11层)  | 板楼,38人关注 / 一年前发布,108,"8,577元/平"
此房满五唯一，看房便利，户型优良，基础装修保持良好,碧海云天 -碧海云天,4室2厅 | 175.05平米 | 南 北 | 简装 | 高楼层(共12层)  | 板楼,17人关注 / 10个月以前发布,204,"11,654元/平"
碧海云天)总层4层的电梯洋房，三室两厅两卫,碧海云天 -碧海云天,3室2厅 | 139.79平米 | 南 北 | 精装 | 低楼层(共4层)  | 板楼,10人关注 / 2个月以前发布,165,"11,804元/平"
西南河路，双南卧室，客厅带窗，实际面积大，安静,西南河路 -毓璜顶,3室2厅 | 90.61平米 | 南 西 北 | 简装 | 低楼层(共7层)  | 板楼,0人关注 / 24天以前发布,178,"19,645元/平"
芝罘里 三居室 南北通透 户型标准 采光好,芝罘里 -解放路,3室1厅 | 76.8平米 | 南 北 | 简装 | 中楼层(共6层)  | 板楼,1人关注 / 19天以前发布,165,"21,485元/平"
小区好位置，东打头，采光充足，北向无连廊,烟台华润中心 -大学城,3室2厅 | 126.36平米 | 南 北 | 其他 | 低楼层(共33层)  | 板楼,0人关注 / 27天以前发布,140,"11,080元/平"
奇山96年马赛克房，好停车，生活方便,奇山西街 -上夼,2室1厅 | 59.96平米 | 南 北 | 简装 | 高楼层(共6层)  | 板楼,1人关注 / 28天以前发布,48,"8,006元/平"
南北通透楼层好采光视野不错精装修拎包入住,金地格林世界 -莱山周边,3室2厅 | 104.63平米 | 南 北 | 精装 | 中楼层(共27层)  | 板楼,0人关注 / 20天以前发布,110,"10,514元/平"
烟台大学旁万象城126平米全明户型,万象城 -大学城,3室2厅 | 126.5平米 | 南 北 | 精装 | 低楼层(共21层)  | 塔楼,6人关注 / 27天以前发布,127,"10,040元/平"
此房一梯两户 南北通透 总价低 楼层好 采光好 公摊少,鑫兴佳苑 -刘家台,2室2厅 | 76平米 | 南 北 | 精装 | 高楼层(共11层)  | 板楼,0人关注 / 22天以前发布,56,"7,369元/平"
jiao育小区 距离实验243米 不用过马路就能到,北方月光兰庭 -高级中学,2室1厅 | 64.99平米 | 南 | 其他 | 中楼层(共18层)  | 板楼,0人关注 / 29天以前发布,105,"16,157元/平"
上山路2楼10万精装+南北通透+改了地暖+不动产证,上山路小区 -上夼,2室1厅 | 48.54平米 | 南 北 | 其他 | 低楼层(共6层)  | 板楼,1人关注 / 28天以前发布,56.5,"11,640元/平"
海信天山郡 精装未住 东打头 满两年 全明三居室,海信天山郡 -汽车西站,3室2厅 | 97.57平米 | 南 北 | 精装 | 低楼层(共33层)  | 板楼,0人关注 / 7天以前发布,115,"11,787元/平"
厚安小区三道街一梯两户南北通透精装修三室,三道街 -厚安,3室2厅 | 69.87平米 | 南 北 | 精装 | 中楼层(共7层)  | 板楼,2人关注 / 1个月以前发布,80,"11,450元/平"
碧海云天 3室2厅 南 北,碧海云天 -碧海云天,3室2厅 | 156.69平米 | 南 北 | 精装 | 中楼层(共20层)  | 板楼,2人关注 / 28天以前发布,209,"13,339元/平"
交通便利 配套齐全房子装修好户型方正 双南卧采无遮挡,联谊小区 -世回尧,2室1厅 | 75.72平米 | 南 北 | 精装 | 低楼层(共6层)  | 板楼,0人关注 / 25天以前发布,69.8,"9,219元/平"
海滨小区矮楼层西打头两居室，全明户型,海滨花园小区富夼街 -后七夼,2室1厅 | 58.79平米 | 南 北 | 简装 | 低楼层(共6层)  | 板楼,2人关注 / 18天以前发布,91,"15,479元/平"
金地格林梦想 2室1厅 南 北,金地格林梦想 -莱山周边,2室1厅 | 78.23平米 | 南 北 | 毛坯 | 中楼层(共26层)  | 板楼,3人关注 / 26天以前发布,54,"6,903元/平"
