标题,开发商,房子信息,发布信息,售价/万,单价
三居室，明室明厅 精装修南北通透 观景房,松林亲水湾 -新城区,3室2厅 | 157.78平米 | 南 北 | 精装 | 中楼层(共18层)  | 板楼,38人关注 / 一年前发布,143,"9,064元/平"
富兴嘉城东区洋房4+5楼253平客厅层高5.8米给豪 装,富兴嘉城A区 -新城区,3室3厅 | 253.28平米 | 南 北 | 精装 | 中楼层(共5层)  | 板楼,0人关注 / 19天以前发布,245,"9,674元/平"
虹桥丽景 3室2厅 南 北,虹桥丽景 -松山区,3室2厅 | 153.52平米 | 南 北 | 精装 | 高楼层(共31层)  | 板楼,0人关注 / 20天以前发布,122,"7,947元/平"
松都御府 7971元/平  精装修 明室明厅独立餐厅,松都御府 -松山区,3室2厅 | 116.67平米 | 南 北 | 精装 | 中楼层(共18层)  | 板塔结合,0人关注 / 26天以前发布,93,"7,972元/平"
吉祥家园，简装明厅独立两居室，诚心卖,吉祥家园(新城区) -新城区,2室2厅 | 96.2平米 | 南 北 | 简装 | 中楼层(共6层)  | 板楼,0人关注 / 22天以前发布,69.9,"7,267元/平"
香格里拉 钻石楼层 边户 小税,香格里拉国际城 -松山区,3室2厅 | 116.15平米 | 南 北 | 简装 | 高楼层(共28层)  | 板塔结合,8人关注 / 10个月以前发布,83.5,"7,189元/平"
2003年 3楼 电梯洋房 诚心卖 不临街,松州园 -红山区,3室2厅 | 94.31平米 | 南 北 | 简装 | 中楼层(共6层)  | 板楼,3人关注 / 5个月以前发布,68,"7,211元/平"
单价6536 红山世家洋房 无捆绑 飞机户型 钥匙看房,红山世家 -红山区,3室2厅 | 143.81平米 | 南 北 | 简装 | 高楼层(共12层)  | 板楼,7人关注 / 6个月以前发布,85,"5,911元/平"
独立三室双卫，西边户，观景房直观月牙桥,荷枫水岸一期 -桥北新区,3室2厅 | 117.16平米 | 西北 | 简装 | 中楼层(共17层)  | 板楼,5人关注 / 一年前发布,73,"6,231元/平"
百合田园A区 电梯洋房，中间楼层，三室双卫，大三阳,百合田园 -喀喇沁旗,3室2厅 | 140.72平米 | 南 北 | 简装 | 中楼层(共10层)  | 板楼,17人关注 / 一年前发布,108,"7,675元/平"
富和园七区西边户 全明户型 精装小税 国际學校有钥匙,富和园 -新城区,3室2厅 | 135.04平米 | 南 北 | 精装 | 中楼层(共13层)  | 板楼,15人关注 / 8个月以前发布,105,"7,776元/平"
馨泰家园 步梯中层 三室有装修 无捆绑 不临街,馨泰家园 -喀喇沁旗,3室2厅 | 88.39平米 | 南 北 | 简装 | 中楼层(共7层)  | 板楼,3人关注 / 7个月以前发布,34,"3,847元/平"
金御华府B区 3室2厅 南 北,金御华府B区 -松山区,3室2厅 | 144.91平米 | 南 北 | 精装 | 中楼层(共18层)  | 板塔结合,0人关注 / 2个月以前发布,103,"7,108元/平"
丰泽园二期 现房 南北通透 大三阳格局好,丰泽园二期 -松山区,3室2厅 | 126.01平米 | 南 北 | 简装 | 中楼层(共15层)  | 板楼,2人关注 / 一年前发布,85.5,"6,786元/平"
吉祥阳光新城三居室  楼层好  采光好,吉祥阳光新城I区 -新城区,3室2厅 | 85.33平米 | 南 北 | 简装 | 中楼层(共13层)  | 板楼,6人关注 / 6个月以前发布,69,"8,087元/平"
优质好房源  品质小区  户型好  采光好,友谊家园 -松山区,3室2厅 | 104.3平米 | 南 北 | 简装 | 中楼层(共7层)  | 板楼,1人关注 / 一年前发布,67.5,"6,472元/平"
南北通透，交通方便，采光充足。,农机局住宅楼 -松山区,3室1厅 | 84.14平米 | 南 北 | 简装 | 高楼层(共7层)  | 板楼,0人关注 / 一年前发布,44.9,"5,337元/平"
三室 好楼层 采光好 配套齐全 价不高,科海明珠 -松山区,3室2厅 | 102.64平米 | 南 北 | 精装 | 中楼层(共18层)  | 板楼,0人关注 / 4个月以前发布,76,"7,405元/平"
长安小区 3室2厅 南 北,长安小区 -新城区,3室2厅 | 94.33平米 | 南 北 | 精装 | 低楼层(共7层)  | 板楼,0人关注 / 2个月以前发布,82,"8,693元/平"
河畔骏景 三室明厅 中装 可贷款 单价低,河畔骏景 -新城区,3室2厅 | 137.42平米 | 南 北 | 简装 | 高楼层(共17层)  | 板楼,5人关注 / 一年前发布,105,"7,641元/平"
玫瑰园小区中间楼层经典三室采光好不临街,玫瑰园小区 -红山区,3室2厅 | 96平米 | 南 北 | 简装 | 中楼层(共7层)  | 板楼,1人关注 / 4个月以前发布,66,"6,875元/平"
房子格局方正  采光视野好 无捆绑 交通便利,水榭花都B区 -新城区,3室2厅 | 123.53平米 | 南 北 | 精装 | 中楼层(共7层)  | 板楼,2人关注 / 7个月以前发布,86,"6,962元/平"
亲水湾 步梯4楼 毛坯房未住过 国际小.学 中.学.学-区,松林亲水湾 -新城区,3室2厅 | 156.24平米 | 南 北 | 毛坯 | 中楼层(共6层)  | 板塔结合,29人关注 / 一年前发布,132,"8,449元/平"
皇 家帝苑 毛坯房、单价合适，三室双卫全明 好楼层,皇家帝苑二期C区 -新城区,3室2厅 | 146.6平米 | 南 北 | 毛坯 | 中楼层(共18层)  | 板楼,28人关注 / 一年前发布,105,"7,163元/平"
此房南北通透东边户，步梯4楼，无捆绑，采光好，独立,水榭花都B区 -新城区,3室2厅 | 93.74平米 | 南 北 | 简装 | 中楼层(共6层)  | 板楼,1人关注 / 2个月以前发布,73,"7,788元/平"
吉祥阳光新城 步梯中间楼层 经典三室 无捆绑 可贷款,吉祥阳光新城I区 -新城区,3室1厅 | 140.22平米 | 南 北 | 精装 | 高楼层(共7层)  | 板楼,0人关注 / 3个月以前发布,95,"6,776元/平"
房子大三阳格局 落地大窗户 光线好 过户小税,水榭花都B区 -新城区,3室2厅 | 123.32平米 | 南 北 | 简装 | 中楼层(共7层)  | 板楼,6人关注 / 3个月以前发布,80,"6,488元/平"
步梯三楼 边户  精装修  看房方便,团结小区 -红山区,3室2厅 | 92.4平米 | 南 北 | 精装 | 中楼层(共7层)  | 板楼,4人关注 / 5个月以前发布,60,"6,494元/平"
馨风雅居 精装修 四中 三室 随时看房,馨风雅居 -新城区,3室1厅 | 84.25平米 | 南 北 | 精装 | 高楼层(共7层)  | 板楼,0人关注 / 一年前发布,52.5,"6,232元/平"
在水一方 精装修 采光充足 视野宽阔,在水一方小区 -松山区,3室2厅 | 139.9平米 | 南 北 | 精装 | 低楼层(共18层)  | 板楼,0人关注 / 一年前发布,97,"6,934元/平"
步梯二楼 经典大三室 2000年房子 看房方便,公安小区（十七小对面） -红山区,3室2厅 | 131.04平米 | 南 北 | 简装 | 低楼层(共7层)  | 板楼,4人关注 / 一年前发布,68.6,"5,236元/平"
时代天骄精装修 南北通透3居室,时代天骄 -红山区,3室2厅 | 84.28平米 | 南 北 | 精装 | 高楼层(共7层)  | 板楼,5人关注 / 5个月以前发布,54,"6,408元/平"
恒基馨居 南北通透步梯三室 小税。,恒基馨居 -松山区,3室1厅 | 95.94平米 | 南 北 | 精装 | 高楼层(共5层)  | 板塔结合,2人关注 / 3个月以前发布,62.5,"6,515元/平"
和美农电小区 电梯好楼层 三室户型,和美家园农电小区 -新城区,3室1厅 | 100.07平米 | 北 南 | 简装 | 高楼层(共12层)  | 板楼,2人关注 / 7个月以前发布,63.5,"6,346元/平"
观景房 三阳双卫精装修 无附带 落地窗,百合田园 -喀喇沁旗,3室2厅 | 142平米 | 南 北 | 精装 | 中楼层(共10层)  | 板楼,8人关注 / 一年前发布,120,"8,451元/平"
天合阳光A区 落地窗  三室 拎包入住,天合阳光城A区 -红山区,3室2厅 | 114平米 | 南 北 | 精装 | 中楼层(共7层)  | 板楼,2人关注 / 7个月以前发布,92,"8,071元/平"
临河小区 3室2厅 南 北,临河小区 -松山区,3室2厅 | 118.41平米 | 南 北 | 其他 | 高楼层(共6层)  | 板楼,0人关注 / 8天以前发布,60,"5,068元/平"
香格里拉国际城 3室2厅 南 北,香格里拉国际城 -松山区,3室2厅 | 112.99平米 | 南 北 | 精装 | 中楼层(共10层)  | 板塔结合,0人关注 / 6天以前发布,96,"8,497元/平"
朗园 幸福里 房子无网签。 可贷款  西边户,朗园·幸福里 -新城区,3室2厅 | 140.22平米 | 南 北 | 毛坯 | 高楼层(共32层)  | 板楼,0人关注 / 4天以前发布,102,"7,275元/平"
房子三室格局，中间楼层，看房随时，房主诚心出售,向阳小区二组团 -松山区,3室2厅 | 85.92平米 | 南 北 | 简装 | 中楼层(共6层)  | 板楼,0人关注 / 5天以前发布,47.2,"5,494元/平"
此房满2年 过户大税 三居室精装修温馨婚房,时代天骄 -红山区,3室2厅 | 97.6平米 | 南 | 精装 | 中楼层(共13层)  | 板楼,0人关注 / 4天以前发布,77,"7,890元/平"
西城尚景，步梯四楼，南北通透两室，,西城尚景一期 -新城区,2室1厅 | 75.22平米 | 南 北 | 简装 | 中楼层(共7层)  | 板楼,0人关注 / 6天以前发布,45,"5,983元/平"
过户小税  2005  没有捆绑  房主着急卖,松州园 -红山区,2室1厅 | 80.78平米 | 南 北 | 简装 | 中楼层(共7层)  | 板楼,1人关注 / 31天以前发布,55,"6,809元/平"
大三阳格局，户型方正，精装修，拎包入住,丰泽园二期 -松山区,3室2厅 | 126.11平米 | 南 北 | 精装 | 高楼层(共17层)  | 板楼,1人关注 / 23天以前发布,102,"8,089元/平"
钓鱼台B区 122.3平 明厅三室 南北通透 过户小税,钓鱼台B区 -桥北新区,3室1厅 | 122.29平米 | 南 北 | 简装 | 高楼层(共11层)  | 板塔结合,0人关注 / 23天以前发布,77,"6,297元/平"
房子南北通透 明室明厅独立三室 公摊小 过户小税 能讲,荷枫水岸一期 -桥北新区,3室1厅 | 107.6平米 | 南 北 | 其他 | 低楼层(共18层)  | 板楼,0人关注 / 13天以前发布,75,"6,971元/平"
水榭花都全明户型三室可贷款无捆绑随时看房,水榭花都B区 -新城区,3室2厅 | 89.07平米 | 南 北 | 简装 | 高楼层(共7层)  | 板楼,6人关注 / 10个月以前发布,46,"5,165元/平"
步梯3层，南北通透，双阳卧室，精装修，视野开阔！,金百合南区 -红山区,3室2厅 | 88.79平米 | 南 北 | 精装 | 中楼层(共6层)  | 板楼,4人关注 / 6个月以前发布,67.5,"7,603元/平"
三室两厅，三阳格局，电梯，精装修，诚心出售！,松州明珠 -松山区,3室1厅 | 110.75平米 | 南 北 | 其他 | 中楼层(共18层)  | 暂无数据,0人关注 / 8天以前发布,106,"9,572元/平"
同心园 老三室格局 无捆绑 小税唯一 看房方便！,同心园 -新城区,3室2厅 | 98.1平米 | 南 北 | 精装 | 低楼层(共13层)  | 板楼,0人关注 / 8天以前发布,77.5,"7,901元/平"
金泽园 3室1厅 南 北,金泽园 -新城区,3室1厅 | 120.13平米 | 南 北 | 其他 | 低楼层(共14层)  | 板楼,0人关注 / 8天以前发布,84.1,"7,001元/平"
房子大三阳户型 双卫西边户四室 纯毛坯能随时更名,朗园·幸福里 -新城区,4室2厅 | 170.83平米 | 南 西 北 | 其他 | 低楼层(共32层)  | 塔楼,0人关注 / 6天以前发布,113,"6,615元/平"
成龙嘉园 西边户独立三室 步梯2楼 必须捆绑车库18万,成龙嘉园 -新城区,3室2厅 | 102平米 | 南 北 | 精装 | 低楼层(共7层)  | 板楼,0人关注 / 6天以前发布,78,"7,648元/平"
富兴嘉城A区 4室2厅 南 北,富兴嘉城A区 -新城区,4室2厅 | 231.77平米 | 南 北 | 其他 | 高楼层(共16层)  | 板楼,0人关注 / 5天以前发布,204,"8,802元/平"
单价6200 三室边户 直观南山 2010年 市医院附属医院,盛世嘉园A区 -红山区,3室2厅 | 120.2平米 | 南 西 北 | 精装 | 高楼层(共24层)  | 板楼,0人关注 / 28天以前发布,75,"6,240元/平"
松州园 3室1厅 南 北,松州园 -红山区,3室1厅 | 74.96平米 | 南 北 | 精装 | 高楼层(共7层)  | 板楼,1人关注 / 1个月以前发布,64,"8,538元/平"
明厅两室，精装修，采光充足，满五唯一,万达华城C区 -新城区,2室2厅 | 93.97平米 | 南 | 精装 | 低楼层(共32层)  | 板楼,0人关注 / 25天以前发布,63,"6,705元/平"
和美家园  精装2室 小税 无捆绑 看房随时,和美佳园（新城区） -喀喇沁旗,2室1厅 | 99.32平米 | 南 北 | 简装 | 高楼层(共12层)  | 板楼,0人关注 / 24天以前发布,62,"6,243元/平"
春城雅苑  房主诚心卖 简单装修两室  单价便宜,春城雅苑小区 -新城区,2室2厅 | 62.21平米 | 南 北 | 简装 | 中楼层(共6层)  | 板楼,0人关注 / 18天以前发布,37,"5,948元/平"
此房精装修  房子干净 房主好沟通,御景华庭 -松山区,2室2厅 | 90.48平米 | 南 北 | 精装 | 中楼层(共11层)  | 板楼,0人关注 / 21天以前发布,69,"7,626元/平"
富河国际C区 3室2厅 南 北,富河国际C区 -新城区,3室2厅 | 139.6平米 | 南 北 | 精装 | 高楼层(共6层)  | 板楼,2人关注 / 15天以前发布,90,"6,447元/平"
河畔骏景 明厅3室格局 一楼带花园 无遮挡,河畔骏景 -新城区,3室2厅 | 127.77平米 | 南 北 | 简装 | 低楼层(共17层)  | 板塔结合,4人关注 / 6个月以前发布,89.9,"7,037元/平"
昭乌达小区  2003年房 步梯3楼,昭乌达梅园庭苑 -红山区,3室2厅 | 94.45平米 | 南 北 | 简装 | 中楼层(共6层)  | 板楼,3人关注 / 8个月以前发布,54,"5,718元/平"
明厅独立三室 双卫 精装修 采光好,钓鱼台A区 -桥北新区,3室1厅 | 124.95平米 | 南 北 | 精装 | 高楼层(共6层)  | 板楼,11人关注 / 一年前发布,86.5,"6,923元/平"
明厅 大三室。每个屋都有窗户 东边户,康居家园 -松山区,3室2厅 | 127.01平米 | 南 北 | 精装 | 中楼层(共7层)  | 板楼,3人关注 / 一年前发布,73,"5,748元/平"
运输小区 经典三室 一楼带花园  闹事中享受田园生活,运输小区 -红山区,3室2厅 | 96.03平米 | 南 北 | 精装 | 低楼层(共7层)  | 板楼,3人关注 / 1个月以前发布,69,"7,186元/平"
明厅 大两室 诚心出售 好楼层 没瑕疵,馨风雅居 -新城区,2室2厅 | 99.64平米 | 南 北 | 精装 | 中楼层(共7层)  | 板楼,6人关注 / 8个月以前发布,78,"7,829元/平"
松秀园1楼边户3室  带大花园,松秀园 -松山区,3室1厅 | 89.14平米 | 南 北 | 精装 | 低楼层(共7层)  | 板楼,1人关注 / 3个月以前发布,61,"6,844元/平"
精装修 南北通透视野开阔 采光充足,中天御园 -新城区,4室2厅 | 168平米 | 南 北 | 精装 | 低楼层(共25层)  | 塔楼,2人关注 / 5个月以前发布,143,"8,512元/平"
房主诚心卖，想置换房子，看房提前联系,普瑞房产 -红山区,3室1厅 | 95.27平米 | 南 北 | 简装 | 中楼层(共5层)  | 塔楼,1人关注 / 4个月以前发布,62,"6,508元/平"
金百合东区 3室1厅 南 北,金百合东区 -红山区,3室1厅 | 164平米 | 南 北 | 精装 | 高楼层(共6层)  | 塔楼,0人关注 / 14天以前发布,113,"6,891元/平"
精装修  双阳格局   全明户型  边户,万达华城C区 -新城区,3室2厅 | 115.56平米 | 南 北 | 精装 | 高楼层(共30层)  | 板楼,6人关注 / 6个月以前发布,91,"7,875元/平"
向阳花园 不是顶楼 经典大三居  差价可协商,向阳花园五组 -松山区,3室2厅 | 119.13平米 | 南 北 | 精装 | 高楼层(共7层)  | 板楼,2人关注 / 一年前发布,78,"6,548元/平"
富和国际C区小高层 房子格局好 室内装修好采光好,富河国际C区 -新城区,3室2厅 | 105.68平米 | 南 北 | 精装 | 中楼层(共11层)  | 板楼,4人关注 / 5个月以前发布,97,"9,179元/平"
：此房南北通透 视野开阔采光好 装修可以,松秀园 -松山区,2室1厅 | 63.76平米 | 南 北 | 简装 | 高楼层(共7层)  | 板塔结合,1人关注 / 6个月以前发布,39.8,"6,243元/平"
新上房源  红山郡 三室 前排 无遮挡 精装修,首地·红山郡 -新城区,3室2厅 | 120.95平米 | 南 北 | 精装 | 低楼层(共14层)  | 板楼,2人关注 / 1个月以前发布,103,"8,516元/平"
回小  十中 明室明厅大三室跃层 楼层好,馨园小区（女人街鑫源小区） -红山区,3室2厅 | 145.12平米 | 南 北 | 精装 | 低楼层(共6层)  | 暂无数据,0人关注 / 一年前发布,110,"7,580元/平"
满五年小税 精装修步梯中间层 双卧朝南！,民族小区(五道街) -红山区,3室2厅 | 95.3平米 | 南 北 | 简装 | 高楼层(共7层)  | 板楼,1人关注 / 一年前发布,51,"5,352元/平"
首付2万 大三阳户型 单价6600元 电梯中间楼层,悦海康庭北区 -松山区,3室2厅 | 135.4平米 | 南 北 | 简装 | 中楼层(共25层)  | 板楼,0人关注 / 3个月以前发布,88,"6,500元/平"
房子是南北通透3室户型，房型方正，客厅宽敞无压抑感,恒基馨居 -松山区,3室2厅 | 100.25平米 | 南 北 | 简装 | 低楼层(共17层)  | 板塔结合,5人关注 / 一年前发布,70,"6,983元/平"
此房南北通透，视野采光好，装修保养用心,航安金和城 -松山区,3室2厅 | 113.88平米 | 南 北 | 精装 | 中楼层(共29层)  | 板楼,3人关注 / 3个月以前发布,90,"7,904元/平"
景泰苑小高层宽敞三居室军人之家干净利索满满的正能量,景泰苑 -新城区,3室1厅 | 91.76平米 | 南 北 | 简装 | 高楼层(共17层)  | 板楼,0人关注 / 2个月以前发布,76,"8,283元/平"
电梯12楼 前排不遮挡 无捆绑过户小税  看房随时,晨曦花苑 -松山区,3室2厅 | 90.59平米 | 南 北 | 精装 | 高楼层(共12层)  | 板塔结合,2人关注 / 3个月以前发布,64,"7,065元/平"
观景房 南北通透 全明户型 无捆绑,虹桥丽景现代城 -松山区,3室2厅 | 109.88平米 | 南 西 北 | 精装 | 中楼层(共25层)  | 板楼,0人关注 / 11天以前发布,96,"8,737元/平"
精装修  复式楼  空中别墅 家具家电齐全,恒盛馨苑 -松山区,3室2厅 | 95.91平米 | 南 北 | 精装 | 中楼层(共13层)  | 板楼,7人关注 / 一年前发布,94,"9,801元/平"
蓝山庭院 精装修 电梯中层 南北通透 无遮挡,蓝山庭院东区 -松山区,3室2厅 | 127.92平米 | 南 北 | 精装 | 高楼层(共16层)  | 板塔结合,0人关注 / 3个月以前发布,84,"6,567元/平"
王.府花园 明室明厅，大三居，视野开阔 ，公摊小,王府花园二期 -新城区,3室2厅 | 126.46平米 | 南 北 | 简装 | 中楼层(共6层)  | 板楼,3人关注 / 一年前发布,112,"8,857元/平"
飞机带翅膀户型，装修就花了160万，寻找有缘人,香格里拉国际城 -松山区,3室2厅 | 245.88平米 | 南 北 | 精装 | 中楼层(共5层)  | 板楼,0人关注 / 1个月以前发布,320,"13,015元/平"
安居小区 前排无遮挡 采光充足 经典三室,安居小区 -红山区,3室2厅 | 104.13平米 | 南 北 | 简装 | 低楼层(共7层)  | 板楼,0人关注 / 6个月以前发布,36,"3,458元/平"
百合田园B区 电梯13楼 毛坯 西边户 全明户型,百合田园B区 -喀喇沁旗,3室2厅 | 128.79平米 | 南 北 | 毛坯 | 高楼层(共18层)  | 板楼,0人关注 / 10天以前发布,97,"7,532元/平"
富河国际C区 精装花园 147.46m² 美好生活从这开始,富河国际C区 -新城区,3室2厅 | 147.46平米 | 南 北 | 精装 | 低楼层(共13层)  | 板楼,15人关注 / 一年前发布,145,"9,834元/平"
南北通透，房屋中等装修 、市直幼儿园、过户小税,锦绣花园（新城区） -新城区,2室1厅 | 108.51平米 | 南 北 | 精装 | 高楼层(共6层)  | 板楼,2人关注 / 5个月以前发布,76,"7,004元/平"
顺丰小区  05年房子  、新装修 眼缘好,顺丰小区 -红山区,3室2厅 | 100.54平米 | 南 北 | 简装 | 中楼层(共7层)  | 板塔结合,3人关注 / 一年前发布,56,"5,570元/平"
红山区好地段 交通便利 无捆 绑 不 把边,天合阳光城B区 -红山区,2室2厅 | 101.52平米 | 南 北 | 简装 | 低楼层(共12层)  | 板塔结合,2人关注 / 一年前发布,79.8,"7,861元/平"
锦绣花园步梯3楼，三室南明厅两卫，精装出售，,锦绣花园（新城区） -新城区,3室2厅 | 142.13平米 | 南 北 | 精装 | 中楼层(共5层)  | 板楼,0人关注 / 3个月以前发布,120,"8,443元/平"
六带阁 阁楼面积30平不计算 无捆绑 看房随时,王府花园二期 -新城区,4室2厅 | 131.75平米 | 南 北 | 精装 | 高楼层(共7层)  | 板楼,1人关注 / 一年前发布,95,"7,211元/平"
东边户 两室 使用面积大 四楼 无遮挡,军城菊香花园 -红山区,2室1厅 | 79.98平米 | 南 北 | 简装 | 中楼层(共6层)  | 板楼,2人关注 / 7个月以前发布,55,"6,877元/平"
房主诚心出售 采光好 随时看房,憩园大厦 -红山区,3室1厅 | 166.12平米 | 南 北 | 简装 | 中楼层(共17层)  | 板楼,0人关注 / 5个月以前发布,87,"5,238元/平"
中天御园 4室2厅 南 北,中天御园 -新城区,4室2厅 | 160.46平米 | 南 北 | 简装 | 中楼层(共25层)  | 塔楼,4人关注 / 一年前发布,141,"8,788元/平"
三步跃层的好房子，格局方正，采光好,长安小区 -新城区,3室2厅 | 125.76平米 | 南 北 | 简装 | 中楼层(共7层)  | 板楼,2人关注 / 4个月以前发布,102,"8,111元/平"
钢铁西街 松州园 电梯小洋房 看房随时,松州园 -红山区,3室1厅 | 113.45平米 | 南 北 | 精装 | 中楼层(共7层)  | 板楼,2人关注 / 10个月以前发布,79,"6,964元/平"
虹桥丽景三十加三十一.精装修，整体厨房，,虹桥丽景 -松山区,3室2厅 | 128.9平米 | 南 | 精装 | 高楼层(共31层)  | 板楼,9人关注 / 一年前发布,86,"6,672元/平"
房子的户型非.常.的好 大三阳格局 三室 改善环境,松林亲水湾 -新城区,3室2厅 | 130.38平米 | 南 北 | 精装 | 低楼层(共21层)  | 板楼,6人关注 / 一年前发布,125,"9,588元/平"
松都御府 电梯3楼 精装修 全部家具家电,松都御府 -松山区,3室2厅 | 102.07平米 | 南 北 | 精装 | 低楼层(共11层)  | 板塔结合,0人关注 / 1个月以前发布,83,"8,132元/平"
祥和万家 明厅独立三室边户 小税 无捆绑,祥和万嘉 -红山区,3室2厅 | 112.35平米 | 南 北 | 简装 | 中楼层(共6层)  | 板塔结合,3人关注 / 3个月以前发布,67,"5,964元/平"
在水一方 高品质小区  松山万达商圈   地理位置优越,在水一方小区 -松山区,3室1厅 | 108平米 | 南 北 | 精装 | 低楼层(共18层)  | 暂无数据,13人关注 / 一年前发布,82,"7,593元/平"
明室明厅，大三居，视野开阔，年轻老人都可以，公摊小,王府花园二期 -新城区,3室2厅 | 133.94平米 | 南 北 | 简装 | 中楼层(共6层)  | 板楼,7人关注 / 一年前发布,115,"8,586元/平"
户型方正 南北通透 精装修 全天采光无遮挡 带花园,丽水河畔 -松山区,3室2厅 | 112.44平米 | 南 北 | 精装 | 低楼层(共15层)  | 板楼,1人关注 / 一年前发布,77,"6,849元/平"
临河小区 三楼 东边户 2011年房 独立餐厅  三室 精装,临河小区 -松山区,3室2厅 | 117.53平米 | 南 北 | 精装 | 中楼层(共6层)  | 板楼,0人关注 / 6个月以前发布,82,"6,977元/平"
此房满五唯一，南北通透，明厅房子干净三室 采光好,馨风雅居 -新城区,3室2厅 | 132.52平米 | 南 北 | 简装 | 低楼层(共7层)  | 板塔结合,1人关注 / 6个月以前发布,106.5,"8,037元/平"
三室格局 年限新2001年 公摊小  步梯四楼,东安小区 -红山区,3室2厅 | 96.28平米 | 南 北 | 简装 | 中楼层(共6层)  | 板楼,2人关注 / 一年前发布,56,"5,817元/平"
航安金和枫景 2室1厅 南,航安金和枫景 -新城区,2室1厅 | 73.42平米 | 南 | 其他 | 中楼层(共16层)  | 板楼,0人关注 / 4天以前发布,66,"8,990元/平"
02年 紫竹园 4楼 双阳卧室 6100元 能谈,紫竹园 -红山区,2室2厅 | 73.24平米 | 南 北 | 简装 | 中楼层(共7层)  | 板楼,0人关注 / 1个月以前发布,45,"6,145元/平"
馨泰家园 三室 简装  位置好 单价便宜,馨泰家园 -喀喇沁旗,3室2厅 | 84.34平米 | 南 北 | 简装 | 中楼层(共7层)  | 板楼,2人关注 / 4个月以前发布,33,"3,913元/平"
