标题,开发商,房子信息,发布信息,售价/万,单价
保利拉菲公馆东区 体育公园 小高层 南北通透 诚心出售,保利拉菲公馆朗菲园二期 -裕兴,3室2厅 | 148.54平米 | 南 北 | 简装 | 低楼层(共17层)  | 板楼,106人关注 / 9个月以前发布,282,"18,985元/平"
满五唯一的四大居，房东诚心出售，价格优惠的四大居,明珠花苑 -赵陵铺,4室2厅 | 149.7平米 | 南 北 | 精装 | 高楼层(共18层)  | 板塔结合,0人关注 / 10天以前发布,195,"13,027元/平"
纳帕溪谷 4室2厅 南 北,纳帕溪谷 -杜北,4室2厅 | 241.25平米 | 南 北 | 精装 | 低楼层(共3层)  | 暂无数据,0人关注 / 10天以前发布,205,"8,498元/平"
卓达新一区红砖楼  低楼层 采光不影响 地铁口 44,卓达书香园一区 -裕兴,3室2厅 | 111.69平米 | 南 北 | 精装 | 低楼层(共6层)  | 板楼,0人关注 / 8天以前发布,165,"14,774元/平"
顺美华庭 二环内 位置好 精装修两室  拎包入住,顺美华庭 -城角,2室2厅 | 90.45平米 | 南 | 精装 | 高楼层(共26层)  | 板楼,0人关注 / 11天以前发布,120,"13,267元/平"
41中，电梯洋房，一梯两户，全明户型，精装修，有车位,泊爱蓝岛 -友谊,3室1厅 | 111.33平米 | 南 | 精装 | 低楼层(共12层)  | 板楼,0人关注 / 10天以前发布,215,"19,312元/平"
保利两室精装拎包住，中间楼层，满二没大税,保利花园 -丰收路,2室2厅 | 88.37平米 | 南 | 精装 | 中楼层(共34层)  | 板楼,0人关注 / 8天以前发布,139,"15,730元/平"
阳面大客厅 通透户型 院里配套齐全 八一学 固定车位,三五零二生活区 -西王,2室1厅 | 69.17平米 | 南 北 | 简装 | 中楼层(共7层)  | 板楼,1人关注 / 10天以前发布,75,"10,843元/平"
两室南向，楼下是北师附，全天采光好,悦城九区 -翟营,2室2厅 | 94.33平米 | 南 | 精装 | 低楼层(共32层)  | 板楼,0人关注 / 7天以前发布,141,"14,948元/平"
亲亲小镇南区 3室2厅 南 北,亲亲小镇南区 -高营,3室2厅 | 126.23平米 | 南 北 | 精装 | 中楼层(共7层)  | 板楼,0人关注 / 15天以前发布,155,"12,280元/平"
玫瑰湾精装小两居，中低楼层采光好，有地下室，地铁3,玫瑰湾 -塔冢,2室1厅 | 68.26平米 | 南 | 精装 | 低楼层(共26层)  | 板楼,0人关注 / 12天以前发布,117,"17,141元/平"
新火车站商圈 通透两室 中间楼层 明卫,海龙花园 -新客站,2室1厅 | 103.48平米 | 南 | 精装 | 中楼层(共6层)  | 板楼,1人关注 / 13天以前发布,141,"13,626元/平"
"一环内洋房社区,电梯中层,地铁2号线20W装修,拎包入住",博雅庄园 -胜北,2室1厅 | 110.96平米 | 南 | 精装 | 中楼层(共8层)  | 板楼,0人关注 / 11天以前发布,185,"16,673元/平"
润德天悦城 3室2厅 南,润德天悦城 -留村,3室2厅 | 117平米 | 南 | 精装 | 高楼层(共33层)  | 板塔结合,0人关注 / 13天以前发布,171,"14,616元/平"
中间楼层，采光好，看房方便，诚心出售,卓达上河原著 -赵陵铺,3室2厅 | 135.66平米 | 南 北 | 毛坯 | 低楼层(共29层)  | 板楼,0人关注 / 11天以前发布,150,"11,058元/平"
荣盛华府 品质优选 房本满二 随时看房 诚心出售有钥匙,荣盛华府 -建北,3室3厅 | 194.41平米 | 南 北 | 毛坯 | 中楼层(共24层)  | 板楼,1人关注 / 11天以前发布,408,"20,987元/平"
新上通透大三室，视野开阔，采光好,国际城三期 -银通,3室2厅 | 168.93平米 | 南 北 | 精装 | 高楼层(共24层)  | 板楼,1人关注 / 1个月以前发布,278,"16,457元/平"
此房满二无大税采光视野好精装修拎包入住，交通便利,太行嘉苑 -天山海世界,2室2厅 | 87.25平米 | 南 | 精装 | 中楼层(共27层)  | 板楼,13人关注 / 3个月以前发布,93,"10,660元/平"
房本满五唯一，税费少，诚心卖，视野开阔,恒大雅苑 -众美,3室1厅 | 95.35平米 | 西南 | 精装 | 高楼层(共32层)  | 板塔结合,40人关注 / 8个月以前发布,115,"12,061元/平"
建安小区  三室两厅一卫  120平 好楼层  带地下室,建安小区 -新乐市,3室2厅 | 119.47平米 | 南 北 | 简装 | 中楼层(共6层)  | 暂无数据,1人关注 / 一年前发布,72,"6,027元/平"
此房价格还可谈   、 你懂得 ! ! !,建投十号院 -大马村,3室2厅 | 135.77平米 | 西南 | 简装 | 高楼层(共20层)  | 板楼,38人关注 / 一年前发布,265,"19,519元/平"
上东城 全天采光 小三室 有钥匙 毛坯房 随时看房,上东城南区北区 -跃进,3室2厅 | 110平米 | 南 北 | 毛坯 | 高楼层(共34层)  | 板楼,10人关注 / 8个月以前发布,124,"11,273元/平"
现代精装  好楼层 好户型 随时看房 我有钥匙,神兴小区三期 -大马村,3室2厅 | 130.6平米 | 南 | 精装 | 低楼层(共7层)  | 板楼,32人关注 / 6个月以前发布,245,"18,760元/平"
二环里 奥北公元三居室 中高楼层 采光好 高素质住户,奥冠奥北公元 -丰收路,3室2厅 | 170.43平米 | 南 北 | 精装 | 中楼层(共35层)  | 板楼,7人关注 / 10个月以前发布,242,"14,200元/平"
精装东南向三室，无占用，没有户口,阿尔卡迪亚荣景园 -胜北,3室2厅 | 90.97平米 | 东南 | 精装 | 中楼层(共33层)  | 板楼,3人关注 / 3个月以前发布,205,"22,535元/平"
美景东方 精装两居室 装好未住 诚心出售 随时可看房,美景东方 -银通,2室2厅 | 106平米 | 南 北 | 精装 | 中楼层(共12层)  | 板楼,1人关注 / 1个月以前发布,156,"14,717元/平"
保利花园 毛坯南北通透小3室 楼层高 采光好 小区位置,保利花园 -丰收路,3室2厅 | 117.08平米 | 南 北 | 毛坯 | 高楼层(共21层)  | 板楼,21人关注 / 一年前发布,192,"16,400元/平"
3号地铁口，大社区，朝南大客厅，户型方正，满五唯一,中华绿园 -北站,3室2厅 | 141.26平米 | 南 北 | 简装 | 低楼层(共7层)  | 板楼,1人关注 / 1个月以前发布,180,"12,743元/平"
新火车站商圈，低总价两居室 人车分流 物业好,璟郡 -华夏,2室1厅 | 82.66平米 | 南 | 简装 | 高楼层(共18层)  | 板楼,34人关注 / 一年前发布,123,"14,881元/平"
金马腾跃园小区优质房源！看房方便诚心出售！,金马小区腾跃园 -银通,2室2厅 | 96.45平米 | 南 | 简装 | 中楼层(共6层)  | 板楼,56人关注 / 一年前发布,128,"13,272元/平"
城南电梯房小三室交通好央企品质,保利东郡小区 -藁城市,3室2厅 | 105.39平米 | 南 | 毛坯 | 18层  | 塔楼,6人关注 / 9个月以前发布,122,"11,577元/平"
房本满两年 个税 采光好 阳面客厅 南北 通透 出行方便,恒大御景半岛 -高营,3室2厅 | 171.14平米 | 南 | 精装 | 中楼层(共33层)  | 板楼,9人关注 / 8个月以前发布,197,"11,512元/平"
地铁一号线海世界商圈多层低楼层南北通透有地下室,石家庄学院住宅小区 -天山海世界,2室2厅 | 87.53平米 | 南 北 | 简装 | 低楼层(共6层)  | 板楼,5人关注 / 3个月以前发布,84,"9,597元/平"
此房房龄新，院大停车方便，教育机构成熟，,廉东大街37号 -藁城市,3室2厅 | 138.95平米 | 南 北 | 简装 | 4层  | 板楼,1人关注 / 1个月以前发布,115,"8,277元/平"
恒大绿洲 阳面三室 视野好，业主诚心出售,恒大绿洲 -东开发区,3室1厅 | 104.28平米 | 南 北 | 精装 | 高楼层(共33层)  | 板塔结合,9人关注 / 一年前发布,100,"9,590元/平"
水岸花都 好楼层 好户型 小区设施好三室两厅一卫,水岸花都 -新乐市,3室2厅 | 105.88平米 | 南 北 | 简装 | 中楼层(共7层)  | 板楼,3人关注 / 8个月以前发布,68,"6,423元/平"
天苑汇君城精装三室南北通透11层花园洋房,汇君城2期 -天苑,3室2厅 | 137.46平米 | 南 北 | 简装 | 中楼层(共11层)  | 板楼,20人关注 / 8个月以前发布,190,"13,823元/平"
阿尔卡迪亚荣景园 3室1厅 南 北,阿尔卡迪亚荣景园 -胜北,3室1厅 | 137.88平米 | 南 北 | 简装 | 中楼层(共18层)  | 板楼,1人关注 / 2个月以前发布,322,"23,354元/平"
小商品商圈  正华花园   全阳三室  单价低,正华花园 -正定县,3室2厅 | 115.42平米 | 南 北 | 简装 | 高楼层(共6层)  | 板楼,10人关注 / 6个月以前发布,88,"7,625元/平"
满五唯一 精装婚房 住的少 采光好,天山水榭花都 -天山海世界,2室2厅 | 87.1平米 | 南 北 | 精装 | 低楼层(共32层)  | 板楼,1人关注 / 3个月以前发布,112,"12,859元/平"
经典大三室，明厨明卫，南北通透，全天采光，无大税！,众美城B区 -众美,3室2厅 | 133.89平米 | 南 北 | 精装 | 高楼层(共33层)  | 板楼,0人关注 / 1个月以前发布,159,"11,876元/平"
万达商圈 田字格户型 四楼 明卫 诚信卖价格可谈,石府小区 -东苑,3室1厅 | 98.53平米 | 南 北 | 简装 | 中楼层(共6层)  | 板楼,1人关注 / 2个月以前发布,137,"13,905元/平"
新增吉恒园联排小别墅 通透结构 阳面客厅 带YUAN,吉恒园 -裕西公园,4室2厅 | 126平米 | 南 北 | 简装 | 低楼层(共2层)  | 板楼,7人关注 / 3个月以前发布,231,"18,334元/平"
16层到顶小高层2卫 万达旁 车位充足 27片,中国银行宿舍煤机街 -东苑,3室2厅 | 152.61平米 | 南 | 简装 | 高楼层(共16层)  | 板楼,24人关注 / 一年前发布,200,"13,106元/平"
欢乐汇商圈，双阳卧室，落地窗，通厅通卧！,阳光花园 -众美,3室2厅 | 133.61平米 | 南 北 | 精装 | 低楼层(共7层)  | 板楼,11人关注 / 3个月以前发布,156,"11,676元/平"
西三庄DT 口，中间楼层，业主急售,上城浩林园 -西三庄,2室2厅 | 91.13平米 | 南 | 简装 | 低楼层(共24层)  | 板楼,30人关注 / 7个月以前发布,98,"10,754元/平"
精装修，通透户型，一直自住没出租过。满五唯一,纳帕溪谷 -杜北,3室2厅 | 139.92平米 | 南 北 | 精装 | 5层  | 板楼,2人关注 / 1个月以前发布,113,"8,077元/平"
筑业花园 大三居 集中供暖 单价8900！正规70年产权！,筑业花园 -天山海世界,3室1厅 | 140.75平米 | 南 北 | 简装 | 中楼层(共22层)  | 板楼,7人关注 / 2个月以前发布,125,"8,881元/平"
紫阁精装三室 房本满五年 业主诚心卖 随时看房,燕都紫阁 -城角,3室2厅 | 144.39平米 | 南 北 | 精装 | 中楼层(共28层)  | 板楼,21人关注 / 一年前发布,238,"16,484元/平"
顶楼跃层 一二层均为标准两室共4室 精装修,瀚唐 -古城村,4室2厅 | 142.62平米 | 南 | 精装 | 高楼层(共34层)  | 板楼,17人关注 / 11个月以前发布,182,"12,762元/平"
无增值税过户，小高层，电梯房，价格好商量,众和嘉苑 -天山海世界,3室2厅 | 114.1平米 | 南 北 | 精装 | 低楼层(共17层)  | 板楼,3人关注 / 2个月以前发布,117,"10,255元/平"
急售！东方城，精英，中间楼层，满五唯一，带地下室,东方城 -天山海世界,4室2厅 | 135.99平米 | 南 北 | 精装 | 中楼层(共6层)  | 板楼,57人关注 / 一年前发布,135,"9,928元/平"
适合工薪白领刚需居住，三室，总价低，精装修。,化二联合宿舍 -跃进,3室1厅 | 77.27平米 | 南 北 | 精装 | 低楼层(共6层)  | 板楼,16人关注 / 一年前发布,92,"11,907元/平"
一环内 中基礼域 南北通透  诚心出售 北国勒泰,中基礼域尚城 -南三条,3室2厅 | 144.27平米 | 南 北 | 毛坯 | 中楼层(共25层)  | 板楼,12人关注 / 5个月以前发布,281.4,"19,506元/平"
前无遮挡2T4户，户型方正，业主诚心出售满二,同祥城 -天山海世界,2室1厅 | 94.85平米 | 南 | 简装 | 高楼层(共34层)  | 板楼,1人关注 / 3个月以前发布,109,"11,492元/平"
一号地铁体育场站，先天下商圈交通便利 配套齐全偏门,开元花园 -广安,3室2厅 | 167.92平米 | 南 | 精装 | 低楼层(共32层)  | 板楼,21人关注 / 11个月以前发布,235,"13,995元/平"
春江花月.中间楼层.三室两卫.小高层.带地下室,春江花月 -新石,3室2厅 | 135.25平米 | 南 | 精装 | 18层  | 板楼,3人关注 / 2个月以前发布,235,"17,376元/平"
三室  中间楼层 采光好 房主诚心卖 随时看房,同祥城 -天山海世界,3室2厅 | 101.42平米 | 南 | 简装 | 中楼层(共34层)  | 板楼,0人关注 / 2个月以前发布,148,"14,593元/平"
满五唯一  地铁沿线 跃层两居   房主刚装修的,联邦东方明珠 -裕兴,2室2厅 | 109.49平米 | 南 | 简装 | 低楼层(共36层)  | 板塔结合,0人关注 / 1个月以前发布,67,"6,120元/平"
新上房源，地铁口，公园旁，三室双阳精装修，改地暖,丽晶园 -裕兴,3室2厅 | 155.12平米 | 南 北 | 精装 | 低楼层(共29层)  | 板楼,32人关注 / 5个月以前发布,278,"17,922元/平"
此房满五唯一，采光充足，楼间距宽，有钥匙随时看房。,昌盛北街 -藁城市,3室2厅 | 128平米 | 南 北 | 精装 | 中楼层(共6层)  | 板楼,12人关注 / 一年前发布,91,"7,110元/平"
西美经典通透三居，人车分流，口碑物业，配套成熟！！,西美70后院 -大马村,3室2厅 | 114.31平米 | 南 北 | 精装 | 低楼层(共32层)  | 板楼,17人关注 / 3个月以前发布,199.8,"17,479元/平"
美景东方 精装修三居室 一天未住 141平有地下室随时看,美景东方 -银通,3室2厅 | 141平米 | 南 北 | 精装 | 中楼层(共12层)  | 板楼,2人关注 / 1个月以前发布,210,"14,894元/平"
出门槐北公园，通厅通透，一梯两户，非顶两室采光棒,国际城二期 -银通,2室1厅 | 99.93平米 | 南 | 简装 | 中楼层(共7层)  | 板楼,47人关注 / 11个月以前发布,162,"16,212元/平"
新上满五唯一.业主诚心出售！一楼看房方便！随时联系,石门小区 -东苑,3室2厅 | 91.67平米 | 南 北 | 精装 | 低楼层(共6层)  | 板楼,14人关注 / 5个月以前发布,123.6,"13,484元/平"
小三室，南北通透，满二无大税，毛坯随意装,奥冠奥北公元 -丰收路,3室2厅 | 98.74平米 | 南 北 | 毛坯 | 低楼层(共34层)  | 板楼,8人关注 / 5个月以前发布,138,"13,977元/平"
水榭花都 小三居 好楼层 诚心出售。,天山水榭花都 -天山海世界,3室2厅 | 86.15平米 | 南 北 | 简装 | 中楼层(共32层)  | 板楼,4人关注 / 2个月以前发布,103,"11,956元/平"
小区中间，不临街，小洋房，双阳卧，大三室，诚售,凤凰城 -众美,3室2厅 | 151.18平米 | 南 北 | 简装 | 高楼层(共12层)  | 板楼,5人关注 / 3个月以前发布,218,"14,420元/平"
小区中间位置，采光好，通透，装修刚二年，诚意出售,美景东方 -银通,2室2厅 | 98.02平米 | 南 北 | 精装 | 中楼层(共7层)  | 板楼,2人关注 / 3个月以前发布,138,"14,079元/平"
买房子带地下室中间好楼层明厨明卫有钥匙随时看房,明日郡 -胜北,3室2厅 | 127.25平米 | 南 北 | 精装 | 高楼层(共18层)  | 板楼,6人关注 / 3个月以前发布,205,"16,111元/平"
户型通厅通卧，双阳面卧室，阳面大客厅，自住精装,九里庭院东区 -大马村,3室2厅 | 125.27平米 | 南 北 | 精装 | 中楼层(共7层)  | 板楼,1人关注 / 1个月以前发布,212,"16,924元/平"
心海假日 满五唯一 地铁口 带地下室,心海假日 -天山海世界,3室2厅 | 132.09平米 | 南 北 | 精装 | 中楼层(共7层)  | 板楼,39人关注 / 6个月以前发布,157,"11,886元/平"
视野好，全天采光，业主诚心出售，,中基礼域尚城 -南三条,3室1厅 | 126.29平米 | 南 北 | 简装 | 高楼层(共33层)  | 板楼,0人关注 / 2个月以前发布,195,"15,441元/平"
中高楼层，采光充足，南北通透大三居，长征街，23,中基礼域尚城 -南三条,3室2厅 | 144.39平米 | 南 北 | 简装 | 高楼层(共25层)  | 板楼,38人关注 / 8个月以前发布,289,"20,016元/平"
此房满五不唯一，通透户型，没有增值税,尚东绿洲 -大马村,3室2厅 | 131.88平米 | 南 北 | 精装 | 中楼层(共19层)  | 板楼,19人关注 / 一年前发布,199,"15,090元/平"
摩卡小镇，新科名都，一楼带院精装三室，自住保养的好,鑫科名都 -银通,3室2厅 | 129.48平米 | 南 北 | 精装 | 低楼层(共7层)  | 板楼,35人关注 / 一年前发布,270,"20,853元/平"
急满五唯一，两梯两户，双公园，苏州园林社区，明卫。,苏秀苑 -赵陵铺,3室2厅 | 113.39平米 | 南 北 | 简装 | 高楼层(共27层)  | 板楼,3人关注 / 6个月以前发布,139,"12,259元/平"
南北通透格局，采光好，交通方便，楼层好,北郡二区 -赵陵铺,3室2厅 | 137.11平米 | 南 北 | 精装 | 中楼层(共33层)  | 板楼,0人关注 / 2个月以前发布,132,"9,628元/平"
户型好，楼层好，税费少，装修好，通透全明。,阿尔卡迪亚荣景园 -胜北,3室2厅 | 106.66平米 | 南 | 精装 | 高楼层(共34层)  | 板楼,93人关注 / 一年前发布,229,"21,471元/平"
房东诚心出售.满二没有大税..,芝澜明仕 -银通,3室2厅 | 128.38平米 | 东 南 北 | 简装 | 高楼层(共24层)  | 板楼,48人关注 / 一年前发布,169,"13,165元/平"
40平露台小院，未来电梯洋房，跃层南北阳台落地窗飘窗,新浩城 -建北,5室2厅 | 218.45平米 | 南 北 | 精装 | 高楼层(共7层)  | 板楼,1人关注 / 4个月以前发布,242,"11,079元/平"
此房格局好，南北通透，视野开阔采光好,北郡三区 -赵陵铺,3室2厅 | 125.8平米 | 南 北 | 精装 | 中楼层(共33层)  | 板楼,0人关注 / 1个月以前发布,143,"11,368元/平"
中华大街 公园旁绿化好 三室户型好,乾园燕熙台 -赵陵铺,3室2厅 | 116.11平米 | 南 | 精装 | 中楼层(共28层)  | 板楼,6人关注 / 一年前发布,122,"10,508元/平"
