标题,开发商,房子信息,发布信息,售价/万,单价
东方明珠三村 中间楼层 精装修 大三房 拎包入住。,东方明珠三村 -江东,3室2厅 | 128.62平米 | 南 | 精装 | 中楼层(共6层)  | 塔楼,0人关注 / 6天以前发布,198,"15,395元/平"
东方城三期精装三房 满五唯一 拎包入住 诚心出售,朝辉东方城三区 -霍里,3室2厅 | 98.15平米 | 南 | 精装 | 高楼层(共23层)  | 板塔结合,1人关注 / 3个月以前发布,126,"12,838元/平"
此房屋满五二套，电梯3房朝南， 适合二宝之家,康嘉大景城南区 -桃园,4室2厅 | 152.11平米 | 南 | 简装 | 低楼层(共11层)  | 板塔结合,3人关注 / 3个月以前发布,155,"10,190元/平"
毛坯价买绿地三期 精装两房 拎包入住 随时看房,新里西斯莱公馆 -霍里,2室1厅 | 82.34平米 | 南 | 精装 | 高楼层(共33层)  | 板楼,0人关注 / 25天以前发布,93,"11,295元/平"
安粮城市广场一期 精装修正三房 中上楼层 诚心出售,安粮秀山城市广场一期 -霍里,3室2厅 | 108平米 | 南 | 其他 | 高楼层(共32层)  | 板塔结合,0人关注 / 25天以前发布,138,"12,778元/平"
安粮四期  满两年 四房  中间楼层 随时看房 价格可谈,安粮秀山城市广场四期 -霍里,4室2厅 | 136.19平米 | 南 | 毛坯 | 中楼层(共32层)  | 塔楼,0人关注 / 26天以前发布,145,"10,647元/平"
一楼带下复式的房子，阳光充沛。,泰和文苑 -解放路,4室2厅 | 96.07平米 | 南 | 简装 | 低楼层(共6层)  | 板塔结合,0人关注 / 6天以前发布,160,"16,655元/平"
山明水秀二期，八西，123平精装三室，三室朝南！急售,山明水秀家园二期小区 -解放路,3室2厅 | 123.05平米 | 南 | 其他 | 低楼层(共6层)  | 板塔结合,0人关注 / 25天以前发布,98,"7,965元/平"
马纺新村 2室1厅 南 北,马纺新村 -雨山,2室1厅 | 61.16平米 | 南 北 | 其他 | 中楼层(共5层)  | 板楼,0人关注 / 10天以前发布,37,"6,050元/平"
此房满两年，精装修，三开间朝南，楼层好，视野开阔,深业华府春天里 -安民,3室2厅 | 97.55平米 | 南 | 精装 | 高楼层(共15层)  | 板塔结合,0人关注 / 28天以前发布,142,"14,557元/平"
阳光城 3室1厅 南 北,阳光城 -佳山,3室1厅 | 89.46平米 | 南 北 | 精装 | 低楼层(共6层)  | 板楼,0人关注 / 1个月以前发布,45,"5,031元/平"
此房装修保养很好，拎包入住，看房方便，采光好,上湖家园 -霍里,2室1厅 | 81.78平米 | 南 | 精装 | 高楼层(共33层)  | 板塔结合,0人关注 / 28天以前发布,55,"6,726元/平"
深业华府130平飞机户，一期小高层，东边户，采光充足,深业华府 -安民,3室2厅 | 130.56平米 | 南 北 | 简装 | 高楼层(共18层)  | 板塔结合,0人关注 / 17天以前发布,170,"13,021元/平"
梅园新村，两室朝南，户型方正.,梅园 -解放路,2室1厅 | 60.76平米 | 南 | 其他 | 高楼层(共6层)  | 板楼,0人关注 / 12天以前发布,45,"7,407元/平"
东方城二区，凤凰楼层，视野开阔采光充足，满两年,朝辉东方城二区 -霍里,2室2厅 | 80.39平米 | 南 | 其他 | 高楼层(共30层)  | 板塔结合,0人关注 / 11天以前发布,88,"10,947元/平"
朱家塘一楼好房 百平大院 两室朝南 光线充足,朱家塘小区 -解放路,2室1厅 | 64平米 | 南 | 其他 | 低楼层(共7层)  | 板楼,0人关注 / 9天以前发布,71.5,"11,172元/平"
东方城洋房3室，中间楼层可拎包入住，视野开阔！,东方城 -霍里,3室1厅 | 98.79平米 | 南 | 其他 | 中楼层(共11层)  | 板塔结合,1人关注 / 14天以前发布,125,"12,654元/平"
深业华府春天里小高层 三开间朝南 东边户,深业华府春天里 -安民,4室2厅 | 134.93平米 | 南 | 毛坯 | 高楼层(共18层)  | 板塔结合,11人关注 / 一年前发布,168,"12,451元/平"
满两年，全天采光的大三房，让你不得不爱！,东方丽景 -佳山,3室2厅 | 105.09平米 | 南 | 其他 | 高楼层(共26层)  | 板楼,1人关注 / 3个月以前发布,130,"12,371元/平"
伟星蓝山花园洋房带露台 精装二楼  小区中间  采光好,伟星蓝山雅筑北区 -佳山,3室2厅 | 130.7平米 | 南 | 其他 | 低楼层(共6层)  | 板塔结合,7人关注 / 4个月以前发布,145,"11,095元/平"
东方丽景 新空毛坯 小高层中间好楼层 满两年 有钥匙,东方丽景 -佳山,3室1厅 | 116.73平米 | 南 | 其他 | 低楼层(共18层)  | 塔楼,0人关注 / 6个月以前发布,125,"10,709元/平"
深业华府春天里 中间楼层新毛坯,深业华府春天里 -安民,3室2厅 | 119.45平米 | 南 | 毛坯 | 中楼层(共19层)  | 板塔结合,7人关注 / 11个月以前发布,143,"11,972元/平"
万达荣府1号 全新精装修 家具家电齐全 拎包入住 急售,万达荣府1号 -安民,3室2厅 | 132.33平米 | 南 | 其他 | 中楼层(共31层)  | 板塔结合,0人关注 / 1个月以前发布,179,"13,527元/平"
中间楼层  户型好  采光好  房东诚心出售,新城璟玥 -佳山,3室2厅 | 102.93平米 | 南 | 毛坯 | 中楼层(共25层)  | 暂无数据,27人关注 / 10个月以前发布,102.8,"9,988元/平"
凡尔赛两室朝南 前后多层 采光无遮挡,凡尔赛公馆 -佳山,3室1厅 | 88.79平米 | 南 | 毛坯 | 低楼层(共18层)  | 板塔结合,4人关注 / 8个月以前发布,75,"8,447元/平"
站东新村，房子2000年，多层的中间楼层，房东诚心卖房,站东新村(花山路) -塘西,3室1厅 | 76.93平米 | 南 | 精装 | 中楼层(共7层)  | 板楼,0人关注 / 2个月以前发布,49.8,"6,474元/平"
瑞慈花园 三室两厅 业主诚心出售 看房方便,瑞慈花园南区 -桃园,3室2厅 | 135.71平米 | 南 | 毛坯 | 低楼层(共6层)  | 板楼,2人关注 / 5个月以前发布,153,"11,275元/平"
雨东村    生活方便    交通发达,雨东村 -雨山,2室1厅 | 62.19平米 | 南 北 | 其他 | 中楼层(共5层)  | 板楼,4人关注 / 5个月以前发布,45.5,"7,317元/平"
楼层好，楼栋位置好，公摊小，两室朝南,钢城花园二村 -安民,2室2厅 | 100.96平米 | 南 | 简装 | 低楼层(共6层)  | 平房,6人关注 / 8个月以前发布,91,"9,014元/平"
中丞国宾府新空毛坯，四叶草户型，带车位！,中丞国宾府 -佳山,4室1厅 | 132.02平米 | 南 北 | 毛坯 | 高楼层(共8层)  | 板塔结合,1人关注 / 5个月以前发布,195,"14,771元/平"
凡尔赛公馆，满五唯一 精装空置未注,凡尔赛公馆 -佳山,2室1厅 | 87.7平米 | 南 | 其他 | 低楼层(共18层)  | 板楼,0人关注 / 3个月以前发布,93,"10,605元/平"
花雨亭 高档装修大四房 顶复 拎包入住,花雨亭小区 -雨山,4室2厅 | 173.39平米 | 南 北 | 精装 | 中楼层(共5层)  | 板楼,9人关注 / 5个月以前发布,210,"12,112元/平"
店长推荐 婚房装修 一天没住 四叶草户型近慈湖河,朝辉东方城三区 -霍里,4室2厅 | 142.01平米 | 南 北 | 精装 | 中楼层(共23层)  | 板塔结合,3人关注 / 2个月以前发布,195,"13,732元/平"
鑫福家园 3室1厅 南 北,鑫福家园 -佳山,3室1厅 | 99.99平米 | 南 北 | 毛坯 | 低楼层(共6层)  | 板塔结合,1人关注 / 3个月以前发布,67,"6,701元/平"
中丞三开间朝南，房东外地置业，忍痛出售。,中丞国宾府 -佳山,3室2厅 | 123.39平米 | 南 | 毛坯 | 高楼层(共8层)  | 暂无数据,22人关注 / 4个月以前发布,165,"13,373元/平"
颐园世家，精装三房全户落地窗户 视觉效果好,颐园世家 -佳山,3室2厅 | 93.89平米 | 南 | 精装 | 高楼层(共31层)  | 板塔结合,5人关注 / 3个月以前发布,107,"11,397元/平"
达观天下 精装拎包入住 诚心出售 看房方便 满五唯一,达观天下悦城 -佳山,3室2厅 | 67.66平米 | 南 | 精装 | 中楼层(共19层)  | 塔楼,3人关注 / 3个月以前发布,60,"8,868元/平"
万达荣府 毛坯  产权清晰 房东诚心出售,万达荣府1号 -安民,3室2厅 | 114.16平米 | 南 | 毛坯 | 中楼层(共32层)  | 板塔结合,6人关注 / 9个月以前发布,136,"11,914元/平"
精装修好房，楼层高，采光充足，诚售，,丰收佳苑 -霍里,3室2厅 | 99.99平米 | 南 | 其他 | 中楼层(共18层)  | 板塔结合,0人关注 / 3天以前发布,75,"7,501元/平"
此房满二，采光不挡，毛坯大三房，看房方便有钥匙,万达荣府1号 -安民,3室2厅 | 126.97平米 | 南 | 其他 | 低楼层(共32层)  | 板塔结合,0人关注 / 2个月以前发布,143,"11,263元/平"
此房满五非唯一，位置采光好，配套设施齐全。,师苑新村 -桃园,3室2厅 | 102.02平米 | 南 | 简装 | 中楼层(共7层)  | 板楼,14人关注 / 一年前发布,106,"10,391元/平"
西塘名苑 三开间朝南 精装修 未住过,西塘名苑 -佳山,3室2厅 | 100.39平米 | 南 | 其他 | 低楼层(共16层)  | 板楼,8人关注 / 8个月以前发布,95,"9,464元/平"
东林小区 2室1厅 南,东林小区 -解放路,2室1厅 | 75.2平米 | 南 | 精装 | 高楼层(共7层)  | 暂无数据,1人关注 / 16天以前发布,39.8,"5,293元/平"
奥园/誉湖湾 3室1厅 南,奥园/誉湖湾 -江东,3室1厅 | 89.47平米 | 南 | 精装 | 低楼层(共18层)  | 板塔结合,0人关注 / 10天以前发布,79,"8,830元/平"
中山花园内雨山六村2楼57平米简装，看中价格可谈,雨山六村 -平湖,3室0厅 | 57平米 | 南 | 简装 | 中楼层(共5层)  | 暂无数据,0人关注 / 4天以前发布,38,"6,667元/平"
中岗一村 2室2厅 南 北,中岗一村 -桃园,2室2厅 | 59.34平米 | 南 北 | 简装 | 高楼层(共6层)  | 暂无数据,0人关注 / 13天以前发布,39,"6,573元/平"
此房满五唯一，开发商精装修，采光还可以。,恒大御景湾 -霍里,3室2厅 | 114.12平米 | 南 | 精装 | 中楼层(共22层)  | 板塔结合,0人关注 / 1个月以前发布,122,"10,691元/平"
上湖家园三室新婚房现代装修风格，位置佳楼层佳,上湖家园 -霍里,3室1厅 | 113.46平米 | 南 | 精装 | 中楼层(共33层)  | 板塔结合,13人关注 / 一年前发布,90,"7,933元/平"
一楼带架空，大三房户型很好，没有浪费，大厨房，急售,锦绣园 -桃园,3室2厅 | 107.69平米 | 南 | 简装 | 低楼层(共7层)  | 板楼,0人关注 / 3个月以前发布,89.8,"8,339元/平"
满五唯一视野开阔 鸟瞰奥体 全天采光 南北通透 楼层好,新里·维多利亚公馆 -霍里,3室2厅 | 114.12平米 | 南 北 | 毛坯 | 高楼层(共21层)  | 板塔结合,4人关注 / 9个月以前发布,121,"10,603元/平"
业主诚心售卖，精装修拎包入住，看房方便！,雨韵阁 -佳山,2室2厅 | 84.22平米 | 南 | 精装 | 高楼层(共24层)  | 板楼,0人关注 / 5个月以前发布,73,"8,668元/平"
绿地二期 满两年 南北通透大三房,新里·维多利亚公馆 -霍里,3室2厅 | 112.36平米 | 南 北 | 其他 | 低楼层(共33层)  | 板塔结合,11人关注 / 一年前发布,115,"10,235元/平"
中上楼层，采光好 视野开阔 配套设施齐全 自持物业,秀山信达城二期 -霍里,3室2厅 | 91.04平米 | 南 北 | 精装 | 中楼层(共26层)  | 塔楼,0人关注 / 1个月以前发布,115,"12,632元/平"
金色新天地 3室2厅 南,金色新天地 -解放路,3室2厅 | 111.15平米 | 南 | 毛坯 | 中楼层(共26层)  | 塔楼,7人关注 / 一年前发布,102,"9,177元/平"
中上楼层，采光好，南北通透，业主诚心出售,秀山湖壹號 -霍里,3室2厅 | 106.35平米 | 南 北 | 毛坯 | 高楼层(共18层)  | 板塔结合,33人关注 / 10个月以前发布,111,"10,438元/平"
新里·维多利亚公馆 绿地二期 视野开阔 采光无遮挡,新里·维多利亚公馆 -霍里,3室2厅 | 106.42平米 | 南 | 精装 | 低楼层(共33层)  | 板塔结合,0人关注 / 3个月以前发布,120,"11,277元/平"
绿地三期 此房满五唯一 精装自住 视野采光好,新里西斯莱公馆 -霍里,3室2厅 | 113.98平米 | 南 | 精装 | 高楼层(共24层)  | 板楼,1人关注 / 4个月以前发布,143,"12,547元/平"
上湖家园 婚装两房 一次未住 满两年 随时看房,上湖家园 -霍里,2室2厅 | 91.97平米 | 南 | 精装 | 低楼层(共33层)  | 板塔结合,1人关注 / 1个月以前发布,72,"7,829元/平"
金瑞新城二村 3室1厅 南,金瑞新城二村 -江东,3室1厅 | 92.25平米 | 南 | 简装 | 低楼层(共6层)  | 板塔结合,1人关注 / 4个月以前发布,52,"5,637元/平"
天泽水岸 景观楼层 全天采光 视野佳 有钥匙 看房方便,天泽水岸 -佳山,2室1厅 | 90.27平米 | 南 | 简装 | 中楼层(共18层)  | 塔楼,0人关注 / 4个月以前发布,82,"9,084元/平"
秀山郡精装大4房，东边户，房东诚心出售。,恒生秀山郡 -霍里,4室2厅 | 112.36平米 | 南 北 | 精装 | 低楼层(共18层)  | 板塔结合,19人关注 / 8个月以前发布,122,"10,858元/平"
东湖瑞景 满五唯一 带车位 中上楼层 南北通透视野好,东湖瑞景 -佳山,3室2厅 | 104.97平米 | 南 北 | 精装 | 高楼层(共30层)  | 板塔结合,2人关注 / 2个月以前发布,120,"11,432元/平"
此房已满两年 全新毛坯 楼层居中,恒生秀山郡 -霍里,3室2厅 | 95.38平米 | 南 | 毛坯 | 中楼层(共28层)  | 板塔结合,3人关注 / 一年前发布,89,"9,332元/平"
梨苑 2室1厅 南 北,梨苑 -桃园,2室1厅 | 61.53平米 | 南 北 | 简装 | 中楼层(共6层)  | 板楼,7人关注 / 3个月以前发布,72,"11,702元/平"
此房楼层好出行方便，采光好无遮挡 交通便利,国际华城四村 -解放路,3室2厅 | 117.61平米 | 南 北 | 简装 | 高楼层(共6层)  | 塔楼,25人关注 / 一年前发布,108,"9,183元/平"
鸳鸯二村 三房 户型方正 一楼 带架空层 诚心卖,鸳鸯二村 -安民,3室1厅 | 79.88平米 | 南 | 简装 | 低楼层(共6层)  | 暂无数据,1人关注 / 3个月以前发布,49.8,"6,235元/平"
国际华城三村 2室2厅 南,国际华城三村 -解放路,2室2厅 | 90.3平米 | 南 | 精装 | 中楼层(共6层)  | 板楼,2人关注 / 4个月以前发布,89,"9,857元/平"
诚售 恒生秀山郡毛坯四房 满二有车位,恒生秀山郡 -霍里,4室2厅 | 117.34平米 | 西 | 毛坯 | 高楼层(共33层)  | 板塔结合,3人关注 / 3个月以前发布,116,"9,886元/平"
春天里 精装三房 中间层 满两年 诚心出售,深业华府春天里 -安民,3室2厅 | 111.22平米 | 南 | 精装 | 中楼层(共18层)  | 板塔结合,21人关注 / 5个月以前发布,169,"15,196元/平"
景观楼层~满两年！！全新硬装！三室户型！,深业华府春天里 -安民,3室2厅 | 96.3平米 | 南 北 | 其他 | 高楼层(共34层)  | 板楼,0人关注 / 30天以前发布,122,"12,669元/平"
业主诚意出售 飞机户型 二楼 楼栋位置好,金汇城市花园 -桃园,3室2厅 | 102.61平米 | 南 | 简装 | 低楼层(共6层)  | 板楼,17人关注 / 9个月以前发布,138,"13,449元/平"
精装修拎包入住，中间楼层，旁边就是大润发！,汇金广场 -桃园,3室2厅 | 74.56平米 | 南 北 | 精装 | 中楼层(共18层)  | 板塔结合,1人关注 / 2个月以前发布,78,"10,462元/平"
和泰精装三房 中间楼层 欧式装修 拎包入住 诚心出售,和泰国际花园 -桃园,3室2厅 | 134.32平米 | 南 北 | 精装 | 中楼层(共32层)  | 塔楼,22人关注 / 8个月以前发布,200,"14,890元/平"
此房满五唯一，楼层好， 户型方正，采光好 、生活便利,鑫福家园 -佳山,3室1厅 | 94.18平米 | 南 | 精装 | 低楼层(共6层)  | 板塔结合,2人关注 / 2个月以前发布,75,"7,964元/平"
康泰佳苑 多层二楼 大平层 精装修 双阳台 有车位,康泰佳苑 -安民,4室2厅 | 173.07平米 | 南 | 精装 | 低楼层(共6层)  | 塔楼,0人关注 / 2个月以前发布,185,"10,690元/平"
梅花园好房 满五 带院 挑高不靠马路,梅花园 -桃园,3室2厅 | 98.99平米 | 南 | 精装 | 低楼层(共6层)  | 板楼,1人关注 / 2个月以前发布,92,"9,294元/平"
国际华城一村 5楼复式空中别墅实用面积大婚装随时看房,国际华城一村 -霍里,3室2厅 | 118.06平米 | 南 | 精装 | 高楼层(共6层)  | 板塔结合,40人关注 / 一年前发布,126,"10,673元/平"
，房屋产权清晰，使用面积大，楼层好，配套设全,江东大道3001号 -解放路,3室1厅 | 122.75平米 | 南 | 简装 | 中楼层(共18层)  | 板塔结合,5人关注 / 一年前发布,103.5,"8,432元/平"
业主变现，诚心出售！山南和花园，一楼带院子。,钢城花园二村 -安民,3室2厅 | 137.52平米 | 南 | 精装 | 低楼层(共6层)  | 平房,21人关注 / 8个月以前发布,134,"9,745元/平"
杏花村  精装两房  中间楼层  领包入住,杏花村小区 -解放路,2室1厅 | 56.89平米 | 南 | 其他 | 中楼层(共6层)  | 板楼,0人关注 / 30天以前发布,53.8,"9,457元/平"
进口家具，入住舒适性高，视野宽阔，生活方便,钟鼎悦城 -安民,3室2厅 | 137.04平米 | 南 北 | 其他 | 高楼层(共18层)  | 板楼,0人关注 / 24天以前发布,199,"14,522元/平"
东站旁 拎包入住的中间楼层的上湖精装三房 保养好！,上湖家园 -霍里,3室2厅 | 114.82平米 | 南 | 其他 | 中楼层(共33层)  | 板塔结合,0人关注 / 25天以前发布,86,"7,490元/平"
金安佳苑南区 2室1厅 东南,金安佳苑南区 -塘西,2室1厅 | 74.09平米 | 东南 | 其他 | 中楼层(共6层)  | 平房,0人关注 / 17天以前发布,47.5,"6,412元/平"
大北庄，99年的房子，位置好，看房方便,大北庄 -桃园,2室1厅 | 60.38平米 | 南 | 其他 | 高楼层(共6层)  | 板楼,0人关注 / 16天以前发布,38.8,"6,426元/平"
春晖家园东区 3室2厅 南 北,春晖家园东区 -佳山,3室2厅 | 120.96平米 | 南 北 | 其他 | 中楼层(共11层)  | 板塔结合,0人关注 / 23天以前发布,165,"13,641元/平"
半山花园 洋房 非顶层 采光好 户型佳 随时看房方便,半山花园一村 -雨山,3室2厅 | 124.4平米 | 南 北 | 精装 | 中楼层(共4层)  | 板楼,0人关注 / 18天以前发布,139,"11,174元/平"
信达城一期 三房 精装修 中间楼层 实用空间大,信达城 -霍里,3室1厅 | 85.08平米 | 南 | 其他 | 高楼层(共18层)  | 平房,0人关注 / 24天以前发布,105,"12,342元/平"
此房楼栋位置好，户型好，大横厅，采光好！！！,信达公园郡一期 -采石,3室2厅 | 131.44平米 | 南 北 | 其他 | 低楼层(共11层)  | 暂无数据,0人关注 / 30天以前发布,145,"11,032元/平"
鹊桥小区二房的诚心出售欢迎━(*｀∀´*)ノ亻!看房,鹊桥小区 -安民,2室1厅 | 54.33平米 | 南 | 简装 | 高楼层(共7层)  | 板楼,0人关注 / 26天以前发布,31,"5,706元/平"
此房是二室二厅，二南，客厅朝南连阳台，,伟星时代广场 -雨山,2室2厅 | 91.17平米 | 南 | 其他 | 中楼层(共34层)  | 板塔结合,0人关注 / 15天以前发布,95,"10,421元/平"
丰收佳苑 2室1厅 南,丰收佳苑 -霍里,2室1厅 | 79.54平米 | 南 | 其他 | 高楼层(共18层)  | 板塔结合,0人关注 / 14天以前发布,59.5,"7,481元/平"
花山区金字塘低楼层此房满五唯一，采光充足，视野开阔,金字塘路22号 -未知商圈,2室1厅 | 71平米 | 南 | 精装 | 低楼层(共6层)  | 板楼,0人关注 / 30天以前发布,35.8,"5,043元/平"
城中成熟型小区 生活配套成熟 交通便利 二楼  位置好,大北庄 -桃园,2室1厅 | 62平米 | 南 北 | 简装 | 低楼层(共6层)  | 板楼,0人关注 / 17天以前发布,47.8,"7,710元/平"
印山府花园洋房小区人车分流房东诚心出售,亚东·印山府 -佳山,3室2厅 | 95平米 | 南 | 精装 | 低楼层(共11层)  | 板塔结合,0人关注 / 20天以前发布,135,"14,211元/平"
长江金源豪庭精装大三房 户型通透 采光佳 诚意出售,长江金源豪庭 -当涂县,3室2厅 | 134.55平米 | 南 北 | 其他 | 中楼层(共6层)  | 暂无数据,0人关注 / 2个月以前发布,120,"8,919元/平"
滨江郡 多层三楼 明厨明卫 诚心出售,滨江郡 -采石,2室1厅 | 67.1平米 | 西 | 其他 | 中楼层(共4层)  | 板楼,4人关注 / 一年前发布,35,"5,217元/平"
东方城三期 有大露台 精装修 拎包入住 满二,朝辉东方城三区 -霍里,3室2厅 | 123.8平米 | 南 | 精装 | 低楼层(共6层)  | 板塔结合,14人关注 / 6个月以前发布,210,"16,963元/平"
南北通风，采光充足，楼层好诚心出售,车站路18号 -沙塘,2室1厅 | 68.98平米 | 南 | 简装 | 中楼层(共6层)  | 平房,8人关注 / 6个月以前发布,30,"4,350元/平"
信达城三期飞机大三房，南北朝向，视野好，全天采光,秀山信达城三区 -霍里,3室1厅 | 117.77平米 | 南 | 毛坯 | 高楼层(共18层)  | 板塔结合,45人关注 / 一年前发布,138,"11,718元/平"
万达中央华城 毛坯房 采光无遮挡业主诚信出售,万达中央华城 -安民,2室2厅 | 89.78平米 | 南 | 毛坯 | 低楼层(共32层)  | 板塔结合,8人关注 / 3个月以前发布,82,"9,134元/平"
恒大御景湾 精装 带车位 大三房 南北双阳台  中间楼层,恒大御景湾 -霍里,3室2厅 | 127平米 | 南 北 | 精装 | 低楼层(共24层)  | 板塔结合,11人关注 / 一年前发布,135,"10,630元/平"
团结路 2室1厅 南 北,团结路 -沙塘,2室1厅 | 56.73平米 | 南 北 | 其他 | 中楼层(共6层)  | 暂无数据,0人关注 / 1个月以前发布,35,"6,170元/平"
绿地三期 两室 精装 中上楼层 视野开阔,新里西斯莱公馆 -霍里,2室2厅 | 83.18平米 | 南 | 精装 | 中楼层(共30层)  | 板楼,0人关注 / 1个月以前发布,95,"11,422元/平"
碧桂嘉苑，满两年，中间楼层，双阳台，有约10平储存室,碧桂嘉苑 -解放路,3室2厅 | 104.56平米 | 南 北 | 简装 | 中楼层(共6层)  | 板楼,5人关注 / 4个月以前发布,121.8,"11,649元/平"
深业华府精装两室可以拎包入住，东边户，楼层好。,深业华府春天里 -安民,2室1厅 | 71.55平米 | 南 | 精装 | 高楼层(共26层)  | 板塔结合,6人关注 / 6个月以前发布,93,"12,998元/平"
翡翠城市花园 2室2厅 南,翡翠城市花园 -安民,2室2厅 | 73.14平米 | 南 | 精装 | 低楼层(共6层)  | 板楼,7人关注 / 5个月以前发布,67,"9,161元/平"
上湖家园 新空毛坯3室 景观房 采光好 无遮挡,上湖家园 -霍里,3室2厅 | 111.5平米 | 南 | 其他 | 高楼层(共26层)  | 板塔结合,6人关注 / 一年前发布,59.8,"5,364元/平"
此房满两年.好楼层户型通透阳光充足采光无遮挡双阳..,新里西斯莱公馆 -霍里,3室1厅 | 115.35平米 | 南 | 毛坯 | 低楼层(共33层)  | 板楼,2人关注 / 一年前发布,119,"10,317元/平"
东方城二期 好房急售 婚房装修 业主外地置业,朝辉东方城二区 -霍里,3室1厅 | 109平米 | 南 北 | 精装 | 中楼层(共33层)  | 板塔结合,14人关注 / 9个月以前发布,115.8,"10,624元/平"
满五唯一楼层好，业主诚售，采光无遮挡！可随时看房！,金桥雅苑 -霍里,2室2厅 | 85平米 | 南 北 | 精装 | 低楼层(共6层)  | 板塔结合,5人关注 / 6个月以前发布,64,"7,530元/平"
上湖佳苑，大三房，婚房装修，一天未住，看房方便。,上湖家园 -霍里,3室2厅 | 113.46平米 | 南 | 其他 | 中楼层(共33层)  | 板楼,1人关注 / 3个月以前发布,88,"7,757元/平"
雨山三村中间楼层，老房子有规划，地理位置优越,雨山三村 -平湖,2室1厅 | 53.16平米 | 南 北 | 其他 | 中楼层(共4层)  | 板楼,0人关注 / 11天以前发布,38,"7,149元/平"
东方翡翠南苑 中间楼层 全明户型 满五税少,东方翡翠南苑 -佳山,2室1厅 | 84.16平米 | 南 | 精装 | 中楼层(共6层)  | 板楼,0人关注 / 2个月以前发布,58,"6,892元/平"
店长推荐，4楼采光户型好，拎包入住。,雨南村 -雨山,3室1厅 | 71平米 | 南 北 | 简装 | 中楼层(共7层)  | 板楼,1人关注 / 4个月以前发布,36,"5,071元/平"
翡翠城市花园 多层2楼 毛坯两室 明厨明卫,翡翠城市花园 -安民,2室1厅 | 75.12平米 | 南 | 毛坯 | 低楼层(共6层)  | 板楼,5人关注 / 7个月以前发布,63,"8,387元/平"
信达城三房 业主诚心出售 看房提前预约 拎包入住,信达城 -霍里,3室2厅 | 99.64平米 | 南 | 精装 | 高楼层(共30层)  | 塔楼,0人关注 / 1个月以前发布,124,"12,445元/平"
