标题,开发商,房子信息,发布信息,售价/万,单价
人民路南华康城 中 央公馆精装两室小区内价格合适一套,中央公馆三期 -立交桥,2室2厅 | 93平米 | 南 | 其他 | 低楼层(共28层)  | 板楼,5人关注 / 8个月以前发布,68,"7,312元/平"
华英路银座旁 三室 简装 老证 可贷款,名人居家园 -银座,3室2厅 | 133平米 | 南 北 | 简装 | 中楼层(共7层)  | 板楼,7人关注 / 一年前发布,88,"6,617元/平"
华英嘉园 3室2厅 南,华英嘉园 -惠慈医院,3室2厅 | 150平米 | 南 | 其他 | 中楼层(共26层)  | 板塔结合,0人关注 / 3天以前发布,108,"7,200元/平"
老证牡丹公馆眼睛房大三居好楼层业主诚意出售中！,牡丹公馆 -牡丹园,3室1厅 | 128平米 | 南 北 | 其他 | 中楼层(共26层)  | 板楼,0人关注 / 4天以前发布,80,"6,250元/平"
本房是业主婚房 刚装修完家具家电都带随时可看房,锦绣鹏程 -万达广场,3室1厅 | 123平米 | 南 | 其他 | 中楼层(共26层)  | 板楼,0人关注 / 4天以前发布,72,"5,854元/平"
中华世纪城 3室1厅 南 北,中华世纪城 -火车站,3室1厅 | 118平米 | 南 北 | 其他 | 低楼层(共18层)  | 板楼,0人关注 / 4天以前发布,84,"7,119元/平"
水榭花都 舒适大三室 简装修 有证 有储藏室 能贷款,水榭花都 -三院,3室1厅 | 123平米 | 南 | 其他 | 中楼层(共33层)  | 暂无数据,0人关注 / 1天以前发布,76,"6,179元/平"
鑫苑花园，精致三室，带车库，简装，老证能贷款,鑫苑花园 -图书馆,3室2厅 | 133.6平米 | 南 | 简装 | 中楼层(共18层)  | 暂无数据,0人关注 / 一年前发布,112,"8,384元/平"
长涛新世纪大阳台餐客一体拎包入住,长涛新世纪 -区委,3室2厅 | 134.24平米 | 南 | 精装 | 高楼层(共18层)  | 板塔结合,1人关注 / 一年前发布,66,"4,917元/平"
此房老证 带车位 楼层合适采光好 三室朝阳,水岸嘉苑 -立交桥,3室2厅 | 163.23平米 | 南 北 | 精装 | 低楼层(共21层)  | 板塔结合,4人关注 / 一年前发布,105,"6,433元/平"
采光较好，两室朝阳，采光好，精装修，诚心出售,佳合花园 -图书馆,4室2厅 | 146平米 | 南 北 | 简装 | 高楼层(共7层)  | 板塔结合,10人关注 / 一年前发布,55,"3,768元/平"
杨店新村 2室2厅 南 北,杨店新村 -西客站,2室2厅 | 97平米 | 南 北 | 其他 | 高楼层(共23层)  | 板楼,0人关注 / 2个月以前发布,35,"3,609元/平"
港湾新城 4室1厅 南,港湾新城 -牡丹园,4室1厅 | 166平米 | 南 | 简装 | 中楼层(共22层)  | 板楼,0人关注 / 14天以前发布,92,"5,543元/平"
万达旁   简装修    两室   老证   可贷款  诚心出售,中达御园 -万达广场,2室2厅 | 90.47平米 | 南 | 简装 | 中楼层(共30层)  | 板楼,0人关注 / 一年前发布,77.9,"8,611元/平"
油厂家属院 3室2厅 南 北,油厂家属院 -东关小学,3室2厅 | 113.35平米 | 南 北 | 精装 | 高楼层(共6层)  | 板楼,0人关注 / 一年前发布,72,"6,353元/平"
御河丹城  人民北路  诚心出售  看房方便,御河丹城 -牡丹园,3室2厅 | 116.73平米 | 东 | 简装 | 高楼层(共34层)  | 板楼,0人关注 / 5个月以前发布,74,"6,340元/平"
立交桥盛世豪庭三室带储藏室诚心出售,盛世豪庭 -立交桥,3室2厅 | 129.5平米 | 南 | 精装 | 低楼层(共17层)  | 板塔结合,5人关注 / 10个月以前发布,81.6,"6,302元/平"
带车位储藏室 西边户  老证  精装三室,中达尚城 -和平南路,3室2厅 | 136.93平米 | 南 北 | 精装 | 低楼层(共17层)  | 板楼,4人关注 / 一年前发布,102.5,"7,486元/平"
此房证满五年 简装3室 无高税 看房方便 可按揭,橡树湾小区 -广州南路,3室2厅 | 134.82平米 | 南 | 其他 | 中楼层(共12层)  | 板楼,1人关注 / 一年前发布,80,"5,934元/平"
房东诚心出售开关厂家属院多层楼房,天润开关厂家属院 -三中,3室2厅 | 89.03平米 | 南 北 | 其他 | 高楼层(共6层)  | 板楼,1人关注 / 一年前发布,58,"6,515元/平"
福源名居 三室精装修，带地上车库，老证可贷款，急售,福源名居 -三院,3室2厅 | 113.98平米 | 南 北 | 精装 | 中楼层(共8层)  | 板塔结合,18人关注 / 一年前发布,63,"5,528元/平"
华侨城一楼带院，精装修，户型方正，房主诚心出售。,华侨城二期 -万达广场,3室2厅 | 106.46平米 | 南 北 | 精装 | 低楼层(共28层)  | 板楼,1人关注 / 一年前发布,126.7,"11,902元/平"
万达旁 简装两室 老证 可贷款,龙燕·金润嘉园 -和平南路,2室2厅 | 93.54平米 | 南 北 | 简装 | 中楼层(共7层)  | 板楼,2人关注 / 一年前发布,82,"8,767元/平"
御河丹城，精装四居洋房，满二老证带储藏室,御河丹城 -牡丹园,4室2厅 | 138.64平米 | 南 | 精装 | 高楼层(共8层)  | 板楼,0人关注 / 4个月以前发布,123,"8,872元/平"
中华世纪城，精装三室，有证能贷款，带储藏室和车位,中华世纪城 -火车站,3室2厅 | 120平米 | 南 北 | 精装 | 高楼层(共28层)  | 板楼,6人关注 / 一年前发布,87.5,"7,292元/平"
此房老证，小高层带车库和车位（可充电），可按揭。,天华交通家园 -广州路,3室2厅 | 122.49平米 | 南 | 其他 | 高楼层(共17层)  | 板楼,2人关注 / 一年前发布,71,"5,797元/平"
御河丹城 两居室两厅一卫一厨 房子不错 采光好,御河丹城 -牡丹园,2室2厅 | 97平米 | 南 | 简装 | 高楼层(共34层)  | 板楼,2人关注 / 一年前发布,56,"5,774元/平"
奥林花园精装房，房主诚信出售，价格实惠,奥林花园 -和平南路,2室2厅 | 94.22平米 | 南 西 北 | 精装 | 中楼层(共7层)  | 板楼,3人关注 / 一年前发布,77.8,"8,258元/平"
杏林小区 老证 简装修 楼层采光好 带储藏室,杏林小区 -一佳,2室2厅 | 98.03平米 | 南 | 简装 | 高楼层(共26层)  | 板楼,0人关注 / 2个月以前发布,52.6,"5,366元/平"
万达广场旁新闻家园大三居采光通风好带车库老证可贷款,新闻家园 -和平南路,3室2厅 | 133平米 | 南 北 | 简装 | 高楼层(共6层)  | 板楼,0人关注 / 一年前发布,84,"6,316元/平"
两室一厅一厨一卫，前后露台 养花种草锻炼好场所,天华花都小商品城 -西客站,2室2厅 | 71.1平米 | 南 | 其他 | 高楼层(共6层)  | 板楼,9人关注 / 一年前发布,36,"5,064元/平"
天华交通家园三室两厅一厨两卫.,天华交通家园 -广州路,3室2厅 | 127平米 | 南 | 精装 | 中楼层(共17层)  | 板楼,2人关注 / 一年前发布,83,"6,536元/平"
位于图书大厦对过。售价不高，位置很好。,联通家属院 -图书大厦,3室2厅 | 122平米 | 东 西 | 简装 | 中楼层(共6层)  | 板楼,4人关注 / 10个月以前发布,67.2,"5,509元/平"
万象城 舒适大三室 有证 边户 带储室一间 看房方便,牡丹万象城西区 -西客站,4室2厅 | 138平米 | 南 | 简装 | 中楼层(共26层)  | 板楼,2人关注 / 一年前发布,89,"6,450元/平"
103万拎包入住150平精装带车位储藏室大三房,城建华府观澜小区 -牡丹园,3室2厅 | 150.86平米 | 东 南 | 精装 | 低楼层(共25层)  | 板楼,0人关注 / 一年前发布,102,"6,762元/平"
奥林花园多层住宅，诚心卖，看房方便,奥林花园 -和平南路,3室1厅 | 98平米 | 南 北 | 简装 | 高楼层(共7层)  | 板楼,3人关注 / 一年前发布,56,"5,715元/平"
广兴华邑 三室两厅一卫 老证 看房方便,广兴华邑 -图书大厦,3室2厅 | 114平米 | 南 | 简装 | 中楼层(共7层)  | 板楼,3人关注 / 一年前发布,65,"5,702元/平"
户型方正 老证 过户费低 绿化好,名门世家 -人民南路,3室2厅 | 95.76平米 | 南 北 | 精装 | 中楼层(共32层)  | 板楼,8人关注 / 一年前发布,62.5,"6,527元/平"
碧桂嘉园，简单装修，楼层适中，采光充足，小高层。,碧桂嘉园 -广州南路,3室2厅 | 130.17平米 | 南 | 简装 | 高楼层(共18层)  | 板楼,3人关注 / 一年前发布,78,"5,993元/平"
奥斯卡春城多层低公摊，老证精装修带储藏室可贷款,中富奥斯卡春城 -区委,2室2厅 | 99平米 | 南 北 | 简装 | 中楼层(共6层)  | 板楼,1人关注 / 11个月以前发布,60,"6,061元/平"
广州路附 近江南里豪 华别墅带院可按揭带车位,中达绿城江南里 -广州南路,6室2厅 | 204.55平米 | 北 | 其他 | 低楼层(共1层)  | 暂无数据,0人关注 / 5个月以前发布,552,"26,987元/平"
菏泽别墅天花板，江南风格，故宫工匠倾心设计,中达绿城江南里 -广州南路,6室2厅 | 200.18平米 | 南 | 其他 | 低楼层(共1层)  | 暂无数据,1人关注 / 5个月以前发布,521,"26,027元/平"
万达旁 和平人家小高层中高楼层 带车位储藏室老证出售,和平人家 -和平南路,4室2厅 | 145平米 | 南 | 其他 | 高楼层(共17层)  | 板楼,1人关注 / 10个月以前发布,110,"7,587元/平"
牡丹新城北区老证可按揭带车位储藏室 装修好拎包入住,牡丹新城北区 -牡丹园,6室2厅 | 234平米 | 南 北 | 其他 | 高楼层(共7层)  | 板塔结合,3人关注 / 11个月以前发布,190,"8,120元/平"
时代奥城 中间楼层大三居 户型方正 采光充足 诚心出售,亿联时代奥城 -二十一中,3室2厅 | 144平米 | 南 | 其他 | 中楼层(共18层)  | 板塔结合,10人关注 / 一年前发布,115.5,"8,021元/平"
房子是大三室，户型方正，中间楼层，采光充足。,名仕豪庭南区 -二十一中南校区,3室2厅 | 134.72平米 | 南 | 其他 | 中楼层(共26层)  | 板楼,12人关注 / 一年前发布,93,"6,904元/平"
精装房拎包入住，价格优惠 价格合适 小公摊,景昀苑 -西客站,6室2厅 | 200平米 | 南 北 | 其他 | 高楼层(共6层)  | 板塔结合,6人关注 / 一年前发布,85.2,"4,260元/平"
紫阳小区三居室，诚心出售，老证可按揭，看房方便,紫阳小区 -二十一中南校区,3室2厅 | 130平米 | 南 | 其他 | 中楼层(共5层)  | 板楼,1人关注 / 一年前发布,92,"7,077元/平"
此房老城区，老证可过户，可住可租赁。,菏建集团家属院 -图书馆,3室2厅 | 162.33平米 | 南 | 精装 | 中楼层(共5层)  | 板楼,0人关注 / 一年前发布,110,"6,777元/平"
南华康城  经典三室  满二  南北通透,南华康城 -立交桥,3室2厅 | 120.39平米 | 南 北 | 简装 | 低楼层(共28层)  | 板楼,1人关注 / 一年前发布,88.5,"7,352元/平"
金都华庭带车库 带阁楼老证可按揭 诚心出售 看房联系,金都华庭 -图书馆,3室2厅 | 138.96平米 | 南 北 | 其他 | 高楼层(共6层)  | 板塔结合,2人关注 / 一年前发布,115,"8,276元/平"
急售立交桥天阔逸城 带储藏室方便看房 老证 随时看房,天阔逸城 -立交桥,2室2厅 | 99.21平米 | 南 | 其他 | 高楼层(共31层)  | 板楼,4人关注 / 一年前发布,50,"5,040元/平"
交通家园 带车库储藏室 南北通透 户型方正,天华交通家园 -广州路,3室1厅 | 113.55平米 | 南 北 | 其他 | 高楼层(共6层)  | 板楼,0人关注 / 一年前发布,75,"6,606元/平"
天华交通家园，八一东路多层三室 简装修证满两年,天华交通家园 -广州路,3室2厅 | 127.53平米 | 南 北 | 其他 | 中楼层(共6层)  | 板楼,1人关注 / 一年前发布,75.5,"5,921元/平"
广州路 经典两居室 朝阳通透  观景好楼层,和谐家园 -牡丹园,2室2厅 | 80.8平米 | 南 | 简装 | 低楼层(共18层)  | 板楼,1人关注 / 一年前发布,45,"5,570元/平"
东站小区 两居室户型方正 看房方便 租客在住 看房联系,东站小区 -惠慈医院,3室2厅 | 80.36平米 | 南 北 | 其他 | 高楼层(共6层)  | 板楼,5人关注 / 一年前发布,40.9,"5,090元/平"
三居室房子，户型挺好，配套成熟，看房方便,开发区管委会家属院 -图书馆,3室2厅 | 117.46平米 | 南 | 简装 | 高楼层(共6层)  | 板楼,0人关注 / 一年前发布,63,"5,364元/平"
长城路中南世纪锦城，精装修带全套,中南世纪锦城 -牡丹园,2室2厅 | 88.29平米 | 南 | 其他 | 高楼层(共33层)  | 板楼,8人关注 / 一年前发布,56,"6,343元/平"
中央公馆精装房好楼层 带全屋家具家电 老证可贷款！！,中央公馆 -立交桥,3室2厅 | 110.81平米 | 南 | 其他 | 高楼层(共29层)  | 板楼,2人关注 / 4个月以前发布,87.5,"7,897元/平"
三室两厅一卫，一楼带院，还有两间配房，采光充足,电厂家属院西区 -东电厂,2室2厅 | 77.53平米 | 南 | 其他 | 低楼层(共4层)  | 板楼,6人关注 / 11个月以前发布,46,"5,934元/平"
丹阳路华英路单位家属院温馨三居室带大储藏室！诚售！,农业局家属院 -火车站,3室2厅 | 99.15平米 | 南 北 | 其他 | 高楼层(共5层)  | 板楼,6人关注 / 一年前发布,56,"5,649元/平"
老证 精装修 房东诚心出售 三室两厅一卫户型,紫云台 -广州路,3室2厅 | 122.66平米 | 南 | 其他 | 中楼层(共17层)  | 塔楼,2人关注 / 一年前发布,69,"5,626元/平"
人民路多层4楼，无公摊三室，丹阳路，带储藏室,开发区管委会家属院 -图书馆,3室1厅 | 74.52平米 | 南 | 其他 | 中楼层(共6层)  | 板楼,13人关注 / 一年前发布,45.6,"6,120元/平"
清华园东区两居室，简装修，带储藏室，老证,清华园（东区） -汽配城,2室1厅 | 97平米 | 南 | 简装 | 中楼层(共6层)  | 板楼,0人关注 / 29天以前发布,61,"6,289元/平"
房子  精装修  带阁楼 带储藏室,亨通园 -银座,2室2厅 | 108平米 | 南 | 其他 | 高楼层(共6层)  | 板楼,3人关注 / 11个月以前发布,72,"6,667元/平"
佳合花园位于丹阳路与人民路交汇处便利出行,佳合花园 -图书馆,2室2厅 | 99平米 | 南 | 其他 | 高楼层(共7层)  | 板塔结合,7人关注 / 一年前发布,57,"5,758元/平"
