标题,开发商,房子信息,发布信息,售价/万,单价
宝龙城江南墅边，交通便利。小区环境佳,瑞景名苑 -轮渡路,1室1厅 | 34平米 | 南 | 精装 | 中楼层(共11层)  | 板楼,0人关注 / 27天以前发布,75,"22,059元/平"
户型方正，全明格局，视野好，楼间距大，无遮挡,学府水岸小区 -轮渡路,3室2厅 | 139.2平米 | 南 | 毛坯 | 高楼层(共20层)  | 塔楼,6人关注 / 5个月以前发布,280,"20,115元/平"
新小区 户型方正 采光好 绿城物业,理想花苑 -轮渡路,2室1厅 | 89平米 | 南 | 精装 | 低楼层(共17层)  | 板楼,3人关注 / 8个月以前发布,205,"23,034元/平"
高铁新区金成华府中高层房东急售仅198万,金成华府 -东平路,3室2厅 | 89平米 | 南 | 毛坯 | 低楼层(共27层)  | 暂无数据,4人关注 / 5个月以前发布,183,"20,562元/平"
香榭水岸 3室2厅 南,香榭水岸 -机场北路,3室2厅 | 143平米 | 南 | 毛坯 | 高楼层(共18层)  | 板楼,0人关注 / 2个月以前发布,236,"16,504元/平"
文鼎苑新小区满两年南北通户型边套自带幼儿园,文鼎苑 -东平路,3室2厅 | 128平米 | 南 | 毛坯 | 中楼层(共11层)  | 板楼,4人关注 / 6个月以前发布,262,"20,469元/平"
：新交房小区 好楼层 带车位 户型方正 环境好,文鼎苑 -东平路,3室1厅 | 87平米 | 南 | 毛坯 | 低楼层(共12层)  | 板楼,3人关注 / 8个月以前发布,189,"21,725元/平"
房东诚心卖 价格合适 楼层位置好,新明半岛 -东平路,2室2厅 | 89平米 | 南 | 其他 | 高楼层(共11层)  | 板塔结合,5人关注 / 一年前发布,200,"22,472元/平"
碧桂园新房 南北通，毛坯，视野开阔，采光充足。,珑悦名苑 -东平路,3室2厅 | 126平米 | 西 | 毛坯 | 高楼层(共17层)  | 板塔结合,4人关注 / 一年前发布,258.8,"20,540元/平"
出售颐景名苑 精装修 有储藏室 一本证看房方便,颐景名苑 -东平路,2室1厅 | 106平米 | 南 | 精装 | 中楼层(共18层)  | 板楼,23人关注 / 7个月以前发布,212,"20,000元/平"
棕榈阳光 人文环境好， 楼下有公园， 配套齐 环境优美,棕榈阳光 -市府,3室1厅 | 84.78平米 | 南 | 简装 | 低楼层(共11层)  | 板楼,10人关注 / 3个月以前发布,175.8,"20,737元/平"
田洋王新村 4室2厅 南,田洋王新村 -路桥街道,4室2厅 | 121平米 | 南 | 精装 | 中楼层(共5层)  | 暂无数据,0人关注 / 25天以前发布,139.8,"11,554元/平"
白云山壹号 两室一厅 精装修 拎包入住,白云山壹号 -市府,2室1厅 | 66.22平米 | 南 | 精装 | 高楼层(共15层)  | 板楼,1人关注 / 19天以前发布,138,"20,840元/平"
中诚广场，105平   价格实惠，房东急卖，一口价,金地·中城广场 -机场北路,3室1厅 | 105平米 | 南 | 其他 | 低楼层(共17层)  | 暂无数据,1人关注 / 17天以前发布,170,"16,191元/平"
台州一号 129平毛坯带车位 储藏室 看房方便,台州中梁阳光城台州一号 -市府,3室1厅 | 125平米 | 南 | 其他 | 中楼层(共26层)  | 暂无数据,0人关注 / 16天以前发布,265,"21,200元/平"
香榭水岸 3室2厅 南,香榭水岸 -机场北路,3室2厅 | 123平米 | 南 | 其他 | 低楼层(共16层)  | 板楼,1人关注 / 23天以前发布,182,"14,797元/平"
开元小区 书生 公园旁中层 性价高 自住装,开元小区 -机场北路,3室2厅 | 135平米 | 南 | 其他 | 中楼层(共7层)  | 板楼,0人关注 / 21天以前发布,178,"13,186元/平"
小区设施齐全，环境好，采光充足,德邻南苑 -轮渡路,2室1厅 | 71.46平米 | 南 | 简装 | 低楼层(共26层)  | 暂无数据,0人关注 / 30天以前发布,132,"18,472元/平"
全新精装修  好楼层好户型  近中盛和路小  采光很好,望月府 -路桥街道,2室1厅 | 60平米 | 南 | 精装 | 中楼层(共18层)  | 板塔结合,1人关注 / 31天以前发布,98,"16,334元/平"
湖悦华庭 3室2厅 南 北,湖悦华庭 -温岭市,3室2厅 | 143平米 | 南 北 | 简装 | 低楼层(共33层)  | 暂无数据,0人关注 / 26天以前发布,192,"13,427元/平"
天琴公寓 2室 73.8平 看房方便 精装 双白云 随时看房,天琴公寓 -市府,2室1厅 | 37.8平米 | 东 | 精装 | 高楼层(共12层)  | 板楼,0人关注 / 29天以前发布,73.8,"19,524元/平"
路北CBD，小区配套完善，高层，视野好,星光耀 -路北,2室2厅 | 89平米 | 南 | 其他 | 高楼层(共27层)  | 板塔结合,0人关注 / 16天以前发布,148,"16,630元/平"
东港人才公寓西灿三室自住精装满五唯一带轿车库诚售,东港人才公寓 -轮渡路,3室2厅 | 90平米 | 南 | 精装 | 低楼层(共7层)  | 板楼,0人关注 / 22天以前发布,130,"14,445元/平"
三朝南，实用面积大，可直接拎包入住,城市港湾A区 -洪家,3室2厅 | 120.75平米 | 南 | 精装 | 中楼层(共6层)  | 塔楼,0人关注 / 20天以前发布,126.7,"10,493元/平"
新小区，采光好，价格适中，入住率高。,湖悦华庭 -温岭市,3室2厅 | 143平米 | 南 | 毛坯 | 高楼层(共33层)  | 暂无数据,0人关注 / 23天以前发布,188.76,"13,200元/平"
山水一品精装修好楼层电梯房房东急售,臻园山水一品一期 -江南,2室2厅 | 85平米 | 南 | 精装 | 低楼层(共18层)  | 暂无数据,0人关注 / 24天以前发布,115,"13,530元/平"
诚心出售龙湖丽景小区套房，好楼层，单价合理,龙湖丽景小区 -桐屿,3室2厅 | 137.5平米 | 南 | 毛坯 | 高楼层(共17层)  | 暂无数据,0人关注 / 8天以前发布,139.8,"10,168元/平"
朗琴湾 3室2厅 南,朗琴湾 -螺洋,3室2厅 | 132平米 | 南 | 其他 | 低楼层(共16层)  | 板楼,0人关注 / 9天以前发布,148,"11,213元/平"
坎门方向新交付楼盘，环境好价格好,锦宸府 -坎门,3室2厅 | 98平米 | 东南 南 | 其他 | 中楼层(共11层)  | 暂无数据,0人关注 / 9天以前发布,115,"11,735元/平"
金地中诚广场诚售！户型方正通透，采光好！,金地·中城广场 -机场北路,3室2厅 | 108平米 | 南 | 其他 | 低楼层(共26层)  | 暂无数据,2人关注 / 7个月以前发布,185,"17,130元/平"
海景名苑116.8平方中庭位置，好楼层，诚心出售,海景名苑 -机场北路,3室2厅 | 116.8平米 | 南 | 毛坯 | 中楼层(共18层)  | 板塔结合,2人关注 / 8个月以前发布,187.6,"16,062元/平"
繁荣家园高层精装修采光明亮 产权车位另加12万 急售,繁荣家园 -东平路,3室1厅 | 80平米 | 南 | 精装 | 高楼层(共28层)  | 板楼,6人关注 / 7个月以前发布,136,"17,000元/平"
东京湾131平自住装修，业主置换，诚心出售。,东京湾 -东平路,3室2厅 | 137平米 | 南 | 精装 | 中楼层(共17层)  | 板塔结合,0人关注 / 9个月以前发布,206,"15,037元/平"
金地中诚广场  灿头  房东诚心出售   提前预约看房,金地·中城广场 -机场北路,3室2厅 | 121平米 | 南 北 | 其他 | 低楼层(共25层)  | 板楼,1人关注 / 7个月以前发布,199,"16,447元/平"
菜场边 电梯高楼层，出行方便，毛坯房，南北通透,锦秀苑 -温岭市,3室2厅 | 124平米 | 南 北 | 其他 | 中楼层(共7层)  | 暂无数据,7人关注 / 一年前发布,83,"6,694元/平"
之江世纪花园 3室2厅 南 北,之江世纪花园 -温岭市,3室2厅 | 127平米 | 南 北 | 其他 | 高楼层(共7层)  | 板楼,1人关注 / 9个月以前发布,178,"14,016元/平"
川安华庭143面积3室2卫，业主诚意出售。,川安华庭 -温岭市,3室2厅 | 143.55平米 | 南 | 毛坯 | 低楼层(共26层)  | 暂无数据,5人关注 / 7个月以前发布,135.8,"9,461元/平"
米兰花园   南北通  3室  诚心出售,米兰花园 -市府,3室2厅 | 135平米 | 南 北 | 精装 | 中楼层(共6层)  | 板楼,28人关注 / 一年前发布,160,"11,852元/平"
全小区蕞划.算  包车位户型方正，全明格局，视野好,悦城水岸 -轮渡路,3室2厅 | 131平米 | 南 | 其他 | 中楼层(共33层)  | 暂无数据,1人关注 / 10个月以前发布,288,"21,985元/平"
南北通，采光充足，配套齐全，交通方便，环境优美..,文萃园 -机场北路,3室1厅 | 89平米 | 南 | 其他 | 低楼层(共12层)  | 板楼,0人关注 / 5个月以前发布,182,"20,450元/平"
本房户型方正，两朝南户型，采光和通风很好，楼层好,龙湖丽景小区 -桐屿,2室2厅 | 85平米 | 南 | 毛坯 | 中楼层(共17层)  | 暂无数据,0人关注 / 13天以前发布,99.8,"11,742元/平"
美宸园好楼层好户型，采光足，位置好，交通便,华鸿美的美宸园 -路北,3室2厅 | 98平米 | 南 | 毛坯 | 低楼层(共17层)  | 板楼,3人关注 / 7个月以前发布,152.8,"15,592元/平"
大三室 出行方便  拎包入住  公摊少,朗琴湾 -螺洋,3室2厅 | 138平米 | 南 | 精装 | 中楼层(共5层)  | 板楼,2人关注 / 6个月以前发布,162,"11,740元/平"
全新精装修 拎包入住 俯瞰飞龙湖 三朝南 高楼层,高桥章嘉苑 -桐屿,3室2厅 | 120平米 | 南 | 精装 | 高楼层(共26层)  | 暂无数据,0人关注 / 2个月以前发布,158,"13,167元/平"
房子满2年，精装修，看房方便，车位一个,颐景名苑 -东平路,3室2厅 | 103平米 | 南 | 精装 | 高楼层(共17层)  | 平房,0人关注 / 4个月以前发布,200,"19,418元/平"
诚售香樟源3-1-1-2 110平全新精装修好楼层 168.8 万,香樟源 -螺洋,3室1厅 | 110平米 | 南 | 精装 | 高楼层(共18层)  | 板楼,1人关注 / 3个月以前发布,168.8,"15,346元/平"
小区设施齐全，环境好，采光充足,观江苑 -轮渡路,2室1厅 | 70平米 | 南 | 简装 | 低楼层(共25层)  | 暂无数据,0人关注 / 1个月以前发布,132,"18,858元/平"
嘉和名苑 户型方正 采光好 明厨明卫,嘉和名苑 -机场北路,3室2厅 | 130平米 | 南 北 | 精装 | 低楼层(共18层)  | 暂无数据,0人关注 / 8个月以前发布,189.8,"14,600元/平"
海棠花苑中层 绿城品质 好位置 好楼层 三朝南 大阳台,绿城海棠花苑 -体育场,3室2厅 | 125平米 | 南 | 精装 | 中楼层(共16层)  | 板楼,2人关注 / 3个月以前发布,325,"26,000元/平"
星光耀广场旁，高层带大阳台采光好可拎包入住,金色南洋 -路北,3室2厅 | 121平米 | 南 | 精装 | 中楼层(共11层)  | 板楼,13人关注 / 7个月以前发布,165.8,"13,703元/平"
天天财富     跃层 的 房东诚心卖  环境好,天天财富公馆 -市府,4室2厅 | 165平米 | 南 | 毛坯 | 中楼层(共29层)  | 板楼,5人关注 / 一年前发布,290,"17,576元/平"
东泰 · 万华城 三室两厅 精装修 拎包入住,东泰 · 万华城 -体育场,3室2厅 | 98平米 | 南 | 精装 | 低楼层(共16层)  | 板楼,0人关注 / 6个月以前发布,228,"23,266元/平"
"此房刚交房南北通户型位置安静 交通方便,楼层好视野佳",恒大城市天地 -洪家,3室2厅 | 125平米 | 南 | 毛坯 | 高楼层(共18层)  | 暂无数据,0人关注 / 2个月以前发布,160,"12,800元/平"
全新装修 拎包入住 三室两厅 出行方便,香樟源 -螺洋,3室2厅 | 90平米 | 南 | 精装 | 中楼层(共15层)  | 板楼,11人关注 / 7个月以前发布,140.8,"15,645元/平"
4-2-1-2西灿好楼层双阳台,阳光城中梁·璞悦 -路北,4室2厅 | 129.8平米 | 南 | 简装 | 中楼层(共20层)  | 板楼,2人关注 / 一年前发布,219.8,"16,934元/平"
天琴公寓2室 精装37平 诚心卖看房方便 双白云东商务区,天琴公寓 -市府,2室1厅 | 37平米 | 东 | 精装 | 中楼层(共12层)  | 板楼,0人关注 / 1个月以前发布,73.8,"19,946元/平"
此房两年内 三朝南 楼层好 采光好,高桥章嘉苑 -桐屿,3室2厅 | 120平米 | 南 | 精装 | 中楼层(共26层)  | 暂无数据,5人关注 / 5个月以前发布,153.8,"12,817元/平"
房东诚心卖 小区环境良好水系景观,阳光城中梁·璞悦 -路北,4室2厅 | 130平米 | 南 | 毛坯 | 高楼层(共18层)  | 暂无数据,0人关注 / 1个月以前发布,215,"16,539元/平"
采光充足，配套齐，交通方便，环境优美，视野开阔,温馨港湾 -轮渡路,3室1厅 | 69平米 | 南 | 精装 | 高楼层(共11层)  | 板楼,8人关注 / 4个月以前发布,116.8,"16,928元/平"
嘉和名苑 3室2厅 南 北,嘉和名苑 -机场北路,3室2厅 | 120平米 | 南 北 | 毛坯 | 中楼层(共6层)  | 暂无数据,3人关注 / 1个月以前发布,140,"11,667元/平"
万科西苑 好楼层好位置 看房方便,万科城西苑 -洪家,3室2厅 | 126平米 | 南 | 毛坯 | 低楼层(共25层)  | 板楼,0人关注 / 1个月以前发布,176.2,"13,985元/平"
昌鑫佳园 小套 仅售35万 欢迎品鉴,昌鑫佳园 -温岭市,1室1厅 | 35.17平米 | 东南 | 简装 | 高楼层(共4层)  | 板塔结合,57人关注 / 一年前发布,33,"9,383元/平"
置信原墅大型小区 别墅区里的高层 好楼层 房东房子多,置信原墅 -温岭市,3室2厅 | 108.73平米 | 南 北 | 毛坯 | 高楼层(共24层)  | 板楼,0人关注 / 1个月以前发布,206.8,"19,020元/平"
可满二过户 好楼层  近内环口和轻轨站站点 采光无遮挡,高桥章嘉苑 -桐屿,3室2厅 | 123.33平米 | 南 西 北 | 毛坯 | 高楼层(共20层)  | 暂无数据,0人关注 / 1个月以前发布,128,"10,379元/平"
台州一号 高层 诚心出售 通透 采光很好，东灿好楼层,台州中梁阳光城台州一号 -市府,3室1厅 | 125平米 | 南 | 毛坯 | 高楼层(共26层)  | 板楼,1人关注 / 3个月以前发布,268.8,"21,504元/平"
新楼房电梯房，3室南北通，居住便利，采光无遮挡,旭东佳园 -温岭市,3室2厅 | 102.91平米 | 南 | 毛坯 | 中楼层(共18层)  | 暂无数据,3人关注 / 4个月以前发布,131.8,"12,808元/平"
小户型，毛坯房，轻轨旁，看房方便，房东诚心卖。。。,恒大城市天地 -洪家,3室2厅 | 95平米 | 南 | 毛坯 | 低楼层(共27层)  | 板楼,0人关注 / 10个月以前发布,130,"13,685元/平"
房子采光好，三朝南，房东诚心卖,江城大楼 -轮渡路,3室2厅 | 86平米 | 南 | 简装 | 低楼层(共25层)  | 暂无数据,0人关注 / 2个月以前发布,120,"13,954元/平"
毛坯，好楼层，小区环境好，绿城物管 房东诚心出售,冠郡铭苑 -洪家,3室2厅 | 99平米 | 南 | 毛坯 | 高楼层(共25层)  | 板楼,5人关注 / 6个月以前发布,148,"14,950元/平"
采光好，户型好，房东诚心出售。,荷塘月色小区 -路北,3室2厅 | 122.13平米 | 南 | 简装 | 低楼层(共18层)  | 板塔结合,7人关注 / 7个月以前发布,115,"9,417元/平"
户型方正，全明格局，视野好，无遮挡，大阳台,德加公馆 -轮渡路,3室2厅 | 100平米 | 南 | 简装 | 中楼层(共33层)  | 暂无数据,0人关注 / 1个月以前发布,228.8,"22,880元/平"
户型方正三朝南，布局合理，全新精装修，全套家具家电,恒大城市天地 -洪家,3室2厅 | 137.65平米 | 南 | 精装 | 低楼层(共18层)  | 板楼,0人关注 / 一年前发布,206,"14,966元/平"
三朝南 出现方便 精装修  拎包入住,飞龙湖畔 -桐屿,3室2厅 | 123平米 | 南 | 精装 | 低楼层(共20层)  | 暂无数据,0人关注 / 1个月以前发布,152.8,"12,423元/平"
和平家园 范围配套设齐全  生活便利,和平家园 -市府,2室1厅 | 80.28平米 | 南 | 精装 | 中楼层(共6层)  | 板塔结合,18人关注 / 一年前发布,136.8,"17,041元/平"
湖景国际高层精装修 带车位 利用率高 看房方便,湖景国际 -大洋,3室2厅 | 122平米 | 南 | 精装 | 中楼层(共33层)  | 暂无数据,1人关注 / 3个月以前发布,255,"20,902元/平"
星光耀 好楼层 视野开阔 采光充足 开元物业,星光耀 -路北,3室1厅 | 143平米 | 南 | 毛坯 | 低楼层(共27层)  | 板塔结合,0人关注 / 2个月以前发布,214.5,"15,000元/平"
房东诚心卖 价 好谈  精装视野好,万科城东苑 -洪家,3室2厅 | 89平米 | 南 | 其他 | 低楼层(共23层)  | 暂无数据,2人关注 / 8个月以前发布,156,"17,529元/平"
简单装修 边套 朝南户型，楼层好，视野开阔,星辰嘉苑 -洪家,3室2厅 | 98平米 | 南 | 简装 | 中楼层(共15层)  | 塔楼,0人关注 / 1个月以前发布,119.8,"12,225元/平"
全新精装修，拧包入住 采光透亮出行方便 房东诚心出售,万科城东苑 -洪家,4室2厅 | 123.31平米 | 南 北 | 精装 | 高楼层(共24层)  | 板塔结合,1人关注 / 1个月以前发布,200,"16,220元/平"
海尚望府 3室2厅1厨2卫101平米楼层好,海尚望府 -洪家,3室2厅 | 101.08平米 | 南 | 毛坯 | 中楼层(共26层)  | 塔楼,5人关注 / 8个月以前发布,189.8,"18,778元/平"
湖景国际电梯房采光好精装修 3室.灵湖边 利用率高,湖景国际 -大洋,3室2厅 | 82平米 | 南 | 简装 | 低楼层(共27层)  | 暂无数据,3人关注 / 2个月以前发布,179.8,"21,927元/平"
环境清静，户型方正，居住舒适的不二选择,方远·天辰誉府 -机场北路,3室2厅 | 100平米 | 南 | 毛坯 | 低楼层(共20层)  | 板楼,0人关注 / 5个月以前发布,200,"20,000元/平"
全新精装修，采光透亮，出行方便，银泰商圈购物方便,万科城东苑 -洪家,3室2厅 | 98平米 | 南 | 精装 | 高楼层(共24层)  | 板塔结合,1人关注 / 3个月以前发布,176,"17,960元/平"
好楼层好楼栋。大小区，配套齐全。采光很好,云樾观岭 -温岭市,3室1厅 | 90平米 | 南 | 毛坯 | 高楼层(共26层)  | 暂无数据,0人关注 / 2个月以前发布,180,"20,000元/平"
西溪山庄御景园精装3室2厅1厨2卫,西溪山庄御景园 -温岭市,3室2厅 | 143.9平米 | 南 | 精装 | 中楼层(共33层)  | 板塔结合,1人关注 / 3个月以前发布,272,"18,903元/平"
广厦新村小区   采光好 中层自住装 房东急售,广厦新村 -机场北路,3室1厅 | 100平米 | 南 | 精装 | 高楼层(共7层)  | 板楼,0人关注 / 8个月以前发布,111.8,"11,180元/平"
精装 采光透亮，出行方便，银泰商圈购物便利,万科城东苑 -洪家,3室2厅 | 89平米 | 南 北 | 精装 | 低楼层(共25层)  | 板楼,1人关注 / 1个月以前发布,158,"17,753元/平"
该房视野宽阔，采光充足，交通便利,轮渡路 -轮渡路,2室1厅 | 66.86平米 | 南 北 | 简装 | 高楼层(共5层)  | 板塔结合,3人关注 / 6个月以前发布,72,"10,769元/平"
三室二厅二卫 视野开阔 采光充足 配套设施齐全,乐湖雅苑 -桐屿,3室2厅 | 120平米 | 南 | 精装 | 中楼层(共27层)  | 板塔结合,2人关注 / 2个月以前发布,138.8,"11,567元/平"
此房南朝向格局，采光通风好，生活便利,花园新村(椒江区) -轮渡路,3室1厅 | 77平米 | 南 | 简装 | 低楼层(共6层)  | 暂无数据,5人关注 / 7个月以前发布,93,"12,078元/平"
新小区，出行方便，近医院近轻轨，房子方正，采光充足,高桥章嘉苑 -桐屿,3室2厅 | 120平米 | 南 | 毛坯 | 中楼层(共26层)  | 暂无数据,2人关注 / 6个月以前发布,115,"9,584元/平"
双水名苑3室2厅1厨2卫 户型方正户型采光通透,双水名苑 -路北,3室2厅 | 121.5平米 | 南 | 简装 | 高楼层(共11层)  | 板楼,3人关注 / 2个月以前发布,132,"10,865元/平"
置信原墅两室小套，房东诚心出售，价格可谈，三朝南。,置信原墅 -温岭市,2室2厅 | 73.63平米 | 南 | 毛坯 | 低楼层(共24层)  | 板楼,0人关注 / 1个月以前发布,136,"18,471元/平"
景元西苑 ，精装小两室，总价低，满两年，户型方正,景元西苑 -机场北路,2室1厅 | 67平米 | 北 | 精装 | 中楼层(共22层)  | 板塔结合,0人关注 / 1个月以前发布,116,"17,314元/平"
精装修好房自住2年内的装修 大小区绿化好楼层好,西溪山庄九龙园 -温岭市,3室2厅 | 90平米 | 南 北 | 精装 | 高楼层(共32层)  | 板塔结合,0人关注 / 3个月以前发布,205,"22,778元/平"
金地中诚广场  房东火，急出售   高楼层  随时看房,金地·中城广场 -机场北路,3室2厅 | 108平米 | 南 | 毛坯 | 中楼层(共25层)  | 板楼,2人关注 / 7个月以前发布,192,"17,778元/平"
简欧精装  自住保养 收纳足 急售 拎包入住 品质之选,天天财富公馆 -市府,2室2厅 | 58.97平米 | 西 | 精装 | 中楼层(共30层)  | 板楼,19人关注 / 10个月以前发布,127.5,"21,622元/平"
房子结构好，采光好无遮挡，精装修，看房方便,万科城南苑 -洪家,3室1厅 | 98.67平米 | 南 | 精装 | 低楼层(共25层)  | 板楼,1人关注 / 1个月以前发布,160,"16,216元/平"
房户型好楼层好视野采光很好生活配套成熟,巾山园 -老城区,3室1厅 | 67.8平米 | 南 | 毛坯 | 中楼层(共6层)  | 暂无数据,0人关注 / 1个月以前发布,89.8,"13,245元/平"
一江两岸观江苑高层房东急售仅卖208万好位置,观江苑 -轮渡路,3室2厅 | 130平米 | 南 | 毛坯 | 中楼层(共24层)  | 暂无数据,0人关注 / 2个月以前发布,208,"16,000元/平"
高桥章嘉苑 3室1厅 南,高桥章嘉苑 -桐屿,3室1厅 | 120.1平米 | 南 | 精装 | 中楼层(共26层)  | 暂无数据,0人关注 / 2个月以前发布,148,"12,324元/平"
城市之光小区 2室1厅 北,城市之光小区 -机场北路,2室1厅 | 40平米 | 北 | 精装 | 低楼层(共11层)  | 板楼,8人关注 / 8个月以前发布,72.8,"18,200元/平"
低层。采光无遮挡。全明户型。视野开阔。,金域华府 -东平路,3室2厅 | 119平米 | 南 | 毛坯 | 中楼层(共18层)  | 板楼,0人关注 / 2个月以前发布,265.8,"22,337元/平"
