标题,开发商,房子信息,发布信息,售价/万,单价
金属材料公司家属院，精装好房，配套齐全,金属材料公司家属院 -驿城区,3室2厅 | 125.02平米 | 南 | 精装 | 高楼层(共6层)  | 暂无数据,0人关注 / 30天以前发布,46,"3,680元/平"
东区实小旁 碧桂园 带车位  精装修 有证可按揭,驿城碧桂园 -驿城区,3室1厅 | 119平米 | 南 北 | 精装 | 27层  | 塔楼,0人关注 / 18天以前发布,68,"5,715元/平"
此房精装修，拎包入住，方便看房，位置便利，环境优美,香水湾 -驿城区,3室2厅 | 96平米 | 南 | 精装 | 低楼层(共32层)  | 板楼,0人关注 / 24天以前发布,66,"6,875元/平"
精装未入住，领包入住，家具家电齐全,西班牙小镇二期 -驿城区,3室2厅 | 89.72平米 | 西 | 精装 | 33层  | 塔楼,0人关注 / 17天以前发布,69.8,"7,780元/平"
通厅通透三室两厅，双气，带车位，中间楼层视野好,惠邦联盟新城 -驿城区,3室2厅 | 138平米 | 南 | 毛坯 | 33层  | 塔楼,0人关注 / 24天以前发布,95,"6,885元/平"
雪松路惠邦联盟新城，精装3室2厅2卫，通厅通透采光好,惠邦联盟新城 -驿城区,3室2厅 | 124.51平米 | 南 | 精装 | 33层  | 塔楼,0人关注 / 19天以前发布,96,"7,711元/平"
双气，全天采光，精装修，带全屋家具家电，没怎么住过,蓝天壹品 -驿城区,3室2厅 | 136.46平米 | 南 北 | 精装 | 高楼层(共28层)  | 塔楼,0人关注 / 2个月以前发布,99.66,"7,304元/平"
精装修 格局合理 价位可谈 交通方便 森林公园观景洋房,福華御苑A区 -驿城区,2室2厅 | 81.46平米 | 西 | 精装 | 中楼层(共21层)  | 板楼,1人关注 / 2个月以前发布,38.5,"4,727元/平"
房子方正，小区环境好，双气，停车方便,龙源新城 -驿城区,2室2厅 | 103平米 | 南 北 | 精装 | 高楼层(共6层)  | 板塔结合,0人关注 / 2个月以前发布,45,"4,369元/平"
天中国际 3室2厅 南,天中国际 -驿城区,3室2厅 | 114平米 | 南 | 毛坯 | 中楼层(共33层)  | 塔楼,0人关注 / 3天以前发布,72,"6,316元/平"
民生美庐印象 3室1厅 南 北,民生美庐印象 -驿城区,3室1厅 | 94.97平米 | 南 北 | 毛坯 | 26层  | 板楼,1人关注 / 7天以前发布,50.5,"5,318元/平"
老证，精装，带大平台，带阁楼 。,金尚•帝景蓝湾 -驿城区,3室2厅 | 136.96平米 | 南 | 精装 | 18层  | 板楼,0人关注 / 15天以前发布,85,"6,207元/平"
体育场西班牙小镇二期.精装修.有证可按揭此房格局好,西班牙小镇二期 -驿城区,3室2厅 | 90.03平米 | 西 | 精装 | 33层  | 塔楼,0人关注 / 3个月以前发布,59,"6,554元/平"
西湖庄园 3室2厅 南,西湖庄园 -驿城区,3室2厅 | 129.8平米 | 南 | 毛坯 | 低楼层(共26层)  | 板楼,0人关注 / 2天以前发布,85,"6,549元/平"
同信世博院 3室2厅 南 北,同信世博院 -驿城区,3室2厅 | 127平米 | 南 北 | 毛坯 | 高楼层(共24层)  | 板楼,0人关注 / 11天以前发布,55,"4,331元/平"
此房户型好 户型好 三房两厅两卫,民生美庐印象 -驿城区,3室2厅 | 94.98平米 | 南 | 精装 | 26层  | 板楼,0人关注 / 8天以前发布,59.8,"6,297元/平"
全天采光，复式房，家具家电齐全。,明珠港湾 -驿城区,5室2厅 | 196.35平米 | 南 北 | 精装 | 高楼层(共6层)  | 板楼,0人关注 / 1个月以前发布,104,"5,297元/平"
置地百盛园 3室2厅 南,置地百盛园 -驿城区,3室2厅 | 138.96平米 | 南 | 精装 | 26层  | 板楼,0人关注 / 7天以前发布,105,"7,557元/平"
天地惠城东区 3室2厅 南,天地惠城东区 -驿城区,3室2厅 | 139.43平米 | 南 | 毛坯 | 中楼层(共33层)  | 板塔结合,0人关注 / 9天以前发布,70.8,"5,078元/平"
全天采光，环境舒适。小区内人车分流,蓝天尚品 -驿城区,3室2厅 | 139平米 | 南 | 毛坯 | 中楼层(共32层)  | 塔楼,0人关注 / 11天以前发布,72,"5,180元/平"
天地恵城西区 公务员小区 次顶层 采光刺眼。,天地惠城西区 -驿城区,3室2厅 | 137.86平米 | 西 | 毛坯 | 高楼层(共33层)  | 板楼,0人关注 / 8天以前发布,60,"4,353元/平"
天地惠城西区位于慎阳路与乐山路交叉口,天地惠城西区 -驿城区,3室2厅 | 134平米 | 南 北 | 毛坯 | 中楼层(共24层)  | 板楼,0人关注 / 12天以前发布,69.9,"5,217元/平"
建业十八城 3室2厅 南 北,建业十八城 -驿城区,3室2厅 | 123平米 | 南 北 | 毛坯 | 低楼层(共32层)  | 板楼,1人关注 / 11天以前发布,88,"7,155元/平"
房东诚心出售，寻求有缘新房主，随时看房,老市委家属院 -驿城区,2室1厅 | 50.96平米 | 南 | 简装 | 中楼层(共5层)  | 板塔结合,0人关注 / 1个月以前发布,31,"6,084元/平"
西班牙二期洋房 南北通透 业主诚心出售 老证,西班牙小镇二期 -驿城区,3室2厅 | 146.57平米 | 南 北 | 毛坯 | 9层  | 塔楼,8人关注 / 8个月以前发布,98.5,"6,721元/平"
格局好， 大阳台采光，视野开阔，配套设施齐全。,惠邦联盟新城 -驿城区,4室2厅 | 163.4平米 | 南 | 毛坯 | 33层  | 塔楼,0人关注 / 1个月以前发布,103,"6,304元/平"
第五大道前排 全天无遮挡  拎包入住 上学方便,天中第五大道 -驿城区,3室2厅 | 131.21平米 | 北 | 简装 | 低楼层(共22层)  | 板楼,4人关注 / 一年前发布,92,"7,012元/平"
恒大 双气园林社区 带地暖 通透 精装修 没住人,驻马店恒大名都 -驿城区,3室2厅 | 127.77平米 | 南 | 精装 | 33层  | 板楼,2人关注 / 一年前发布,93.2,"7,295元/平"
建业十八城四期，大阳台，有钥匙看房方便，建业物业,建业十八城四期 -驿城区,3室2厅 | 122.15平米 | 南 | 毛坯 | 低楼层(共33层)  | 板楼,6人关注 / 一年前发布,93,"7,614元/平"
金淮阳光花园·双···学····区·双气·带平台,金淮阳光花园 -驿城区,3室2厅 | 158.03平米 | 南 | 简装 | 中楼层(共5层)  | 板楼,3人关注 / 一年前发布,76,"4,810元/平"
户型方正，通厅通透，两卧朝南，公务员小区物业费低，,天地惠城西区 -驿城区,3室2厅 | 139平米 | 南 北 | 精装 | 低楼层(共33层)  | 板楼,0人关注 / 11天以前发布,75,"5,396元/平"
美域美家，电梯洋房，双气精装修，边户中间楼层。,美域美家 -驿城区,3室2厅 | 141.67平米 | 南 | 精装 | 中楼层(共8层)  | 塔楼,0人关注 / 11天以前发布,95,"6,706元/平"
天地惠城西区 3室2厅 南 北,天地惠城西区 -驿城区,3室2厅 | 135.1平米 | 南 北 | 精装 | 低楼层(共16层)  | 板楼,0人关注 / 13天以前发布,70,"5,182元/平"
美庐园. 电梯小三房 精装修.价格可议. 老证可按揭 .,民生天都星城北区 -驿城区,3室2厅 | 90.88平米 | 南 北 | 精装 | 高楼层(共18层)  | 板塔结合,2人关注 / 5个月以前发布,61.2,"6,735元/平"
恒大名都，三室两厅一卫，精装修，带全套家具家电,驻马店恒大名都 -驿城区,3室2厅 | 112.15平米 | 南 | 精装 | 33层  | 板塔结合,4人关注 / 3个月以前发布,79.8,"7,116元/平"
老证可按揭，带大平台，精装修双气，拎包入住,置地天中第一城西苑 -驿城区,2室2厅 | 108.07平米 | 南 北 | 精装 | 高楼层(共6层)  | 塔楼,0人关注 / 2个月以前发布,64.2,"5,941元/平"
此房户型设计合理，小区环境优美 顶楼复式出行方便,沪强风光城 -驿城区,4室2厅 | 92.34平米 | 南 | 精装 | 高楼层(共6层)  | 板塔结合,0人关注 / 3个月以前发布,60,"6,498元/平"
儿童公园旁，联运公司家属院，一楼半带平台,联运公司小区 -驿城区,3室2厅 | 140.78平米 | 南 | 精装 | 中楼层(共5层)  | 板塔结合,2人关注 / 5个月以前发布,57,"4,049元/平"
惠邦联盟新城.精装修.带车位.通厅通透.楼下幼儿园,惠邦联盟新城 -驿城区,3室2厅 | 118.96平米 | 南 | 精装 | 33层  | 塔楼,0人关注 / 4个月以前发布,90,"7,566元/平"
同信江屿洲3-2-1-1 98.00m²,同信江屿洲 -驿城区,3室2厅 | 98平米 | 南 | 毛坯 | 高楼层(共18层)  | 板楼,0人关注 / 18天以前发布,51,"5,205元/平"
天地惠城东区 3室2厅 南,天地惠城东区 -驿城区,3室2厅 | 135.8平米 | 南 | 毛坯 | 高楼层(共32层)  | 板塔结合,0人关注 / 16天以前发布,50,"3,682元/平"
急售，置地友谊花园 大3房，电梯洋房，毛坯，可 按 揭,置地友谊花园 -驿城区,3室2厅 | 103平米 | 南 | 毛坯 | 高楼层(共10层)  | 板塔结合,0人关注 / 18天以前发布,67.8,"6,583元/平"
地理位置优越空间布局合理基础设施完善，物业管理规范,西班牙小镇二期 -驿城区,2室2厅 | 72平米 | 南 西南 | 精装 | 33层  | 塔楼,0人关注 / 19天以前发布,46,"6,389元/平"
西园  4中世纪景苑  95平2室2厅  毛坯,世纪景苑 -驿城区,2室2厅 | 96平米 | 南 | 毛坯 | 高楼层(共27层)  | 板楼,0人关注 / 20天以前发布,77,"8,021元/平"
建业十八城，中间楼层电梯毛坯可直接装修，建业物业,建业十八城四期 -驿城区,3室2厅 | 138平米 | 南 北 | 毛坯 | 中楼层(共33层)  | 板楼,0人关注 / 26天以前发布,116,"8,406元/平"
美庐印象三室两厅两卫，好楼层户型南北通,民生美庐印象 -驿城区,3室2厅 | 126平米 | 南 | 毛坯 | 26层  | 板楼,0人关注 / 1个月以前发布,67.8,"5,381元/平"
东方花都 3室2厅 南,东方花都 -驿城区,3室2厅 | 130平米 | 南 | 毛坯 | 高楼层(共30层)  | 板楼,0人关注 / 28天以前发布,72.8,"5,600元/平"
惠邦联盟新城 3室2厅 南,惠邦联盟新城 -驿城区,3室2厅 | 135平米 | 南 | 毛坯 | 33层  | 塔楼,0人关注 / 28天以前发布,88,"6,519元/平"
天地惠城位于慎阳路与乐山路交叉口,天地惠城西区 -驿城区,3室2厅 | 134.55平米 | 南 北 | 毛坯 | 中楼层(共24层)  | 板楼,0人关注 / 16天以前发布,63.5,"4,720元/平"
天地惠城小区位于慎阳路与乐山大道交叉口,天地惠城东区 -驿城区,3室2厅 | 130.07平米 | 南 | 毛坯 | 中楼层(共32层)  | 板塔结合,0人关注 / 16天以前发布,68,"5,228元/平"
天地惠城位于慎阳路与乐山路交叉口,天地惠城东区 -驿城区,4室2厅 | 156.41平米 | 南 北 | 毛坯 | 中楼层(共24层)  | 板塔结合,0人关注 / 16天以前发布,72,"4,604元/平"
惠邦联盟新城精装修拎包入住，全天采光中间楼层南北通,惠邦联盟新城 -驿城区,2室2厅 | 88.86平米 | 南 | 精装 | 33层  | 塔楼,1人关注 / 4个月以前发布,65,"7,315元/平"
建业十八城  毛 坯 两房  90平,建业十八城 -驿城区,2室1厅 | 90.48平米 | 南 | 毛坯 | 低楼层(共33层)  | 板楼,0人关注 / 2个月以前发布,62.6,"6,919元/平"
天地惠城有证可以按揭。双气市政供暖，户型方正。,天地惠城西区 -驿城区,3室2厅 | 140平米 | 南 | 毛坯 | 中楼层(共33层)  | 板楼,0人关注 / 16天以前发布,66,"4,715元/平"
建业十八城 温馨两房 精装修 老证 19楼 中间楼 采光好,建业十八城 -驿城区,2室2厅 | 85平米 | 南 | 简装 | 中楼层(共32层)  | 板塔结合,0人关注 / 17天以前发布,63.8,"7,506元/平"
惠邦联盟新城，3室2厅2卫，错厅设计，采光充足可按揭,惠邦联盟新城 -驿城区,3室2厅 | 134.46平米 | 南 | 毛坯 | 33层  | 塔楼,0人关注 / 1个月以前发布,86,"6,396元/平"
幸福小区，金雀路上，八中一 小，购物方便出行便利,幸福小区 -驿城区,3室2厅 | 131.56平米 | 南 | 精装 | 6层  | 板楼,14人关注 / 一年前发布,56.8,"4,318元/平"
驻马店恒大名都 3室2厅 南 北,驻马店恒大名都 -驿城区,3室2厅 | 130.05平米 | 南 北 | 精装 | 33层  | 板楼,0人关注 / 2个月以前发布,93,"7,152元/平"
建业十八城毛坯大三房，老证，业主急售,建业十八城 -驿城区,3室2厅 | 138.45平米 | 南 | 毛坯 | 中楼层(共33层)  | 板楼,4人关注 / 11个月以前发布,95,"6,862元/平"
步梯二楼，停车方便，交通便利 双卧朝南户型,驿城新村 -驿城区,3室1厅 | 89.9平米 | 南 北 | 简装 | 中楼层(共5层)  | 板楼,2人关注 / 1个月以前发布,39,"4,339元/平"
新天城市花园，精装未住，电梯高层，南北通透全天采光,新天城市花园 -驿城区,3室2厅 | 123.92平米 | 南 北 | 精装 | 高楼层(共26层)  | 塔楼,0人关注 / 21天以前发布,78.5,"6,335元/平"
南北户型，全天采光充足，格局方正客厅带阳台，通风好,天地惠城东区 -驿城区,3室2厅 | 135平米 | 南 | 毛坯 | 高楼层(共29层)  | 板塔结合,0人关注 / 7天以前发布,70,"5,186元/平"
天地惠城  三房纯南户型 双气市政供暖，绿化好,天地惠城东区 -驿城区,3室2厅 | 135平米 | 南 | 毛坯 | 高楼层(共33层)  | 板塔结合,0人关注 / 15天以前发布,53.5,"3,963元/平"
蓝天壹品3-2-1-1 126.,蓝天壹品 -驿城区,3室2厅 | 125.37平米 | 西 | 精装 | 高楼层(共33层)  | 塔楼,3人关注 / 2个月以前发布,72.8,"5,807元/平"
建业十八城四期 3室2厅 南,建业十八城四期 -驿城区,3室2厅 | 110平米 | 南 | 精装 | 低楼层(共33层)  | 板楼,0人关注 / 12天以前发布,85,"7,728元/平"
小区环境优美，视野开阔带大露台，配套设施齐全,顺景国际小区 -驿城区,3室2厅 | 116.76平米 | 南 | 精装 | 18层  | 板楼,0人关注 / 3个月以前发布,65,"5,567元/平"
小区位于乐山大道交通达路南角，适合居住,东申凤凰城 -驿城区,3室2厅 | 139.46平米 | 西 | 精装 | 中楼层(共33层)  | 板楼,0人关注 / 12天以前发布,130,"9,322元/平"
龙湾世家 3室2厅 南,龙湾世家 -驿城区,3室2厅 | 123平米 | 南 | 其他 | 26层  | 板楼,0人关注 / 7天以前发布,110,"8,944元/平"
市畜牧局家属院 3室2厅 南 北,市畜牧局家属院 -驿城区,3室2厅 | 148.41平米 | 南 北 | 毛坯 | 18层  | 板楼,0人关注 / 7天以前发布,88,"5,930元/平"
市政府旁电梯洋房精装修一梯两户楼层好采光充足,CBD爱克·首府 -驿城区,3室2厅 | 126.82平米 | 东 南 | 精装 | 中楼层(共11层)  | 板塔结合,1人关注 / 1个月以前发布,88,"6,939元/平"
生活方便，旁边有幼儿园，交通便利，购物便捷。,名门蓝钻小区 -驿城区,3室2厅 | 131.04平米 | 南 | 精装 | 6层  | 塔楼,0人关注 / 11天以前发布,75,"5,724元/平"
中盛立方城精装修复式三房，满五唯一，过户便宜,中盛立方城 -驿城区,3室2厅 | 111.24平米 | 东南 | 精装 | 低楼层(共25层)  | 塔楼,0人关注 / 13天以前发布,66.6,"5,988元/平"
电梯洋房 八、九复式 带60平左右阳光房 带大平台,美域美家 -驿城区,5室2厅 | 187.59平米 | 南 | 简装 | 高楼层(共8层)  | 塔楼,8人关注 / 5个月以前发布,140,"7,464元/平"
急售 急售 小区停车方便 全天采光无遮挡,老市委家属院 -驿城区,2室1厅 | 57平米 | 南 | 简装 | 高楼层(共5层)  | 板塔结合,0人关注 / 8天以前发布,25,"4,386元/平"
小区洋房区，绿化覆盖高，一梯两户，居住安静，带露台,美域美家 -驿城区,4室3厅 | 187.64平米 | 南 | 精装 | 高楼层(共8层)  | 塔楼,0人关注 / 1个月以前发布,158,"8,421元/平"
世纪广场，颐园花园装修两房，老证，看房方便。,颐苑花园 -驿城区,2室2厅 | 68.9平米 | 南 | 简装 | 高楼层(共6层)  | 板楼,7人关注 / 一年前发布,28.8,"4,180元/平"
纱厂社区 2室2厅 南,纱厂社区 -驿城区,2室2厅 | 80平米 | 南 | 简装 | 7层  | 板楼,0人关注 / 11天以前发布,30,"3,750元/平"
23小 对 面 名 门 蓝钻 一楼带院70平,名门蓝钻小区 -驿城区,3室2厅 | 134.68平米 | 南 | 精装 | 7层  | 塔楼,8人关注 / 一年前发布,99,"7,351元/平"
户型方正，采光好，交通便利，生活便利,民生天都星城北区 -驿城区,3室2厅 | 94.49平米 | 南 | 精装 | 高楼层(共6层)  | 板楼,5人关注 / 8个月以前发布,56,"5,927元/平"
小区位于正阳路与友谊路电梯洋房，带车位，储藏室,置地友谊花园 -驿城区,3室2厅 | 102.13平米 | 东南 | 毛坯 | 高楼层(共10层)  | 板塔结合,0人关注 / 2个月以前发布,65.8,"6,443元/平"
惠邦联盟新城 3室2厅 南,惠邦联盟新城 -驿城区,3室2厅 | 137平米 | 南 | 精装 | 33层  | 塔楼,0人关注 / 2个月以前发布,102,"7,446元/平"
天都星城南区莱茵湖 电梯房 毛坯 温馨两房有证可按揭,民生 · 天都星城南区 -驿城区,2室2厅 | 89.62平米 | 南 | 毛坯 | 高楼层(共11层)  | 板楼,0人关注 / 一年前发布,52.5,"5,859元/平"
环境优美，物业管理好，精装，户型方正交通便利,碧桂园清月湾 -驿城区,3室2厅 | 115.26平米 | 东 | 简装 | 中楼层(共26层)  | 塔楼,0人关注 / 4个月以前发布,88,"7,635元/平"
精装修带家具，老证有按揭，边 户，双气，双卫,锦桂苑 -驿城区,3室2厅 | 127平米 | 南 | 精装 | 中楼层(共26层)  | 板塔结合,1人关注 / 1个月以前发布,84.8,"6,678元/平"
同信品质，小区双气社区，入住舒适.适合宜居.,同信滨江1号 -驿城区,3室2厅 | 105平米 | 南 | 精装 | 中楼层(共18层)  | 塔楼,4人关注 / 3个月以前发布,79,"7,524元/平"
通达小区 满五唯一过户便宜 有车库另售 双气 精装修,通达小区 -驿城区,3室2厅 | 148平米 | 南 北 | 精装 | 中楼层(共6层)  | 板楼,1人关注 / 3个月以前发布,146,"9,865元/平"
置地大盘 中间楼层 简单装修 三室两厅两卫,置地广场南苑一期 -驿城区,3室2厅 | 135.52平米 | 南 | 简装 | 中楼层(共6层)  | 板塔结合,1人关注 / 3个月以前发布,70,"5,166元/平"
新天城市花园  三室二厅两卫  毛坯  有车库有配房,新天城市花园 -驿城区,3室2厅 | 133.4平米 | 南 | 毛坯 | 中楼层(共7层)  | 板楼,0人关注 / 1个月以前发布,68,"5,098元/平"
交通便利 环境优美 建业品牌 建业物业,建业城 -驿城区,3室2厅 | 144平米 | 南 | 毛坯 | 高楼层(共20层)  | 板楼,2人关注 / 4个月以前发布,115,"7,987元/平"
精装大三房诚心出售   配套齐全   看房方便,东方花都 -驿城区,3室2厅 | 126平米 | 西 | 精装 | 低楼层(共30层)  | 塔楼,4人关注 / 3个月以前发布,84,"6,667元/平"
天腾盛世，三室一厅一卫，简装，看房方便,天腾盛世 -驿城区,3室1厅 | 94.08平米 | 南 | 简装 | 低楼层(共6层)  | 板楼,0人关注 / 1个月以前发布,60,"6,378元/平"
上海滩花园3-2-1-1 108.74m²,上海滩花园 -驿城区,3室2厅 | 108.74平米 | 南 北 | 精装 | 中楼层(共33层)  | 板楼,1人关注 / 3个月以前发布,65,"5,978元/平"
公园旁 金属材料公司家属院 三室两厅一卫 拎包即住,金属材料公司家属院 -驿城区,3室2厅 | 125.01平米 | 南 | 简装 | 高楼层(共6层)  | 暂无数据,5人关注 / 5个月以前发布,32,"2,560元/平"
上海滩花园 3室2厅 南 北,上海滩花园 -驿城区,3室2厅 | 113.74平米 | 南 北 | 简装 | 高楼层(共31层)  | 塔楼,1人关注 / 2个月以前发布,60.6,"5,328元/平"
金麟小区 3室2厅 南,金麟小区 -驿城区,3室2厅 | 135平米 | 南 | 精装 | 低楼层(共6层)  | 板楼,0人关注 / 1个月以前发布,67.5,"5,000元/平"
立方城，精装四房，未入住，看房有钥匙，,中盛立方城 -驿城区,4室2厅 | 161.36平米 | 南 | 精装 | 高楼层(共25层)  | 塔楼,1人关注 / 1个月以前发布,109,"6,756元/平"
中盛立方城 3室2厅 南,中盛立方城 -驿城区,3室2厅 | 117平米 | 南 | 精装 | 低楼层(共34层)  | 塔楼,1人关注 / 1个月以前发布,69.8,"5,966元/平"
房子一楼带活院养老专用房，老证通厅大两房，停车方便,驿城新村 -驿城区,2室1厅 | 57.49平米 | 南 | 简装 | 低楼层(共5层)  | 板楼,2人关注 / 1个月以前发布,37,"6,436元/平"
金域水岸 全新精装带家具家电 3-2-2 买洋房住着爽,金域水岸 -驿城区,3室2厅 | 138平米 | 南 | 精装 | 6层  | 板楼,1人关注 / 3个月以前发布,89,"6,450元/平"
开源湖公园、高铁站，黄淮学院、地高、大型chao市,建业十八城 -驿城区,3室2厅 | 136平米 | 南 | 精装 | 中楼层(共33层)  | 板楼,3人关注 / 4个月以前发布,93,"6,839元/平"
户型可以，南。北。通。透，环境优美 ，，,金尚•帝景蓝湾 -驿城区,3室2厅 | 142.75平米 | 南 | 毛坯 | 高楼层(共18层)  | 板塔结合,5人关注 / 2个月以前发布,64.6,"4,526元/平"
精装修，拎包入住，有证可按揭，中间楼层,锦桂苑 -驿城区,3室2厅 | 128平米 | 南 | 精装 | 中楼层(共26层)  | 塔楼,1人关注 / 1个月以前发布,79.8,"6,235元/平"
建业楼盘，品质社区，建业物业，绿化好，位置优越,驻马店建业森林半岛 -驿城区,3室2厅 | 132.55平米 | 南 北 | 精装 | 低楼层(共6层)  | 板楼,0人关注 / 3个月以前发布,89,"6,715元/平"
新天城市花园 步梯洋房 2楼 全新精装未入住 有证,新天城市花园 -驿城区,3室2厅 | 114.78平米 | 南 | 精装 | 中楼层(共7层)  | 板楼,0人关注 / 1个月以前发布,72.8,"6,343元/平"
