标题,开发商,房子信息,发布信息,售价/万,单价
龙湖澜岸小区三室两厅两卫，户型方正，适合居住,龙湖澜岸 -华龙区,3室2厅 | 126.36平米 | 南 北 | 毛坯 | 高楼层(共26层)  | 板塔结合,0人关注 / 1个月以前发布,77,"6,094元/平"
小区位置优越，交通方便，生活便利,盛世佳园A区 -清丰县,2室1厅 | 80.09平米 | 南 | 简装 | 低楼层(共11层)  | 暂无数据,0人关注 / 3个月以前发布,36,"4,495元/平"
师苑小区 收付五万 买三室 看房方便,师苑小区 -华龙区,3室1厅 | 73.66平米 | 南 北 | 简装 | 高楼层(共5层)  | 板楼,1人关注 / 6个月以前发布,39,"5,295元/平"
河东小区 两室一厅 三楼方便出行 户型方正,河东小区 -华龙区,2室1厅 | 60.09平米 | 南 北 | 简装 | 低楼层(共3层)  | 暂无数据,1人关注 / 一年前发布,72,"11,983元/平"
行  政  南小区宣房街2楼   四室南北通  方便上学,宣房街 -华龙区,4室2厅 | 107.13平米 | 南 | 简装 | 低楼层(共6层)  | 暂无数据,5人关注 / 8个月以前发布,119,"11,108元/平"
生活便利 配套齐全 户型方正 诚意出售,物华假日一期 -华龙区,3室2厅 | 106.61平米 | 南 北 | 简装 | 中楼层(共6层)  | 暂无数据,0人关注 / 3个月以前发布,80.5,"7,551元/平"
小高层 中间楼层南北通透 东边户,丽景上品上品坊 -华龙区,3室2厅 | 131平米 | 南 北 | 精装 | 中楼层(共18层)  | 暂无数据,0人关注 / 2个月以前发布,95,"7,252元/平"
此房带装修，装修风格简单温馨，您可以选择直接拎包入,添运小区(南海路) -华龙区,3室2厅 | 88.29平米 | 东南 | 简装 | 高楼层(共6层)  | 暂无数据,1人关注 / 30天以前发布,70,"7,929元/平"
学府世家步梯三楼小区环境好！大三室精装修不临街，。,学府世家 -华龙区,3室2厅 | 123平米 | 西 | 精装 | 中楼层(共6层)  | 板塔结合,0人关注 / 16天以前发布,115,"9,350元/平"
濮阳市木材公司家属院 2室1厅 南 北,濮阳市木材公司家属院 -华龙区,2室1厅 | 68.45平米 | 南 北 | 精装 | 高楼层(共5层)  | 暂无数据,0人关注 / 7天以前发布,50,"7,305元/平"
中堂观邸房子满五有证 三室两厅两卫,中堂观邸 -濮阳县,3室2厅 | 120平米 | 东 | 简装 | 高楼层(共17层)  | 暂无数据,0人关注 / 11天以前发布,59,"4,917元/平"
景观城壹号 精装修五室未入住 有院子有车位,景观城壹号 -濮阳县,5室3厅 | 116.78平米 | 南 | 其他 | 低楼层(共6层)  | 暂无数据,1人关注 / 1个月以前发布,130,"11,133元/平"
惠源小区 3室2厅 南 北,惠源小区 -华龙区,3室2厅 | 129平米 | 南 北 | 精装 | 高楼层(共6层)  | 暂无数据,0人关注 / 27天以前发布,75,"5,814元/平"
锦绣桃花源三室两厅一卫，小区环境优美，合适居住,锦绣桃花源 -濮阳县,3室2厅 | 112.86平米 | 东南 | 毛坯 | 低楼层(共18层)  | 暂无数据,0人关注 / 27天以前发布,60,"5,317元/平"
华清文苑一期三室两厅南北双阳台户型方正随时能看房,华清文苑一期 -华龙区,3室2厅 | 126.96平米 | 南 | 其他 | 高楼层(共6层)  | 暂无数据,3人关注 / 5个月以前发布,86,"6,774元/平"
建业桂园精装三室两厅一卫，交通便利，小区环境干净,建业桂园 -华龙区,3室2厅 | 138.02平米 | 南 北 | 其他 | 中楼层(共26层)  | 板楼,3人关注 / 7个月以前发布,109,"7,898元/平"
河东小区 3室 让孩子不输在教育起跑线上的好房源,河东小区 -华龙区,3室1厅 | 73.66平米 | 南 北 | 精装 | 中楼层(共4层)  | 板楼,0人关注 / 2个月以前发布,81,"10,997元/平"
鑫海花园小区，高楼层，视野宽阔采光充足，交通便利。,鑫海花园 -华龙区,2室2厅 | 98.31平米 | 南 北 | 精装 | 高楼层(共6层)  | 塔楼,0人关注 / 7个月以前发布,63.8,"6,490元/平"
此房满五唯一，电梯房三室两厅两卫，停车方便濮东新区,兴龙湾三期 -华龙区,3室2厅 | 135.4平米 | 南 | 其他 | 低楼层(共26层)  | 暂无数据,0人关注 / 1个月以前发布,75,"5,540元/平"
荣域珑府 电梯洋房 一梯两户总高7层,荣域·瓏府 -濮阳县,3室2厅 | 136.62平米 | 南 | 简装 | 高楼层(共7层)  | 暂无数据,0人关注 / 1个月以前发布,105,"7,686元/平"
户型方正，小区绿化好，带大平台，满五唯一,丽景上品上品坊 -华龙区,3室2厅 | 135平米 | 南 | 精装 | 低楼层(共18层)  | 暂无数据,0人关注 / 24天以前发布,103,"7,630元/平"
中原乙烯生活区 精装修 2室客厅朝阳户型 拎包住,中原乙烯生活区 -华龙区,3室1厅 | 81.33平米 | 南 北 | 其他 | 中楼层(共6层)  | 暂无数据,0人关注 / 31天以前发布,70,"8,607元/平"
瑞璞紫景園 4室1厅 南,瑞璞紫景園 -华龙区,4室1厅 | 161.77平米 | 南 | 其他 | 低楼层(共17层)  | 板楼,0人关注 / 31天以前发布,125,"7,728元/平"
添运小区精装修三室朝阳的好户型,添运小区(南海路) -华龙区,3室2厅 | 108平米 | 南 北 | 其他 | 高楼层(共6层)  | 暂无数据,4人关注 / 一年前发布,88.6,"8,204元/平"
四季果岭 交通便利 小区环境干净舒适 适合居住,四季果岭 -华龙区,3室2厅 | 114.87平米 | 南 北 | 其他 | 高楼层(共6层)  | 暂无数据,5人关注 / 7个月以前发布,76,"6,617元/平"
琴剑花园Dui 面 公路局家属院 一楼带院 满五唯一,公路局家属院 -华龙区,2室1厅 | 66平米 | 南 北 | 其他 | 低楼层(共5层)  | 暂无数据,1人关注 / 1个月以前发布,58,"8,788元/平"
中原油田登月新村 3室2厅 南 北,中原油田登月新村 -华龙区,3室2厅 | 80平米 | 南 北 | 其他 | 中楼层(共5层)  | 板楼,0人关注 / 15天以前发布,98,"12,250元/平"
四室两厅两卫的房子 住着比较宽敞不压抑,华府山水 -华龙区,4室2厅 | 143.84平米 | 南 北 | 其他 | 中楼层(共6层)  | 板楼,0人关注 / 15天以前发布,136,"9,455元/平"
子路小区 2室1厅 南 北,子路小区 -华龙区,2室1厅 | 56平米 | 南 北 | 简装 | 中楼层(共6层)  | 暂无数据,0人关注 / 3天以前发布,70,"12,500元/平"
崛起尚和府，66万，112.17平，3－2－1－2,崛起尚合府 -清丰县,3室1厅 | 112.17平米 | 南 | 毛坯 | 中楼层(共17层)  | 暂无数据,0人关注 / 1个月以前发布,66,"5,884元/平"
房子是2楼东边户两室一厅朝阳简单装修主要是均价低。,冶都中央公园 -清丰县,4室2厅 | 142.75平米 | 南 | 简装 | 低楼层(共18层)  | 暂无数据,0人关注 / 4个月以前发布,69,"4,834元/平"
温馨花园幸福里小区 7室4厅 西,温馨花园幸福里小区 -濮阳县,7室4厅 | 301平米 | 西 | 毛坯 | 中楼层(共4层)  | 暂无数据,0人关注 / 2个月以前发布,149,"4,951元/平"
理想城小区，三室两厅两卫，小区环境优美，适合居住,濮阳理想城 -华龙区,3室2厅 | 142.08平米 | 南 北 | 精装 | 低楼层(共26层)  | 板楼,1人关注 / 5个月以前发布,98,"6,898元/平"
户型方正，采光充足。拎包入住。小区位置可以,九天城 -华龙区,5室2厅 | 235.24平米 | 南 | 精装 | 低楼层(共6层)  | 暂无数据,2人关注 / 10个月以前发布,340,"14,454元/平"
宏亚小区独门院子，一个北院，一个南院,宏亚小区 -华龙区,5室4厅 | 277平米 | 南 北 | 简装 | 低楼层(共2层)  | 暂无数据,0人关注 / 4个月以前发布,288,"10,398元/平"
业主急卖，E座楼头，户型方正，位置优越,恒丰中央广场 -华龙区,2室1厅 | 66平米 | 北 | 精装 | 低楼层(共29层)  | 暂无数据,1人关注 / 31天以前发布,36,"5,455元/平"
非凡景致 四室两厅两卫 交通便利 适合居住,非凡景致小区 -华龙区,4室2厅 | 152.59平米 | 北 南 | 精装 | 中楼层(共16层)  | 暂无数据,1人关注 / 一年前发布,118,"7,734元/平"
龙昌苑 3室2厅 南 北,龙昌苑 -南乐县,3室2厅 | 131.17平米 | 南 北 | 精装 | 高楼层(共6层)  | 暂无数据,1人关注 / 2个月以前发布,59.8,"4,559元/平"
添运小区 三室两厅一卫 户型方正 公摊少 支持贷款,添运小区(南海路) -华龙区,3室2厅 | 104.15平米 | 南 北 | 简装 | 高楼层(共6层)  | 板楼,2人关注 / 7个月以前发布,72,"6,914元/平"
兴龙湾洋房，三室两厅两卫，30万的装修，带家具,兴龙湾一期 -华龙区,3室2厅 | 137平米 | 南 北 | 精装 | 中楼层(共5层)  | 板塔结合,3人关注 / 6个月以前发布,93,"6,789元/平"
户型好，采光充足，视野宽阔，房子干净,红旗小区 -濮阳县,3室2厅 | 128.8平米 | 东 | 简装 | 高楼层(共5层)  | 暂无数据,2人关注 / 7个月以前发布,49,"3,805元/平"
急售:九天城大社区，一二楼复式带车库，80平地下,九天城 -华龙区,5室2厅 | 278平米 | 南 北 | 毛坯 | 中楼层(共5层)  | 暂无数据,1人关注 / 11个月以前发布,475,"17,087元/平"
天元生活区 3室2厅 南,天元生活区 -华龙区,3室2厅 | 121.7平米 | 南 | 精装 | 高楼层(共6层)  | 暂无数据,0人关注 / 4个月以前发布,82,"6,738元/平"
两室两厅 中间楼层 适合居住 交通便利,阳光丁香园 -华龙区,2室2厅 | 91.1平米 | 南 北 | 毛坯 | 中楼层(共6层)  | 暂无数据,0人关注 / 一年前发布,73,"8,014元/平"
福谐花园四室两厅一厨一卫，交通便利，小区环境干净舒,福谐花园 -濮阳县,4室2厅 | 151.13平米 | 东北 | 毛坯 | 高楼层(共11层)  | 暂无数据,3人关注 / 8个月以前发布,64,"4,235元/平"
金馨小区三室两厅两卫！一梯三户的西户,金馨小区 -华龙区,3室2厅 | 135平米 | 南 北 | 简装 | 高楼层(共6层)  | 暂无数据,0人关注 / 3个月以前发布,83,"6,149元/平"
福谐花园  五室两厅一厨两卫 交通便利 小区环境好,福谐花园 -濮阳县,5室3厅 | 189.44平米 | 东 | 毛坯 | 高楼层(共11层)  | 暂无数据,3人关注 / 8个月以前发布,80,"4,223元/平"
庆丰小区两室两厅一卫，交通便利，小区环境干净舒适，,庆丰小区 -华龙区,2室2厅 | 90.15平米 | 南 | 简装 | 高楼层(共7层)  | 暂无数据,1人关注 / 一年前发布,75,"8,320元/平"
中堂府邸小区，三室二厅一厨一卫，交通便利，适合居住,中堂府邸 -濮阳县,3室2厅 | 111.57平米 | 东 | 简装 | 低楼层(共7层)  | 暂无数据,0人关注 / 3个月以前发布,55.8,"5,002元/平"
毛坯房户型漂亮随意装！三室两厅两卫,茗雅苑 -濮阳县,3室2厅 | 122.9平米 | 西 | 毛坯 | 高楼层(共6层)  | 暂无数据,4人关注 / 一年前发布,47,"3,825元/平"
南乐 花半里 3室2厅 东,南乐 花半里 -南乐县,3室2厅 | 132.67平米 | 东 | 毛坯 | 低楼层(共18层)  | 板楼,0人关注 / 3个月以前发布,73,"5,503元/平"
龙泰玺园 三室两厅 精装修 南北通透视野宽阔 带车位,龙泰·玺园 -华龙区,3室2厅 | 128平米 | 南 北 | 精装 | 高楼层(共27层)  | 板楼,3人关注 / 6个月以前发布,86,"6,719元/平"
新区春天东，东侧为水秀大剧院，步梯2楼，3室朝阳,乙烯农行小院 -华龙区,3室2厅 | 109平米 | 南 | 其他 | 低楼层(共6层)  | 暂无数据,1人关注 / 3个月以前发布,79,"7,248元/平"
龙都花园 4室3厅 南,龙都花园 -濮阳县,4室3厅 | 180平米 | 南 | 精装 | 高楼层(共18层)  | 暂无数据,0人关注 / 1个月以前发布,95,"5,278元/平"
运和天成，三室两厅一厨两卫！业主急售,运和天成 -华龙区,3室2厅 | 129.06平米 | 南 北 | 其他 | 高楼层(共26层)  | 暂无数据,0人关注 / 1个月以前发布,96,"7,439元/平"
龙溪地三室两厅一厨一卫，毛坯急售,龙溪地 -濮阳县,3室2厅 | 106.37平米 | 南 | 毛坯 | 中楼层(共6层)  | 暂无数据,1人关注 / 6个月以前发布,52,"4,889元/平"
二期现房，带车位。看房有钥匙，税费可协商,建业·世和府 -华龙区,4室2厅 | 162平米 | 南 北 | 毛坯 | 中楼层(共7层)  | 暂无数据,0人关注 / 2个月以前发布,210,"12,963元/平"
龙城国际东区 3室2厅 西,龙城国际东区 -华龙区,3室2厅 | 134平米 | 西 | 毛坯 | 高楼层(共26层)  | 暂无数据,0人关注 / 2个月以前发布,58,"4,329元/平"
昆吾小区 三室两厅一厨一卫 简单装修 支持贷款,昆吾小区 -华龙区,3室2厅 | 102平米 | 南 北 | 简装 | 高楼层(共6层)  | 暂无数据,13人关注 / 11个月以前发布,55,"5,393元/平"
荣域·瓏府 3室2厅 南,荣域·瓏府 -濮阳县,3室2厅 | 111.72平米 | 南 | 毛坯 | 低楼层(共27层)  | 暂无数据,0人关注 / 2个月以前发布,57,"5,103元/平"
纪检委家属院 四室  户型方正 环境幽静,纪检委家属院 -濮阳县,4室2厅 | 135平米 | 东 | 简装 | 低楼层(共5层)  | 暂无数据,0人关注 / 7个月以前发布,60,"4,445元/平"
冶都中央公园，70万，3－2－1－2，,冶都中央公园 -清丰县,3室2厅 | 124平米 | 南 北 | 精装 | 高楼层(共26层)  | 暂无数据,0人关注 / 5个月以前发布,66,"5,323元/平"
祥瑞家园 3室2厅 东,祥瑞家园 -南乐县,3室2厅 | 136.88平米 | 东 | 精装 | 高楼层(共12层)  | 暂无数据,0人关注 / 2个月以前发布,75,"5,480元/平"
花半里电梯洋房三室两厅支持带款,花半里二期 -华龙区,3室2厅 | 128.74平米 | 东 | 毛坯 | 中楼层(共8层)  | 暂无数据,0人关注 / 2个月以前发布,85,"6,603元/平"
越绣学府小区，交通方便，商/业配套成熟环境干净。,越绣学府 -华龙区,6室2厅 | 139平米 | 西 | 毛坯 | 高楼层(共18层)  | 暂无数据,0人关注 / 2个月以前发布,89,"6,403元/平"
丁香园小区。三室两厅，一厨一卫。,阳光丁香园 -华龙区,3室2厅 | 90平米 | 南 北 | 其他 | 高楼层(共6层)  | 暂无数据,1人关注 / 一年前发布,59,"6,556元/平"
劳动就业处家属院 3室1厅 南 北,劳动就业处家属院 -华龙区,3室1厅 | 86.33平米 | 南 北 | 其他 | 高楼层(共5层)  | 暂无数据,0人关注 / 2个月以前发布,51.5,"5,966元/平"
此小区是龙润华府三室两厅一厨两卫，小区环境干净舒适,龙润华府 -清丰县,3室2厅 | 128平米 | 南 北 | 毛坯 | 中楼层(共6层)  | 板塔结合,0人关注 / 3个月以前发布,59,"4,610元/平"
此房是康乐小区三室两卫一厨一卫，小区环境干净舒适。,康乐小区 -华龙区,3室2厅 | 86平米 | 南 北 | 简装 | 高楼层(共6层)  | 板楼,0人关注 / 5个月以前发布,82,"9,535元/平"
此房出行方便，户型方正，居住舒适，小区有幼儿园。,南江小区三期 -华龙区,4室2厅 | 211平米 | 南 北 | 精装 | 中楼层(共6层)  | 暂无数据,0人关注 / 11个月以前发布,142,"6,730元/平"
越绣花园小区，三室一厅，交通便利，小区环境干净舒适,越绣花园 -濮阳县,3室2厅 | 99.97平米 | 南 | 简装 | 高楼层(共19层)  | 暂无数据,0人关注 / 4个月以前发布,55,"5,502元/平"
华清御苑五室两厅一厨两卫精装修带家具家电,华清御园 -华龙区,5室2厅 | 160平米 | 南 北 | 其他 | 高楼层(共17层)  | 塔楼,0人关注 / 一年前发布,168,"10,500元/平"
此房属于毛坯房，三室两厅两卫，户型方正，布局合理，,物华国际城二期 -华龙区,3室2厅 | 113.03平米 | 南 北 | 毛坯 | 中楼层(共27层)  | 板楼,0人关注 / 2个月以前发布,85,"7,521元/平"
房子不是满五唯一，业主不支持贷款，想要全款，楼层好,温泉花园 -华龙区,3室2厅 | 121平米 | 南 | 简装 | 中楼层(共6层)  | 暂无数据,2人关注 / 一年前发布,70,"5,786元/平"
岳村乡家属院两室一厅一卫，交通便利，干净舒适适合居,岳村乡家属院 -华龙区,2室1厅 | 68.5平米 | 南 北 | 精装 | 低楼层(共6层)  | 暂无数据,0人关注 / 一年前发布,55,"8,030元/平"
九天城 精装修，看房有钥匙，带部分家具家电 带平台,九天城 -华龙区,3室2厅 | 115平米 | 南 北 | 精装 | 高楼层(共5层)  | 暂无数据,1人关注 / 8个月以前发布,118,"10,261元/平"
外高家属院 4室2厅 南 北,外高家属院 -华龙区,4室2厅 | 121.83平米 | 南 北 | 简装 | 中楼层(共6层)  | 暂无数据,0人关注 / 3个月以前发布,94,"7,716元/平"
交通便利，小区环境干净舒适，适合居住,城投花园 -濮阳县,3室2厅 | 135.18平米 | 南 | 毛坯 | 低楼层(共26层)  | 暂无数据,0人关注 / 1个月以前发布,64,"4,735元/平"
格瑞斯小镇 3室2厅 交通便利 环境干净舒适 适合居住,格瑞斯小镇 -濮阳县,3室2厅 | 110.15平米 | 南 | 毛坯 | 高楼层(共6层)  | 暂无数据,0人关注 / 4个月以前发布,48,"4,358元/平"
公园一品小三室简装支持低首付随时过户,公园一品 -濮阳县,3室1厅 | 96平米 | 南 | 简装 | 高楼层(共18层)  | 暂无数据,0人关注 / 2个月以前发布,50,"5,209元/平"
交通便利 小区环境干净舒适 适合居住,建业城1期 -濮阳县,4室2厅 | 159.85平米 | 西 | 其他 | 低楼层(共6层)  | 暂无数据,0人关注 / 3个月以前发布,120,"7,508元/平"
公园里 精装复式楼 四室两厅两卫 支持贷款,公园里 -华龙区,5室1厅 | 165平米 | 南 北 | 其他 | 高楼层(共18层)  | 暂无数据,0人关注 / 25天以前发布,108,"6,546元/平"
书香门第  3室2厅 2楼 户型方正,书香门地 -华龙区,3室2厅 | 110平米 | 南 北 | 其他 | 低楼层(共6层)  | 塔楼,0人关注 / 25天以前发布,97,"8,819元/平"
房子精装修，没办房产证，可以全款更名,荣域花果园小区 -华龙区,1室1厅 | 46平米 | 东 | 精装 | 高楼层(共26层)  | 暂无数据,0人关注 / 22天以前发布,27,"5,870元/平"
紫檀东花园，交通便利小区环境干净舒适适合居住,紫檀·東花園 -华龙区,4室2厅 | 240平米 | 南 北 | 毛坯 | 中楼层(共11层)  | 暂无数据,0人关注 / 2个月以前发布,176,"7,334元/平"
正大金域湾精装修西边户四室可贷款,金域湾 -华龙区,4室2厅 | 141平米 | 南 北 | 其他 | 高楼层(共30层)  | 暂无数据,0人关注 / 1个月以前发布,119,"8,440元/平"
枫林水岸 五室 三厅别墅 精装修 环境好,枫林水岸 -华龙区,5室3厅 | 486平米 | 南 北 | 精装 | 低楼层(共2层)  | 暂无数据,3人关注 / 8个月以前发布,800,"16,461元/平"
翰林文苑，134.5平3-2-1-2,翰林文苑 -濮阳县,3室2厅 | 134.5平米 | 西南 | 其他 | 高楼层(共6层)  | 暂无数据,1人关注 / 一年前发布,56,"4,164元/平"
华府山水，标准的一室一厅，南户，看房提前联系,华府山水 -华龙区,1室1厅 | 47平米 | 南 | 其他 | 高楼层(共12层)  | 板楼,0人关注 / 8个月以前发布,30,"6,383元/平"
景观城小区，一楼护士，交通便利，小区环境优美,景观城壹号 -濮阳县,6室3厅 | 245平米 | 东南 | 其他 | 低楼层(共6层)  | 暂无数据,0人关注 / 一年前发布,112,"4,572元/平"
盟东新区四室两厅两卫精装修家具家电全带诚心出售,盟东新区 -华龙区,4室2厅 | 134平米 | 南 北 | 精装 | 高楼层(共6层)  | 暂无数据,0人关注 / 2个月以前发布,95,"7,090元/平"
理想城三室二厅精装修卧室朝阳诚心出售,濮阳理想城 -华龙区,4室2厅 | 130平米 | 东 | 精装 | 中楼层(共25层)  | 板楼,0人关注 / 21天以前发布,98,"7,539元/平"
中房翰林居三室两厅一厨户型方正，交通便利,中房·翰林居 -华龙区,3室2厅 | 128平米 | 南 北 | 精装 | 低楼层(共11层)  | 板楼,0人关注 / 28天以前发布,145,"11,329元/平"
公园一品 3室2厅 南,公园一品 -濮阳县,3室2厅 | 114平米 | 南 | 简装 | 高楼层(共18层)  | 暂无数据,0人关注 / 27天以前发布,65,"5,702元/平"
房子满五唯一，南北通透  采光充足,阳光丁香园 -华龙区,3室1厅 | 92平米 | 南 北 | 其他 | 高楼层(共6层)  | 暂无数据,0人关注 / 3个月以前发布,72,"7,827元/平"
南江一期，四室朝阳的户型，居住舒适，小区有幼儿园,南江小区一期 -华龙区,4室2厅 | 113平米 | 南 北 | 其他 | 高楼层(共6层)  | 暂无数据,1人关注 / 4个月以前发布,72,"6,372元/平"
康乐小区三室两厅带地下室中等装修,康乐小区 -华龙区,3室2厅 | 86.14平米 | 南 北 | 其他 | 高楼层(共6层)  | 板楼,0人关注 / 7个月以前发布,82.8,"9,613元/平"
建业桂园2室2厅 精装修 户型方正,建业桂园 -华龙区,2室2厅 | 86.42平米 | 南 | 其他 | 高楼层(共26层)  | 板楼,2人关注 / 4个月以前发布,78,"9,026元/平"
此房步梯三楼户型好采光好居住舒适。,绿景花园 -华龙区,3室1厅 | 118.59平米 | 南 北 | 其他 | 中楼层(共6层)  | 板楼,1人关注 / 28天以前发布,96,"8,096元/平"
建业桂园 3室2厅2卫 精装修 户型方正,建业桂园 -华龙区,3室2厅 | 140平米 | 南 北 | 其他 | 中楼层(共26层)  | 板楼,3人关注 / 8个月以前发布,120,"8,572元/平"
君恒熙园电梯房，东户，精装修，三室两厅一卫一厨,君恒熙园 -华龙区,3室2厅 | 102.62平米 | 南 北 | 其他 | 中楼层(共18层)  | 塔楼,2人关注 / 9个月以前发布,87,"8,478元/平"
建业桂园   精装修三室 南 北通透 采光充足,建业桂园 -华龙区,3室2厅 | 114平米 | 南 北 | 其他 | 低楼层(共26层)  | 塔楼,0人关注 / 22天以前发布,93,"8,158元/平"
房子是一楼带院的三居室，精装修满五唯一，支持贷款！,绿景花园 -华龙区,3室2厅 | 97平米 | 南 北 | 精装 | 低楼层(共6层)  | 板楼,2人关注 / 3个月以前发布,91,"9,382元/平"
盛世经典 3室2厅 南 北,盛世经典 -南乐县,3室2厅 | 118.38平米 | 南 北 | 其他 | 高楼层(共6层)  | 暂无数据,0人关注 / 2个月以前发布,59.5,"5,027元/平"
泰和花园步梯3楼 户型方正  采光好,泰和花园北区 -华龙区,3室2厅 | 130平米 | 南 北 | 其他 | 中楼层(共6层)  | 板楼,0人关注 / 3个月以前发布,120,"9,231元/平"
丽景上品顶层复式四室两厅两卫精装修带部分家具家电,丽景上品上品坊 -华龙区,4室2厅 | 88.98平米 | 南 | 其他 | 高楼层(共24层)  | 板楼,0人关注 / 4个月以前发布,98,"11,014元/平"
此房是上下复式，毛坯现房，楼层好，采光好。。,越绣桂园 -濮阳县,6室3厅 | 210平米 | 南 北 | 其他 | 高楼层(共27层)  | 暂无数据,9人关注 / 一年前发布,80,"3,810元/平"
中堂观邸小区 3室2厅 交通便利 小区环境干净舒适,中堂观邸 -濮阳县,3室2厅 | 110.85平米 | 南 | 其他 | 中楼层(共17层)  | 暂无数据,0人关注 / 一年前发布,59,"5,323元/平"
中堂府邸 电梯洋房 大三室 看房方便,中堂府邸 -濮阳县,3室2厅 | 119平米 | 南 | 其他 | 低楼层(共7层)  | 暂无数据,0人关注 / 一年前发布,68,"5,715元/平"
越秀桂园小区，6室2厅在2厨2卫，,越绣桂园 -濮阳县,6室2厅 | 140平米 | 东 | 毛坯 | 高楼层(共27层)  | 暂无数据,0人关注 / 2个月以前发布,87,"6,215元/平"
书香门第三室两厅一厨一卫，小区干净舒适，适合居住,书香门地 -华龙区,3室2厅 | 105平米 | 南 北 | 其他 | 高楼层(共6层)  | 暂无数据,2人关注 / 一年前发布,83,"7,905元/平"
江南里， 四室两卫，交通便利，小区环境干净舒适,龙沪江南里 -濮阳县,4室2厅 | 166平米 | 东 | 其他 | 中楼层(共5层)  | 暂无数据,1人关注 / 11个月以前发布,97,"5,844元/平"
