标题,开发商,房子信息,发布信息,售价/万,单价
自在澜湾空中别墅，西面看湖，东面观海。,自在澜湾 -荣成市,4室3厅 | 205.8平米 | 南 北 | 毛坯 | 高楼层(共15层)  | 塔楼,104人关注 / 一年前发布,110,"5,345元/平"
古寨 封闭小区 三室方厅精装地暖 拎包入住,古山五巷 -寨子,3室2厅 | 81.84平米 | 南 北 | 精装 | 中楼层(共7层)  | 板楼,3人关注 / 4个月以前发布,75,"9,165元/平"
海滨路边抱海酒店对过，欧典花园 电梯好楼层全明户型,欧典花园 -竹岛,4室2厅 | 168.39平米 | 南 北 | 简装 | 低楼层(共12层)  | 板楼,15人关注 / 一年前发布,168,"9,977元/平"
万科翡翠公园3居室精装修 无遮挡 有储藏室,万科威高翡翠公园 -蒿泊,3室1厅 | 99平米 | 南 北 | 精装 | 低楼层(共25层)  | 暂无数据,1人关注 / 11天以前发布,110,"11,112元/平"
新都一区 大平方 南北通透 价格合适,新都花园一区 -凤林&宋家洼,4室3厅 | 138.81平米 | 南 北 | 精装 | 高楼层(共5层)  | 板楼,25人关注 / 一年前发布,89,"6,412元/平"
学府佳园住人二楼精装修三室，户型南北通透，采光好,学府佳园 -昌鸿,3室1厅 | 79.5平米 | 南 北 | 精装 | 低楼层(共6层)  | 板楼,0人关注 / 7天以前发布,85.8,"10,793元/平"
急售 海上公园旁皇冠庆威园三室两卫 南向客厅好楼层,皇冠庆威园 -皇冠,3室2厅 | 140.61平米 | 南 东 北 | 简装 | 中楼层(共6层)  | 板楼,1人关注 / 14天以前发布,139,"9,886元/平"
华发九龙湾一期2室1厅1厨1卫 86平方 115 万,华发九龙湾一期 -九龙湾,2室1厅 | 86平米 | 南 北 | 精装 | 高楼层(共32层)  | 板塔结合,0人关注 / 11天以前发布,115,"13,373元/平"
商圈成熟 带花园 品质小区 带供暖,碧海名居 -银滩旅游度假区,2室2厅 | 83.07平米 | 南 北 | 精装 | 低楼层(共7层)  | 暂无数据,2人关注 / 3个月以前发布,26.9,"3,239元/平"
银滩中间位置 海韵豪庭 西边户三室,海韵豪庭 -银滩旅游度假区,3室1厅 | 81.42平米 | 南 北 | 精装 | 中楼层(共6层)  | 板楼,2人关注 / 4个月以前发布,24.6,"3,022元/平"
老集九龙明珠 2室1厅 南 北,老集九龙明珠 -九龙湾,2室1厅 | 64.85平米 | 南 北 | 简装 | 高楼层(共6层)  | 板楼,0人关注 / 7个月以前发布,57,"8,790元/平"
经典复式 业主精致装修成熟社区全套品牌家电 拎包入住,中房蔚蓝海岸 -银滩旅游度假区,3室3厅 | 200平米 | 南 北 | 精装 | 高楼层(共6层)  | 板楼,76人关注 / 5个月以前发布,36.6,"1,830元/平"
维利亚，供暖小区，步梯2楼，精装，南北通透,维利亚花园 -银滩旅游度假区,2室2厅 | 92.17平米 | 南 北 | 精装 | 低楼层(共6层)  | 板楼,10人关注 / 5个月以前发布,36.6,"3,971元/平"
山水人家市政供暖电梯7层，带泳池温泉池,颐和山水人家 -银滩旅游度假区,1室1厅 | 59.08平米 | 南 北 | 精装 | 中楼层(共12层)  | 暂无数据,6人关注 / 5个月以前发布,22.8,"3,860元/平"
环翠区统一路杏花村三室2楼出售,杏花村居民小区 -环翠楼,3室2厅 | 122.49平米 | 南 北 | 简装 | 中楼层(共7层)  | 板楼,6人关注 / 4个月以前发布,70,"5,715元/平"
天泽府 精装修 好楼层 房东急售 九龙湾商圈 北向看海,祥泰天泽府 -九龙湾,3室2厅 | 122.2平米 | 南 北 | 精装 | 18层  | 板楼,1人关注 / 1个月以前发布,134,"10,966元/平"
杨家滩花园3楼精装89平低价出售,杨家滩花园 -九龙湾,2室1厅 | 88.65平米 | 南 北 | 精装 | 中楼层(共6层)  | 塔楼,0人关注 / 5个月以前发布,105.8,"11,935元/平"
山花泰和府精装修两室 南北通透 采光好 有钥匙随时看,山花泰和府 -长峰,2室2厅 | 95.61平米 | 南 北 西 | 精装 | 低楼层(共17层)  | 板楼,6人关注 / 4个月以前发布,96.8,"10,125元/平"
急售青岛路泰和府二期精装两室东边户 带储藏室户型好,山花泰和府 -长峰,2室1厅 | 91.9平米 | 南 北 | 精装 | 低楼层(共15层)  | 板楼,5人关注 / 10个月以前发布,113.8,"12,384元/平"
竹岛 陶家夼社区  住人5楼 方厅三居 顶二东边户,陶家夼社区 -竹岛,3室1厅 | 70.78平米 | 南 北 | 简装 | 高楼层(共7层)  | 板楼,4人关注 / 一年前发布,57,"8,054元/平"
山水人家 供暖小区 五楼边户 两室全明 精装 拎包,颐和山水人家 -银滩旅游度假区,2室2厅 | 91.87平米 | 南 北 | 精装 | 高楼层(共6层)  | 板楼,9人关注 / 5个月以前发布,22.8,"2,482元/平"
梦海小区 三室 边户 中间楼层 免费停车位充足,梦海苑 -竹岛,3室1厅 | 85.56平米 | 南 北 | 简装 | 中楼层(共7层)  | 暂无数据,3人关注 / 1个月以前发布,81.8,"9,561元/平"
海景房 银滩大拇指商圈 户型格局好 小区购物便利,三庆.碧海华庭国际公寓 -银滩旅游度假区,3室1厅 | 117.69平米 | 南 北 | 精装 | 中楼层(共6层)  | 板楼,9人关注 / 2个月以前发布,33.8,"2,872元/平"
山水人家，供暖，一楼带下沉花园 两室 精装 配套齐全,颐和山水人家 -银滩旅游度假区,2室2厅 | 86.57平米 | 南 北 | 精装 | 高楼层(共12层)  | 板楼,3人关注 / 5个月以前发布,32.6,"3,766元/平"
新都花园一期南北通透好楼层学育好房,新都花园一区 -凤林&宋家洼,3室1厅 | 77.45平米 | 南 北 | 简装 | 中楼层(共7层)  | 板楼,6人关注 / 一年前发布,75,"9,684元/平"
海景房 后面是百亩黑松林 天然氧吧 潮汐湖钓鱼方便,松海花园小区 -银滩旅游度假区,2室2厅 | 93.4平米 | 南 北 | 精装 | 中楼层(共6层)  | 板楼,40人关注 / 4个月以前发布,18.2,"1,949元/平"
威海 万达120平3室2卫 精装修 未住人 180万,威海万达环翠 -长峰,3室1厅 | 120平米 | 南 北 | 精装 | 高楼层(共18层)  | 板楼,1人关注 / 15天以前发布,178,"14,834元/平"
伴山首府框架电梯房好楼层精装未住,伴山首府 -文登市区,3室2厅 | 124.22平米 | 南 北 | 精装 | 高楼层(共18层)  | 暂无数据,0人关注 / 12天以前发布,83.8,"6,747元/平"
塔山中路 老头包子 十中 中医院 好楼层,四方社区 -竹岛,3室2厅 | 97.48平米 | 南 北 | 简装 | 中楼层(共7层)  | 板楼,0人关注 / 2个月以前发布,82.5,"8,464元/平"
海上公园旁边的优质房屋出售.大海边的家,海瞳路社区 -皇冠,3室1厅 | 122.92平米 | 南 北 | 简装 | 高楼层(共6层)  | 板楼,1人关注 / 3个月以前发布,110,"8,949元/平"
塔山中路住人二楼精装修好停车可看海三室,塔山中路 -环翠楼,3室1厅 | 77平米 | 南 北 | 精装 | 中楼层(共7层)  | 板楼,13人关注 / 4个月以前发布,59,"7,663元/平"
青岛路华新园封闭小区电梯洋房精装修三室两卫带车位,华新园 -竹岛,3室2厅 | 168平米 | 南 北 | 精装 | 中楼层(共9层)  | 塔楼,1人关注 / 3个月以前发布,210,"12,500元/平"
望海园戚家庄南区 中间楼层 房主精装修三室一厅 带储,崂山路小区 -戚家庄,3室2厅 | 92.16平米 | 南 北 | 精装 | 中楼层(共7层)  | 暂无数据,0人关注 / 31天以前发布,118,"12,804元/平"
经区恒大悦澜庭三室精装全明户型东边户好楼层,威海恒大悦澜庭 -凤林&宋家洼,3室2厅 | 112平米 | 南 北 | 精装 | 中楼层(共15层)  | 板楼,0人关注 / 22天以前发布,124.8,"11,143元/平"
花园中路住人四楼三室一厅一厨一卫精装修带储藏室,花园中路 -市政府,3室1厅 | 80平米 | 南 北 | 精装 | 中楼层(共7层)  | 板楼,1人关注 / 25天以前发布,73.8,"9,225元/平"
电梯头排～俯瞰海景，全明三居，新中式家具，采光充足,香格里湾二区 -银滩旅游度假区,3室2厅 | 114.7平米 | 南 西 北 | 精装 | 高楼层(共26层)  | 暂无数据,0人关注 / 30天以前发布,51.8,"4,517元/平"
新都住人一楼带大露台精装修80.74平两室两厅一卫,新都花园一区 -凤林&宋家洼,2室2厅 | 80.74平米 | 南 北 | 精装 | 中楼层(共6层)  | 板楼,1人关注 / 23天以前发布,89.8,"11,123元/平"
长峰馨安苑电梯房有储藏室南北通透采光好,长峰馨安苑小区 -长峰,3室2厅 | 110平米 | 南 北 | 毛坯 | 中楼层(共11层)  | 板楼,0人关注 / 25天以前发布,109.8,"9,982元/平"
文平和谐家园三楼西边户采光好三室两厅带储交通便利,文平和谐家园 -戚家庄,3室2厅 | 95平米 | 南 北 | 简装 | 中楼层(共7层)  | 板楼,1人关注 / 3个月以前发布,111.8,"11,769元/平"
竹岛陶家夼四方路精装修三居低楼层无坡,陶家夼社区 -竹岛,3室2厅 | 82.86平米 | 南 北 | 精装 | 中楼层(共7层)  | 板楼,4人关注 / 5个月以前发布,73.8,"8,907元/平"
长峰馨安苑小区 2室1厅 南 北,长峰馨安苑小区 -长峰,2室1厅 | 69.17平米 | 南 北 | 简装 | 中楼层(共7层)  | 板楼,0人关注 / 3天以前发布,78,"11,277元/平"
市政供暖一层带大花园，正规1室1厅，山海名圣品质小区,山海明圣 -银滩旅游度假区,1室1厅 | 52.6平米 | 南 北 | 精装 | 低楼层(共5层)  | 暂无数据,0人关注 / 1个月以前发布,25,"4,753元/平"
小商品 古北二巷 精装修 带家具四楼 拎包入住,古北二巷 -环翠楼,2室1厅 | 64.7平米 | 南 | 精装 | 中楼层(共5层)  | 板楼,5人关注 / 一年前发布,57.8,"8,934元/平"
华发一期自带装修一天没住111平售价149万,华发九龙湾一期 -九龙湾,3室1厅 | 111.93平米 | 南 北 | 简装 | 低楼层(共31层)  | 板塔结合,1人关注 / 1个月以前发布,147,"13,134元/平"
东边户 精装修 三室 方厅 拎包入住交通方便 X价比高,杏花村居民小区 -环翠楼,3室1厅 | 82.75平米 | 南 北 | 精装 | 低楼层(共7层)  | 板楼,6人关注 / 6个月以前发布,56,"6,768元/平"
一楼带花园，精装修，带车位储藏室，位置好。,九龙明珠花园 -九龙湾,3室2厅 | 115平米 | 南 北 | 精装 | 低楼层(共6层)  | 板楼,0人关注 / 11天以前发布,135,"11,740元/平"
统一路 东城路振华奥特莱斯 幸福门 城里 中层 明厅,南山社区 -环翠楼,3室2厅 | 83.7平米 | 南 北 | 精装 | 中楼层(共8层)  | 板楼,12人关注 / 一年前发布,79,"9,439元/平"
住人四楼，西边户，阳光充足，生活便利,文平和谐家园 -戚家庄,3室1厅 | 115.72平米 | 南 北 | 毛坯 | 中楼层(共7层)  | 板楼,0人关注 / 5天以前发布,129.8,"11,217元/平"
正规一室一厅，门口就是大集生活便利,海岸嘉景 -银滩旅游度假区,1室1厅 | 46平米 | 南 北 | 精装 | 中楼层(共7层)  | 板楼,1人关注 / 9天以前发布,12.7,"2,761元/平"
银滩爱琴海西区 电梯一室 采光好配套齐全,爱琴海景西区 -银滩旅游度假区,1室0厅 | 30.95平米 | 西 | 精装 | 高楼层(共19层)  | 板塔结合,4人关注 / 4个月以前发布,8.5,"2,747元/平"
出门潮汐湖公园 近高铁站 带储藏室 有地暖 交通便利,乳海园小区 -银滩旅游度假区,2室3厅 | 102.61平米 | 南 北 | 精装 | 高楼层(共6层)  | 暂无数据,9人关注 / 4个月以前发布,19,"1,852元/平"
杨家滩花园，南北通透，楼层低，精装修,杨家滩花园 -九龙湾,2室2厅 | 85.79平米 | 南 北 | 精装 | 低楼层(共11层)  | 板楼,4人关注 / 一年前发布,89,"10,375元/平"
山水花都高档小区，电梯一居，视野开阔，新小区优美,山水花都 -银滩旅游度假区,1室1厅 | 60.46平米 | 南 | 精装 | 中楼层(共16层)  | 暂无数据,3人关注 / 3个月以前发布,18,"2,978元/平"
一线 坐在家里能看海 东边户 精装全明户型 采光充足,银港花园 -银滩旅游度假区,1室1厅 | 59.48平米 | 南 北 | 精装 | 中楼层(共6层)  | 板楼,22人关注 / 4个月以前发布,13.2,"2,220元/平"
竹岛大润发 三室方厅 精装 无遮挡 车位充足,塔山中路 -环翠楼,3室2厅 | 84.2平米 | 北 南 | 精装 | 中楼层(共7层)  | 板楼,0人关注 / 15天以前发布,70,"8,314元/平"
高区欧乐坊 商圈 颐青园小区 电梯3室,颐青园 -田村（田和）,3室1厅 | 93.66平米 | 南 北 | 精装 | 低楼层(共16层)  | 板楼,0人关注 / 12天以前发布,76.8,"8,200元/平"
枫林好房住人一楼南北通透65平两室两厅带储藏室,凤林小区A区 -凤林&宋家洼,2室2厅 | 64.66平米 | 南 北 | 简装 | 低楼层(共7层)  | 塔楼,1人关注 / 1个月以前发布,49.8,"7,702元/平"
垛山一品雅苑北金城花园97平三室好位置好楼层带储藏室,金城花园一期 -涝台社区,3室2厅 | 96.68平米 | 南 西南 北 | 精装 | 低楼层(共7层)  | 板楼,0人关注 / 1个月以前发布,97,"10,034元/平"
恒大万达商圈 望岛名郡  南北通透，多层好楼层,望岛名郡 -望岛,2室2厅 | 75.6平米 | 南 北 | 精装 | 低楼层(共6层)  | 板楼,0人关注 / 2个月以前发布,99.8,"13,202元/平"
塔山校园新威路近青岛路边上两室精装修免费停车位,新威路164-1号 -竹岛,2室1厅 | 52.72平米 | 南 | 精装 | 中楼层(共7层)  | 板楼,0人关注 / 6个月以前发布,38.5,"7,303元/平"
统一路振华奥特莱斯 城理- 中层精装 带储藏室,杏花村居民小区 -环翠楼,3室1厅 | 83平米 | 南 北 | 精装 | 高楼层(共6层)  | 板楼,2人关注 / 1个月以前发布,58,"6,988元/平"
九龙湾天泽府中间楼层141平 全明户型 带储藏室不靠道,祥泰天泽府 -九龙湾,3室2厅 | 141.68平米 | 南 北 | 毛坯 | 高楼层(共18层)  | 板楼,10人关注 / 一年前发布,129.5,"9,141元/平"
恒大海上帝景精装房，无附属，大税商议,威海恒大海上帝景 -望岛,3室1厅 | 100平米 | 南 北 | 精装 | 高楼层(共32层)  | 板楼,1人关注 / 1个月以前发布,119.8,"11,980元/平"
皇冠别墅区金帆花园单价1万抢购,金帆花园 -皇冠,5室3厅 | 241.73平米 | 南 北 | 精装 | 高楼层(共6层)  | 板楼,6人关注 / 9个月以前发布,217,"8,977元/平"
精装修，大三居，户型设计合理......,信泰龙汇福邸 -九龙湾,3室2厅 | 143平米 | 南 北 | 精装 | 高楼层(共17层)  | 板楼,5人关注 / 8个月以前发布,198,"13,847元/平"
竹岛  华润湾九里   精装 南北通透,华润威海湾九里 -竹岛,3室2厅 | 110平米 | 南 北 | 精装 | 低楼层(共33层)  | 板楼,14人关注 / 一年前发布,119.8,"10,891元/平"
万科翡翠公园125平精装3室两卫不靠环山,万科威高翡翠公园 -蒿泊,3室2厅 | 121平米 | 南 北 | 精装 | 中楼层(共16层)  | 板楼,0人关注 / 6个月以前发布,188,"15,538元/平"
万达商圈 望海园中 永康里 南北通透住人一楼带储藏,望海园永康里 -望岛,2室2厅 | 69平米 | 南 北 | 简装 | 低楼层(共7层)  | 板楼,0人关注 / 29天以前发布,68.8,"9,972元/平"
此房视野采光好 适宜家里有 儿童的家庭选择居住,怡心苑 -寨子,3室1厅 | 95平米 | 南 北 | 精装 | 低楼层(共6层)  | 板楼,0人关注 / 31天以前发布,86.8,"9,137元/平"
望岛明郡封闭小区边户带地下车位储藏室三室精装出售,望岛名郡 -望岛,3室1厅 | 118平米 | 南 北 | 精装 | 高楼层(共6层)  | 板楼,0人关注 / 21天以前发布,158,"13,390元/平"
恒大万达商圈望海园富华城多层好楼层三室两厅无储,望海园富华城 -望岛,3室2厅 | 89平米 | 南 北 | 简装 | 中楼层(共7层)  | 板楼,0人关注 / 28天以前发布,109,"12,248元/平"
皇冠花园南区，住人3楼带20多平储藏室,皇冠花园南区 -皇冠,3室1厅 | 93平米 | 北 南 | 简装 | 中楼层(共6层)  | 板楼,1人关注 / 27天以前发布,115,"12,366元/平"
蓝星万象城3室边户精装修带车储，视野好,蓝星万象城 -皇冠,3室2厅 | 108.9平米 | 南 北 | 精装 | 中楼层(共28层)  | 板楼,0人关注 / 20天以前发布,155.8,"14,307元/平"
业主诚心出售 蓝星万象城 精装两室 带车位,蓝星万象城 -皇冠,2室1厅 | 89.58平米 | 南 | 简装 | 低楼层(共25层)  | 板楼,0人关注 / 21天以前发布,99.9,"11,153元/平"
非顶楼 旅游度假小平米 42平米仅售8.8万 南向拎包,爱琴海景西区 -银滩旅游度假区,1室0厅 | 42.43平米 | 南 | 简装 | 高楼层(共7层)  | 板楼,26人关注 / 5个月以前发布,7,"1,650元/平"
望海山公馆电梯小高层，精装修南北通透带草厦子,望海山公馆 -孙家疃,2室1厅 | 68.79平米 | 南 北 | 精装 | 中楼层(共11层)  | 板楼,4人关注 / 6个月以前发布,72.8,"10,583元/平"
御鑫佳园，电梯好楼层，双阳卧，南向客厅，简单装修,御鑫佳园 -涝台社区,2室2厅 | 96平米 | 南 北 | 简装 | 中楼层(共18层)  | 板楼,0人关注 / 1个月以前发布,84.8,"8,834元/平"
银滩 电梯房 高层看海 有电暖气 无遮挡 拎包住 可贷款,祥隆花园 -银滩旅游度假区,2室1厅 | 87平米 | 南 北 | 精装 | 高楼层(共18层)  | 板楼,6人关注 / 1个月以前发布,25.8,"2,966元/平"
海景房，复式公寓，看海视野好。,望海名居 -长峰,1室1厅 | 36.55平米 | 南 北 | 精装 | 中楼层(共5层)  | 板塔结合,42人关注 / 5个月以前发布,38,"10,397元/平"
高区亲情园 小高层东边户 三室两卫 全明户型,东发现代城亲情园 -涝台社区,3室2厅 | 112.57平米 | 南 北 | 精装 | 中楼层(共11层)  | 板楼,0人关注 / 31天以前发布,138.7,"12,322元/平"
精装修两室边户全明户型带储藏室,新都花园二区 -凤林&宋家洼,2室1厅 | 57平米 | 南 北 | 精装 | 高楼层(共7层)  | 板楼,0人关注 / 21天以前发布,48.8,"8,562元/平"
塔山早市 竹岛大润发好楼层双证全 海景东边户全明户型,戚家夼社区 -竹岛,3室2厅 | 122.27平米 | 南 北 | 精装 | 中楼层(共8层)  | 板楼,1人关注 / 20天以前发布,75.8,"6,200元/平"
竹岛大润发四方路小区市场矮楼层三室生活方便,四方社区 -竹岛,3室1厅 | 76.16平米 | 南 北 | 简装 | 低楼层(共7层)  | 板楼,0人关注 / 16天以前发布,63,"8,273元/平"
恒大海上帝景精装修3室看海效果好南面无遮挡,威海恒大海上帝景 -望岛,3室2厅 | 100平米 | 南 北 | 精装 | 高楼层(共28层)  | 板楼,0人关注 / 23天以前发布,136,"13,600元/平"
精装修边户南北通透户型方正包含地下车位,水岸明居 -竹岛,3室2厅 | 144平米 | 南 北 | 精装 | 中楼层(共16层)  | 塔楼,0人关注 / 28天以前发布,155,"10,764元/平"
一楼带院子的三室现房 南北通透 东边户基本可随时看房,温泉明珠 -温泉,3室2厅 | 100.37平米 | 南 北 | 精装 | 低楼层(共7层)  | 板楼,4人关注 / 2个月以前发布,75.8,"7,553元/平"
华新园东向三居无遮挡可看海带储物间,华新园 -竹岛,3室2厅 | 139.37平米 | 南 北 | 精装 | 高楼层(共17层)  | 塔楼,0人关注 / 1个月以前发布,170,"12,198元/平"
蓝星万象城四期 两居户型 好楼层 带车储 采光 视野好,蓝星万象城 -皇冠,2室1厅 | 84.3平米 | 南 | 精装 | 低楼层(共28层)  | 板楼,0人关注 / 1个月以前发布,112.8,"13,381元/平"
蓝星万象城较高楼层三居室精装修配套齐全有车储,蓝星万象城 -皇冠,3室2厅 | 107.76平米 | 南 西 北 | 精装 | 高楼层(共25层)  | 板楼,9人关注 / 一年前发布,148.8,"13,809元/平"
乐天世纪城 2室1厅 北,乐天世纪城 -皇冠,2室1厅 | 61.86平米 | 北 | 其他 | 高楼层(共24层)  | 塔楼,0人关注 / 7天以前发布,63.8,"10,314元/平"
威海山水城 2室1厅 南 北,威海山水城 -温泉,2室1厅 | 78平米 | 南 北 | 精装 | 低楼层(共10层)  | 板楼,2人关注 / 14天以前发布,48.8,"6,257元/平"
龙泉小区多层，一楼带小院，三室简单装修,龙泉小区 -孙家疃,3室1厅 | 73.16平米 | 南 北 | 简装 | 低楼层(共6层)  | 板楼,10人关注 / 4个月以前发布,55,"7,518元/平"
雁鸣花园  精装3室   南北通透  采光通风好,雁鸣花园 -文登市区,3室1厅 | 95平米 | 南 北 | 精装 | 高楼层(共8层)  | 板楼,5人关注 / 3个月以前发布,25,"2,632元/平"
望岛校 崂山路 戚家庄  框架房两室卫生间带窗,崂山路小区 -戚家庄,2室1厅 | 74.31平米 | 南 北 | 精装 | 高楼层(共7层)  | 暂无数据,9人关注 / 一年前发布,55,"7,402元/平"
封闭式管理好位置，全明户型 南北朝向 采光好,海韵华府 -戚家庄,3室2厅 | 153.53平米 | 南 北 | 精装 | 中楼层(共15层)  | 板楼,1人关注 / 1个月以前发布,165,"10,748元/平"
码头shiyan万福山庄无坡好楼层简装 三居室带草厦子,万福山庄 -市政府,3室1厅 | 75.86平米 | 南 北 | 简装 | 中楼层(共7层)  | 板楼,3人关注 / 3个月以前发布,56.8,"7,488元/平"
悦海花园二期  悦海公园 大平方四室 东边户 全明户型,悦海花园二期 -悦海,4室2厅 | 185平米 | 东 南 北 | 毛坯 | 低楼层(共23层)  | 暂无数据,4人关注 / 一年前发布,220,"11,892元/平"
万达3居室，精装修带品牌全屋定制家具和家电,威海万达环翠 -长峰,3室2厅 | 100平米 | 南 北 | 精装 | 低楼层(共18层)  | 板楼,3人关注 / 5个月以前发布,150,"15,000元/平"
西北山路时光城东卧龙山生活小区,卧龙山生活小区 -卧龙山,3室1厅 | 77平米 | 南 北 | 简装 | 中楼层(共7层)  | 板楼,1人关注 / 17天以前发布,56,"7,273元/平"
张村 家家悦 滨海明珠 多层71平 精装修保持好顶楼46.8,张村滨海明珠 -张村,2室1厅 | 70.42平米 | 南 北 | 简装 | 高楼层(共7层)  | 板楼,24人关注 / 一年前发布,39,"5,539元/平"
丽景健康花园 带电梯 框架结构 急售 精装 看房方便,丽景健康花园 -凤林&宋家洼,2室2厅 | 92.3平米 | 南 北 | 精装 | 低楼层(共13层)  | 板楼,0人关注 / 3个月以前发布,96,"10,401元/平"
东边户南北通透好格局，有车储，家具家电齐全拎包入住,蓝星万象城 -皇冠,3室1厅 | 109.14平米 | 南 北 | 精装 | 中楼层(共28层)  | 板楼,6人关注 / 6个月以前发布,158.8,"14,551元/平"
搞楼层 全明户型 免费停车 配套齐全,长峰馨安苑小区 -长峰,3室2厅 | 110.02平米 | 南 北 | 精装 | 高楼层(共17层)  | 板楼,1人关注 / 3个月以前发布,109.8,"9,981元/平"
蔚海新天地 三室两卫 南北通透，楼采光好，精致装修,蔚海新天地 -天东&南曲阜,3室2厅 | 129.25平米 | 南 西 北 | 精装 | 中楼层(共18层)  | 板楼,3人关注 / 4个月以前发布,99.8,"7,722元/平"
春天花园 3室2厅 南 北,春天花园 -皇冠,3室2厅 | 125平米 | 南 北 | 精装 | 高楼层(共12层)  | 板楼,1人关注 / 1个月以前发布,158,"12,640元/平"
莱茵小镇三室一厅，简单装修，多层中间楼层，价格低,工友城莱茵小镇 -温泉,3室1厅 | 91.55平米 | 南 北 | 精装 | 中楼层(共6层)  | 板楼,0人关注 / 2个月以前发布,80,"8,739元/平"
九龙湾公园旁的带100多平下跃式花园洋房,信泰龙润 -九龙湾,2室1厅 | 122.01平米 | 南 北 | 毛坯 | 低楼层(共18层)  | 板楼,0人关注 / 3个月以前发布,187.5,"15,368元/平"
急售房东着急昌鸿小区4楼，三室向阳，南北通透,文化西路 -昌鸿,3室2厅 | 124.88平米 | 南 北 | 简装 | 中楼层(共8层)  | 板楼,3人关注 / 2个月以前发布,85.8,"6,871元/平"
万象城四期三室急售   带车位储藏室,蓝星万象城 -皇冠,3室1厅 | 130平米 | 南 北 | 毛坯 | 低楼层(共28层)  | 板楼,0人关注 / 2个月以前发布,166,"12,770元/平"
万达商圈，华夏山海城玉兰花园电梯洋房九楼精装出售。,玉兰花园 -华夏,2室2厅 | 76.96平米 | 南 北 | 精装 | 高楼层(共9层)  | 板楼,3人关注 / 8个月以前发布,69,"8,966元/平"
城里中- 统一路振华奥莱斯 一楼带院子 有储藏室,杏花村居民小区 -环翠楼,2室2厅 | 57平米 | 南 北 | 精装 | 低楼层(共5层)  | 板楼,28人关注 / 4个月以前发布,47.8,"8,386元/平"
