标题,开发商,房子信息,发布信息,售价/万,单价
三开间朝南双阳台纯边套居住舒适,水岸家园 -义乌市,3室2厅 | 142平米 | 南 | 毛坯 | 低楼层(共18层)  | 暂无数据,15人关注 / 5个月以前发布,157.9,"11,120元/平"
大义乌万达旁，顶楼大复式，房东诚心出售，价可谈。,总部经济公馆 -稠江,4室3厅 | 230平米 | 南 | 简装 | 高楼层(共5层)  | 暂无数据,3人关注 / 一年前发布,530,"23,044元/平"
顶复带电梯。全配精装诚心售。套房的价格，别墅的享受,金城高尔夫一区 -后宅,5室2厅 | 267平米 | 南 | 精装 | 高楼层(共11层)  | 暂无数据,2人关注 / 一年前发布,530,"19,851元/平"
房东诚心出售生活方便，价格可谈  前后无遮挡，,东方大厦 -稠城,6室2厅 | 321平米 | 南 | 简装 | 中楼层(共30层)  | 暂无数据,2人关注 / 一年前发布,680,"21,184元/平"
江东时代广场底商旺铺小面积出租便利,时代广场(义乌市) -江东,1室0厅 | 33.27平米 | 西 西北 | 简装 | 低楼层(共31层)  | 塔楼,3人关注 / 一年前发布,128,"38,474元/平"
绣湖文澜府 2室2厅 东南,绣湖文澜府 -北苑,2室2厅 | 61.4平米 | 东南 | 精装 | 高楼层(共15层)  | 板塔结合,2人关注 / 一年前发布,410,"66,776元/平"
高楼层，精装修大三房，带车位，诚心出手,万商华府 -城西,3室2厅 | 147平米 | 南 北 | 精装 | 中楼层(共20层)  | 暂无数据,4人关注 / 一年前发布,277,"18,844元/平"
江东商苑，89平三房，实用面积，高性比价，随时看房。,商苑 -江东,3室2厅 | 89平米 | 南 | 简装 | 中楼层(共5层)  | 暂无数据,2人关注 / 一年前发布,255,"28,652元/平"
房屋格局已隔好，房东诚心，有意向可以来谈,众安.蒲荷花苑 -城西,3室2厅 | 89平米 | 南 | 简装 | 中楼层(共14层)  | 暂无数据,0人关注 / 一年前发布,205,"23,034元/平"
蒲荷花苑 好的位置 高楼层 带车位 东边套,众安.蒲荷花苑 -城西,4室2厅 | 117.26平米 | 南 | 毛坯 | 中楼层(共14层)  | 暂无数据,1人关注 / 一年前发布,280,"23,879元/平"
有车位高楼层，采光好人车分流的小区,众安.蒲荷花苑 -城西,4室2厅 | 117平米 | 南 | 毛坯 | 高楼层(共14层)  | 暂无数据,0人关注 / 一年前发布,280,"23,932元/平"
吴溪里 3室2厅 南 北,吴溪里 -佛堂,3室2厅 | 105.21平米 | 南 北 | 毛坯 | 低楼层(共15层)  | 平房,13人关注 / 10个月以前发布,185,"17,584元/平"
义乌城西 蒲荷花苑 高楼层 诚心出售,众安.蒲荷花苑 -城西,3室2厅 | 89平米 | 南 | 毛坯 | 中楼层(共14层)  | 暂无数据,7人关注 / 一年前发布,184.99,"20,786元/平"
阳光小区 2室2厅 南,阳光小区 -稠城,2室2厅 | 69平米 | 南 | 精装 | 高楼层(共6层)  | 板塔结合,1人关注 / 一年前发布,300,"43,479元/平"
滨江壹品 边套 5室2厅1厨3卫,滨江壹品 -福田,5室2厅 | 163平米 | 东 | 毛坯 | 中楼层(共37层)  | 暂无数据,1人关注 / 一年前发布,665,"40,798元/平"
公园壹号别墅位置好环境佳出门便是公园诚心出售,滨江公园壹号 -义乌市,6室2厅 | 316平米 | 南 | 毛坯 | 低楼层(共2层)  | 暂无数据,5人关注 / 一年前发布,1230,"38,925元/平"
城西街道 众安.蒲河花苑 高楼层 采光足 带车位,众安.蒲荷花苑 -城西,3室2厅 | 89平米 | 南 | 毛坯 | 高楼层(共14层)  | 暂无数据,0人关注 / 一年前发布,215,"24,158元/平"
可观江观CBD景致，楼层舒适，随时可看房,滨江壹品 -福田,4室2厅 | 140平米 | 南 | 毛坯 | 中楼层(共37层)  | 暂无数据,4人关注 / 10个月以前发布,535,"38,215元/平"
众安.蒲荷花苑 4室2厅 南,众安.蒲荷花苑 -城西,4室2厅 | 117平米 | 南 | 毛坯 | 中楼层(共14层)  | 暂无数据,0人关注 / 一年前发布,253,"21,624元/平"
众安.蒲荷花苑 3室2厅 南,众安.蒲荷花苑 -城西,3室2厅 | 89平米 | 南 | 毛坯 | 中楼层(共14层)  | 暂无数据,3人关注 / 一年前发布,195,"21,911元/平"
义乌赤岸碧桂园 高楼层 准现房 诚心出售急卖价格好谈,碧桂园柏悦华府 -义乌市,3室2厅 | 89平米 | 南 | 毛坯 | 中楼层(共26层)  | 暂无数据,10人关注 / 一年前发布,120,"13,484元/平"
后宅幸福湖旁公园壹号别墅大花园诚心出售 随时看房,滨江公园壹号 -义乌市,6室2厅 | 351.66平米 | 南 | 毛坯 | 低楼层(共8层)  | 塔楼,4人关注 / 一年前发布,1200,"34,124元/平"
双江湖 儿童公园旁 万达商圈 全新社区 人才聚集地,金地中梁西江雅苑 -稠江,4室2厅 | 125平米 | 南 | 毛坯 | 高楼层(共7层)  | 暂无数据,2人关注 / 一年前发布,378,"30,240元/平"
品质小区低密度舒适洋房和小高层，优质管家物业！,绿城桃花源 -江东,4室2厅 | 145平米 | 南 | 毛坯 | 中楼层(共11层)  | 板楼,3人关注 / 8个月以前发布,459,"31,656元/平"
绣湖难得好房，楼上楼下，居住舒适有内涵。,秀禾小区 -北苑,8室2厅 | 289平米 | 南 | 精装 | 低楼层(共4层)  | 暂无数据,0人关注 / 一年前发布,1100,"38,063元/平"
采光充足；看房提前联系；房东诚心出售,中央城D区 -江东,3室2厅 | 119平米 | 南 | 毛坯 | 中楼层(共32层)  | 暂无数据,2人关注 / 一年前发布,420,"35,295元/平"
双江湖 儿童公园 万达边  大洋房 边套复式+大露台,金地中梁西江雅苑 -稠江,4室2厅 | 151.42平米 | 东南 | 毛坯 | 低楼层(共1层)  | 暂无数据,5人关注 / 一年前发布,610,"40,286元/平"
现代风格装修，家具齐全，可以拎包入住，带车位,卿悦府东区 -稠城,3室2厅 | 108平米 | 南 | 精装 | 高楼层(共26层)  | 板塔结合,5人关注 / 一年前发布,510,"47,223元/平"
急卖，梅湖体育馆边，大户型4房，边套，房间大带车位,新城吾悦广场 -江东,4室2厅 | 176.61平米 | 南 北 | 毛坯 | 中楼层(共20层)  | 板楼,3人关注 / 一年前发布,550,"31,143元/平"
全新环保精装 下楼即天华世纪城雪峰公园 北苑繁华之芯,现代广场 -北苑,2室1厅 | 91平米 | 南 | 精装 | 高楼层(共13层)  | 暂无数据,1人关注 / 一年前发布,300,"32,968元/平"
义乌江看江景房 70年大产权 景观壮观 大平层,世贸中心 -福田,3室2厅 | 240.43平米 | 南 北 | 其他 | 中楼层(共58层)  | 暂无数据,0人关注 / 1个月以前发布,900,"37,433元/平"
义乌江看江景房 70年大产权 景观壮观 大平层,世贸中心 -福田,3室2厅 | 240.43平米 | 南 北 | 其他 | 低楼层(共58层)  | 暂无数据,0人关注 / 1个月以前发布,888,"36,934元/平"
房子是东边套 高楼层 毛坯 您值得佣有,皇冠长岛国际 -廿三里,3室2厅 | 136平米 | 东南 | 其他 | 高楼层(共32层)  | 暂无数据,0人关注 / 18天以前发布,220,"16,177元/平"
店面电梯垂直房 占地三间   适合自住+出租,江东四区 -江东,9室4厅 | 529.92平米 | 东南 | 其他 | 低楼层(共4层)  | 暂无数据,4人关注 / 一年前发布,1260,"23,778元/平"
全新精装未入住，带大露台，还有入户花园,恒安里 -佛堂,4室2厅 | 140平米 | 南 | 其他 | 低楼层(共17层)  | 板塔结合,2人关注 / 8个月以前发布,285,"20,358元/平"
万商华府 4室2厅 南,万商华府 -城西,4室2厅 | 197平米 | 南 | 其他 | 低楼层(共20层)  | 暂无数据,5人关注 / 一年前发布,355,"18,021元/平"
后宅幸福湖畔边上高档住宅小区公园壹号楼中楼带大花园,滨江公园壹号 -义乌市,4室3厅 | 130平米 | 南 北 | 其他 | 低楼层(共8层)  | 暂无数据,6人关注 / 一年前发布,580,"44,616元/平"
北苑城市花园四季五区排屋毛坯大面积花园,现代城市花园四季五区 -北苑,5室2厅 | 450平米 | 南 北 | 其他 | 5层  | 暂无数据,0人关注 / 一年前发布,1120,"24,889元/平"
东方国际村 4室2厅 南 北,东方国际村 -北苑,4室2厅 | 202平米 | 南 北 | 其他 | 中楼层(共11层)  | 暂无数据,0人关注 / 1个月以前发布,395,"19,555元/平"
后宅公园壹号，全新装修带地下室，有车位，130平花园,滨江公园壹号 -义乌市,4室2厅 | 131平米 | 南 | 其他 | 低楼层(共8层)  | 暂无数据,4人关注 / 一年前发布,750,"57,252元/平"
房间格局好、采光好  格局清爽明亮,锦都豪苑 -义乌市,5室3厅 | 223平米 | 南 | 其他 | 高楼层(共6层)  | 板楼,3人关注 / 一年前发布,500,"22,422元/平"
精装修，顶楼楼中楼带露台，三层使用，面积大，带车位,总部经济公馆 -稠江,4室2厅 | 168.88平米 | 南 北 | 精装 | 高楼层(共7层)  | 暂无数据,0人关注 / 一年前发布,480,"28,423元/平"
廿三里 金桥人家 复式楼中楼欧式精装 跑马大露台,金桥人家 -廿三里,5室2厅 | 249.5平米 | 南 西 | 精装 | 高楼层(共11层)  | 暂无数据,3人关注 / 一年前发布,518,"20,762元/平"
众安.蒲荷花苑 4室2厅 南,众安.蒲荷花苑 -城西,4室2厅 | 117平米 | 南 | 其他 | 高楼层(共14层)  | 暂无数据,0人关注 / 11个月以前发布,270,"23,077元/平"
蒲荷花苑楼层位置好有车位毛坯房,众安.蒲荷花苑 -城西,3室2厅 | 89平米 | 南 | 其他 | 中楼层(共14层)  | 暂无数据,0人关注 / 一年前发布,202,"22,697元/平"
蒲荷花苑 东边套 有车位 南北通风百变毛坯,众安.蒲荷花苑 -城西,4室2厅 | 117平米 | 南 | 其他 | 低楼层(共12层)  | 暂无数据,1人关注 / 一年前发布,270,"23,077元/平"
东边套 上叠 两层 有大露台   双车位 居住舒服,绿城桃花源 -江东,4室2厅 | 204.95平米 | 东 | 其他 | 中楼层(共4层)  | 暂无数据,7人关注 / 一年前发布,850,"41,474元/平"
东边套，户型方正，视野开阔、采光好,绿城桃花源 -江东,3室2厅 | 136平米 | 南 | 其他 | 高楼层(共11层)  | 板楼,1人关注 / 一年前发布,480,"35,295元/平"
精装修，带车位，高层景观房，金融CBD区块,滨江壹品 -福田,3室2厅 | 123平米 | 南 北 | 其他 | 高楼层(共39层)  | 暂无数据,0人关注 / 8个月以前发布,488,"39,675元/平"
城西次新房 蒲河花苑新房小三房毛坯,众安.蒲荷花苑 -城西,3室2厅 | 89平米 | 南 | 其他 | 低楼层(共12层)  | 暂无数据,2人关注 / 8个月以前发布,185,"20,787元/平"
稠江 万达旁 3房百变毛坯 带车位 高楼层 户型好,富港花园 -稠江,3室2厅 | 90平米 | 南 北 | 其他 | 高楼层(共15层)  | 暂无数据,5人关注 / 一年前发布,200,"22,223元/平"
向阳府一区 4室2厅 南,向阳府一区 -稠城,4室2厅 | 155平米 | 南 | 其他 | 高楼层(共16层)  | 暂无数据,0人关注 / 1个月以前发布,705,"45,484元/平"
商城星座小面积2房的房诚心出售,商城星座 -未知商圈,2室1厅 | 68.9平米 | 南 | 精装 | 中楼层(共9层)  | 暂无数据,3人关注 / 一年前发布,180,"26,125元/平"
众安.蒲荷花苑 3室2厅 南,众安.蒲荷花苑 -城西,3室2厅 | 89平米 | 南 | 其他 | 低楼层(共14层)  | 暂无数据,5人关注 / 一年前发布,180,"20,225元/平"
精装修，小面积，总价低，用完好出手，满二，急卖，,工人北路 -稠城,1室0厅 | 35.41平米 | 南 | 精装 | 低楼层(共6层)  | 暂无数据,4人关注 / 一年前发布,125,"35,301元/平"
宾王中，稠城三，精装修，拎包入住，诚心出售看房方便,大都国际名苑 -稠城,1室1厅 | 79.16平米 | 南 北 | 精装 | 低楼层(共12层)  | 板塔结合,5人关注 / 一年前发布,303,"38,277元/平"
义乌城西 蒲荷花苑 少有带花园户型 A1户型 带车位,众安.蒲荷花苑 -城西,3室2厅 | 89平米 | 南 | 毛坯 | 低楼层(共13层)  | 暂无数据,1人关注 / 一年前发布,238,"26,742元/平"
义乌城西蒲河花苑 A1户型，带一个大花园，有个车位,众安.蒲荷花苑 -城西,3室2厅 | 89平米 | 南 | 毛坯 | 低楼层(共13层)  | 暂无数据,0人关注 / 一年前发布,238,"26,742元/平"
义乌诚西蒲河花苑 高楼层 A1户型诚心出售,众安.蒲荷花苑 -城西,3室2厅 | 89平米 | 南 | 毛坯 | 中楼层(共14层)  | 暂无数据,1人关注 / 一年前发布,190,"21,349元/平"
东边套，带车位，高楼层，满2年，学可上,新城吾悦广场 -江东,3室2厅 | 135平米 | 南 | 毛坯 | 高楼层(共39层)  | 板楼,4人关注 / 一年前发布,512,"37,926元/平"
蒲荷花苑 A1户型 中间楼层 诚心出售,众安.蒲荷花苑 -城西,3室2厅 | 89.36平米 | 南 | 毛坯 | 低楼层(共14层)  | 暂无数据,8人关注 / 一年前发布,175,"19,584元/平"
西江雅苑 125²四房毛坯四叶草户型,金地中梁西江雅苑 -稠江,4室1厅 | 125平米 | 南 | 毛坯 | 低楼层(共8层)  | 暂无数据,1人关注 / 一年前发布,375,"30,000元/平"
万达SOHO公寓 2室1厅 南 北,万达SOHO公寓 -稠江,2室1厅 | 62平米 | 南 北 | 精装 | 低楼层(共35层)  | 暂无数据,37人关注 / 一年前发布,88,"14,194元/平"
绿城玫瑰园·高品质 高档小区 小区配套齐全,浙铁绿城玫瑰园 -稠江,3室1厅 | 117.12平米 | 南 | 毛坯 | 中楼层(共30层)  | 板塔结合,3人关注 / 一年前发布,439,"37,483元/平"
北苑好地方四季五区，大三室精装修，实木地板拎包入住,现代城市花园四季五区 -北苑,3室2厅 | 154平米 | 南 | 精装 | 低楼层(共14层)  | 板塔结合,6人关注 / 8个月以前发布,320,"20,780元/平"
北苑大平层的看过来哦，带入户花园30平，很巴适的户型,现代广场 -北苑,3室1厅 | 158.99平米 | 南 西南 | 毛坯 | 高楼层(共15层)  | 板楼,4人关注 / 一年前发布,380,"23,901元/平"
此房为新交付的小区 不满两年 带车位,卿悦府西区 -稠城,3室2厅 | 94平米 | 南 | 精装 | 低楼层(共22层)  | 暂无数据,1人关注 / 10个月以前发布,500,"53,192元/平"
产证满2年省税费 精装拎包即住 南北通阳光充足,星城广场 -江东,3室1厅 | 126平米 | 南 北 | 精装 | 中楼层(共12层)  | 板楼,3人关注 / 一年前发布,305,"24,207元/平"
边套，带车位，使用面积140平左右，随时看房,中央城D区 -江东,3室2厅 | 119平米 | 南 北 | 毛坯 | 低楼层(共32层)  | 暂无数据,2人关注 / 一年前发布,373,"31,345元/平"
佰万精装修，高楼层，带车位，学可上，满2年 随时看房,梅湖国际公馆 -江东,3室2厅 | 171平米 | 南 北 | 精装 | 高楼层(共27层)  | 暂无数据,8人关注 / 一年前发布,550,"32,164元/平"
上溪新小区 云溪桃源 3房全明户型 高层视野好 毛坯,云溪桃源 -城西,3室2厅 | 99.7平米 | 南 | 毛坯 | 高楼层(共28层)  | 暂无数据,4人关注 / 一年前发布,168,"16,851元/平"
市芯好房，建投卿悦府（剧院新村），少数93平，机会！,卿悦府西区 -稠城,3室2厅 | 93平米 | 西南 南 | 毛坯 | 低楼层(共22层)  | 暂无数据,0人关注 / 一年前发布,520,"55,914元/平"
大美后宅，义乌后花园，金城一区141平精装大三房。,金城高尔夫一区 -后宅,3室2厅 | 141平米 | 南 | 精装 | 低楼层(共11层)  | 暂无数据,6人关注 / 一年前发布,260,"18,440元/平"
金华义乌，小区在宾王路和稠州路交叉口，壹幢高层,东方大厦 -稠城,6室3厅 | 282平米 | 南 | 精装 | 高楼层(共30层)  | 暂无数据,1人关注 / 一年前发布,720,"25,532元/平"
义乌建投望江府，入户花园大四房，总价680万,建投望江府 -稠城,4室2厅 | 145平米 | 南 | 毛坯 | 低楼层(共16层)  | 暂无数据,2人关注 / 11个月以前发布,650,"44,828元/平"
锦绣之城，东边套，带双车位，位置好，全明户型急卖,滨江锦绣之城 -稠城,4室1厅 | 144平米 | 南 北 | 毛坯 | 低楼层(共26层)  | 暂无数据,2人关注 / 7个月以前发布,585,"40,625元/平"
江东总价低的三房，采光好，生活便利,新青年广场 -江东,3室2厅 | 63平米 | 西 | 其他 | 中楼层(共4层)  | 板塔结合,3人关注 / 11个月以前发布,137,"21,747元/平"
园丁新村，2020年精装修，拎包入住,园丁新村(义乌市) -稠城,3室2厅 | 130.1平米 | 南 | 精装 | 低楼层(共6层)  | 暂无数据,2人关注 / 一年前发布,560,"43,044元/平"
户型方正 通风采光都很好 配套齐全,现代公寓 -稠城,2室2厅 | 54平米 | 南 | 简装 | 高楼层(共10层)  | 暂无数据,0人关注 / 8个月以前发布,170,"31,482元/平"
实用230平左右，壕装大四房，跑马客厅，宽景大阳台。,梅湖国际公馆 -江东,4室2厅 | 192.5平米 | 东 南 | 精装 | 低楼层(共27层)  | 暂无数据,6人关注 / 一年前发布,586,"30,442元/平"
不是什么房子都叫*ang的啦！！！,和聚园 -北苑,4室2厅 | 175.26平米 | 南 | 毛坯 | 低楼层(共15层)  | 暂无数据,10人关注 / 一年前发布,440,"25,106元/平"
房东降价 带车位，储藏间 凤凰楼层  带装修 全明户型,丹溪金街 -北苑,3室1厅 | 118平米 | 南 | 简装 | 高楼层(共5层)  | 暂无数据,1人关注 / 一年前发布,439,"37,204元/平"
东洲花园八大苑之观山苑，一手房东自住精装带车库。,东洲观山苑 -江东,3室2厅 | 112.67平米 | 南 | 精装 | 中楼层(共7层)  | 暂无数据,12人关注 / 一年前发布,260,"23,077元/平"
北苑核芯区块世纪联华边上现代名人花园精装三房有车库,现代花园 -北苑,3室2厅 | 138平米 | 南 | 精装 | 中楼层(共16层)  | 暂无数据,0人关注 / 一年前发布,360,"26,087元/平"
一线江景房，119平边户满两年，高层景观房。,望府中央城C区 -江东,3室2厅 | 119平米 | 南 | 毛坯 | 中楼层(共32层)  | 暂无数据,3人关注 / 10个月以前发布,434,"36,471元/平"
环境优美；采光充足；房东诚心出售,金地中梁西江雅苑 -稠江,4室2厅 | 129平米 | 南 | 毛坯 | 低楼层(共7层)  | 暂无数据,2人关注 / 一年前发布,404,"31,318元/平"
莲塘一区 4室2厅 南 北,莲塘一区 -北苑,4室2厅 | 162平米 | 南 北 | 简装 | 低楼层(共15层)  | 板塔结合,6人关注 / 一年前发布,356,"21,976元/平"
北苑 通福花园 双套间 边套  高层观景房,机场路 -北苑,4室2厅 | 141.7平米 | 西北 | 简装 | 高楼层(共6层)  | 暂无数据,0人关注 / 一年前发布,420,"29,641元/平"
带车库 精装修 房东诚心 价格可谈 看房 提前联系,银河湾 -义乌市,4室2厅 | 160平米 | 南 | 精装 | 低楼层(共11层)  | 暂无数据,3人关注 / 一年前发布,400,"25,000元/平"
欧景名城，精装修 边套 满两年 带车位，没占用，急卖,万厦欧景爵园 -稠江,3室2厅 | 178平米 | 南 | 精装 | 低楼层(共33层)  | 暂无数据,3人关注 / 一年前发布,470,"26,405元/平"
出售滨江锦绣之城毛坯满二双车位四室两厅两卫,滨江锦绣之城 -稠城,4室2厅 | 134平米 | 南 | 毛坯 | 低楼层(共30层)  | 暂无数据,0人关注 / 1个月以前发布,530,"39,553元/平"
荷塘月色 大四房精装修房东诚心出售2个大阳台，双车位,荷塘月色 -义乌市,4室2厅 | 175平米 | 东南 南 西南 | 精装 | 高楼层(共35层)  | 板楼,3人关注 / 一年前发布,498,"28,458元/平"
后宅 高尔夫 捡便宜房出售 交通便利,金城高尔夫二区 -后宅,3室2厅 | 128平米 | 南 | 简装 | 低楼层(共14层)  | 暂无数据,1人关注 / 一年前发布,300,"23,438元/平"
后宅大四房，封闭式高档小区，采光好,滨江公园壹号 -义乌市,4室2厅 | 131平米 | 南 北 | 毛坯 | 中楼层(共8层)  | 暂无数据,3人关注 / 一年前发布,404.5,"30,878元/平"
百变毛坯，随心装修 出行方便 生活便利 CBD一期好位置,世贸中心 -福田,3室1厅 | 224平米 | 南 北 | 毛坯 | 中楼层(共58层)  | 暂无数据,0人关注 / 1个月以前发布,850,"37,947元/平"
义乌后花园 金城一区 带车库 满两年 房东诚心出售,金城高尔夫一区 -后宅,3室2厅 | 130平米 | 南 | 精装 | 高楼层(共9层)  | 暂无数据,11人关注 / 一年前发布,245,"18,847元/平"
中央公馆，边套，满二 带双车位，小区中间位置急卖,中央公馆 -稠城,4室2厅 | 172.58平米 | 南 | 毛坯 | 低楼层(共21层)  | 暂无数据,1人关注 / 一年前发布,950,"55,047元/平"
老城南，佰万毫华装修，大边套，带车库带仓库,中央公馆 -稠城,3室2厅 | 157平米 | 南 北 | 精装 | 中楼层(共21层)  | 暂无数据,6人关注 / 一年前发布,880,"56,051元/平"
皇冠三房新户型精装修未入住，采光好,皇冠长岛国际 -廿三里,3室2厅 | 94.5平米 | 南 北 | 精装 | 高楼层(共30层)  | 暂无数据,2人关注 / 8个月以前发布,222,"23,493元/平"
现代花园，带车库，带装修，诚心出售，急卖，户型好,现代花园 -北苑,3室2厅 | 138平米 | 南 北 | 精装 | 低楼层(共16层)  | 暂无数据,0人关注 / 4个月以前发布,340,"24,638元/平"
稠江万达旁，墅级大平层。欧景356平大五房，视野开阔,万厦欧景爵园 -稠江,5室3厅 | 356平米 | 南 | 精装 | 中楼层(共33层)  | 暂无数据,1人关注 / 8个月以前发布,950,"26,686元/平"
电梯新房带花园 纯天然毛坯 。。。。,众安·宝龙广场 -城西,3室2厅 | 83平米 | 南 | 毛坯 | 高楼层(共12层)  | 板楼,0人关注 / 一年前发布,196.8,"23,711元/平"
小面积的绣湖房子、总价低、看房方便,新马路公寓 -稠城,1室1厅 | 38.66平米 | 南 | 精装 | 中楼层(共6层)  | 板塔结合,3人关注 / 一年前发布,305,"78,893元/平"
蒲荷花苑 带露台 百变毛坯 任你装修今年刚交房,众安.蒲荷花苑 -城西,3室2厅 | 89平米 | 南 | 其他 | 低楼层(共12层)  | 暂无数据,0人关注 / 一年前发布,192,"21,574元/平"
海景花园 2室2厅 南,海景花园 -稠城,2室2厅 | 90平米 | 南 | 其他 | 低楼层(共30层)  | 暂无数据,1人关注 / 一年前发布,338,"37,556元/平"
丹溪一区自住精装修大两房采光好满两年交通便利配套全,丹溪北路 -北苑,2室2厅 | 91平米 | 南 | 其他 | 中楼层(共6层)  | 暂无数据,0人关注 / 一年前发布,310,"34,066元/平"
此房满二带车位 自住精装 绿城物业 人车分流,和聚园 -北苑,3室2厅 | 140平米 | 南 | 其他 | 低楼层(共15层)  | 暂无数据,13人关注 / 一年前发布,370,"26,429元/平"
和聚园 2室1厅 南,和聚园 -北苑,2室1厅 | 72.52平米 | 南 | 其他 | 低楼层(共15层)  | 平房,0人关注 / 2个月以前发布,225,"31,026元/平"
价格低  楼层好   视野好  无遮挡,皇冠长岛国际 -廿三里,2室1厅 | 87平米 | 南 | 其他 | 低楼层(共30层)  | 暂无数据,6人关注 / 一年前发布,175,"20,115元/平"
边套，精装修，带23平车库，带家具家电，价格可以谈,金桥人家 -廿三里,4室2厅 | 184平米 | 南 | 简装 | 中楼层(共18层)  | 暂无数据,1人关注 / 一年前发布,380,"20,653元/平"
顶楼楼中楼，带车库，视野开阔，无遮挡，采光好，急卖,伊美望族 -江东,4室1厅 | 190平米 | 南 | 其他 | 高楼层(共32层)  | 暂无数据,0人关注 / 一年前发布,690,"36,316元/平"
江东  东方银座 精装修 楼层好  看房方便,东方银座 -江东,3室1厅 | 143.9平米 | 南 | 其他 | 低楼层(共8层)  | 板塔结合,0人关注 / 一年前发布,335,"23,281元/平"
