标题,开发商,房子信息,发布信息,售价/万,单价
四季园著经典小两房格局好，配套设施齐..,荣成四季园著 -一七五,2室1厅 | 48.66平米 | 西 北 | 简装 | 低楼层(共18层)  | 板楼,0人关注 / 17天以前发布,68.6,"14,098元/平"
出售绿洲富城精装三房两卫中层满五唯一拎包入住,绿洲富城 -北斗工业区,3室2厅 | 94.5平米 | 南 北 | 精装 | 中楼层(共15层)  | 板楼,0人关注 / 23天以前发布,94,"9,948元/平"
佳苑花园 3室2厅 南,佳苑花园 -中山公园,3室2厅 | 108.09平米 | 南 | 精装 | 高楼层(共7层)  | 板楼,10人关注 / 7个月以前发布,148.8,"13,767元/平"
碧湖万达中.央华城旁永大星城137平大4房 南北通透边套,永大星城 -人民广场,4室2厅 | 139.41平米 | 南 西 北 | 其他 | 高楼层(共32层)  | 板楼,2人关注 / 一年前发布,135,"9,684元/平"
沃尔玛商圈 小2房户型 。生活，交通便利,天下广场C区 -沃尔玛,2室1厅 | 62.97平米 | 北 | 简装 | 低楼层(共18层)  | 板楼,0人关注 / 20天以前发布,76,"12,070元/平"
吾悦广场旁 港城御龙湾精装三房 满五唯一,港城•御龙湾 -人民广场,3室2厅 | 112.33平米 | 南 | 精装 | 低楼层(共28层)  | 板楼,0人关注 / 22天以前发布,152,"13,532元/平"
人民广场花海 天利大润发边 锦绣一方 小2房,锦绣一方 -人民广场,2室1厅 | 53.15平米 | 北 | 简装 | 高楼层(共18层)  | 板楼,0人关注 / 27天以前发布,68,"12,794元/平"
新浦花园   中医院  健康楼层  光线好  设施齐全,新浦花园 -中医院,3室1厅 | 87.56平米 | 南 北 | 简装 | 中楼层(共8层)  | 板楼,0人关注 / 26天以前发布,83,"9,480元/平"
建元南花园 3房 南北通透自住装修,建元南花园 -江滨,3室2厅 | 126.82平米 | 南 北 | 精装 | 高楼层(共33层)  | 板楼,4人关注 / 一年前发布,167.2,"13,185元/平"
全景看江 视野好  好楼层 配套齐全,龙湾盛世 -江滨,3室2厅 | 152.23平米 | 南 | 精装 | 中楼层(共34层)  | 板楼,7人关注 / 6个月以前发布,224,"14,715元/平"
房东自住装修 满五唯一三面采光 视野开阔 看房方便,丹霞名城 -一七五,3室2厅 | 110.82平米 | 南 北 | 精装 | 高楼层(共25层)  | 板楼,4人关注 / 10个月以前发布,150,"13,536元/平"
大唐印象 楼中楼 4房两厅两卫 户型好,大唐印象 -女排大润发,4室2厅 | 113.55平米 | 南 北 | 其他 | 中楼层(共23层)  | 板楼,0人关注 / 6天以前发布,284.9,"25,091元/平"
福晟钱隆樽品1期 3室1厅 东南,福晟钱隆樽品1期 -福隆城商圈,3室1厅 | 110平米 | 东南 | 其他 | 高楼层(共32层)  | 板楼,0人关注 / 5天以前发布,155,"14,091元/平"
高楼层，可以看江，湘桥湖，市医院..,中骏蓝湾香郡三期 -湘桥湖周边,3室2厅 | 88.83平米 | 东南 南 | 其他 | 高楼层(共33层)  | 板塔结合,0人关注 / 4天以前发布,117.5,"13,228元/平"
厦门西，云龙海岸正规一室一厅，电梯朝南，无遮挡,云龙海岸二期 -龙池开发区,1室1厅 | 41.63平米 | 南 | 简装 | 低楼层(共11层)  | 板塔结合,0人关注 / 8天以前发布,41.5,"9,969元/平"
此房满五不唯一，买一层用两层，使用面积大。,都市阳光 -沃尔玛,1室1厅 | 51.8平米 | 南 北 | 精装 | 高楼层(共20层)  | 板楼,0人关注 / 6天以前发布,86,"16,603元/平"
中海唯一一套在售高楼层130㎡，全景闽南水乡！,中海·上湾 -闽南水乡,4室2厅 | 129.72平米 | 南 北 | 毛坯 | 高楼层(共32层)  | 板楼,0人关注 / 12天以前发布,236,"18,194元/平"
万科精装房，房东诚意出售。视野不错，栋距宽。,万科滨江府 -金峰,4室2厅 | 113.29平米 | 南 北 | 精装 | 低楼层(共40层)  | 板塔结合,3人关注 / 3个月以前发布,160.88,"14,201元/平"
满五唯一，免个税，江滨花园，业主急售,江滨花园 -江滨,3室1厅 | 121.29平米 | 南 | 精装 | 中楼层(共8层)  | 板楼,44人关注 / 一年前发布,97.1,"8,006元/平"
小洋楼 厦门西 圣 地亚哥 免双税 南北向 大3房 得房高,圣地亚哥 -龙池开发区,3室1厅 | 89.54平米 | 南 北 | 精装 | 6层  | 板楼,11人关注 / 7个月以前发布,125,"13,961元/平"
此房业主急售，楼层很好，格局方正，视野宽阔。,翼特丽景城 -蓝田宝龙商圈,3室2厅 | 100.47平米 | 南 北 | 毛坯 | 高楼层(共18层)  | 板楼,11人关注 / 5个月以前发布,99,"9,854元/平"
芗城江滨版块江滨花园低层边套三房证在手仅107万,江滨花园 -江滨,3室2厅 | 117.26平米 | 南 北 | 简装 | 低楼层(共7层)  | 板楼,0人关注 / 1个月以前发布,107,"9,126元/平"
南北朝向格局，楼合格层好视野宽阔。,悦景豪庭 -江滨,3室2厅 | 131.43平米 | 南 北 | 精装 | 低楼层(共21层)  | 板楼,0人关注 / 1个月以前发布,169,"12,859元/平"
公园旁景装修金品花园小区满五唯一。南北朝向。采光好,金品花园 -金峰,3室2厅 | 99.02平米 | 南 北 | 简装 | 高楼层(共18层)  | 板塔结合,7人关注 / 8个月以前发布,120,"12,119元/平"
特房锦绣碧湖  143平四房  精装修,特房锦绣碧湖 -碧湖万达,3室2厅 | 143平米 | 南 | 精装 | 高楼层(共31层)  | 板楼,0人关注 / 2个月以前发布,284.5,"19,896元/平"
带带带露台 明厨明卫 南北向 精装小三房（香榭花都）,夏商香榭花都 -一七五,3室1厅 | 88.89平米 | 南 北 | 精装 | 低楼层(共18层)  | 板楼,0人关注 / 1个月以前发布,108,"12,150元/平"
南北朝向，小区设施配套齐全，交通便捷，明厨明卫,特房锦绣碧湖 -碧湖万达,3室2厅 | 135.77平米 | 南 | 精装 | 中楼层(共30层)  | 板楼,0人关注 / 2个月以前发布,244.5,"18,009元/平"
东升花园 满五唯一 房东诚意出售,东升花园 -碧湖万达,3室2厅 | 100.79平米 | 南 北 | 简装 | 中楼层(共18层)  | 板塔结合,3人关注 / 6个月以前发布,129,"12,799元/平"
大唐地产.具有古典美的小区.房东诚意出售,大唐世家一期 -南滨大道,4室2厅 | 91.48平米 | 西南 | 毛坯 | 低楼层(共18层)  | 板楼,1人关注 / 一年前发布,69,"7,543元/平"
满五唯一，免土地出让金，全新装修三房，，框架房,竹围新村 -沃尔玛,3室2厅 | 80.98平米 | 南 北 | 精装 | 中楼层(共8层)  | 板楼,16人关注 / 3个月以前发布,76,"9,386元/平"
此套房源为中楼层！采光很好，南北朝向，出入方便！,永鸿国际城 -金峰,3室2厅 | 75.32平米 | 南 北 | 精装 | 中楼层(共18层)  | 板楼,16人关注 / 一年前发布,90,"11,950元/平"
大润发冠成国际旁 华元小区 电梯中楼层 大3房2卫漂亮,华元小区 -女排大润发,3室2厅 | 133.51平米 | 南 北 | 精装 | 中楼层(共17层)  | 板楼,18人关注 / 9个月以前发布,186,"13,932元/平"
九十九湾  融信壹号府  毛呸 三房 看房随时,融信壹号府 -人民广场,3室1厅 | 104.32平米 | 东南 | 毛坯 | 中楼层(共31层)  | 板楼,1人关注 / 5个月以前发布,137,"13,133元/平"
圣.地亚哥  花园式洋房 南北通透  双免 视野好,圣地亚哥 -龙池开发区,3室2厅 | 133.99平米 | 东 南 北 | 毛坯 | 18层  | 板楼,0人关注 / 5个月以前发布,145,"10,822元/平"
卡达凯斯 海景房采光好i通风好,招商卡达凯斯 -南滨大道,2室2厅 | 90.92平米 | 南 西南 | 毛坯 | 30层  | 板塔结合,1人关注 / 1个月以前发布,76.8,"8,447元/平"
大唐世家二期 精装入户 随时看房！业主诚意出售！,大唐世家二期 -南滨大道,2室1厅 | 63.39平米 | 东南 | 精装 | 低楼层(共17层)  | 板塔结合,20人关注 / 5个月以前发布,53,"8,361元/平"
便宜丹霞名城电梯三房90.5平自住装修只卖108万,丹霞名城 -一七五,3室2厅 | 90.53平米 | 东南 南 | 精装 | 中楼层(共15层)  | 板楼,34人关注 / 6个月以前发布,108.6,"11,997元/平"
永鸿南岸 好房出售，楼层好，户型方正,永鸿南岸二期 -南滨大道,3室2厅 | 100.57平米 | 东南 | 毛坯 | 高楼层(共32层)  | 板楼,1人关注 / 3个月以前发布,88,"8,751元/平"
女排武夷名仕园 东边套 中楼层,武夷名仕园 -女排大润发,3室2厅 | 123.75平米 | 南 北 东 | 简装 | 中楼层(共6层)  | 板楼,0人关注 / 1个月以前发布,146,"11,798元/平"
万科滨江府高楼层。位置好.离九龙江一线之隔,万科滨江府 -金峰,4室1厅 | 122平米 | 南 北 | 精装 | 低楼层(共39层)  | 板楼,4人关注 / 一年前发布,175,"14,345元/平"
江滨正两房，自住精装修，视野开阔，光线充足。,江滨花园 -江滨,2室1厅 | 93.8平米 | 东 东南 | 精装 | 中楼层(共19层)  | 塔楼,12人关注 / 6个月以前发布,110,"11,728元/平"
宝龙旁精装三房二厅两卫 南北通透 位置好 楼层好,阳光美地二期 -蓝田宝龙商圈,3室2厅 | 89.48平米 | 南 北 | 精装 | 高楼层(共15层)  | 板楼,0人关注 / 23天以前发布,103.8,"11,601元/平"
位于西湖和西苑湖中间，前面有九龙江，远处有圆山。,正得格林兰庭 -金峰,3室2厅 | 112.68平米 | 东南 | 精装 | 中楼层(共26层)  | 板楼,0人关注 / 1个月以前发布,140.85,"12,500元/平"
人民广场旁锦绣一方，复式楼中楼， 精修小两房，高层,锦绣一方 -人民广场,2室1厅 | 38平米 | 北 | 精装 | 高楼层(共12层)  | 板楼,1人关注 / 22天以前发布,63,"16,579元/平"
招商央企卡达凯斯精装 看海 全明结构 视野无遮挡,招商卡达凯斯 -南滨大道,2室2厅 | 85.9平米 | 东南 | 精装 | 26层  | 板塔结合,1人关注 / 19天以前发布,97.5,"11,351元/平"
此房源格局好，采光充足，视野宽阔,群裕小区 -一七五,2室1厅 | 60.67平米 | 南 北 | 精装 | 高楼层(共7层)  | 板楼,0人关注 / 22天以前发布,53.8,"8,868元/平"
锦绣一方.朝南.通风.采光.视野开阔,锦绣一方 -人民广场,1室1厅 | 37.31平米 | 南 | 简装 | 中楼层(共12层)  | 板楼,0人关注 / 17天以前发布,68,"18,226元/平"
此房满两年，小区低层，采光通风好。客厅看小区中庭,瑞京城北区 -市政府,3室2厅 | 122.22平米 | 南 北 | 毛坯 | 低楼层(共33层)  | 板楼,1人关注 / 25天以前发布,129,"10,555元/平"
新都城市广场 2室1厅 西南,新都城市广场 -漳浦城西,2室1厅 | 94平米 | 西南 | 其他 | 低楼层(共29层)  | 板楼,0人关注 / 15天以前发布,50,"5,320元/平"
宝龙旁 蓝山丽景 小两房中高楼层 配套齐全 拎包入住,蓝山丽景 -蓝田宝龙商圈,2室1厅 | 47.3平米 | 南 | 简装 | 中楼层(共9层)  | 板楼,27人关注 / 一年前发布,48.5,"10,254元/平"
三盛国际城海岸 高层 两房 全明 格局 满五唯一,三盛国际海岸 -港尾镇,2室2厅 | 76.06平米 | 南 | 毛坯 | 32层  | 板楼,3人关注 / 5个月以前发布,45.8,"6,022元/平"
此房是该小区中楼层，小三房户型好，使用面积大,延安广场二期 -女排大润发,3室2厅 | 88.9平米 | 南 北 | 其他 | 中楼层(共15层)  | 板楼,0人关注 / 13天以前发布,135,"15,186元/平"
中骏四季阳光三期 3室2厅 东南 南,中骏四季阳光三期 -角美台商投资区,3室2厅 | 89平米 | 东南 南 | 毛坯 | 低楼层(共33层)  | 板塔结合,3人关注 / 一年前发布,126.5,"14,214元/平"
华坤花园  电梯房 交通方便  楼层好 采光好,华坤花园二期 -龙池开发区,3室1厅 | 88.48平米 | 南 | 其他 | 低楼层(共34层)  | 板楼,0人关注 / 6个月以前发布,106,"11,981元/平"
动静分离，明厨明卫，格局方正，品质小区，物业服务好,招商卡达凯斯 -南滨大道,2室2厅 | 87.63平米 | 东南 | 其他 | 32层  | 板塔结合,0人关注 / 9个月以前发布,103,"11,754元/平"
福隆城北区高楼层带装修诚意出售,福隆城北区 -福隆城商圈,3室2厅 | 128.97平米 | 东南 南 | 精装 | 中楼层(共18层)  | 板楼,1人关注 / 2个月以前发布,165,"12,794元/平"
视野宽阔，采光充足，格局方正，配套设施成熟。,恒大御景半岛 -碧湖万达,3室2厅 | 107.28平米 | 东南 | 精装 | 中楼层(共32层)  | 板楼,0人关注 / 1个月以前发布,203.8,"18,998元/平"
融信半山云顶楼中楼精装修业主急卖,融信半山云顶 -招商大道,4室2厅 | 115.6平米 | 南 北 | 精装 | 低楼层(共29层)  | 板楼,7人关注 / 3个月以前发布,115,"9,949元/平"
永鸿南岸户型方正采光充足通透可看湖景,永鸿南岸二期 -南滨大道,3室1厅 | 101.95平米 | 南 | 毛坯 | 中楼层(共33层)  | 板楼,1人关注 / 1个月以前发布,84,"8,240元/平"
保利世茂璀璨滨江 3室1厅 南,保利世茂璀璨滨江 -闽南水乡,3室1厅 | 93.94平米 | 南 | 毛坯 | 高楼层(共33层)  | 板楼,0人关注 / 5个月以前发布,139.8,"14,882元/平"
融信品质观山海 中高层景观好 满五唯一 养老宜居度假,融信观山海 -南滨大道,3室2厅 | 110平米 | 南 | 毛坯 | 中楼层(共33层)  | 板塔结合,4人关注 / 4个月以前发布,84,"7,637元/平"
"满二全新装修,格局通透,视野开阔,全明无遮挡",阳光城凡尔赛宫二期 -角美台商投资区,4室1厅 | 115.74平米 | 西南 | 精装 | 高楼层(共33层)  | 板塔结合,5人关注 / 一年前发布,175,"15,121元/平"
莘园房东自住精装修大三房出售，家具家电齐全看房方便,福晟钱隆学府莘园小区东区 -福隆城商圈,3室2厅 | 125.25平米 | 东南 | 精装 | 低楼层(共18层)  | 板楼,1人关注 / 2个月以前发布,120,"9,581元/平"
房子楼层好，采光充足，屋子里空气流通。,滨海凯城花园 -港尾镇,3室1厅 | 114平米 | 南 北 | 毛坯 | 中楼层(共6层)  | 暂无数据,0人关注 / 1个月以前发布,41,"3,597元/平"
园林小区 圣.地亚哥边套三房 南北通透 客卧朝南,圣地亚哥 -龙池开发区,3室2厅 | 139.17平米 | 南 北 | 简装 | 12层  | 板楼,2人关注 / 1个月以前发布,158,"11,354元/平"
一梯一户，天利仁和毛胚大四房 看中庭 观景园林,天利仁和 -碧湖万达,4室2厅 | 173平米 | 南 | 毛坯 | 中楼层(共17层)  | 板楼,24人关注 / 一年前发布,285.45,"16,500元/平"
中骏3房不过河，单价1.3万 看中庭  视野好   采光佳,中骏四季阳光一期 -角美台商投资区,3室2厅 | 89.72平米 | 南 | 毛坯 | 低楼层(共26层)  | 板塔结合,2人关注 / 一年前发布,118,"13,153元/平"
华艺世纪佳源 小两房 户型方正，南北朝向，采光通风好,华艺世纪佳源 -闽南水乡,2室1厅 | 49平米 | 南 北 | 精装 | 中楼层(共26层)  | 暂无数据,0人关注 / 15天以前发布,74,"15,103元/平"
江滨榕御电梯高层满五唯一两房视野开阔无遮挡全南户型,榕御 -江滨,2室2厅 | 90平米 | 东 东南 | 精装 | 高楼层(共18层)  | 板楼,0人关注 / 11天以前发布,149,"16,556元/平"
新上好房源.采光充足.小区内的楼中楼.114平4房2厅,大唐印象 -女排大润发,4室2厅 | 113.43平米 | 南 北 | 毛坯 | 中楼层(共23层)  | 板楼,0人关注 / 11天以前发布,269,"23,716元/平"
沃尔玛商圈，电力新村 86.28㎡   60 万,电力新村 -沃尔玛,2室1厅 | 86.28平米 | 南 | 简装 | 高楼层(共7层)  | 板楼,0人关注 / 8天以前发布,58,"6,723元/平"
佳苑芗城北桥菜市场边单身公寓一房一厅一阳台无在校,佳苑花园 -中山公园,1室1厅 | 51.16平米 | 南 西 | 简装 | 中楼层(共8层)  | 板楼,0人关注 / 3个月以前发布,83,"16,224元/平"
急售 急售 钱隆樽品1期  89平三房 精装未入住,福晟钱隆樽品1期 -福隆城商圈,3室2厅 | 89.49平米 | 南 | 精装 | 中楼层(共33层)  | 板塔结合,0人关注 / 3个月以前发布,116,"12,963元/平"
万达中华城  得房率高  房东换房急售 满五唯一 免双税,万达中央华城3期 -角美台商投资区,3室2厅 | 89.52平米 | 南 | 毛坯 | 低楼层(共17层)  | 板楼,0人关注 / 一年前发布,95,"10,613元/平"
西班牙小镇，网红打卡地卡达凯斯看海两房房东诚意出售,招商卡达凯斯 -南滨大道,2室2厅 | 83.83平米 | 东南 | 毛坯 | 32层  | 板塔结合,3人关注 / 一年前发布,88,"10,498元/平"
毛坯房，无改动，户型方正，双面采光无遮挡,漳州大唐世家 -一七五,3室2厅 | 87.11平米 | 南 | 毛坯 | 低楼层(共13层)  | 板楼,4人关注 / 一年前发布,79,"9,069元/平"
和平里北区，户型方正，采光好，无在校，看房方便。,和平里北区 -女排大润发,2室2厅 | 70.91平米 | 东 西 | 精装 | 中楼层(共8层)  | 暂无数据,62人关注 / 一年前发布,69.8,"9,844元/平"
万达华城，低楼层，采光好，视野开阔,万达中央华城 -碧湖万达,2室2厅 | 87.03平米 | 南 | 精装 | 低楼层(共33层)  | 板楼,13人关注 / 一年前发布,110,"12,640元/平"
万达 江滨板块，满五 户型方正采光通透,建元南花园 -江滨,2室1厅 | 81平米 | 南 | 简装 | 高楼层(共18层)  | 板楼,1人关注 / 1个月以前发布,106,"13,087元/平"
二职校宿舍园丁园小区 有电梯 两房 南北向 入户花园,园丁园小区 -江滨,2室2厅 | 74.47平米 | 南 | 简装 | 低楼层(共9层)  | 板楼,0人关注 / 1个月以前发布,88,"11,817元/平"
锦绣一方实验中旁书香世家74平朝南精修2房急售99.9万,书香世家 -人民广场,2室1厅 | 74.43平米 | 南 | 精装 | 中楼层(共18层)  | 板楼,0人关注 / 3个月以前发布,99.9,"13,423元/平"
鑫荣小区西区小区内，户型方正，采光好,鑫荣小区西区 -女排大润发,2室1厅 | 42.13平米 | 南 | 简装 | 中楼层(共9层)  | 板楼,1人关注 / 2个月以前发布,59,"14,005元/平"
此房满五唯一，东边套，采光足，带百平大露台。,惠民花园二期 -金峰,2室1厅 | 67.51平米 | 南 | 精装 | 低楼层(共12层)  | 板楼,10人关注 / 一年前发布,64.8,"9,599元/平"
大润发女排朝南，冠成二房自住装修，采光好高楼层,冠成国际 -女排大润发,2室1厅 | 48.33平米 | 南 | 精装 | 中楼层(共18层)  | 板楼,0人关注 / 2个月以前发布,119.85,"24,799元/平"
高层海景美丽 中档装修 通透性好,招商卡达凯斯 -南滨大道,3室2厅 | 116.06平米 | 东 南 | 精装 | 30层  | 板塔结合,24人关注 / 一年前发布,122,"10,512元/平"
