标题,开发商,房子信息,发布信息,售价/万,单价
名仕康城.小区绿化好.楼层好.采光好.户型南北通透,名仕康城 -大市场商圈,4室2厅 | 143.82平米 | 南 北 | 毛坯 | 高楼层(共19层)  | 板塔结合,14人关注 / 一年前发布,81,"5,633元/平"
大润发旁信州区满2年小三房有钥匙,龙华世纪城 -行政中心商圈,3室2厅 | 95.07平米 | 南 | 毛坯 | 低楼层(共33层)  | 板楼,0人关注 / 11天以前发布,78,"8,205元/平"
此房满五年 通透户型好 采光好精装修可拎包入住,花郡 -紫阳商圈,3室2厅 | 143平米 | 东南 | 精装 | 低楼层(共24层)  | 板塔结合,0人关注 / 6天以前发布,135,"9,441元/平"
江湾丽城 1室1厅 南,江湾丽城 -万达商圈,1室1厅 | 57.35平米 | 南 | 简装 | 高楼层(共18层)  | 板楼,1人关注 / 9天以前发布,43,"7,498元/平"
一线江景房180度看江 近七晓 电梯中层 毛坯可随意装修,海博蓝庭 -七六路商圈,3室2厅 | 118.86平米 | 南 | 毛坯 | 中楼层(共32层)  | 板楼,0人关注 / 3个月以前发布,85,"7,152元/平"
大二房 交通方便  成熟小区 配套齐全,晶华美郡 -经开区商圈,2室2厅 | 88平米 | 南 北 | 简装 | 中楼层(共7层)  | 板塔结合,1人关注 / 1个月以前发布,55,"6,250元/平"
市政府旁，小区地段好，交通方便，生活配套齐全,嘉怡华府 -万达商圈,5室2厅 | 216.08平米 | 南 | 毛坯 | 高楼层(共7层)  | 板塔结合,15人关注 / 一年前发布,213.8,"9,895元/平"
天骄家园步梯4楼，东边套，采光通风不错，户型方正,天骄家园 -商贸城商圈,3室2厅 | 118.55平米 | 南 北 | 简装 | 中楼层(共7层)  | 板楼,1人关注 / 4个月以前发布,76,"6,411元/平"
这套房子楼层好，户型三开间朝南，户型端正，采光好,香江明珠 -七六路商圈,3室2厅 | 91.08平米 | 南 | 毛坯 | 中楼层(共23层)  | 板塔结合,3人关注 / 4个月以前发布,72.8,"7,993元/平"
步梯二层，户型通透 得房率高公摊少,三江名人花园 -大市场商圈,3室2厅 | 131.73平米 | 南 | 精装 | 低楼层(共7层)  | 板楼,4人关注 / 一年前发布,70.9,"5,383元/平"
顺旺小区 三菜场旁 单价5000多中间楼层 公摊小近吾悦,顺旺小区 -旭日商圈,3室2厅 | 113.89平米 | 南 | 简装 | 中楼层(共7层)  | 板楼,8人关注 / 5个月以前发布,65,"5,708元/平"
满2年，带装修拎包入住，看房方便，业主诚售,博能瀚林院 -大市场商圈,2室2厅 | 99.28平米 | 东南 | 简装 | 低楼层(共24层)  | 塔楼,2人关注 / 3个月以前发布,64.8,"6,527元/平"
师院旁 小区环境优美 此房方正大三房，户型方正格局好,明阳大学公馆 -大市场商圈,3室2厅 | 104.47平米 | 南 北 | 毛坯 | 中楼层(共11层)  | 板塔结合,0人关注 / 4个月以前发布,71,"6,797元/平"
汇仁阳光花园 精装修 ，户型端正，环境采光好,汇仁阳光花园 -经开区商圈,3室2厅 | 87.93平米 | 南 北 | 精装 | 高楼层(共33层)  | 板塔结合,2人关注 / 一年前发布,65,"7,393元/平"
十里风荷 3室2厅 南,十里风荷 -旭日商圈,3室2厅 | 117.13平米 | 南 | 毛坯 | 中楼层(共11层)  | 平房,0人关注 / 26天以前发布,64,"5,465元/平"
县广场旁，花园别墅，精装修，产证满五唯一！,东方家园 -旭日商圈,5室2厅 | 298.09平米 | 南 | 精装 | 低楼层(共4层)  | 板塔结合,2人关注 / 28天以前发布,328,"11,004元/平"
房子满五唯一，税费低，房东诚心出售！,阳光花城 -旭日商圈,3室2厅 | 112.34平米 | 南 | 简装 | 低楼层(共7层)  | 板楼,2人关注 / 4个月以前发布,76,"6,766元/平"
其中旁精装小三房，园林小区。拎包入住！,翼天·熙龙湾 -旭日商圈,3室2厅 | 90平米 | 南 | 精装 | 中楼层(共18层)  | 板塔结合,0人关注 / 9天以前发布,90,"10,000元/平"
全新精装 只住过半年  拎包入住,翼天·熙龙湾 -旭日商圈,3室2厅 | 124.16平米 | 南 | 精装 | 高楼层(共23层)  | 板塔结合,0人关注 / 1个月以前发布,149,"12,001元/平"
信江府大平层精装修还有两个车位，房东急售，看房方便,博能信江府 -七六路商圈,5室2厅 | 176.87平米 | 南 | 精装 | 中楼层(共17层)  | 暂无数据,0人关注 / 31天以前发布,174,"9,838元/平"
天达雅居 3室3厅 南,天达雅居 -商贸城商圈,3室3厅 | 173.55平米 | 南 | 毛坯 | 高楼层(共7层)  | 暂无数据,0人关注 / 17天以前发布,70,"4,034元/平"
带入户花园 大四房 看房随时  景观层,汇成观邸 -行政中心商圈,4室2厅 | 127.16平米 | 南 | 毛坯 | 高楼层(共27层)  | 板楼,0人关注 / 21天以前发布,121,"9,516元/平"
3房带2个露台，县广场旁，诚心出售，交通便利菜市场近,天一尊邸 -经开区商圈,3室2厅 | 115.71平米 | 南 | 简装 | 高楼层(共7层)  | 板楼,0人关注 / 1个月以前发布,65,"5,618元/平"
御景天下 3室2厅 南,御景天下 -行政中心商圈,3室2厅 | 135.91平米 | 南 | 简装 | 高楼层(共25层)  | 板楼,1人关注 / 17天以前发布,143,"10,522元/平"
户型方正，格局分布合理，朝向采光充足，视野开阔,金龙岗3号 -亿升商圈,3室1厅 | 86.79平米 | 南 | 其他 | 中楼层(共5层)  | 暂无数据,0人关注 / 3个月以前发布,71,"8,181元/平"
业主急售，友邦一号院毛坯四房诚心出售,友邦壹号院 -行政中心商圈,4室2厅 | 133.07平米 | 南 北 | 毛坯 | 低楼层(共33层)  | 板楼,0人关注 / 9天以前发布,140,"10,521元/平"
亿豪星城三房，毛坯可以随意装修，型号好，看房方便,亿豪星城 -旭日商圈,3室2厅 | 99.97平米 | 南 | 其他 | 低楼层(共25层)  | 板楼,1人关注 / 一年前发布,89.8,"8,983元/平"
万达华府 3室1厅 南,万达华府 -万达商圈,3室1厅 | 86.92平米 | 南 | 精装 | 中楼层(共30层)  | 板楼,0人关注 / 2个月以前发布,97,"11,160元/平"
小区环境好 位置城北发展潜力佳 交通便利,十里风荷 -旭日商圈,3室2厅 | 120.9平米 | 南 北 | 毛坯 | 中楼层(共11层)  | 板楼,0人关注 / 1个月以前发布,65,"5,377元/平"
业主诚心出售，文家自 建房，可交易，有天有地，仅228,文家居委会文家166号 -旭日商圈,7室2厅 | 325平米 | 南 | 毛坯 | 低楼层(共3层)  | 暂无数据,1人关注 / 3个月以前发布,222,"6,831元/平"
步梯三楼，精装修，产证满五唯一！,晶华美郡 -经开区商圈,3室2厅 | 110.32平米 | 东南 | 精装 | 低楼层(共6层)  | 板塔结合,0人关注 / 1个月以前发布,66,"5,983元/平"
熙龙湾后面一排 电梯中区 精装三房 可看整个时光park,翼天·熙龙湾 -旭日商圈,3室2厅 | 99.8平米 | 南 | 精装 | 中楼层(共18层)  | 板楼,0人关注 / 2个月以前发布,112,"11,223元/平"
房东诚心出售， 产权，满五年税费少。南向采光好,汇成观邸 -行政中心商圈,3室2厅 | 92.36平米 | 南 | 简装 | 低楼层(共30层)  | 板楼,15人关注 / 5个月以前发布,78,"8,446元/平"
九州奥城毛坯大三房，产证满五年省税。,九州奥城 -十一小商圈,3室2厅 | 118平米 | 南 | 毛坯 | 中楼层(共7层)  | 板楼,1人关注 / 3个月以前发布,90,"7,628元/平"
精装修户型好，前后无遮挡采光充足,帝景湾 -旭日商圈,3室2厅 | 114平米 | 南 | 精装 | 高楼层(共18层)  | 板塔结合,0人关注 / 5个月以前发布,99,"8,685元/平"
友邦广场商圈 东边套 大四房 带车位 随时看房,友邦玫瑰公馆 -行政中心商圈,4室2厅 | 132.02平米 | 南 | 毛坯 | 低楼层(共33层)  | 板塔结合,37人关注 / 一年前发布,105.8,"8,014元/平"
亿豪星城 七中八小旁 电梯中层精装修拎包入住,亿豪星城 -旭日商圈,4室2厅 | 110.08平米 | 东南 | 精装 | 低楼层(共28层)  | 板楼,3人关注 / 一年前发布,117,"10,629元/平"
房东诚心出售 对流三加一房 楼层好 采光充足,龙湖一品 -行政中心商圈,4室1厅 | 131.23平米 | 南 | 其他 | 中楼层(共26层)  | 板楼,0人关注 / 4天以前发布,160,"12,193元/平"
道塘巷4号 3室2厅 南,道塘巷4号 -亿升商圈,3室2厅 | 118.86平米 | 南 | 精装 | 中楼层(共8层)  | 暂无数据,0人关注 / 11天以前发布,69.8,"5,873元/平"
品质物业，户型好，采光好，位子好,德信碧桂园君宸府 -七六路商圈,3室2厅 | 114.31平米 | 南 | 毛坯 | 高楼层(共33层)  | 板楼,0人关注 / 13天以前发布,89,"7,786元/平"
天然氧吧，随时可以看房，可看龙潭湖全景,龙湖一品 -行政中心商圈,3室2厅 | 144.28平米 | 南 | 毛坯 | 高楼层(共18层)  | 板楼,11人关注 / 一年前发布,152,"10,536元/平"
绿野星城 3室2厅 南,绿野星城 -旭日商圈,3室2厅 | 120.78平米 | 南 | 简装 | 低楼层(共6层)  | 板楼,1人关注 / 5个月以前发布,86,"7,121元/平"
满5年过户税费低，业主诚意出售,江南商贸城 -商贸城商圈,3室2厅 | 103.17平米 | 南 | 简装 | 低楼层(共3层)  | 板楼,8人关注 / 4个月以前发布,53,"5,138元/平"
七六路蔚蓝香庭 电梯3房 毛坯,蔚蓝香廷 -旭日商圈,3室2厅 | 107.21平米 | 南 | 毛坯 | 中楼层(共20层)  | 塔楼,0人关注 / 1个月以前发布,74.8,"6,977元/平"
阳明花园大3房！满五年！离学 校 菜 场近交通便利,阳明花园 -旭日商圈,3室2厅 | 120.63平米 | 南 | 简装 | 低楼层(共6层)  | 板楼,0人关注 / 3个月以前发布,71,"5,886元/平"
好地段，户型方正，看房有钥匙，新装修,普济巷 -亿升商圈,2室1厅 | 56.78平米 | 南 | 简装 | 中楼层(共5层)  | 板楼,3人关注 / 4个月以前发布,49,"8,630元/平"
小区环境好，娱乐设施完善，物业好，旁边配套齐全,帝景湾 -旭日商圈,3室2厅 | 120.61平米 | 南 | 毛坯 | 高楼层(共18层)  | 板楼,9人关注 / 一年前发布,88,"7,297元/平"
4a风景区 绿化好小区环境优美小区打造的是家门口公园,十里风荷 -旭日商圈,3室2厅 | 129.92平米 | 南 | 毛坯 | 低楼层(共11层)  | 板楼,0人关注 / 1个月以前发布,74,"5,696元/平"
找房源点进来， 总有你意想不到的。,信美路13号 -旭日商圈,5室2厅 | 124.71平米 | 南 | 简装 | 低楼层(共8层)  | 暂无数据,2人关注 / 一年前发布,54.8,"4,395元/平"
步梯中层，，采光好，户型方正，小区环境好楼间距大,和锦園 -行政中心商圈,3室1厅 | 103.52平米 | 南 北 | 简装 | 中楼层(共5层)  | 板楼,9人关注 / 一年前发布,86,"8,308元/平"
两房拎包入住！房东置换大房，诚心出售,中央公园二期 -紫阳商圈,2室2厅 | 92.85平米 | 南 | 精装 | 高楼层(共21层)  | 板楼,0人关注 / 5天以前发布,85,"9,155元/平"
小三房  精装修 诚心出售 满二  税费低,建亨上东城 -商贸城商圈,3室1厅 | 87.64平米 | 南 | 精装 | 高楼层(共24层)  | 板楼,1人关注 / 1个月以前发布,65,"7,417元/平"
月泉花城-好房出售 万达旁精装修复式楼,月泉花城 -十一小商圈,4室2厅 | 145平米 | 南 | 精装 | 高楼层(共6层)  | 塔楼,4人关注 / 8个月以前发布,99.8,"6,883元/平"
市政府旁带装修三房 电梯中层采光好 业主诚意出售,汇成观邸 -行政中心商圈,3室2厅 | 88.04平米 | 南 | 精装 | 低楼层(共18层)  | 平房,0人关注 / 30天以前发布,96,"10,905元/平"
"户型端正,明厨明卫，楼间距大,",友邦壹号公馆 -十一小商圈,4室2厅 | 121.12平米 | 东南 西北 | 毛坯 | 低楼层(共31层)  | 板塔结合,0人关注 / 29天以前发布,140,"11,559元/平"
友邦壹号公馆 品质小区 物业配套齐全 交通便利。,友邦壹号公馆 -十一小商圈,3室2厅 | 105.09平米 | 南 | 毛坯 | 低楼层(共32层)  | 板塔结合,0人关注 / 27天以前发布,118,"11,229元/平"
翰林逸苑 3室2厅 南 北,翰林逸苑 -旭日商圈,3室2厅 | 127.46平米 | 南 北 | 毛坯 | 高楼层(共11层)  | 暂无数据,0人关注 / 3个月以前发布,68,"5,336元/平"
公园一号南区   带车位   视野好   楼层佳,滨江棕榈公园壹号 -行政中心商圈,4室2厅 | 130.45平米 | 南 | 毛坯 | 7层  | 板楼,17人关注 / 10个月以前发布,153,"11,729元/平"
滨江品质，龙潭湖公园低密洋房，一楼带院子。,滨江棕榈公园壹号 -行政中心商圈,4室2厅 | 131.08平米 | 南 | 毛坯 | 低楼层(共6层)  | 板楼,17人关注 / 6个月以前发布,193,"14,724元/平"
尚锦名都，精装修的四房两厅两卫，拎包入住,尚锦名都 -旭日商圈,4室2厅 | 134.5平米 | 南 | 精装 | 低楼层(共23层)  | 暂无数据,13人关注 / 11个月以前发布,87,"6,469元/平"
此房位置好，采光好，产权清晰，精装修，南北通,香樟花園 -商贸城商圈,2室2厅 | 102.51平米 | 南 北 | 精装 | 中楼层(共6层)  | 板塔结合,0人关注 / 31天以前发布,75,"7,317元/平"
天骄家园 2室1厅 南 北,天骄家园 -商贸城商圈,2室1厅 | 62.7平米 | 南 北 | 简装 | 中楼层(共8层)  | 平房,0人关注 / 18天以前发布,30,"4,785元/平"
福利巷1号 2室1厅 南,福利巷1号 -亿升商圈,2室1厅 | 62平米 | 南 | 简装 | 中楼层(共7层)  | 暂无数据,0人关注 / 29天以前发布,42,"6,775元/平"
龙湖一品 2室1厅 南,龙湖一品 -行政中心商圈,2室1厅 | 53.38平米 | 南 | 精装 | 高楼层(共17层)  | 板楼,0人关注 / 22天以前发布,80,"14,987元/平"
万达商圈批发街中装步梯两房满五年唯一诚心出售,信江中路218号 -亿升商圈,2室1厅 | 71.93平米 | 南 | 简装 | 中楼层(共7层)  | 暂无数据,1人关注 / 3个月以前发布,38,"5,283元/平"
楼下大润发！产证满二年、楼层好，停车方便,龙华世纪城 -行政中心商圈,3室2厅 | 125.81平米 | 南 | 毛坯 | 低楼层(共33层)  | 板楼,1人关注 / 一年前发布,98,"7,790元/平"
精装修两房，家具家电都是品牌诚心出售,建亨上东城 -商贸城商圈,2室2厅 | 82.47平米 | 南 | 精装 | 中楼层(共24层)  | 板楼,0人关注 / 1个月以前发布,75,"9,095元/平"
美地印象  电梯中高层视野好  产证满2年,美地印象 -经开区商圈,3室2厅 | 110.52平米 | 东南 | 毛坯 | 高楼层(共24层)  | 板塔结合,0人关注 / 7个月以前发布,69,"6,244元/平"
楼层好，视野佳，采光充足，交通便利,龙图·天骄华府 -经开区商圈,4室2厅 | 139.06平米 | 南 | 毛坯 | 低楼层(共28层)  | 板楼,0人关注 / 13天以前发布,108,"7,767元/平"
凯旋如意城 精装1室1厅1卫 家电齐全 拎包入住,凯旋如意城 -旭日商圈,1室1厅 | 38.17平米 | 南 | 精装 | 低楼层(共18层)  | 板楼,0人关注 / 12天以前发布,45,"11,790元/平"
上饶纯别墅小区，低密度，小区绿化高 居住环境舒适,珑山林宸园 -经开区商圈,6室2厅 | 359.06平米 | 南 北 | 毛坯 | 低楼层(共4层)  | 暂无数据,3人关注 / 6个月以前发布,206,"5,738元/平"
此房位置好，采光好，产权清晰，精装修，南北通,香樟花園 -商贸城商圈,3室2厅 | 103.62平米 | 南 | 简装 | 中楼层(共6层)  | 板塔结合,0人关注 / 17天以前发布,80,"7,721元/平"
"万达广场旁边，万达华府,交通便利",万达华府 -万达商圈,3室2厅 | 86.92平米 | 南 | 精装 | 高楼层(共30层)  | 板楼,0人关注 / 22天以前发布,100,"11,505元/平"
凡尔赛二期 新装江景4房 东边套  满五唯一 带家电家具,汇成观邸 -行政中心商圈,4室2厅 | 128平米 | 东南 南 | 精装 | 高楼层(共32层)  | 板楼,0人关注 / 24天以前发布,137,"10,704元/平"
带湖花城 精装三房 带100平 大露台 满两年,带湖花城 -十一小商圈,3室2厅 | 155.45平米 | 南 北 | 精装 | 低楼层(共15层)  | 板塔结合,2人关注 / 16天以前发布,140,"9,007元/平"
北園 3室2厅 南,北園 -大市场商圈,3室2厅 | 110.68平米 | 南 | 简装 | 中楼层(共7层)  | 板楼,2人关注 / 一年前发布,72,"6,506元/平"
嘉怡华府 毛坯大平层 中楼层 带车位 满两年 随时看房,嘉怡华府 -万达商圈,4室2厅 | 171平米 | 南 | 毛坯 | 中楼层(共11层)  | 塔楼,0人关注 / 10天以前发布,180,"10,527元/平"
房东诚心出售。精装修好没怎么住的,汇成观邸 -行政中心商圈,3室2厅 | 92平米 | 南 | 精装 | 高楼层(共30层)  | 板楼,0人关注 / 11天以前发布,100,"10,870元/平"
资源丰富通透户型满五唯一交通便利出行方便,牛奶场小区 -十一小商圈,2室1厅 | 64.94平米 | 南 | 简装 | 低楼层(共6层)  | 暂无数据,1人关注 / 8个月以前发布,55,"8,470元/平"
凡尔赛精装大三房 楼层好 采光好 满五年 税费低,汇成观邸 -行政中心商圈,3室2厅 | 115.85平米 | 南 | 精装 | 中楼层(共18层)  | 板楼,32人关注 / 一年前发布,115,"9,927元/平"
此房满五年，楼层好，视野宽阔。采光足‘配套设施..,北星小区 -十一小商圈,3室2厅 | 94平米 | 南 | 简装 | 中楼层(共5层)  | 板楼,13人关注 / 一年前发布,59.8,"6,362元/平"
美地印象楼层好，前无遮挡通风采光日照都很好无抵押,美地印象 -经开区商圈,3室2厅 | 109.82平米 | 南 | 毛坯 | 中楼层(共18层)  | 板塔结合,0人关注 / 1个月以前发布,64.8,"5,901元/平"
香樟花園 4室2厅 南 北,香樟花園 -商贸城商圈,4室2厅 | 136.62平米 | 南 北 | 精装 | 中楼层(共6层)  | 板塔结合,5人关注 / 9个月以前发布,94,"6,881元/平"
房子满五唯一，只需交一个点契税，看房方便的。,沿城新村 -亿升商圈,3室2厅 | 82.39平米 | 南 | 精装 | 低楼层(共6层)  | 暂无数据,19人关注 / 7个月以前发布,58.6,"7,113元/平"
