标题,开发商,房子信息,发布信息,售价/万,单价
采光好，阳光充足，六房二卫有露台.诚心出售,星西兰花园 -红湾大道以北,6室2厅 | 207平米 | 南 北 | 简装 | 高楼层(共7层)  | 板楼,0人关注 / 6天以前发布,120,"5,798元/平"
银亿上尚城北区   精装大三房   房东诚心出售,银亿上尚城北区 -象湖,3室2厅 | 120.33平米 | 南 | 精装 | 低楼层(共18层)  | 板楼,0人关注 / 10天以前发布,109,"9,059元/平"
万科天空之城南区.通透格局.中间楼层.带车位,鸿海万科天空之城 -银三角,3室2厅 | 125.8平米 | 南 北 | 精装 | 中楼层(共33层)  | 暂无数据,0人关注 / 7天以前发布,145,"11,527元/平"
艾溪湖畔，地铁沿线，品质小区精装三房急售中！,保利香槟国际（艾溪湖二路66号） -艾溪湖东,3室2厅 | 94.03平米 | 南 北 | 精装 | 31层  | 塔楼,0人关注 / 22天以前发布,151,"16,059元/平"
精装房 楼层好  视野好 全天太阳,保利香槟国际（艾溪湖二路66号） -艾溪湖东,3室2厅 | 94.94平米 | 南 | 精装 | 31层  | 塔楼,0人关注 / 30天以前发布,155,"16,327元/平"
南北格局，视野宽阔，采光充足，设施齐全,博泰魏玛峰尚一期 -洪都航空工业园,3室2厅 | 94.63平米 | 北 南 | 精装 | 中楼层(共6层)  | 板楼,0人关注 / 17天以前发布,92,"9,723元/平"
小区没有可对比的房源，下手慢者无,北京东路安装公司宿舍 -塘山广场,3室1厅 | 83.29平米 | 南 | 简装 | 中楼层(共7层)  | 板楼,0人关注 / 27天以前发布,63,"7,564元/平"
老人小孩方便，原置业顾问自留房源，因工作调动急售,正荣华润玲珑府 -红谷滩,4室2厅 | 121.39平米 | 南 北 | 毛坯 | 低楼层(共32层)  | 暂无数据,1人关注 / 30天以前发布,131,"10,792元/平"
洪城比华利精装三房 全明格局  业主换房诚售,洪城·比华利 -翠苑路,3室2厅 | 135.3平米 | 南 | 精装 | 低楼层(共32层)  | 板塔结合,33人关注 / 一年前发布,195,"14,413元/平"
红谷世纪花园 洋房得房率高 户型端正 房东诚售,红谷世纪花园D区 -红谷滩万达,3室2厅 | 131.82平米 | 南 | 简装 | 低楼层(共6层)  | 板楼,87人关注 / 一年前发布,245,"18,586元/平"
中兴和园 顶楼复式 一期洋房 高新地铁4号线,中兴和园西区 -新力时代广场,5室2厅 | 121.36平米 | 南 | 精装 | 高楼层(共6层)  | 板塔结合,140人关注 / 一年前发布,170,"14,008元/平"
地铁口，小区环境干净整洁，居住舒适。,珠宝街 -船山路,2室1厅 | 50.75平米 | 南 北 | 精装 | 中楼层(共8层)  | 暂无数据,0人关注 / 21天以前发布,52.8,"10,404元/平"
近地铁口，位置好。新洪城大市场隔壁。,洪大赣江城 -象湖,3室2厅 | 114.47平米 | 东南 | 毛坯 | 高楼层(共33层)  | 板楼,0人关注 / 16天以前发布,103,"8,998元/平"
新装修三房  总价低 房东诚意出售,万达文化旅游城E区 -九龙湖,3室1厅 | 95.42平米 | 南 | 精装 | 33层  | 板楼,0人关注 / 17天以前发布,102,"10,690元/平"
伟梦东方院通透电梯房 有钥匙 随时可以看 户型楼层好,伟梦东方院 -象湖,2室2厅 | 93.78平米 | 南 | 毛坯 | 高楼层(共29层)  | 板楼,1人关注 / 13天以前发布,76,"8,105元/平"
精装修直接拎包入住 通透2房 配套齐全,万科四季花城北区 -新城吾悦,2室2厅 | 84.65平米 | 南 | 精装 | 中楼层(共6层)  | 板塔结合,0人关注 / 15天以前发布,148,"17,484元/平"
满五唯一 楼层好 视野好 采光通透,恒大名都 -新城吾悦,3室2厅 | 91.05平米 | 南 | 精装 | 中楼层(共27层)  | 塔楼,0人关注 / 21天以前发布,162,"17,793元/平"
户型方正 前面没有遮挡 地铁三号线 交通便利,金色学府 -莲塘,3室2厅 | 88.69平米 | 南 | 简装 | 低楼层(共32层)  | 塔楼,0人关注 / 27天以前发布,104,"11,727元/平"
小区中间位置洋房1楼带院子装修好,万科金域国际 -紫荆路,3室2厅 | 83.52平米 | 南 | 精装 | 低楼层(共11层)  | 板楼,2人关注 / 16天以前发布,116,"13,889元/平"
房东诚心出售，交通便利 ，电梯房，价格优惠,玉河明珠小区 -洪都,3室2厅 | 148.6平米 | 南 北 | 精装 | 高楼层(共17层)  | 塔楼,0人关注 / 14天以前发布,160,"10,768元/平"
伟梦清水湾大3房婚房装修 单价仅7千多 实物比照片更好,伟梦清水湾 -象湖,3室2厅 | 134.35平米 | 南 | 精装 | 高楼层(共6层)  | 板楼,0人关注 / 4天以前发布,95,"7,072元/平"
朝阳新城  华润橡树湾2房 精装可拎包入住 约看急售中,华润橡树湾 -朝阳新城,2室2厅 | 85.55平米 | 南 | 精装 | 中楼层(共27层)  | 板楼,0人关注 / 11天以前发布,129.8,"15,173元/平"
新力金沙湾 人车分流 花园小区 业主急售,新力金沙湾 -象湖,3室2厅 | 90.5平米 | 南 | 毛坯 | 中楼层(共34层)  | 板楼,0人关注 / 18天以前发布,95,"10,498元/平"
三号线地铁口 小区管理严谨 40年产权 交通便利,新力范 -莲塘,2室1厅 | 81.75平米 | 南 | 精装 | 高楼层(共30层)  | 板楼,1人关注 / 8天以前发布,40,"4,893元/平"
伟梦清水湾 2室1厅 南,伟梦清水湾 -象湖,2室1厅 | 87.78平米 | 南 | 精装 | 高楼层(共6层)  | 板楼,2人关注 / 6天以前发布,75,"8,545元/平"
万达文化旅游城C区 2室2厅 南,万达文化旅游城C区 -九龙湖,2室2厅 | 80.78平米 | 南 | 毛坯 | 23层  | 板楼,0人关注 / 5天以前发布,75,"9,285元/平"
九龙湖万达茂旁地铁口 *大四房 楼层位置佳 采光充足,万达文化旅游城A1区 -九龙湖,4室1厅 | 144.1平米 | 南 北 | 精装 | 高楼层(共18层)  | 板楼,25人关注 / 一年前发布,200,"13,880元/平"
得房率高，小区环境优美 挨洪城 临地铁,银亿上尚城南区 -象湖,3室2厅 | 107.57平米 | 南 | 精装 | 高楼层(共18层)  | 板楼,10人关注 / 5个月以前发布,108,"10,040元/平"
九龙湖2号线龙岗站楼下 精致3房总价低  全天阳光无挡,力高御景天城 -九龙湖,3室1厅 | 86.18平米 | 南 北 | 毛坯 | 高楼层(共32层)  | 板塔结合,1人关注 / 4个月以前发布,125,"14,505元/平"
高新区 瑶湖公园 小区环境好 地铁一号线延长线,朗贤·奥特莱斯小镇 -瑶湖东,3室2厅 | 106.06平米 | 南 北 | 毛坯 | 中楼层(共16层)  | 板塔结合,2人关注 / 3个月以前发布,87,"8,203元/平"
绿地品质物业系统完善，赣江景色，自住装修，诚心出售,绿地朝阳中心 -洪城大市场,3室2厅 | 97.49平米 | 南 | 精装 | 高楼层(共32层)  | 暂无数据,1人关注 / 1个月以前发布,165,"16,925元/平"
滨江新城  银亿南区 视野好户型方正,银亿上尚城南区 -象湖,3室2厅 | 108.44平米 | 南 | 毛坯 | 高楼层(共18层)  | 板楼,1人关注 / 10个月以前发布,98,"9,038元/平"
幸福时光 交通便利 家具家电齐全 洋房结构,幸福时光一期 -象湖,3室2厅 | 89.24平米 | 南 | 精装 | 高楼层(共6层)  | 板楼,7人关注 / 5个月以前发布,76,"8,517元/平"
正规大四房，出门儿童医院，看房一个电话直接开门。,阳明路 -墩子塘,4室1厅 | 101.15平米 | 南 | 精装 | 中楼层(共5层)  | 暂无数据,2人关注 / 2个月以前发布,92,"9,096元/平"
国贸蓝湾洋房低价出售，装修好的无可挑剔，看房随时,国贸蓝湾 -朝阳新城,3室2厅 | 124.29平米 | 南 | 精装 | 中楼层(共9层)  | 板楼,11人关注 / 3个月以前发布,308,"24,781元/平"
房东诚心卖.精装.小区楼下就是公园.交通方便,绿地国际博览城二期博睿 -九龙湖,3室2厅 | 114.05平米 | 南 | 精装 | 32层  | 板楼,15人关注 / 5个月以前发布,160,"14,029元/平"
赣江边上，交通方便，离红谷滩近，万达茂旁,万达文化旅游城N2区 -九龙湖,3室2厅 | 124.9平米 | 南 | 毛坯 | 34层  | 塔楼,2人关注 / 5个月以前发布,103,"8,247元/平"
一楼带院子  端户通透  拎包入住  九年义务芳草教育,保集半岛御河湾三期 -象湖,4室2厅 | 88.72平米 | 南 北 | 精装 | 低楼层(共6层)  | 板楼,0人关注 / 1个月以前发布,128.8,"14,518元/平"
全新装修未入住的精装修电梯顶楼复式随时看房,居住主题公园-枫林美庐 -象湖,4室2厅 | 88.92平米 | 南 北 | 精装 | 高楼层(共18层)  | 板楼,0人关注 / 4个月以前发布,110,"12,371元/平"
银亿上尚城一期  精装三房 房东自住装修  诚心出售,银亿上尚城北区 -象湖,3室2厅 | 121.7平米 | 南 | 精装 | 低楼层(共18层)  | 板楼,50人关注 / 一年前发布,100,"8,217元/平"
业主诚心出售 小三房 总价低 物业环境好楼间距*大,南昌恒大城 -象湖,3室2厅 | 94.66平米 | 南 | 精装 | 中楼层(共18层)  | 板楼,34人关注 / 一年前发布,76,"8,029元/平"
采光性何通透性都很好 设计比较合理 户型方正,苏圃路 -叠山路,3室2厅 | 70.54平米 | 南 | 精装 | 中楼层(共5层)  | 板楼,0人关注 / 2个月以前发布,71,"10,066元/平"
万科物业 通透户型 自带开发商装修 房东诚心出售,地铁万科时代广场 -庐山南大道,3室2厅 | 123.67平米 | 南 | 精装 | 低楼层(共33层)  | 塔楼,57人关注 / 一年前发布,247,"19,973元/平"
户型好装修好位置好交通便利不能错过的通透户型,力高国际城五期 -象湖,4室2厅 | 118.8平米 | 南 | 精装 | 高楼层(共33层)  | 板楼,4人关注 / 一年前发布,103,"8,671元/平"
经开区 翰林世家 精装通透三房 装修新房东自住,翰林世家 -黄家湖,3室2厅 | 86.98平米 | 南 北 | 精装 | 低楼层(共18层)  | 板楼,1人关注 / 1个月以前发布,91,"10,463元/平"
保利东湾国际 3室2厅 南,保利东湾国际 -新城吾悦,3室2厅 | 88.98平米 | 南 | 精装 | 高楼层(共32层)  | 塔楼,0人关注 / 2个月以前发布,130,"14,611元/平"
西湖万达旁  中大云锦苑 毛坯3+1户型  实用型强 诚售,中大云锦苑 -朝阳新城,4室2厅 | 135.13平米 | 南 | 毛坯 | 中楼层(共28层)  | 板楼,0人关注 / 1个月以前发布,238,"17,613元/平"
此房楼层好，视野宽阔，风景独好，配套设施齐全,万达文化旅游城C区 -九龙湖,3室2厅 | 110.82平米 | 南 | 毛坯 | 31层  | 板楼,1人关注 / 一年前发布,125,"11,280元/平"
户型通透 位置靠小区门口 出行方便 诚心出售,名门世家 -秋水广场,2室2厅 | 89.84平米 | 南 | 简装 | 中楼层(共6层)  | 板楼,20人关注 / 一年前发布,166,"18,478元/平"
凤凰城凤翔苑 出入方便 位置好,凤凰城凤翔苑 -凤凰洲,3室2厅 | 128.07平米 | 南 | 精装 | 低楼层(共6层)  | 板楼,0人关注 / 5个月以前发布,286.6,"22,379元/平"
江上院毛坯通透三房 户型方正无浪费 专梯入户私密性好,朝阳江上院 -朝阳新城,3室2厅 | 116.12平米 | 南 北 | 毛坯 | 中楼层(共18层)  | 板楼,1人关注 / 3个月以前发布,220,"18,946元/平"
西湖万达 滨江国际三房两厅一卫已改两卫 家具家电全带,滨江国际 -朝阳新城,3室2厅 | 103.54平米 | 南 | 精装 | 中楼层(共28层)  | 板楼,0人关注 / 4个月以前发布,185,"17,868元/平"
新力钰珑湾北区，房东诚心出售  证件齐全,新力钰珑湾北区 -红谷滩,3室1厅 | 85.6平米 | 南 | 毛坯 | 中楼层(共31层)  | 塔楼,0人关注 / 一年前发布,63,"7,360元/平"
户型好，楼层好，随时看房，房东诚心出售,江西奥林匹克花园 -象湖,3室1厅 | 87.19平米 | 南 | 精装 | 低楼层(共6层)  | 板楼,5人关注 / 8个月以前发布,81,"9,291元/平"
此房业主诚心出售随时签约，户型方正，南北通风,江铃瓦良格 -银三角,4室2厅 | 141.35平米 | 南 北 | 毛坯 | 低楼层(共33层)  | 板塔结合,17人关注 / 一年前发布,95,"6,721元/平"
万科物业，一线湖景，通透户型，全天采光，精装修,万科海上传奇 -新城吾悦,3室2厅 | 108.95平米 | 南 | 精装 | 中楼层(共43层)  | 板楼,2人关注 / 5个月以前发布,230,"21,111元/平"
景观楼层，满2年，税费少，看房有钥匙，诚意出售！,绿地国际博览城二期博翠 -九龙湖,3室2厅 | 93.89平米 | 南 北 | 毛坯 | 中楼层(共32层)  | 板楼,0人关注 / 3个月以前发布,145,"15,444元/平"
保利东湾国际小区配套好，交通便利，,保利东湾国际 -新城吾悦,3室2厅 | 88.74平米 | 南 | 精装 | 低楼层(共31层)  | 塔楼,39人关注 / 一年前发布,125.1,"14,098元/平"
南昌西站旁，全新小区，品质空间大，高楼层采光好,瑞仕华庭 -九龙湖,2室1厅 | 113.29平米 | 南 北 | 毛坯 | 高楼层(共32层)  | 板塔结合,9人关注 / 一年前发布,138,"12,182元/平"
近华润万家 奥园明星楼盘 结婚装修 急售,江西奥林匹克花园 -象湖,3室2厅 | 89.2平米 | 南 | 精装 | 高楼层(共10层)  | 板楼,0人关注 / 1个月以前发布,100,"11,211元/平"
恒大名都 高品质小区 生活配套全 都在家门口 诚心,恒大名都 -新城吾悦,3室2厅 | 91.06平米 | 南 北 | 精装 | 中楼层(共27层)  | 板塔结合,0人关注 / 1个月以前发布,159,"17,462元/平"
朝阳新城三房两厅两卫  实用户型随时可看住家装修急售,观水花园 -朝阳新城,3室2厅 | 97.97平米 | 南 北 | 精装 | 低楼层(共31层)  | 板楼,1人关注 / 4个月以前发布,148.6,"15,168元/平"
两南一北，通透小三房光线无挡，随时看房,江西奥林匹克花园 -象湖,3室2厅 | 89.97平米 | 南 北 | 精装 | 中楼层(共11层)  | 板楼,18人关注 / 一年前发布,80,"8,892元/平"
满五 唯一  诚心出售的 有钥匙 随时可看房,江西奥林匹克花园 -象湖,3室2厅 | 95.74平米 | 南 | 精装 | 高楼层(共6层)  | 板楼,125人关注 / 一年前发布,70,"7,312元/平"
恒锦花苑二区   省交通厅房      刚需三房。,恒锦花苑二区 -九龙湖,3室2厅 | 99.6平米 | 南 | 毛坯 | 低楼层(共24层)  | 板楼,0人关注 / 7个月以前发布,153,"15,362元/平"
临地铁，近新洪城，楼层好，房东诚意出售,银亿上尚城北区 -象湖,3室2厅 | 103.26平米 | 南 | 毛坯 | 中楼层(共30层)  | 板楼,4人关注 / 7个月以前发布,88,"8,523元/平"
毛坯复式 地铁三号线 交通便利 小区人车分流,煌盛中央公园 -莲塘,4室2厅 | 125平米 | 南 | 毛坯 | 高楼层(共6层)  | 暂无数据,0人关注 / 1个月以前发布,168,"13,440元/平"
绿地国际博览城二期  博隆小区视野无遮挡,绿地国际博览城二期博隆 -九龙湖,3室2厅 | 114.5平米 | 南 北 | 毛坯 | 高楼层(共32层)  | 板楼,2人关注 / 1个月以前发布,185,"16,158元/平"
中山路百盛旁边双地铁口 出入方便 楼层适中,象山北路 -八一公园,1室1厅 | 36.73平米 | 南 北 | 毛坯 | 中楼层(共8层)  | 暂无数据,0人关注 / 1个月以前发布,23,"6,262元/平"
交通出行便利  生活居住适宜  环境优美空气清新,兴宸·山水艺墅 -湾里,2室2厅 | 91.15平米 | 南 | 精装 | 低楼层(共6层)  | 板楼,2人关注 / 18天以前发布,55,"6,035元/平"
云中城旁 方大上上城精装一房 楼层好视野开阔家电齐全,方大上上城 -太子殿,1室1厅 | 64.62平米 | 南 | 精装 | 高楼层(共33层)  | 板塔结合,0人关注 / 16天以前发布,85,"13,154元/平"
新城吾悦广场边上，配套齐全，交通便利,中凯蓝域 -新城吾悦,2室2厅 | 70.47平米 | 南 | 精装 | 低楼层(共6层)  | 板塔结合,0人关注 / 29天以前发布,96,"13,623元/平"
万科红墅 3室1厅 南,万科红墅 -青山湖区,3室1厅 | 86.23平米 | 南 | 精装 | 高楼层(共6层)  | 暂无数据,0人关注 / 17天以前发布,105,"12,177元/平"
万科品牌，万科物业，小区环境好，配套齐全，交通便利,万科海上传奇锦湖居 -新城吾悦,3室2厅 | 109.99平米 | 南 | 精装 | 中楼层(共32层)  | 板楼,0人关注 / 24天以前发布,240,"21,821元/平"
凤翔苑 精装三房 业主诚售 随时可看房,凤凰城凤翔苑 -凤凰洲,3室1厅 | 128.54平米 | 南 | 精装 | 高楼层(共6层)  | 板楼,0人关注 / 20天以前发布,251,"19,527元/平"
小户型 五脏俱全 业主自装 诚心出售,世纪中央城一期 -秋水广场,1室1厅 | 47.26平米 | 北 | 精装 | 中楼层(共31层)  | 板塔结合,0人关注 / 28天以前发布,120,"25,392元/平"
西站旁阳光花园小区  近地铁 近学+xiao 房东自住两房,九龙十一度 -九龙湖,2室1厅 | 88.51平米 | 南 | 精装 | 中楼层(共30层)  | 板塔结合,0人关注 / 15天以前发布,100,"11,299元/平"
青山北路旁一线湖景温馨两房户型方正。,水岸观邸 -李家庄,2室2厅 | 91.38平米 | 南 | 精装 | 高楼层(共31层)  | 板塔结合,1人关注 / 15天以前发布,95,"10,397元/平"
精装修，楼层好，视野开阔。置换诚心出售，价格还可谈,万达星城东区 -翠苑路,2室1厅 | 58.12平米 | 南 | 精装 | 高楼层(共18层)  | 板塔结合,0人关注 / 9天以前发布,91,"15,658元/平"
高新创新二路紫东嘉园 四房带车位 带储藏间 中间楼层,紫东嘉园 -艾溪湖东,4室2厅 | 140.22平米 | 南 | 毛坯 | 高楼层(共13层)  | 板楼,0人关注 / 20天以前发布,208,"14,834元/平"
中间楼层，采光充足，诚心出售，,联泰香域中央A区 -秋水广场,3室1厅 | 110.02平米 | 南 北 | 精装 | 中楼层(共18层)  | 板楼,0人关注 / 27天以前发布,260,"23,633元/平"
近地铁口 九龙湖西 环境优美，空气清新 适宜居住,新力龙湾二期 -红谷滩,4室2厅 | 137.2平米 | 南 | 毛坯 | 中楼层(共7层)  | 平房,0人关注 / 21天以前发布,150,"10,933元/平"
产证在手，诚心卖，看中价格可谈，户型方正，环境好,新力龙湾一期 -红谷滩,3室2厅 | 89.23平米 | 南 | 精装 | 高楼层(共34层)  | 塔楼,0人关注 / 21天以前发布,93,"10,423元/平"
万科金域国际中间楼层双阳台88平3室出售,万科金域国际 -紫荆路,3室2厅 | 87.08平米 | 南 | 精装 | 中楼层(共34层)  | 板楼,0人关注 / 22天以前发布,115,"13,207元/平"
户型通透，中间楼层，光线充足，邻沃尔玛，出入方便。,幸福时光一期 -象湖,3室2厅 | 88平米 | 南 北 | 简装 | 低楼层(共6层)  | 板楼,0人关注 / 17天以前发布,78,"8,864元/平"
金麒麟世家半山半城 3室2厅 南,金麒麟世家半山半城 -红谷滩,3室2厅 | 107平米 | 南 | 毛坯 | 中楼层(共18层)  | 板楼,0人关注 / 23天以前发布,91,"8,505元/平"
湿地公园旁 南师 二十八 温莎城堡端户,绿都·温莎城堡 -艾溪湖东,3室2厅 | 91.08平米 | 南 北 | 精装 | 高楼层(共33层)  | 板塔结合,16人关注 / 一年前发布,138,"15,152元/平"
中间楼层，视野好，很划算，....,新力怡园 -红湾大道以北,3室2厅 | 117.13平米 | 南 | 精装 | 中楼层(共34层)  | 板楼,1人关注 / 1个月以前发布,116.9,"9,981元/平"
力高国际城五期 东端户 人车分流 中上楼层 采光好,力高国际城五期 -象湖,4室2厅 | 86.3平米 | 南 | 简装 | 中楼层(共33层)  | 板楼,0人关注 / 2个月以前发布,86.8,"10,058元/平"
23楼小三房带整屋壁柜已封窗。从未住人。业主诚心,新力龙湾一期 -红谷滩,3室2厅 | 90.03平米 | 南 | 精装 | 高楼层(共32层)  | 塔楼,17人关注 / 10个月以前发布,93,"10,330元/平"
婚房装修 通透三房 品质小区 业主诚售,象湖景苑 -象湖,3室2厅 | 92.01平米 | 南 | 精装 | 中楼层(共7层)  | 板楼,8人关注 / 一年前发布,92,"9,999元/平"
赣江公园旁，品质物业，出入方便，交通便利，,绿地朝阳中心 -洪城大市场,3室2厅 | 97.38平米 | 南 | 毛坯 | 高楼层(共32层)  | 板楼,1人关注 / 一年前发布,146,"14,993元/平"
⇒『店长推荐』急售 精装4房 领包入住 一线湖景,保利香槟国际（艾溪湖二路66号） -艾溪湖东,4室2厅 | 114平米 | 南 | 精装 | 30层  | 塔楼,28人关注 / 8个月以前发布,218,"19,123元/平"
房子在卖.看房约房东.楼层好.视野好,湖韵天成 -新力时代广场,3室2厅 | 121.48平米 | 南 北 | 毛坯 | 中楼层(共30层)  | 板楼,9人关注 / 一年前发布,139,"11,443元/平"
小区管理严谨，干净整洁。明户型，方形板正。交通方便,向阳路 -莲塘,3室2厅 | 111.84平米 | 南 北 | 简装 | 低楼层(共3层)  | 暂无数据,0人关注 / 一年前发布,65,"5,812元/平"
众森二期湖景房，东端户，视野开阔无遮挡，产权清晰,众森红谷一品 -黄家湖,3室2厅 | 118.25平米 | 南 | 毛坯 | 中楼层(共33层)  | 塔楼,5人关注 / 4个月以前发布,158,"13,362元/平"
带28平米 带车位 紫东两梯两户通透四房中间楼层采光好,紫东嘉园 -艾溪湖东,4室2厅 | 140.22平米 | 南 北 | 毛坯 | 中楼层(共13层)  | 板楼,0人关注 / 16天以前发布,210,"14,977元/平"
永通澄湖国际街 楼层好，视野开阔,永通澄湖国际商业街 -莲塘,3室2厅 | 123.48平米 | 南 | 毛坯 | 中楼层(共7层)  | 板楼,13人关注 / 一年前发布,146.8,"11,889元/平"
新力龙湾一期 3室2厅 东南 南 西南,新力龙湾一期 -红谷滩,3室2厅 | 103平米 | 东南 南 西南 | 精装 | 中楼层(共33层)  | 塔楼,0人关注 / 14天以前发布,110,"10,680元/平"
经开区天虹旁紫荆路财大精装修3房诚心 出售,江西财大附中 -紫荆路,3室1厅 | 84.23平米 | 南 | 精装 | 高楼层(共6层)  | 板塔结合,1人关注 / 3个月以前发布,59.8,"7,100元/平"
视野开阔采光好  电梯洋房楼下有车位 全天阳光,绿湖豪城二期 -岭口路,3室2厅 | 97.89平米 | 南 | 精装 | 高楼层(共13层)  | 板楼,0人关注 / 1个月以前发布,210,"21,453元/平"
中鼎珑园次新小区 品牌高能物业 近四号线地铁,中鼎珑园 -市政公共广场,2室2厅 | 80.18平米 | 南 | 毛坯 | 中楼层(共32层)  | 塔楼,11人关注 / 一年前发布,107,"13,345元/平"
龙江花园 通透户型，3房两厅 采光充足,龙江花园 -新城吾悦,3室2厅 | 99.11平米 | 南 | 毛坯 | 低楼层(共18层)  | 塔楼,11人关注 / 一年前发布,112,"11,301元/平"
滨江江景大四房，全线江景视野无挡,联泰香域滨江 -学府大道,5室2厅 | 181.71平米 | 南 北 | 毛坯 | 中楼层(共18层)  | 板塔结合,9人关注 / 3个月以前发布,414,"22,784元/平"
旭辉商场旁  绿地全新装修未入住 中高楼层  诚心出售,绿地悦公馆 -紫荆路,3室2厅 | 117.2平米 | 南 北 | 精装 | 高楼层(共30层)  | 板楼,0人关注 / 2个月以前发布,129,"11,007元/平"
双地铁口 南北通透 房东诚意卖 随时看,世纪中央城二期 -秋水广场,3室2厅 | 114.14平米 | 南 北 | 精装 | 低楼层(共33层)  | 塔楼,10人关注 / 9个月以前发布,268,"23,480元/平"
中间楼层三房 采光好，交通便捷 生活购物方便,莲塘市场南巷 -莲塘,3室1厅 | 83.03平米 | 南 北 | 简装 | 中楼层(共6层)  | 板楼,1人关注 / 4个月以前发布,42,"5,059元/平"
艾湖家园毛坯大三房，通透户型，房东急售,艾湖家园 -新城吾悦,3室2厅 | 121.36平米 | 南 北 | 毛坯 | 低楼层(共26层)  | 板楼,0人关注 / 1个月以前发布,229.5,"18,911元/平"
视野好，南北户型，安家必选，楼层好，诚意出售,国贸蓝湾 -朝阳新城,3室2厅 | 118.2平米 | 南 北 | 毛坯 | 中楼层(共33层)  | 板楼,43人关注 / 一年前发布,212,"17,936元/平"
配套成熟，电梯洋房，通透户型，业主诚心出售,西水滨鹭岛 -昌南,3室2厅 | 124.09平米 | 南 北 | 精装 | 中楼层(共11层)  | 板楼,0人关注 / 5个月以前发布,90,"7,253元/平"
绿地海域香廷小区 花园式洋房社区 小区环境好,海域香廷 -学府大道,3室2厅 | 102.43平米 | 南 | 精装 | 中楼层(共5层)  | 板楼,12人关注 / 一年前发布,195,"19,038元/平"
户型方正，两梯两户，诚心出售，房子满五，毛坯,绿地集团梵顿公馆 -岭口路,3室2厅 | 120.55平米 | 南 北 | 毛坯 | 中楼层(共18层)  | 板楼,27人关注 / 一年前发布,248,"20,573元/平"
交通厅单位房，质量过硬，小区自带幼儿园,九龙湖新区上海建工恒锦家苑 -九龙湖,5室2厅 | 221平米 | 南 北 | 毛坯 | 低楼层(共30层)  | 板楼,18人关注 / 9个月以前发布,370,"16,743元/平"
四号线地铁口，新力物业，品质小区，业主诚信出售,新力钰珑湾南区 -红谷滩,3室2厅 | 102.99平米 | 东 东南 西南 | 毛坯 | 中楼层(共17层)  | 板塔结合,3人关注 / 一年前发布,92,"8,933元/平"
临地铁柯带车位.户型端正.品质过硬4-2-1-2户型结军,恒锦花苑一区 -九龙湖,4室2厅 | 142.79平米 | 南 | 毛坯 | 低楼层(共16层)  | 暂无数据,21人关注 / 5个月以前发布,238,"16,668元/平"
绿地大品牌，品质高，江景房，南面无挡,绿地朝阳中心 -洪城大市场,3室2厅 | 97.31平米 | 东南 南 | 毛坯 | 高楼层(共32层)  | 板楼,5人关注 / 3个月以前发布,150,"15,415元/平"
