标题,开发商,房子信息,发布信息,售价/万,单价
二楼户型方正，通风采光好，生活便利,民族里(环城西二路) -象山区,1室1厅 | 46.03平米 | 南 | 简装 | 中楼层(共5层)  | 暂无数据,0人关注 / 5天以前发布,15.8,"3,433元/平"
兴汇城精装 江景房，户型方正，中间楼层，急售！！,兴汇城 -临桂区,4室2厅 | 121.35平米 | 南 北 | 精装 | 中楼层(共30层)  | 板楼,1人关注 / 14天以前发布,68,"5,604元/平"
七星区骖鸾小区三房养生二楼户型方正业主诚售,骖鸾小区 -七星区,3室1厅 | 78.07平米 | 南 北 | 其他 | 中楼层(共8层)  | 暂无数据,0人关注 / 15天以前发布,46,"5,893元/平"
生活便利，拎包入住，采光好，精装修，可使用面积大,金禾苑2号阳光城 -临桂区,3室2厅 | 128.49平米 | 南 | 精装 | 高楼层(共7层)  | 板楼,17人关注 / 11个月以前发布,35.5,"2,763元/平"
胜利路东二里三楼两房两厅一卫，三面采光，干净整洁,胜利路东二里 -叠彩区,2室2厅 | 74.42平米 | 南 北 | 简装 | 中楼层(共7层)  | 暂无数据,6人关注 / 5个月以前发布,28,"3,763元/平"
彰泰滟澜山，成熟社区 精装修3房 业主急售,彰泰滟澜山 -临桂区,3室2厅 | 87.39平米 | 东南 | 精装 | 低楼层(共34层)  | 板楼,36人关注 / 一年前发布,47,"5,379元/平"
3房2厅2卫，南北朝向，户型方正，三面采光,华鼎·帝景华庭棕榈滩 -叠彩区,3室2厅 | 114.59平米 | 西南 | 精装 | 高楼层(共16层)  | 板塔结合,13人关注 / 一年前发布,64,"5,586元/平"
麓湖国际 中间楼层 有证无贷 诚心出售 必看好房,花样年•麓湖国际 -临桂区,4室2厅 | 114.13平米 | 东南 | 毛坯 | 中楼层(共34层)  | 暂无数据,13人关注 / 5个月以前发布,50,"4,381元/平"
唯一住宅，精装修。拎包入住。，户型方正，设计合理,丽泽佳园 -临桂区,3室2厅 | 107.33平米 | 南 | 精装 | 中楼层(共17层)  | 板塔结合,7人关注 / 3个月以前发布,49.5,"4,612元/平"
公园吾悦旁桂林碧桂园，小高层精装三房， 随时过户,桂林碧桂园 -临桂区,3室2厅 | 117.6平米 | 南 | 精装 | 中楼层(共11层)  | 板楼,3人关注 / 3个月以前发布,67,"5,698元/平"
小区靠江边，一梯一户，地理位置好，满五唯一省个税。,东江花园(漓江路) -七星区,3室2厅 | 128.18平米 | 南 | 精装 | 中楼层(共6层)  | 板楼,8人关注 / 9个月以前发布,76,"5,930元/平"
七星万达 融创万达城 英才 棠棣之华高层精装4房,信昌•棠棣之华 -七星区,4室2厅 | 111.07平米 | 北 | 精装 | 高楼层(共17层)  | 板楼,3人关注 / 3个月以前发布,124.5,"11,210元/平"
急售  麓湖国际大四房  一线湖景房,花样年•麓湖国际 -临桂区,4室2厅 | 135.61平米 | 北 | 毛坯 | 中楼层(共33层)  | 板塔结合,12人关注 / 4个月以前发布,64.5,"4,757元/平"
三里店商圈，香格里拉花园3房2厅2卫，视野开阔风景好,鸿瑞·香格里拉花园 -七星区,3室2厅 | 127.59平米 | 北 | 毛坯 | 高楼层(共12层)  | 板塔结合,0人关注 / 2个月以前发布,92,"7,211元/平"
象山区适合三代同堂二娃家庭精装紧凑四房拎包入住。,象山博望园 -象山区,4室2厅 | 110.71平米 | 南 北 | 精装 | 低楼层(共10层)  | 板塔结合,1人关注 / 7个月以前发布,82,"7,407元/平"
桂林恒大城，精装修三房，拎包入住,桂林恒大城 -临桂区,3室2厅 | 106.01平米 | 南 | 精装 | 高楼层(共30层)  | 塔楼,7人关注 / 4个月以前发布,53,"5,000元/平"
小区绿化好 房子通风采光好  复式带露台业主急售,彰泰城东区 -象山区,3室2厅 | 78.87平米 | 南 北 | 简装 | 高楼层(共6层)  | 板楼,3人关注 / 6个月以前发布,62,"7,862元/平"
吾悦旁 汇荣•桂林桂林大四房 131.00m² 64 万,汇荣•桂林桂林 -临桂区,4室2厅 | 131.4平米 | 南 北 | 毛坯 | 高楼层(共34层)  | 板楼,0人关注 / 3个月以前发布,61,"4,643元/平"
吾悦广场旁汇荣桂林桂林天玺组团，小高层，4房,汇荣•桂林桂林 -临桂区,4室2厅 | 124.02平米 | 南 | 毛坯 | 高楼层(共11层)  | 板楼,1人关注 / 3个月以前发布,66,"5,322元/平"
彰泰峰誉精装水景三房，楼层好。。,彰泰峰誉 -灵川,3室2厅 | 98.91平米 | 东南 | 精装 | 低楼层(共40层)  | 板塔结合,1人关注 / 3个月以前发布,52,"5,258元/平"
双证齐全，随时可以过户，有钥匙看房方便,兴汇城 -临桂区,4室2厅 | 142.93平米 | 东南 | 毛坯 | 低楼层(共33层)  | 板楼,2人关注 / 一年前发布,58,"4,058元/平"
福邸嘉园3房电梯中层 诚意出售,金源新城福邸嘉园 -临桂区,3室2厅 | 122.8平米 | 南 | 毛坯 | 高楼层(共17层)  | 板塔结合,17人关注 / 6个月以前发布,54.5,"4,439元/平"
象山区政府政府旁单位宿舍精致3房 带杂间,西环二路8号 -象山区,3室2厅 | 98.46平米 | 南 北 | 简装 | 高楼层(共6层)  | 暂无数据,11人关注 / 8个月以前发布,39.8,"4,043元/平"
一院两馆 山水公园 新城商圈地段 舒适四房毛坯,彰泰公园1号 -临桂区,4室2厅 | 146.64平米 | 南 | 毛坯 | 中楼层(共23层)  | 板塔结合,22人关注 / 8个月以前发布,66,"4,501元/平"
宜和云天大二房2-1-1-1 55.50m² 19 万,宜和云天 -临桂区,2室1厅 | 55.26平米 | 南 北 | 简装 | 低楼层(共23层)  | 板塔结合,1人关注 / 30天以前发布,19,"3,439元/平"
三元极第 中装一房一厅带家具家电 产权50.40m²,三元极第 -灵川,1室1厅 | 50.4平米 | 南 | 简装 | 高楼层(共7层)  | 板楼,0人关注 / 22天以前发布,18,"3,572元/平"
湘雅二附院 旁两房便宜出售！房东急急急！,祥和雅居 -临桂区,2室1厅 | 70.47平米 | 西 | 简装 | 中楼层(共11层)  | 板塔结合,0人关注 / 17天以前发布,27,"3,832元/平"
群山花苑北区  3楼  3房2厅2卫 业主急售,群山花苑 -叠彩区,3室2厅 | 113平米 | 南 | 简装 | 中楼层(共7层)  | 暂无数据,1人关注 / 31天以前发布,61,"5,399元/平"
临桂新区 两江四湖水系旁 桂林碧桂园 精装修 视野开阔,桂林碧桂园 -临桂区,3室2厅 | 119平米 | 东南 | 精装 | 中楼层(共11层)  | 板楼,3人关注 / 25天以前发布,68,"5,715元/平"
兴汇城3房，全新精装修，好房看过来,兴汇城 -临桂区,3室2厅 | 117平米 | 南 | 精装 | 高楼层(共34层)  | 板塔结合,0人关注 / 30天以前发布,59.6,"5,095元/平"
户型方正，三房两厅一厨一卫，格局好，通风采光好,花样年•麓湖国际 -临桂区,3室1厅 | 88.44平米 | 南 | 毛坯 | 低楼层(共34层)  | 塔楼,0人关注 / 26天以前发布,38,"4,297元/平"
兴荣郡126平大四房主卧有7平米衣帽间带车位出售,兴荣郡 -临桂区,4室2厅 | 126平米 | 南 北 | 精装 | 高楼层(共34层)  | 板塔结合,7人关注 / 29天以前发布,70,"5,556元/平"
吾悦广场旁品质小区，好楼层刚需三房有证急售,汇荣•桂林桂林 -临桂区,3室2厅 | 86平米 | 南 | 毛坯 | 中楼层(共34层)  | 塔楼,0人关注 / 22天以前发布,45.6,"5,303元/平"
全新装修未入住，证件齐全，拎包入住,汇荣•桂林桂林 -临桂区,3室1厅 | 85.74平米 | 南 | 精装 | 中楼层(共34层)  | 板楼,0人关注 / 25天以前发布,51,"5,949元/平"
全新装修未入住，无贷款。产权清晰,彰泰滟澜山 -临桂区,3室1厅 | 87.8平米 | 南 | 精装 | 高楼层(共34层)  | 暂无数据,0人关注 / 25天以前发布,52,"5,923元/平"
急售！！！碧桂园精装房 满两年 坐北朝南好楼层,桂林碧桂园 -临桂区,3室2厅 | 119平米 | 南 北 | 精装 | 中楼层(共11层)  | 板楼,0人关注 / 18天以前发布,69,"5,799元/平"
彰泰滟澜山精装四房，干净整洁 急售,彰泰滟澜山 -临桂区,4室2厅 | 113平米 | 南 | 精装 | 中楼层(共25层)  | 板楼,1人关注 / 27天以前发布,65,"5,753元/平"
东晖国际大三房电梯六楼140平仅售95万,东晖国际公馆 -七星区,3室2厅 | 140.1平米 | 南 | 简装 | 中楼层(共12层)  | 板塔结合,15人关注 / 一年前发布,92,"6,567元/平"
电梯中间楼层。舒适型三房。。。。。。。。。。,中豪国际 -灵川,3室2厅 | 101.66平米 | 南 北 | 其他 | 低楼层(共30层)  | 塔楼,0人关注 / 4个月以前发布,30,"2,952元/平"
滟澜山好楼栋16楼101平4房56万,彰泰滟澜山 -临桂区,4室2厅 | 101.86平米 | 北 | 毛坯 | 中楼层(共34层)  | 板楼,0人关注 / 2个月以前发布,52,"5,106元/平"
兴荣郡 2室1厅 南,兴荣郡 -临桂区,2室1厅 | 65平米 | 南 | 精装 | 中楼层(共34层)  | 塔楼,1人关注 / 14天以前发布,35.7,"5,493元/平"
中房阳光 产权 69.84m² 电梯复式精装3房 有车位,中房阳光 -叠彩区,3室2厅 | 69.84平米 | 西北 北 | 精装 | 高楼层(共9层)  | 板楼,2人关注 / 3个月以前发布,45.7,"6,544元/平"
象山区瓦窑批发城德天广场隔壁彰泰城东区实用2房,彰泰城东区 -象山区,2室2厅 | 86.99平米 | 南 北 | 精装 | 中楼层(共6层)  | 板楼,1人关注 / 3个月以前发布,55,"6,323元/平"
环境成熟，空气新鲜，精装修，喜欢的可以入手,万正西区国际 -象山区,2室2厅 | 81.84平米 | 北 | 精装 | 高楼层(共6层)  | 板楼,7人关注 / 一年前发布,53,"6,477元/平"
汇泽苑   两房两厅家具家电三楼,汇泽苑小区 -象山区,2室2厅 | 86.75平米 | 南 | 简装 | 中楼层(共6层)  | 板楼,0人关注 / 2个月以前发布,43,"4,957元/平"
碧园印象桂林小高层2房简装，房东急卖!,碧园•印象桂林 -临桂区,2室2厅 | 77.63平米 | 南 | 简装 | 低楼层(共11层)  | 板塔结合,53人关注 / 7个月以前发布,27.5,"3,543元/平"
高新万达 精装2房2厅1卫120平大露台 家电家具全新,栖霞府北苑 -七星区,2室2厅 | 74.48平米 | 南 | 精装 | 低楼层(共17层)  | 板塔结合,2人关注 / 2个月以前发布,73.9,"9,923元/平"
"安新北区二房一厅简装出售,看房方便",安新小区北区 -象山区,2室2厅 | 65.57平米 | 南 | 简装 | 高楼层(共6层)  | 暂无数据,10人关注 / 6个月以前发布,30,"4,576元/平"
吾悦广场 吾悦广场旁 凤凰城精装两房 新装修未入住,山水凤凰城 -临桂区,2室2厅 | 71.91平米 | 东南 | 精装 | 高楼层(共28层)  | 塔楼,0人关注 / 1个月以前发布,35.8,"4,979元/平"
金隆苑小区  3楼 2房出售  业主急售,金隆苑小区 -叠彩区,2室1厅 | 75.43平米 | 南 北 | 简装 | 中楼层(共6层)  | 暂无数据,0人关注 / 1个月以前发布,37,"4,906元/平"
兴荣郡两房 高楼层视野好 有钥匙随时看房,兴荣郡 -临桂区,2室1厅 | 64.74平米 | 西 | 毛坯 | 高楼层(共34层)  | 塔楼,0人关注 / 一年前发布,31.5,"4,866元/平"
七星区客世界旁七星花园两房两厅精装拎包入住户型方正,七星花园 -七星区,2室1厅 | 78平米 | 南 北 | 精装 | 中楼层(共8层)  | 板楼,0人关注 / 2个月以前发布,46,"5,898元/平"
兴荣郡网红小户型，住宅性质，可自住可出租,兴荣郡 -临桂区,1室1厅 | 35.7平米 | 南 | 精装 | 高楼层(共34层)  | 塔楼,1人关注 / 5个月以前发布,18.8,"5,267元/平"
此房南背通透采光充足，视野开阔，配套齐全，交通方便,意隆景苑 -灵川,4室2厅 | 119平米 | 东 南 | 精装 | 低楼层(共18层)  | 暂无数据,0人关注 / 16天以前发布,52.8,"4,437元/平"
芦笛菜市 华鼎·幸福里 南城百货 沃尔玛商圈,华鼎·幸福里 -叠彩区,3室2厅 | 102平米 | 南 | 其他 | 低楼层(共12层)  | 板楼,0人关注 / 14天以前发布,69,"6,765元/平"
御林湾带装修电梯大三房，业主换房急售，提前预约看房,御林湾 -象山区,3室2厅 | 123.01平米 | 南 北 | 精装 | 低楼层(共11层)  | 板楼,5人关注 / 5个月以前发布,60,"4,878元/平"
澳洲花园楼梯4楼南北通三房两厅,澳洲花园 -七星区,3室2厅 | 116.99平米 | 南 北 | 简装 | 中楼层(共8层)  | 塔楼,0人关注 / 3个月以前发布,78,"6,668元/平"
精通伊顿国际大三房，万达广场，吾悦广场旁,精通伊顿国际 -临桂区,3室2厅 | 121.91平米 | 南 | 简装 | 中楼层(共18层)  | 板塔结合,9人关注 / 8个月以前发布,51.5,"4,225元/平"
电梯  四楼+车位  朝南   阳光充足  精装修   三房,龙光普罗旺斯南区 -象山区,3室2厅 | 92平米 | 南 | 精装 | 中楼层(共11层)  | 板楼,1人关注 / 2个月以前发布,58,"6,305元/平"
体育馆樱特莱庄园三房两厅中装拎包入住养生楼层67万,樱特莱莊園 -七星区,3室2厅 | 98.41平米 | 南 | 精装 | 低楼层(共7层)  | 暂无数据,27人关注 / 8个月以前发布,67,"6,809元/平"
彰泰城  三房两厅两卫出售 一梯两户,彰泰城东区 -象山区,3室2厅 | 101.94平米 | 南 | 简装 | 高楼层(共6层)  | 板楼,0人关注 / 一年前发布,69,"6,769元/平"
一楼带花园，阳光房大三房，采光充足，交通十分便利。,东晖星城北区 -叠彩区,3室2厅 | 133.22平米 | 南 | 精装 | 低楼层(共7层)  | 板楼,1人关注 / 2个月以前发布,81,"6,081元/平"
步梯4楼朝南户型，户型好，精装修，家电家具齐全,彰泰城东区 -象山区,3室2厅 | 100.1平米 | 南 北 | 精装 | 中楼层(共6层)  | 板楼,0人关注 / 1个月以前发布,76,"7,593元/平"
此房在八里街五路；金泽花园；交通生活便利,金泽花园 -灵川,3室2厅 | 135.27平米 | 南 北 | 精装 | 中楼层(共7层)  | 板楼,0人关注 / 2个月以前发布,47,"3,475元/平"
一院两馆旁彰泰城市一号5房江景房,彰泰城市一号 -临桂区,5室2厅 | 127平米 | 东南 南 北 | 精装 | 高楼层(共34层)  | 塔楼,8人关注 / 一年前发布,72,"5,670元/平"
板楼南北通透双阳台，一梯一户，单独电梯厅，满二唯一,桂林碧桂园 -临桂区,4室2厅 | 145.04平米 | 南 北 | 精装 | 高楼层(共18层)  | 板楼,22人关注 / 一年前发布,83,"5,723元/平"
彰泰欢乐颂 6房2厅3卫 看泳池 小洋房,彰泰欢乐颂 -临桂区,6室2厅 | 139.59平米 | 南 | 毛坯 | 低楼层(共11层)  | 板塔结合,1人关注 / 2个月以前发布,94,"6,735元/平"
府悦世家四房两厅大阳台，有车位价格另算,府悦世家 -临桂区,4室2厅 | 136平米 | 南 | 毛坯 | 高楼层(共33层)  | 塔楼,8人关注 / 11个月以前发布,65.5,"4,817元/平"
房东急售  电梯5楼  大3房  带装修,广源·国际社区 -秀峰区,3室2厅 | 130平米 | 南 北 | 精装 | 中楼层(共9层)  | 板塔结合,0人关注 / 17天以前发布,98,"7,539元/平"
此房通透，采光充足，小高层洋房，一梯两户，无欠款,冠信幸福美地 -临桂区,3室2厅 | 113平米 | 东南 | 毛坯 | 高楼层(共11层)  | 板楼,0人关注 / 25天以前发布,39,"3,452元/平"
云顶玉峰二附院旁优质小区大两房拎包入住，家具家电全,云顶御峰 -临桂区,2室1厅 | 83.59平米 | 东 | 精装 | 低楼层(共31层)  | 板塔结合,0人关注 / 24天以前发布,31,"3,709元/平"
兴进广场  七星星城2室1厅  舒适精装房 拧包入住,七星新城二期 -七星区,2室2厅 | 96平米 | 西 | 精装 | 高楼层(共15层)  | 板楼,0人关注 / 28天以前发布,72.8,"7,584元/平"
回龙小区旁两房一厅，户型方正采光，现售：26万！,中山北路69号 -叠彩区,2室1厅 | 67.4平米 | 东 西 | 简装 | 高楼层(共7层)  | 暂无数据,10人关注 / 8个月以前发布,26,"3,858元/平"
2房 三里店商圈.地段好.甲天下广场.客世界..穿山公园,穿山园商住楼 -七星区,2室1厅 | 63.86平米 | 东南 南 | 简装 | 中楼层(共7层)  | 板塔结合,4人关注 / 3个月以前发布,32,"5,011元/平"
楼梯3楼，房子保养很好，拎包入住,煤建宿舍 -象山区,2室1厅 | 61.04平米 | 南 北 | 精装 | 中楼层(共5层)  | 暂无数据,2人关注 / 2个月以前发布,22.8,"3,736元/平"
东晖星城北区2楼，双阳台，拎包入住,东晖星城北区 -叠彩区,3室1厅 | 105平米 | 南 北 东 | 精装 | 低楼层(共6层)  | 板楼,0人关注 / 15天以前发布,58.5,"5,572元/平"
品质小区，彰泰物业，精装修，楼层好，有车位,江与城 -叠彩区,3室2厅 | 89.41平米 | 东南 | 精装 | 中楼层(共11层)  | 暂无数据,3人关注 / 7个月以前发布,86,"9,619元/平"
象山区瑞城加州花园漓江边带大花园大四房,瑞城加州花园 -象山区,4室2厅 | 146.65平米 | 南 北 | 简装 | 低楼层(共7层)  | 板塔结合,0人关注 / 14天以前发布,82,"5,592元/平"
，楼层好，视野开阔，配套齐全，交通便利。,耀和荣裕 -秀峰区,2室2厅 | 81.97平米 | 南 北 | 精装 | 中楼层(共11层)  | 板塔结合,0人关注 / 2个月以前发布,61.5,"7,503元/平"
叠彩区 漓江边  步梯2楼大三房 15平露台 带车位哦,东晖星城北区 -叠彩区,3室2厅 | 135平米 | 东南 | 精装 | 低楼层(共7层)  | 板楼,15人关注 / 一年前发布,70,"5,186元/平"
临桂新区彰泰欢乐颂4房2厅2卫好楼层,彰泰欢乐颂 -临桂区,4室2厅 | 114.3平米 | 南 北 | 毛坯 | 中楼层(共34层)  | 板塔结合,2人关注 / 2个月以前发布,56.8,"4,970元/平"
全新装修未入住，可以看水系。。,奥林匹克花园悉尼蓝湾 -临桂区,3室2厅 | 111.94平米 | 南 北 | 精装 | 高楼层(共28层)  | 塔楼,3人关注 / 2个月以前发布,63.8,"5,700元/平"
山水凤凰城小高层一梯两户精装修拎包入住三房两厅两卫,山水凤凰城 -临桂区,3室2厅 | 113平米 | 南 | 精装 | 高楼层(共11层)  | 板楼,3人关注 / 3个月以前发布,56.5,"5,000元/平"
九华路养生楼层，大三房通风采光好！,九华路1号 -叠彩区,3室1厅 | 82.75平米 | 南 北 | 简装 | 中楼层(共4层)  | 暂无数据,3人关注 / 11个月以前发布,37,"4,472元/平"
急售 彰泰桂青园  三房两厅  带杂物间 出售,彰泰桂青园 -象山区,3室2厅 | 100平米 | 南 北 | 简装 | 中楼层(共7层)  | 板楼,7人关注 / 9个月以前发布,53.5,"5,350元/平"
时代枫林毛坯3房，房间大，好楼层，阳台多,时代枫林（时代枫林商贸城） -临桂区,3室2厅 | 121平米 | 北 | 毛坯 | 高楼层(共29层)  | 暂无数据,0人关注 / 6个月以前发布,49.9,"4,124元/平"
小区中间位置，南北通透格局，电梯高层，直达负一楼,栖霞府南苑 -七星区,3室2厅 | 127平米 | 南 北 | 毛坯 | 高楼层(共15层)  | 暂无数据,6人关注 / 3个月以前发布,90.5,"7,126元/平"
彰泰欢乐颂，三房朝南，精装湖景房,彰泰欢乐颂 -临桂区,3室2厅 | 96.4平米 | 南 | 精装 | 高楼层(共35层)  | 塔楼,0人关注 / 1个月以前发布,59.5,"6,173元/平"
麓湖8.8平米大阳台，户型方正3房2卫，40多万惊喜价,花样年•麓湖国际 -临桂区,3室2厅 | 102.59平米 | 南 | 毛坯 | 高楼层(共33层)  | 板楼,8人关注 / 3个月以前发布,43,"4,192元/平"
精装修板楼大四房 所见即所得 带车位  急卖！,新城吾悦华府 -临桂区,4室2厅 | 120.83平米 | 南 北 | 精装 | 低楼层(共33层)  | 暂无数据,19人关注 / 3个月以前发布,67.8,"5,612元/平"
临湖美景  品质小区  繁华而绕,花样年•麓湖国际 -临桂区,5室2厅 | 135平米 | 南 | 毛坯 | 低楼层(共33层)  | 板塔结合,21人关注 / 8个月以前发布,50,"3,704元/平"
享有老城区与新城区配套，500强万科物业,奥林匹克花园雅典阳光 -临桂区,2室2厅 | 97平米 | 南 北 | 简装 | 低楼层(共6层)  | 板楼,1人关注 / 1个月以前发布,37.8,"3,897元/平"
花生唐旁三房两卫户型方正 朝南视野好 看小区绿化景观,花样年•麓湖国际 -临桂区,3室2厅 | 102平米 | 南 | 毛坯 | 低楼层(共33层)  | 板楼,9人关注 / 2个月以前发布,39,"3,824元/平"
凤凰城精装大3房，带车位，业主诚心出售,山水凤凰城 -临桂区,3室2厅 | 107.66平米 | 南 北 | 精装 | 中楼层(共11层)  | 板楼,0人关注 / 1个月以前发布,59.8,"5,555元/平"
一院两馆，山水公园旁，万达九著三房,万达九著 -临桂区,3室2厅 | 108.48平米 | 南 北 | 毛坯 | 高楼层(共18层)  | 暂无数据,3人关注 / 9个月以前发布,53,"4,886元/平"
泗洲湾花园漓江边的小区，散步休闲的好去处！,泗洲湾花园 -叠彩区,4室2厅 | 160平米 | 南 | 毛坯 | 中楼层(共12层)  | 板楼,0人关注 / 3个月以前发布,86,"5,375元/平"
大三房空置出售，小高层洋房，地段好，环境舒适,冠信幸福美地 -临桂区,3室2厅 | 127.9平米 | 南 北 | 精装 | 中楼层(共11层)  | 板楼,44人关注 / 一年前发布,47.5,"3,714元/平"
七星区彰泰春天万达地段CBD商圈低密度小洋房,彰泰·春天 -七星区,4室2厅 | 115平米 | 南 | 毛坯 | 低楼层(共6层)  | 暂无数据,5人关注 / 一年前发布,122,"10,609元/平"
朝向好阳光充足万达繁华地段！1！！,信昌•棠棣之华 -七星区,4室2厅 | 106.5平米 | 南 | 毛坯 | 高楼层(共17层)  | 板楼,3人关注 / 一年前发布,95,"8,921元/平"
甲天下商圈  三房  双阳台  采光好  精装修 交通便利,无线电三厂宿舍 -七星区,3室2厅 | 82平米 | 南 北 | 精装 | 中楼层(共6层)  | 暂无数据,3人关注 / 3个月以前发布,42.5,"5,183元/平"
"麓湖花样年高层户型方正采光好,只要37万",花样年•麓湖国际 -临桂区,3室2厅 | 89平米 | 南 西南 | 毛坯 | 高楼层(共34层)  | 暂无数据,6人关注 / 4个月以前发布,34,"3,821元/平"
政府 公园旁边 彰泰公园一号 大3房急售 急售,彰泰公园1号 -临桂区,3室2厅 | 123平米 | 南 | 毛坯 | 低楼层(共18层)  | 板塔结合,21人关注 / 4个月以前发布,57,"4,635元/平"
汇荣桂林精装大三房的洋房，家具家电全部都带，楼层好,汇荣•桂林桂林 -临桂区,3室1厅 | 109平米 | 南 | 精装 | 低楼层(共11层)  | 板楼,0人关注 / 1个月以前发布,68.8,"6,312元/平"
金禾苑阳光城小区三房两厅一卫彩光好,金禾苑2号阳光城 -临桂区,3室2厅 | 126平米 | 西南 | 简装 | 高楼层(共8层)  | 板楼,10人关注 / 一年前发布,31.5,"2,500元/平"
新城国奥小区 3室2厅 南,新城国奥小区 -临桂区,3室2厅 | 132.71平米 | 南 | 毛坯 | 中楼层(共21层)  | 板楼,1人关注 / 2个月以前发布,86,"6,481元/平"
鑫隆公园大地小区绿化很好，景色优美，很漂亮,鑫隆公园大地 -临桂区,3室2厅 | 124平米 | 南 | 毛坯 | 高楼层(共24层)  | 板塔结合,1人关注 / 2个月以前发布,44,"3,549元/平"
三房二厅二卫，客厅宽大，房型方正，朝南，采光好,龙光普罗旺斯南区 -象山区,3室2厅 | 89平米 | 南 | 精装 | 中楼层(共11层)  | 板塔结合,0人关注 / 2个月以前发布,58,"6,517元/平"
国奥城·铂湾 3室1厅 南,国奥城·铂湾 -叠彩区,3室1厅 | 105平米 | 南 | 其他 | 低楼层(共11层)  | 板塔结合,1人关注 / 3个月以前发布,70,"6,667元/平"
一院两馆水系旁   楼层好  采光好   业主诚心出售,彰泰城市一号 -临桂区,4室2厅 | 124.27平米 | 南 | 毛坯 | 中楼层(共34层)  | 板塔结合,3人关注 / 2个月以前发布,68,"5,472元/平"
"双阳台，采光透亮,精装拎包入，视野开阔看湖景",奥林匹克花园左岸巴黎 -临桂区,3室2厅 | 110.85平米 | 南 | 精装 | 高楼层(共24层)  | 板塔结合,0人关注 / 1个月以前发布,50,"4,511元/平"
"奥林匹克带小花园一口价40万，带花园20平,不议价",奥林匹克花园雅典阳光 -临桂区,2室1厅 | 97平米 | 南 北 | 简装 | 低楼层(共6层)  | 板楼,6人关注 / 6个月以前发布,39,"4,021元/平"
汇荣桂林桂林天玺小高层 4房 南北通采光户型,汇荣•桂林桂林 -临桂区,4室2厅 | 120平米 | 南 | 毛坯 | 中楼层(共11层)  | 板楼,3人关注 / 3个月以前发布,62,"5,167元/平"
东坡园3房25万.............,东坡园 -临桂区,3室2厅 | 90平米 | 东 西 | 简装 | 低楼层(共5层)  | 暂无数据,27人关注 / 8个月以前发布,21,"2,334元/平"
步梯3楼，户型方正 精装实用三房,三元极第 -灵川,3室1厅 | 100平米 | 南 北 | 精装 | 中楼层(共8层)  | 暂无数据,0人关注 / 1个月以前发布,44.6,"4,460元/平"
急售！一院两馆旁碧桂园精装4房，带车位！一梯一户！,桂林碧桂园 -临桂区,4室2厅 | 144.57平米 | 南 北 | 精装 | 中楼层(共17层)  | 暂无数据,6人关注 / 3个月以前发布,85.9,"5,942元/平"
精装修3房2厅2卫，南北通透。,奥林匹克花园雅典阳光 -临桂区,3室2厅 | 143平米 | 南 北 | 精装 | 低楼层(共6层)  | 板楼,3人关注 / 1个月以前发布,49.8,"3,483元/平"
