标题,开发商,房子信息,发布信息,售价/万,单价
豪庭御都 3室2厅 南 北,豪庭御都 -北湖区,3室2厅 | 158平米 | 南 北 | 精装 | 低楼层(共17层)  | 板塔结合,0人关注 / 7天以前发布,126,"7,975元/平"
诚意出售燕京电梯房 三室两厅 带储藏室 看房方便,燕京花园东区 -邹城市,3室2厅 | 104.73平米 | 南 北 | 简装 | 中楼层(共11层)  | 暂无数据,0人关注 / 22天以前发布,75,"7,162元/平"
龙翔御庭 3室2厅 南 北,龙翔御庭 -济北区,3室2厅 | 131平米 | 南 北 | 精装 | 高楼层(共18层)  | 板楼,0人关注 / 29天以前发布,116,"8,855元/平"
南北通透全明户型 精装4室  人车分流,碧桂园济州府 -济北区,4室2厅 | 143.09平米 | 南 北 | 精装 | 中楼层(共18层)  | 暂无数据,0人关注 / 23天以前发布,160,"11,182元/平"
麟祥帝景 3室2厅 南 北,麟祥帝景 -西城区,3室2厅 | 97.44平米 | 南 北 | 精装 | 低楼层(共22层)  | 板塔结合,0人关注 / 25天以前发布,88,"9,032元/平"
观景、采光好楼层，客厅双卧朝阳，全明户型，诚心出售,西岸华府 -西城区,3室2厅 | 116平米 | 南 北 | 毛坯 | 中楼层(共33层)  | 板楼,0人关注 / 23天以前发布,92,"7,932元/平"
九九花园精装修电梯房 南北通透 两梯两户,九九花园 -西城区,3室2厅 | 136平米 | 南 北 | 精装 | 中楼层(共17层)  | 板楼,0人关注 / 23天以前发布,110,"8,089元/平"
房子南北通风 环境优美 交通便利 位置优越,华润置地万象府 -兖州区,3室1厅 | 96平米 | 南 | 毛坯 | 高楼层(共27层)  | 暂无数据,0人关注 / 30天以前发布,88,"9,167元/平"
如意嘉园二区 御顶阁 电梯房 采光好 精装修 好停车,如意嘉园二区 -万达区,3室2厅 | 150平米 | 南 北 | 精装 | 高楼层(共23层)  | 板楼,0人关注 / 17天以前发布,126,"8,400元/平"
新上现房，精装修，环境优雅，客厅朝南，通透户型。,菱花富贵园 -济北区,3室2厅 | 122平米 | 东南 | 精装 | 高楼层(共26层)  | 板楼,0人关注 / 25天以前发布,112,"9,181元/平"
公务员高品质小区 环境好 价格合适,方圆忻居 -高新区,3室2厅 | 142平米 | 南 | 精装 | 中楼层(共26层)  | 塔楼,0人关注 / 23天以前发布,123,"8,662元/平"
精装未住，带车位。南北通透。全明户型,皇营东郡 -高新区,3室2厅 | 126平米 | 南 北 | 精装 | 中楼层(共33层)  | 板楼,0人关注 / 29天以前发布,122,"9,683元/平"
华润置地万象府 3室2厅 南 北,华润置地万象府 -兖州区,3室2厅 | 124平米 | 南 北 | 毛坯 | 高楼层(共26层)  | 暂无数据,0人关注 / 24天以前发布,106,"8,549元/平"
运河岸上的品质小区，公园旁！住在公园里,望月湾 -南池区,3室1厅 | 120平米 | 南 北 | 精装 | 低楼层(共32层)  | 板楼,0人关注 / 16天以前发布,107,"8,917元/平"
桃李苑简单装修  三室一厅  80平46万有钥匙,桃李苑 -邹城市,3室1厅 | 80平米 | 南 | 简装 | 高楼层(共6层)  | 暂无数据,0人关注 / 10天以前发布,46,"5,750元/平"
碧桂园云地天启3室毛坯随意装，凤凰楼层,碧桂园云地天启 -邹城市,3室2厅 | 127平米 | 南 | 其他 | 高楼层(共27层)  | 暂无数据,0人关注 / 15天以前发布,105,"8,268元/平"
中南·珑悦 4室2厅 南,中南·珑悦 -北湖区,4室2厅 | 155.11平米 | 南 | 毛坯 | 高楼层(共8层)  | 板楼,0人关注 / 2个月以前发布,180,"11,605元/平"
杨柳国际新城J区 2室1厅 南,杨柳国际新城J区 -济北区,2室1厅 | 104.06平米 | 南 | 其他 | 中楼层(共26层)  | 板楼,0人关注 / 5天以前发布,60,"5,766元/平"
吾悦首府 3室2厅 南,吾悦首府 -北湖区,3室2厅 | 124.42平米 | 南 | 其他 | 低楼层(共25层)  | 暂无数据,0人关注 / 9天以前发布,125,"10,047元/平"
恒丰苑 3室2厅 南,恒丰苑 -西城区,3室2厅 | 153.8平米 | 南 | 精装 | 低楼层(共7层)  | 板塔结合,1人关注 / 19天以前发布,260,"16,906元/平"
创意SOHO 4室1厅 南,创意SOHO -兖州区,4室1厅 | 253.56平米 | 南 | 其他 | 低楼层(共28层)  | 暂无数据,0人关注 / 5天以前发布,236,"9,308元/平"
九巨龙·华欣苑 3室2厅 南 北,九巨龙·华欣苑 -南池区,3室2厅 | 98平米 | 南 北 | 其他 | 中楼层(共33层)  | 板楼,0人关注 / 5天以前发布,87,"8,878元/平"
楼层好  采光好 小区人员素质高,吾悦首府 -北湖区,3室2厅 | 114平米 | 南 北 | 其他 | 中楼层(共27层)  | 板楼,0人关注 / 8天以前发布,126,"11,053元/平"
忠心闸社区(博远街) 4室3厅 南,忠心闸社区(博远街) -南池区,4室3厅 | 118平米 | 南 | 毛坯 | 高楼层(共7层)  | 暂无数据,0人关注 / 11天以前发布,51,"4,323元/平"
圣泰小区三室两厅带院子113平75万,圣泰小区 -邹城市,3室2厅 | 113平米 | 南 | 其他 | 低楼层(共5层)  | 板楼,0人关注 / 6天以前发布,75,"6,638元/平"
方圆忻居精装修 带车位储藏室 户型变动合理楼层位置好,方圆忻居 -高新区,3室2厅 | 143平米 | 南 | 精装 | 高楼层(共26层)  | 塔楼,0人关注 / 5天以前发布,128,"8,952元/平"
瑞马意墅洋房一楼有负一带院77平 精装修未住随时看房,瑞马意墅 -济北区,4室3厅 | 148.35平米 | 南 | 其他 | 低楼层(共11层)  | 板楼,0人关注 / 9天以前发布,326,"21,976元/平"
金泰花园 （财政局宿舍）三室两厅 含车位,金泰花园(任城区) -济北区,3室2厅 | 156.24平米 | 南 | 其他 | 低楼层(共20层)  | 暂无数据,0人关注 / 4天以前发布,140,"8,961元/平"
长泰百合花园 4室2厅 南 北,长泰百合花园 -西城区,4室2厅 | 158平米 | 南 北 | 其他 | 高楼层(共25层)  | 暂无数据,0人关注 / 9天以前发布,158,"10,000元/平"
新上曹庙小区低楼层三室简装户型方正南北通预约看房,山东华硕曹庙村 -济北区,3室1厅 | 107平米 | 南 | 简装 | 低楼层(共7层)  | 板楼,0人关注 / 2天以前发布,107,"10,000元/平"
领秀庄园 2室1厅 南,领秀庄园 -济北区,2室1厅 | 102平米 | 南 | 简装 | 高楼层(共12层)  | 板楼,0人关注 / 5天以前发布,123,"12,059元/平"
中垠悦城 2室2厅 南,中垠悦城 -高新区,2室2厅 | 83平米 | 南 | 其他 | 中楼层(共26层)  | 塔楼,0人关注 / 13天以前发布,68,"8,193元/平"
置城八号公馆 2室1厅 南,置城八号公馆 -济北区,2室1厅 | 75.66平米 | 南 | 精装 | 中楼层(共11层)  | 平房,0人关注 / 11天以前发布,75,"9,913元/平"
都市花园 电梯房 顶层复式总240平三室朝阳,都市花园 -西城区,6室3厅 | 145平米 | 东 | 精装 | 高楼层(共9层)  | 板塔结合,5人关注 / 5个月以前发布,186,"12,828元/平"
经典三室 满五唯一 户型好 楼层好 采光好,益民东区 -西城区,3室2厅 | 90平米 | 南 北 | 简装 | 中楼层(共7层)  | 板楼,0人关注 / 16天以前发布,99,"11,000元/平"
业主急售，户型合理，两室朝阳，全明户型,润景园 -万达区,2室1厅 | 80平米 | 南 北 | 简装 | 中楼层(共7层)  | 板塔结合,0人关注 / 7天以前发布,73,"9,125元/平"
此房满二唯一，格局好，楼层好视野开阔，可以包税！,济宁医学院宿舍 -南池区,2室1厅 | 61.6平米 | 南 | 简装 | 高楼层(共6层)  | 板楼,0人关注 / 6天以前发布,56,"9,091元/平"
杨柳国际新城公寓 2室1厅 南,杨柳国际新城公寓 -济北区,2室1厅 | 90平米 | 南 | 精装 | 中楼层(共26层)  | 板楼,0人关注 / 5天以前发布,63,"7,000元/平"
海鲁苑 1室1厅 南 北,海鲁苑 -邹城市,1室1厅 | 54平米 | 南 北 | 简装 | 中楼层(共4层)  | 板塔结合,0人关注 / 6天以前发布,25,"4,630元/平"
馨苑小区 2室2厅 南,馨苑小区 -邹城市,2室2厅 | 101平米 | 南 | 简装 | 高楼层(共7层)  | 板塔结合,0人关注 / 7天以前发布,50,"4,951元/平"
富锦苑 3室1厅 南,富锦苑 -邹城市,3室1厅 | 98平米 | 南 | 精装 | 低楼层(共6层)  | 板楼,0人关注 / 14天以前发布,79,"8,062元/平"
精装小高层4室  紧靠公园 吾悦广场 北湖核欣,东方御园 -万达区,4室2厅 | 128.6平米 | 南 北 | 精装 | 中楼层(共17层)  | 板塔结合,0人关注 / 11天以前发布,99,"7,699元/平"
此房源楼层高.采光好.有电梯.适合老年人和小孩居住,舒雅苑 -西城区,4室2厅 | 240平米 | 南 北 | 毛坯 | 高楼层(共10层)  | 暂无数据,96人关注 / 一年前发布,80,"3,334元/平"
新上，舜泰园前郭小区，证满5年了，可以贷款，大三居,舜泰园前郭小区 -济北区,3室2厅 | 120平米 | 南 北 | 简装 | 中楼层(共7层)  | 板楼,20人关注 / 11个月以前发布,108,"9,000元/平"
都市花园，三居室，停车方便，低楼层，使用面积大,都市花园 -西城区,3室2厅 | 147平米 | 南 | 简装 | 中楼层(共7层)  | 板塔结合,10人关注 / 7个月以前发布,157,"10,681元/平"
财政局宿舍 3室1厅 南,财政局宿舍 -济北区,3室1厅 | 116平米 | 南 | 简装 | 高楼层(共6层)  | 板楼,2人关注 / 4个月以前发布,110,"9,483元/平"
仙北小区低楼层精装修，领包入住停车方便，可四室房型,仙北小区 -济北区,4室1厅 | 85.7平米 | 南 北 | 精装 | 低楼层(共6层)  | 板楼,5人关注 / 4个月以前发布,86,"10,036元/平"
阳光城市花园 单位宿舍  满五 中间楼层  诚心出售,阳光城市花园B区 -济北区,3室2厅 | 161.98平米 | 南 | 简装 | 低楼层(共29层)  | 板楼,1人关注 / 9个月以前发布,158,"9,755元/平"
博观云著，精装4室，不沿街，不靠路。诚心出售！,博观云著 -西城区,4室2厅 | 140平米 | 南 北 | 精装 | 中楼层(共18层)  | 板楼,0人关注 / 26天以前发布,192,"13,715元/平"
有证随时过户，有车位储藏室，阳台已经封闭好，好楼层,华硕天韵 -济北区,3室2厅 | 120平米 | 北 南 | 其他 | 高楼层(共31层)  | 板塔结合,0人关注 / 20天以前发布,153,"12,750元/平"
房东诚售 满二唯一 九巨龙华盛苑 东门十五中 随时看房,华盛苑 -南池区,3室2厅 | 106平米 | 南 | 毛坯 | 高楼层(共33层)  | 板塔结合,0人关注 / 27天以前发布,104,"9,812元/平"
经典小三居 ，采光好，小区环境好，看房方便，有钥匙,皇营东郡 -高新区,3室2厅 | 103平米 | 南 北 | 毛坯 | 中楼层(共33层)  | 板楼,0人关注 / 23天以前发布,86,"8,350元/平"
益民东区 3室1厅 南 北,益民东区 -西城区,3室1厅 | 105平米 | 南 北 | 其他 | 高楼层(共6层)  | 板楼,0人关注 / 30天以前发布,75,"7,143元/平"
瑞马名门 3室2厅 北 南,瑞马名门 -济北区,3室2厅 | 136.31平米 | 北 南 | 其他 | 高楼层(共33层)  | 塔楼,0人关注 / 25天以前发布,168,"12,325元/平"
宏河美地 3室  带储  明年3月满2  优质房源 店长推荐,华城宏河美地 -万达区,3室2厅 | 128.14平米 | 南 | 其他 | 中楼层(共26层)  | 板塔结合,0人关注 / 22天以前发布,119,"9,287元/平"
房子中楼层3室 满五唯一 霍小 运河实验,济宁二建公司宿舍 -西城区,3室1厅 | 76.3平米 | 南 | 精装 | 中楼层(共6层)  | 暂无数据,1人关注 / 25天以前发布,69,"9,044元/平"
富丽华佳苑 三室加一储物间 6F 包税 有钥匙,富丽华佳苑 -济北区,3室2厅 | 163.5平米 | 南 | 其他 | 中楼层(共16层)  | 板塔结合,0人关注 / 26天以前发布,175,"10,704元/平"
再生资源公司家属院 3室2厅 南,再生资源公司家属院 -邹城市,3室2厅 | 129.88平米 | 南 | 其他 | 中楼层(共5层)  | 板塔结合,0人关注 / 16天以前发布,76,"5,852元/平"
济宁龙城公馆 6室2厅 南,济宁龙城公馆 -高新区,6室2厅 | 306.88平米 | 南 | 其他 | 低楼层(共3层)  | 暂无数据,0人关注 / 28天以前发布,760,"24,766元/平"
薛口育賢家園 3室2厅 南,薛口育賢家園 -济北区,3室2厅 | 173平米 | 南 | 其他 | 低楼层(共11层)  | 板楼,0人关注 / 29天以前发布,150,"8,671元/平"
阳光城市花园三室 好楼层 价格可议,阳光城市花园B区 -济北区,3室2厅 | 160平米 | 南 | 其他 | 中楼层(共29层)  | 板楼,0人关注 / 19天以前发布,152,"9,500元/平"
此房为东户，户型方正，采光好，设施配套齐全,红星小区 -万达区,1室1厅 | 53平米 | 南 | 简装 | 低楼层(共6层)  | 板楼,0人关注 / 22天以前发布,45,"8,491元/平"
环保局家属院三室一厅独门独院大院子92平66万,环保局家属院 -邹城市,3室1厅 | 92.58平米 | 南 | 其他 | 低楼层(共1层)  | 暂无数据,0人关注 / 13天以前发布,66,"7,129元/平"
龙城华府小户型带储，不图挣钱就图快有车位可选要不要,济宁龙城华府 -兖州区,2室2厅 | 82平米 | 南 | 其他 | 中楼层(共26层)  | 暂无数据,0人关注 / 10天以前发布,69,"8,415元/平"
风韵荷都B区 2室1厅 南,风韵荷都B区 -北湖区,2室1厅 | 77.06平米 | 南 | 其他 | 中楼层(共32层)  | 板楼,0人关注 / 9天以前发布,43,"5,581元/平"
万达华府 3室2厅 南 北,万达华府 -万达区,3室2厅 | 125平米 | 南 北 | 精装 | 高楼层(共33层)  | 塔楼,0人关注 / 27天以前发布,140,"11,200元/平"
中垠悦城 3室2厅 南,中垠悦城 -高新区,3室2厅 | 108平米 | 南 | 毛坯 | 高楼层(共22层)  | 塔楼,1人关注 / 26天以前发布,91,"8,426元/平"
东门十五中南池春晓一楼上复式带院精装带车位储藏室,南池春晓 -南池区,4室2厅 | 92.32平米 | 南 北 | 简装 | 低楼层(共25层)  | 板楼,0人关注 / 22天以前发布,190,"20,581元/平"
人文嘉园 3室2厅 南 北,人文嘉园 -西城区,3室2厅 | 143平米 | 南 北 | 精装 | 中楼层(共11层)  | 板塔结合,0人关注 / 19天以前发布,165,"11,539元/平"
本房在一楼，户型好。院子有配房，大院好停车，,技师家苑 -南池区,3室1厅 | 85平米 | 南 北 | 简装 | 低楼层(共4层)  | 板塔结合,2人关注 / 25天以前发布,100,"11,765元/平"
南池旁越河家园大四居精装带储藏室满五唯一,越河家园 -南池区,4室1厅 | 141.84平米 | 南 北 | 精装 | 中楼层(共11层)  | 板楼,0人关注 / 21天以前发布,138,"9,730元/平"
三居室，冠亚星城，证满五年，婚房，唯一住房！,冠亚星城 -济北区,3室2厅 | 113平米 | 南 北 | 精装 | 高楼层(共18层)  | 板楼,0人关注 / 19天以前发布,110,"9,735元/平"
南刘庄B区 精装修 价格包含一个南向车库 有证可贷款,南刘庄小区（B区） -济北区,3室1厅 | 106平米 | 南 | 精装 | 中楼层(共7层)  | 板楼,0人关注 / 19天以前发布,98,"9,246元/平"
都市豪庭 满五 电梯房 精装修 产权清晰，急售,大地•都市春天 -济北区,2室1厅 | 98平米 | 南 | 精装 | 低楼层(共18层)  | 板楼,0人关注 / 29天以前发布,125,"12,756元/平"
中武新苑 3室1厅 南 北,中武新苑 -万达区,3室1厅 | 92平米 | 南 北 | 其他 | 低楼层(共6层)  | 暂无数据,0人关注 / 16天以前发布,78,"8,479元/平"
南池春晓 3室2厅 南,南池春晓 -南池区,3室2厅 | 122.69平米 | 南 | 其他 | 高楼层(共24层)  | 暂无数据,1人关注 / 18天以前发布,148,"12,063元/平"
水岸愉园 2室2厅 南 北,水岸愉园 -北湖区,2室2厅 | 78平米 | 南 北 | 其他 | 中楼层(共7层)  | 暂无数据,0人关注 / 8天以前发布,38,"4,872元/平"
恒屹小区 3室2厅 南,恒屹小区 -邹城市,3室2厅 | 92平米 | 南 | 其他 | 低楼层(共6层)  | 板塔结合,0人关注 / 12天以前发布,53.5,"5,816元/平"
新华府 2室1厅 南 北,新华府 -西城区,2室1厅 | 96.7平米 | 南 北 | 其他 | 高楼层(共26层)  | 板塔结合,0人关注 / 4天以前发布,78,"8,067元/平"
海鲁苑 2室2厅 东 西,海鲁苑 -邹城市,2室2厅 | 73.6平米 | 东 西 | 其他 | 中楼层(共6层)  | 暂无数据,0人关注 / 7天以前发布,42,"5,707元/平"
龙翔御苑 3室2厅 南,龙翔御苑 -济北区,3室2厅 | 138平米 | 南 | 其他 | 高楼层(共6层)  | 板楼,1人关注 / 9天以前发布,65,"4,711元/平"
中南樾府有储藏室，三室两厅小区环境好,邹城中南樾府 -邹城市,3室2厅 | 102平米 | 南 | 其他 | 低楼层(共27层)  | 板塔结合,0人关注 / 9天以前发布,72,"7,059元/平"
红星瑞马世家 3室2厅 南,红星瑞马世家 -高新区,3室2厅 | 120平米 | 南 | 其他 | 高楼层(共17层)  | 暂无数据,0人关注 / 12天以前发布,100,"8,334元/平"
曹西 4室2厅 南 北,曹西 -西城区,4室2厅 | 115平米 | 南 北 | 其他 | 高楼层(共7层)  | 塔楼,0人关注 / 2个月以前发布,65,"5,653元/平"
碧桂园大别墅上下三层前排无遮挡有证可贷款,邹城碧桂园 -邹城市,6室2厅 | 236.22平米 | 南 | 其他 | 3层  | 暂无数据 | 双拼别墅 ,0人关注 / 3个月以前发布,299,"12,658元/平"
佳世客旁 警韵之家 小河北 小区中间位置,警韵之家 -济北区,4室2厅 | 178平米 | 南 | 简装 | 高楼层(共18层)  | 暂无数据,2人关注 / 5个月以前发布,230,"12,922元/平"
益民东区，十三中，三室好房，楼层好，安静小院,益民东区 -西城区,3室2厅 | 136平米 | 南 北 | 其他 | 低楼层(共7层)  | 板楼,7人关注 / 9个月以前发布,155,"11,398元/平"
豪庭御都 5室2厅 南,豪庭御都 -北湖区,5室2厅 | 171平米 | 南 | 精装 | 高楼层(共17层)  | 塔楼,4人关注 / 3个月以前发布,132,"7,720元/平"
大地都市春天 十三中 免 税 有钥匙随时看房,大地•都市春天 -济北区,3室2厅 | 144平米 | 南 | 精装 | 高楼层(共12层)  | 板塔结合,0人关注 / 8个月以前发布,174,"12,084元/平"
此房中间楼层，一室一厅朝阳，采光充足，小区环境好,济宁市交通运输团宿舍 -万达区,1室1厅 | 37.88平米 | 南 | 精装 | 中楼层(共6层)  | 暂无数据,0人关注 / 13天以前发布,36,"9,504元/平"
瑞马4室2厅1厨2卫164平方大平层,瑞马名门 -济北区,4室2厅 | 164平米 | 南 | 毛坯 | 中楼层(共33层)  | 板楼,8人关注 / 一年前发布,208,"12,683元/平"
楼层好，采光足。配套齐全 出行方便,南刘庄 -济北区,2室1厅 | 72.17平米 | 南 北 | 精装 | 中楼层(共6层)  | 暂无数据,26人关注 / 9个月以前发布,40,"5,543元/平"
融创济宁府 廖河双语 廖河公园 大四室,融创·济宁府 -兖州区,4室2厅 | 172.52平米 | 南 | 毛坯 | 中楼层(共26层)  | 板楼,13人关注 / 8个月以前发布,128,"7,420元/平"
免土地出让金，满五唯一，大户型，三室朝阳，装修干净,环北花园 -西城区,3室2厅 | 121.67平米 | 南 北 | 精装 | 高楼层(共7层)  | 板塔结合,14人关注 / 一年前发布,93,"7,644元/平"
三室朝阳 楼层好，视野宽阔，采光充足，配套齐全,济宁市第一人民医院宿舍 -南池区,3室1厅 | 97.34平米 | 南 北 | 简装 | 高楼层(共6层)  | 板楼,14人关注 / 一年前发布,78,"8,014元/平"
吾悦首府有证可贷款3室两厅两卫,吾悦首府 -北湖区,3室1厅 | 124平米 | 南 北 | 毛坯 | 中楼层(共27层)  | 暂无数据,0人关注 / 2个月以前发布,130,"10,484元/平"
华锦苑 精装修4室2厅 户型方正 配套设施齐全,青年城三期华锦苑 -南池区,4室2厅 | 152平米 | 南 北 | 精装 | 中楼层(共21层)  | 暂无数据,1人关注 / 3个月以前发布,190,"12,500元/平"
龙城一号 洋房中间楼层  有车位储藏室 诚心出售,龙城壹号 -万达区,3室2厅 | 147.26平米 | 南 北 | 毛坯 | 中楼层(共7层)  | 暂无数据,1人关注 / 3个月以前发布,145,"9,847元/平"
八铺社区2楼，3室1厅便宜出售,八铺社区居民楼 -南池区,3室1厅 | 76平米 | 南 北 | 简装 | 中楼层(共5层)  | 暂无数据,1人关注 / 4个月以前发布,53,"6,974元/平"
怡博园 3室2厅 南 北128平米，带车库86万,怡博园 -邹城市,3室2厅 | 128平米 | 南 北 | 简装 | 高楼层(共6层)  | 暂无数据,0人关注 / 5个月以前发布,86,"6,719元/平"
急售碧桂园三室两厅二楼 没有遮挡 随时看房,邹城碧桂园 -邹城市,3室2厅 | 124平米 | 南 | 毛坯 | 低楼层(共30层)  | 塔楼,2人关注 / 2个月以前发布,80,"6,452元/平"
吾悦首付观景楼层可贷款3室两厅两室一厅朝阳,吾悦首府 -北湖区,3室2厅 | 113.15平米 | 南 北 | 毛坯 | 高楼层(共27层)  | 暂无数据,2人关注 / 5个月以前发布,110,"9,722元/平"
九巨龙红玺台 3室2厅 南,九巨龙红玺台 -万达区,3室2厅 | 95.68平米 | 南 | 精装 | 高楼层(共33层)  | 塔楼,1人关注 / 4个月以前发布,97,"10,138元/平"
恒兴经典精装三室多层洋房带车库诚意出售,恒兴经典 -邹城市,3室2厅 | 101平米 | 南 | 精装 | 低楼层(共6层)  | 暂无数据,0人关注 / 一年前发布,129.8,"12,852元/平"
挨着铁山公园 上下两层带院 外开门 四室两厅95万,上山街 -邹城市,4室2厅 | 94平米 | 南 | 精装 | 低楼层(共2层)  | 暂无数据,5人关注 / 6个月以前发布,84,"8,937元/平"
晨阳庄园北区 3室2厅 南,晨阳庄园北区 -西城区,3室2厅 | 115平米 | 南 | 简装 | 中楼层(共22层)  | 板塔结合,1人关注 / 1个月以前发布,114,"9,914元/平"
吾悦首府  边户 126平方  车位  急售,吾悦首府 -北湖区,3室2厅 | 126平米 | 南 | 毛坯 | 低楼层(共27层)  | 暂无数据,0人关注 / 1个月以前发布,135,"10,715元/平"
市中3室好房，新上房位置佳好楼层！,保利·时光印象 -南池区,3室2厅 | 116平米 | 南 北 | 毛坯 | 高楼层(共26层)  | 暂无数据,1人关注 / 1个月以前发布,117,"10,087元/平"
四室两厅两卫 有车位 好楼层 有证可贷款,王府景 -西城区,4室2厅 | 160平米 | 南 北 | 毛坯 | 中楼层(共32层)  | 板楼,12人关注 / 6个月以前发布,210,"13,125元/平"
九巨龙·华欣苑 3室1厅 南 北,九巨龙·华欣苑 -南池区,3室1厅 | 97.04平米 | 南 北 | 简装 | 高楼层(共26层)  | 板楼,0人关注 / 3个月以前发布,93,"9,584元/平"
菜市小区(建设路) 4室1厅 南 北,菜市小区(建设路) -万达区,4室1厅 | 117平米 | 南 北 | 简装 | 低楼层(共6层)  | 板楼,3人关注 / 3个月以前发布,125,"10,684元/平"
如意嘉园北区 精装车位储藏室 满五唯一 钥匙,如意嘉园北区 -万达区,3室1厅 | 160.21平米 | 南 | 精装 | 低楼层(共17层)  | 板楼,0人关注 / 1个月以前发布,175,"10,924元/平"
风韵荷都 三室两厅小高层 含储藏室一梯一户,风韵荷都B区 -北湖区,3室2厅 | 135平米 | 南 北 | 毛坯 | 低楼层(共17层)  | 暂无数据,6人关注 / 6个月以前发布,100,"7,408元/平"
红星小区四楼刚需过度精装三室房 ，有钥匙看房方便,红星小区 -万达区,2室1厅 | 53.46平米 | 南 | 精装 | 中楼层(共6层)  | 板楼,0人关注 / 3个月以前发布,47,"8,792元/平"
中南珑悦-带车储-户型漂亮好用,中南·珑悦 -北湖区,4室2厅 | 137.73平米 | 南 北 | 毛坯 | 中楼层(共8层)  | 板楼,0人关注 / 1个月以前发布,168,"12,198元/平"
"采光好,南北通透,带储藏室,带80平大露台,无遮挡",华硕天韵 -济北区,3室2厅 | 125平米 | 南 北 | 精装 | 低楼层(共18层)  | 板楼,0人关注 / 1个月以前发布,165,"13,200元/平"
