标题,开发商,房子信息,发布信息,售价/万,单价
绿地二期 好房出售 中间楼层 产证满二 可按揭价格便宜,智慧金融城H区 -兰州新区,3室2厅 | 105.75平米 | 南 北 | 毛坯 | 中楼层(共30层)  | 板楼,0人关注 / 17天以前发布,62,"5,863元/平"
科教城大跃层 有130平米大楼台 看房方便 精装修,科教城東苑 -交大,6室3厅 | 285.52平米 | 南 北 | 精装 | 高楼层(共6层)  | 板楼,10人关注 / 一年前发布,320,"11,208元/平"
精准四室，花园室小区，高品质服务,众邦金水湾 -海关,4室2厅 | 201.09平米 | 南 北 | 精装 | 中楼层(共25层)  | 板楼,6人关注 / 11个月以前发布,258,"12,831元/平"
此房南北通透格局好，视野开阔，采光无遮挡,中海·河山郡 -莫高大道,3室1厅 | 113.79平米 | 南 北 | 精装 | 高楼层(共34层)  | 板楼,6人关注 / 5个月以前发布,118,"10,370元/平"
海关地铁口 朝南精装两室 中间楼层落地窗,中和山水興城 -海关,2室1厅 | 103.52平米 | 南 | 精装 | 中楼层(共34层)  | 板楼,0人关注 / 2个月以前发布,120,"11,592元/平"
桥北小两居室 业主诚心出售产权清晰小区价格便宜,新厦水岸天成 -十里店,2室1厅 | 84.98平米 | 南 | 精装 | 中楼层(共34层)  | 板楼,0人关注 / 2个月以前发布,99,"11,650元/平"
天水北路小高层178平米3室2厅南北通透一梯两户电梯房,望河丽景 -北面滩,3室2厅 | 178.67平米 | 南 北 | 简装 | 中楼层(共16层)  | 板楼,1人关注 / 4个月以前发布,189,"10,579元/平"
鸿运润园150平米 电梯3房 南北通透 园林小区 高性价,鸿运润园 -北面滩,3室2厅 | 149.94平米 | 南 北 | 简装 | 中楼层(共11层)  | 板楼,44人关注 / 8个月以前发布,207.8,"13,859元/平"
万达雁滩公园 好房出售 正规三室两厅 客厅主卧朝南,金地花园 -万达大润发,3室2厅 | 144.38平米 | 南 北 | 精装 | 中楼层(共7层)  | 板楼,8人关注 / 一年前发布,175,"12,121元/平"
十里店朝南正规两室中间楼层简装修随时看房首付25万,煤建小区 -安宁庭院,2室2厅 | 88.16平米 | 南 | 简装 | 中楼层(共8层)  | 板塔结合,0人关注 / 4个月以前发布,75,"8,508元/平"
南关十字 一梯一户 正规三室 南北通透 随时看房,中街子小区 -西关南关,3室2厅 | 135.56平米 | 南 北 | 简装 | 中楼层(共8层)  | 板楼,12人关注 / 一年前发布,145,"10,697元/平"
二热 正规三室 南北通透 看房方便 业主诚心出售,甘肃省医药学校小区 -东部,3室1厅 | 68平米 | 南 北 | 简装 | 低楼层(共6层)  | 平房,0人关注 / 3个月以前发布,58.5,"8,603元/平"
一只船   带装修 南北通透 有院子,甘肃省贸易经济合作厅家属院 -兰大盘旋路,2室2厅 | 84.64平米 | 南 北 | 简装 | 低楼层(共7层)  | 板楼,3人关注 / 3个月以前发布,165,"19,495元/平"
海关 地铁口 毛坯三室 南北通透 中间楼层 采光佳,众邦金水湾 -海关,3室2厅 | 136.45平米 | 南 北 | 简装 | 中楼层(共25层)  | 板楼,29人关注 / 一年前发布,149.9,"10,986元/平"
地铁楼正规三室房源 南北通透 一梯两户,工行东岗支行油漆厂家属院 -东部,3室2厅 | 102平米 | 南 北 | 简装 | 中楼层(共8层)  | 板楼,11人关注 / 8个月以前发布,103,"10,099元/平"
此房屋满五年，采光好，南北朝向，三室两厅两卫,省商务厅家属院（民主东路/平凉路） -兰大盘旋路,3室2厅 | 103平米 | 南 北 | 精装 | 中楼层(共7层)  | 板楼,11人关注 / 一年前发布,145,"14,078元/平"
盘旋路飞天大酒店旁飞天家属院三室二厅,飞天大酒店家属院 -兰大盘旋路,3室2厅 | 90.48平米 | 西南 | 精装 | 高楼层(共7层)  | 塔楼,46人关注 / 一年前发布,115,"12,710元/平"
盘旋路 一只船 十一中 正规两室 电梯房 供销社家属院,甘肃省供销社家属院 -兰大盘旋路,2室1厅 | 87平米 | 西南 | 简装 | 中楼层(共22层)  | 板楼,4人关注 / 一年前发布,168,"19,311元/平"
天庆格林小镇 花园式小区 拎包入住 三室南北通透,天庆•格林小镇东区 -北面滩,3室2厅 | 130.18平米 | 南 北 | 精装 | 中楼层(共32层)  | 板楼,10人关注 / 7个月以前发布,200,"15,364元/平"
十里店两室好房 产权清晰 可按揭 交通便利,十里店煤炭公司家属院 -安宁庭院,2室2厅 | 76.07平米 | 南 北 | 简装 | 高楼层(共6层)  | 板楼,3人关注 / 6个月以前发布,59,"7,757元/平"
雁滩高新区  电梯三居室  户型方正,康乐花园 -雁滩高新区,3室2厅 | 140.27平米 | 南 北 | 简装 | 中楼层(共14层)  | 板楼,0人关注 / 2个月以前发布,155,"11,051元/平"
雁滩 单价低 南北通透3室2厅2卫基业豪庭  户型方正,基业豪庭 -雁滩高新区,3室2厅 | 126.47平米 | 南 北 | 简装 | 高楼层(共6层)  | 板楼,19人关注 / 6个月以前发布,125,"9,884元/平"
位于天水北路 万达好房 南北通透,博大住宅小区 -万达大润发,3室2厅 | 116平米 | 南 北 | 简装 | 中楼层(共8层)  | 板楼,20人关注 / 一年前发布,98,"8,449元/平"
南北厨卫带窗  中层 近地铁万达,中集幸福里 -莫高大道,2室2厅 | 95.12平米 | 南 北 | 精装 | 中楼层(共32层)  | 板楼,4人关注 / 11个月以前发布,109,"11,460元/平"
安宁 北滨河西路 安宁庭院 三室两厅 毛坯房,安宁庭院 -十里店,3室2厅 | 156.27平米 | 南 北 | 毛坯 | 低楼层(共32层)  | 板楼,3人关注 / 一年前发布,199,"12,735元/平"
安宁师大家属院简装两室南北通透 首付18万随时看房,西北师大家属院 -师大,2室1厅 | 56.04平米 | 南 北 | 简装 | 高楼层(共7层)  | 板楼,15人关注 / 6个月以前发布,50,"8,923元/平"
品质小区，落地观景大飘窗，公摊小,众邦金水湾 -海关,3室2厅 | 117.38平米 | 南 北 | 简装 | 中楼层(共18层)  | 塔楼,9人关注 / 9个月以前发布,138,"11,757元/平"
南北通透格局，配套设施齐全，公摊小。,刘家峡水电厂兰州生活小区 -海关,3室2厅 | 114.28平米 | 南 北 | 简装 | 低楼层(共12层)  | 板楼,21人关注 / 6个月以前发布,96,"8,401元/平"
此房产权清晰，南北通透，中间楼层 ，采光无影响,省劳教二所家属院 -师大,2室1厅 | 65平米 | 南 北 | 简装 | 低楼层(共6层)  | 板楼,1人关注 / 3个月以前发布,65,"10,000元/平"
均价7888元的南北房  H户型3楼  首付13万,兰州减速厂家属院 -火车站,2室2厅 | 79.27平米 | 南 北 | 简装 | 中楼层(共8层)  | 板楼,5人关注 / 一年前发布,62.5,"7,885元/平"
雁滩天庆嘉园太阳岛电梯房三室采光好精装修带家具出售,太阳岛 -雁滩高新区,3室2厅 | 147.23平米 | 南 北 | 精装 | 中楼层(共26层)  | 塔楼,21人关注 / 8个月以前发布,198,"13,449元/平"
大润发万达3室 单价7900 南北通透 可按揭 低价格,民百家属院 -万达大润发,3室2厅 | 118.26平米 | 南 北 | 简装 | 高楼层(共9层)  | 板楼,3人关注 / 8个月以前发布,94,"7,949元/平"
正规三室  南北通透 视野开阔 诚心出售,科教城雁滩二期园区 -雁滩高新区,4室2厅 | 137.68平米 | 南 北 | 精装 | 中楼层(共6层)  | 板楼,30人关注 / 8个月以前发布,129,"9,370元/平"
海关地铁口、低于市场价20万、南北通透3室,众邦金水湾1号院 -海关,3室2厅 | 162.53平米 | 南 北 | 毛坯 | 高楼层(共33层)  | 板楼,16人关注 / 11个月以前发布,163,"10,029元/平"
落地窗 配套相当成熟 业主诚心 产权满五,中和山水興城 -海关,2室1厅 | 93.19平米 | 南 北 西 | 简装 | 高楼层(共34层)  | 板楼,0人关注 / 2个月以前发布,106,"11,375元/平"
此房满五唯一，户型方正无浪费，室内面积大，产权清晰,臻城公司家属院 -兰大盘旋路,3室2厅 | 132.5平米 | 南 北 | 简装 | 中楼层(共9层)  | 板楼,28人关注 / 11个月以前发布,116,"8,755元/平"
房子南北通透 产权清晰 可按揭 配套成熟 近地铁,西固热电三区 -海关,2室1厅 | 71平米 | 南 北 | 简装 | 中楼层(共8层)  | 板楼,0人关注 / 4个月以前发布,70,"9,860元/平"
万达大润发区委81.47平米大两居，明厨明卫，可按揭,城关区政府雁滩住宅小区 -万达大润发,2室2厅 | 81.47平米 | 东 西 | 简装 | 中楼层(共8层)  | 板楼,5人关注 / 6个月以前发布,80,"9,820元/平"
兰工坪好房出售，电梯房。正规户型，小区环境好,兰工坪2号住宅小区 -晏家坪,2室2厅 | 117.09平米 | 南 北 | 简装 | 高楼层(共14层)  | 板塔结合,2人关注 / 一年前发布,116,"9,907元/平"
畅家巷的优质好房·户型好·············,畅家巷小区 -东方红广场,3室2厅 | 130平米 | 东 西 | 简装 | 高楼层(共8层)  | 板楼,0人关注 / 一年前发布,164,"12,616元/平"
山水兴城，地铁河景，空房出售，随时可签,中和山水興城 -海关,2室2厅 | 103.09平米 | 南 | 简装 | 低楼层(共34层)  | 板楼,1人关注 / 2个月以前发布,94.9,"9,206元/平"
兰州老街 花园洋房 精装2室2厅 可以按揭,惠苑小区（西津西路） -郑家庄,3室2厅 | 113.78平米 | 南 北 | 简装 | 低楼层(共8层)  | 板塔结合,2人关注 / 6个月以前发布,86,"7,559元/平"
七里河电力小区 公交地铁口 精装复式 产权清晰可按揭,甘肃省电力公司住宅小区 -建工局,3室2厅 | 139.49平米 | 东 西 | 精装 | 中楼层(共20层)  | 板楼,6人关注 / 11个月以前发布,185,"13,263元/平"
东部二热电梯房复式结构看房方便,元昌小区 -东部,2室2厅 | 110.5平米 | 东 西 | 精装 | 高楼层(共16层)  | 板楼,5人关注 / 11个月以前发布,103,"9,322元/平"
海关地铁口，高性价 比小区，新安雅居电梯房,新安雅居 -海关,2室1厅 | 95.71平米 | 东 北 | 简装 | 高楼层(共16层)  | 塔楼,28人关注 / 一年前发布,94.8,"9,905元/平"
雁滩高新开发区 国泰嘉园  正规3室2厅  电梯房 精装修,国泰嘉园 -雁滩高新区,3室2厅 | 122.42平米 | 东南 | 精装 | 中楼层(共26层)  | 板楼,4人关注 / 5个月以前发布,136,"11,110元/平"
此房南北 框架产权清晰 可按揭贷款 学府云集,工商局家属院（平凉路） -东方红广场,3室1厅 | 81.45平米 | 南 北 | 简装 | 中楼层(共8层)  | 暂无数据,2人关注 / 8个月以前发布,148,"18,171元/平"
会宁路主要地段，小区绿化好，交通便利，配套成熟,兰州大学医学院家属院 -兰大盘旋路,2室2厅 | 81.16平米 | 南 北 | 简装 | 高楼层(共7层)  | 塔楼,7人关注 / 一年前发布,154,"18,975元/平"
众邦金水湾 3室2厅 南 北,众邦金水湾 -海关,3室2厅 | 136.69平米 | 南 北 | 简装 | 低楼层(共25层)  | 板楼,3人关注 / 5个月以前发布,145,"10,608元/平"
机床厂北区 2室1厅 南 北,机床厂北区 -安宁高新区,2室1厅 | 54平米 | 南 北 | 精装 | 低楼层(共6层)  | 暂无数据,0人关注 / 8天以前发布,52,"9,630元/平"
明生广场 公园旁 电梯房 采光充足 产权清晰,明生广场 -西固城,2室2厅 | 127.46平米 | 南 东 | 精装 | 低楼层(共31层)  | 板塔结合,1人关注 / 6个月以前发布,115,"9,023元/平"
房子是框架好房  中间楼层 产权到位,兰州农机公司北家属楼 -金港城,2室1厅 | 55.72平米 | 东 | 精装 | 中楼层(共8层)  | 板楼,1人关注 / 一年前发布,51.5,"9,243元/平"
北站电梯房正规两室一厅南北通透手续全院子大停车方便,五建西固小区东区 -西固城,2室1厅 | 64.04平米 | 南 北 | 简装 | 低楼层(共18层)  | 板楼,0人关注 / 4个月以前发布,53,"8,277元/平"
陇商国际精装现房户型方正格局好 诚意出售包过户费,陇商国际 -兰州新区,1室1厅 | 55.77平米 | 东南 | 精装 | 中楼层(共16层)  | 板楼,10人关注 / 一年前发布,31.8,"5,702元/平"
有房子媳妇必来 中层 精装 采光棒棒滴 停车方便,兰峰小区 -西固城,2室1厅 | 87.89平米 | 南 | 精装 | 中楼层(共8层)  | 板楼,0人关注 / 1个月以前发布,66.8,"7,601元/平"
西关双城门王马巷单位房户型方正南北通透可按揭贷款,市糖酒大厦家属院 -西关南关,2室1厅 | 67平米 | 南 北 | 简装 | 中楼层(共7层)  | 暂无数据,2人关注 / 7个月以前发布,53,"7,911元/平"
西关十字 兰大二院旁 电梯房高层 南北朝向,中广都市丽景 -西关南关,2室1厅 | 65.22平米 | 南 北 | 简装 | 高楼层(共32层)  | 塔楼,13人关注 / 5个月以前发布,93,"14,260元/平"
产权证满5年，采光充足，精装房拎包入住，可以按揭,亚太嘉园 -黄河北,2室2厅 | 106.94平米 | 南 北 | 精装 | 高楼层(共32层)  | 板楼,4人关注 / 4个月以前发布,102,"9,539元/平"
兰玻新区，优质好房，全明好房，无公摊，炼1,兰玻新区 -西固城,2室1厅 | 76平米 | 南 北 | 简装 | 高楼层(共8层)  | 板楼,0人关注 / 一年前发布,73,"9,606元/平"
万达大润发 鑫亿城 LOFT住宅带天然气 精装修拎包住,鑫亿城 -万达大润发,2室1厅 | 55.31平米 | 西 | 精装 | 中楼层(共24层)  | 板楼,1人关注 / 4个月以前发布,83.5,"15,097元/平"
西关 张掖路 电梯房 精装修 两室,大众巷小高层 -西关南关,2室1厅 | 65.19平米 | 东 南 | 精装 | 高楼层(共15层)  | 板楼,0人关注 / 3个月以前发布,76,"11,659元/平"
兰石家园 户型好 楼层好 价格美丽,兰石家园 -兰州新区,2室2厅 | 94.83平米 | 南 | 简装 | 高楼层(共16层)  | 板楼,1人关注 / 5个月以前发布,48.5,"5,115元/平"
兰水小区，南北朝向，采光好，采小区环境好，安保好，,兰水小区 -天鹅湖,2室1厅 | 53.76平米 | 南 北 | 简装 | 中楼层(共4层)  | 板塔结合,4人关注 / 一年前发布,35.4,"6,585元/平"
五里铺 东湖小区 电梯房 省医 带装修 可按揭 小户型,东湖小区 -段家滩,2室1厅 | 66.18平米 | 东 西 | 精装 | 高楼层(共10层)  | 板楼,0人关注 / 2个月以前发布,74.5,"11,258元/平"
新区二号人工湖旁 好楼层 采光充足 视野开阔 配套齐全,智慧金融城H区 -兰州新区,2室2厅 | 76.22平米 | 南 北 | 毛坯 | 中楼层(共28层)  | 板楼,0人关注 / 1个月以前发布,45,"5,904元/平"
低单价西北民族大学西门口2室1厅框架采光充足能停车,省公路局家属院 -五泉广场,2室1厅 | 70.56平米 | 东 南 | 简装 | 高楼层(共8层)  | 板楼,2人关注 / 10个月以前发布,55,"7,795元/平"
绿地三期精装两室出售， 好楼层，,绿地智慧金融城学府大境 -兰州新区,2室1厅 | 85.77平米 | 南 | 精装 | 高楼层(共33层)  | 板塔结合,0人关注 / 一年前发布,53,"6,180元/平"
中集幸福里 一线河景 万达旁 地铁口旁 店长推荐,中集幸福里 -莫高大道,2室2厅 | 95.73平米 | 南 | 精装 | 中楼层(共32层)  | 板楼,3人关注 / 一年前发布,106,"11,073元/平"
房子户型方正，南北通透，前后无遮挡,南山小区 -西固城,2室2厅 | 97.38平米 | 南 北 | 简装 | 低楼层(共7层)  | 暂无数据,1人关注 / 一年前发布,95,"9,756元/平"
新推 鸿运润园 两室简装 朝南 可按揭 急售,鸿运润园 -北面滩,2室2厅 | 100.94平米 | 南 | 简装 | 低楼层(共18层)  | 板楼,28人关注 / 一年前发布,130,"12,879元/平"
九州框架房  经典两室  家具家电全带  拎包入住,四和居 -九州,2室1厅 | 75.57平米 | 东 南 | 简装 | 中楼层(共7层)  | 板楼,6人关注 / 一年前发布,58,"7,676元/平"
西关十字地铁口框架中间楼层两室两厅,静安小区 -西关南关,2室2厅 | 96.1平米 | 东 西 | 简装 | 中楼层(共8层)  | 塔楼,6人关注 / 11个月以前发布,98,"10,198元/平"
西湖公园  二建家属院53.43平  两室一厅 报价41万,二建家属院（西津东路） -下西园,2室1厅 | 54.43平米 | 南 北 | 简装 | 高楼层(共6层)  | 板楼,5人关注 / 5个月以前发布,40,"7,349元/平"
框架房  中间楼层  采光好 可按揭  环境优美,东苑小区 -西固城,2室1厅 | 52平米 | 南 西 北 | 简装 | 中楼层(共7层)  | 暂无数据,0人关注 / 3个月以前发布,54,"10,385元/平"
此房满五唯一。产权清晰 ，没有抵押，南北通透格局，,晟地嘉苑小区 -火车站,2室1厅 | 75平米 | 南 北 | 简装 | 低楼层(共8层)  | 板楼,1人关注 / 9个月以前发布,65,"8,667元/平"
佛慈家属院，单位的房子，小区可以停车，楼下交通便利,兰州佛慈制药厂家属院 -黄河北,2室1厅 | 56平米 | 西 | 简装 | 中楼层(共6层)  | 板楼,5人关注 / 6个月以前发布,45.6,"8,143元/平"
科教城二期 精装两室 南北通透H户型 中间楼层,科教城雁滩二期园区 -雁滩高新区,2室2厅 | 79.84平米 | 南 北 | 简装 | 高楼层(共6层)  | 板楼,1人关注 / 1个月以前发布,85,"10,647元/平"
小区环境好 可步行前往金城公园 交通便利,西固花园 -西固城,2室2厅 | 88平米 | 南 北 | 简装 | 中楼层(共7层)  | 板塔结合,2人关注 / 6个月以前发布,85,"9,660元/平"
厂前小区 2室1厅 南,厂前小区 -兰炼十字,2室1厅 | 72.22平米 | 南 | 简装 | 低楼层(共8层)  | 板楼,0人关注 / 2天以前发布,50,"6,924元/平"
金运大厦 2室2厅 南,金运大厦 -西关南关,2室2厅 | 126.95平米 | 南 | 精装 | 高楼层(共24层)  | 板塔结合,2人关注 / 5个月以前发布,122,"9,611元/平"
二十二街区 3-1-1-1 南北通透 交通方便,22号街区 -天鹅湖,3室1厅 | 71.01平米 | 南 北 | 简装 | 高楼层(共6层)  | 暂无数据,7人关注 / 一年前发布,68,"9,577元/平"
静宁路，秦安路，三室两厅，中间楼层，框架结构,东方小区综合楼 -西关南关,3室2厅 | 181.82平米 | 东 西 | 精装 | 高楼层(共9层)  | 塔楼,9人关注 / 7个月以前发布,182,"10,010元/平"
中和山水新城此小区绿化优美，邻近黄河40里风情线,中和山水興城 -海关,2室1厅 | 94平米 | 南 北 | 精装 | 低楼层(共34层)  | 板楼,3人关注 / 10个月以前发布,107,"11,383元/平"
北岸公馆南北精装好房，楼间距大，庭前屋后都是花园,北岸公馆 -安宁庭院,2室2厅 | 103.06平米 | 南 北 | 精装 | 低楼层(共16层)  | 板楼,3人关注 / 5个月以前发布,124,"12,032元/平"
碧桂园四环  通透三居室  产权清晰,约克郡一号院 -碧桂园,3室1厅 | 126.59平米 | 南 北 | 简装 | 低楼层(共18层)  | 板楼,1人关注 / 2个月以前发布,92,"7,268元/平"
碧桂园 剑桥郡 精装三室业主急售  可按揭 看房方便,剑桥郡 -碧桂园,3室2厅 | 141.22平米 | 南 北 | 精装 | 低楼层(共30层)  | 板楼,0人关注 / 2个月以前发布,115,"8,144元/平"
中海品质小区，两梯两户精装三室。,中海·河山郡 -莫高大道,3室2厅 | 136.33平米 | 南 北 | 精装 | 低楼层(共18层)  | 板楼,0人关注 / 2个月以前发布,138,"10,123元/平"
雁滩万达 单位小区 花园式住宅 看房可议价,雁滩路3609-3629号 -万达大润发,3室2厅 | 97.73平米 | 南 北 | 精装 | 中楼层(共6层)  | 暂无数据,2人关注 / 4个月以前发布,105,"10,744元/平"
碧桂园 天麓山北苑 南北通透 三室 采光好 可按揭,天麓山 -碧桂园,3室1厅 | 100.55平米 | 南 北 | 精装 | 低楼层(共30层)  | 板楼,0人关注 / 3个月以前发布,86,"8,553元/平"
鸿运润园户型方正.公摊小浪费少,鸿运润园 -北面滩,3室1厅 | 145.38平米 | 南 北 | 精装 | 中楼层(共18层)  | 板楼,2人关注 / 6个月以前发布,238,"16,371元/平"
金昌南路 民主西路 南北通透 三室两厅,西北弘大厦 -东方红广场,3室2厅 | 140平米 | 南 西 北 | 简装 | 低楼层(共8层)  | 暂无数据,8人关注 / 11个月以前发布,138,"9,858元/平"
正规两室两厅，中间楼层，满五唯一，随时可签。,安澜祥园 -海关,2室1厅 | 89.07平米 | 南 | 简装 | 低楼层(共31层)  | 板楼,8人关注 / 一年前发布,105,"11,789元/平"
正规三室两厅 ，满五唯一住房 地段好 户型方正采光好,文化宫宫会家属院 -下西园,3室2厅 | 80平米 | 东 西 | 简装 | 中楼层(共7层)  | 板楼,10人关注 / 6个月以前发布,75,"9,375元/平"
西固城商圈，中间楼层，精装修，价格可谈，房东急售,金兰小区 -西固城,2室2厅 | 93.7平米 | 南 北 | 精装 | 中楼层(共8层)  | 板楼,3人关注 / 一年前发布,73,"7,791元/平"
书香名府现房出售，满二唯一，快快抢购！,琨宇·书香名府 -兰州新区,3室1厅 | 90.95平米 | 南 | 简装 | 中楼层(共16层)  | 暂无数据,7人关注 / 一年前发布,55.8,"6,136元/平"
瑞玲雅苑   两室，南北通透，看房方便,瑞岭雅苑 -兰州新区,2室2厅 | 95.23平米 | 南 北 | 精装 | 低楼层(共18层)  | 暂无数据,0人关注 / 6个月以前发布,65,"6,826元/平"
海关地铁口，精装2室2厅，朝南，中楼层，明厨明卫,新康花园 -海关,2室2厅 | 93.18平米 | 西南 | 精装 | 高楼层(共32层)  | 板楼,1人关注 / 2个月以前发布,103,"11,054元/平"
瑞岭雅苑，三室两厅两卫，诚意出售,瑞岭雅苑 -兰州新区,3室2厅 | 116.82平米 | 南 北 | 精装 | 中楼层(共18层)  | 暂无数据,4人关注 / 6个月以前发布,86,"7,362元/平"
看房先看这套   出门地铁 好教育,陽光怡园 -海关,2室1厅 | 90.61平米 | 南 | 简装 | 中楼层(共33层)  | 板楼,4人关注 / 4个月以前发布,106,"11,699元/平"
凯旋门精装中高楼层，拎包入住，交通便利,中海凯旋门 -海关,3室2厅 | 100平米 | 南 北 | 精装 | 中楼层(共34层)  | 板楼,9人关注 / 11个月以前发布,135,"13,500元/平"
一梯两户，正规户型 宽敞两室 ，高楼层,安宁区法院家属院 -海关,2室2厅 | 89.3平米 | 南 北 | 精装 | 低楼层(共8层)  | 板塔结合,5人关注 / 6个月以前发布,91,"10,191元/平"
瑞岭雅苑 精装修三居室 诚意出售,瑞岭雅苑 -兰州新区,3室2厅 | 129.89平米 | 南 北 | 精装 | 低楼层(共18层)  | 板塔结合,7人关注 / 6个月以前发布,75,"5,775元/平"
彩虹城B区   采光充足   阳光充沛,彩虹城B区 -兰州新区,2室2厅 | 95.92平米 | 南 北 | 精装 | 高楼层(共11层)  | 暂无数据,12人关注 / 一年前发布,40,"4,171元/平"
位置好，价格便宜，带装修，看房方便，,瑞岭雅苑 -兰州新区,3室2厅 | 152.75平米 | 南 北 | 精装 | 低楼层(共6层)  | 暂无数据,3人关注 / 一年前发布,101,"6,613元/平"
永昌路 中间楼层 产权清晰 有院子,统计局家属院（永昌路） -西关南关,2室2厅 | 62.99平米 | 东 西 | 简装 | 中楼层(共6层)  | 暂无数据,0人关注 / 5个月以前发布,59.8,"9,494元/平"
中集幸福里 精装修 河景房 南北通透,中集幸福里 -莫高大道,3室2厅 | 109平米 | 南 北 | 精装 | 中楼层(共32层)  | 板楼,6人关注 / 8个月以前发布,128,"11,744元/平"
南北通透，三室两厅一厨一卫，精装修，小区客人停车,安定门外（安定门外社区） -西关南关,3室2厅 | 126平米 | 北 南 | 精装 | 中楼层(共8层)  | 暂无数据,12人关注 / 一年前发布,132,"10,477元/平"
天庆嘉园， 人车分流 ，公摊小 户型方正,天庆嘉园星河缘 -雁滩高新区,1室2厅 | 77.9平米 | 南 北 | 简装 | 低楼层(共11层)  | 板楼,1人关注 / 一年前发布,99,"12,709元/平"
定西南路 八冶家园 小户型一室一厅 产权清晰,八冶家园南院 -火车站,1室1厅 | 35.41平米 | 南 | 简装 | 中楼层(共9层)  | 板楼,12人关注 / 一年前发布,46.5,"13,132元/平"
