标题,开发商,房子信息,发布信息,售价/万,单价
碧桂园  洋房5楼  通透格局 中等装修,通辽碧桂园 -经济技术开发区,3室1厅 | 101.75平米 | 南 北 | 其他 | 高楼层(共5层)  | 暂无数据,6人关注 / 一年前发布,66,"6,487元/平"
楼层好，采光充足，配套设施齐全，视野宽阔,水域蓝湾C区D区 -经济技术开发区,3室1厅 | 149平米 | 南 | 其他 | 中楼层(共6层)  | 暂无数据,0人关注 / 4个月以前发布,122,"8,188元/平"
此房为精装修 可贷款 业主诚心出售  看房方便,嘉和瑞祥府 -河西,3室2厅 | 126.58平米 | 南 北 | 其他 | 低楼层(共17层)  | 暂无数据,0人关注 / 3个月以前发布,98,"7,743元/平"
碧桂园 电梯高层 平层三室 看房随时,通辽碧桂园 -经济技术开发区,3室2厅 | 138平米 | 南 北 | 其他 | 高楼层(共11层)  | 暂无数据,0人关注 / 3个月以前发布,93.8,"6,798元/平"
京汉三期  联排别墅  三层  精装修  拎包入住,京汉三期 -经济技术开发区,5室2厅 | 305平米 | 南 北 | 其他 | 低楼层(共3层)  | 暂无数据,0人关注 / 3个月以前发布,260,"8,525元/平"
碧桂园  上河郡  电梯9楼  四室两卫  有房证,碧桂园·上河郡 -经济技术开发区,4室2厅 | 148平米 | 南 北 | 其他 | 中楼层(共17层)  | 暂无数据,0人关注 / 3个月以前发布,100,"6,757元/平"
河畔花园D 一楼半地下 带院 带车库精装修 临拎包入住,河畔花园D区 -经济技术开发区,3室2厅 | 100平米 | 南 北 | 其他 | 低楼层(共6层)  | 暂无数据,0人关注 / 3个月以前发布,136,"13,600元/平"
碧桂园电梯中层 精装修 拎包入住 交通方便,通辽碧桂园 -经济技术开发区,3室2厅 | 142.89平米 | 南 北 | 其他 | 中楼层(共11层)  | 暂无数据,0人关注 / 3个月以前发布,98,"6,859元/平"
楼层好，采光充足，配套设施齐全，视野宽阔 看房提前,金都 -经济技术开发区,4室2厅 | 256平米 | 南 | 其他 | 中楼层(共4层)  | 暂无数据,0人关注 / 2个月以前发布,240,"9,375元/平"
京汉叫来河电梯9楼，中间楼层，飞机户型,京汉叫来河畔 -经济技术开发区,3室2厅 | 140平米 | 南 | 其他 | 中楼层(共23层)  | 暂无数据,0人关注 / 2个月以前发布,110,"7,858元/平"
美瑞龙源  一楼  新装修   三室一卫户型,美瑞龙源 -经济技术开发区,3室1厅 | 132平米 | 南 北 | 其他 | 低楼层(共32层)  | 暂无数据,0人关注 / 2个月以前发布,85.8,"6,500元/平"
桥北 京汉一期 电梯洋房 复式 三室两卫 可按揭,京汉新城一期 -经济技术开发区,3室2厅 | 147.98平米 | 南 | 其他 | 高楼层(共9层)  | 暂无数据,3人关注 / 一年前发布,82,"5,542元/平"
此房装修属于精装修  内部比较干净整洁,通辽碧桂园 -经济技术开发区,3室2厅 | 153平米 | 南 | 其他 | 中楼层(共11层)  | 暂无数据,0人关注 / 1个月以前发布,125,"8,170元/平"
富力商悦居  电梯10楼  精装修  三室一卫,富力·尚悦居 -经济技术开发区,3室1厅 | 130平米 | 南 北 | 其他 | 中楼层(共22层)  | 暂无数据,0人关注 / 1个月以前发布,101,"7,770元/平"
成熟小区  交通便利  出行方便,中国铁建·国际城 -经济技术开发区,4室2厅 | 186平米 | 南 北 | 其他 | 低楼层(共4层)  | 暂无数据,0人关注 / 1个月以前发布,150,"8,065元/平"
瀚博一品精装修地暖窗户新换的三层玻璃使用面积195平,通辽恒源瀚博一品 -老城区,3室2厅 | 135.44平米 | 南 北 | 其他 | 高楼层(共17层)  | 暂无数据,2人关注 / 一年前发布,140,"10,337元/平"
北岸华庭  步梯4楼  三室一卫   简单装修,北岸华庭 -经济技术开发区,3室1厅 | 143平米 | 南 北 | 其他 | 中楼层(共5层)  | 暂无数据,0人关注 / 1个月以前发布,83,"5,805元/平"
德润园 红军肆中旁 二号楼 三室两卫 飞机户型,德润园 -经济技术开发区,3室1厅 | 147平米 | 南 | 其他 | 低楼层(共22层)  | 暂无数据,0人关注 / 1个月以前发布,115,"7,824元/平"
桥北 电梯中层 精装修 拎包入住 看房随时,京汉天玺 -经济技术开发区,3室2厅 | 140.5平米 | 南 北 | 其他 | 低楼层(共16层)  | 板楼,0人关注 / 1个月以前发布,92.5,"6,584元/平"
泰和新居  一层带半地下   带花园   6居室,泰和新居 -经济技术开发区,4室2厅 | 137.4平米 | 南 北 | 其他 | 低楼层(共6层)  | 暂无数据,0人关注 / 3个月以前发布,144,"10,481元/平"
河畔花园A区 1室1厅 南 北,河畔花园A区 -经济技术开发区,1室1厅 | 65.14平米 | 南 北 | 其他 | 高楼层(共7层)  | 暂无数据,3人关注 / 一年前发布,36,"5,527元/平"
通辽碧桂园 3室1厅 南,通辽碧桂园 -经济技术开发区,3室1厅 | 112.45平米 | 南 | 其他 | 中楼层(共5层)  | 暂无数据,4人关注 / 一年前发布,77,"6,848元/平"
碧桂园·上河郡 3室1厅 南 北,碧桂园·上河郡 -经济技术开发区,3室1厅 | 141平米 | 南 北 | 其他 | 低楼层(共6层)  | 暂无数据,0人关注 / 1个月以前发布,97,"6,880元/平"
德润园 红军道南 四室两卫 毛坯现房,德润园 -经济技术开发区,4室2厅 | 178平米 | 南 | 其他 | 低楼层(共22层)  | 暂无数据,0人关注 / 28天以前发布,150,"8,427元/平"
桥北 电梯中层 全天采光 婚房装修 拎包入住,富力·尚悦居 -经济技术开发区,3室2厅 | 123平米 | 南 北 | 其他 | 高楼层(共22层)  | 暂无数据,0人关注 / 30天以前发布,100,"8,131元/平"
德润园 3室2厅 南 北,德润园 -经济技术开发区,3室2厅 | 152平米 | 南 北 | 其他 | 高楼层(共22层)  | 暂无数据,0人关注 / 31天以前发布,160,"10,527元/平"
凯旋城小区电梯好楼层南北通透视野好,凯旋城 -经济技术开发区,4室2厅 | 169.56平米 | 南 北 | 其他 | 高楼层(共14层)  | 暂无数据,0人关注 / 25天以前发布,132,"7,785元/平"
阿利坦银河湾 4室3厅 南 北,阿利坦银河湾 -经济技术开发区,4室3厅 | 316平米 | 南 北 | 其他 | 中楼层(共17层)  | 暂无数据,0人关注 / 23天以前发布,430,"13,608元/平"
南苑  3-2-1-2 123.80m² 95 万,南苑 -铁南,3室2厅 | 123.8平米 | 南 北 | 其他 | 低楼层(共6层)  | 暂无数据,0人关注 / 23天以前发布,95,"7,674元/平"
桥北 电梯中层 毛坯随意装修 三居室通透格局 看房方便,泰丰·悦熙台 -经济技术开发区,3室1厅 | 98平米 | 南 北 | 其他 | 中楼层(共19层)  | 暂无数据,1人关注 / 24天以前发布,83,"8,470元/平"
悦圣湾9楼 3室一卫 简单装修 可贷款,泽信悦圣湾 -经济技术开发区,3室1厅 | 120平米 | 南 北 | 其他 | 中楼层(共18层)  | 板楼,0人关注 / 25天以前发布,108,"9,000元/平"
楼层好，采光充足，配套设施齐全，视野宽阔 看房提前,天骄城 -老城区,3室1厅 | 114.4平米 | 南 北 | 其他 | 低楼层(共7层)  | 暂无数据,2人关注 / 10个月以前发布,73,"6,382元/平"
电业和平小区 103.97平 步梯一楼 面积足 三室,和平小区 -老城区,3室1厅 | 103.97平米 | 南 北 | 其他 | 低楼层(共6层)  | 暂无数据,0人关注 / 一年前发布,61,"5,868元/平"
泰丰·悦熙台 3室2厅 南 北,泰丰·悦熙台 -经济技术开发区,3室2厅 | 154平米 | 南 北 | 其他 | 高楼层(共19层)  | 塔楼,1人关注 / 18天以前发布,129,"8,377元/平"
世纪明珠 2室1厅 南,世纪明珠 -老城区,2室1厅 | 109.38平米 | 南 | 其他 | 高楼层(共7层)  | 暂无数据,10人关注 / 一年前发布,44,"4,023元/平"
通辽碧桂园 3室1厅 南,通辽碧桂园 -经济技术开发区,3室1厅 | 130.11平米 | 南 | 其他 | 低楼层(共18层)  | 暂无数据,0人关注 / 16天以前发布,84.5,"6,495元/平"
西湖名都 电梯高层 两室两卫 东西全带,西湖名都 -经济技术开发区,2室2厅 | 115平米 | 南 | 其他 | 高楼层(共28层)  | 暂无数据,0人关注 / 16天以前发布,82,"7,131元/平"
通透户型格局，楼层好，视野宽阔，采光充足,裕景花园 -老城区,2室2厅 | 96.68平米 | 南 | 其他 | 中楼层(共6层)  | 暂无数据,0人关注 / 11个月以前发布,68,"7,034元/平"
鸿雁楼小区5楼三居室简单装修通透格局,鸿雁楼小区 -老城区,3室1厅 | 84.75平米 | 南 | 其他 | 高楼层(共6层)  | 暂无数据,0人关注 / 一年前发布,44.5,"5,251元/平"
鼎盛家园步梯5楼93平南北通透家具家电都带看房方便,鼎盛家园 -老城区,2室1厅 | 92.95平米 | 南 北 | 其他 | 高楼层(共6层)  | 暂无数据,0人关注 / 一年前发布,53,"5,702元/平"
楼层好，采光充足，配套设施齐全，视野宽阔,财政小区 -老城区,3室2厅 | 118.5平米 | 南 北 | 其他 | 高楼层(共6层)  | 暂无数据,1人关注 / 一年前发布,86.8,"7,325元/平"
北城一号毛坯108平电梯，房证钥匙在手，看房随时,北城一号 -经济技术开发区,3室1厅 | 108.44平米 | 南 | 其他 | 低楼层(共16层)  | 暂无数据,0人关注 / 4个月以前发布,49.5,"4,565元/平"
金地新郦城 2室1厅 南 北,金地新郦城 -经济技术开发区,2室1厅 | 92平米 | 南 北 | 其他 | 低楼层(共33层)  | 暂无数据,0人关注 / 17天以前发布,58,"6,305元/平"
水岸春城 步梯5楼大3居室 精装修 采光好 房证3年,泽信水岸春城 -老城区,3室1厅 | 116.16平米 | 南 北 | 其他 | 高楼层(共5层)  | 板楼,4人关注 / 11个月以前发布,63,"5,424元/平"
业主诚心出售，小区环境好，位置好，视野开阔,施介小区 -老城区,2室1厅 | 70.66平米 | 南 北 | 其他 | 高楼层(共6层)  | 暂无数据,3人关注 / 一年前发布,35.5,"5,025元/平"
京汉二期3托4 带车库 4室2卫 房证两年可贷款,京汉新城二期 -经济技术开发区,4室2厅 | 214.4平米 | 南 | 毛坯 | 中楼层(共5层)  | 暂无数据,4人关注 / 一年前发布,128,"5,971元/平"
京汉五期一楼半地下 带车位 带院子 首付50可腾房,京汉天玺 -经济技术开发区,4室2厅 | 124.5平米 | 南 北 | 毛坯 | 低楼层(共16层)  | 暂无数据,7人关注 / 一年前发布,90,"7,229元/平"
5米举架 开间大 双窗户 H3户型 看房有钥匙,泰丰·悦熙台 -经济技术开发区,3室2厅 | 172.91平米 | 南 | 其他 | 中楼层(共12层)  | 暂无数据,4人关注 / 一年前发布,180,"10,411元/平"
恒汇华城  电梯三楼  四室  通透  可贷款,恒汇华城 -老城区,4室2厅 | 180平米 | 南 北 | 简装 | 低楼层(共18层)  | 暂无数据,3人关注 / 一年前发布,109,"6,056元/平"
市政小区 3室1厅 南,市政小区 -老城区,3室1厅 | 115平米 | 南 | 简装 | 中楼层(共6层)  | 板楼,1人关注 / 一年前发布,68,"5,914元/平"
南北通透  绿化35%左右 人车分流,京汉天玺 -经济技术开发区,3室2厅 | 140.45平米 | 南 北 | 其他 | 低楼层(共16层)  | 板塔结合,1人关注 / 一年前发布,85,"6,052元/平"
桥北高档小区  交通便利  出行方便,泽信·旭园 -经济技术开发区,3室2厅 | 132平米 | 南 | 其他 | 中楼层(共26层)  | 板楼,1人关注 / 一年前发布,85,"6,440元/平"
胜利路西侧向阳小区，面积足，新装修，步行200米到校,向阳小区 -老城区,3室2厅 | 90.5平米 | 东 | 简装 | 高楼层(共6层)  | 暂无数据,7人关注 / 8个月以前发布,41,"4,531元/平"
小区环境好，位置好，视野开阔业主诚心出售，,香格里拉 -老城区,3室1厅 | 120.56平米 | 南 北 | 其他 | 高楼层(共33层)  | 板楼,0人关注 / 一年前发布,88,"7,300元/平"
泽信悦圣湾  三居室 南北通透 带地下车库,泽信悦圣湾 -经济技术开发区,3室1厅 | 104平米 | 南 北 | 其他 | 中楼层(共6层)  | 暂无数据,0人关注 / 7天以前发布,118,"11,347元/平"
三角公园南 精装修 家具家电全带拎包入住有房证可贷款,光大小区 -老城区,2室1厅 | 56平米 | 南 | 精装 | 高楼层(共6层)  | 暂无数据,2人关注 / 一年前发布,28.5,"5,090元/平"
德润园 电梯七楼 毛坯现房 三室两卫,德润园 -经济技术开发区,3室1厅 | 153平米 | 南 | 其他 | 低楼层(共22层)  | 暂无数据,0人关注 / 3个月以前发布,126,"8,236元/平"
桥北金都复式楼 精装修  交通方便,金都 -经济技术开发区,4室2厅 | 275平米 | 南 | 其他 | 中楼层(共4层)  | 暂无数据,1人关注 / 2个月以前发布,220,"8,000元/平"
视野开阔 配套设施齐全，交通便利，出行方便,檀香湾 -经济技术开发区,3室2厅 | 144平米 | 南 北 | 其他 | 中楼层(共22层)  | 暂无数据,0人关注 / 2个月以前发布,142,"9,862元/平"
此房商品房，采光充足，户型方正，业主诚心出售。,诚达·龙庭御府 -经济技术开发区,3室1厅 | 127平米 | 南 | 其他 | 低楼层(共25层)  | 塔楼,0人关注 / 2个月以前发布,103,"8,111元/平"
龙兴世纪城  电梯3楼  三室两卫  新装修,龙兴世纪城(科尔沁区) -经济技术开发区,3室1厅 | 111.97平米 | 南 北 | 其他 | 低楼层(共18层)  | 暂无数据,0人关注 / 1个月以前发布,85,"7,592元/平"
市区 步梯楼 精装修 拎包入住  三居室通透格局,名仕花园 -老城区,3室1厅 | 114平米 | 南 北 | 其他 | 中楼层(共7层)  | 暂无数据,0人关注 / 1个月以前发布,75,"6,579元/平"
成熟小区  交通便利  出行方便,通辽碧桂园 -经济技术开发区,4室1厅 | 202平米 | 南 北 | 其他 | 低楼层(共2层)  | 暂无数据,0人关注 / 1个月以前发布,158,"7,822元/平"
悦熙台 洋房复式1，2层 豪  华装修 品阅人生,泰丰·悦熙台 -经济技术开发区,5室2厅 | 540平米 | 南 北 | 其他 | 低楼层(共5层)  | 暂无数据,0人关注 / 1个月以前发布,900,"16,667元/平"
楼层好，采光充足，配套设施齐全，视野宽阔 看房提前,京汉新城二期 -经济技术开发区,3室1厅 | 212平米 | 南 | 其他 | 中楼层(共4层)  | 暂无数据,0人关注 / 1个月以前发布,134,"6,321元/平"
附属医院 南侧 电梯三居室 南北通透 精装修 拎包入住,北京·观筑 -老城区,3室1厅 | 128平米 | 南 北 | 其他 | 高楼层(共12层)  | 暂无数据,0人关注 / 1个月以前发布,81,"6,329元/平"
碧桂园·御珑湾北区 4室2厅 南 北,碧桂园·御珑湾北区 -经济技术开发区,4室2厅 | 223平米 | 南 北 | 其他 | 低楼层(共10层)  | 暂无数据,0人关注 / 28天以前发布,162,"7,265元/平"
沈铁河畔花园小区一楼半地下带院,河畔花园B区 -经济技术开发区,4室2厅 | 84.18平米 | 南 北 | 其他 | 低楼层(共7层)  | 暂无数据,0人关注 / 1个月以前发布,86,"10,217元/平"
地王花园二期 3室1厅 南 北,地王花园二期 -经济技术开发区,3室1厅 | 129.17平米 | 南 北 | 其他 | 高楼层(共19层)  | 暂无数据,0人关注 / 1个月以前发布,110,"8,516元/平"
楼层好，采光充足，配套设施齐全，视野宽阔,京汉馨家 -经济技术开发区,3室2厅 | 143平米 | 南 | 其他 | 中楼层(共6层)  | 暂无数据,0人关注 / 23天以前发布,116,"8,112元/平"
成熟小区  交通便利  出行方便,金龙苑 -老城区,3室1厅 | 137平米 | 南 北 | 其他 | 低楼层(共6层)  | 塔楼,0人关注 / 27天以前发布,81.8,"5,971元/平"
市区  步梯一楼半  公摊小 大落地窗,世纪明珠 -老城区,3室1厅 | 113.5平米 | 南 北 | 其他 | 低楼层(共6层)  | 暂无数据,0人关注 / 1个月以前发布,65,"5,727元/平"
楼层好，采光充足，配套设施齐全，视野宽阔 看房提前,万达华府 -老城区,2室2厅 | 120平米 | 南 | 其他 | 低楼层(共33层)  | 暂无数据,0人关注 / 22天以前发布,91,"7,584元/平"
"阿卡迪亚6托7, 毛坯房 可贷公积金 3200一平",阿卡笛亚 -老城区,5室2厅 | 190平米 | 南 北 | 其他 | 高楼层(共6层)  | 暂无数据,0人关注 / 1个月以前发布,62,"3,264元/平"
中信亚龙湾3-2-1-2 180.61m² 120 万）,中信亚龙湾 -经济技术开发区,3室2厅 | 180.61平米 | 南 北 | 其他 | 中楼层(共18层)  | 板楼,0人关注 / 27天以前发布,120,"6,645元/平"
中信亚龙湾 3室1厅 南 北,中信亚龙湾 -经济技术开发区,3室1厅 | 111.11平米 | 南 北 | 其他 | 低楼层(共18层)  | 暂无数据,0人关注 / 21天以前发布,75,"6,751元/平"
楼层好，采光充足，配套设施齐全，视野宽阔 看房提前,西湖名都 -经济技术开发区,3室1厅 | 135平米 | 南 | 其他 | 低楼层(共28层)  | 板楼,0人关注 / 21天以前发布,89.8,"6,652元/平"
沈铁河畔花园B区步梯好楼层3室2厅2卫南北通透格局,河畔花园B区 -经济技术开发区,3室2厅 | 122平米 | 南 北 | 其他 | 中楼层(共6层)  | 暂无数据,0人关注 / 19天以前发布,85,"6,968元/平"
楼层好，采光充足，配套设施齐全，视野宽阔 看房提前,泰丰·悦熙台 -经济技术开发区,3室2厅 | 128平米 | 南 | 其他 | 低楼层(共18层)  | 暂无数据,1人关注 / 31天以前发布,112,"8,750元/平"
京汉叫来河畔 3室1厅 南 北,京汉叫来河畔 -经济技术开发区,3室1厅 | 132.5平米 | 南 北 | 其他 | 中楼层(共17层)  | 暂无数据,0人关注 / 20天以前发布,88,"6,642元/平"
巴黎之春 2室1厅 南 北,巴黎之春 -老城区,2室1厅 | 106平米 | 南 北 | 其他 | 中楼层(共5层)  | 暂无数据,0人关注 / 24天以前发布,58.5,"5,519元/平"
悦熙台新中式风格 新装修拎包入住飞机户型 中间楼层,泰丰·悦熙台 -经济技术开发区,3室2厅 | 135平米 | 南 | 其他 | 中楼层(共18层)  | 暂无数据,0人关注 / 26天以前发布,132,"9,778元/平"
新天地 电梯8楼  精装修  一天没住,新天地住宅小区 -经济技术开发区,0室0厅 | 140平米 | 南 | 其他 | 中楼层(共11层)  | 塔楼,0人关注 / 21天以前发布,79.8,"5,700元/平"
金源丽都 电梯11楼 飞机户型 采光杠杠滴,金源郦都 -经济技术开发区,3室1厅 | 118平米 | 南 北 | 其他 | 高楼层(共11层)  | 暂无数据,0人关注 / 22天以前发布,78,"6,611元/平"
市区 希望物业 步梯二楼 飞机通透格局 看房提前致电,泽信·百花新城牡丹园 -老城区,3室2厅 | 121.43平米 | 南 北 | 其他 | 中楼层(共5层)  | 暂无数据,0人关注 / 30天以前发布,96,"7,906元/平"
楼层好，采光充足，配套设施齐全，视野宽阔,中启·中央广场 -经济技术开发区,3室1厅 | 119平米 | 南 北 | 其他 | 低楼层(共18层)  | 板塔结合,0人关注 / 22天以前发布,88.8,"7,463元/平"
富力·尚悦居 3室2厅 南 北,富力·尚悦居 -经济技术开发区,3室2厅 | 132平米 | 南 北 | 其他 | 中楼层(共18层)  | 暂无数据,0人关注 / 16天以前发布,93,"7,046元/平"
电梯洋房一楼带院 带车位 三室两厅两卫 南北通透,泽信·旭园 -经济技术开发区,3室1厅 | 125平米 | 南 北 | 其他 | 低楼层(共9层)  | 暂无数据,0人关注 / 20天以前发布,116,"9,280元/平"
金地2008 3室1厅 南 北,金地2008 -经济技术开发区,3室1厅 | 106平米 | 南 北 | 其他 | 低楼层(共6层)  | 塔楼,0人关注 / 16天以前发布,68,"6,416元/平"
低首付 市医院，大市场 精装修三室,施介综合楼 -老城区,3室1厅 | 137.51平米 | 南 | 精装 | 高楼层(共7层)  | 暂无数据,2人关注 / 一年前发布,57,"4,146元/平"
邮电滨南小区 2室一厅 房证过二 精装修,邮电宾南小区 -老城区,2室1厅 | 89.62平米 | 南 北 | 精装 | 高楼层(共6层)  | 暂无数据,0人关注 / 一年前发布,62,"6,919元/平"
泽信悦圣湾 2室1厅 南,泽信悦圣湾 -经济技术开发区,2室1厅 | 106.64平米 | 南 | 其他 | 低楼层(共6层)  | 暂无数据,0人关注 / 1个月以前发布,96,"9,003元/平"
楼层好，采光充足，配套设施齐全，视野宽阔 看房提前,万达华府 -老城区,2室1厅 | 88平米 | 南 | 其他 | 高楼层(共32层)  | 暂无数据,0人关注 / 27天以前发布,59,"6,705元/平"
南税楼60.12平2居有房证可贷款,南税楼 -老城区,2室1厅 | 60.12平米 | 南 | 其他 | 高楼层(共6层)  | 暂无数据,0人关注 / 24天以前发布,29,"4,824元/平"
万达 香格里拉 电梯 毛坯 三居两卫 通透 有房证,香格里拉 -老城区,3室2厅 | 124平米 | 南 | 其他 | 低楼层(共33层)  | 暂无数据,2人关注 / 一年前发布,75,"6,049元/平"
桥北新小区  交通便利  出行方便,香堤水郡 -经济技术开发区,3室2厅 | 138平米 | 南 | 其他 | 低楼层(共26层)  | 塔楼,4人关注 / 一年前发布,81,"5,870元/平"
该 房屋为  三室 一厅  一厨两卫  南北通透 ···,泽信·旭园 -经济技术开发区,3室1厅 | 144平米 | 南 北 | 其他 | 中楼层(共26层)  | 板楼,0人关注 / 一年前发布,100,"6,945元/平"
广厦梧桐苑，1楼半地下，三室一厅一厨2卫一衣帽间,广厦梧桐苑 -河西,4室2厅 | 261.78平米 | 南 | 其他 | 低楼层(共15层)  | 塔楼,2人关注 / 一年前发布,98,"3,744元/平"
铁南  森林公园 富景华城 复式一二 楼带小院 可按揭,富景华城 -铁南,3室2厅 | 70.42平米 | 南 | 其他 | 低楼层(共103层)  | 暂无数据,1人关注 / 一年前发布,75.8,"10,764元/平"
碧桂园 精装修拎包入住 带车位 随时看房,通辽碧桂园 -经济技术开发区,3室2厅 | 143平米 | 南 北 | 其他 | 低楼层(共11层)  | 暂无数据,3人关注 / 11个月以前发布,97,"6,784元/平"
桥北 碧桂园上河郡 电梯中层 三居室 毛坯,碧桂园·上河郡 -经济技术开发区,3室2厅 | 127平米 | 南 | 其他 | 中楼层(共17层)  | 暂无数据,1人关注 / 一年前发布,90,"7,087元/平"
业主诚心出售，小区环境好，位置好，视野开阔,东方小区 -老城区,3室1厅 | 74平米 | 南 北 | 其他 | 高楼层(共6层)  | 板楼,0人关注 / 一年前发布,50,"6,757元/平"
地 王花园二期电梯4楼 南面第 一栋 毛坯 可贷款,地王花园二期 -经济技术开发区,4室2厅 | 168平米 | 南 北 | 其他 | 中楼层(共11层)  | 暂无数据,1人关注 / 一年前发布,145,"8,631元/平"
国贸小区步梯6楼 2室1厅 中等装修,国贸小区 -老城区,2室1厅 | 64.4平米 | 南 | 其他 | 高楼层(共6层)  | 暂无数据,1人关注 / 一年前发布,33.9,"5,264元/平"
碧桂园·御珑湾南区 4室2厅 南,碧桂园·御珑湾南区 -经济技术开发区,4室2厅 | 188平米 | 南 | 其他 | 低楼层(共17层)  | 暂无数据,7人关注 / 一年前发布,97,"5,160元/平"
桥北 龙兴世纪城电梯中层 大平层,龙兴世纪城(科尔沁区) -经济技术开发区,3室2厅 | 191.13平米 | 南 | 其他 | 中楼层(共18层)  | 塔楼,3人关注 / 一年前发布,125,"6,541元/平"
飞机户型  南北通透  电梯三居,富力·尚悦居 -经济技术开发区,3室2厅 | 145平米 | 南 北 | 其他 | 中楼层(共11层)  | 暂无数据,1人关注 / 5个月以前发布,96,"6,621元/平"
150平，90万.二楼.房证办理中。。。,凯旋城 -经济技术开发区,3室2厅 | 150平米 | 南 北 | 其他 | 低楼层(共18层)  | 暂无数据,1人关注 / 一年前发布,90,"6,000元/平"
楼层好，采光充足，配套设施齐全，视野宽阔,碧桂园·御珑湾南区 -经济技术开发区,4室2厅 | 188平米 | 南 | 其他 | 中楼层(共17层)  | 暂无数据,1人关注 / 一年前发布,115,"6,118元/平"
该房屋楼层好，交通便利，出行方便,京汉天玺 -经济技术开发区,3室2厅 | 140.5平米 | 南 | 其他 | 低楼层(共16层)  | 板塔结合,2人关注 / 一年前发布,91.8,"6,534元/平"
碧桂园尚豪园 嘎嘎新小区 管家试一对一服务,碧桂园i尚豪园 -经济技术开发区,3室1厅 | 140平米 | 南 | 其他 | 低楼层(共2层)  | 暂无数据,3人关注 / 一年前发布,160,"11,429元/平"
