标题,开发商,房子信息,发布信息,售价/万,单价
北京一号院，精装双卧朝南，有钥匙看房方便,北京壹号院 -张北县,2室1厅 | 91.33平米 | 南 | 精装 | 低楼层(共6层)  | 塔楼,9人关注 / 7个月以前发布,46,"5,037元/平"
绿景正二楼。业主诚心出售，价格优惠。。。。。。。,绿景逸苑 -桥西区,2室2厅 | 102平米 | 南 北 | 简装 | 低楼层(共17层)  | 板塔结合,0人关注 / 8天以前发布,62,"6,079元/平"
电梯洋房，户型方正，大阳台落地窗，,景阳花园小区 -桥东区,4室2厅 | 234平米 | 南 北 | 简装 | 高楼层(共6层)  | 暂无数据,0人关注 / 8天以前发布,155,"6,624元/平"
盛华家园北区全款包改名，随时看房有钥匙！,盛华家园北区 -桥东区,3室2厅 | 164平米 | 南 北 | 其他 | 高楼层(共14层)  | 板楼,0人关注 / 10天以前发布,139.4,"8,500元/平"
翡翠小镇 3室2厅 南,翡翠小镇 -宣化区,3室2厅 | 170平米 | 南 | 其他 | 高楼层(共6层)  | 板楼,0人关注 / 6天以前发布,48,"2,824元/平"
天宝花园 3室2厅 南 北,天宝花园 -桥西区,3室2厅 | 90平米 | 南 北 | 其他 | 中楼层(共6层)  | 板塔结合,0人关注 / 5天以前发布,56,"6,223元/平"
绿景逸苑 2室1厅 南,绿景逸苑 -桥西区,2室1厅 | 95.01平米 | 南 | 其他 | 中楼层(共6层)  | 板塔结合,0人关注 / 2天以前发布,63,"6,631元/平"
品质小区，府街庭院三居双卫，精装修，满五年唯一,府街庭院 -桥东区,3室2厅 | 136.14平米 | 南 北 | 精装 | 低楼层(共15层)  | 板楼,4人关注 / 3个月以前发布,112,"8,227元/平"
平安小区 3室1厅 东南,平安小区 -张北县,3室1厅 | 125平米 | 东南 | 精装 | 中楼层(共6层)  | 板楼,0人关注 / 10天以前发布,57,"4,560元/平"
精装修三居室好楼层采光好视野好,香江名城 -桥西区,3室2厅 | 135平米 | 南 | 精装 | 低楼层(共28层)  | 板楼,0人关注 / 13天以前发布,115,"8,519元/平"
地段好，配套齐全，带花园，精装修产权清晰,府街庭院 -桥东区,3室2厅 | 134.11平米 | 南 北 | 精装 | 低楼层(共12层)  | 塔楼,9人关注 / 一年前发布,113,"8,426元/平"
四室两厅两卫，精装修拎包入住，实际建面150平,格林国际 -沙城,4室2厅 | 131.48平米 | 南 北 | 精装 | 中楼层(共20层)  | 暂无数据,0人关注 / 30天以前发布,115,"8,747元/平"
京润现代城三居室南北通透毛坯房 价格可议看房方便,京润现代城 -桥东区,3室2厅 | 120平米 | 南 北 | 毛坯 | 低楼层(共25层)  | 板楼,1人关注 / 22天以前发布,83,"6,917元/平"
急售 碧桂园官厅湖 观景洋房 80平米 仅售52万,碧桂园官厅湖 -东花园,2室2厅 | 80.08平米 | 南 北 | 精装 | 低楼层(共18层)  | 板楼,9人关注 / 7个月以前发布,48,"5,995元/平"
小区绿化好，交通方便 ，出去方便,怡景小区 -桥东区,3室2厅 | 122平米 | 南 北 | 毛坯 | 高楼层(共6层)  | 板楼,2人关注 / 4个月以前发布,61,"5,000元/平"
布局合理户型方正 客厅宽敞舒适 阳光充足 采光好！,金鹰花园(胜利中路) -桥东区,2室2厅 | 86.64平米 | 南 北 | 精装 | 高楼层(共17层)  | 板楼,0人关注 / 8天以前发布,75,"8,657元/平"
新城佳苑 2室1厅 西南 西,新城佳苑 -沙城,2室1厅 | 96平米 | 西南 西 | 简装 | 低楼层(共18层)  | 暂无数据,0人关注 / 3天以前发布,60,"6,250元/平"
诚心出售新一中枫树小镇电梯好楼层三居室有房本,枫墅小镇 -桥西区,3室2厅 | 124.16平米 | 南 北 | 简装 | 高楼层(共23层)  | 板楼,1人关注 / 1个月以前发布,108,"8,699元/平"
富嘉园 3室2厅 南 北,富嘉园 -桥西区,3室2厅 | 108平米 | 南 北 | 精装 | 低楼层(共17层)  | 塔楼,0人关注 / 24天以前发布,73,"6,760元/平"
香江中间楼层 有本可贷款 业主诚心出售 明厅明卧,香江名城 -桥西区,3室2厅 | 119.43平米 | 南 北 | 简装 | 中楼层(共6层)  | 板楼,0人关注 / 27天以前发布,103,"8,625元/平"
红旗楼容辰广场精装现房3室2厅2卫电梯楼,容辰庄园 -桥东区,3室2厅 | 232平米 | 南 | 精装 | 中楼层(共30层)  | 板塔结合,3人关注 / 23天以前发布,185,"7,975元/平"
此房为南北通透户型，房本满五唯一,张家口学院 -桥西区,3室2厅 | 91.59平米 | 南 北 | 简装 | 中楼层(共6层)  | 暂无数据,0人关注 / 21天以前发布,40,"4,368元/平"
满五年唯一，视野开阔，采光充足，公摊小,东方苑小区南苑 -桥东区,3室2厅 | 111平米 | 南 北 | 简装 | 中楼层(共6层)  | 板楼,0人关注 / 20天以前发布,91,"8,199元/平"
钻石花园 3室2厅 南 北,钻石花园 -桥东区,3室2厅 | 135平米 | 南 北 | 其他 | 中楼层(共17层)  | 板楼,0人关注 / 11天以前发布,114.75,"8,500元/平"
缙骅苑 3室1厅 南 北,缙骅苑 -桥西区,3室1厅 | 110平米 | 南 北 | 其他 | 低楼层(共6层)  | 板楼,0人关注 / 13天以前发布,90,"8,182元/平"
五一路小..学旁，新换窗户，外墙保温比正常厚三倍,五一路138号 -桥东区,3室2厅 | 128平米 | 南 北 | 其他 | 低楼层(共5层)  | 暂无数据,0人关注 / 12天以前发布,70.4,"5,500元/平"
此房一出震  惊江湖三楼东边户精装带窗户三居拎包入住,缙骅苑 -桥西区,3室2厅 | 118.4平米 | 南 北 | 其他 | 中楼层(共6层)  | 板楼,0人关注 / 2个月以前发布,118,"9,967元/平"
楼层好，户型好住，小区安静适宜于居住可贷款,瑞麟轩 -桥东区,2室2厅 | 108平米 | 南 北 | 简装 | 低楼层(共7层)  | 板塔结合,0人关注 / 14天以前发布,75,"6,945元/平"
欣盛家園 4室2厅 南 北,欣盛家園 -桥东区,4室2厅 | 175平米 | 南 北 | 其他 | 中楼层(共7层)  | 板楼,0人关注 / 11天以前发布,97,"5,543元/平"
三朝阳户型 格局方正 采光好 门口就是卫华,盛华家园北区 -桥东区,3室2厅 | 165平米 | 南 北 | 毛坯 | 中楼层(共14层)  | 板楼,0人关注 / 15天以前发布,135,"8,182元/平"
价格合适 采光好 出行便利 准新小区,金域首府 -桥东区,2室1厅 | 101.21平米 | 南 | 简装 | 高楼层(共15层)  | 板塔结合,15人关注 / 5个月以前发布,67.5,"6,670元/平"
业主诚心出售   有房本 能带看  有钥匙随时看,新垣雅轩 -桥东区,2室2厅 | 94.18平米 | 南 北 | 其他 | 中楼层(共20层)  | 塔楼,0人关注 / 4个月以前发布,71,"7,539元/平"
维多利亚大两居好楼层南北通透户型,永昌维多利亚广场C区 -桥东区,2室2厅 | 104.49平米 | 南 北 | 简装 | 中楼层(共33层)  | 塔楼,11人关注 / 一年前发布,78,"7,465元/平"
此房电梯房，楼层好，视野宽阔，采光好。,凤凰城 -桥东区,2室1厅 | 83平米 | 南 北 | 简装 | 低楼层(共14层)  | 板楼,4人关注 / 一年前发布,58,"6,988元/平"
此房满五唯一 客卧朝阳 高楼层 精装修 看房方便,京润现代城 -桥东区,2室2厅 | 88.34平米 | 南 北 | 精装 | 高楼层(共25层)  | 塔楼,0人关注 / 5个月以前发布,78,"8,830元/平"
回民一墙隔 有房本满五年 有地下室 好停车,德胜街铁路住宅小区一号院 -桥东区,2室1厅 | 70平米 | 南 北 | 简装 | 高楼层(共6层)  | 板楼,0人关注 / 10天以前发布,36,"5,143元/平"
开元溪府小区，位于纬二路，通透，电梯是高楼层。,开元溪府 -桥西区,2室1厅 | 88.18平米 | 南 北 | 其他 | 高楼层(共25层)  | 塔楼,1人关注 / 2个月以前发布,62,"7,032元/平"
此房马上满五年了··精装修·好楼层·拎包入住,锦绣华城 -张北县,3室2厅 | 98平米 | 南 | 简装 | 低楼层(共6层)  | 板楼,0人关注 / 3个月以前发布,39,"3,980元/平"
枫树小镇，明厅明卧，精装修三居，价格可议,枫墅小镇 -桥西区,3室2厅 | 114.8平米 | 南 | 精装 | 高楼层(共18层)  | 塔楼,2人关注 / 4个月以前发布,98,"8,537元/平"
盛和日月华庭东边户  101平米大两居  单价6400,盛和日月华庭 -桥西区,2室2厅 | 101.65平米 | 南 | 毛坯 | 中楼层(共19层)  | 板楼,0人关注 / 2个月以前发布,66,"6,493元/平"
成熟小区配套设施完善采光好楼层好适合老人小孩居住,金华怡园 -桥西区,3室2厅 | 100.73平米 | 南 北 | 精装 | 高楼层(共6层)  | 塔楼,21人关注 / 一年前发布,47,"4,666元/平"
三向阳 三向阳 经开区   小区环境优美物业好,岭秀城（嶺秀城） -桥西区,3室2厅 | 126平米 | 南 北 | 毛坯 | 高楼层(共6层)  | 板塔结合,0人关注 / 2个月以前发布,83,"6,588元/平"
瑞麟轩三阳开泰户型，精装修，位置好,瑞麟轩 -桥东区,3室2厅 | 137平米 | 南 北 | 精装 | 中楼层(共7层)  | 板楼,0人关注 / 2个月以前发布,86,"6,278元/平"
此房有本 南北通 好户型 好楼层，配套设施齐全,龙山水郡 -桥东区,3室1厅 | 125.5平米 | 南 北 | 简装 | 低楼层(共21层)  | 塔楼,5人关注 / 一年前发布,80,"6,375元/平"
纬一路万博旁边南北朝向板楼三楼三居62万有房本精,高科家属楼 -桥东区,3室2厅 | 89.3平米 | 南 | 简装 | 中楼层(共6层)  | 板楼,1人关注 / 2个月以前发布,60,"6,719元/平"
此房格局好，六跃七，视野宽阔，采光充足，配套齐全,垣豪小区 -桥西区,3室2厅 | 136.24平米 | 南 北 | 简装 | 高楼层(共6层)  | 板塔结合,1人关注 / 5个月以前发布,60,"4,404元/平"
此房步梯楼3楼总高6楼毛坯房状态采光通透性好,岭秀城（嶺秀城） -桥西区,3室2厅 | 121.7平米 | 南 | 毛坯 | 中楼层(共6层)  | 板塔结合,9人关注 / 一年前发布,84,"6,903元/平"
师范路两室一厅精装修中楼层可拎包入住,花园小区 -张北县,2室2厅 | 82平米 | 南 北 | 精装 | 低楼层(共6层)  | 板楼,0人关注 / 一年前发布,38,"4,635元/平"
板楼中层、大三居、三朝阳 、采光好、,计生委家属院 -桥东区,3室2厅 | 136平米 | 南 北 | 毛坯 | 中楼层(共6层)  | 塔楼,20人关注 / 6个月以前发布,63,"4,633元/平"
锦绣华城 3室2厅 南 北,锦绣华城 -张北县,3室2厅 | 99平米 | 南 北 | 毛坯 | 低楼层(共6层)  | 板楼,0人关注 / 2个月以前发布,43.5,"4,394元/平"
此房满五，南北通透。视野宽阔采光充足配套设施齐全,凤凰城 -桥东区,3室2厅 | 122.5平米 | 南 北 | 简装 | 中楼层(共16层)  | 板楼,0人关注 / 1个月以前发布,95,"7,756元/平"
高铁站 新四医院附-近  龙兴润城 三向阳双卫 中间楼层,龙兴润城 -桥东区,3室2厅 | 136平米 | 南 北 | 毛坯 | 中楼层(共14层)  | 塔楼,1人关注 / 6个月以前发布,106,"7,795元/平"
此房户型好.楼层好，视野开阔，采光好，,前屯新天地小区 -桥东区,3室2厅 | 132.04平米 | 南 北 | 毛坯 | 高楼层(共11层)  | 板楼,2人关注 / 4个月以前发布,99,"7,498元/平"
御园小区 2室2厅 南 北,御园小区 -桥西区,2室2厅 | 119平米 | 南 北 | 其他 | 低楼层(共6层)  | 板塔结合,0人关注 / 7天以前发布,81,"6,807元/平"
当时婚房装修 看房方便 南菜园 十九中,西泽园北区 -桥西区,2室2厅 | 90平米 | 南 北 | 精装 | 中楼层(共21层)  | 暂无数据,0人关注 / 8天以前发布,77,"8,556元/平"
小高层，户型方正，采光好，出入方便,凤翔山庄 -桥西区,3室2厅 | 109.43平米 | 南 北 | 精装 | 中楼层(共10层)  | 板楼,0人关注 / 8天以前发布,78,"7,128元/平"
新华苑小区东一区 2室1厅 南 北,新华苑小区东一区 -桥西区,2室1厅 | 54平米 | 南 北 | 其他 | 低楼层(共7层)  | 板楼,0人关注 / 7天以前发布,25,"4,630元/平"
岭秀城（嶺秀城） 2室2厅 南,岭秀城（嶺秀城） -桥西区,2室2厅 | 113平米 | 南 | 其他 | 低楼层(共6层)  | 板塔结合,0人关注 / 8天以前发布,88,"7,788元/平"
此房满五唯一.h户型电梯好楼层.,世纪豪园 -桥东区,2室1厅 | 105.25平米 | 南 | 其他 | 高楼层(共15层)  | 板塔结合,0人关注 / 7天以前发布,70,"6,651元/平"
房本满五，精装修，南北通透好户型，楼层好，视野开阔,鵬跃龍城 -桥东区,4室2厅 | 171.65平米 | 南 北 | 其他 | 低楼层(共30层)  | 板楼,0人关注 / 1个月以前发布,145.9,"8,500元/平"
好楼层，采光好，配套丰富，看房方便,名仕嘉苑 -桥西区,2室1厅 | 64平米 | 南 北 | 精装 | 高楼层(共24层)  | 板塔结合,0人关注 / 12天以前发布,48,"7,500元/平"
香格里拉，户型方正，有房本过户，业主诚心卖,首府香格里拉 -桥东区,2室1厅 | 101.4平米 | 南 | 简装 | 低楼层(共17层)  | 塔楼,4人关注 / 8个月以前发布,57,"5,622元/平"
仁爱住宅小区 2室2厅 南,仁爱住宅小区 -张北县,2室2厅 | 65.19平米 | 南 | 简装 | 低楼层(共5层)  | 板楼,0人关注 / 1个月以前发布,26,"3,989元/平"
有房本可贷款 精装修，前面无遮挡 适合老人居住,天人名仕乐居 -桥西区,2室2厅 | 99.24平米 | 南 | 其他 | 低楼层(共17层)  | 板塔结合,0人关注 / 1个月以前发布,72,"7,256元/平"
领秀城小区二号院的房子，小区新，建筑外立面和绿化好,岭秀城（嶺秀城） -桥西区,3室2厅 | 94.3平米 | 南 北 | 毛坯 | 低楼层(共6层)  | 板塔结合,3人关注 / 4个月以前发布,74,"7,848元/平"
枫墅小镇 明厅明卧  三居室 不挡光,枫墅小镇 -桥西区,3室2厅 | 136.32平米 | 南 北 | 其他 | 低楼层(共23层)  | 板楼,4人关注 / 6个月以前发布,99,"7,263元/平"
店长推荐 可以贷款  7300一平,新五一广场2区 -桥东区,3室2厅 | 132.83平米 | 南 北 | 毛坯 | 低楼层(共33层)  | 塔楼,10人关注 / 4个月以前发布,93,"7,002元/平"
小区位置好，环境优美，采光好，交通便利,新垣雅轩 -桥东区,3室2厅 | 139.99平米 | 南 北 | 毛坯 | 高楼层(共20层)  | 塔楼,6人关注 / 一年前发布,115,"8,215元/平"
悦澜湾 小区中间位置 中间楼层 层高3.05米 随时看房,悦澜湾 -桥东区,3室2厅 | 163.9平米 | 南 北 | 毛坯 | 中楼层(共18层)  | 板楼,3人关注 / 3个月以前发布,160,"9,763元/平"
天宝南 清河路 19中 双阳三居 满五年,天宝南苑 -桥西区,3室2厅 | 95平米 | 南 北 | 简装 | 低楼层(共6层)  | 板塔结合,0人关注 / 2个月以前发布,65,"6,843元/平"
外贸小区2-1-1-1 86.98m² 36 万,外贸小区 -张北县,2室1厅 | 86.98平米 | 南 北 | 简装 | 低楼层(共6层)  | 板楼,0人关注 / 2个月以前发布,33,"3,794元/平"
小区干净地理位置优越产权清晰出入很方便业主诚心出售,河北建筑工程学院中家属院 -桥东区,3室2厅 | 105平米 | 南 北 | 简装 | 低楼层(共6层)  | 板楼,0人关注 / 2个月以前发布,70,"6,667元/平"
瑞麟轩，南北通透，三阳开泰户型,瑞麟轩 -桥东区,3室2厅 | 137平米 | 南 北 | 其他 | 中楼层(共7层)  | 板楼,10人关注 / 6个月以前发布,92,"6,716元/平"
盛世豪庭！好房不容错过，速速围观,盛世豪庭 -宣化区,2室1厅 | 110平米 | 南 北 | 精装 | 高楼层(共18层)  | 板楼,13人关注 / 7个月以前发布,83.69,"7,609元/平"
凤凰山庄 3室2厅 南 北,凤凰山庄 -桥东区,3室2厅 | 147.23平米 | 南 北 | 其他 | 高楼层(共6层)  | 板塔结合,3人关注 / 3个月以前发布,65,"4,415元/平"
精装 中式风格 三居明厅明卧 电梯房 看房方便,前屯新天地小区 -桥东区,3室2厅 | 134.5平米 | 南 北 | 其他 | 低楼层(共9层)  | 板楼,6人关注 / 5个月以前发布,100,"7,435元/平"
三向阳户型，南北通，透视野好采光充足配套设施齐全,凤凰城 -桥东区,3室2厅 | 135.3平米 | 南 北 | 毛坯 | 低楼层(共9层)  | 板楼,16人关注 / 8个月以前发布,104,"7,687元/平"
此房东边户，楼层好，采光不错，电梯房中间楼层,御景天下 -张北县,3室2厅 | 98.6平米 | 南 | 简装 | 中楼层(共18层)  | 板楼,5人关注 / 6个月以前发布,57,"5,781元/平"
三居双阳卧 全款直接办本南北通透,惠安苑小区 -桥东区,3室2厅 | 125.93平米 | 南 北 | 其他 | 高楼层(共6层)  | 板楼,24人关注 / 7个月以前发布,60,"4,765元/平"
急售 红旗楼大3居 银座旁  视野宽阔采光好,鵬跃龍城 -桥东区,3室2厅 | 141.54平米 | 南 北 | 精装 | 高楼层(共30层)  | 板楼,17人关注 / 7个月以前发布,95,"6,712元/平"
好房子，拎包入住。价格合适。。。。。。。。,新五一广场2区 -桥东区,2室2厅 | 96平米 | 南 北 | 精装 | 中楼层(共32层)  | 塔楼,0人关注 / 19天以前发布,72,"7,500元/平"
五一路高档社区 毛坯房随意装修 看房方便诚心出售,新五一广场2区 -桥东区,2室2厅 | 106平米 | 南 北 | 毛坯 | 低楼层(共33层)  | 塔楼,0人关注 / 21天以前发布,73,"6,887元/平"
沁馨苑 2室1厅 南 北,沁馨苑 -桥西区,2室1厅 | 68平米 | 南 北 | 简装 | 中楼层(共6层)  | 板塔结合,0人关注 / 21天以前发布,35.5,"5,221元/平"
楼层好视野开阔，采光充足，产权清晰,永泰小区 -桥西区,1室2厅 | 80平米 | 南 北 | 简装 | 高楼层(共6层)  | 板楼,0人关注 / 20天以前发布,32.9,"4,113元/平"
纬一路 乐购商圈 精装小三居 电梯中层 房本满五可贷款,金鹰花园(胜利中路) -桥东区,3室2厅 | 113平米 | 南 北 | 精装 | 中楼层(共17层)  | 板楼,0人关注 / 18天以前发布,105,"9,293元/平"
纬三路，高铁站商圈，满五唯一，业主诚心出售,京润现代城 -桥东区,2室1厅 | 85平米 | 南 | 精装 | 高楼层(共25层)  | 塔楼,0人关注 / 17天以前发布,68,"8,000元/平"
盛通苑 2室2厅 南 北,盛通苑 -桥西区,2室2厅 | 88.25平米 | 南 北 | 其他 | 低楼层(共6层)  | 板楼,0人关注 / 2个月以前发布,56,"6,346元/平"
天秀花园西区，精装修明厅明卧采光好小区环境好采光好,天秀花园西区 -桥西区,3室2厅 | 139.51平米 | 南 北 | 精装 | 中楼层(共15层)  | 板楼,0人关注 / 13天以前发布,108,"7,742元/平"
御景天下2-1-1-1 85.00² 51 万,御景天下 -张北县,2室1厅 | 85平米 | 南 北 | 精装 | 高楼层(共18层)  | 塔楼,0人关注 / 12天以前发布,49,"5,765元/平"
标准H户型，带30平平台，满五年，看房随时,西泽园南区 -桥西区,2室2厅 | 95平米 | 南 北 | 简装 | 低楼层(共11层)  | 板楼,0人关注 / 9天以前发布,78,"8,211元/平"
高家屯小区 2室1厅 南 北,高家屯小区 -桥西区,2室1厅 | 89平米 | 南 北 | 简装 | 中楼层(共6层)  | 暂无数据,0人关注 / 9天以前发布,45,"5,057元/平"
嘉盛源小区 2室2厅 南 北,嘉盛源小区 -桥西区,2室2厅 | 113平米 | 南 北 | 其他 | 中楼层(共6层)  | 板楼,0人关注 / 9天以前发布,75,"6,638元/平"
鑫鼎银河湾 2室2厅 南,鑫鼎银河湾 -桥西区,2室2厅 | 91平米 | 南 | 精装 | 中楼层(共17层)  | 板楼,0人关注 / 9天以前发布,71.9,"7,902元/平"
家具家电全带，业主诚心出售，喜欢的小伙伴抓紧看房,世纪家园新区 -桥西区,2室2厅 | 120平米 | 南 北 | 其他 | 低楼层(共15层)  | 塔楼,15人关注 / 一年前发布,60,"5,000元/平"
小区环境好，物业管理好，绿化好,容辰首府 -桥东区,3室2厅 | 137.21平米 | 南 北 | 毛坯 | 低楼层(共29层)  | 塔楼,14人关注 / 一年前发布,115,"8,382元/平"
此房采光充足 视野好   业主诚心出售,广立家园 -桥西区,3室1厅 | 130平米 | 南 北 | 精装 | 高楼层(共25层)  | 塔楼,1人关注 / 3个月以前发布,96,"7,385元/平"
天保新城西区 3室2厅 南,天保新城西区 -张北县,3室2厅 | 114.56平米 | 南 | 精装 | 低楼层(共18层)  | 塔楼,1人关注 / 2个月以前发布,58,"5,063元/平"
板楼好楼层  公摊小  低单价   3居室刚需过度必选,二中家属楼 -桥西区,3室2厅 | 101平米 | 南 北 | 简装 | 中楼层(共7层)  | 板楼,0人关注 / 1个月以前发布,59,"5,842元/平"
府街庭院 3室2厅 南 北,府街庭院 -桥东区,3室2厅 | 137平米 | 南 北 | 精装 | 中楼层(共12层)  | 塔楼,0人关注 / 1个月以前发布,110,"8,030元/平"
楼层好、南北通透格局。交通便利。购物出行方便。,清泉花园 -桥西区,3室2厅 | 92.7平米 | 南 北 | 精装 | 中楼层(共6层)  | 板塔结合,2人关注 / 6个月以前发布,62,"6,689元/平"
房子为小高层，一梯两户，公摊小，位置好，好停车,和祥家园南区 -沙城,3室2厅 | 102平米 | 南 北 | 简装 | 低楼层(共9层)  | 暂无数据,2人关注 / 6个月以前发布,65.8,"6,451元/平"
房子真实在售，价格实惠，小区出行方便，配套齐全,金华怡园 -桥西区,3室2厅 | 92.4平米 | 南 | 精装 | 高楼层(共6层)  | 塔楼,3人关注 / 4个月以前发布,52,"5,628元/平"
经开区纬三路、乐购商圈单价7300/平简装好楼层好户型,瑞麟轩 -桥东区,2室2厅 | 109平米 | 南 | 简装 | 中楼层(共7层)  | 板塔结合,4人关注 / 6个月以前发布,78,"7,156元/平"
工业路住宅小区 3室2厅 南 北,工业路住宅小区 -桥东区,3室2厅 | 153平米 | 南 北 | 简装 | 低楼层(共6层)  | 板楼,2人关注 / 9个月以前发布,85,"5,556元/平"
满五唯一，楼层好视野好设施齐全，,凤凰山庄 -桥东区,2室1厅 | 91平米 | 南 北 | 简装 | 中楼层(共6层)  | 板塔结合,0人关注 / 8个月以前发布,63,"6,924元/平"
户型方正，交通便利，配套齐全.,胜利北路15号院 -桥东区,3室2厅 | 97.35平米 | 南 北 | 简装 | 中楼层(共7层)  | 板楼,4人关注 / 9个月以前发布,60,"6,164元/平"
乐购商圈 时代广场东区 三居两卫  南北通透 采光充足,时代广场东区 -桥东区,3室2厅 | 133.29平米 | 南 北 | 精装 | 中楼层(共6层)  | 板楼,1人关注 / 6个月以前发布,99,"7,428元/平"
纬一路万博大市场旁，独特的地理位置优质的房源,金地家园 -桥东区,3室2厅 | 126平米 | 南 北 | 简装 | 高楼层(共18层)  | 板楼,6人关注 / 3个月以前发布,82,"6,508元/平"
房子精装修，全套家具家电，经典阳面客厅双阳卧室,御园小区 -桥西区,3室2厅 | 139平米 | 南 | 精装 | 中楼层(共9层)  | 板塔结合,1人关注 / 3个月以前发布,104,"7,483元/平"
红旗楼商圈，全明三居室南北通透,新東亚·城市花园 -桥东区,3室2厅 | 119平米 | 南 北 | 毛坯 | 低楼层(共17层)  | 板塔结合,3人关注 / 1个月以前发布,78,"6,555元/平"
经开区三向阳南北三居精装修拎包入住有房本电梯中间层,伊梅园小区 -桥东区,3室2厅 | 139平米 | 北 南 | 精装 | 低楼层(共11层)  | 板楼,2人关注 / 4个月以前发布,90,"6,475元/平"
本房满五唯一，户型方正，采光明亮,丽泽园 -宣化区,3室2厅 | 127平米 | 南 北 | 精装 | 高楼层(共7层)  | 板楼,2人关注 / 8个月以前发布,95,"7,481元/平"
三向阳南北通透奢华欧式装修.邻近19中菜市场公园商场,天宝中苑 -桥西区,3室2厅 | 108.9平米 | 南 北 | 精装 | 低楼层(共31层)  | 板塔结合,2人关注 / 4个月以前发布,95,"8,724元/平"
楼层好 户型方正 采光好很充足 视野宽阔 交通方便,垣著MOMA -桥东区,3室2厅 | 96.37平米 | 北 南 | 毛坯 | 中楼层(共25层)  | 暂无数据,2人关注 / 2个月以前发布,75.5,"7,835元/平"
瑞麟轩 2室2厅 南 北,瑞麟轩 -桥东区,2室2厅 | 108平米 | 南 北 | 精装 | 高楼层(共7层)  | 板楼,15人关注 / 4个月以前发布,54,"5,000元/平"
盛华家园小区芳华里南北通透好楼层,盛华家园小区 -桥东区,3室2厅 | 126平米 | 南 北 东 | 毛坯 | 高楼层(共15层)  | 暂无数据,5人关注 / 8个月以前发布,90,"7,143元/平"
诚心出售经开区滨河公馆小区 电梯小高层 有房本,滨河公馆 -桥西区,3室2厅 | 120.42平米 | 南 北 | 简装 | 低楼层(共11层)  | 板楼,0人关注 / 1个月以前发布,97.8,"8,122元/平"
诚心出售 电梯好楼层无遮挡 有房本可贷款,前屯新天地小区 -桥东区,3室2厅 | 138平米 | 南 北 | 毛坯 | 低楼层(共16层)  | 板楼,2人关注 / 3个月以前发布,96,"6,957元/平"
