标题,开发商,房子信息,发布信息,售价/万,单价
香榭丽舍新上精装三房 三开间朝南 基本未入住,香榭丽舍 -南环,3室2厅 | 141平米 | 南 北 | 精装 | 中楼层(共18层)  | 暂无数据,7人关注 / 一年前发布,76,"5,391元/平"
刚交付的新房，紧凑户型，厨房卫生间设计合理，,万科·溥天龙堂 -南环,3室2厅 | 115平米 | 南 | 精装 | 中楼层(共33层)  | 板楼,1人关注 / 3个月以前发布,73,"6,348元/平"
北辰桂园 一楼带院  诚心出售,北辰桂园 -川汇区政府商圈,3室2厅 | 121.02平米 | 南 | 精装 | 低楼层(共17层)  | 板塔结合,21人关注 / 11个月以前发布,60,"4,958元/平"
万达旁边户三房，精装税满，可分期业主随时可过户,中国铁建·东来尚城 -维也纳商圈,3室2厅 | 126.72平米 | 南 | 精装 | 高楼层(共24层)  | 板楼,1人关注 / 3个月以前发布,75,"5,919元/平"
泰和城万达熙龙湾 新上步梯复式 买一层得两层 带露台,万达熙龙湾 -泰和城商圈,4室3厅 | 97.83平米 | 南 北 | 简装 | 高楼层(共6层)  | 板楼,37人关注 / 一年前发布,50,"5,111元/平"
采光好 大三房 大阳台 业主诚意出售 随时看房,民政小区 -邦杰集团商圈,3室2厅 | 103.69平米 | 西南 | 精装 | 中楼层(共5层)  | 暂无数据,5人关注 / 1个月以前发布,33,"3,183元/平"
金色东方佳苑小三房出售。。。。。。,佳利金色东方佳苑 -文昌大道佳丽商圈,3室1厅 | 104.48平米 | 东南 | 毛坯 | 中楼层(共18层)  | 板塔结合,11人关注 / 一年前发布,47,"4,499元/平"
此房是恒大精装修，户型通透，采光充足,恒大名都 -东新区商圈,3室2厅 | 108平米 | 南 | 精装 | 中楼层(共28层)  | 板楼,0人关注 / 10个月以前发布,72,"6,667元/平"
简装三房，中间楼层，格局好，前面无遮挡。。。,天明城名仕公馆 -东新区商圈,4室2厅 | 145平米 | 南 | 简装 | 中楼层(共30层)  | 塔楼,3人关注 / 7个月以前发布,87,"6,000元/平"
碧桂园东区大面积现房168平楼层佳,周口碧桂园 -东新区商圈,4室2厅 | 168平米 | 南 | 毛坯 | 中楼层(共31层)  | 板塔结合,4人关注 / 一年前发布,92,"5,477元/平"
楼层好视野宽阔，采光充足交通便利生活： 中楼层.,天明城名门世家 -东新区商圈,3室2厅 | 98平米 | 南 | 精装 | 中楼层(共26层)  | 板楼,11人关注 / 一年前发布,64,"6,531元/平"
恒大交付标准都是精装，户型通透，高楼层，采光好,恒大名都 -东新区商圈,3室2厅 | 130.33平米 | 南 | 简装 | 高楼层(共26层)  | 板楼,8人关注 / 一年前发布,90,"6,906元/平"
公务员精装修大三房，全屋空调。带暖气,安居小区A区 -周师商圈,3室2厅 | 129平米 | 南 | 精装 | 高楼层(共18层)  | 板塔结合,1人关注 / 8个月以前发布,109,"8,450元/平"
建业森林半岛，大三房，契税满两年。,建业森林半岛 -周师商圈,3室2厅 | 118平米 | 南 | 简装 | 低楼层(共26层)  | 板塔结合,9人关注 / 一年前发布,80,"6,780元/平"
天明城精装修，四室两厅两卫，电梯中间楼层，有证可按,天明城名门世家 -东新区商圈,4室2厅 | 130.73平米 | 南 | 精装 | 中楼层(共26层)  | 板楼,0人关注 / 4个月以前发布,115,"8,797元/平"
森林半岛精装3房，拎包入住，可随时看房。,建业森林半岛 -周师商圈,3室2厅 | 128平米 | 东南 | 精装 | 中楼层(共26层)  | 板塔结合,9人关注 / 一年前发布,102,"7,969元/平"
此房业主诚心出售 精装修 楼层好 采光充足 配套齐全,景园盛世华都 -周师商圈,3室2厅 | 121平米 | 东 | 精装 | 高楼层(共20层)  | 板塔结合,4人关注 / 一年前发布,84,"6,943元/平"
业主急售，建业森林半岛精装修大三室，户型方正,建业森林半岛 -周师商圈,3室2厅 | 137.5平米 | 南 | 精装 | 低楼层(共26层)  | 板塔结合,8人关注 / 一年前发布,89.6,"6,517元/平"
恒大名都，精装修现房，拎包入住。。。。,恒大名都 -东新区商圈,3室2厅 | 108平米 | 南 北 | 精装 | 中楼层(共26层)  | 板楼,14人关注 / 一年前发布,68,"6,297元/平"
大三房，采光好，户型通透，视野宽阔,广電欣苑 -周师商圈,3室2厅 | 125平米 | 南 | 精装 | 高楼层(共6层)  | 板塔结合,11人关注 / 一年前发布,77,"6,160元/平"
万达熙龙湾一楼带院 精装 大三房带地暖,万达熙龙湾 -泰和城商圈,3室2厅 | 129.09平米 | 南 北 | 精装 | 低楼层(共11层)  | 板塔结合,28人关注 / 一年前发布,119,"9,219元/平"
三室两厅一厨两卫.................................,建业森林半岛 -周师商圈,3室2厅 | 137平米 | 南 | 精装 | 中楼层(共26层)  | 板塔结合,1人关注 / 一年前发布,107.5,"7,847元/平"
恒大名都8号楼，湖景房精装修.带家具家电，带车位。,恒大名都 -东新区商圈,4室2厅 | 158.31平米 | 南 | 精装 | 中楼层(共30层)  | 板楼,10人关注 / 一年前发布,144,"9,097元/平"
精装修三房，格局好，户型方正.,建业森林半岛 -周师商圈,3室2厅 | 143平米 | 南 | 精装 | 低楼层(共26层)  | 板塔结合,14人关注 / 一年前发布,112,"7,833元/平"
建业森林半岛 中间楼层 采光充足,建业森林半岛 -周师商圈,3室2厅 | 120平米 | 南 | 简装 | 中楼层(共25层)  | 板塔结合,43人关注 / 一年前发布,74.5,"6,209元/平"
精装房玖号院3室2厅2卫看房方便,玖号院 -周师商圈,3室2厅 | 145.01平米 | 南 | 精装 | 低楼层(共18层)  | 板塔结合,2人关注 / 9个月以前发布,96,"6,621元/平"
现代城一期环境优美 交通便利  房间干净整洁,现代城 -现代城商圈,1室1厅 | 43平米 | 南 | 简装 | 低楼层(共5层)  | 板楼,0人关注 / 1个月以前发布,25,"5,814元/平"
温馨多层洋房，证在手满五唯一 支持按揭、楼栋位置好,建业森林半岛 -周师商圈,3室2厅 | 127平米 | 南 | 精装 | 高楼层(共6层)  | 板塔结合,9人关注 / 4个月以前发布,72,"5,670元/平"
精装大两房，户型方正，阳光刺眼，小区绿化占地面积广,景园盛世华都 -周师商圈,2室2厅 | 110平米 | 南 | 简装 | 中楼层(共11层)  | 板塔结合,7人关注 / 一年前发布,70,"6,364元/平"
有证满二可按揭精装修未住，漂亮价格可谈，看房联系我,天鹏皇朝 -南环,3室2厅 | 106.41平米 | 南 | 精装 | 高楼层(共28层)  | 板楼,8人关注 / 一年前发布,58,"5,451元/平"
文昌片区房子是精装修南北通三开间朝南税满可按揭,奧蘭天和家園 -周师商圈,3室2厅 | 121.45平米 | 南 | 精装 | 中楼层(共11层)  | 板楼,5人关注 / 一年前发布,89,"7,329元/平"
好房出售，建业七期后海带车位毛坯2室，看房方便,建业森林半岛 -周师商圈,2室2厅 | 88.6平米 | 南 | 毛坯 | 中楼层(共26层)  | 板塔结合,2人关注 / 5个月以前发布,60,"6,773元/平"
奥兰天和 户型比较方正，小区以多层洋房为主适合居住,奧蘭天和家園 -周师商圈,2室2厅 | 91平米 | 南 | 精装 | 高楼层(共7层)  | 板楼,2人关注 / 11个月以前发布,66,"7,253元/平"
建业三期君临府，成熟小区，配套齐全，环境优美,君邻府 -沈丘县,4室2厅 | 167.52平米 | 南 | 毛坯 | 低楼层(共9层)  | 暂无数据,2人关注 / 5个月以前发布,105,"6,268元/平"
恒大名都二期的精装修，两房，看房方便，适用三口之家,恒大名都 -东新区商圈,2室2厅 | 83平米 | 东南 | 精装 | 低楼层(共32层)  | 板楼,3人关注 / 一年前发布,57.9,"6,976元/平"
人车分流，一楼出行便捷，另有车位可售，有证可按揭！,周口碧桂园 -东新区商圈,1室2厅 | 73平米 | 南 | 精装 | 低楼层(共33层)  | 板塔结合,1人关注 / 1个月以前发布,42,"5,754元/平"
一楼带院，有证可按揭，简单装修，看房方便,建业未来城 -川汇区政府商圈,3室2厅 | 138平米 | 南 | 简装 | 低楼层(共6层)  | 塔楼,1人关注 / 11个月以前发布,90,"6,522元/平"
东新区，恒大名都，精装修现房。,恒大名都 -东新区商圈,3室2厅 | 108平米 | 南 | 精装 | 低楼层(共30层)  | 板塔结合,0人关注 / 一年前发布,76,"7,038元/平"
出售 恒大名都精装3房采光好位置好,恒大名都 -东新区商圈,3室2厅 | 129平米 | 南 | 精装 | 低楼层(共30层)  | 板塔结合,7人关注 / 一年前发布,92,"7,132元/平"
万达熙龙湾精装修大四居，有证税满可按揭,万达熙龙湾 -泰和城商圈,4室2厅 | 143.7平米 | 南 | 精装 | 高楼层(共18层)  | 板塔结合,12人关注 / 一年前发布,82,"5,707元/平"
建业森林半岛~后海单独5栋有地下车位绿化空间大。,建业森林半岛 -周师商圈,3室2厅 | 135平米 | 南 | 毛坯 | 低楼层(共30层)  | 板塔结合,2人关注 / 一年前发布,115,"8,519元/平"
碧桂园高层三房看房便利户型布局合理精装修,周口碧桂园 -东新区商圈,3室1厅 | 87平米 | 南 | 精装 | 中楼层(共7层)  | 塔楼,1人关注 / 8个月以前发布,70,"8,046元/平"
一楼带院，采光很好，现代风格装修，拎包入住。,文庭雅苑 -沈丘县,3室1厅 | 131平米 | 南 | 精装 | 低楼层(共26层)  | 板塔结合,0人关注 / 7个月以前发布,115,"8,779元/平"
此房精装修，楼层好。采光充足，调高3.1米,槐府六号 -沈丘县,3室2厅 | 146平米 | 南 | 精装 | 高楼层(共6层)  | 暂无数据,9人关注 / 一年前发布,85,"5,822元/平"
建业置地广场，三室两厅两卫，18层小高层南别墅采光好,建业置地广场 -泰和城商圈,3室2厅 | 115平米 | 南 | 毛坯 | 低楼层(共18层)  | 板塔结合,8人关注 / 一年前发布,75,"6,522元/平"
新房中间楼层，采光很好 ，双阳台,佳利金色东方佳苑 -文昌大道佳丽商圈,3室2厅 | 120.24平米 | 南 | 毛坯 | 中楼层(共26层)  | 暂无数据,53人关注 / 一年前发布,51,"4,242元/平"
房子是毛坯四室可以装修自己喜欢的风格，诚心出售,欧景国际 -沈丘县,4室2厅 | 155平米 | 南 | 毛坯 | 高楼层(共20层)  | 塔楼,2人关注 / 一年前发布,79,"5,097元/平"
颍河嘉园，有证可以按揭，随时可以过户，小区配套成熟,颍河嘉园 -沈丘县,3室2厅 | 132.9平米 | 南 | 简装 | 中楼层(共7层)  | 板塔结合,2人关注 / 5个月以前发布,55,"4,139元/平"
文昌大道佳利   毛坯四房     两梯两户,佳利金色东方佳苑 -文昌大道佳丽商圈,4室2厅 | 123.63平米 | 南 | 毛坯 | 高楼层(共18层)  | 板楼,14人关注 / 一年前发布,69,"5,582元/平"
"康馨小区,双卧朝南,采光充足,现房",康馨佳园（阳光路） -沈丘县,3室2厅 | 123.88平米 | 南 | 毛坯 | 中楼层(共25层)  | 板塔结合,1人关注 / 一年前发布,59,"4,763元/平"
三居室，户型方正，小区环境优美，,康馨庄园 -沈丘县,3室1厅 | 118.04平米 | 南 | 毛坯 | 高楼层(共17层)  | 板楼,2人关注 / 11个月以前发布,58,"4,914元/平"
亿豪花园，位置好出行便利，购物便利。,亿豪花园 -沈丘县,3室2厅 | 132.12平米 | 南 | 毛坯 | 高楼层(共18层)  | 板塔结合,4人关注 / 一年前发布,54,"4,088元/平"
华裕广场  精装修  未入住 随时可以看房,华裕广场 -沈丘县,3室2厅 | 130平米 | 南 | 精装 | 中楼层(共26层)  | 塔楼,1人关注 / 4个月以前发布,62,"4,770元/平"
户型合理看房方便，两个卧室朝阳，,建业未来城 -川汇区政府商圈,3室2厅 | 109平米 | 南 | 毛坯 | 中楼层(共18层)  | 板塔结合,0人关注 / 一年前发布,63,"5,780元/平"
此房大三房诚心出售户型合理楼层居中适合居住,择邻名苑 -川汇区政府商圈,2室2厅 | 88平米 | 南 | 精装 | 中楼层(共16层)  | 暂无数据,0人关注 / 9个月以前发布,46,"5,228元/平"
瑞隆城，电梯房，中间楼层，精装修，可以拎包入住，，,瑞隆城 -沈丘县,3室2厅 | 120.8平米 | 南 | 精装 | 中楼层(共18层)  | 板塔结合,0人关注 / 5个月以前发布,58,"4,802元/平"
毛坯大三房   有证税满按揭   户型方正,翔宇花园(中州路) -川汇区政府商圈,3室2厅 | 131平米 | 南 | 毛坯 | 中楼层(共7层)  | 暂无数据,30人关注 / 一年前发布,51,"3,894元/平"
嘉和园公园新城3-1-1-1 128.60m² 46 万,嘉和园公园新城 -五一广场商圈,3室1厅 | 128.6平米 | 南 北 | 毛坯 | 高楼层(共19层)  | 暂无数据,21人关注 / 一年前发布,37,"2,878元/平"
水池边，电梯洋房，一梯两户，公摊较少,昌隆·御景苑 -文昌大道佳丽商圈,3室1厅 | 128平米 | 南 | 精装 | 高楼层(共12层)  | 平房,4人关注 / 5个月以前发布,65,"5,079元/平"
直接不用动，你搬进来就可以住，不用担心甲醛问题,奥兰未来城 -沈丘县,3室2厅 | 90平米 | 南 | 精装 | 高楼层(共25层)  | 暂无数据,3人关注 / 5个月以前发布,49,"5,445元/平"
金色东方佳苑精装未入住新房，楼栋位置好，可按揭,佳利金色东方佳苑 -文昌大道佳丽商圈,3室2厅 | 118平米 | 南 | 毛坯 | 高楼层(共26层)  | 板楼,5人关注 / 一年前发布,78,"6,611元/平"
佳利佳苑精装三房，包含家具家电，业主诚心出售！,佳利金色东方佳苑 -文昌大道佳丽商圈,3室2厅 | 105平米 | 南 | 精装 | 高楼层(共26层)  | 板楼,13人关注 / 一年前发布,69,"6,572元/平"
此房为多层洋房一梯两户有证可分期看房方便,建业未来城 -川汇区政府商圈,3室2厅 | 129平米 | 南 | 简装 | 高楼层(共6层)  | 暂无数据,52人关注 / 一年前发布,64,"4,962元/平"
北辰桂园装修装修花30多万可以正常首付,北辰桂园 -川汇区政府商圈,4室2厅 | 140平米 | 南 北 | 精装 | 高楼层(共17层)  | 暂无数据,3人关注 / 一年前发布,81,"5,786元/平"
北广场繁华地段多层洋房精装大两房,建业未来城 -川汇区政府商圈,2室2厅 | 97平米 | 南 | 精装 | 高楼层(共4层)  | 板楼,4人关注 / 4个月以前发布,50,"5,155元/平"
择邻铭苑精装修电梯两居室全天采光无遮挡欢迎看房有证,择邻名苑 -川汇区政府商圈,2室2厅 | 89.99平米 | 南 | 精装 | 中楼层(共7层)  | 塔楼,4人关注 / 4个月以前发布,49,"5,446元/平"
精装修，拎包入住，大产权，有证可按揭,泊龙湾 -沈丘县,3室2厅 | 132.7平米 | 南 | 精装 | 中楼层(共11层)  | 塔楼,1人关注 / 5个月以前发布,73,"5,502元/平"
周口碧桂园，毛坯大三房，中间好楼层，有证满二,周口碧桂园 -东新区商圈,3室2厅 | 128.8平米 | 南 | 毛坯 | 中楼层(共26层)  | 平房,0人关注 / 8个月以前发布,88,"6,833元/平"
业主急卖  精装2室，楼间距大，户型通透，采光好,恒大名都 -东新区商圈,2室2厅 | 83平米 | 南 | 简装 | 低楼层(共32层)  | 板楼,0人关注 / 5个月以前发布,67.8,"8,169元/平"
东侧是联营职专，小区内有配套幼儿园，,恒大名都 -东新区商圈,2室2厅 | 82平米 | 南 | 精装 | 低楼层(共26层)  | 板楼,52人关注 / 一年前发布,62,"7,561元/平"
建业森林半岛 精装修两房 诚心出售,建业森林半岛 -周师商圈,2室2厅 | 89平米 | 西南 | 精装 | 中楼层(共26层)  | 板塔结合,2人关注 / 6个月以前发布,64.8,"7,281元/平"
东新区建业精装修证全，装修花28万多，可以按揭,建业森林半岛 -周师商圈,3室2厅 | 116平米 | 南 北 | 精装 | 高楼层(共26层)  | 板塔结合,19人关注 / 一年前发布,81,"6,983元/平"
东新区政务区板块 高得房大三房 诚售,天明城·人和苑 -东新区商圈,3室2厅 | 120平米 | 西南 | 精装 | 低楼层(共18层)  | 板楼,5人关注 / 一年前发布,69,"5,750元/平"
此房精装交付，楼层好，采光也不错，，，，，，，，,恒大名都 -东新区商圈,3室2厅 | 122.15平米 | 南 | 精装 | 高楼层(共26层)  | 板楼,0人关注 / 3个月以前发布,82,"6,714元/平"
业主急售 2房1卫 房屋通透，精装2房,汇丰苑 -川汇区政府商圈,2室2厅 | 91.3平米 | 南 | 其他 | 中楼层(共6层)  | 板塔结合,0人关注 / 26天以前发布,26,"2,848元/平"
新上房源，腾龙精装三房，税满可按揭，诚心出售,腾龙名都 -万基城商圈,3室2厅 | 123平米 | 东南 | 其他 | 中楼层(共27层)  | 塔楼,0人关注 / 2个月以前发布,78,"6,342元/平"
小区环境优美，出行方便，上亿西边,欧景国际 -沈丘县,4室2厅 | 155平米 | 南 | 毛坯 | 高楼层(共20层)  | 板楼,1人关注 / 7个月以前发布,79,"5,097元/平"
小区共计东 西 中三个主景观配置会客厅,君邻府 -沈丘县,3室2厅 | 141.44平米 | 南 | 毛坯 | 中楼层(共9层)  | 暂无数据,2人关注 / 10个月以前发布,87,"6,152元/平"
康馨小区 电梯房  三室两厅  中间楼层位置采光好,康馨佳园（阳光路） -沈丘县,3室2厅 | 101平米 | 南 | 简装 | 高楼层(共25层)  | 板塔结合,2人关注 / 一年前发布,50,"4,951元/平"
格林绿色港湾 精装修电梯大三房中低楼层全天采光,格林绿色港湾 -万基城商圈,3室2厅 | 150.7平米 | 南 | 简装 | 低楼层(共18层)  | 板塔结合,1人关注 / 3个月以前发布,89,"5,906元/平"
北辰桂园 小区环境好 中间楼层,北辰桂园 -川汇区政府商圈,3室2厅 | 126平米 | 南 | 毛坯 | 中楼层(共17层)  | 板楼,1人关注 / 一年前发布,69,"5,477元/平"
沈丘地暖小区不多见，温馨三室，拎包入住，随时可看,奥兰未来城 -沈丘县,3室2厅 | 90平米 | 南 | 简装 | 中楼层(共25层)  | 暂无数据,13人关注 / 9个月以前发布,51.6,"5,734元/平"
颖河嘉园低楼层 精装修位置好 有钥匙可随时看房,颍河嘉园 -沈丘县,3室2厅 | 117平米 | 东 | 精装 | 中楼层(共6层)  | 板塔结合,10人关注 / 一年前发布,50,"4,274元/平"
御景国际，精装修 ，户型格局好,御景国际小区 -沈丘县,3室2厅 | 110平米 | 南 | 精装 | 中楼层(共32层)  | 暂无数据,3人关注 / 一年前发布,59.8,"5,437元/平"
瑞纳花园 精装三室  采光刺眼 上学方便,瑞纳花园 -沈丘县,3室2厅 | 143.94平米 | 南 | 精装 | 高楼层(共7层)  | 平房,3人关注 / 一年前发布,77.5,"5,385元/平"
小区位于周口开发区，东临汉阳路、北临建设路、,书源阁 -川汇区政府商圈,3室1厅 | 84平米 | 南 | 其他 | 低楼层(共3层)  | 板楼,11人关注 / 10个月以前发布,27,"3,215元/平"
物资局家属院有证可过户，出售3室2厅133.94平价位合理,物资局家属院 -川汇区政府商圈,3室2厅 | 133.94平米 | 南 | 简装 | 高楼层(共5层)  | 板塔结合,37人关注 / 一年前发布,35,"2,614元/平"
此房双阳台，电梯洋房，楼层好，采光好 楼间距宽,君邻府 -沈丘县,3室2厅 | 122平米 | 南 北 | 毛坯 | 中楼层(共9层)  | 塔楼,0人关注 / 4个月以前发布,73,"5,984元/平"
石油公司家属院 精装 中间楼层 有证可过户,周口石油分公司家属楼 -中心医院商圈,2室1厅 | 66.34平米 | 南 | 精装 | 中楼层(共6层)  | 平房,4人关注 / 5个月以前发布,23,"3,467元/平"
易天国际 南户 采光好 装修精致,易天国际广场 -五一广场商圈,1室1厅 | 32平米 | 南 | 精装 | 高楼层(共32层)  | 板楼,1人关注 / 8个月以前发布,17,"5,313元/平"
观景洋房 南北双阳台 三开间朝南 一梯两户,康馨·澜悦湾 -沈丘县,3室2厅 | 141.38平米 | 南 北 | 精装 | 低楼层(共17层)  | 暂无数据,7人关注 / 一年前发布,100,"7,074元/平"
此房有证税满 视野宽阔 采光充足 配套设施齐全,现代城世锦园 -现代城商圈,1室1厅 | 54平米 | 南 | 精装 | 中楼层(共24层)  | 板楼,0人关注 / 5个月以前发布,35,"6,482元/平"
新区体育场旁，泰园小区，新小区，环境好，精装两室,泰园 -沈丘县,2室2厅 | 92.07平米 | 东 | 精装 | 高楼层(共7层)  | 塔楼,1人关注 / 一年前发布,50,"5,431元/平"
华裕广场 装修温馨  户型方正 产权清晰,华裕广场 -沈丘县,2室2厅 | 101.35平米 | 南 | 简装 | 高楼层(共26层)  | 塔楼,1人关注 / 4个月以前发布,43,"4,243元/平"
滨江国际住宅式公寓，诚心卖价格低,滨江国际星城 -五一广场商圈,1室1厅 | 46平米 | 南 | 精装 | 中楼层(共26层)  | 板塔结合,13人关注 / 一年前发布,20.3,"4,414元/平"
此房精装修，温馨小三居。楼层好，采光刺眼。,奥兰未来城 -沈丘县,3室2厅 | 107平米 | 南 | 精装 | 中楼层(共25层)  | 暂无数据,1人关注 / 一年前发布,64,"5,982元/平"
河北新区体育场旁，精装一居室，有证可按揭，拎包入住,泰园 -沈丘县,1室1厅 | 41平米 | 西 | 精装 | 中楼层(共7层)  | 塔楼,2人关注 / 6个月以前发布,25.5,"6,220元/平"
单身公寓，价格便宜，适合上班族出行方便,海燕鑫聚 -五一广场商圈,2室1厅 | 72平米 | 南 | 简装 | 高楼层(共26层)  | 板塔结合,19人关注 / 一年前发布,22,"3,056元/平"
户型方正 视野开阔 采光好 交通方便,易天国际广场 -五一广场商圈,1室1厅 | 45平米 | 南 | 简装 | 高楼层(共32层)  | 板楼,0人关注 / 7个月以前发布,19,"4,223元/平"
"户型方正,采光好,房间大,前后无位遮挡环境优美,",颍滨上城 -沈丘县,3室2厅 | 136.44平米 | 南 | 毛坯 | 低楼层(共17层)  | 暂无数据,4人关注 / 一年前发布,72,"5,278元/平"
佳利金色东方   新上  大三房  精装修   有证可按揭,佳利金色东方信苑 -文昌大道佳丽商圈,3室2厅 | 120平米 | 南 | 精装 | 高楼层(共26层)  | 塔楼,9人关注 / 一年前发布,71,"5,917元/平"
龙祥第，电梯两室，精装，采光好，可按揭，可公积金,龙祥第 -兰亭山水商圈,2室1厅 | 104.8平米 | 南 | 精装 | 高楼层(共24层)  | 板塔结合,10人关注 / 一年前发布,52,"4,962元/平"
此房为2楼，精装三房，有证可按揭,文博苑 -川汇区政府商圈,3室2厅 | 110平米 | 南 | 简装 | 中楼层(共7层)  | 板塔结合,7人关注 / 11个月以前发布,52,"4,728元/平"
此房精装大三房，户型好，采光好，通风好，,择邻名苑 -川汇区政府商圈,3室2厅 | 103平米 | 东南 | 精装 | 高楼层(共10层)  | 塔楼,0人关注 / 一年前发布,60,"5,826元/平"
现代城三期带中 央空调，精装拎包入住有证可按揭，,泰地现代城 -现代城商圈,3室2厅 | 143.9平米 | 东 | 精装 | 低楼层(共24层)  | 板塔结合,28人关注 / 一年前发布,88,"6,116元/平"
翔宇花园，三室二厅二卫，毛坯房，可以按揭,翔宇花园(中州路) -川汇区政府商圈,3室2厅 | 127.76平米 | 南 北 | 毛坯 | 低楼层(共15层)  | 暂无数据,3人关注 / 一年前发布,68,"5,323元/平"
滨河花园 158.00m² 电梯房，有证可按揭,滨河花园 -五一广场商圈,4室2厅 | 158平米 | 南 | 精装 | 中楼层(共10层)  | 板塔结合,31人关注 / 一年前发布,60,"3,798元/平"
东西朝向，通透户型，家电家具齐全，证在手，可按揭,世纪豪庭 -沈丘县,2室2厅 | 93.37平米 | 东 | 简装 | 中楼层(共6层)  | 板楼,9人关注 / 5个月以前发布,35,"3,749元/平"
