标题,开发商,房子信息,发布信息,售价/万,单价
世纪城五区 好楼层 南北通透 精装修 可贷款,世纪城▪五区 -市区商圈,3室2厅 | 127平米 | 南 北 | 其他 | 高楼层(共26层)  | 板楼,0人关注 / 15天以前发布,186,"14,646元/平"
临河观景，地理位置优越，交通方便,世纪城▪五区 -市区商圈,2室2厅 | 96平米 | 南 北 | 其他 | 低楼层(共24层)  | 板楼,0人关注 / 11个月以前发布,135,"14,063元/平"
此房南北通透，大3室偏厅，带18.5平地下室,碧翠园 -平泉市,3室1厅 | 112平米 | 南 北 | 其他 | 低楼层(共7层)  | 暂无数据,1人关注 / 1个月以前发布,28,"2,500元/平"
集荣丽景 2室1厅 南 北,集荣丽景 -兴隆县,2室1厅 | 89.04平米 | 南 北 | 其他 | 高楼层(共6层)  | 暂无数据,2人关注 / 4个月以前发布,65,"7,301元/平"
隆城国际 3室1厅 南 北,隆城国际 -兴隆县,3室1厅 | 113.55平米 | 南 北 | 其他 | 中楼层(共16层)  | 暂无数据,0人关注 / 1个月以前发布,85,"7,486元/平"
御龙湾小区125平，只要95万，带车位，带地下室,御龙湾小区 -开发区商圈,3室2厅 | 125平米 | 南 北 | 其他 | 高楼层(共33层)  | 板塔结合,1人关注 / 8个月以前发布,85,"6,800元/平"
天瑞城 3室2厅 南 北,天瑞城 -兴隆县,3室2厅 | 128.19平米 | 南 北 | 毛坯 | 高楼层(共18层)  | 暂无数据,7人关注 / 4个月以前发布,77,"6,007元/平"
椿林苑，小三居户型，拎包入住，带地下室，本满二年,椿林苑 -开发区商圈,3室2厅 | 103平米 | 南 | 其他 | 低楼层(共21层)  | 暂无数据,1人关注 / 2个月以前发布,72,"6,991元/平"
兴隆精品大房子，品牌家电装修精美，园林社区。,龙祥源 -兴隆县,3室2厅 | 150.96平米 | 西 北 | 其他 | 高楼层(共13层)  | 暂无数据,1人关注 / 3个月以前发布,106,"7,022元/平"
兴隆县城美丰家园小区四居室好房出售,美峰家园 -兴隆县,4室2厅 | 150平米 | 南 北 | 其他 | 高楼层(共17层)  | 暂无数据,0人关注 / 2个月以前发布,83,"5,534元/平"
兴隆御景 3室1厅 南,兴隆御景 -兴隆县,3室1厅 | 108平米 | 南 | 其他 | 低楼层(共15层)  | 暂无数据,0人关注 / 1个月以前发布,56,"5,186元/平"
精装修两室 位置好 楼层好 带地下室 看房方便停车方便,万和城C区 -双滦区,2室2厅 | 91.7平米 | 南 | 简装 | 中楼层(共25层)  | 板塔结合,1人关注 / 11个月以前发布,64,"6,980元/平"
南北通透 明厅2楼 老本能贷款 随时看房诚意出售,佟王府小区 -市区商圈,3室2厅 | 82平米 | 南 北 | 简装 | 低楼层(共9层)  | 暂无数据,2人关注 / 3个月以前发布,80,"9,757元/平"
乾正家园前排大三居全天采光无遮挡，有本可贷款。,乾正家园 -开发区商圈,3室2厅 | 131.69平米 | 南 北 | 其他 | 高楼层(共27层)  | 暂无数据,1人关注 / 7个月以前发布,95,"7,214元/平"
承泽府 把东户全明精装3室 房本满两年 诚意出售可贷款,世纪城·承泽府 -市区商圈,3室2厅 | 150平米 | 南 北 | 精装 | 低楼层(共26层)  | 板楼,1人关注 / 1个月以前发布,255,"17,000元/平"
和润新城南北双通透两居室 精装修一天没住过 采光好,和润新城 -开发区商圈,2室2厅 | 98平米 | 南 北 | 精装 | 中楼层(共17层)  | 板塔结合,9人关注 / 8个月以前发布,85,"8,674元/平"
下二道河子，南北通透，123平大三居。,鸿时利和 -市区商圈,3室1厅 | 123平米 | 南 北 | 其他 | 中楼层(共25层)  | 塔楼,0人关注 / 一年前发布,115,"9,350元/平"
世纪城二区 精装修 南北通透 老本可贷款,世纪城二区 -市区商圈,3室2厅 | 127平米 | 南 北 | 其他 | 中楼层(共16层)  | 塔楼,2人关注 / 3个月以前发布,170,"13,386元/平"
魁福园  平地不上坡 有本能贷款 业主急售 看房方便,魁福园 -市区商圈,2室2厅 | 84平米 | 南 北 | 其他 | 低楼层(共8层)  | 暂无数据,0人关注 / 6个月以前发布,73,"8,691元/平"
电梯洋房次顶楼，精装修全天采光视野开阔。,五号公馆 -平泉市,3室2厅 | 117.08平米 | 北 南 | 其他 | 高楼层(共8层)  | 暂无数据,0人关注 / 1个月以前发布,98,"8,371元/平"
此房南北通透格局，楼层好，视野开阔，采光充足,铂悦山四期 -开发区商圈,3室2厅 | 123平米 | 北 南 | 其他 | 低楼层(共8层)  | 暂无数据,0人关注 / 3个月以前发布,148,"12,033元/平"
中兴路小区 次顶层 南北通透 地理位置优越 可贷款,中兴路小区 -市区商圈,3室1厅 | 79平米 | 南 北 | 其他 | 高楼层(共7层)  | 板楼,0人关注 / 3个月以前发布,72,"9,114元/平"
滦阳御园精品3居，品质小区，中间楼层,滦阳御园小区 -开发区商圈,3室2厅 | 127平米 | 南 北 | 其他 | 中楼层(共23层)  | 暂无数据,0人关注 / 2个月以前发布,135,"10,630元/平"
此房位置好.离小区门口近，出行方便，格局合理,鹏鸣 -兴隆县,2室1厅 | 100平米 | 南 | 其他 | 低楼层(共6层)  | 暂无数据,0人关注 / 7个月以前发布,62,"6,200元/平"
兴隆秀水小区三居二卫。急售，中高楼层,燕隆秀水小区 -兴隆县,3室2厅 | 130平米 | 南 北 | 其他 | 中楼层(共28层)  | 暂无数据,0人关注 / 2个月以前发布,70,"5,385元/平"
兴隆御景 3室2厅 南 北,兴隆御景 -兴隆县,3室2厅 | 123.2平米 | 南 北 | 其他 | 低楼层(共26层)  | 暂无数据,0人关注 / 2天以前发布,82,"6,656元/平"
香江卡纳溪谷一期 全南两居 户型方正,香江·卡纳溪谷 -开发区商圈,2室1厅 | 78平米 | 南 | 简装 | 中楼层(共27层)  | 暂无数据,0人关注 / 一年前发布,55,"7,052元/平"
翠桥路 天山水榭花都 花园小区 精装三居室,承德·天山水榭花都 -市区商圈,3室2厅 | 108平米 | 南 北 | 其他 | 低楼层(共22层)  | 暂无数据,0人关注 / 2天以前发布,130,"12,038元/平"
朗园南北通透两居室有本可贷款毛坯房,和润朗园 -开发区商圈,2室2厅 | 98.12平米 | 南 北 | 其他 | 高楼层(共17层)  | 暂无数据,0人关注 / 一年前发布,75,"7,644元/平"
诚心出售日昱东苑71平两室32万,日昱东苑小区 -市区商圈,2室1厅 | 71平米 | 南 北 | 简装 | 中楼层(共6层)  | 暂无数据,0人关注 / 16天以前发布,32,"4,508元/平"
成熟小区 视野开阔 是您满意居家的不二选择之地,万福家园 -开发区商圈,2室2厅 | 114平米 | 南 | 毛坯 | 低楼层(共27层)  | 暂无数据,0人关注 / 一年前发布,88,"7,720元/平"
中兴路小区平地不上坡   交通便利,中兴路小区 -市区商圈,2室1厅 | 53.5平米 | 东 西 | 简装 | 中楼层(共7层)  | 暂无数据,1人关注 / 一年前发布,54,"10,094元/平"
此房户型方正标准的H户型 布局合理  采光好,和润新城 -开发区商圈,2室2厅 | 87.58平米 | 南 北 | 简装 | 低楼层(共28层)  | 暂无数据,5人关注 / 一年前发布,78,"8,907元/平"
带露台的两居室  南北通透 性价   比高,世纪城二区 -市区商圈,2室2厅 | 90.45平米 | 南 北 | 精装 | 低楼层(共11层)  | 塔楼,1人关注 / 一年前发布,120,"13,267元/平"
此房不上坡，位于小区口位置，精装修,中泰·自然城 -市区商圈,1室1厅 | 50平米 | 东 北 | 精装 | 高楼层(共18层)  | 塔楼,0人关注 / 2个月以前发布,50,"10,000元/平"
兴隆御景 3室2厅 南 北,兴隆御景 -兴隆县,3室2厅 | 124.9平米 | 南 北 | 简装 | 低楼层(共26层)  | 暂无数据,1人关注 / 3个月以前发布,60,"4,804元/平"
富家沟富丽花园南北正房小三居采光好全明户型交通方便,富丽花园 -市区商圈,3室1厅 | 82.36平米 | 南 北 | 简装 | 中楼层(共7层)  | 板楼,0人关注 / 一年前发布,69,"8,378元/平"
南兴隆小区 南北通透 平地不上坡 紧 邻山庄 交通便利,山庄宾馆家属楼 -市区商圈,3室1厅 | 83平米 | 南 北 | 简装 | 低楼层(共6层)  | 暂无数据,0人关注 / 一年前发布,90,"10,844元/平"
云西小区 76平  86万 看房方便,云西小区 -市区商圈,2室2厅 | 75.62平米 | 南 北 | 简装 | 低楼层(共7层)  | 板楼,0人关注 / 一年前发布,76,"10,051元/平"
世纪城二期 小高层96平精装2室出售 老房本可贷款！,世纪城二区 -市区商圈,2室1厅 | 95.91平米 | 南 | 精装 | 高楼层(共22层)  | 塔楼,0人关注 / 3个月以前发布,128,"13,346元/平"
乾正家园精装修小三居户型方正，布局合理视野开阔,乾正家园 -开发区商圈,3室2厅 | 101平米 | 南 | 简装 | 中楼层(共28层)  | 板塔结合,10人关注 / 5个月以前发布,75,"7,426元/平"
世纪城三区  临河观景房 户型方正 全天采光  视野开阔,世纪城三区 -市区商圈,2室2厅 | 97平米 | 南 | 精装 | 低楼层(共24层)  | 板楼,0人关注 / 2个月以前发布,128,"13,196元/平"
文軒茗園 2室2厅 南,文軒茗園 -开发区商圈,2室2厅 | 82.74平米 | 南 | 简装 | 高楼层(共33层)  | 暂无数据,0人关注 / 3个月以前发布,68,"8,219元/平"
世纪城▪五区2-1-1-1 96.00m² 130 万,世纪城▪五区 -市区商圈,2室1厅 | 96平米 | 南 北 | 其他 | 低楼层(共24层)  | 板楼,1人关注 / 一年前发布,100,"10,417元/平"
