标题,开发商,房子信息,发布信息,售价/万,单价
景苑花园 5室2厅 南 北,景苑花园 -一号公馆,5室2厅 | 239.92平米 | 南 北 | 精装 | 低楼层(共11层)  | 板塔结合,0人关注 / 10天以前发布,145,"6,044元/平"
东河区巴彦街汽配城D区住宅楼 精装修两居室方便看房,汽配城D区住宅楼 -长途汽车站,2室2厅 | 82.06平米 | 南 北 | 精装 | 低楼层(共6层)  | 板楼,14人关注 / 一年前发布,38,"4,631元/平"
此房好楼层好地段经典侧户有本可配贷款,锦绣香格里拉花园 -蒙中医院,2室1厅 | 69平米 | 南 北 | 精装 | 中楼层(共6层)  | 板楼,2人关注 / 一年前发布,33,"4,783元/平"
满五年唯一，视野开阔，采光充足，配套齐全。,百兴小区 -二机二中双学区,2室1厅 | 75.48平米 | 南 北 | 精装 | 高楼层(共6层)  | 板楼,2人关注 / 4个月以前发布,81,"10,732元/平"
人民公园旁 精装带家具  南北通透 拎包入住,贵发山庄 -西脑包,1室1厅 | 57.71平米 | 南 北 | 精装 | 低楼层(共6层)  | 板楼,1人关注 / 7个月以前发布,22.5,"3,899元/平"
不吃差价，不收返费，好房出售，位置好,友谊小区 -友谊广场,2室1厅 | 57.12平米 | 南 | 精装 | 高楼层(共7层)  | 暂无数据,3人关注 / 4个月以前发布,53,"9,279元/平"
昆区    友谊19小区    精装修婚房   中间楼侧户双阳,友谊19号街坊三区 -包头乐园,1室1厅 | 64平米 | 南 北 | 精装 | 高楼层(共6层)  | 暂无数据,0人关注 / 6天以前发布,41.5,"6,485元/平"
不吃差价 不收返费 恒大名都 小户型 精装 看房方便,恒大名都 -东亚,2室1厅 | 97.8平米 | 南 | 精装 | 高楼层(共18层)  | 板楼,0人关注 / 5天以前发布,77,"7,874元/平"
不吃差价不收返费，好地段标准三楼前后无遮挡格局好,警官花园 -106小商品城,2室2厅 | 115.23平米 | 南 北 | 简装 | 中楼层(共6层)  | 板楼,0人关注 / 4天以前发布,101,"8,766元/平"
高新区 鹿港小镇紧挨锦绣公园 劳模公园 出行方便,鹿港小镇 -鹿港小镇,2室1厅 | 84.58平米 | 南 北 | 精装 | 高楼层(共18层)  | 板楼,0人关注 / 13天以前发布,67,"7,922元/平"
乌兰小区精装修5楼 出售 采光好,乌兰小区 -包二十九中,2室1厅 | 62.48平米 | 南 西 | 简装 | 中楼层(共7层)  | 板楼,6人关注 / 一年前发布,89,"14,245元/平"
欧鹿 别墅 毛坯 不临街 好位置  4居 看房方便,欧鹿生活城 -民主路,4室3厅 | 298.63平米 | 南 | 毛坯 | 中楼层(共6层)  | 板楼,16人关注 / 7个月以前发布,188,"6,296元/平"
格局好 楼层好 视野宽阔 采光充足 配套实施齐,松石名第 -内蒙古科技大学,3室2厅 | 170.21平米 | 南 北 | 精装 | 中楼层(共14层)  | 板楼,4人关注 / 一年前发布,125,"7,344元/平"
昆区少先223居双阳卧室精装修家具家电全带,少先路22号街坊 -106小商品城,3室1厅 | 84.72平米 | 南 北 | 精装 | 高楼层(共6层)  | 板楼,10人关注 / 一年前发布,73,"8,617元/平"
不吃差价 不收返费 三室双阳卧户型  小区位置,京奥港花园 -东亚,3室1厅 | 115.21平米 | 南 北 | 精装 | 低楼层(共22层)  | 板塔结合,3人关注 / 7个月以前发布,90,"7,812元/平"
保利商圈三居 精装修 人车分流  配套完善,当代菁英国际 -万郡,3室2厅 | 129.19平米 | 南 北 | 精装 | 低楼层(共28层)  | 板楼,13人关注 / 11个月以前发布,90,"6,967元/平"
阳光交易 不收卖房返费 不吃买方差价,一机民二小区 -民主路,2室1厅 | 71.96平米 | 南 北 | 精装 | 低楼层(共6层)  | 板楼,0人关注 / 3个月以前发布,64,"8,894元/平"
保利花园 3室2厅 南 北,保利花园 -保利,3室2厅 | 141.63平米 | 南 北 | 精装 | 低楼层(共9层)  | 板楼,12人关注 / 一年前发布,118,"8,332元/平"
青年路七号街坊 好房出售 一楼精装  位置好 业主自住,青年路七号街坊 -包二十九中,3室1厅 | 68.47平米 | 南 北 | 精装 | 低楼层(共4层)  | 板楼,0人关注 / 2个月以前发布,108,"15,774元/平"
5楼 振华二区 标准三室户型 万达正翔商圈 价格可议,振华二区 -口岸花园,3室2厅 | 138.24平米 | 南 北 | 简装 | 高楼层(共6层)  | 板塔结合,8人关注 / 一年前发布,91,"6,583元/平"
不吃差价 不收返费 品质小区 经典格局 繁华地段,保利拉菲公馆 -东亚,2室2厅 | 113.5平米 | 南 | 精装 | 低楼层(共18层)  | 塔楼,4人关注 / 5个月以前发布,81.9,"7,216元/平"
华发新城 三室双阳卧中高楼层 重新软装过 看房方便,华发新城 -东亚,3室2厅 | 157平米 | 南 北 | 精装 | 高楼层(共18层)  | 板楼,0人关注 / 2个月以前发布,165,"10,510元/平"
此房是2室1厅1卫 标准阳卧户型，简单装修,阿尔丁小区 -包头乐园,2室1厅 | 68.12平米 | 南 北 | 简装 | 高楼层(共6层)  | 暂无数据,1人关注 / 7个月以前发布,62,"9,102元/平"
业主诚意出售，看房方便，价格可议,恒源城市风景 -沙河街,2室2厅 | 105.46平米 | 南 北 | 其他 | 低楼层(共18层)  | 暂无数据,0人关注 / 17天以前发布,73,"6,923元/平"
不吃差价 不收返费 广基花园  三阳户型有钥匙,广基花园 -106小商品城,3室2厅 | 131平米 | 南 北 | 简装 | 中楼层(共6层)  | 暂无数据,12人关注 / 一年前发布,98,"7,481元/平"
不吃差价 不收返费 空户 看房方便价格可议,凯旋银河线 -包二十九中,1室1厅 | 55平米 | 南 | 精装 | 低楼层(共30层)  | 板楼,0人关注 / 12天以前发布,47,"8,546元/平"
三江尊园---楼房位置--楼层好。。,三江尊园 -中建御澜世家,4室2厅 | 291平米 | 南 北 | 其他 | 低楼层(共31层)  | 板塔结合,5人关注 / 一年前发布,230,"7,904元/平"
春光二区5楼72平55万精装随时看房,春光小区 -五一市场,2室1厅 | 71.4平米 | 南 北 | 精装 | 高楼层(共6层)  | 板楼,18人关注 / 一年前发布,51,"7,143元/平"
钢25号街坊，包百，一附院，青二.小,包医一附院 -包百,1室1厅 | 36.53平米 | 南 | 其他 | 中楼层(共5层)  | 板楼,1人关注 / 2个月以前发布,31,"8,487元/平"
和平路西小区 2室1厅 南,和平路西小区 -通顺,2室1厅 | 62.72平米 | 南 | 其他 | 中楼层(共6层)  | 板楼,1人关注 / 1个月以前发布,30.9,"4,927元/平"
万达精装公寓70年产权无大税可贷款70%,万达广场公寓 -万达,1室0厅 | 52.67平米 | 东 | 精装 | 高楼层(共27层)  | 板塔结合,1人关注 / 8个月以前发布,35,"6,646元/平"
高新区 鹿港小镇 电梯中间楼层 采光无遮 精装,鹿港小镇 -鹿港小镇,3室2厅 | 118.5平米 | 南 | 精装 | 中楼层(共18层)  | 板楼,0人关注 / 19天以前发布,95,"8,017元/平"
阿尔丁小区 3室1厅 南 北,阿尔丁小区 -包头乐园,3室1厅 | 68.31平米 | 南 北 | 简装 | 低楼层(共6层)  | 板楼,0人关注 / 23天以前发布,68,"9,955元/平"
檀香湾 3室2厅 南 北,檀香湾 -中建御澜世家,3室2厅 | 119.31平米 | 南 北 | 其他 | 中楼层(共30层)  | 板塔结合,0人关注 / 28天以前发布,83,"6,957元/平"
环西住宅楼 2室1厅 南 北,环西住宅楼 -通顺,2室1厅 | 63平米 | 南 北 | 精装 | 低楼层(共6层)  | 板楼,0人关注 / 11天以前发布,32.5,"5,159元/平"
不吃差价，不收返费，吾悦 精装修 109万价格可议,包头昆区吾悦华府 -内蒙古科技大学,3室2厅 | 127平米 | 南 北 | 精装 | 中楼层(共33层)  | 板楼,0人关注 / 14天以前发布,109,"8,583元/平"
一宫环岛  精装步梯三楼  拎包入住,育才三段 -大连新型居住区,2室1厅 | 62.5平米 | 南 北 | 精装 | 中楼层(共6层)  | 板楼,0人关注 / 8天以前发布,51,"8,160元/平"
中建御澜世家 4室2厅 南,中建御澜世家 -中建御澜世家,4室2厅 | 160平米 | 南 | 其他 | 低楼层(共18层)  | 板楼,0人关注 / 10天以前发布,125,"7,813元/平"
不吃差价，不收返费。经典户型，可以贷款满五唯一,美室层双 -民馨家园,3室2厅 | 89.16平米 | 南 北 | 精装 | 低楼层(共21层)  | 板楼,0人关注 / 5个月以前发布,69,"7,739元/平"
不吃差价 不收返费 空户朝南 两居室2楼无大税,乌兰小区 -包二十九中,2室1厅 | 68.6平米 | 南 东 | 简装 | 低楼层(共6层)  | 板楼,3人关注 / 4个月以前发布,96,"13,995元/平"
东豪国际 三楼 83平米 南北通透 婚房装修  采光充足。,东豪新城 -东大桥,2室2厅 | 83平米 | 南 北 | 精装 | 中楼层(共6层)  | 板楼,1人关注 / 7个月以前发布,45,"5,422元/平"
中晟华悦带小院50平带地下90平米地下车位有充电桩,中晟华悦 -鹿港小镇,5室3厅 | 220平米 | 南 北 | 精装 | 低楼层(共12层)  | 板楼,0人关注 / 1个月以前发布,160,"7,273元/平"
中国中铁诺德国际花园 格局方正 房主诚意出售,中国中铁诺德国际花园 -南开小学,5室2厅 | 303平米 | 南 北 | 精装 | 低楼层(共30层)  | 板楼,4人关注 / 8个月以前发布,200,"6,601元/平"
主席强烈推荐优质湖景房 单价5895 钻石楼层 拎包入住,恒大名都 -东亚,4室2厅 | 285平米 | 南 北 | 精装 | 中楼层(共18层)  | 塔楼,17人关注 / 一年前发布,168,"5,895元/平"
九星 迎宾小区 四楼三室俩厅 精装婚房 带全套家具,迎宾小区 -万达,3室2厅 | 114平米 | 南 北 | 精装 | 中楼层(共6层)  | 塔楼,8人关注 / 一年前发布,92.5,"8,115元/平"
吾悦广场 中冶世家一期 中间楼层采光好精装,中冶世家一期 -内蒙古科技大学,3室2厅 | 144.07平米 | 南 北 | 精装 | 中楼层(共11层)  | 板塔结合,3人关注 / 一年前发布,128,"8,885元/平"
两层打通小别墅   居住环境舒适  楼栋位置很好,春意园 -大连新型居住区,6室4厅 | 305.82平米 | 南 北 | 精装 | 高楼层(共6层)  | 板楼,0人关注 / 2个月以前发布,159,"5,200元/平"
房主诚心出售，小区环境好，楼层适合各种人群,东方俪城 -东河区,2室2厅 | 110.42平米 | 南 北 | 毛坯 | 低楼层(共16层)  | 板楼,8人关注 / 一年前发布,45,"4,076元/平"
采光好     视野开阔    可贷款,恒大名都 -东亚,5室2厅 | 298.35平米 | 南 北 | 毛坯 | 低楼层(共18层)  | 板楼,13人关注 / 一年前发布,160,"5,363元/平"
南北通透格局，高楼层位置不挡光，配套设施齐全,包头东河吾悦广场 -西脑包,3室2厅 | 128平米 | 南 北 | 毛坯 | 高楼层(共19层)  | 暂无数据,9人关注 / 4个月以前发布,61,"4,766元/平"
万郡，精装，一楼带前院后院，地下室,万郡大都城 -万郡,3室2厅 | 208平米 | 南 北 | 精装 | 低楼层(共26层)  | 板楼,2人关注 / 一年前发布,200,"9,616元/平"
青六 57平  精装好房出售 总价低,青山路6号街坊 -民主路,2室1厅 | 57.12平米 | 南 北 | 精装 | 高楼层(共4层)  | 暂无数据,0人关注 / 14天以前发布,44,"7,704元/平"
房子精装修户型好，房东诚心出售,中晟华悦 -鹿港小镇,2室1厅 | 106平米 | 南 北 | 精装 | 中楼层(共28层)  | 板楼,0人关注 / 12天以前发布,87,"8,208元/平"
凯旋豪庭 1室1厅 南,凯旋豪庭 -八一公园,1室1厅 | 105.44平米 | 南 | 精装 | 中楼层(共32层)  | 板楼,0人关注 / 12天以前发布,109.5,"10,386元/平"
东亚香堤丽舍 2室2厅 南,东亚香堤丽舍 -广汇,2室2厅 | 75.44平米 | 南 | 精装 | 低楼层(共27层)  | 板楼,0人关注 / 10天以前发布,59,"7,821元/平"
友谊16街坊    二楼     简单干净,友谊大街16号街坊 -昆区华联,2室1厅 | 77.25平米 | 南 北 | 简装 | 低楼层(共6层)  | 暂无数据,0人关注 / 13天以前发布,68,"8,803元/平"
不吃差价不收返费房主急售 新都市区小两居精装修,富力城 -九原区,2室1厅 | 85.3平米 | 南 北 | 精装 | 中楼层(共24层)  | 板楼,4人关注 / 4个月以前发布,64,"7,503元/平"
日月豪庭两室两厅两卫经典双阳光，有本可贷款无大税,日月豪庭 -鹿港小镇,2室2厅 | 95.71平米 | 南 | 精装 | 高楼层(共15层)  | 板楼,10人关注 / 6个月以前发布,75,"7,837元/平"
东河商住城 2室2厅 南 北,东河商住城 -北梁新区,2室2厅 | 85平米 | 南 北 | 精装 | 低楼层(共6层)  | 板楼,1人关注 / 2个月以前发布,41,"4,824元/平"
松石名第 精装 三居室 10楼 全天采光 拎包入住,松石名第 -内蒙古科技大学,3室2厅 | 122.85平米 | 南 北 | 精装 | 中楼层(共17层)  | 板塔结合,1人关注 / 2个月以前发布,103,"8,385元/平"
强力推荐，空家出售，标准户型，,日月豪庭 -鹿港小镇,2室1厅 | 83.74平米 | 南 | 简装 | 高楼层(共11层)  | 板楼,3人关注 / 6个月以前发布,65,"7,763元/平"
富强路7号街坊 拎包入住 随时看房,富强路7号街坊 -九星,1室1厅 | 40平米 | 南 北 | 精装 | 低楼层(共6层)  | 板楼,2人关注 / 一年前发布,27,"6,750元/平"
凤凰楼层 全天采光 拎包入住 房东诚心出售 只带走回忆,京奥港花园 -东亚,3室2厅 | 120.89平米 | 南 北 | 精装 | 高楼层(共34层)  | 板塔结合,0人关注 / 2个月以前发布,96,"7,942元/平"
房屋南北通透 视野开阔无遮挡 阳光充足 简单装修,友谊小区 -友谊广场,2室1厅 | 68.12平米 | 南 北 | 简装 | 中楼层(共6层)  | 板楼,0人关注 / 1个月以前发布,76,"11,157元/平"
不吃差价 不收返费 新上富力城精装修拎包入住 楼层好,富力城 -九原区,2室2厅 | 99.24平米 | 南 北 | 精装 | 高楼层(共24层)  | 板楼,0人关注 / 3个月以前发布,72,"7,256元/平"
不吃差价 不收返费 满五 出小区医院 公园 双阳 采光好,友谊17号社区 -昆区华联,2室2厅 | 77.25平米 | 南 北 | 简装 | 低楼层(共6层)  | 暂无数据,1人关注 / 10个月以前发布,75,"9,709元/平"
房主诚心出售此房，楼层好，采光好，出行方便,矿机小区 -名人鞋城,2室1厅 | 59.29平米 | 东 西 | 简装 | 中楼层(共6层)  | 板楼,2人关注 / 8个月以前发布,14,"2,362元/平"
滨海名都二期，业主诚心急售，全新装修，一天未住,滨海名都二期 -南开小学,2室2厅 | 111平米 | 南 北 | 精装 | 高楼层(共30层)  | 板楼,0人关注 / 3个月以前发布,109,"9,820元/平"
急售赛汗塔拉 左岸绿洲：出门友谊大街南二 45中,当代左岸绿洲 -大连新型居住区,3室2厅 | 121.68平米 | 南 北 | 精装 | 低楼层(共19层)  | 板楼,2人关注 / 3个月以前发布,85.8,"7,052元/平"
稀土高新区    步梯三楼   高新一中,幸福南路一号街坊 -鹿港小镇,2室1厅 | 102.45平米 | 东 西 | 简装 | 中楼层(共6层)  | 板塔结合,12人关注 / 一年前发布,50,"4,881元/平"
滨海名都二期，顶账好房诚心出售,滨海名都二期 -南开小学,3室2厅 | 135.6平米 | 南 北 | 毛坯 | 低楼层(共30层)  | 板楼,2人关注 / 3个月以前发布,106,"7,818元/平"
逸民园 步梯4楼 四室 精装修 拎包入住 看房随时,逸民园 -大连新型居住区,4室2厅 | 131.76平米 | 南 北 | 精装 | 中楼层(共6层)  | 板楼,13人关注 / 一年前发布,90,"6,831元/平"
保利罗兰香谷 三居室  现代精装修婚房  随时看房,保利罗兰香谷 -九原区,3室2厅 | 121.28平米 | 南 北 | 精装 | 低楼层(共14层)  | 板楼,4人关注 / 9个月以前发布,49,"4,041元/平"
稀土开发区 东海花园 毛坯 采光好 可贷款,东海花园 -鹿港小镇,4室2厅 | 169平米 | 南 北 | 毛坯 | 中楼层(共5层)  | 板楼,17人关注 / 一年前发布,128,"7,574元/平"
青六新苑  一楼带小院  三室两厅两卫 毛坯好房,青六新苑 -民主路,3室1厅 | 133.4平米 | 南 北 | 毛坯 | 低楼层(共18层)  | 板楼,3人关注 / 4个月以前发布,133,"9,971元/平"
本人亲自看过此房，毛坯房，格局好，户型方正,和谐警苑 -九原区,3室2厅 | 128平米 | 南 北 | 毛坯 | 中楼层(共18层)  | 板楼,10人关注 / 8个月以前发布,50,"3,907元/平"
此房标准格局 南北通透 景观楼层 采光好,翡丽湾 -万郡,3室2厅 | 141平米 | 南 北 | 毛坯 | 中楼层(共32层)  | 板楼,14人关注 / 一年前发布,100,"7,093元/平"
少先22街坊3楼，不吃差价。不收返费。,少先路22号街坊 -106小商品城,2室1厅 | 68.31平米 | 南 北 | 简装 | 中楼层(共6层)  | 板楼,0人关注 / 2个月以前发布,75,"10,980元/平"
中冶水晶城3室精装出售 采光好 随时过户 看房方便,中冶世家水晶城 -内蒙古科技大学,3室2厅 | 117.81平米 | 南 北 | 精装 | 高楼层(共27层)  | 板楼,4人关注 / 6个月以前发布,104,"8,828元/平"
房子精装修，户型好，采光好，现代装修，,凡尔赛 -南开小学,3室2厅 | 139.47平米 | 南 北 | 精装 | 高楼层(共25层)  | 板楼,4人关注 / 4个月以前发布,122,"8,748元/平"
房主诚心出售  精装 拎包入住 好房,裕民新城理想城 -和平村,2室1厅 | 120平米 | 南 北 | 精装 | 高楼层(共18层)  | 板楼,1人关注 / 3个月以前发布,74,"6,167元/平"
昆区佳园小区四楼小三居户型朝向南北可以贷款,钢十八佳园 -钢四小,3室1厅 | 75.83平米 | 南 | 简装 | 中楼层(共6层)  | 板楼,4人关注 / 5个月以前发布,119,"15,693元/平"
凡尔赛精装修新房11楼双阳夹厅满五唯一,凡尔赛 -南开小学,3室2厅 | 129.27平米 | 南 北 | 精装 | 中楼层(共25层)  | 板楼,3人关注 / 4个月以前发布,120,"9,283元/平"
二楼南北通透诚心出售有房本落地,东豪新城 -东大桥,2室2厅 | 106.2平米 | 南 北 | 精装 | 低楼层(共6层)  | 板楼,1人关注 / 1个月以前发布,57,"5,368元/平"
高楼层无遮挡，采光好精装婚房户型方正大两居,奥宇新城B2区 -北梁新区,2室2厅 | 94.03平米 | 南 | 精装 | 高楼层(共11层)  | 暂无数据,0人关注 / 3个月以前发布,50,"5,318元/平"
滨海名都二期，顶账好房诚心出售,滨海名都二期 -南开小学,3室2厅 | 118.35平米 | 南 | 毛坯 | 中楼层(共30层)  | 板楼,0人关注 / 3个月以前发布,94.5,"7,985元/平"
不吃差价 不收返费 四室两厅 好房待售,恒大名都 -东亚,4室2厅 | 195.82平米 | 南 北 | 精装 | 中楼层(共18层)  | 板楼,1人关注 / 2个月以前发布,120,"6,129元/平"
吾悦广场 松石名第 三居室 南北通透 35中 有本配贷急,松石名第 -内蒙古科技大学,3室2厅 | 121平米 | 南 北 | 精装 | 中楼层(共13层)  | 板楼,20人关注 / 一年前发布,95,"7,852元/平"
精装七楼 两梯两户 小区环境好 看房方便 有本配贷,神华佳苑 -锦林公园,2室2厅 | 107.17平米 | 南 北 | 精装 | 中楼层(共18层)  | 板楼,5人关注 / 一年前发布,83,"7,745元/平"
瑞兴苑 二机二 一机三 精装一楼 无遮挡 采光好,瑞兴苑 -二机二中双学区,3室2厅 | 134.4平米 | 南 北 | 精装 | 低楼层(共6层)  | 板楼,4人关注 / 7个月以前发布,115,"8,557元/平"
鹿港小镇两居室，电梯中间楼层，采光无遮，支持贷款,鹿港小镇 -鹿港小镇,2室2厅 | 86平米 | 南 | 简装 | 中楼层(共18层)  | 板楼,0人关注 / 2个月以前发布,65,"7,559元/平"
【不吃差价，不收返费】赛5 4楼国标户型 出门娜琳急售,赛音道5号 -娜琳,2室1厅 | 89平米 | 南 北 | 简装 | 中楼层(共6层)  | 板楼,2人关注 / 3个月以前发布,65,"7,304元/平"
青山区 康乐小区 万达九星商圈  看房方便,康乐小区 -万达,2室1厅 | 71.52平米 | 南 北 | 精装 | 高楼层(共5层)  | 板楼,12人关注 / 一年前发布,44,"6,153元/平"
此房楼层好  可做陪读 18平左右不在房本面积里,育才三段 -大连新型居住区,2室1厅 | 85平米 | 南 | 精装 | 低楼层(共6层)  | 平房,7人关注 / 一年前发布,64.8,"7,624元/平"
高新区 日月豪庭 楼下就是美食一条街 四通八达,日月豪庭 -鹿港小镇,2室2厅 | 97平米 | 南 | 精装 | 中楼层(共6层)  | 板楼,4人关注 / 6个月以前发布,78,"8,042元/平"
不吃差价 不收返费 荣资梦乡 品质小区 南北通透,荣资梦乡 -106小商品城,3室2厅 | 127.5平米 | 南 北 | 简装 | 高楼层(共6层)  | 板楼,18人关注 / 一年前发布,80,"6,275元/平"
不吃差价不收返 包百商圈，中间楼层，中间位置,盛世嘉苑 -广汇,2室2厅 | 99.41平米 | 南 北 | 精装 | 中楼层(共6层)  | 板楼,3人关注 / 一年前发布,72,"7,243元/平"
金辉华府 六楼带阁楼带晒台 精装修 拎包入住,金辉华府 -民馨家园,3室2厅 | 125平米 | 南 北 | 精装 | 高楼层(共6层)  | 暂无数据,0人关注 / 5个月以前发布,46,"3,680元/平"
昆区 青7街坊植物园花苑房龄新环境好出行便利,青年路七号街坊 -包二十九中,2室1厅 | 57.4平米 | 南 北 | 简装 | 高楼层(共5层)  | 板楼,1人关注 / 4个月以前发布,76,"13,241元/平"
新上纯毛坯 双阳夹厅 户型合理 另有车位 储藏室可议,青六新苑 -民主路,3室2厅 | 148平米 | 南 北 | 毛坯 | 中楼层(共18层)  | 板楼,12人关注 / 一年前发布,141,"9,528元/平"
不吃差价不收返费 东亚三期116三居好房精装修好楼层,东亚世纪城文馨苑 -东亚,3室2厅 | 115.96平米 | 南 北 | 精装 | 高楼层(共27层)  | 板楼,2人关注 / 1个月以前发布,93,"8,021元/平"
此房满五，南北通透户型，采光好无遮挡，精装修,迎宾小区 -万达,2室1厅 | 64平米 | 南 北 | 精装 | 高楼层(共6层)  | 塔楼,0人关注 / 2个月以前发布,47,"7,344元/平"
不吃差价 不收返费 友谊小区 三楼 空户 钥匙 看房方便,友谊小区 -友谊广场,2室1厅 | 60平米 | 南 | 其他 | 中楼层(共6层)  | 暂无数据,1人关注 / 一年前发布,67,"11,167元/平"
不吃差价 不收返费 精装修 步梯五楼 户型好 随时看,友谊大街27号街坊 -广汇,2室2厅 | 73.13平米 | 南 北 | 精装 | 高楼层(共5层)  | 板塔结合,3人关注 / 3个月以前发布,51,"6,974元/平"
