标题,开发商,房子信息,发布信息,售价/万,单价
近南站，视野看湖看别墅，户型实用大五房，配套齐全,星河丹堤G区 -南站新城,5室2厅 | 124.39平米 | 南 北 | 毛坯 | 33层  | 板塔结合,0人关注 / 7天以前发布,208,"16,722元/平"
中间层 南北通透 一线河景 精装修 自住  满五唯一,保利阳光城 -白云新城,4室2厅 | 114.98平米 | 南 北 | 精装 | 23层  | 板塔结合,0人关注 / 11天以前发布,150,"13,046元/平"
公园里朝南两房业主业主诚心出售户型方正,御玺山大峡谷一期 -比亚迪商圈,2室2厅 | 77.15平米 | 南 | 毛坯 | 32层  | 塔楼,0人关注 / 6天以前发布,70,"9,074元/平"
临深大区，户型方正，采光好，直接拎包入住,龙光城南四期 -龙光城,3室2厅 | 71.65平米 | 南 | 其他 | 34层  | 板塔结合,0人关注 / 13天以前发布,115,"16,051元/平"
海伦堡爱Me城市 3室2厅 东南 南,海伦堡爱Me城市 -澳头,3室2厅 | 109.6平米 | 东南 南 | 精装 | 32层  | 板塔结合,0人关注 / 12天以前发布,108,"9,855元/平"
地铁14号线首站，目前小区装修排名第1,晶地顺苑 -西区新寮,2室1厅 | 53平米 | 南 | 精装 | 30层  | 板塔结合,0人关注 / 6天以前发布,44.8,"8,453元/平"
凯旋城北区 正三房户型 中高楼层  精装修  满五唯一,德丰凯旋城北区 -大亚湾中心区,3室2厅 | 78.36平米 | 南 | 精装 | 33层  | 板塔结合,0人关注 / 14天以前发布,75,"9,572元/平"
牧云溪谷二期 户型方正 配套齐全,牧云溪谷二期云尚 -秋长,4室2厅 | 98.88平米 | 南 | 毛坯 | 低楼层(共33层)  | 塔楼,0人关注 / 8天以前发布,175,"17,699元/平"
一站南站 山语华府 精装大三房 业主急售  满五年,山语华府 -南站新城,3室2厅 | 102.39平米 | 南 北 | 精装 | 28层  | 板塔结合,1人关注 / 13天以前发布,110,"10,744元/平"
业主诚心出售，无抵押，税费少，看房方便,恒鑫御园 -万达,4室1厅 | 129平米 | 南 北 | 毛坯 | 32层  | 板塔结合,1人关注 / 14天以前发布,120,"9,303元/平"
满五不唯一，3+1房南北通，户型方正采光好，楼间距宽,奥园隆基绿洲花园 -万达,3室1厅 | 121.75平米 | 南 北 | 毛坯 | 22层  | 板塔结合,0人关注 / 8天以前发布,114.8,"9,430元/平"
惠州南 精装3房 朝南视野开阔 采光好 税费低,星河丹堤G区 -南站新城,3室2厅 | 89.12平米 | 南 | 精装 | 34层  | 板塔结合,0人关注 / 8天以前发布,148,"16,607元/平"
惠州南站 星河百万大盘 127平降价 20 W 拎包入住,星河丹堤V区 -南站新城,5室2厅 | 127.43平米 | 南 北 | 精装 | 34层  | 板塔结合,0人关注 / 3天以前发布,200,"15,695元/平"
佳兆业东江新城三期，南北对流，交通便利,佳兆业东江新城三期 -博罗中心区,5室2厅 | 166.47平米 | 南 北 | 毛坯 | 32层  | 板塔结合,3人关注 / 27天以前发布,117,"7,029元/平"
房子的格局好，户型方正，全新精装修未入住，采光好,天安珑城 -区政府,3室2厅 | 108.5平米 | 西南 | 精装 | 31层  | 板塔结合,0人关注 / 27天以前发布,156,"14,378元/平"
公园上城次新房笋盘出售小区环境好,碧桂园太东公园上城四区 -灿邦,4室2厅 | 127.36平米 | 南 北 | 简装 | 32层  | 板塔结合,0人关注 / 21天以前发布,156,"12,249元/平"
龙熹山130平南北通双阳台大四房，价格可谈，带精装修,碧桂园龙熹山 -万达,4室2厅 | 130.56平米 | 南 北 | 精装 | 34层  | 板塔结合,1人关注 / 29天以前发布,154,"11,796元/平"
公园里的小区，满五唯一带装修，环境好,御玺山大峡谷一期 -比亚迪商圈,3室1厅 | 80.14平米 | 东南 | 精装 | 32层  | 塔楼,1人关注 / 23天以前发布,72,"8,985元/平"
大爱城，满五唯一，红本在手，朝南3房，全明户型，,三远大爱城 -灿邦,3室2厅 | 86.7平米 | 南 | 毛坯 | 32层  | 板塔结合,0人关注 / 24天以前发布,92,"10,612元/平"
业主低价出售，无个税无增值税，南北通大四房，高楼层,星河丹堤V区 -南站新城,4室2厅 | 109.91平米 | 南 北 | 毛坯 | 34层  | 板塔结合,1人关注 / 22天以前发布,169,"15,377元/平"
央企保利品质社区 户型方正  环境优美,阳光城二期 -白云新城,4室2厅 | 105.46平米 | 南 | 毛坯 | 32层  | 塔楼,0人关注 / 23天以前发布,133,"12,612元/平"
《急》翡翠山一楼带私家小院，毛呸，哇塞中的哇塞,翡翠山城君御 -万达,3室2厅 | 104.78平米 | 南 | 毛坯 | 34层  | 板塔结合,0人关注 / 27天以前发布,130,"12,407元/平"
幸福里 2室1厅 南,幸福里 -区政府,2室1厅 | 35.74平米 | 南 | 精装 | 16层  | 板塔结合,2人关注 / 18天以前发布,33,"9,234元/平"
中间楼栋位置，中间楼层，户型方正，朝南，看别墅区,半岛1号五期 -白云新城,3室2厅 | 107.95平米 | 东南 | 毛坯 | 高楼层(共24层)  | 板塔结合,1人关注 / 1个月以前发布,119,"11,024元/平"
小区同户型笋盘，大三房，深圳100米的新楼盘,碧桂园深荟花园 -白云新城,3室1厅 | 115.27平米 | 南 | 精装 | 31层  | 塔楼,2人关注 / 26天以前发布,165,"14,315元/平"
真临深，近沙田地铁站，九洲 大阳台，河景,九洲玉带湾 -白云新城,5室2厅 | 120.33平米 | 南 | 毛坯 | 33层  | 板塔结合,1人关注 / 26天以前发布,140,"11,635元/平"
房子满五唯一，南 北双阳台，视野宽阔，采光充足,德洲中心城 -大亚湾中心区,3室2厅 | 108.58平米 | 南 北 | 毛坯 | 22层  | 板塔结合,2人关注 / 22天以前发布,83,"7,645元/平"
新天名城 红树林公园旁 业主急售 价格可谈 精装修,新天名城 -大亚湾中心区,4室2厅 | 133.83平米 | 南 北 | 精装 | 28层  | 板塔结合,3人关注 / 16天以前发布,97,"7,249元/平"
翡翠山大四房，前排看全景别墅，出门益田好方便,翡翠山城君御 -万达,4室2厅 | 147.03平米 | 南 北 | 精装 | 34层  | 板塔结合,1人关注 / 17天以前发布,238,"16,188元/平"
龙湾新城三期，高层装修3房 双阳台南北通,龙湾新城 -博罗临莞,3室2厅 | 101平米 | 南 北 | 简装 | 中楼层(共28层)  | 塔楼,0人关注 / 25天以前发布,100,"9,901元/平"
中楼层，南北户型户型方正布局合理。,星河丹堤E区 -南站新城,4室2厅 | 139.02平米 | 南 北 | 毛坯 | 30层  | 板塔结合,1人关注 / 30天以前发布,203,"14,603元/平"
惠州南 次新房 高楼层 南北双阳台 红本在手 看房方便,星河丹堤G区 -南站新城,5室2厅 | 125.28平米 | 南 北 | 毛坯 | 34层  | 板塔结合,1人关注 / 23天以前发布,215,"17,162元/平"
惠州南站 品质大盘 业主出国 简装修,星河丹堤C区 -南站新城,3室2厅 | 90.13平米 | 南 | 简装 | 31层  | 塔楼,1人关注 / 24天以前发布,119,"13,204元/平"
临深楼盘，沙田地铁口大三房，买来即可拎包入住,铂金广场 -区政府,3室1厅 | 98.57平米 | 南 | 简装 | 中楼层(共31层)  | 板塔结合,1人关注 / 25天以前发布,108,"10,957元/平"
带车位，满五唯一，楼层好，视野好，业主诚心出售,清泉城市广场 -区政府,4室2厅 | 93.85平米 | 南 | 精装 | 29层  | 板塔结合,1人关注 / 29天以前发布,112,"11,934元/平"
楼下就是北 大新世纪实 验学 校，门口就是商 业,碧桂园山河城 -三和经济开发区,3室2厅 | 97.17平米 | 南 | 简装 | 18层  | 板塔结合,0人关注 / 23天以前发布,67,"6,896元/平"
万达商圈花城湾，交通方便，配套成熟，业主急售,中萃花城湾 -万达,4室2厅 | 122平米 | 南 | 精装 | 27层  | 板塔结合,0人关注 / 18天以前发布,144,"11,804元/平"
太东星河丹堤天睿北区 3室2厅 南,太东星河丹堤天睿北区 -灿邦,3室2厅 | 91.99平米 | 南 | 毛坯 | 30层  | 板塔结合,0人关注 / 15天以前发布,125,"13,589元/平"
房子楼层和户型还是比较不错的，阳台看小区花园景观好,爱琴海 -西区新寮,4室2厅 | 112.33平米 | 南 北 | 毛坯 | 33层  | 板塔结合,0人关注 / 27天以前发布,108,"9,615元/平"
满五唯一 业主急售 采光佳 视野好 户型方正 交通便利,美景印象 -西区新寮,4室2厅 | 100.5平米 | 南 北 | 毛坯 | 31层  | 板塔结合,2人关注 / 24天以前发布,115,"11,443元/平"
房产证满三年税费少 精装修拎包入住看房方便,当代上品湾花园 -澳头,3室2厅 | 104.23平米 | 东 | 精装 | 34层  | 塔楼,0人关注 / 16天以前发布,83,"7,964元/平"
中港华庭 全新现代轻奢风两房 高楼层 视野好,中港华庭 -区政府,2室1厅 | 82.14平米 | 南 | 精装 | 26层  | 塔楼,0人关注 / 21天以前发布,82,"9,983元/平"
"区政府中-心,楼下就是沃尔玛商场.",清泉城市广场 -区政府,4室1厅 | 125.28平米 | 东南 | 毛坯 | 32层  | 板塔结合,0人关注 / 29天以前发布,119,"9,499元/平"
碧桂园品牌物业，房子比较新 ，园林绿华好,碧桂园太东公园上城三区 -灿邦,3室2厅 | 95.74平米 | 东南 南 | 精装 | 32层  | 板塔结合,1人关注 / 24天以前发布,110,"11,490元/平"
满五唯一，价格可谈，大社区，房子南北通透大三房,天安珑城 -区政府,3室2厅 | 135.16平米 | 南 北 | 毛坯 | 30层  | 板塔结合,0人关注 / 16天以前发布,152,"11,246元/平"
万达200米方方正正 通透3房 居家适合,美泰名铸三期 -万达,3室2厅 | 79平米 | 南 | 精装 | 高楼层(共31层)  | 板塔结合,0人关注 / 30天以前发布,108,"13,671元/平"
临深  白云新城片区  云景花苑  大三房  业主急售,云景花苑 -白云新城,3室2厅 | 110.04平米 | 南 | 毛坯 | 低楼层(共29层)  | 板塔结合,1人关注 / 29天以前发布,85,"7,725元/平"
临深800米大社区，20万精装修四房南北通透双阳台,锦地繁花 -西区新寮,4室2厅 | 95.4平米 | 南 北 | 精装 | 17层  | 板塔结合,4人关注 / 25天以前发布,115,"12,055元/平"
名巨山水城 3室1厅 南 北,名巨山水城 -博罗临莞,3室1厅 | 93.81平米 | 南 北 | 简装 | 30层  | 板塔结合,0人关注 / 11天以前发布,105,"11,193元/平"
急售。满五唯一，养老或小两口居家优选,花样年花郡 -大亚湾中心区,1室1厅 | 35.05平米 | 南 | 毛坯 | 34层  | 板塔结合,1人关注 / 5天以前发布,15,"4,280元/平"
三甲医院旁，五小隔壁，精装，北南大阳台，有额外40平,东岸丽都花园 -大亚湾中心区,4室2厅 | 84.1平米 | 南 北 | 精装 | 31层  | 板塔结合,0人关注 / 8天以前发布,92,"10,940元/平"
方直东岸3期精装湖景4房，业主诚心出售,方直东岸 -河南岸,4室2厅 | 125平米 | 南 北 | 精装 | 32层  | 板塔结合,1人关注 / 23天以前发布,238,"19,040元/平"
带车位 带车位！中间好楼层，南北通，看花园，懂的来,佳兆业壹号花园 -龙丰,3室2厅 | 106.77平米 | 南 | 毛坯 | 中楼层(共34层)  | 板塔结合,2人关注 / 18天以前发布,106,"9,928元/平"
一线湖景，半装修好 业主诚意出售 价格美丽,方直东岸 -河南岸,4室2厅 | 123.58平米 | 南 北 | 其他 | 32层  | 板塔结合,2人关注 / 14天以前发布,233,"18,855元/平"
新天虹  南站旁  小两房总价低   业主诚意卖,鹏德名苑 -开城大润发,2室2厅 | 53.52平米 | 东南 | 毛坯 | 低楼层(共32层)  | 塔楼,1人关注 / 17天以前发布,41,"7,661元/平"
金山湖高档小区 地段好 南北通看花园 精装80万五房,御水豪庭 -河南岸,4室2厅 | 140.31平米 | 南 北 | 精装 | 31层  | 板塔结合,2人关注 / 3个月以前发布,260,"18,531元/平"
首期3万买精装3房，包家私电器,光耀荷兰小城 -仲恺,2室1厅 | 83.15平米 | 北 | 精装 | 28层  | 板楼,0人关注 / 13天以前发布,80,"9,622元/平"
十月花花园 南北通透双阳台安静视野开阔 业主诚心出售,十月花花园 -大亚湾中心区,4室2厅 | 131平米 | 南 北 | 精装 | 33层  | 板塔结合,2人关注 / 6天以前发布,131,"10,000元/平"
中洲城尚品，精装精致小两房，南北通，业主诚心卖,中洲城尚品 -区政府,2室1厅 | 45.3平米 | 南 | 精装 | 29层  | 板楼,0人关注 / 16天以前发布,46,"10,155元/平"
急售 东江学府三期二区 惠南 118平 155万,东江学府三期二区 -河南岸,3室2厅 | 117.35平米 | 南 北 | 精装 | 低楼层(共14层)  | 板塔结合,1人关注 / 14天以前发布,155,"13,209元/平"
大欣圆梦园复式精装修大房诚心出售,大欣圆梦园 -仲恺,5室2厅 | 172.98平米 | 南 | 精装 | 高楼层(共13层)  | 板塔结合,1人关注 / 14天以前发布,112,"6,475元/平"
央企品牌 楼下上学，在家门口，看淡水河。,保利阳光城 -白云新城,3室2厅 | 80.07平米 | 东南 | 简装 | 23层  | 板塔结合,0人关注 / 4天以前发布,100,"12,490元/平"
畔山名居 4室2厅 南 北,畔山名居 -比亚迪商圈,4室2厅 | 85.75平米 | 南 北 | 精装 | 24层  | 板塔结合,3人关注 / 12天以前发布,85,"9,913元/平"
满五年，高楼层，带精装修，保养好，使用率高,中信新城 -南站新城,4室2厅 | 109.54平米 | 南 | 精装 | 34层  | 板塔结合,1人关注 / 12天以前发布,120,"10,955元/平"
锦地繁花骏园 5室2厅 南 北,锦地繁花骏园 -西区新寮,5室2厅 | 141平米 | 南 北 | 毛坯 | 30层  | 板塔结合,0人关注 / 15天以前发布,167.8,"11,901元/平"
业主急售3+1房，朝南户型 视野开阔，采光通风效果好,君跃荃新时代 -大亚湾中心区,3室2厅 | 77.47平米 | 东 | 毛坯 | 29层  | 板塔结合,0人关注 / 7天以前发布,77.4,"9,991元/平"
临深大盘，朝南2房，户型方正，高楼层视野好！,东方新城 -秋长,2室2厅 | 89.97平米 | 东南 | 毛坯 | 28层  | 板塔结合,0人关注 / 3天以前发布,73.5,"8,170元/平"
满五唯一税率低，装修只卖毛坯价，中高楼层视野开阔。,中洲央筑花园 -河南岸,4室1厅 | 134.7平米 | 南 北 | 精装 | 中楼层(共33层)  | 塔楼,0人关注 / 11天以前发布,254,"18,857元/平"
急卖急卖，朋友的房子装修高层视野开阔。委托钥匙,隆生皇冠花园 -水口,4室2厅 | 142.7平米 | 东南 南 | 其他 | 30层  | 板塔结合,0人关注 / 4天以前发布,167,"11,703元/平"
惠州南站3KM 中信新城89平四房无抵押精装修拎包入住,中信新城 -南站新城,4室2厅 | 89.3平米 | 南 | 简装 | 34层  | 板塔结合,21人关注 / 一年前发布,97,"10,863元/平"
金山湖山姆 华章东郡高层 景观好 毛坯四房155万,华章东郡 -河南岸,4室2厅 | 116.21平米 | 南 | 毛坯 | 高楼层(共32层)  | 板塔结合,0人关注 / 1个月以前发布,155,"13,338元/平"
实用三居室，户型房正，景观好视野开阔,碧桂园十里银滩爱琴海 -惠东沿海,3室1厅 | 106.4平米 | 东南 | 精装 | 20层  | 板塔结合,27人关注 / 一年前发布,64,"6,016元/平"
花园里，安静舒适，得房率高，安居乐业！！！,冠和金山龍庭 -河南岸,5室2厅 | 160.85平米 | 西南 东北 | 精装 | 低楼层(共16层)  | 板塔结合,3人关注 / 7个月以前发布,170,"10,569元/平"
中洲天御二期 舒适四房 精装修 南北通 安静望花园,中洲天御二期 -河南岸,4室2厅 | 125.34平米 | 南 北 | 精装 | 高楼层(共31层)  | 板塔结合,1人关注 / 7个月以前发布,193,"15,399元/平"
红本在手，无欠款，小区位置好，比邻万达广场，,爱顿第三季 -万达,4室2厅 | 116.85平米 | 东南 | 精装 | 24层  | 塔楼,14人关注 / 4个月以前发布,79.8,"6,830元/平"
万达商圈 儿童公园旁 大三房 配套成熟 满五唯一,香榭名苑 -万达,3室2厅 | 81.19平米 | 南 | 毛坯 | 25层  | 塔楼,30人关注 / 一年前发布,84,"10,347元/平"
满五唯一，复式难求，采光好，景观好！,东方新城 -秋长,6室2厅 | 230.7平米 | 南 | 毛坯 | 20层  | 板塔结合,3人关注 / 1个月以前发布,184,"7,976元/平"
江北精装实用三房两卫 带全套家私家电 无欠款免赎楼,金世界花园 -江北,3室2厅 | 136平米 | 北 | 精装 | 16层  | 板塔结合,21人关注 / 4个月以前发布,125,"9,192元/平"
沃尔玛楼上 正看湖景 景观好 税费少 业主诚心出售,龙光城北二期 -龙光城,5室2厅 | 129.67平米 | 南 北 | 毛坯 | 29层  | 板塔结合,19人关注 / 一年前发布,170,"13,111元/平"
惠州南站 星河丹堤 看别墅湖景 4+1房 红本无欠款,星河丹堤E区 -南站新城,5室2厅 | 121.42平米 | 东南 南 北 | 毛坯 | 32层  | 板塔结合,5人关注 / 3个月以前发布,179.5,"14,784元/平"
业主急，临深东边端头位，采光够好，户型方正,万城名座花园 -白云新城,3室2厅 | 122平米 | 东南 西北 | 精装 | 32层  | 塔楼,2人关注 / 5个月以前发布,154,"12,623元/平"
看房方便 学府官邸 舒适大户型,星河丹堤G区 -南站新城,5室2厅 | 160.31平米 | 南 北 | 毛坯 | 33层  | 板塔结合,39人关注 / 一年前发布,235,"14,660元/平"
升平苑带私人露台大花园  单价低 采光通风好 生活便利,升平苑 -麦地,4室2厅 | 148.75平米 | 南 | 精装 | 低楼层(共16层)  | 塔楼,2人关注 / 1个月以前发布,128,"8,606元/平"
格局方正 视野开阔 采光通风性好 大三房,鸿润·叠韵 -河南岸,3室2厅 | 142.97平米 | 南 | 毛坯 | 低楼层(共31层)  | 塔楼,8人关注 / 一年前发布,130,"9,093元/平"
满五唯一税率抵，精装卖得比毛坯便宜，,中洲央筑花园 -河南岸,4室2厅 | 137.64平米 | 南 北 | 精装 | 低楼层(共33层)  | 塔楼,1人关注 / 1个月以前发布,296,"21,506元/平"
南站星河丹堤 品质大盘  高层洋房 两梯两户 红本在手,星河丹堤C区 -南站新城,5室2厅 | 205.3平米 | 南 北 | 毛坯 | 24层  | 塔楼,7人关注 / 一年前发布,310,"15,100元/平"
红本在手，大阳台，中间楼层.业主诚心出售！,尚城世家二期 -区政府,3室2厅 | 104.24平米 | 南 | 精装 | 26层  | 板塔结合,0人关注 / 1个月以前发布,122,"11,704元/平"
秋天的第  一套房，视野能看整个惠阳！,中信新城 -南站新城,6室2厅 | 147.49平米 | 南 北 | 毛坯 | 34层  | 板塔结合,1人关注 / 2个月以前发布,187,"12,679元/平"
金山湖大社区中高楼层看江景三房125万中洲天御二期,中洲天御二期 -河南岸,3室2厅 | 93.32平米 | 南 | 毛坯 | 高楼层(共28层)  | 板塔结合,2人关注 / 一年前发布,122,"13,074元/平"
合生滨海城，高楼层，南北通，阳光充足。视野开阔,合生滨海城 -澳头,4室2厅 | 161.17平米 | 南 | 精装 | 31层  | 板塔结合,13人关注 / 7个月以前发布,123,"7,632元/平"
满五年，复式大户型，使用率高，通风采光好,东部阳光花园 -万达,5室1厅 | 244.11平米 | 南 北 | 毛坯 | 5层  | 板塔结合,15人关注 / 7个月以前发布,279,"11,430元/平"
好房子，东江学府二期138平米，诚意出售,东江学府二期 -河南岸,3室2厅 | 137.86平米 | 南 | 精装 | 中楼层(共12层)  | 板塔结合,9人关注 / 5个月以前发布,133,"9,648元/平"
中海凯旋城四期精装三房两厅一卫诚意出售,中海凯旋城四期 -河南岸,3室2厅 | 89.01平米 | 南 | 精装 | 低楼层(共31层)  | 塔楼,0人关注 / 3个月以前发布,126,"14,156元/平"
满五唯一+业主急售+朝南3+1房+中间楼层+采光通风好,君跃荃新时代 -大亚湾中心区,4室2厅 | 104.51平米 | 南 东南 | 毛坯 | 33层  | 板塔结合,1人关注 / 1个月以前发布,97,"9,282元/平"
业主急售户型方正大阳台，东南朝向视野开阔,天源花园 -大亚湾中心区,4室2厅 | 88.57平米 | 东南 | 毛坯 | 33层  | 板塔结合,4人关注 / 2个月以前发布,60,"6,775元/平"
方直东岸，高楼层，南北通，视线好，俯瞰金山湖景色,方直东岸 -河南岸,3室2厅 | 113.43平米 | 南 北 | 毛坯 | 32层  | 板塔结合,23人关注 / 8个月以前发布,173,"15,252元/平"
不到一万单价买沙田站大三房 业主急售 诚心卖,盈润国际花园 -白云新城,3室2厅 | 113.7平米 | 南 | 其他 | 28层  | 板塔结合,2人关注 / 31天以前发布,113,"9,939元/平"
南站标杆楼盘，大社区，配套成熟。户型方正，得房率高,星河丹堤V区 -南站新城,4室2厅 | 88.15平米 | 南 | 毛坯 | 34层  | 板塔结合,1人关注 / 22天以前发布,142,"16,109元/平"
惠州南站2公里，业主诚心出售  三房装修,文锦华府 -灿邦,3室1厅 | 98.84平米 | 东南 | 其他 | 26层  | 塔楼,0人关注 / 22天以前发布,119,"12,040元/平"
临莞小区 蓝湾半岛 准新房 3房2卫 低价格出售,蓝湾半岛(博罗) -博罗临莞,3室2厅 | 111.54平米 | 南 | 其他 | 23层  | 塔楼,0人关注 / 22天以前发布,95,"8,518元/平"
大社区 此房户型方正采光充足 小区配套齐全生活便利,花样年别样城五期 -新行政区,4室2厅 | 94.86平米 | 东 | 毛坯 | 32层  | 板塔结合,0人关注 / 28天以前发布,85,"8,961元/平"
