标题,开发商,房子信息,发布信息,售价/万,单价
格局好，楼层好，视野宽阔，采光充足,光华佳苑 -大中大,3室2厅 | 132.55平米 | 南 | 精装 | 中楼层(共7层)  | 板楼,1人关注 / 29天以前发布,77.8,"5,870元/平"
中航城二期，优质好房，电梯房中间层，复式楼，采光好,保利中航城二期 -八里湖,3室2厅 | 94.81平米 | 南 北 | 精装 | 中楼层(共28层)  | 板楼,0人关注 / 5天以前发布,78,"8,227元/平"
户型好， 阳光充足，人车分流，小区环境优美,龙庭花园 -南山,3室2厅 | 123.45平米 | 南 北 | 毛坯 | 中楼层(共32层)  | 板塔结合,0人关注 / 2天以前发布,85,"6,886元/平"
此房满5年不唯一， 房子精装，房子优惠,邮电宿舍 -甘棠公园,2室2厅 | 66.68平米 | 南 | 精装 | 低楼层(共7层)  | 塔楼,0人关注 / 12天以前发布,48.3,"7,244元/平"
此房是上下两层复式楼，带60平露台原房东精装,粮食局宿舍 -大中大,4室2厅 | 104.81平米 | 南 北 | 精装 | 高楼层(共8层)  | 暂无数据,0人关注 / 14天以前发布,69.8,"6,660元/平"
万达商圈 精装三房两卫，中间楼层，房东诚售,中茂铂宫 -万达,3室2厅 | 107.84平米 | 南 | 精装 | 中楼层(共31层)  | 板塔结合,1人关注 / 3个月以前发布,90,"8,346元/平"
湖滨沃尔玛商圈通透大三房，电梯好楼层，采光很好,静园 -湖滨,3室2厅 | 137平米 | 南 北 | 简装 | 中楼层(共18层)  | 板楼,0人关注 / 5天以前发布,180,"13,139元/平"
印象柴桑毛坯房小洋房3房2厅2卫,印象柴桑一期 -柴桑区,3室2厅 | 121.75平米 | 南 | 毛坯 | 高楼层(共14层)  | 板塔结合,0人关注 / 7天以前发布,68.8,"5,651元/平"
老市委南北通风精装环境优美中间楼层带储藏室,老市委北区 -和中广场,2室2厅 | 90.72平米 | 南 | 简装 | 中楼层(共8层)  | 暂无数据,0人关注 / 24天以前发布,150,"16,535元/平"
万达商圈  南山公园旁 通透户型 阳光充足  拎包入住,五七二七生活区 -南山,2室1厅 | 58.74平米 | 东南 | 精装 | 中楼层(共5层)  | 塔楼,1人关注 / 17天以前发布,20.8,"3,542元/平"
南北朝向，户型方正，停车方便，阳光充足,地质大院 -甘棠公园,2室1厅 | 44.06平米 | 南 | 简装 | 高楼层(共6层)  | 板塔结合,0人关注 / 8天以前发布,42,"9,533元/平"
一梯一户一线湖景，边户采光好，双阳台，价格可谈。,鹤问湖壹号 -开发区,3室2厅 | 136.82平米 | 东南 | 毛坯 | 中楼层(共18层)  | 板塔结合,0人关注 / 4天以前发布,115,"8,406元/平"
视野好 楼栋好  楼层好 配套好,中辉世纪城 -万达,4室2厅 | 142平米 | 南 | 毛坯 | 高楼层(共28层)  | 板塔结合,0人关注 / 20天以前发布,130,"9,155元/平"
此房满五唯一，采光充足，户型方正,利江市场 -快乐城,2室1厅 | 80.46平米 | 南 | 简装 | 高楼层(共7层)  | 暂无数据,3人关注 / 7个月以前发布,32,"3,978元/平"
新湖庐山国际 经典品质三房 无遮挡 封闭式小区,新湖庐山国际 -万达,3室2厅 | 119.82平米 | 南 北 | 毛坯 | 中楼层(共24层)  | 暂无数据,21人关注 / 一年前发布,114,"9,515元/平"
86平面三房得房率高采光地段位置好,状元楼 -甘棠公园,3室2厅 | 86.08平米 | 南 | 简装 | 中楼层(共8层)  | 暂无数据,0人关注 / 一年前发布,63,"7,319元/平"
快乐城九方商圈 联泰一期 好楼层 全屋品牌家具家电,联泰·万泰城一期 -快乐城,2室2厅 | 88.65平米 | 南 | 精装 | 33层  | 板楼,0人关注 / 17天以前发布,94,"10,604元/平"
瑞锦华庭 精装修 三室两厅一卫,瑞锦华庭 -瑞昌市,3室2厅 | 115.06平米 | 南 | 简装 | 高楼层(共6层)  | 暂无数据,0人关注 / 23天以前发布,60,"5,215元/平"
户型全明格局 得房面积多公摊小，房子已满两年,省二建沙河安置小区 -柴桑区,2室2厅 | 82.56平米 | 东南 | 简装 | 中楼层(共6层)  | 板楼,0人关注 / 24天以前发布,42,"5,088元/平"
此房楼层好，装修保养好，用材好，拎包入住,信华城市花园一期 -大中大,3室2厅 | 113.6平米 | 南 北 | 精装 | 中楼层(共18层)  | 板楼,1人关注 / 28天以前发布,82,"7,219元/平"
想要的房源。闹中取静的良栖居所。8层楼的电梯洋房,老干部休养所 -甘棠公园,3室2厅 | 107.78平米 | 南 北 | 精装 | 低楼层(共3层)  | 暂无数据,0人关注 / 23天以前发布,139,"12,897元/平"
八里湖 贤母园旁，市区内快速到达，联盛，好又多购物,学府壹号 -柴桑区,3室1厅 | 97平米 | 东南 南 | 精装 | 中楼层(共30层)  | 塔楼,0人关注 / 22天以前发布,66,"6,805元/平"
中体奥林匹克花园精装3房带家具家电直接拎包入住,中体奥林匹克花园 -八里湖,3室2厅 | 85.69平米 | 东南 | 精装 | 中楼层(共17层)  | 板塔结合,0人关注 / 1个月以前发布,85,"9,920元/平"
因业主去外地置换，此房急卖，带全家具家电,民生·瞰江郡 -开发区,3室2厅 | 96.67平米 | 南 | 精装 | 中楼层(共24层)  | 板楼,52人关注 / 一年前发布,70.5,"7,293元/平"
九方商圈水木清华通透大三房 靠十里河,水木清华 -十里,3室2厅 | 132.27平米 | 南 北 | 精装 | 低楼层(共18层)  | 板塔结合,0人关注 / 3个月以前发布,74.5,"5,633元/平"
南北通透 采光视野好 无遮挡 房东诚意出售,恒大江湾 -开发区,3室2厅 | 128.53平米 | 南 北 | 精装 | 低楼层(共33层)  | 板楼,0人关注 / 7个月以前发布,105,"8,170元/平"
房东真心出售，复式房，有意者可以联系带看,保利中航城二期 -八里湖,3室2厅 | 94.81平米 | 南 | 精装 | 中楼层(共28层)  | 板楼,0人关注 / 3个月以前发布,87.3,"9,208元/平"
江南名城大三房两厅两卫带大南北露台,江南明城 -瑞昌市,3室2厅 | 128.3平米 | 南 北 | 毛坯 | 低楼层(共17层)  | 板楼,2人关注 / 6个月以前发布,73.3,"5,714元/平"
水岸莲华      好房出售     127平大三房,水岸莲华 -八里湖,3室2厅 | 126.73平米 | 南 北 | 毛坯 | 中楼层(共33层)  | 板塔结合,0人关注 / 2个月以前发布,92,"7,260元/平"
曼城.君怡美筑 精装两房 楼层好 随时看房,曼城.君怡美筑 -开发区,2室2厅 | 85平米 | 南 | 精装 | 低楼层(共30层)  | 板楼,0人关注 / 9天以前发布,66.8,"7,859元/平"
房东急售，小区自带幼儿园，户型好，楼层好，南北通透,鑫恒通观天下 -开发区,3室2厅 | 122.44平米 | 南 北 | 毛坯 | 高楼层(共26层)  | 塔楼,0人关注 / 11天以前发布,88,"7,188元/平"
此房位置好 小区人文素质高 交通方便，配套设施完善。,甘棠南路一支巷5号 -和中广场,2室1厅 | 55.03平米 | 南 北 | 简装 | 中楼层(共6层)  | 平房,5人关注 / 一年前发布,74,"13,448元/平"
九江金鹏城，毛坯，房东诚心出售,九江金鹏城 -八里湖,2室2厅 | 78.01平米 | 南 北 | 毛坯 | 中楼层(共18层)  | 板塔结合,1人关注 / 3个月以前发布,60,"7,692元/平"
八里湖 中辉御龙湾 南北小三房 采光好  交通方便,中辉御龙湾 -八里湖,3室2厅 | 116平米 | 南 北 | 毛坯 | 高楼层(共24层)  | 板塔结合,0人关注 / 14天以前发布,124,"10,690元/平"
九方商圈，慧龙新城边海棠园电梯毛坯房,海棠园 -十里,2室2厅 | 89.95平米 | 南 | 毛坯 | 中楼层(共25层)  | 板塔结合,0人关注 / 1个月以前发布,56,"6,226元/平"
民生·瞰江郡 3室2厅 南,民生·瞰江郡 -开发区,3室2厅 | 96平米 | 南 | 精装 | 中楼层(共34层)  | 板楼,0人关注 / 10天以前发布,70,"7,292元/平"
马狮商圈 带大院子 朝南 精装三房,北司路一支巷4-6号 -大中大,3室1厅 | 83.81平米 | 南 | 精装 | 低楼层(共6层)  | 暂无数据,2人关注 / 8个月以前发布,62.8,"7,494元/平"
房东急售，看房方便，房子保养良好，看中可以谈,江南明城 -瑞昌市,3室2厅 | 124.58平米 | 南 北 | 精装 | 中楼层(共6层)  | 板楼,0人关注 / 8天以前发布,70.8,"5,684元/平"
建行宿舍 两房两厅 得房率高 采光好 价格低,甘棠南路113号 -四码头,2室1厅 | 45.28平米 | 南 | 简装 | 低楼层(共1层)  | 暂无数据,0人关注 / 6天以前发布,115,"25,398元/平"
经典三房，离一中、湖滨小 学很 近，楼层好,湖滨小区北区 -湖滨,3室2厅 | 99.3平米 | 南 北 | 精装 | 中楼层(共6层)  | 暂无数据,0人关注 / 2天以前发布,150,"15,106元/平"
中航城一期好房精装出售，满五唯一，看房方便,中航城 -八里湖,3室2厅 | 112平米 | 南 | 精装 | 低楼层(共33层)  | 板塔结合,0人关注 / 7天以前发布,96,"8,572元/平"
精装二房 八里湖一中旁 小区成熟 无户口 无划拨无读书,怡祥苑 -八里湖,2室1厅 | 50.03平米 | 南 | 精装 | 低楼层(共6层)  | 板楼,0人关注 / 2个月以前发布,48,"9,595元/平"
庐山脚下房产，环境优美，看房联系维护人。,保利庐山林语 -南山,4室2厅 | 125平米 | 南 | 毛坯 | 低楼层(共6层)  | 暂无数据,0人关注 / 16天以前发布,70,"5,600元/平"
户型方正，小区规划合理，配套成熟生活方便。,官牌夹安置小区 -开发区,1室1厅 | 53.22平米 | 南 北 | 精装 | 中楼层(共8层)  | 板楼,0人关注 / 4天以前发布,27,"5,074元/平"
满五唯一 楼层好 地理位置好 采光也好,十里大道76号 -甘棠公园,2室2厅 | 80.96平米 | 东 西 | 精装 | 低楼层(共7层)  | 暂无数据,0人关注 / 9天以前发布,58,"7,165元/平"
湖滨晨光  户型方正 楼层好 采光好 出门交通便利,阳光国际(浔阳区) -湖滨,3室2厅 | 120平米 | 南 北 | 简装 | 高楼层(共30层)  | 塔楼,0人关注 / 9天以前发布,192,"16,000元/平"
朝阳里精装3房 房东外地发展诚心出售楼层好 视野开阔,朝阳里 -白水湖,3室2厅 | 85.69平米 | 南 | 精装 | 高楼层(共33层)  | 板楼,0人关注 / 1个月以前发布,80,"9,336元/平"
新三中旁多层通透三居室 业主自住装修,恒盛上花园 -开发区,3室2厅 | 107.39平米 | 南 北 | 精装 | 中楼层(共6层)  | 板塔结合,0人关注 / 2个月以前发布,70,"6,519元/平"
万达商圈  好楼层  视野宽阔  采足光充,德化小区东区 -万达,3室2厅 | 121.66平米 | 东南 | 精装 | 中楼层(共6层)  | 板楼,4人关注 / 8个月以前发布,73,"6,001元/平"
万达商圈，全新装修，拎包入住，业主急售,怡和苑二期 -万达,2室2厅 | 62.04平米 | 南 | 精装 | 中楼层(共28层)  | 塔楼,0人关注 / 31天以前发布,45,"7,254元/平"
舒适经典好三房、南北对流、观景好楼层,联泰万泰城二期 -快乐城,3室2厅 | 128.33平米 | 南 北 | 毛坯 | 高楼层(共33层)  | 板塔结合,0人关注 / 24天以前发布,121.5,"9,468元/平"
此房房东诚意出售，看房方便，视野采光都好,嘉隆·水韵风情 -新桥头,3室2厅 | 115.38平米 | 南 北 | 毛坯 | 中楼层(共26层)  | 板塔结合,0人关注 / 30天以前发布,42,"3,641元/平"
房 子 视 野 好，前 后没 有遮挡 采光充足,玉兰苑 -快乐城,3室1厅 | 73平米 | 南 北 | 精装 | 中楼层(共5层)  | 板楼,0人关注 / 21天以前发布,45,"6,165元/平"
美的天铂湾 4室2厅 南 北,美的天铂湾 -大中大,4室2厅 | 140平米 | 南 北 | 毛坯 | 中楼层(共32层)  | 板楼,0人关注 / 21天以前发布,129.8,"9,272元/平"
四开间朝南、观景好楼层、采光好、视线好、登高望远,联泰万泰城二期 -快乐城,3室2厅 | 125.25平米 | 南 北 | 毛坯 | 高楼层(共33层)  | 板塔结合,0人关注 / 21天以前发布,112,"8,943元/平"
开发区精装修两房，楼层视野好，业主诚心出售,沿浔安置小区 -开发区,2室2厅 | 57平米 | 南 北 | 精装 | 中楼层(共18层)  | 板塔结合,1人关注 / 30天以前发布,43,"7,544元/平"
二楼  适合老人住居  精致装修拎包入住,司法局宿舍 -白水湖,2室2厅 | 54平米 | 南 | 精装 | 中楼层(共5层)  | 暂无数据,0人关注 / 29天以前发布,39.5,"7,315元/平"
交通方便。可乘车101，102，走路到车站,邮电宿舍 -和中广场,2室1厅 | 50平米 | 南 | 毛坯 | 中楼层(共5层)  | 板塔结合,2人关注 / 22天以前发布,29.5,"5,900元/平"
房子真实在售 诚心出售  户型房正。,保利庐山林语 -南山,3室2厅 | 108平米 | 南 | 毛坯 | 中楼层(共6层)  | 板楼,0人关注 / 2个月以前发布,73,"6,760元/平"
奥林匹克小洋房 一楼带院子80平院子小区 位置阳光好,中体奥林匹克花园 -八里湖,4室2厅 | 140平米 | 南 北 | 毛坯 | 低楼层(共6层)  | 板塔结合,27人关注 / 7个月以前发布,140.5,"10,036元/平"
一楼带院子的正规毛坯大三房，人民路，近湖滨三中,幸福里二期 -甘棠公园,3室2厅 | 103平米 | 南 北 | 毛坯 | 低楼层(共10层)  | 暂无数据,7人关注 / 9个月以前发布,103,"10,000元/平"
九方商圈旁 戛纳小镇带花园地下室车库100多平,戛纳小镇 -十里,3室2厅 | 117平米 | 南 北 | 精装 | 低楼层(共17层)  | 板塔结合,3人关注 / 一年前发布,99,"8,462元/平"
位置安静 满两年 电梯洋房 附带一个车位,新湖庐山国际 -万达,3室2厅 | 120平米 | 南 北 | 毛坯 | 中楼层(共11层)  | 板楼,18人关注 / 8个月以前发布,139,"11,584元/平"
此房南北通透格局楼层户型好，视野好小区环境配套完善,万达华府F区 -万达,4室2厅 | 140.31平米 | 南 北 | 毛坯 | 中楼层(共34层)  | 板塔结合,0人关注 / 1个月以前发布,120,"8,553元/平"
此房 位置好 格局好，采光充足，拎包入住 交通方便,信华城市花园一期 -大中大,3室2厅 | 108平米 | 南 北 | 精装 | 低楼层(共17层)  | 板楼,0人关注 / 3个月以前发布,71,"6,575元/平"
八里湖    通透四房   湖景房    诚心出售,御湖苑 -八里湖,4室2厅 | 141.31平米 | 北 南 | 毛坯 | 中楼层(共29层)  | 板楼,0人关注 / 1个月以前发布,123,"8,705元/平"
慧龙新城全新装修，拎包入住，户型正气没有浪费面积,慧龙新城 -十里,3室2厅 | 113.18平米 | 南 | 精装 | 低楼层(共6层)  | 板塔结合,0人关注 / 2个月以前发布,66,"5,832元/平"
此房房东诚出售，南向通透格局好，楼层好，视野开阔，,九江市第一人民医院家属区 -和中广场,3室2厅 | 114.01平米 | 南 | 精装 | 高楼层(共7层)  | 板塔结合,8人关注 / 一年前发布,158,"13,859元/平"
中山路商品街   满五唯一    户型方正楼层好采光好,中山路商品街 -甘棠公园,3室2厅 | 129.36平米 | 南 北 | 精装 | 中楼层(共7层)  | 板塔结合,0人关注 / 18天以前发布,105,"8,117元/平"
黄家花园，精装3房，好楼层，满两年，可拎包入住,皇家花园 -瑞昌市,3室2厅 | 117平米 | 南 北 | 精装 | 低楼层(共7层)  | 板楼,0人关注 / 25天以前发布,79.8,"6,821元/平"
观澜盛世 精装大三房 阳光充足 视野开阔 诚心出售,观澜盛世 -开发区,3室2厅 | 100平米 | 南 | 精装 | 中楼层(共23层)  | 板塔结合,0人关注 / 19天以前发布,96,"9,600元/平"
滨江路旁 位置好 装修中等  停车方便,滨江一支路 -九华门,2室2厅 | 55.91平米 | 南 | 简装 | 高楼层(共4层)  | 暂无数据,0人关注 / 25天以前发布,45,"8,049元/平"
阳光国际   高品质  湖滨晨光上学方便   交通便利,阳光国际(浔阳区) -湖滨,2室1厅 | 86.16平米 | 南 | 简装 | 中楼层(共33层)  | 塔楼,0人关注 / 25天以前发布,141,"16,365元/平"
视野开阔。通风性好。诚心出售。价格美丽,官牌夹安置小区 -开发区,3室2厅 | 111.05平米 | 南 | 精装 | 高楼层(共15层)  | 板楼,10人关注 / 一年前发布,63.8,"5,746元/平"
柴桑春天三区 40万精装修 带车位 通透户型,新湖·柴桑春天三区 -快乐城,3室2厅 | 109平米 | 南 北 | 精装 | 中楼层(共11层)  | 板塔结合,0人关注 / 12天以前发布,152,"13,945元/平"
五七二七小区  房东诚心出售  楼层好,五七二七生活区 -南山,2室1厅 | 56平米 | 南 | 简装 | 中楼层(共6层)  | 塔楼,1人关注 / 10天以前发布,23,"4,108元/平"
房东精装修，采光好，房东诚心卖，,李家巷大中路416-424号 -四码头,2室1厅 | 88.17平米 | 南 | 精装 | 高楼层(共7层)  | 暂无数据,1人关注 / 8个月以前发布,92,"10,435元/平"
诚盛御庭 满五唯一 精装自住 预约看房,诚盛御庭 -开发区,4室2厅 | 130平米 | 南 | 精装 | 中楼层(共33层)  | 板塔结合,0人关注 / 9天以前发布,121,"9,308元/平"
阳光好 户型方正 业主自住装修 通风性好,九江市附属医院宿舍 -和中广场,2室2厅 | 79.19平米 | 南 北 | 精装 | 低楼层(共6层)  | 板楼,0人关注 / 13天以前发布,116,"14,649元/平"
湖滨旁半山美术苑小面积总价低两房,半山美树苑 -湖滨,2室1厅 | 65平米 | 南 | 简装 | 低楼层(共8层)  | 板楼,0人关注 / 1天以前发布,86,"13,231元/平"
信华城市花园一期  房东自住精装修  空调带地热,信华城市花园一期 -大中大,3室2厅 | 106平米 | 南 | 精装 | 低楼层(共6层)  | 板楼,0人关注 / 3个月以前发布,74,"6,982元/平"
一楼带院子 带地下室 户型通透 阳光充足无遮挡,戛纳小镇 -十里,3室2厅 | 116.7平米 | 南 北 | 精装 | 低楼层(共18层)  | 板塔结合,0人关注 / 1个月以前发布,106,"9,084元/平"
富力·尚悦居 3室2厅 南,富力·尚悦居 -莲花,3室2厅 | 121平米 | 南 | 毛坯 | 中楼层(共11层)  | 板塔结合,0人关注 / 2个月以前发布,75,"6,199元/平"
浔阳区 美的天铂湾3房2厅2卫 视野好 看房方便,美的天铂湾 -大中大,3室2厅 | 103.77平米 | 西南 | 毛坯 | 低楼层(共34层)  | 暂无数据,3人关注 / 5个月以前发布,88,"8,481元/平"
快乐城旁 大2房推荐 精装修 拎包入住,鹤问公馆 -开发区,2室1厅 | 87.53平米 | 南 | 精装 | 高楼层(共18层)  | 板塔结合,0人关注 / 4个月以前发布,72,"8,226元/平"
奥林匹克花园小区，房东诚意出售,中体奥林匹克花园 -八里湖,3室2厅 | 88平米 | 南 | 简装 | 高楼层(共17层)  | 板塔结合,0人关注 / 5个月以前发布,74.5,"8,466元/平"
碧桂园江州府优质好房 房东诚心出售,碧桂园江州府 -八里湖,3室2厅 | 120平米 | 南 北 | 毛坯 | 中楼层(共18层)  | 板楼,5人关注 / 3个月以前发布,125,"10,417元/平"
九龙广场旁一马路工行宿舍 精装 小面积 总价低,一马路工行宿舍 -新桥头,2室1厅 | 54.84平米 | 南 北 | 精装 | 高楼层(共7层)  | 塔楼,4人关注 / 4个月以前发布,29.8,"5,434元/平"
柴桑春天三期多层洋房  优质楼层  少有纯毛坯房,新湖·柴桑春天三区 -快乐城,3室2厅 | 102.52平米 | 南 北 | 毛坯 | 中楼层(共6层)  | 板塔结合,5人关注 / 3个月以前发布,120,"11,706元/平"
中体奥林匹克花园，花园洋房，南北格局采光好，,中体奥林匹克花园 -八里湖,4室2厅 | 88.43平米 | 南 | 精装 | 低楼层(共11层)  | 暂无数据,0人关注 / 1个月以前发布,90,"10,178元/平"
八里湖商圈 市政府体育馆 绿地ICC 精装修 看湖景房,绿地ICC大都会 -八里湖,3室2厅 | 92.49平米 | 南 | 精装 | 高楼层(共33层)  | 板塔结合,1人关注 / 1个月以前发布,72.5,"7,839元/平"
联泰万泰城 精装修 好户型 通透 环境好，诚意出售,联泰·万泰城一期 -快乐城,3室2厅 | 130平米 | 南 北 | 精装 | 32层  | 板楼,2人关注 / 一年前发布,123,"9,462元/平"
沿浔 朝南 大三房 前排看湖 户型方正,沿浔安置小区 -开发区,3室2厅 | 100.3平米 | 南 | 毛坯 | 中楼层(共18层)  | 板塔结合,0人关注 / 1个月以前发布,57.5,"5,733元/平"
成熟小区，出行方便，附.近上学方便,民生·瞰江郡 -开发区,3室2厅 | 113平米 | 南 北 | 精装 | 高楼层(共31层)  | 板塔结合,0人关注 / 9个月以前发布,73,"6,461元/平"
八里湖一 中旁 怡祥苑 小区入住率高 配  套成熟,怡祥苑 -八里湖,2室2厅 | 63平米 | 南 | 简装 | 低楼层(共6层)  | 塔楼,3人关注 / 4个月以前发布,49.5,"7,858元/平"
联信公寓 精装修两房 楼层好 看房方便,联信公寓 -湖滨,2室2厅 | 93.98平米 | 南 | 精装 | 中楼层(共25层)  | 板楼,0人关注 / 2个月以前发布,137,"14,578元/平"
两亩地港务局宿舍    交通便利视野好,二亩地港务局两亩地宿舍 -甘棠公园,2室2厅 | 66.64平米 | 南 | 简装 | 中楼层(共8层)  | 暂无数据,0人关注 / 1个月以前发布,51.8,"7,774元/平"
融创政务一号 ，有六层的洋房及34层的高层 为一体,融创政务壹号 -八里湖,3室2厅 | 125平米 | 南 | 毛坯 | 中楼层(共34层)  | 板塔结合,5人关注 / 一年前发布,125,"10,000元/平"
二电厂宿舍，71平 精装两室两厅，诚意出售！,九江发电厂生活区 -莲花,2室2厅 | 71平米 | 南 | 精装 | 低楼层(共6层)  | 暂无数据,0人关注 / 1个月以前发布,31.8,"4,479元/平"
经典好三房 南北对流南向双阳台,联泰·万泰城天颂 -快乐城,3室2厅 | 130.11平米 | 南 北 | 毛坯 | 中楼层(共32层)  | 板塔结合,0人关注 / 1个月以前发布,120,"9,223元/平"
楼层好，总价栋，户型格局好，精装修，拎包入住,怡祥苑 -八里湖,2室2厅 | 62.2平米 | 南 | 精装 | 中楼层(共7层)  | 塔楼,0人关注 / 1个月以前发布,48,"7,718元/平"
南水中 央公园 洋房凤凰层毛坯三房 带子母车位带露台,南水·中央公园 -瑞昌市,3室2厅 | 122平米 | 南 | 毛坯 | 高楼层(共10层)  | 暂无数据,8人关注 / 8个月以前发布,102,"8,361元/平"
新小区环境好 户型方正 三面采光南北通风 一对一管家,碧桂园江州府 -八里湖,3室2厅 | 120平米 | 东南 | 毛坯 | 低楼层(共18层)  | 板楼,0人关注 / 4个月以前发布,125,"10,417元/平"
开发区双语，抗洪广场旁，精装修2房，房东诚意出售,沿浔安置小区 -开发区,2室2厅 | 53平米 | 南 | 精装 | 中楼层(共18层)  | 板塔结合,29人关注 / 一年前发布,30,"5,661元/平"
时代华府 鹤湖 满二 诚心出售,时代华府 -快乐城,2室2厅 | 73.36平米 | 南 北 | 简装 | 高楼层(共23层)  | 塔楼,0人关注 / 1个月以前发布,64,"8,725元/平"
