标题,开发商,房子信息,发布信息,售价/万,单价
天下名筑毛坯三房 满两年 中高层 全明户型 随时看房,天下名筑 -老峰镇,3室2厅 | 110.48平米 | 南 北 | 毛坯 | 高楼层(共34层)  | 板楼,0人关注 / 4天以前发布,66,"5,974元/平"
安庆东部新城配套齐全，交通方便，配套齐全,逸龙新河湾 -龙狮桥乡,3室2厅 | 106.5平米 | 南 北 | 毛坯 | 低楼层(共20层)  | 板楼,2人关注 / 3个月以前发布,86,"8,076元/平"
东部新城置地皖江四季三室两厅一厨两卫,置地皖江四季 -龙狮桥乡,3室2厅 | 131.12平米 | 南 | 毛坯 | 高楼层(共15层)  | 板楼,4人关注 / 6个月以前发布,115,"8,771元/平"
小区好位置，四开间朝南， 南北双阳台 ，采光好。,置地皖江四季 -龙狮桥乡,4室2厅 | 151.42平米 | 南 北 | 毛坯 | 低楼层(共27层)  | 板楼,11人关注 / 4个月以前发布,123,"8,124元/平"
置地品质好房飞机户型，还可看到长江美景。,置地皖江四季 -龙狮桥乡,3室2厅 | 133平米 | 南 | 毛坯 | 高楼层(共33层)  | 板楼,1人关注 / 3个月以前发布,116,"8,722元/平"
"滨江地段,精装大三房，中间好楼层，低公摊领包入住",水岸花都 -龙狮桥乡,3室2厅 | 102.91平米 | 南 | 精装 | 中楼层(共6层)  | 板塔结合,0人关注 / 1个月以前发布,73.8,"7,172元/平"
住家适宜，置地品质，唯美小区，人车分流,置地皖江四季 -龙狮桥乡,3室1厅 | 133.78平米 | 南 | 毛坯 | 中楼层(共8层)  | 暂无数据,8人关注 / 4个月以前发布,139.8,"10,450元/平"
滨江CBD  带大平台   三房两厅  采光好,置地皖江四季 -龙狮桥乡,3室2厅 | 122平米 | 南 北 | 毛坯 | 低楼层(共15层)  | 板楼,0人关注 / 3个月以前发布,89,"7,296元/平"
全明方正四房飞机户，中上好楼层，公摊小，视野开阔,置地·皖江府 -龙狮桥乡,4室2厅 | 131.8平米 | 南 北 | 毛坯 | 中楼层(共18层)  | 板塔结合,9人关注 / 一年前发布,123.8,"9,394元/平"
中层楼层，全明户型，采光好，户型方正，小区地理位置,置地·皖江府 -龙狮桥乡,3室2厅 | 131.84平米 | 南 | 毛坯 | 中楼层(共18层)  | 板楼,4人关注 / 一年前发布,123,"9,330元/平"
"此房不满二年，视野开阔，采光充足, 毛坯房",安庆中梁滨江壹号 -龙狮桥乡,3室2厅 | 119.25平米 | 南 | 毛坯 | 高楼层(共16层)  | 塔楼,6人关注 / 4个月以前发布,75.8,"6,357元/平"
稀有电梯房 中间楼层 随时看房 地段好 满足一切人群,菱建小区 -菱北,3室2厅 | 139.37平米 | 南 | 精装 | 中楼层(共12层)  | 板楼,0人关注 / 10天以前发布,89,"6,386元/平"
此房户型通透，通透格局，凤凰层，视野宽阔,祥和北苑 -大桥,4室1厅 | 137.68平米 | 南 北 | 毛坯 | 高楼层(共33层)  | 板楼,0人关注 / 12天以前发布,61.9,"4,496元/平"
纺织南路 2室1厅 南 北,纺织南路 -菱湖,2室1厅 | 65平米 | 南 北 | 简装 | 低楼层(共4层)  | 暂无数据,0人关注 / 6天以前发布,42,"6,462元/平"
嘉禾园东区 3室2厅 南,嘉禾园东区 -大桥,3室2厅 | 124.66平米 | 南 | 精装 | 低楼层(共18层)  | 板楼,0人关注 / 12天以前发布,128,"10,268元/平"
江花小区！东边户三室 能观江景全明户型非顶楼！,江花小区 -人民路,3室2厅 | 90.32平米 | 南 北 | 简装 | 高楼层(共7层)  | 板楼,18人关注 / 一年前发布,55,"6,090元/平"
此房朝南户型，通风好，精装修，保养的很好,人民路三百六十一号 -人民路,3室1厅 | 69.2平米 | 南 | 简装 | 高楼层(共7层)  | 暂无数据,2人关注 / 一年前发布,24,"3,469元/平"
急售、急售、急售、七街商圈好房出售,印象江南 -大桥,4室2厅 | 149.56平米 | 南 | 毛坯 | 高楼层(共6层)  | 板楼,6人关注 / 9个月以前发布,60,"4,012元/平"
房东诚心出售，价格可以，小区环境优美,澜郡阳光花园 -新河,3室2厅 | 115.96平米 | 南 北 | 毛坯 | 低楼层(共28层)  | 板楼,1人关注 / 7个月以前发布,108.8,"9,383元/平"
御景国际小区，中间楼层，采光好,御景国际 -华中路,3室2厅 | 123.04平米 | 南 北 | 精装 | 中楼层(共30层)  | 板楼,9人关注 / 10个月以前发布,111.5,"9,063元/平"
政务区大三房，厅通阳台朝南，2房朝南，1房朝北,置地百悦府 -大桥,3室2厅 | 127.5平米 | 南 北 | 毛坯 | 低楼层(共34层)  | 板楼,0人关注 / 一年前发布,108,"8,471元/平"
中间楼层，三室一厅，精装修，户型方正，江景房,滨江苑社区 -玉琳路,3室1厅 | 83.37平米 | 南 | 精装 | 中楼层(共7层)  | 板塔结合,15人关注 / 4个月以前发布,95,"11,395元/平"
七街商圈 成熟地段 南北通透 两房朝南,嘉禾园 -大桥,3室2厅 | 115.23平米 | 南 北 | 毛坯 | 高楼层(共6层)  | 板楼,5人关注 / 一年前发布,72,"6,249元/平"
峻泓馨居 满二两居 户型方正 中间楼层 采光无遮挡,峻泓馨居 -大桥,2室2厅 | 74.62平米 | 南 北 | 精装 | 中楼层(共18层)  | 板楼,8人关注 / 一年前发布,57.8,"7,746元/平"
老城区繁华地段，4楼层，精装修，拎包入住,建设路 -宜城路,3室1厅 | 76.33平米 | 南 | 精装 | 中楼层(共7层)  | 板楼,1人关注 / 一年前发布,72,"9,433元/平"
碧桂园•中梁东方印商圈成熟，弘扬广场边,碧桂园•中梁东方印 -大桥,4室2厅 | 129.84平米 | 南 北 | 精装 | 中楼层(共18层)  | 板楼,0人关注 / 1个月以前发布,97,"7,471元/平"
此房满二总价低，单价低，紧 邻菱湖公园，出行方便,宜铜新村 -菱湖,3室1厅 | 70.14平米 | 南 北 | 简装 | 高楼层(共6层)  | 板楼,4人关注 / 5个月以前发布,30,"4,278元/平"
香水百合小区位置好交通方便，一楼带大院子,雨润香水百合 -龙狮桥乡,4室2厅 | 115.67平米 | 南 | 精装 | 低楼层(共6层)  | 板塔结合,0人关注 / 24天以前发布,158,"13,660元/平"
两房朝南   采光无遮挡   精装修,滨江苑社区 -玉琳路,2室1厅 | 59.71平米 | 南 | 精装 | 高楼层(共6层)  | 板楼,0人关注 / 21天以前发布,68,"11,389元/平"
目前已满2年，洋房小高层，楼层好，视野开阔无遮挡。,天下名筑 -老峰镇,3室2厅 | 109平米 | 南 | 精装 | 中楼层(共11层)  | 板楼,0人关注 / 13天以前发布,90,"8,257元/平"
"此房满二年，视野开阔，采光充足,中上楼层，精装修",碧桂园1号公园 -龙狮桥乡,3室2厅 | 130.51平米 | 南 | 精装 | 低楼层(共32层)  | 板楼,3人关注 / 3个月以前发布,87,"6,667元/平"
秦潭湖畔，万达广场旁，精装2室，拎包即住，满五唯一,碧桂园山水云间 -龙狮桥乡,2室2厅 | 85.15平米 | 南 | 精装 | 高楼层(共18层)  | 板楼,0人关注 / 2个月以前发布,57,"6,695元/平"
紫峰旁  业主家装  户型方正  拎包入住,恒大绿洲 -龙狮桥乡,2室2厅 | 90.03平米 | 南 | 精装 | 30层  | 塔楼,0人关注 / 2个月以前发布,71,"7,887元/平"
新上好房 园林 视野开阔公摊小 有入户花园 品牌家装,恒大绿洲 -龙狮桥乡,3室2厅 | 120.22平米 | 南 北 | 精装 | 33层  | 塔楼,4人关注 / 4个月以前发布,94,"7,819元/平"
置地康熙左岸 环境优美  中间好楼层  采光视野好,置地康熙左岸 -龙狮桥乡,3室2厅 | 130.33平米 | 南 | 精装 | 中楼层(共33层)  | 板楼,19人关注 / 9个月以前发布,165,"12,661元/平"
抢手经典刚需两l房 观景效果不错的一套 中层带阳台,恒大绿洲 -龙狮桥乡,2室1厅 | 88.6平米 | 南 | 精装 | 29层  | 板塔结合,0人关注 / 2个月以前发布,63.5,"7,168元/平"
华茂1958精装两房 视野开阔 阳光充足 房主诚心出售,华茂1958A区 -菱湖,3室1厅 | 82.43平米 | 南 北 | 精装 | 中楼层(共33层)  | 板楼,0人关注 / 30天以前发布,94,"11,404元/平"
北部新城大学旁  成熟小区   山水文苑小区,文源山水文苑 -北部新城,3室2厅 | 136平米 | 东 南 西 | 其他 | 高楼层(共18层)  | 板楼,0人关注 / 30天以前发布,68,"5,000元/平"
高档小区，人车分流，交通便利，品质物业,置地皖江四季 -龙狮桥乡,3室2厅 | 134平米 | 南 北 | 毛坯 | 中楼层(共33层)  | 板楼,1人关注 / 8个月以前发布,118,"8,806元/平"
秦潭湖畔万达旁南北通透！！！！,碧桂园凤凰湾 -龙狮桥乡,3室2厅 | 118.16平米 | 南 北 | 其他 | 中楼层(共18层)  | 板楼,8人关注 / 一年前发布,68.8,"5,823元/平"
滨江板块 皖江四季 人车分流 四室两厅两卫,置地皖江四季 -龙狮桥乡,4室2厅 | 151平米 | 南 北 | 毛坯 | 低楼层(共27层)  | 板楼,11人关注 / 6个月以前发布,129,"8,544元/平"
大发4期 全新装修 3房装修花了26万 简约风保养的不错,大发宜景城四期 -龙狮桥乡,3室2厅 | 124.77平米 | 南 北 | 精装 | 高楼层(共15层)  | 板楼,0人关注 / 1个月以前发布,104.8,"8,400元/平"
中间层 含7平方入户花园（产证外）和车位 18%低公摊,绿地一期卡莎公馆 -龙狮桥乡,4室2厅 | 163平米 | 南 北 | 其他 | 24层  | 板楼,14人关注 / 9个月以前发布,120,"7,362元/平"
洋房大四房，前排视野好，双阳台毛坯随意装修,安庆碧桂园·长江万里 -龙狮桥乡,4室2厅 | 153平米 | 南 北 | 其他 | 中楼层(共14层)  | 板楼,1人关注 / 2个月以前发布,95,"6,210元/平"
急售好房 别墅群里的小高层 户型方正采光佳拎包入住,碧桂园山水云间 -龙狮桥乡,3室2厅 | 113.99平米 | 南 北 | 精装 | 低楼层(共20层)  | 板楼,0人关注 / 2个月以前发布,69.8,"6,124元/平"
万达商圈 市府旁 品质小区 双公园旁  3居室  满2年,天下名筑 -老峰镇,3室1厅 | 101平米 | 南 | 毛坯 | 中楼层(共28层)  | 板楼,1人关注 / 1个月以前发布,60.8,"6,020元/平"
万达旁 环境优美 配套齐全 户型方正,天下名筑 -老峰镇,4室2厅 | 120平米 | 南 北 | 毛坯 | 低楼层(共21层)  | 板楼,5人关注 / 9个月以前发布,73,"6,084元/平"
安庆东部新城成熟商圈。配套齐全,逸龙新河湾 -龙狮桥乡,3室2厅 | 125平米 | 南 | 毛坯 | 中楼层(共18层)  | 板楼,0人关注 / 10个月以前发布,126,"10,080元/平"
七街商圈 迎春颐和城 电梯四房 户型方正,迎春颐和城 -大桥,4室2厅 | 149平米 | 南 北 | 毛坯 | 高楼层(共18层)  | 板楼,0人关注 / 25天以前发布,115.5,"7,752元/平"
高档小区，环境优美，人文素养高，开发商精装房。。,安庆恒大珺睿府 -大桥,3室2厅 | 124.9平米 | 南 北 | 精装 | 高楼层(共33层)  | 板楼,0人关注 / 26天以前发布,99,"7,927元/平"
七街 弘阳广场 毛坯三房 房东急售,安庆弘阳广场 -大桥,3室2厅 | 104平米 | 南 | 毛坯 | 高楼层(共25层)  | 暂无数据,0人关注 / 27天以前发布,72,"6,924元/平"
菱湖公园旁精装小三房 带30平院子 采光无遮挡,纺织南路 -菱湖,3室1厅 | 72.13平米 | 南 北 | 精装 | 低楼层(共3层)  | 暂无数据,0人关注 / 19天以前发布,52.8,"7,321元/平"
七街光彩精装2楼，证满，精装保养好,同庆小区南苑 -大桥,3室2厅 | 86平米 | 南 | 精装 | 低楼层(共6层)  | 板楼,0人关注 / 28天以前发布,65.8,"7,652元/平"
户型方正，东部新城中 心位置，小区前为绿化带公园,永安公馆 -大桥,3室1厅 | 118.15平米 | 南 北 | 毛坯 | 中楼层(共24层)  | 板塔结合,4人关注 / 4个月以前发布,96,"8,126元/平"
北部新城新一中旁 春熙街成熟小区宜秀蓝湾带车位,宜秀蓝湾 -北部新城,3室2厅 | 121平米 | 南 北 | 毛坯 | 中楼层(共11层)  | 板楼,3人关注 / 11个月以前发布,65,"5,372元/平"
安庆大学西大门  山水文苑小区,文源山水文苑 -北部新城,3室2厅 | 108.14平米 | 南 北 | 其他 | 中楼层(共18层)  | 板楼,7人关注 / 一年前发布,59.6,"5,512元/平"
西湖绿洲城四期   全新毛坯房  安庆火车站正北面,西湖绿洲四期 -菱北,3室2厅 | 125.58平米 | 南 北 | 其他 | 高楼层(共14层)  | 板楼,4人关注 / 一年前发布,70,"5,575元/平"
吾悦商圈 好楼层 精装修 业主诚心出售,新城吾悦首府二期 -新河,3室2厅 | 121.85平米 | 南 | 精装 | 中楼层(共30层)  | 板塔结合,1人关注 / 7个月以前发布,125,"10,259元/平"
厅+二房朝南 一房朝北 前后大阳台 明厨明卫 楼间距宽,翡翠华庭 -华中路,3室2厅 | 129.25平米 | 南 | 毛坯 | 中楼层(共11层)  | 暂无数据,8人关注 / 一年前发布,162,"12,534元/平"
此房满五唯一 户型方正 采光明亮,西湖绿洲城三期 -菱北,3室2厅 | 129.49平米 | 南 北 | 其他 | 高楼层(共15层)  | 板楼,0人关注 / 3个月以前发布,86.8,"6,704元/平"
大发融悦四季电梯洋房 户型方正 采光视野佳,安庆大发融悦四季 -大桥,4室2厅 | 124.4平米 | 南 | 毛坯 | 中楼层(共11层)  | 塔楼,0人关注 / 16天以前发布,103,"8,280元/平"
西湖绿洲城一期  近汽车站 近光彩大市场！,西湖绿洲城一期 -菱北,3室2厅 | 121.23平米 | 南 北 | 其他 | 低楼层(共7层)  | 板楼,1人关注 / 一年前发布,62,"5,115元/平"
房主诚心出售证满五唯一税费低一楼带有一百平的大院子,山城锦绣花园 -龙狮桥乡,3室2厅 | 122.25平米 | 南 北 | 其他 | 低楼层(共4层)  | 板塔结合,1人关注 / 2个月以前发布,98,"8,017元/平"
精装修拎包入住 户型好 东边户 实用空间大,人民路三百六十一号 -人民路,4室1厅 | 68.29平米 | 南 | 简装 | 高楼层(共6层)  | 板塔结合,0人关注 / 13天以前发布,41.8,"6,121元/平"
