标题,开发商,房子信息,发布信息,售价/万,单价
东站旁 梧桐邑满二税低 双阳双卫全明通透户型,华鹏梧桐邑 -东站,4室2厅 | 117.07平米 | 南 | 毛坯 | 低楼层(共33层)  | 板楼,0人关注 / 5天以前发布,68,"5,809元/平"
小姐姐自住精装保持的新，拎包入住,虹桥国际公寓 -中南路,2室2厅 | 99.7平米 | 南 | 精装 | 中楼层(共28层)  | 板楼,1人关注 / 8天以前发布,78,"7,824元/平"
锦绣星城 154平 四房 带露台 拎包入住,锦绣星城 -夷陵区,4室2厅 | 154.28平米 | 东南 | 精装 | 高楼层(共22层)  | 板楼,0人关注 / 4天以前发布,136,"8,816元/平"
业主急售卖完出国   低价买复式,江天一色 -五一广场,4室2厅 | 159.42平米 | 南 | 精装 | 高楼层(共6层)  | 塔楼,2人关注 / 13天以前发布,95,"5,960元/平"
五一广场旁 中建宜昌之星 精装三房 125万,中建宜昌之星东区 -五一广场,3室2厅 | 125.37平米 | 东南 | 精装 | 中楼层(共33层)  | 板塔结合,0人关注 / 5个月以前发布,115,"9,173元/平"
上上城大平层 专梯入户 户型方正 带车位 南北双阳台,上上城二期 -中南路,4室2厅 | 184.86平米 | 南 | 毛坯 | 中楼层(共11层)  | 板楼,0人关注 / 1个月以前发布,220,"11,901元/平"
高档小区，环境好物业好前江后湖,中铁龙盘湖世纪山水 -东站,3室1厅 | 124.61平米 | 南 | 精装 | 低楼层(共32层)  | 板楼,1人关注 / 5个月以前发布,85,"6,822元/平"
公园壹号120平，精装，大三房，,碧桂园公园壹号 -东站,3室2厅 | 120.85平米 | 南 北 | 精装 | 低楼层(共13层)  | 暂无数据,6人关注 / 一年前发布,95,"7,861元/平"
五一广场 中建之星 全明户型视野开阔 满二税费低,中建宜昌之星C区 -五一广场,4室2厅 | 143.79平米 | 南 北 | 毛坯 | 低楼层(共32层)  | 板楼,0人关注 / 6个月以前发布,128,"8,902元/平"
楼层好 经典三房 全明户型 德祐秋语台店推荐,兴润·秋语台 -东站,3室2厅 | 96.61平米 | 南 | 毛坯 | 高楼层(共31层)  | 板塔结合,0人关注 / 3个月以前发布,65,"6,729元/平"
东站五一广场旁  精装修拎包入住两房 满两年税费低,宜化新天地 -中南路,3室2厅 | 93.89平米 | 南 | 精装 | 中楼层(共32层)  | 塔楼,5人关注 / 8个月以前发布,68,"7,243元/平"
整栋私房 三层出让土地满五唯一 还有一个院子,峡江路68号 -夷陵区,6室3厅 | 393.21平米 | 南 北 | 简装 | 低楼层(共3层)  | 暂无数据,7人关注 / 8个月以前发布,150,"3,815元/平"
单价9000多 中建宜昌之星C区 免双税  过户税少,中建宜昌之星C区 -五一广场,3室2厅 | 124.12平米 | 南 北 | 毛坯 | 低楼层(共32层)  | 板楼,5人关注 / 7个月以前发布,111,"8,943元/平"
东南大四房出售，视野开阔，装修风格随自己的喜好,东南岸 -中南路,4室1厅 | 131平米 | 南 | 毛坯 | 高楼层(共24层)  | 板楼,1人关注 / 1个月以前发布,91,"6,947元/平"
房为梧桐邑三室两厅户型 大三房 全明户型,华鹏梧桐邑 -东站,3室2厅 | 121.24平米 | 南 | 毛坯 | 高楼层(共33层)  | 板楼,3人关注 / 11个月以前发布,63,"5,197元/平"
上上城二期 大平层专梯入户户型方正带车位 南北双阳台,上上城二期 -中南路,3室2厅 | 137.17平米 | 南 | 毛坯 | 中楼层(共11层)  | 板楼,1人关注 / 1个月以前发布,154,"11,227元/平"
5千多房源，南北通透，采光好，楼层好，随时看,清江润城三期 -夷陵区,3室2厅 | 128.49平米 | 南 北 | 毛坯 | 中楼层(共18层)  | 板楼,4人关注 / 7个月以前发布,71.6,"5,573元/平"
东辰心语，毛坯两房，随时看房，可看江,东辰心语 -中南路,2室2厅 | 84.41平米 | 南 | 毛坯 | 中楼层(共33层)  | 板楼,4人关注 / 一年前发布,54,"6,398元/平"
梧桐邑，满五，正在手，精装4房未住过，看房有钥匙,华鹏梧桐邑 -东站,4室2厅 | 135.1平米 | 南 北 | 精装 | 中楼层(共33层)  | 板楼,1人关注 / 3个月以前发布,95,"7,032元/平"
梅香溪岸 3室1厅 南,梅香溪岸 -夷陵区,3室1厅 | 131.6平米 | 南 | 毛坯 | 中楼层(共9层)  | 平房,0人关注 / 3天以前发布,73,"5,548元/平"
体育场路9号 2室2厅 东,体育场路9号 -体育场,2室2厅 | 70.4平米 | 东 | 简装 | 低楼层(共7层)  | 板楼,0人关注 / 9天以前发布,40,"5,682元/平"
香山凤凰城 1室1厅 南,香山凤凰城 -夷陵区,1室1厅 | 55.22平米 | 南 | 精装 | 高楼层(共31层)  | 板塔结合,0人关注 / 5天以前发布,35,"6,339元/平"
丰豪名都 2室2厅 南,丰豪名都 -夷陵区,2室2厅 | 96.85平米 | 南 | 精装 | 中楼层(共7层)  | 板楼,0人关注 / 9天以前发布,46.8,"4,833元/平"
中南路凡尔赛花园精装三房 房东诚心出售,弘洋凡尔赛花园 -中南路,3室2厅 | 118.89平米 | 南 | 精装 | 低楼层(共32层)  | 板楼,0人关注 / 16天以前发布,120,"10,094元/平"
长江市场！门口就是公交车站！房东急售！,骏达梅珑镇 -夷陵区,2室2厅 | 99.89平米 | 东南 | 精装 | 中楼层(共11层)  | 板楼,0人关注 / 6天以前发布,50.78,"5,084元/平"
现房  夷陵万达毛坯四房任你装 价格美丽 看房方便,联投银河公园-澜溪谷 -夷陵区,4室2厅 | 121.22平米 | 南 | 毛坯 | 中楼层(共34层)  | 暂无数据,0人关注 / 6天以前发布,70,"5,775元/平"
恒大山水城 精装三房 未入住 满二,恒大山水城 -东站,3室2厅 | 87.25平米 | 南 北 | 精装 | 中楼层(共32层)  | 板楼,0人关注 / 6个月以前发布,60,"6,877元/平"
双层复式有露台  品牌一线入户 江山多娇西区,江山多娇西区 -五一广场,5室1厅 | 130.11平米 | 南 | 精装 | 高楼层(共12层)  | 板楼,5人关注 / 4个月以前发布,130,"9,992元/平"
一线江景，毛坯大四房，小区各方面完善。,江山多娇四期 -五一广场,4室2厅 | 120.69平米 | 南 | 精装 | 高楼层(共33层)  | 板楼,0人关注 / 1个月以前发布,140,"11,600元/平"
南北通透  中间楼层  三面采光  毛坯克随意装修,城中半岛 -五一广场,3室2厅 | 100.84平米 | 南 北 | 毛坯 | 中楼层(共32层)  | 板塔结合,0人关注 / 1个月以前发布,82,"8,132元/平"
东站旁 恒大山水城 三房精装未入住 随时可看 产证在手,恒大山水城 -东站,3室2厅 | 101.63平米 | 南 | 精装 | 低楼层(共32层)  | 板楼,26人关注 / 7个月以前发布,65,"6,396元/平"
秋语台 边户3房2卫 南北向  诚心出售 随时看房 满2年,兴润·秋语台 -东站,3室1厅 | 114.06平米 | 南 北 | 毛坯 | 中楼层(共31层)  | 板塔结合,0人关注 / 2个月以前发布,76.8,"6,734元/平"
边户，精装三房，自住精装，宜化新天地,宜化新天地 -中南路,3室2厅 | 112.44平米 | 南 北 | 精装 | 高楼层(共32层)  | 塔楼,0人关注 / 1个月以前发布,85,"7,560元/平"
吾悦广场旁精装小三房拎包入住随时看房,钓鱼台二号 -夷陵区,3室2厅 | 91.5平米 | 南 | 精装 | 低楼层(共32层)  | 板楼,0人关注 / 21天以前发布,67,"7,323元/平"
长江市场长河湾 电梯小高层一梯两户 三房仅56万8,长河湾 -夷陵区,3室2厅 | 101.8平米 | 南 | 精装 | 高楼层(共14层)  | 板楼,0人关注 / 20天以前发布,50,"4,912元/平"
国宾一号观澜园客户真心出售欢迎━咨询,国宾壹号观澜园 -夷陵区,2室1厅 | 89.26平米 | 南 | 简装 | 低楼层(共31层)  | 塔楼,0人关注 / 31天以前发布,55,"6,162元/平"
白龙岗小区1区 2室2厅 东南,白龙岗小区1区 -体育场,2室2厅 | 81.81平米 | 东南 | 简装 | 高楼层(共8层)  | 板楼,1人关注 / 20天以前发布,40,"4,890元/平"
夷陵区峡州路碧水蓝天 两房两厅一卫，简装 看房方便,碧水蓝天 -夷陵区,2室2厅 | 99.83平米 | 南 | 简装 | 低楼层(共7层)  | 板楼,0人关注 / 17天以前发布,46.8,"4,688元/平"
夷陵万达广场商圈精装修房东诚信出售,钓鱼台二号 -夷陵区,2室2厅 | 77.6平米 | 南 | 精装 | 高楼层(共27层)  | 平房,1人关注 / 17天以前发布,58,"7,475元/平"
电梯房！满五唯一！户型方正格局，楼层好，便宜卖！！,电力大院 -葛洲坝,3室2厅 | 88.67平米 | 南 北 | 简装 | 高楼层(共8层)  | 暂无数据,0人关注 / 22天以前发布,45,"5,075元/平"
西陵区CBD旁正规两房 低楼层业主诚心出售 拎包入住,西陵二路31-3号 -葛洲坝,2室1厅 | 65.22平米 | 南 | 精装 | 中楼层(共8层)  | 塔楼,1人关注 / 23天以前发布,42,"6,440元/平"
精装三房满五唯一地段好带隔热层,平云三路二巷67号 -夷陵区,3室2厅 | 103.89平米 | 东南 | 精装 | 高楼层(共6层)  | 暂无数据,0人关注 / 1个月以前发布,43,"4,139元/平"
30万装修大三房，边户采光好，田家炳就是旁边。,东辰雅园 -中南路,3室2厅 | 111平米 | 东南 | 精装 | 高楼层(共30层)  | 板楼,0人关注 / 19天以前发布,96,"8,649元/平"
万达旁拎包入住的电梯精装四房南北通透格局好,金亚5号 -夷陵区,4室2厅 | 126.91平米 | 南 北 | 精装 | 低楼层(共28层)  | 塔楼,1人关注 / 17天以前发布,83,"6,541元/平"
水悦城商圈，弘洋卢浮宫馆，优质三房，精装。,弘洋卢浮公馆 -东山开发区,3室2厅 | 95.14平米 | 南 | 精装 | 中楼层(共31层)  | 平房,0人关注 / 14天以前发布,86.8,"9,124元/平"
中建宜昌之星C区 全新精装3室2厅2卫 领包入住,中建宜昌之星C区 -五一广场,3室2厅 | 117平米 | 南 | 精装 | 低楼层(共33层)  | 板楼,0人关注 / 12天以前发布,120,"10,257元/平"
房屋满五唯一，看房方便，城中小院！,祥和一巷 -夷陵区,6室6厅 | 173.77平米 | 南 | 简装 | 低楼层(共3层)  | 暂无数据,8人关注 / 一年前发布,88.8,"5,111元/平"
链家推荐 英伦皇都 双阳台 电梯三房 拧包入住房东急售,英伦皇都 -西陵区其他,3室2厅 | 120.31平米 | 南 | 精装 | 中楼层(共7层)  | 板楼,28人关注 / 一年前发布,103,"8,562元/平"
五一广场旁边 南北朝向 精装修 拎包入住,江天一色 -五一广场,3室2厅 | 115.1平米 | 南 | 精装 | 中楼层(共6层)  | 塔楼,2人关注 / 8个月以前发布,85,"7,385元/平"
"满五唯一，电梯房精装大四房,全明户型，拎包入住。",江天一色 -五一广场,4室2厅 | 137.56平米 | 南 | 精装 | 中楼层(共12层)  | 塔楼,0人关注 / 2个月以前发布,108,"7,852元/平"
精装修未入住  全屋定制品牌家具  边户采光好,梧桐邑七贤台 -东站,3室2厅 | 107.34平米 | 南 北 | 精装 | 中楼层(共26层)  | 板楼,1人关注 / 3个月以前发布,85,"7,919元/平"
宜化新天地精装刚需三房拎包入住,宜化新天地 -中南路,3室2厅 | 89.88平米 | 南 | 精装 | 低楼层(共32层)  | 塔楼,7人关注 / 9个月以前发布,67,"7,455元/平"
山水国际 3室2厅 南 北,山水国际 -夷陵区,3室2厅 | 129.12平米 | 南 北 | 毛坯 | 中楼层(共32层)  | 塔楼,0人关注 / 5天以前发布,75,"5,809元/平"
山水云间大三房 精装修拎包入住59.8万,山水云间 -夷陵区,3室2厅 | 117.82平米 | 东南 | 精装 | 低楼层(共6层)  | 板楼,4人关注 / 5个月以前发布,59.8,"5,076元/平"
纯边户，此房纯边户，小区较新，环境好,银河东湖雅居 -夷陵区,3室1厅 | 92.7平米 | 南 | 毛坯 | 中楼层(共30层)  | 板楼,2人关注 / 4个月以前发布,56.8,"6,128元/平"
平云一路田家巷三房两厅装修好可直接入住,田家巷61号 -夷陵区,3室2厅 | 99.82平米 | 南 | 精装 | 低楼层(共6层)  | 暂无数据,3人关注 / 8个月以前发布,35.8,"3,587元/平"
恒大帝景 2室2厅 东 南 北,恒大帝景 -杨岔路,2室2厅 | 148.91平米 | 东 南 北 | 精装 | 高楼层(共26层)  | 塔楼,3人关注 / 4个月以前发布,180,"12,088元/平"
五一广场 东辰心语  精装小两房 业主诚心出售,东辰心语 -中南路,2室1厅 | 53.92平米 | 南 | 精装 | 低楼层(共33层)  | 板楼,26人关注 / 8个月以前发布,46.8,"8,680元/平"
水悦城  高.端住宅小区  已满两年 带车位出售！,保利时代 -东山开发区,4室2厅 | 142.81平米 | 南 | 毛坯 | 低楼层(共33层)  | 板楼,9人关注 / 一年前发布,124,"8,683元/平"
大社区，配套完善，带精装修出售。,香城尚都 -五一广场,2室2厅 | 88.2平米 | 东南 | 精装 | 低楼层(共33层)  | 塔楼,12人关注 / 4个月以前发布,65,"7,370元/平"
未住新房，拎包入住，家具家电齐全，仅契税，,恒大帝景 -杨岔路,3室2厅 | 122.82平米 | 南 北 | 精装 | 低楼层(共26层)  | 塔楼,2人关注 / 2个月以前发布,110,"8,957元/平"
房子产权面积清晰，户型方正，全明通透，得房率高，,城中金谷 -中南路,3室2厅 | 86.12平米 | 南 | 精装 | 高楼层(共32层)  | 板楼,0人关注 / 1个月以前发布,73,"8,477元/平"
保利时代大三房，小区环境好，出行方便。,保利时代 -东山开发区,3室2厅 | 115平米 | 南 | 毛坯 | 中楼层(共30层)  | 板楼,4人关注 / 5个月以前发布,91,"7,914元/平"
东辰二号 满五唯一 精装修 带车位 户型方正通透,东辰二号 -中南路,3室2厅 | 106平米 | 南 | 精装 | 高楼层(共29层)  | 板塔结合,1人关注 / 3个月以前发布,101,"9,529元/平"
中建宜昌之星C区 边户大四房 产证满2年 税费少 有钥匙,中建宜昌之星C区 -五一广场,4室2厅 | 140.23平米 | 南 北 | 毛坯 | 低楼层(共32层)  | 板楼,6人关注 / 10个月以前发布,120,"8,558元/平"
中南路商圈，清江月亮湾，满五唯一，精装三房,月亮湾 -中南路,3室2厅 | 88.85平米 | 南 | 精装 | 高楼层(共32层)  | 板塔结合,0人关注 / 2个月以前发布,74.5,"8,385元/平"
星光天地商圈，出门就是小吃街，精装三房，拎包入住,隆中后路6号 -解放路,3室2厅 | 80.48平米 | 南 北 | 精装 | 低楼层(共7层)  | 暂无数据,1人关注 / 4个月以前发布,72,"8,947元/平"
夷陵万达旁 恒大名都 精装三房 全新未入住,恒大名都 -夷陵区,3室2厅 | 101.21平米 | 南 北 | 精装 | 中楼层(共33层)  | 暂无数据,13人关注 / 8个月以前发布,62,"6,126元/平"
水悦城旁 恒信中央公园精装3房 楼层好视野开阔,恒信中央公园 -东山开发区,3室2厅 | 92.68平米 | 东南 | 精装 | 高楼层(共33层)  | 塔楼,5人关注 / 一年前发布,76,"8,201元/平"
精装小两房，楼层视野采光好，拎包入住,宜化新天地 -中南路,2室1厅 | 83.51平米 | 南 | 精装 | 中楼层(共32层)  | 塔楼,1人关注 / 一年前发布,60.5,"7,245元/平"
高层观江好房，产证满二，全屋精装，拎包入住,恒大帝景 -杨岔路,2室2厅 | 82平米 | 南 | 精装 | 中楼层(共33层)  | 板楼,2人关注 / 9个月以前发布,75,"9,147元/平"
水悦城旁 华翔世纪城 拎包入住 转角大阳台,华翔世纪城 -东山开发区,2室2厅 | 90.6平米 | 南 | 精装 | 高楼层(共18层)  | 板楼,1人关注 / 11个月以前发布,73,"8,058元/平"
拉菲小镇毛坯三房 高楼层视野好,弘洋拉菲小镇 -东山开发区,3室2厅 | 123.6平米 | 南 | 毛坯 | 高楼层(共32层)  | 板楼,2人关注 / 一年前发布,85,"6,878元/平"
长江市场.楼层前后采光满五唯一,安旺花园 -夷陵区,3室2厅 | 95.67平米 | 南 北 | 简装 | 低楼层(共7层)  | 板楼,3人关注 / 5个月以前发布,41,"4,286元/平"
视野宽阔，楼层好，采光充足，配套设施齐全，出行方便,金鳳朝陽 -夷陵区,3室1厅 | 142.72平米 | 南 | 精装 | 高楼层(共18层)  | 板楼,3人关注 / 7个月以前发布,76,"5,326元/平"
合益路 城中精装 精装两房 满五唯一,城中金谷 -中南路,2室2厅 | 82.89平米 | 南 北 | 简装 | 低楼层(共28层)  | 板楼,1人关注 / 5个月以前发布,60,"7,239元/平"
交通便利，一应俱全，精装修拎包入住,清风華園 -东山开发区,2室2厅 | 82.61平米 | 南 | 精装 | 低楼层(共33层)  | 板楼,1人关注 / 一年前发布,62,"7,506元/平"
五一广场中建之星 4室2厅2卫 140平毛坯 127.5万诚意出,中建宜昌之星C区 -五一广场,4室2厅 | 140.58平米 | 南 | 毛坯 | 低楼层(共33层)  | 板楼,52人关注 / 一年前发布,114,"8,110元/平"
半岛城邦117平毛坯高层江景三房,中核半岛城邦 -夷陵区,3室2厅 | 117.2平米 | 南 | 毛坯 | 高楼层(共30层)  | 板塔结合,8人关注 / 一年前发布,63,"5,376元/平"
恒大绿洲钥匙房源，精装修未入住，前后无遮挡,恒大绿洲 -夷陵区,3室2厅 | 135.1平米 | 南 | 精装 | 高楼层(共32层)  | 板楼,1人关注 / 一年前发布,82.8,"6,129元/平"
中核半岛城邦 4室2厅 南,中核半岛城邦 -夷陵区,4室2厅 | 137.02平米 | 南 | 毛坯 | 高楼层(共31层)  | 塔楼,2人关注 / 5个月以前发布,82,"5,985元/平"
山海大观旁兰花苑小区 精装三房 非顶楼 满五证在手,兰花苑 -夷陵区,3室2厅 | 111.38平米 | 南 | 精装 | 高楼层(共7层)  | 板楼,5人关注 / 4个月以前发布,47,"4,220元/平"
此房楼层好，视野开阔，采光充足，交通便利。,正泰玫瑰园 -中南路,3室2厅 | 117.63平米 | 南 | 毛坯 | 高楼层(共24层)  | 塔楼,0人关注 / 11个月以前发布,93,"7,907元/平"
此房满五年，税费不高，精装修，房东诚心出售,东郡A区 -五一广场,2室2厅 | 81.96平米 | 东 | 精装 | 中楼层(共28层)  | 板楼,0人关注 / 2个月以前发布,63,"7,687元/平"
东辰心语 3室2厅 南,东辰心语 -中南路,3室2厅 | 93.76平米 | 南 | 毛坯 | 高楼层(共33层)  | 板楼,23人关注 / 7个月以前发布,56,"5,973元/平"
全明户型 方正格局好 社区 成熟 教玉、商圈、医疗,长楹观邸 -中南路,3室2厅 | 115.4平米 | 东南 | 毛坯 | 高楼层(共18层)  | 板楼,0人关注 / 2个月以前发布,86,"7,453元/平"
长江市场精装三房.带车库.拎包入住价格可谈,华翔星城 -夷陵区,3室2厅 | 126.03平米 | 东南 | 精装 | 中楼层(共6层)  | 板楼,1人关注 / 8个月以前发布,63,"4,999元/平"
长江市场优质精装三房，房东诚心出售,湖光二巷54号 -夷陵区,3室2厅 | 95.33平米 | 南 | 精装 | 中楼层(共11层)  | 暂无数据,0人关注 / 1个月以前发布,54.5,"5,717元/平"
泉源小区正规大三房公摊小停车方便,泉源小区 -夷陵区,3室2厅 | 144.87平米 | 东 | 精装 | 低楼层(共6层)  | 暂无数据,1人关注 / 4个月以前发布,58,"4,004元/平"
长河湾一梯一户，豪妆三房，镂王，江景 仅76.8万,长河湾 -夷陵区,3室2厅 | 133.31平米 | 南 | 精装 | 中楼层(共28层)  | 板楼,5人关注 / 3个月以前发布,76.8,"5,762元/平"
锦龙馨苑 3室2厅 东,锦龙馨苑 -夷陵区,3室2厅 | 105.92平米 | 东 | 毛坯 | 低楼层(共18层)  | 板楼,0人关注 / 18天以前发布,46.8,"4,419元/平"
25中明珠小区满五唯一好三房廉价出售，,二十四中家属院 -华祥,2室1厅 | 69.77平米 | 南 | 简装 | 高楼层(共6层)  | 暂无数据,1人关注 / 29天以前发布,24,"3,440元/平"
中南路凡尔赛精装三房 全南户型 高层视野好  看房方便,弘洋凡尔赛花园 -中南路,3室2厅 | 101平米 | 南 北 | 精装 | 高楼层(共32层)  | 板楼,0人关注 / 7天以前发布,98,"9,703元/平"
成熟小区配套齐全安旺花园三室可拎包入住,安旺花园 -夷陵区,3室2厅 | 126.54平米 | 南 | 精装 | 中楼层(共7层)  | 板楼,0人关注 / 23天以前发布,58.8,"4,647元/平"
桃花岭 3室2厅 西南,桃花岭 -解放路,3室2厅 | 122.5平米 | 西南 | 精装 | 高楼层(共8层)  | 暂无数据,0人关注 / 28天以前发布,85,"6,939元/平"
此房设计合理无浪费，中高楼层视野好，清水毛坯,宜化新天地 -中南路,3室2厅 | 116.63平米 | 南 北 | 毛坯 | 低楼层(共32层)  | 塔楼,1人关注 / 23天以前发布,75,"6,431元/平"
发展大道玫瑰城复式毛坯三房两卫 中高楼层视野好,宏信玫瑰城 -夷陵区,3室2厅 | 83.91平米 | 东南 | 毛坯 | 高楼层(共30层)  | 板塔结合,0人关注 / 31天以前发布,43,"5,125元/平"
CBD  二医院 得胜街 两房  首付低,民族团结小区 -CBD,2室2厅 | 71平米 | 南 | 简装 | 高楼层(共8层)  | 暂无数据,0人关注 / 23天以前发布,37.7,"5,310元/平"
户型方正，.中低楼层，视野开阔，干干净净，拎包入住,清江润城四期 -夷陵区,3室2厅 | 129.44平米 | 东南 | 精装 | 高楼层(共18层)  | 板塔结合,3人关注 / 1个月以前发布,83,"6,413元/平"
保利林语溪 中间楼层 精装修 西陵区水悦城,保利林语溪 -东山开发区,3室1厅 | 106.5平米 | 南 | 精装 | 中楼层(共34层)  | 板楼,1人关注 / 25天以前发布,117,"10,986元/平"
此价格我老婆看中了都要捶我人，你还在等什么？,正泰玫瑰园 -中南路,3室2厅 | 90.9平米 | 南 | 精装 | 中楼层(共24层)  | 塔楼,1人关注 / 30天以前发布,78,"8,581元/平"
你买的是地段，医院，便利店，长江统统属于您,江山多娇三期 -五一广场,2室2厅 | 86.64平米 | 南 | 精装 | 低楼层(共12层)  | 板楼,1人关注 / 17天以前发布,60,"6,926元/平"
马克公寓精装修住宅，中间楼层，诚意出售,马克公寓 -东山开发区,3室1厅 | 88平米 | 南 | 精装 | 低楼层(共30层)  | 板楼,0人关注 / 25天以前发布,76.8,"8,728元/平"
兴发广场旁  宜化山语城精装大三房 全新未入住  ！！,宜化山语城 -中南路,3室2厅 | 119平米 | 南 北 | 精装 | 高楼层(共31层)  | 板楼,1人关注 / 3个月以前发布,100,"8,404元/平"
宜昌碧桂园 3室2厅 南 北,宜昌碧桂园 -点军区,3室2厅 | 125.18平米 | 南 北 | 毛坯 | 中楼层(共24层)  | 板楼,5人关注 / 4个月以前发布,69,"5,513元/平"
东丽上岛大两房  96平米  户型好有钥匙随时看房,东丽上岛 -东站,2室2厅 | 96平米 | 南 | 精装 | 高楼层(共17层)  | 板楼,0人关注 / 1个月以前发布,61.8,"6,438元/平"
房楼层中层，居住方便，价格适中 采光通风都不错,中国核建二二公司小区 -夷陵区,3室2厅 | 86.84平米 | 南 北 | 精装 | 中楼层(共7层)  | 板楼,1人关注 / 2个月以前发布,39,"4,492元/平"
五一广场    精装两房   中间楼层,东郡B区 -五一广场,2室2厅 | 86平米 | 南 北 | 简装 | 中楼层(共26层)  | 板塔结合,1人关注 / 3个月以前发布,61,"7,094元/平"
尚玲珑 精装三房 全新装修未入住 满五年 契税一个点,清江尚玲珑 -中南路,3室2厅 | 89.57平米 | 南 | 精装 | 低楼层(共30层)  | 板楼,0人关注 / 2个月以前发布,90,"10,049元/平"
五一广场精装两房 东艳路小 学旁,宜化新天地 -中南路,2室1厅 | 84.01平米 | 东南 | 精装 | 高楼层(共32层)  | 塔楼,0人关注 / 2个月以前发布,68,"8,095元/平"
水悦城 圆梦园精装三房 东山花园怡景华园三峡大学旁,圆梦园  -体育场,3室2厅 | 100.51平米 | 东南 | 精装 | 中楼层(共11层)  | 板楼,0人关注 / 1个月以前发布,83,"8,258元/平"
长江市场神仙湾万富佳苑大三房交通方便购物便捷,万富佳苑 -夷陵区,3室1厅 | 139.91平米 | 南 | 毛坯 | 中楼层(共13层)  | 板楼,0人关注 / 4天以前发布,76.8,"5,490元/平"
杨岔路次新品质小区 映象左岸127平边户三房 满两年,映象左岸 -杨岔路,3室2厅 | 126.63平米 | 南 北 | 毛坯 | 低楼层(共33层)  | 塔楼,0人关注 / 8天以前发布,137,"10,819元/平"
大连路 均瑶御景天地一期 毛坯小三房,均瑶御景天地1期 -未知商圈,3室2厅 | 87.84平米 | 南 | 毛坯 | 高楼层(共32层)  | 板楼,4人关注 / 6个月以前发布,55,"6,262元/平"
馨港 2室2厅 东南,馨港 -夷陵区,2室2厅 | 101.09平米 | 东南 | 简装 | 低楼层(共6层)  | 板楼,2人关注 / 一年前发布,50,"4,947元/平"
吾悦商圈碧桂园物业新小区毛坯三房,均瑶御景天地1期 -未知商圈,3室2厅 | 116.77平米 | 南 | 毛坯 | 中楼层(共33层)  | 板塔结合,3人关注 / 一年前发布,66,"5,653元/平"
宜昌东站 精装大四房 南北通透 业主亏本急售,碧桂园公园壹号 -东站,4室2厅 | 129.56平米 | 南 北 | 精装 | 低楼层(共33层)  | 暂无数据,21人关注 / 一年前发布,98,"7,565元/平"
东站旁 精装大四房 公园壹号 南北通透 采光视野佳,碧桂园公园壹号 -东站,4室2厅 | 129.61平米 | 南 北 | 精装 | 中楼层(共33层)  | 板楼,0人关注 / 1个月以前发布,102,"7,870元/平"
九棠府  南北通透4房 格局好 证在手 看房方便,华鹏梧桐邑·九棠府 -东站,4室2厅 | 142平米 | 南 北 | 毛坯 | 中楼层(共33层)  | 板塔结合,6人关注 / 7个月以前发布,92,"6,479元/平"
江山多娇三期 3室2厅 南,江山多娇三期 -五一广场,3室2厅 | 91.76平米 | 南 | 简装 | 中楼层(共18层)  | 板楼,2人关注 / 4个月以前发布,80,"8,719元/平"
