标题,开发商,房子信息,发布信息,售价/万,单价
高品质生活金品时代值得拥有。房本满二年,金品时代 -涿州,4室2厅 | 170平米 | 南 北 | 毛坯 | 17层  | 板塔结合,0人关注 / 15天以前发布,200,"11,765元/平"
"此房满五不唯一,南北通透,户型方正",华福佳缘小区 -涿州,3室2厅 | 145平米 | 南 北 | 精装 | 高楼层(共6层)  | 板楼,0人关注 / 29天以前发布,123,"8,483元/平"
华丰小区 3室2厅 南 北,华丰小区 -涿州,3室2厅 | 56平米 | 南 北 | 其他 | 低楼层(共6层)  | 板楼,0人关注 / 11天以前发布,40,"7,143元/平"
水岸花城 2室1厅 南 北,水岸花城 -涿州,2室1厅 | 92平米 | 南 北 | 其他 | 低楼层(共26层)  | 板楼,0人关注 / 2天以前发布,65,"7,066元/平"
南北通透，户型方正，采光充足，适合养老,农大涿园小区 -涿州,2室2厅 | 78平米 | 南 北 | 精装 | 低楼层(共4层)  | 板楼,1人关注 / 11天以前发布,40,"5,129元/平"
新怡佳园 精装修 南北通透两居 好户型,新怡佳园 -涿州,2室2厅 | 95.64平米 | 南 北 | 精装 | 高楼层(共15层)  | 板楼,0人关注 / 10天以前发布,59,"6,169元/平"
翡翠城 2室2厅 南,翡翠城 -涿州,2室2厅 | 90.5平米 | 南 | 精装 | 中楼层(共27层)  | 板塔结合,0人关注 / 11天以前发布,65,"7,183元/平"
精装修 温馨南向2居室 采光无遮挡 拎包住,香邑溪谷上园 -涿州,2室1厅 | 84.03平米 | 南 | 精装 | 高楼层(共30层)  | 板楼,1人关注 / 12天以前发布,78,"9,283元/平"
花园小区封闭管理，房子户型方正采光充足，居住舒适,香邑溪谷 -涿州,2室2厅 | 89平米 | 南 | 毛坯 | 高楼层(共32层)  | 板塔结合,0人关注 / 10天以前发布,64,"7,192元/平"
地理位置好，德信公园旁，小区环境干净整洁规划好,翡翠滨江 -涿州,2室2厅 | 87.29平米 | 南 | 精装 | 高楼层(共25层)  | 板塔结合,3人关注 / 13天以前发布,65,"7,447元/平"
全屋定制精装修拎包入住，满二税费低,鸿盛凯旋门 -涿州,2室2厅 | 99.93平米 | 北 南 | 精装 | 中楼层(共31层)  | 板塔结合,0人关注 / 4个月以前发布,79,"7,906元/平"
双语 公园一号  高楼层 拎包入住 在家看着孩子上学,公园壹号 -涿州,2室1厅 | 89.93平米 | 东 | 精装 | 高楼层(共11层)  | 板楼,1人关注 / 8个月以前发布,61,"6,784元/平"
此房满五唯一，户型方正，精装，位于东兴南街,惠友橙园 -涿州,2室2厅 | 88.03平米 | 东 西 | 精装 | 高楼层(共10层)  | 板塔结合,0人关注 / 1个月以前发布,59,"6,703元/平"
南北房，户型 通透格局好 单位房 物业,地质总局北院 -涿州,2室1厅 | 54.91平米 | 南 | 简装 | 中楼层(共6层)  | 板楼,42人关注 / 一年前发布,30,"5,464元/平"
惠友旺角 2室1厅 南,惠友旺角 -涿州,2室1厅 | 70.32平米 | 南 | 精装 | 中楼层(共19层)  | 塔楼,1人关注 / 1个月以前发布,35,"4,978元/平"
名流美域，朝南一居室，采光好，有本随时过户,名流美域 -涿州,1室1厅 | 45.89平米 | 南 | 简装 | 中楼层(共15层)  | 板塔结合,0人关注 / 2个月以前发布,30,"6,538元/平"
惠友旺角，精装修，视野好，满二，看房方便,惠友旺角 -涿州,1室1厅 | 42.19平米 | 北 | 精装 | 中楼层(共19层)  | 塔楼,18人关注 / 一年前发布,19.5,"4,622元/平"
涿州高铁东站 鸿坤理想湾 精装两居,鸿坤理想湾南区 -涿州,2室1厅 | 89.51平米 | 南 | 精装 | 高楼层(共26层)  | 板塔结合,4人关注 / 3个月以前发布,72,"8,044元/平"
涿州市区 平安北街 香邑溪谷大社区 三居室现房,香邑溪谷悦都小区 -涿州,3室2厅 | 105.47平米 | 南 北 | 毛坯 | 中楼层(共31层)  | 板楼,5人关注 / 3个月以前发布,86,"8,154元/平"
满五唯一税费低，南北通透格局，视野宽阔，出行便利。,华福佳缘小区 -涿州,2室2厅 | 85.1平米 | 南 北 | 精装 | 中楼层(共6层)  | 板楼,1人关注 / 4个月以前发布,65,"7,639元/平"
板楼 南北通透小三居 中间楼层 满五唯一,晨光小区 -涿州,3室1厅 | 75平米 | 南 北 | 简装 | 中楼层(共6层)  | 板楼,3人关注 / 一年前发布,59,"7,867元/平"
鸿坤小区环境好，楼层好，采光好，适合人口多的家庭,鸿坤理想湾北区 -涿州,3室2厅 | 126平米 | 南 北 | 毛坯 | 中楼层(共25层)  | 板塔结合,78人关注 / 一年前发布,125,"9,921元/平"
范阳路 钻石广场 南向精装小三居 房本满二 急售,钻石广场 -涿州,3室1厅 | 93.9平米 | 南 | 精装 | 中楼层(共16层)  | 板塔结合,8人关注 / 5个月以前发布,75,"7,988元/平"
养老必备、影视基地别墅区观景房、南北3室双卫,温莎假日二期高层公寓 -涿州,3室1厅 | 115.96平米 | 南 北 | 毛坯 | 高楼层(共25层)  | 板塔结合,6人关注 / 8个月以前发布,59,"5,088元/平"
鸿坤理想湾洋房，精装修，房本满二，采光好,鸿坤理想湾南区 -涿州,3室2厅 | 140.63平米 | 南 北 | 精装 | 中楼层(共5层)  | 板楼,19人关注 / 一年前发布,165,"11,733元/平"
矿山局家属院南北通透，房本五年。,矿山局家属楼南院 -涿州,2室2厅 | 67平米 | 南 北 | 精装 | 6层  | 板楼,0人关注 / 2个月以前发布,52,"7,762元/平"
华光小区   户型好    位置好    采光好,华光小区 -涿州,3室2厅 | 132.75平米 | 南 北 | 简装 | 高楼层(共6层)  | 板楼,22人关注 / 一年前发布,66,"4,972元/平"
德信公园，大三居板楼。南北通透,名流枫景洋房 -涿州,3室2厅 | 128平米 | 南 北 | 精装 | 低楼层(共6层)  | 板楼,10人关注 / 8个月以前发布,120,"9,375元/平"
玫瑰园洋房上跃 子母车位 房本在手 随时过户,香邑溪谷玫瑰园 -涿州,6室2厅 | 193平米 | 南 北 | 毛坯 | 高楼层(共6层)  | 板楼,10人关注 / 一年前发布,180,"9,327元/平"
板楼 得房率高 中间楼层 南北通透，精装修，好社区。,仙颐园小区 -涿州,3室2厅 | 128平米 | 南 北 | 精装 | 高楼层(共6层)  | 板楼,1人关注 / 一年前发布,100,"7,813元/平"
高铁，狮子城南区，大F南北通透三居室，毛坯,K2狮子城北区 -涿州,3室1厅 | 95平米 | 南 北 | 毛坯 | 24层  | 板塔结合,5人关注 / 5个月以前发布,78,"8,211元/平"
北京城建·德信御府 3室2厅 南 北,北京城建·德信御府 -涿州,3室2厅 | 132平米 | 南 北 | 毛坯 | 19层  | 板塔结合,13人关注 / 11个月以前发布,112,"8,485元/平"
范阳路矿山局家属院南北通透大三居,矿山局家属楼南院 -涿州,3室2厅 | 138平米 | 南 北 | 精装 | 5层  | 板楼,1人关注 / 7个月以前发布,120,"8,696元/平"
北京城建开发，龙湖物业，高品质社区,北京城建·德信御府 -涿州,3室2厅 | 130.46平米 | 南 北 | 毛坯 | 18层  | 暂无数据,1人关注 / 3个月以前发布,105,"8,049元/平"
老式装修，南北通透，交通便利挨着华阳主路。,县府小区 -涿州,3室2厅 | 94平米 | 南 北 | 简装 | 中楼层(共6层)  | 板楼,0人关注 / 4个月以前发布,68,"7,235元/平"
银城小区 3室2厅 南 北,银城小区 -涿州,3室2厅 | 147平米 | 南 北 | 精装 | 中楼层(共6层)  | 板楼,4人关注 / 一年前发布,115,"7,824元/平"
双塔区三居室 出门华阳路 南北通透采光很好无遮挡,华光小区 -涿州,3室2厅 | 96.5平米 | 南 北 | 简装 | 高楼层(共6层)  | 暂无数据,0人关注 / 6个月以前发布,52.8,"5,472元/平"
高铁片区牛津花园，三居南北通透户型，,鹏渤印象城牛津花园 -涿州,3室1厅 | 98平米 | 南 北 | 毛坯 | 23层  | 板塔结合,1人关注 / 一年前发布,77,"7,858元/平"
样板间户型，南北通透三居，高品质社区,润卓天伦湾 -涿州,3室1厅 | 106.44平米 | 南 北 | 毛坯 | 低楼层(共28层)  | 板塔结合,1人关注 / 8个月以前发布,85,"7,986元/平"
鹏渤印象城牛津花园 3室2厅 南 北,鹏渤印象城牛津花园 -涿州,3室2厅 | 98平米 | 南 北 | 简装 | 23层  | 板塔结合,2人关注 / 1个月以前发布,75,"7,654元/平"
好户型，毛坯，合适的价格，现房，一切完善,高铁新干线 -涿州,3室1厅 | 109.63平米 | 南 | 毛坯 | 高楼层(共26层)  | 板塔结合,7人关注 / 6个月以前发布,90,"8,210元/平"
香邑溪谷 小三居 带车位地下室,香邑溪谷 -涿州,3室1厅 | 95平米 | 南 北 | 简装 | 高楼层(共32层)  | 板塔结合,10人关注 / 5个月以前发布,88,"9,264元/平"
鸿坤经典小三居，刚需选择，价格低,鸿坤理想湾北区 -涿州,3室1厅 | 89.98平米 | 南 | 毛坯 | 低楼层(共25层)  | 板楼,1人关注 / 3个月以前发布,75,"8,336元/平"
天保郦景小区 房子采光不错 前面无遮挡 价格可议,天保郦景 -涿州,3室2厅 | 114平米 | 南 北 | 简装 | 低楼层(共21层)  | 板塔结合,3人关注 / 3个月以前发布,75,"6,579元/平"
华阳主路 德信公园旁 南北三居 房本满五,名流枫景洋房 -涿州,3室2厅 | 120.1平米 | 南 北 | 简装 | 低楼层(共6层)  | 板楼,3人关注 / 8个月以前发布,110,"9,160元/平"
狮子城，房本满二，中间层户型方正，采光充足,K2狮子城南区 -涿州,3室2厅 | 95平米 | 南 北 | 精装 | 24层  | 板塔结合,1人关注 / 一年前发布,100,"10,527元/平"
范阳路旁 京中美居 开发区  满二  带车位 交通便利,京中美居 -涿州,3室2厅 | 118.61平米 | 南 北 | 毛坯 | 高楼层(共11层)  | 板塔结合,0人关注 / 11个月以前发布,89,"7,504元/平"
低楼层，低税费，南北通透三居室,光明小区(涿州) -涿州,3室2厅 | 104平米 | 南 北 | 简装 | 6层  | 板楼,1人关注 / 3个月以前发布,83,"7,981元/平"
南北通透，有房本，采光充足，交通便利！,K2狮子城南区 -涿州,3室1厅 | 95平米 | 南 北 | 简装 | 24层  | 板塔结合,7人关注 / 5个月以前发布,75,"7,895元/平"
香港豪庭3-1-1-2 133.33m² 145 万,香港豪庭 -涿州,3室1厅 | 133.33平米 | 南 北 | 精装 | 17层  | 塔楼,2人关注 / 9个月以前发布,135,"10,126元/平"
南北通套大三居，环境好，舒适度高。,高铁新干线 -涿州,3室2厅 | 126平米 | 南 北 | 毛坯 | 低楼层(共26层)  | 板塔结合,5人关注 / 3个月以前发布,98,"7,778元/平"
无公摊，停车方便，生活便利，满五税低。,煤田总局173队家属楼 -涿州,2室1厅 | 65平米 | 南 北 | 简装 | 低楼层(共4层)  | 暂无数据,3人关注 / 7个月以前发布,42,"6,462元/平"
南北大三居 中间楼层  别墅社区,华阳水电小区 -涿州,3室2厅 | 120.2平米 | 南 北 | 毛坯 | 中楼层(共4层)  | 板楼,0人关注 / 1个月以前发布,97,"8,070元/平"
德信公园旁，南北通透，精装大三居,名流枫景洋房 -涿州,3室2厅 | 132平米 | 南 北 | 精装 | 高楼层(共6层)  | 板楼,5人关注 / 一年前发布,92,"6,970元/平"
理想湾南北通透三居室，明厨明卫，有车位电梯直达车库,鸿坤理想湾北区 -涿州,3室1厅 | 92.77平米 | 南 北 | 毛坯 | 低楼层(共25层)  | 板塔结合,0人关注 / 1个月以前发布,95,"10,241元/平"
70年产权，房本在手，产权清晰随时过户,翡翠滨江 -涿州,3室2厅 | 128平米 | 南 北 | 毛坯 | 中楼层(共26层)  | 板塔结合,1人关注 / 1个月以前发布,92,"7,188元/平"
高档社区，小区环境，居住舒适，户型方正，南北通透,高铁新干线 -涿州,4室1厅 | 126.25平米 | 南 北 | 精装 | 低楼层(共26层)  | 板塔结合,7人关注 / 一年前发布,110,"8,713元/平"
此房满五没有增值税、板楼4层总高6层.公摊小.南北通透,紫晨小区 -涿州,3室2厅 | 108平米 | 南 北 | 精装 | 中楼层(共7层)  | 板楼,0人关注 / 一年前发布,55,"5,093元/平"
金利地产，品质社区，此房满二，南北双通透格局*好,金品时代 -涿州,3室2厅 | 135平米 | 南 北 | 毛坯 | 17层  | 板楼,25人关注 / 一年前发布,162,"12,000元/平"
好位置  采光好 南北大三居 全明格局,K2狮子城北区 -涿州,3室1厅 | 93平米 | 南 | 毛坯 | 24层  | 板塔结合,3人关注 / 6个月以前发布,77,"8,280元/平"
高铁新干线+全阳精装修三居+拎包入住+有本+看房方便,高铁新干线 -涿州,3室2厅 | 89平米 | 南 | 精装 | 低楼层(共26层)  | 板塔结合,5人关注 / 2个月以前发布,68,"7,641元/平"
业主急售 明厨明卫 南北三居 随时看房,K2狮子城北区 -涿州,3室1厅 | 91.7平米 | 南 北 | 简装 | 24层  | 板塔结合,10人关注 / 6个月以前发布,77,"8,397元/平"
鸿坤理想湾+通透F户型+无尾款+满二+中间楼层+毛坯,鸿坤理想湾北区 -涿州,3室2厅 | 91.63平米 | 南 北 | 毛坯 | 中楼层(共25层)  | 板塔结合,6人关注 / 4个月以前发布,86,"9,386元/平"
双塔户口 电梯房小三居，明厨明卫 可以直接拎包入住,天保郦景 -涿州,3室1厅 | 92平米 | 南 | 精装 | 中楼层(共21层)  | 板塔结合,3人关注 / 7个月以前发布,65,"7,066元/平"
开发区  高铁  双语  鸿坤理想湾  全南 三居室,鸿坤理想湾北区 -涿州,3室1厅 | 89平米 | 南 | 精装 | 中楼层(共25层)  | 板塔结合,2人关注 / 11个月以前发布,95,"10,675元/平"
鸿坤理想湾南向小三居，房本满二税费低,鸿坤理想湾南区 -涿州,3室1厅 | 88.6平米 | 南 | 简装 | 高楼层(共25层)  | 板塔结合,0人关注 / 一年前发布,70,"7,901元/平"
南北通透三居 无遮挡 距离高铁850米,K2狮子城北区 -涿州,3室2厅 | 94.37平米 | 南 北 | 毛坯 | 24层  | 板塔结合,1人关注 / 8个月以前发布,89,"9,431元/平"
开发区 惠友万悦城 1层带80平院子 南北通透 满二,惠友万悦城(涿州) -涿州,3室1厅 | 136平米 | 南 北 | 毛坯 | 低楼层(共17层)  | 板楼,1人关注 / 3个月以前发布,130,"9,559元/平"
狮子城南北通透三居，，好楼层，无遮挡,K2狮子城南区 -涿州,3室2厅 | 93平米 | 南 北 | 毛坯 | 22层  | 板塔结合,1人关注 / 6个月以前发布,89.9,"9,667元/平"
K2狮子城南区 3室1厅 南 北,K2狮子城南区 -涿州,3室1厅 | 93平米 | 南 北 | 毛坯 | 24层  | 板塔结合,0人关注 / 一年前发布,82,"8,818元/平"
联合小区二号院，南北通透户型，交通购物方便，,联合小区二号院 -涿州,3室2厅 | 108平米 | 南 北 | 简装 | 高楼层(共6层)  | 板楼,4人关注 / 9个月以前发布,64.9,"6,010元/平"
德信公园旁边  满五唯一  业主诚意出售,名流枫景洋房 -涿州,3室2厅 | 108平米 | 南 北 | 简装 | 低楼层(共6层)  | 板楼,6人关注 / 8个月以前发布,100,"9,260元/平"
华融现代城，洋房，全明三居 一梯两户 有本 有本,华融现代城 -涿州,3室2厅 | 97平米 | 南 北 | 毛坯 | 低楼层(共11层)  | 板楼,3人关注 / 一年前发布,70,"7,217元/平"
牛津花园 人车分流  南北通透三居 简装 满二,鹏渤印象城牛津花园 -涿州,3室2厅 | 99.13平米 | 南 北 | 简装 | 23层  | 板塔结合,3人关注 / 10个月以前发布,79,"7,970元/平"
成熟社区水乡园带阁楼小三居南北通透拎包入住税费低,水乡园 -涿州,3室2厅 | 98.43平米 | 南 北 | 简装 | 高楼层(共6层)  | 板楼,3人关注 / 3个月以前发布,62,"6,299元/平"
矿山局家属院地， 南北通透小三居。房本满五年。,矿山局家属楼南院 -涿州,3室1厅 | 60平米 | 南 北 | 简装 | 6层  | 板楼,0人关注 / 3个月以前发布,41,"6,834元/平"
凯旋门精装南北三居室，两梯三户，采光视野佳。,鸿盛凯旋门 -涿州,3室2厅 | 131平米 | 南 北 | 精装 | 高楼层(共18层)  | 板塔结合,0人关注 / 1个月以前发布,95,"7,252元/平"
紧凑三居，自住优选，满二税低，鸿坤品质。,鸿坤理想湾北区 -涿州,3室1厅 | 92.65平米 | 南 | 简装 | 低楼层(共25层)  | 板塔结合,12人关注 / 7个月以前发布,70,"7,556元/平"
房子属于朝南三居中间楼层无遮挡户型方正没有浪费空间,联合七号院 -涿州,3室2厅 | 97.86平米 | 南 | 简装 | 高楼层(共26层)  | 板塔结合,4人关注 / 一年前发布,66,"6,745元/平"
御景园南北通透大三居满二毛坯高楼层采光无遮挡,君临天下御景园 -涿州,3室2厅 | 145.5平米 | 南 北 | 毛坯 | 高楼层(共20层)  | 板楼,0人关注 / 3个月以前发布,180,"12,372元/平"
名流枫景五期 中间楼层 户型好 税低,名流枫景五期 -涿州,3室2厅 | 103平米 | 南 北 | 毛坯 | 中楼层(共7层)  | 板楼,7人关注 / 一年前发布,75,"7,282元/平"
此房满二、户型好、高楼层、视野开阔，随时看房有钥匙,宏远景园 -涿州,2室2厅 | 93.41平米 | 南 北 | 精装 | 高楼层(共17层)  | 板塔结合,7人关注 / 3个月以前发布,55,"5,889元/平"
板楼中间楼层 采光充足无遮挡无公摊,联合小区五号院 -涿州,3室2厅 | 115平米 | 南 北 | 简装 | 低楼层(共6层)  | 塔楼,0人关注 / 3个月以前发布,82,"7,131元/平"
户型方正    南北通透   大三居   三阳开泰户型,交通小区 -涿州,3室2厅 | 135平米 | 南 北 | 精装 | 高楼层(共6层)  | 板楼,1人关注 / 9个月以前发布,85,"6,297元/平"
