标题,开发商,房子信息,发布信息,售价/万,单价
市海景两房，东南朝向，户型方正，观小区园林,龍正中央海洋公園 -港口区,2室1厅 | 89平米 | 东南 | 毛坯 | 低楼层(共18层)  | 塔楼,1人关注 / 5个月以前发布,34.8,"3,911元/平"
一期两房，边户户型，朝南，明亮安静,龙光·阳光海岸一期 -港口区,2室2厅 | 68.69平米 | 东南 南 | 精装 | 低楼层(共27层)  | 塔楼,1人关注 / 6个月以前发布,32,"4,659元/平"
看海的两房面大，62平  屋内空间很大,龙光·阳光海岸一期 -港口区,2室2厅 | 62.48平米 | 西北 | 简装 | 高楼层(共27层)  | 塔楼,3人关注 / 11个月以前发布,30,"4,802元/平"
港口老城区大户型三房两卫，房子采光好,外运公司宿舍楼 -港口区,3室2厅 | 146.11平米 | 东南 | 简装 | 高楼层(共7层)  | 板塔结合,1人关注 / 1个月以前发布,33,"2,259元/平"
荣兴·亚太国际 3室2厅 南,荣兴·亚太国际 -港口区,3室2厅 | 120.2平米 | 南 | 简装 | 中楼层(共27层)  | 暂无数据,0人关注 / 25天以前发布,49,"4,077元/平"
祥龙苑 3室2厅 南,祥龙苑 -港口区,3室2厅 | 129.24平米 | 南 | 简装 | 高楼层(共13层)  | 板塔结合,0人关注 / 30天以前发布,50.5,"3,908元/平"
台湾城房子格局好位置佳，海边商场近,台湾城 -港口区,3室1厅 | 112.41平米 | 南 | 其他 | 中楼层(共17层)  | 板塔结合,0人关注 / 17天以前发布,45,"4,004元/平"
阳光海岸五期房子格局好位置佳海边近,龙光阳光海岸五期 -港口区,3室2厅 | 112平米 | 南 北 | 毛坯 | 高楼层(共26层)  | 暂无数据,0人关注 / 25天以前发布,58,"5,179元/平"
小区居住环境和物业服务态度都好，,乐天花园 -港口区,3室2厅 | 134.86平米 | 南 | 其他 | 高楼层(共11层)  | 板塔结合,1人关注 / 25天以前发布,48.6,"3,604元/平"
小区地段好，户型方正，生活配套成熟齐全,三顺财富中心 -港口区,2室1厅 | 93平米 | 南 | 简装 | 中楼层(共30层)  | 板塔结合,0人关注 / 一年前发布,35,"3,764元/平"
此房开间  采光充足。有证税满。,中央第一街 -港口区,1室1厅 | 40.98平米 | 北 | 简装 | 中楼层(共15层)  | 板塔结合,0人关注 / 3个月以前发布,13.5,"3,295元/平"
防城港港口区阳光海岸三期29号楼,龙光阳光海岸三期 -港口区,1室1厅 | 29.4平米 | 东 | 简装 | 高楼层(共19层)  | 板塔结合,14人关注 / 一年前发布,13.8,"4,694元/平"
小区位置优越，配套齐全，临湖临海，市场便利,博鑫双湾国际 -港口区,1室0厅 | 30.89平米 | 东南 | 简装 | 中楼层(共31层)  | 板楼,0人关注 / 2个月以前发布,11.8,"3,821元/平"
毛坯两房，看海，户型方正，即买即装修,晨华·红林海湾 -港口区,2室1厅 | 77.98平米 | 南 | 毛坯 | 低楼层(共32层)  | 板塔结合,0人关注 / 一年前发布,39,"5,002元/平"
龙光·阳光海岸二期 1室1厅 南,龙光·阳光海岸二期 -港口区,1室1厅 | 62.64平米 | 南 | 简装 | 高楼层(共15层)  | 板塔结合,1人关注 / 4个月以前发布,22,"3,513元/平"
夏威夷.城市广场 3室1厅 南 北,夏威夷.城市广场 -港口区,3室1厅 | 125.43平米 | 南 北 | 简装 | 中楼层(共7层)  | 板塔结合,0人关注 / 27天以前发布,51,"4,067元/平"
双湾国际房子格局好位置佳，旁边有桃花湖公园,博鑫双湾国际 -港口区,2室1厅 | 60平米 | 南 | 其他 | 低楼层(共31层)  | 板楼,0人关注 / 6天以前发布,25,"4,167元/平"
龙光阳光海岸三期 3室1厅 南,龙光阳光海岸三期 -港口区,3室1厅 | 92平米 | 南 | 其他 | 低楼层(共31层)  | 板塔结合,0人关注 / 11天以前发布,48.5,"5,272元/平"
通透户型  带装修 3+1房 品质小区,埠上桃源 -港口区,3室2厅 | 113.66平米 | 西南 东北 | 其他 | 中楼层(共28层)  | 塔楼,0人关注 / 9天以前发布,64,"5,631元/平"
海港城 3室2厅 北,海港城 -港口区,3室2厅 | 126.84平米 | 北 | 其他 | 中楼层(共33层)  | 板楼,0人关注 / 9天以前发布,50,"3,942元/平"
龙光·阳光海岸二期 2室1厅 北,龙光·阳光海岸二期 -港口区,2室1厅 | 71.68平米 | 北 | 简装 | 中楼层(共30层)  | 板塔结合,1人关注 / 4个月以前发布,33.8,"4,716元/平"
通透格局，视野宽阔，采光好地段好，办公/自住好地方,翡翠园 -港口区,4室2厅 | 121.98平米 | 南 北 | 毛坯 | 低楼层(共33层)  | 板塔结合,1人关注 / 3个月以前发布,57,"4,673元/平"
本房是防城港阳光海岸五期园林景观liangfang，毛坯l,龙光阳光海岸五期 -港口区,3室2厅 | 111.67平米 | 南 西南 | 毛坯 | 中楼层(共33层)  | 板塔结合,2人关注 / 4个月以前发布,52,"4,657元/平"
售桃花湾广场大三房+100平露台使用,碧海紫金城 -港口区,3室1厅 | 126.19平米 | 东 西北 | 简装 | 低楼层(共18层)  | 塔楼,0人关注 / 2个月以前发布,52,"4,121元/平"
阳光海岸二期大四房海景房通透户型,龙光·阳光海岸二期 -港口区,4室2厅 | 168.26平米 | 南 北 | 毛坯 | 低楼层(共17层)  | 板塔结合,0人关注 / 1个月以前发布,78,"4,636元/平"
户型方正，采光充足 交通便利 小区人车分流,翡翠园 -港口区,3室2厅 | 114平米 | 南 | 毛坯 | 中楼层(共32层)  | 暂无数据,0人关注 / 1个月以前发布,56,"4,913元/平"
证税满二，户型方正，南户型，带装修，，，，,铜锣湾 -港口区,3室2厅 | 136.69平米 | 南 | 简装 | 中楼层(共34层)  | 板塔结合,2人关注 / 3个月以前发布,53,"3,878元/平"
中间区埠上桃源捡漏，业主急售白菜价！,埠上桃源 -港口区,4室2厅 | 128.13平米 | 南 | 毛坯 | 低楼层(共28层)  | 板塔结合,23人关注 / 一年前发布,70,"5,464元/平"
业主急售，4房2厅2卫生间，高层毛坯房可贷款,铜锣湾 -港口区,4室2厅 | 128.78平米 | 南 北 | 毛坯 | 高楼层(共33层)  | 板塔结合,5人关注 / 4个月以前发布,51,"3,961元/平"
小高层，小区绿化好，氛围好，海边近,龙光·阳光海岸二期 -港口区,3室2厅 | 121.92平米 | 西 | 毛坯 | 高楼层(共17层)  | 板塔结合,0人关注 / 一年前发布,50,"4,102元/平"
钻石园，4楼，3房2厅2卫，业主急售，价格可小议！,钻石园 -港口区,3室2厅 | 112.27平米 | 北 | 毛坯 | 低楼层(共38层)  | 板塔结合,1人关注 / 7个月以前发布,50.5,"4,499元/平"
碧桂园滨海城3房2厅2卫 楼层美丽,碧桂园滨海城 -港口区,3室2厅 | 113.79平米 | 南 | 精装 | 高楼层(共33层)  | 塔楼,0人关注 / 2个月以前发布,68,"5,976元/平"
房子是毛坯房，可以按照意愿装修，户型方正，,荣顾公园里 -港口区,3室2厅 | 104.98平米 | 南 | 毛坯 | 中楼层(共32层)  | 板塔结合,7人关注 / 一年前发布,51,"4,859元/平"
急售铜锣湾 大三房 简单装修 干净整洁,铜锣湾 -港口区,3室1厅 | 144.73平米 | 南 | 简装 | 中楼层(共34层)  | 塔楼,0人关注 / 4个月以前发布,60.8,"4,201元/平"
业主急售港口小三房东西通透采光足,祥龙苑 -港口区,3室2厅 | 92.5平米 | 东 西 | 简装 | 高楼层(共6层)  | 暂无数据,0人关注 / 1个月以前发布,30.6,"3,309元/平"
南北格局 小区环境很好，品质好.配套也好,埠上桃源 -港口区,3室2厅 | 115.48平米 | 南 | 毛坯 | 中楼层(共31层)  | 暂无数据,3人关注 / 3个月以前发布,62,"5,369元/平"
翡翠园二期，中高楼层，通透格局，交通便利,翡翠园 -港口区,3室2厅 | 110.63平米 | 南 | 毛坯 | 高楼层(共33层)  | 塔楼,0人关注 / 2个月以前发布,46.8,"4,231元/平"
阳光海岸四期三房，朝南户型方正，采光好，接受贷款,龙光阳光海岸四期 -港口区,3室2厅 | 93平米 | 南 | 毛坯 | 低楼层(共33层)  | 板塔结合,1人关注 / 3个月以前发布,41.7,"4,484元/平"
中楼层视野广阔采光充足，小区配套完善成熟生活方便,德城.新世界 -港口区,2室2厅 | 81.8平米 | 南 | 简装 | 高楼层(共17层)  | 板楼,2人关注 / 22天以前发布,32,"3,912元/平"
【双子座商业广场】大三房，精装修，南向，拎包入住,双子座商业广场 -港口区,3室2厅 | 142.75平米 | 南 | 精装 | 高楼层(共30层)  | 塔楼,0人关注 / 18天以前发布,80,"5,605元/平"
西湾上城两房出售精装修朝南户型,西湾上城 -港口区,2室1厅 | 93.63平米 | 东南 | 简装 | 中楼层(共26层)  | 暂无数据,0人关注 / 17天以前发布,38.8,"4,144元/平"
桂海星座 两房两厅一卫  家具家电齐全 拎包入住,桂海星座 -港口区,2室1厅 | 80.48平米 | 东 西 | 简装 | 中楼层(共27层)  | 板塔结合,0人关注 / 2个月以前发布,32.9,"4,088元/平"
龙光阳光海岸五期 2室2厅 南,龙光阳光海岸五期 -港口区,2室2厅 | 88平米 | 南 | 毛坯 | 中楼层(共33层)  | 暂无数据,0人关注 / 9天以前发布,42,"4,773元/平"
单独门户，独门独院，户型方正合理，楼层好视野好！,翡翠园 -港口区,3室2厅 | 101平米 | 北 | 毛坯 | 中楼层(共32层)  | 暂无数据,0人关注 / 1个月以前发布,46.8,"4,634元/平"
业主急售毛坯3房2卫生间，南北方向，看园林景观,中冶●金海都 -港口区,3室1厅 | 122.6平米 | 南 | 毛坯 | 中楼层(共32层)  | 板塔结合,2人关注 / 3个月以前发布,52,"4,242元/平"
户型方正，中间楼层，配套成熟，含车位,荣顾公园里 -港口区,3室2厅 | 114.59平米 | 南 | 毛坯 | 中楼层(共32层)  | 板塔结合,0人关注 / 1个月以前发布,56.9,"4,966元/平"
四通八达泰城幸福里，距离高铁站，汽车总站500米,泰城幸福里 -港口区,3室2厅 | 121.15平米 | 北 | 毛坯 | 低楼层(共26层)  | 板塔结合,0人关注 / 1个月以前发布,44.5,"3,674元/平"
精装修3房2卫，南北方向，没有住过人，税满2年可贷款,防城港恒大悦珑湾 -港口区,3室2厅 | 114平米 | 南 北 | 精装 | 中楼层(共26层)  | 塔楼,2人关注 / 10个月以前发布,69,"6,053元/平"
四通八达泰城幸福雅居，距离高铁站，汽车总站500米，,泰城幸福雅居 -港口区,3室2厅 | 120.9平米 | 南 | 毛坯 | 中楼层(共31层)  | 暂无数据,0人关注 / 2个月以前发布,44.5,"3,681元/平"
远通上城 3室1厅 南,远通上城 -防城区,3室1厅 | 126平米 | 南 | 毛坯 | 低楼层(共6层)  | 暂无数据,3人关注 / 5个月以前发布,41,"3,254元/平"
户型方正，交通便利，采光充足，视野开阔,龙光阳光海岸四期 -港口区,4室2厅 | 126.57平米 | 东南 | 精装 | 低楼层(共33层)  | 板塔结合,1人关注 / 4个月以前发布,72,"5,689元/平"
CBD商圈通透三房，户型方正，中高楼层，采光充足,海港城 -港口区,3室2厅 | 130.88平米 | 南 北 | 毛坯 | 中楼层(共31层)  | 板塔结合,1人关注 / 4个月以前发布,48.5,"3,706元/平"
碧玉园 大三房 近四中 朝南 采光良好,碧玉园 -港口区,3室2厅 | 120.12平米 | 南 | 毛坯 | 高楼层(共32层)  | 塔楼,2人关注 / 一年前发布,48.5,"4,038元/平"
此房满二，户型好，楼层好，视野宽敞，采光充足,龙光阳光海岸四期 -港口区,3室2厅 | 104.85平米 | 东南 | 毛坯 | 高楼层(共33层)  | 板塔结合,1人关注 / 10个月以前发布,52,"4,960元/平"
此房为湖景大四房，户型方正，视野开阔,龙光阳光海岸五期 -港口区,4室2厅 | 116.55平米 | 东南 | 精装 | 高楼层(共33层)  | 暂无数据,1人关注 / 2个月以前发布,89,"7,637元/平"
楼层好，小户型，视野宽阔，采光充足，配套设施齐全,四通八达国际广场A区 -港口区,3室2厅 | 121平米 | 北 | 毛坯 | 中楼层(共28层)  | 板楼,0人关注 / 1个月以前发布,47,"3,885元/平"
小区属于优雅的中式园林景观，环境优雅的小区,欧景蓝湾 -港口区,3室2厅 | 135平米 | 南 | 精装 | 低楼层(共18层)  | 板塔结合,10人关注 / 一年前发布,50,"3,704元/平"
海湾公馆小区，环境优美，楼间距大,海湾公馆 -港口区,3室2厅 | 136.8平米 | 北 | 其他 | 高楼层(共25层)  | 板塔结合,0人关注 / 一年前发布,52,"3,802元/平"
翡翠园大四房，通透户型，有证税满，支持按揭,翡翠园 -港口区,4室2厅 | 138.82平米 | 南 北 | 毛坯 | 低楼层(共33层)  | 板塔结合,38人关注 / 一年前发布,56,"4,035元/平"
晨华御府 3室2厅 南,晨华御府 -港口区,3室2厅 | 87.1平米 | 南 | 毛坯 | 中楼层(共26层)  | 暂无数据,0人关注 / 31天以前发布,50,"5,741元/平"
翡翠园 3室2厅 北,翡翠园 -港口区,3室2厅 | 100.25平米 | 北 | 毛坯 | 低楼层(共32层)  | 暂无数据,0人关注 / 1个月以前发布,39.8,"3,971元/平"
龙光阳光海岸三期 3室2厅 南,龙光阳光海岸三期 -港口区,3室2厅 | 119平米 | 南 | 简装 | 高楼层(共31层)  | 板塔结合,0人关注 / 2个月以前发布,67,"5,631元/平"
一期洋房，二楼 ，南北通透户型，安静宽敞，价格便宜,龙光·阳光海岸一期 -港口区,3室2厅 | 155.16平米 | 南 北 | 毛坯 | 中楼层(共4层)  | 板楼,0人关注 / 1个月以前发布,66,"4,254元/平"
龙光·阳光海岸二期 3室2厅 南 北,龙光·阳光海岸二期 -港口区,3室2厅 | 114平米 | 南 北 | 毛坯 | 高楼层(共30层)  | 板塔结合,1人关注 / 3个月以前发布,53.2,"4,667元/平"
阳光海岸三期合院出售，户型视野好,龙光阳光海岸三期 -港口区,3室2厅 | 114.51平米 | 北 南 | 简装 | 高楼层(共5层)  | 板楼,8人关注 / 一年前发布,50,"4,367元/平"
龙光·阳光海岸二期 3室2厅 南,龙光·阳光海岸二期 -港口区,3室2厅 | 121.59平米 | 南 | 其他 | 中楼层(共29层)  | 板塔结合,0人关注 / 1个月以前发布,60.7,"4,993元/平"
房东急售，价格合理，采光充足。配套设施齐全,瑞海尚都 -港口区,3室2厅 | 125.37平米 | 南 | 其他 | 高楼层(共16层)  | 暂无数据,2人关注 / 6个月以前发布,54,"4,308元/平"
夏威夷豪庭朝南89.43平大两室毛坯  满二  可按揭,夏威夷豪庭 -港口区,2室1厅 | 89.43平米 | 南 | 毛坯 | 中楼层(共32层)  | 板塔结合,3人关注 / 4个月以前发布,32,"3,579元/平"
碧桂园滨海城 3室2厅 东南,碧桂园滨海城 -港口区,3室2厅 | 93.39平米 | 东南 | 精装 | 高楼层(共33层)  | 塔楼,5人关注 / 一年前发布,56,"5,997元/平"
急售！桂海塞纳庄园一房一厅4500元！,桂海·塞纳庄园 -港口区,1室1厅 | 60.63平米 | 北 | 毛坯 | 低楼层(共30层)  | 板楼,1人关注 / 4个月以前发布,22,"3,629元/平"
翡翠园住宅户型，明亮通透、动静分开、洁污分离、,翡翠园 -港口区,3室2厅 | 101.88平米 | 南 | 毛坯 | 中楼层(共32层)  | 暂无数据,0人关注 / 1个月以前发布,45,"4,417元/平"
埠上桃源 4室2厅 南 北,埠上桃源 -港口区,4室2厅 | 141平米 | 南 北 | 毛坯 | 低楼层(共31层)  | 暂无数据,2人关注 / 4个月以前发布,77.5,"5,497元/平"
"地势好,阳光充足,全明好户型,小区环境好,户型很好",防城港恒大悦珑湾 -港口区,3室2厅 | 104平米 | 南 | 精装 | 中楼层(共32层)  | 塔楼,0人关注 / 7个月以前发布,63.5,"6,106元/平"
阳光海岸四期 双阳台通透户型 带装修拎包入住！,龙光阳光海岸四期 -港口区,4室2厅 | 126平米 | 东南 | 简装 | 低楼层(共33层)  | 塔楼,0人关注 / 6个月以前发布,67.8,"5,381元/平"
户型方正，舒适三房，中间楼层，价格可议,恒大御景湾 -港口区,3室2厅 | 111.52平米 | 东南 南 | 精装 | 中楼层(共30层)  | 塔楼,2人关注 / 1个月以前发布,55.4,"4,968元/平"
中冶兴港华府通透大三房，中层带装修出售，户型方正。,中冶兴港华府 -港口区,3室2厅 | 111平米 | 南 | 简装 | 中楼层(共18层)  | 板塔结合,1人关注 / 一年前发布,45,"4,055元/平"
通透两房，精装修，无遮挡，视野好，好楼层,晨华御府 -港口区,2室2厅 | 75.05平米 | 南 | 精装 | 中楼层(共25层)  | 暂无数据,0人关注 / 2个月以前发布,50,"6,663元/平"
海湾1号 1室0厅 西,海湾1号 -港口区,1室0厅 | 38.06平米 | 西 | 精装 | 中楼层(共32层)  | 塔楼,1人关注 / 9个月以前发布,17.8,"4,677元/平"
毛坯随意装修  有证满五唯一   有钥匙随时看房,博鑫双湾国际 -港口区,2室2厅 | 73平米 | 北 | 毛坯 | 低楼层(共31层)  | 板楼,1人关注 / 7个月以前发布,21.5,"2,946元/平"
此房满二，对流通风，精装修，现房，24小时有保安值班,碧桂园滨海城 -港口区,2室2厅 | 93平米 | 南 北 | 精装 | 中楼层(共33层)  | 塔楼,0人关注 / 7个月以前发布,54,"5,807元/平"
此房是海景复式楼毛坯朝南看海采光好户型方正带大露台,晨华·红林海湾 -港口区,5室2厅 | 229.28平米 | 南 | 毛坯 | 高楼层(共31层)  | 板塔结合,4人关注 / 一年前发布,126,"5,496元/平"
博鑫双湾国际 2室1厅 南,博鑫双湾国际 -港口区,2室1厅 | 59.51平米 | 南 | 简装 | 中楼层(共31层)  | 板楼,1人关注 / 1个月以前发布,24.5,"4,117元/平"
阳光海岸蔚蓝假日三期 2室2厅 东北,阳光海岸蔚蓝假日三期 -港口区,2室2厅 | 67平米 | 东北 | 其他 | 低楼层(共33层)  | 暂无数据,0人关注 / 6个月以前发布,31.2,"4,657元/平"
格局好，楼层好，视野宽阔，采光充足，配套设施齐全。,永恒幸福梦居 -港口区,2室1厅 | 87.42平米 | 南 | 毛坯 | 高楼层(共31层)  | 暂无数据,0人关注 / 1个月以前发布,39.2,"4,485元/平"
双湾国际，经典两房，户型合理！,博鑫双湾国际 -港口区,2室1厅 | 62.7平米 | 南 | 简装 | 高楼层(共31层)  | 板楼,7人关注 / 11个月以前发布,25,"3,988元/平"
户型方正，出行方便，小区绿化好,埠上桃源 -港口区,3室1厅 | 97.7平米 | 南 | 精装 | 高楼层(共28层)  | 板塔结合,1人关注 / 4个月以前发布,50,"5,118元/平"
夏威夷城市广场125.52平带装修3房2厅2卫,夏威夷.城市广场 -港口区,3室2厅 | 125.52平米 | 南 北 | 简装 | 中楼层(共7层)  | 板塔结合,8人关注 / 一年前发布,50,"3,984元/平"
四大场馆，市政府旁边，近市场银行，高铁站五公里处。,碧玉园 -港口区,3室2厅 | 130.37平米 | 北 | 简装 | 高楼层(共31层)  | 板塔结合,0人关注 / 4个月以前发布,58,"4,449元/平"
富森领峰 4室2厅 西南,富森领峰 -港口区,4室2厅 | 143平米 | 西南 | 精装 | 中楼层(共24层)  | 板楼,0人关注 / 2个月以前发布,90,"6,294元/平"
海湾公馆三房两卫 视野开阔 无遮挡  出行方便,海湾公馆 -港口区,3室1厅 | 139.24平米 | 北 | 简装 | 高楼层(共26层)  | 板塔结合,0人关注 / 3个月以前发布,51.5,"3,699元/平"
翡翠园二期采光佳的家庭住房，明亮通透,翡翠园 -港口区,3室2厅 | 112平米 | 南 | 毛坯 | 低楼层(共33层)  | 塔楼,0人关注 / 1个月以前发布,53.5,"4,777元/平"
此房证满二年，方正视野宽阔，楼层好,擎天悦海豪庭 -港口区,3室2厅 | 100平米 | 南 | 其他 | 低楼层(共15层)  | 板楼,1人关注 / 10个月以前发布,53,"5,300元/平"
龙光·阳光海岸二期 2室2厅 南,龙光·阳光海岸二期 -港口区,2室2厅 | 70.69平米 | 南 | 简装 | 中楼层(共17层)  | 板塔结合,0人关注 / 4个月以前发布,36,"5,093元/平"
龙光·阳光海岸二期 1室1厅 东南,龙光·阳光海岸二期 -港口区,1室1厅 | 28.5平米 | 东南 | 简装 | 高楼层(共15层)  | 板塔结合,3人关注 / 3个月以前发布,11.8,"4,141元/平"
房子毛坯，根据自己喜欢的风格装修,永恒幸福梦居 -港口区,1室1厅 | 58平米 | 南 | 毛坯 | 中楼层(共31层)  | 暂无数据,0人关注 / 8个月以前发布,21.8,"3,759元/平"
此房契税满两年，采光充足，通风户型好，交通便利。,中央第一街 -港口区,2室2厅 | 85.1平米 | 南 | 简装 | 中楼层(共25层)  | 板塔结合,7人关注 / 一年前发布,32.4,"3,808元/平"
房子采光通透，业主想置换 。。。。,三生观邸 -港口区,3室2厅 | 98.29平米 | 南 | 精装 | 中楼层(共31层)  | 板塔结合,3人关注 / 6个月以前发布,37,"3,765元/平"
带精装修家具家电，拎包入住，业主急售!,埠上桃源 -港口区,2室2厅 | 78.45平米 | 东南 | 精装 | 中楼层(共28层)  | 塔楼,0人关注 / 2个月以前发布,40.8,"5,201元/平"
户型方正.采光充足.视野宽阔带装修拎包入住,晨华·红林海湾 -港口区,2室2厅 | 101平米 | 南 | 毛坯 | 中楼层(共31层)  | 板塔结合,0人关注 / 1个月以前发布,37,"3,664元/平"
小区环境好，户型方正，交通方便，园博园在东侧,碧桂园滨海城 -港口区,2室2厅 | 78平米 | 南 | 精装 | 低楼层(共33层)  | 塔楼,0人关注 / 一年前发布,43,"5,513元/平"
晨华·红林海湾 2室2厅 东南,晨华·红林海湾 -港口区,2室2厅 | 104平米 | 东南 | 毛坯 | 中楼层(共31层)  | 板塔结合,6人关注 / 一年前发布,42,"4,039元/平"
翡翠园住宅户型，明亮通透、动静分开、洁污分离,翡翠园 -港口区,2室2厅 | 79.54平米 | 南 北 | 简装 | 高楼层(共26层)  | 板塔结合,0人关注 / 1个月以前发布,36.5,"4,589元/平"
龙光阳光海岸三期 2室1厅 南 北,龙光阳光海岸三期 -港口区,2室1厅 | 78平米 | 南 北 | 简装 | 中楼层(共21层)  | 板塔结合,4人关注 / 1个月以前发布,36.5,"4,680元/平"
博鑫双湾国际 1室0厅 南,博鑫双湾国际 -港口区,1室0厅 | 24平米 | 南 | 毛坯 | 高楼层(共31层)  | 板楼,0人关注 / 2个月以前发布,10,"4,167元/平"
金地时代广场 1室0厅 北,金地时代广场 -港口区,1室0厅 | 52.49平米 | 北 | 毛坯 | 中楼层(共25层)  | 暂无数据,0人关注 / 6天以前发布,17,"3,239元/平"
