标题,开发商,房子信息,发布信息,售价/万,单价
此房为毛坯4房 看小区园林 户型很好 楼层好,珠江·云锦 -雁峰区,4室2厅 | 128.22平米 | 南 | 毛坯 | 中楼层(共32层)  | 板塔结合,0人关注 / 5天以前发布,68.8,"5,366元/平"
金钟大雁城 4房2厅2卫 公摊小 户型方正 采光好,金钟大雁城 -蒸湘区,4室2厅 | 125平米 | 南 北 | 毛坯 | 高楼层(共30层)  | 暂无数据,0人关注 / 13天以前发布,78,"6,240元/平"
此房源户型好 方正实用 原房东精装修 保养得好,愉景新城 -蒸湘区,3室2厅 | 117.16平米 | 南 北 | 精装 | 高楼层(共18层)  | 暂无数据,1人关注 / 14天以前发布,71.6,"6,112元/平"
此房满两年 格局好 楼层好 采光充足 配套设施齐全,接龙村小区 -雁峰区,3室2厅 | 90平米 | 南 | 精装 | 中楼层(共9层)  | 暂无数据,0人关注 / 9天以前发布,25.8,"2,867元/平"
聚鑫园  有烟火味的家   三房两厅  动静皆宁,聚鑫园 -蒸湘区,3室2厅 | 138.51平米 | 南 北 | 精装 | 高楼层(共8层)  | 暂无数据,0人关注 / 7个月以前发布,55.8,"4,029元/平"
蒸水河畔  蒸湘世纪城   新出高层  江景大宅,蒸湘世纪城 -蒸湘区,4室2厅 | 179平米 | 南 北 | 毛坯 | 高楼层(共26层)  | 板塔结合,9人关注 / 8个月以前发布,85.8,"4,794元/平"
此房位置好，公交车多 配套齐全 交通四八达,高铁花苑 -珠晖区,3室2厅 | 130.33平米 | 南 | 毛坯 | 高楼层(共7层)  | 暂无数据,1人关注 / 6个月以前发布,45,"3,453元/平"
香江水岸新城 3室2厅 东南,香江水岸新城 -蒸湘区,3室2厅 | 135平米 | 东南 | 毛坯 | 高楼层(共6层)  | 板楼,16人关注 / 一年前发布,105,"7,778元/平"
雁景嘉园  准电梯  南北通透大三房,雁景嘉园 -蒸湘区,3室2厅 | 135平米 | 南 北 | 精装 | 高楼层(共8层)  | 暂无数据,24人关注 / 6个月以前发布,33.58,"2,488元/平"
华新海博星都， 衡州小  学门口，园林小区2019年交房,海博星都 -蒸湘区,3室2厅 | 138.25平米 | 南 北 | 毛坯 | 中楼层(共30层)  | 暂无数据,0人关注 / 1个月以前发布,75.8,"5,483元/平"
雅士林欣城 4室2厅 南 北,雅士林欣城 -石鼓区,4室2厅 | 145平米 | 南 北 | 毛坯 | 低楼层(共6层)  | 暂无数据,1人关注 / 9个月以前发布,90,"6,207元/平"
银泰红城一期南北向带全屋地暖，一手业主红本在手税少,银泰红城 -蒸湘区,3室2厅 | 120平米 | 南 北 | 精装 | 中楼层(共5层)  | 暂无数据,10人关注 / 7个月以前发布,95,"7,917元/平"
愉景新城，精装大4房，9成新 大双阳台，实际面积大,愉景新城 -蒸湘区,4室2厅 | 158平米 | 北 南 | 精装 | 高楼层(共32层)  | 暂无数据,0人关注 / 3个月以前发布,104.7,"6,627元/平"
融冠非墅 江景景观电梯三房 简欧风 给您不一样的感觉,融冠非墅 -蒸湘区,3室2厅 | 129平米 | 南 北 | 精装 | 低楼层(共18层)  | 板塔结合,3人关注 / 7个月以前发布,85.8,"6,652元/平"
拓兴花苑 3室2厅 南,拓兴花苑 -蒸湘区,3室2厅 | 112.44平米 | 南 | 精装 | 低楼层(共8层)  | 暂无数据,5人关注 / 一年前发布,61.9,"5,506元/平"
华新 衡阳钢管厂 现房 大3房  精装修  出售,衡阳钢管厂住宅 -蒸湘区,4室2厅 | 107.6平米 | 南 | 简装 | 中楼层(共7层)  | 暂无数据,0人关注 / 4个月以前发布,43.8,"4,071元/平"
房东诚信出售、此房属于t太平小区单位家属房、,太平一社区 -蒸湘区,3室2厅 | 63.04平米 | 南 | 简装 | 高楼层(共6层)  | 暂无数据,0人关注 / 1个月以前发布,24.8,"3,935元/平"
房子属于单位家属房、充足停车位、户型采光好、,阳辉桥社区 -蒸湘区,3室2厅 | 77.37平米 | 南 | 其他 | 中楼层(共8层)  | 暂无数据,1人关注 / 1个月以前发布,27.8,"3,594元/平"
华新愉景新城 户型方正大客厅 有三个阳台主卧房间很大,愉景新城 -蒸湘区,4室2厅 | 158.17平米 | 南 | 毛坯 | 高楼层(共32层)  | 暂无数据,4人关注 / 11个月以前发布,79,"4,995元/平"
该房位于红湘北路与西合路交汇处，客厅朝东，带平台,红湘花苑 -蒸湘区,2室2厅 | 93.32平米 | 东 | 精装 | 高楼层(共7层)  | 暂无数据,0人关注 / 3天以前发布,28.8,"3,087元/平"
电梯宽敞三居两厅，价格实惠，生活配套齐.。,东方巴黎 -珠晖区,3室2厅 | 135.64平米 | 南 | 精装 | 低楼层(共17层)  | 暂无数据,0人关注 / 7天以前发布,68,"5,014元/平"
雅士林欣城 电梯洋房 全新毛坯 南北通透,雅士林欣城 -石鼓区,3室2厅 | 114.67平米 | 南 北 | 毛坯 | 低楼层(共6层)  | 暂无数据,0人关注 / 4天以前发布,52.8,"4,605元/平"
蒸湘区房龄新带物业小区 带车库另售5万,御華雅居 -蒸湘区,3室2厅 | 126平米 | 南 | 精装 | 低楼层(共8层)  | 暂无数据,0人关注 / 6天以前发布,49.8,"3,953元/平"
房子在卖，朝南户型，采光通透，大3房，可出租可入住,都市春天 -蒸湘区,3室2厅 | 152平米 | 南 | 简装 | 中楼层(共31层)  | 暂无数据,0人关注 / 3天以前发布,79,"5,198元/平"
雁峰区金钟时代城带车位朝南产权证满二采光好视野广,金钟时代城 -雁峰区,3室2厅 | 109.6平米 | 南 | 毛坯 | 中楼层(共32层)  | 暂无数据,0人关注 / 8天以前发布,72.8,"6,643元/平"
愉景湾  电梯精装2+1户型  诚心出售,珠江愉景湾 -蒸湘区,3室2厅 | 97平米 | 东南 | 精装 | 中楼层(共28层)  | 暂无数据,0人关注 / 2天以前发布,60.8,"6,269元/平"
西湖公园旁 三楼，出行方便，市场就在家隔壁,易赖街72号 -石鼓区,2室2厅 | 95.83平米 | 南 | 简装 | 中楼层(共8层)  | 暂无数据,0人关注 / 13天以前发布,29.8,"3,110元/平"
环城北路 带天然气 通风透气 拎包入住,环城北路 -石鼓区,3室1厅 | 64.29平米 | 南 | 精装 | 高楼层(共8层)  | 暂无数据,0人关注 / 15天以前发布,15,"2,334元/平"
愉景新城 紧凑3室毛坯  正南朝向,愉景新城 -蒸湘区,3室2厅 | 97平米 | 南 | 毛坯 | 中楼层(共28层)  | 板塔结合,0人关注 / 8天以前发布,53,"5,464元/平"
愉景湾东域   电梯中层  3加1户型  精装  诚心出售,愉景湾东域 -蒸湘区,3室2厅 | 108平米 | 南 | 精装 | 中楼层(共18层)  | 塔楼,0人关注 / 4天以前发布,68,"6,297元/平"
石鼓区江山花苑 低密度大型社区 毛坯大3房 交通便利,江山花苑 -石鼓区,3室2厅 | 126.78平米 | 南 | 毛坯 | 低楼层(共8层)  | 板塔结合,0人关注 / 3天以前发布,47.5,"3,747元/平"
此房 配套成熟 生活便利 满2年少税 可停车,冠都现代城A1区 -蒸湘区,1室1厅 | 33平米 | 东南 | 精装 | 低楼层(共18层)  | 暂无数据,0人关注 / 19天以前发布,22.6,"6,849元/平"
业主诚心出售，大型园林小区。中间楼层，交通便利,华耀碧桂园十里江湾 -石鼓区,3室2厅 | 115平米 | 南 北 | 精装 | 低楼层(共34层)  | 暂无数据,1人关注 / 21天以前发布,65,"5,653元/平"
愉景新城　精装新婚三房　业主现外地发展　诚意出让,愉景新城 -蒸湘区,3室2厅 | 122.2平米 | 南 | 精装 | 低楼层(共32层)  | 板楼,0人关注 / 25天以前发布,76.8,"6,285元/平"
此房满二.房东诚心出售，采光好楼层好,银泰红城 -蒸湘区,3室2厅 | 118平米 | 南 | 毛坯 | 中楼层(共26层)  | 塔楼,0人关注 / 23天以前发布,80,"6,780元/平"
融冠乐城 全新毛坯 五房二厅三卫,融冠乐城 -蒸湘区,5室2厅 | 152平米 | 南 北 | 毛坯 | 中楼层(共33层)  | 暂无数据,0人关注 / 31天以前发布,96,"6,316元/平"
楼层好！房屋方正，采光充足。配套设施齐全，交通便利,东方巴黎 -珠晖区,3室2厅 | 135.65平米 | 南 | 精装 | 中楼层(共32层)  | 暂无数据,0人关注 / 6个月以前发布,77.5,"5,714元/平"
衡阳名郡 万达商圈 南北通透小三房 青年精英社区,衡阳名郡 -蒸湘区,3室1厅 | 97平米 | 南 北 | 简装 | 低楼层(共19层)  | 暂无数据,12人关注 / 一年前发布,60,"6,186元/平"
金阳花苑   跃式精装三房   户型方正,金陽花苑小区 -蒸湘区,3室2厅 | 152.33平米 | 南 北 | 精装 | 中楼层(共7层)  | 板楼,2人关注 / 8个月以前发布,68.6,"4,504元/平"
东江丽景电梯房 四房两厅两卫  业主诚心出售,东江丽景 -珠晖区,4室2厅 | 148.58平米 | 南 | 简装 | 高楼层(共8层)  | 暂无数据,0人关注 / 1个月以前发布,58.8,"3,958元/平"
此房楼龄新，小区地理位置好，不临街，前后无遮挡,万恒公馆 -蒸湘区,4室2厅 | 127.65平米 | 南 | 毛坯 | 高楼层(共32层)  | 板塔结合,0人关注 / 7个月以前发布,88,"6,894元/平"
华新开发区融冠亲城  4室2厅1卫,融冠亲城 -蒸湘区,4室2厅 | 91平米 | 南 | 精装 | 低楼层(共33层)  | 暂无数据,0人关注 / 16天以前发布,75.8,"8,330元/平"
湘水明珠，联排别墅，毛坯任君发挥，带花园，独立车库,湘水明珠 -珠晖区,7室3厅 | 358.49平米 | 南 | 毛坯 | 低楼层(共4层)  | 暂无数据,3人关注 / 8个月以前发布,328,"9,150元/平"
蒸湘南华隔壁 名仕华府小高层电梯房,名仕华府 -蒸湘区,3室2厅 | 111平米 | 南 | 精装 | 低楼层(共19层)  | 暂无数据,0人关注 / 14天以前发布,52.8,"4,757元/平"
环保花园 4室2厅 南 北,环保花园 -蒸湘区,4室2厅 | 143.96平米 | 南 北 | 毛坯 | 低楼层(共29层)  | 暂无数据,1人关注 / 1个月以前发布,82,"5,697元/平"
钻石城 3室2厅 南,钻石城 -蒸湘区,3室2厅 | 133.88平米 | 南 | 简装 | 高楼层(共19层)  | 暂无数据,2人关注 / 7个月以前发布,69.8,"5,214元/平"
华新　康馨苑 单位家属房 二梯二户纯板房  毛坯三房,康馨苑 -蒸湘区,3室2厅 | 127.42平米 | 东南 | 毛坯 | 低楼层(共30层)  | 板楼,4人关注 / 一年前发布,69.8,"5,478元/平"
恒大绿洲 三房二厅二卫 满二年 精空装修,恒大绿洲 -蒸湘区,3室2厅 | 122平米 | 南 | 精装 | 低楼层(共32层)  | 暂无数据,0人关注 / 13天以前发布,75.8,"6,214元/平"
河边  湘江北路  房东精装修大4房  老城区  地段好,湘江北路17号 -石鼓区,5室2厅 | 131.97平米 | 南 北 | 精装 | 中楼层(共9层)  | 暂无数据,7人关注 / 一年前发布,46.8,"3,547元/平"
南北通透大四房，使用面积大单位集资房，楼层好带电梯,工行银行家属楼 -蒸湘区,4室2厅 | 157.58平米 | 南 北 | 精装 | 中楼层(共9层)  | 暂无数据,0人关注 / 3个月以前发布,68,"4,316元/平"
耀江花园 东湖居三楼 小高层洋楼纯板房68万元,雁西湖耀江花园 -石鼓区,3室2厅 | 135.7平米 | 南 | 毛坯 | 中楼层(共6层)  | 暂无数据,2人关注 / 6个月以前发布,59.8,"4,407元/平"
华新大型小区朝南大3房户型方正视野开阔，电梯中高层,银泰红城 -蒸湘区,3室2厅 | 110平米 | 南 | 毛坯 | 高楼层(共32层)  | 暂无数据,0人关注 / 15天以前发布,72.8,"6,619元/平"
石坳单位家属房 有门卫大量停车卫,石坳家属院 -蒸湘区,3室2厅 | 59平米 | 南 | 精装 | 中楼层(共9层)  | 板塔结合,0人关注 / 14天以前发布,26.8,"4,543元/平"
弘扬广场旁步梯2楼4，精装3房，南北方向带小平台。,立新二社区 -蒸湘区,3室2厅 | 133.75平米 | 南 北 | 精装 | 低楼层(共8层)  | 暂无数据,2人关注 / 4个月以前发布,51.8,"3,873元/平"
华新，带50平露天花园，生活方便，非顶楼,泰宇花园 -蒸湘区,3室2厅 | 113.36平米 | 南 | 毛坯 | 高楼层(共23层)  | 暂无数据,10人关注 / 一年前发布,62.8,"5,540元/平"
此房满二年，税费少，带入户花园，视野开阔配套齐,银泰红城 -蒸湘区,4室2厅 | 132.01平米 | 南 | 毛坯 | 中楼层(共5层)  | 暂无数据,3人关注 / 6个月以前发布,76.8,"5,818元/平"
洋州丽园，清水毛坯，任君发挥，,洋州麗園 -蒸湘区,3室2厅 | 103.29平米 | 南 | 毛坯 | 中楼层(共29层)  | 暂无数据,0人关注 / 6个月以前发布,55,"5,325元/平"
华新 雅士林湘苑 精装3室2厅2卫 拎包入住,雅士林湘苑 -蒸湘区,3室2厅 | 143.66平米 | 南 北 | 精装 | 中楼层(共11层)  | 板塔结合,0人关注 / 2个月以前发布,83.8,"5,834元/平"
恒大绿洲 带入户花园 满二年  九成新装修 拎包入住,恒大绿洲 -蒸湘区,3室2厅 | 122平米 | 南 | 毛坯 | 中楼层(共32层)  | 暂无数据,0人关注 / 12天以前发布,79.8,"6,541元/平"
此房满两年 格局好 楼层好 采光充足 配套设施齐全 。,合胜广场 -蒸湘区,3室2厅 | 114平米 | 南 北 | 精装 | 中楼层(共29层)  | 塔楼,0人关注 / 10天以前发布,75.6,"6,632元/平"
精装二房朝南 满五 近湘江风光带,沿江北路 -石鼓区,2室1厅 | 75.55平米 | 南 | 简装 | 高楼层(共9层)  | 暂无数据,15人关注 / 一年前发布,17.8,"2,357元/平"
50万买 蒸湘区大3房 广电花园 全新毛坯 南北通透证满2,广电花园 -蒸湘区,3室2厅 | 140.79平米 | 南 北 | 毛坯 | 高楼层(共7层)  | 暂无数据,10人关注 / 一年前发布,50,"3,552元/平"
融冠乐城 3室2厅 南,融冠乐城 -蒸湘区,3室2厅 | 115平米 | 南 | 毛坯 | 低楼层(共34层)  | 暂无数据,0人关注 / 13天以前发布,73.8,"6,418元/平"
带平台露台   万达旁带小区精装修三房,伴山公馆 -蒸湘区,3室2厅 | 128.45平米 | 南 | 精装 | 低楼层(共6层)  | 暂无数据,0人关注 / 7天以前发布,62.8,"4,890元/平"
此房为毛坯4房 看小区园林 户型很好 楼层好,珠江·云锦 -雁峰区,4室2厅 | 178.99平米 | 东 东南 | 毛坯 | 中楼层(共32层)  | 板塔结合,0人关注 / 5天以前发布,105,"5,867元/平"
蒸湘世纪城 3室2厅 南 北,蒸湘世纪城 -蒸湘区,3室2厅 | 142平米 | 南 北 | 其他 | 中楼层(共7层)  | 暂无数据,0人关注 / 3天以前发布,66.8,"4,705元/平"
伴山公馆 电梯小高层 复式楼 南北通透 看房方便,伴山公馆 -蒸湘区,5室2厅 | 219平米 | 南 北 | 毛坯 | 高楼层(共11层)  | 暂无数据,0人关注 / 2天以前发布,100,"4,567元/平"
阳光美城 3室2厅 南,阳光美城 -蒸湘区,3室2厅 | 109平米 | 南 | 毛坯 | 中楼层(共31层)  | 暂无数据,0人关注 / 4天以前发布,69.8,"6,404元/平"
碧桂园   南北通透 大四房  双阳台  视野宽阔采光好,衡阳碧桂园 -雁峰区,4室2厅 | 186平米 | 南 北 | 毛坯 | 中楼层(共32层)  | 暂无数据,0人关注 / 7天以前发布,74,"3,979元/平"
华新 一 中 旁曲兰庭院 精装4室2厅2卫 满2年 电梯中层,曲兰庭苑 -蒸湘区,4室2厅 | 146.7平米 | 南 北 | 精装 | 中楼层(共12层)  | 暂无数据,0人关注 / 2天以前发布,85,"5,795元/平"
房子原房东装修全屋带地暖，带露台，复式楼，,衡阳市委家属区东院 -蒸湘区,5室2厅 | 218.9平米 | 南 | 精装 | 高楼层(共7层)  | 暂无数据,0人关注 / 3天以前发布,122,"5,574元/平"
东城国际 4室3厅 南,东城国际 -珠晖区,4室3厅 | 113.49平米 | 南 | 其他 | 高楼层(共28层)  | 暂无数据,0人关注 / 2天以前发布,83,"7,314元/平"
德馨家园 3室2厅 南 北,德馨家园 -蒸湘区,3室2厅 | 138平米 | 南 北 | 其他 | 低楼层(共15层)  | 暂无数据,0人关注 / 1天以前发布,68.8,"4,986元/平"
美美花园 3室2厅 东南,美美花园 -蒸湘区,3室2厅 | 148平米 | 东南 | 其他 | 高楼层(共5层)  | 暂无数据,0人关注 / 3天以前发布,65.8,"4,446元/平"
沐林美郡北区 毛坯四房两厅两卫 南北通透双阳台,沐林美郡北区 -蒸湘区,4室2厅 | 140.46平米 | 南 北 | 毛坯 | 高楼层(共32层)  | 暂无数据,0人关注 / 4天以前发布,78,"5,554元/平"
耀江花园 带地暖朝东三面采光  家电家具齐全 拎包入住,耀江花园·文鼎苑 -石鼓区,3室2厅 | 128平米 | 南 | 精装 | 中楼层(共18层)  | 暂无数据,0人关注 / 4天以前发布,78.8,"6,157元/平"
解放西路21号 3室2厅2卫 户型方正 证满二,解放西路21号 -蒸湘区,3室2厅 | 118.15平米 | 南 北 | 精装 | 低楼层(共7层)  | 暂无数据,0人关注 / 27天以前发布,40.8,"3,454元/平"
此房为商品房 朝南 格局方正 精装修 带杂物房,量具厂家属房 -雁峰区,2室2厅 | 65.37平米 | 南 北 | 精装 | 中楼层(共7层)  | 暂无数据,0人关注 / 16天以前发布,22,"3,366元/平"
房为单位家属房 朝南 格局方正 精装修 楼层好 带小院,量具厂家属房 -雁峰区,2室2厅 | 59.92平米 | 南 | 简装 | 低楼层(共7层)  | 暂无数据,0人关注 / 9天以前发布,17,"2,838元/平"
原房东复式楼，带平台，可养花种菜.全屋暖气,雅士林湘苑 -蒸湘区,5室2厅 | 240.34平米 | 南 | 精装 | 高楼层(共18层)  | 板塔结合,1人关注 / 13天以前发布,179,"7,448元/平"
罗马一期洋房，中楼层，南北户型，看房方便,佳源·罗马都市 -珠晖区,4室2厅 | 143平米 | 南 | 毛坯 | 中楼层(共8层)  | 暂无数据,0人关注 / 10天以前发布,97.8,"6,840元/平"
金钟时代城 3室2厅 南,金钟时代城 -雁峰区,3室2厅 | 110平米 | 南 | 毛坯 | 高楼层(共31层)  | 暂无数据,0人关注 / 14天以前发布,62.8,"5,710元/平"
老城区地段繁华，3居室户型方正，生活配套齐。,东洲水岸 -雁峰区,3室2厅 | 129.07平米 | 西南 | 毛坯 | 中楼层(共8层)  | 暂无数据,0人关注 / 9天以前发布,62,"4,804元/平"
万达商圈 平安花苑精装3室2厅 满2年 带院子停车方便,平安花苑 -蒸湘区,3室2厅 | 138平米 | 南 北 | 精装 | 高楼层(共6层)  | 暂无数据,0人关注 / 13天以前发布,51.8,"3,754元/平"
地段繁华 精装2房 户型方正 朝南 价格实惠 生活配套齐,御笔华章 -雁峰区,2室2厅 | 76平米 | 南 | 精装 | 低楼层(共29层)  | 暂无数据,0人关注 / 8天以前发布,58.8,"7,737元/平"
湘江边上电梯四房两厅两卫！！！！！！,龙江明珠 -石鼓区,4室2厅 | 134平米 | 南 | 毛坯 | 低楼层(共15层)  | 暂无数据,0人关注 / 12天以前发布,67.78,"5,059元/平"
4房2厅2卫 户型方正 带入户花园,雲沙诗意 -雁峰区,4室2厅 | 151.73平米 | 南 | 毛坯 | 高楼层(共30层)  | 暂无数据,0人关注 / 13天以前发布,75.8,"4,996元/平"
建业花园 小错层3室 户型正气 光线好 房龄新,建业花园 -珠晖区,3室2厅 | 105.82平米 | 南 北 | 简装 | 中楼层(共9层)  | 塔楼,7人关注 / 8个月以前发布,33.6,"3,176元/平"
红湘北路39号大平层五房两厅两卫一厨满五唯一配大车位,红湘北路39号 -蒸湘区,5室2厅 | 235.71平米 | 南 | 精装 | 中楼层(共7层)  | 暂无数据,7人关注 / 8个月以前发布,71.8,"3,047元/平"
精装修 电梯房 户型正气三室 价格实惠 拎包入住,风尚时代 -雁峰区,3室2厅 | 131.42平米 | 南 | 精装 | 中楼层(共13层)  | 塔楼,2人关注 / 5个月以前发布,54,"4,109元/平"
雅士林湘苑   财富之位  精装两层商铺,雅士林湘苑 -蒸湘区,2室2厅 | 31.78平米 | 北 | 精装 | 低楼层(共1层)  | 板塔结合,1人关注 / 7个月以前发布,45,"14,160元/平"
金盾花苑 3室2厅 东北,金盾花苑 -雁峰区,3室2厅 | 144.18平米 | 东北 | 毛坯 | 低楼层(共32层)  | 暂无数据,0人关注 / 1个月以前发布,58,"4,023元/平"
满五唯一 楼层低 房龄新三室 户型正气 生活方便,小马嘶塘18号 -雁峰区,3室2厅 | 107.55平米 | 北 | 精装 | 低楼层(共9层)  | 塔楼,2人关注 / 6个月以前发布,38,"3,534元/平"
环城南路 精装 三室二厅二卫 好楼层 拎包入住,环城南路 -雁峰区,3室2厅 | 127.46平米 | 南 北 | 精装 | 中楼层(共9层)  | 塔楼,10人关注 / 一年前发布,42.8,"3,358元/平"
业主住家装修，家私家电齐全，拎包入住。,华耀碧桂园十里江湾 -石鼓区,3室2厅 | 116平米 | 南 北 | 精装 | 高楼层(共33层)  | 暂无数据,0人关注 / 16天以前发布,82.8,"7,138元/平"
华洲佳园 两梯两户 精装三房两厅两卫 有钥匙 方便看房,华洲佳园 -石鼓区,3室2厅 | 139.12平米 | 南 北 | 精装 | 中楼层(共26层)  | 暂无数据,0人关注 / 6天以前发布,82.8,"5,952元/平"
愉景新城 4室2厅 南,愉景新城 -蒸湘区,4室2厅 | 132平米 | 南 | 精装 | 高楼层(共32层)  | 塔楼,0人关注 / 4天以前发布,89.8,"6,804元/平"
億豪名園 2室2厅 南,億豪名園 -雁峰区,2室2厅 | 85平米 | 南 | 毛坯 | 中楼层(共30层)  | 暂无数据,0人关注 / 7天以前发布,36,"4,236元/平"
（仙姬大厦电梯6楼3-2-1-1 85.00m² 37.8 万）,仙姬大厦 -雁峰区,3室2厅 | 85平米 | 东南 | 精装 | 中楼层(共9层)  | 板塔结合,0人关注 / 7天以前发布,37.8,"4,448元/平"
星美新外滩 精装三房两厅两卫 带入户花园,星美新外滩 -蒸湘区,3室2厅 | 125平米 | 南 北 | 精装 | 低楼层(共32层)  | 板塔结合,0人关注 / 31天以前发布,89.8,"7,184元/平"
融冠非墅  上下四层 带车库 带前后露台,融冠非墅 -蒸湘区,4室3厅 | 195平米 | 南 北 | 毛坯 | 低楼层(共7层)  | 平房,0人关注 / 21天以前发布,190,"9,744元/平"
华新陆家新区南北通透大3房，户型方正，前后带双露台,阳光美城 -蒸湘区,3室2厅 | 123.46平米 | 南 北 | 毛坯 | 低楼层(共31层)  | 暂无数据,0人关注 / 19天以前发布,71.18,"5,766元/平"
光明桥旁，3房2厅2卫，房东成心出售，拎包入住,民主里 -珠晖区,3室2厅 | 100平米 | 南 | 精装 | 低楼层(共5层)  | 暂无数据,3人关注 / 26天以前发布,25.8,"2,580元/平"
水岸新城小区联排别墅，证件满两年无贷款，看房方便,香江水岸新城 -蒸湘区,6室3厅 | 326.32平米 | 南 北 | 毛坯 | 4层  | 暂无数据 | 联排别墅 ,0人关注 / 19天以前发布,435,"13,331元/平"
江山花苑毛坯电梯中层南北通透附时可装修,江山花苑 -石鼓区,3室2厅 | 128平米 | 南 北 | 毛坯 | 中楼层(共29层)  | 暂无数据,0人关注 / 25天以前发布,39.8,"3,110元/平"
石鼓广场旁 精装三房两厅两卫 带横厅 满两年税费低,江山盛筵观邸 -石鼓区,3室2厅 | 130平米 | 南 北 | 精装 | 高楼层(共32层)  | 暂无数据,0人关注 / 28天以前发布,69.8,"5,370元/平"
愉景新城 4室2厅 南,愉景新城 -蒸湘区,4室2厅 | 135平米 | 南 | 其他 | 中楼层(共32层)  | 暂无数据,0人关注 / 18天以前发布,89.8,"6,652元/平"
碧桂园十里江湾 精装四房 南北通透 满两年 税费低,华耀碧桂园十里江湾 -石鼓区,4室2厅 | 143.79平米 | 南 北 | 精装 | 低楼层(共17层)  | 暂无数据,0人关注 / 20天以前发布,89,"6,190元/平"
华新俊景万和城 全新毛坯 四房二厅二卫,俊景万和城 -蒸湘区,4室2厅 | 123平米 | 南 | 毛坯 | 中楼层(共28层)  | 暂无数据,0人关注 / 17天以前发布,91,"7,399元/平"
云沙诗意  全新毛坯  南北通透 四房二厅二卫,雲沙诗意 -雁峰区,4室2厅 | 140平米 | 南 北 | 毛坯 | 低楼层(共30层)  | 暂无数据,1人关注 / 25天以前发布,72.8,"5,200元/平"
新上房源 融冠亲城 产权满二 毛坯四房 中间楼层,融冠亲城 -蒸湘区,3室2厅 | 124平米 | 南 北 | 毛坯 | 中楼层(共31层)  | 塔楼,1人关注 / 29天以前发布,83,"6,694元/平"
