标题,开发商,房子信息,发布信息,售价/万,单价
建发品质 新中式风格小区  温馨三房两厅两卫,建发中泱天成 -洛江区,3室2厅 | 89.94平米 | 南 北 | 简装 | 中楼层(共26层)  | 暂无数据,3人关注 / 8个月以前发布,160,"17,790元/平"
宝龙商圈片区，聚兴小区小两房出售,崎山聚兴小区一区 -宝龙广场,2室1厅 | 65.43平米 | 南 | 简装 | 低楼层(共18层)  | 板塔结合,0人关注 / 11天以前发布,80,"12,227元/平"
环境优美，视野宽阔，满两年，交通便利,世茂御龙湾湖心岛 -晋江万达,2室1厅 | 81.39平米 | 东南 | 精装 | 低楼层(共32层)  | 板塔结合,0人关注 / 14天以前发布,125,"15,359元/平"
宝龙商圈 精装2+1 动静分离 办工居家两相宜,明鑫广场 -宝龙广场,2室1厅 | 50.63平米 | 东南 | 简装 | 中楼层(共18层)  | 板楼,0人关注 / 14天以前发布,58,"11,456元/平"
金凤屿花苑西区 3室1厅 南,金凤屿花苑西区 -城东,3室1厅 | 126平米 | 南 | 毛坯 | 中楼层(共33层)  | 板楼,0人关注 / 2天以前发布,173,"13,731元/平"
锦洲瑞苑三房客厅带阳台朝南 精装自住高层视野无遮挡,锦洲瑞苑 -泉州桥南,3室1厅 | 124.75平米 | 东南 | 精装 | 高楼层(共19层)  | 板塔结合,0人关注 / 17天以前发布,168,"13,467元/平"
桥南中骏品质高层精装三房，业主诚意出售,中骏蓝湾悦庭 -泉州桥南,3室2厅 | 100.87平米 | 南 | 精装 | 中楼层(共31层)  | 板塔结合,0人关注 / 9天以前发布,233.8,"23,179元/平"
万达旁，星光耀广场，毛坯大三房，户型方正，随时看房,星光耀一期 -城东,3室1厅 | 115平米 | 南 | 毛坯 | 中楼层(共37层)  | 板塔结合,0人关注 / 10天以前发布,310,"26,957元/平"
星光耀一期 毛坯三房 业主诚意出售,星光耀一期 -城东,3室2厅 | 115平米 | 东南 | 毛坯 | 低楼层(共39层)  | 板塔结合,0人关注 / 11天以前发布,288,"25,044元/平"
正规大三房，高层正满省税，诚意出售，看房方便。,华城小区 -城东,3室1厅 | 123.51平米 | 东南 | 毛坯 | 高楼层(共33层)  | 板楼,1人关注 / 8个月以前发布,216,"17,489元/平"
含车位！格林春天边套复式 简约装修少入住 看房随时,浔兴格林春天 -晋江万达,4室2厅 | 132.86平米 | 南 北 | 精装 | 高楼层(共34层)  | 板楼,1人关注 / 1个月以前发布,246.5,"18,554元/平"
中骏  裕景湾  精装修小套三  拎包入 视野好看江景,中骏裕景湾 -城东,3室2厅 | 89平米 | 东南 | 精装 | 高楼层(共33层)  | 板塔结合,2人关注 / 4个月以前发布,265,"29,776元/平"
阳侨花园城 3室2厅 南,阳侨花园城 -洛江区,3室2厅 | 92.98平米 | 南 | 精装 | 低楼层(共11层)  | 暂无数据,0人关注 / 1个月以前发布,74,"7,959元/平"
洛江安吉路旁 冠亚东方星城 电梯三房107平152万,冠亚东方星城 -洛江区,3室2厅 | 107.81平米 | 东南 | 简装 | 中楼层(共12层)  | 板楼,0人关注 / 29天以前发布,152,"14,099元/平"
售五里桥旁毛坯三房两卫南北户型随时过户满二诚意出售,晋德苑 -安海镇,3室2厅 | 125.58平米 | 东南 | 毛坯 | 中楼层(共30层)  | 板塔结合,0人关注 / 1个月以前发布,182,"14,493元/平"
聚龙君悦山庄 中层 边套 三房两卫,聚龙君悦山庄 -惠安县,3室1厅 | 108平米 | 西南 | 毛坯 | 低楼层(共32层)  | 暂无数据,0人关注 / 31天以前发布,63,"5,834元/平"
鲤城区 江南板块 毛坯4房 带双阳台 看江看中庭,茂诚皇江御景 -浮桥,4室2厅 | 125.08平米 | 南 | 毛坯 | 高楼层(共37层)  | 板楼,0人关注 / 23天以前发布,233,"18,629元/平"
格林春天三期，边套户型采光好，双阳台通透性佳,浔兴格林春天 -晋江万达,4室2厅 | 143.13平米 | 东南 南 北 | 毛坯 | 高楼层(共32层)  | 板楼,0人关注 / 17天以前发布,255,"17,816元/平"
高楼层精装未入住经典三房，实用面积大，生活就学方便,伴山御景 -SM广场,3室2厅 | 93.78平米 | 南 | 精装 | 高楼层(共25层)  | 板塔结合,0人关注 / 16天以前发布,150,"15,995元/平"
宝龙片区大三房，有储藏间，房东诚意出售。,曾井小区镇长楼 -宝龙广场,3室1厅 | 131.35平米 | 东南 | 简装 | 低楼层(共7层)  | 板楼,0人关注 / 21天以前发布,118,"8,984元/平"
万达商圈  框架房  正规三房两厅两卫 业主诚售,市政工程管理处宿舍 -万达,3室2厅 | 88.2平米 | 南 | 精装 | 中楼层(共7层)  | 暂无数据,0人关注 / 17天以前发布,153,"17,347元/平"
卓辉海港城 2室1厅 东南,卓辉海港城 -泉州桥南,2室1厅 | 52.38平米 | 东南 | 精装 | 低楼层(共30层)  | 板楼,0人关注 / 30天以前发布,90,"17,183元/平"
云鹿路次新小区，实验陪读好房，业主诚意出售,蔚蓝海岸 -万达,2室2厅 | 89.77平米 | 南 | 精装 | 低楼层(共20层)  | 板塔结合,0人关注 / 22天以前发布,200,"22,280元/平"
邻天然氧吧八仙山小区环境好人车分流户型方正好装修,浔兴格林春天 -晋江万达,3室2厅 | 101.58平米 | 南 北 | 毛坯 | 高楼层(共31层)  | 板楼,0人关注 / 16天以前发布,170,"16,736元/平"
高层看江 采光好 鲤城户口 诚意出售,聚宝新城 -万达,2室2厅 | 72.88平米 | 东 西 | 简装 | 高楼层(共9层)  | 板楼,0人关注 / 16天以前发布,160,"21,954元/平"
雅贤居 1室1厅 南,雅贤居 -SM广场,1室1厅 | 39.25平米 | 南 | 精装 | 低楼层(共20层)  | 板塔结合,0人关注 / 14天以前发布,41,"10,446元/平"
此房户型方正，南北朝向，电梯高层，视野开阔,百捷·中央公园御府 -泉州桥南,3室2厅 | 117.95平米 | 东南 | 毛坯 | 中楼层(共32层)  | 板楼,0人关注 / 14天以前发布,245,"20,772元/平"
金沙城毛坯小三房满二随时过户五里桥公园旁配套齐全佳,水心苑 -安海镇,2室1厅 | 98.06平米 | 东南 | 精装 | 中楼层(共25层)  | 塔楼,0人关注 / 11天以前发布,142.5,"14,532元/平"
市区，全新装修三房，诚意出售。,银利大厦 -晋江万达,3室2厅 | 127.64平米 | 南 | 精装 | 中楼层(共6层)  | 平房,1人关注 / 9天以前发布,140,"10,969元/平"
十二宴二期  高层 采光好 看海三房,十二宴二期 -东海,3室1厅 | 81.29平米 | 东南 | 精装 | 高楼层(共28层)  | 板塔结合,0人关注 / 18天以前发布,237,"29,155元/平"
万达商圈 精装三房 拎包入住 诚意出售 看房方便,福瑞新村 -泉秀街,3室1厅 | 105平米 | 南 | 精装 | 高楼层(共6层)  | 板楼,0人关注 / 27天以前发布,167,"15,905元/平"
泉港区山腰镇 大三房毛坯房 电梯房 交通便利,森立汇林阁 -泉港区,3室2厅 | 135.81平米 | 南 | 毛坯 | 低楼层(共16层)  | 暂无数据,0人关注 / 24天以前发布,69.9,"5,147元/平"
晋江万达广场  八仙山旁  134平毛坯房，首付只要25万,梅岭电力小区 -晋江万达,3室2厅 | 134.25平米 | 南 | 毛坯 | 低楼层(共7层)  | 板楼,1人关注 / 8天以前发布,95,"7,077元/平"
城东万达，美仙山，摇号五中，业主诚意出售,美仙山花苑一期 -城东,3室2厅 | 134.16平米 | 东南 | 毛坯 | 高楼层(共17层)  | 板塔结合,1人关注 / 1个月以前发布,184,"13,715元/平"
吉源雅苑，三房两卫证满，全明结构,力标吉源雅苑 -洛江区,3室2厅 | 84.14平米 | 北 | 精装 | 高楼层(共33层)  | 板楼,0人关注 / 2个月以前发布,159,"18,898元/平"
浪花酒店旁边，三房两厅一厨两卫。。,丽港尊品 -泉港区,3室2厅 | 126.51平米 | 南 | 毛坯 | 中楼层(共15层)  | 暂无数据,2人关注 / 一年前发布,48,"3,795元/平"
华城小区毛坯三房   装修自由  高层采光充足,华城小区 -城东,3室2厅 | 105.45平米 | 南 北 | 毛坯 | 中楼层(共25层)  | 板楼,0人关注 / 1个月以前发布,169,"16,027元/平"
七小石光旁 精装两房 采光好 看中庭 拎包入住证满税优,百德康桥假日 -石狮中心,2室1厅 | 97.72平米 | 南 | 精装 | 低楼层(共31层)  | 板塔结合,0人关注 / 1个月以前发布,117,"11,973元/平"
五里开发区，百宏香榭丽静，精装修三房,百宏香榭丽璟 -晋江周边,3室2厅 | 112.96平米 | 南 北 | 精装 | 中楼层(共18层)  | 塔楼,0人关注 / 7天以前发布,120,"10,624元/平"
华泰国际新城 3室2厅 东南,华泰国际新城 -SM广场,3室2厅 | 114.96平米 | 东南 | 简装 | 中楼层(共6层)  | 板楼,0人关注 / 5天以前发布,138,"12,005元/平"
外国语旁边恒大龙庭中层精装3房诚意出售,恒大翡翠龙庭 -洛江区,3室2厅 | 121.78平米 | 西南 | 精装 | 中楼层(共32层)  | 板塔结合,0人关注 / 6个月以前发布,160,"13,139元/平"
世茂云城二期  中高层 简装 可拎包入住,世茂云城二期 -泉港区,3室2厅 | 117平米 | 南 | 简装 | 中楼层(共34层)  | 板塔结合,1人关注 / 3个月以前发布,87,"7,436元/平"
中央公寓 1室1厅 南,中央公寓 -晋江万达,1室1厅 | 60.51平米 | 南 | 简装 | 中楼层(共21层)  | 板塔结合,0人关注 / 13天以前发布,75,"12,395元/平"
舒华奥体中心 3室1厅 东南,舒华奥体中心 -泉州桥南,3室1厅 | 73.6平米 | 东南 | 精装 | 高楼层(共33层)  | 板塔结合,0人关注 / 12天以前发布,140,"19,022元/平"
SM旁华泰装修二房！三阳台！看房方便！业主诚意,华泰国际新城 -SM广场,2室2厅 | 87.98平米 | 南 | 简装 | 中楼层(共6层)  | 板楼,0人关注 / 3天以前发布,106,"12,049元/平"
石狮正荣府东边套楼层视野好，价格可谈,石狮正荣府 -服装城,4室2厅 | 143平米 | 南 北 | 精装 | 高楼层(共33层)  | 板塔结合,0人关注 / 11天以前发布,185,"12,938元/平"
前后双阳台 小区精装大四房仅一套价格秒杀,浔兴格林春天 -晋江万达,4室2厅 | 143.97平米 | 南 | 精装 | 中楼层(共32层)  | 板楼,0人关注 / 9天以前发布,275,"19,102元/平"
溜园小区115平米，4房2厅2卫，精装修，未入住,溜园小区 -泉州桥南,4室2厅 | 115.38平米 | 东南 | 精装 | 低楼层(共28层)  | 板楼,7人关注 / 7个月以前发布,155,"13,434元/平"
客厅和主卧看湖，公园旁，中间楼层，厨房带阳台。,溜溪花园 -泉州桥南,3室2厅 | 125.69平米 | 南 | 毛坯 | 中楼层(共21层)  | 板楼,20人关注 / 8个月以前发布,143,"11,378元/平"
格林春天视野开阔，放眼望去一片绿色，舒适惬意,浔兴格林春天 -晋江万达,4室2厅 | 155.48平米 | 南 | 毛坯 | 高楼层(共32层)  | 暂无数据,6人关注 / 9个月以前发布,290,"18,652元/平"
小区生活配套齐全；该户型楼层好，视野宽阔，采光充..,龙湖嘉天下紫晋城 -池店南,4室2厅 | 138.33平米 | 东南 | 毛坯 | 低楼层(共33层)  | 板楼,1人关注 / 1个月以前发布,224,"16,194元/平"
电梯高层精装修大3房2卫2阳台视野开阔,中骏四季康城1期 -南环路,3室2厅 | 114.7平米 | 南 | 精装 | 高楼层(共33层)  | 板塔结合,4人关注 / 6个月以前发布,118,"10,288元/平"
世茂御龙湾旁的精装三房两卫边套采光好户型方正,湖景花园 -晋江万达,3室2厅 | 133.54平米 | 南 | 简装 | 高楼层(共16层)  | 板楼,2人关注 / 一年前发布,148,"11,083元/平"
桂华大三房，业主稳定出售，看房随时,桂华苑 -晋江万达,3室2厅 | 134.16平米 | 东南 | 毛坯 | 中楼层(共27层)  | 板楼,0人关注 / 6个月以前发布,230,"17,144元/平"
安泰世界城旁三房出售，配套齐全，拎包入住看房方便。,文景雅苑 -SM广场,3室2厅 | 131.58平米 | 南 | 精装 | 低楼层(共18层)  | 暂无数据,8人关注 / 3个月以前发布,130,"9,880元/平"
采光很好，全明结构，南北朝向 ，视野开阔无遮挡.,世茂云城一期 -泉港区,3室2厅 | 125平米 | 南 | 精装 | 中楼层(共34层)  | 板塔结合,1人关注 / 1个月以前发布,95,"7,600元/平"
新闻花苑 3室2厅 东南,新闻花苑 -宝龙广场,3室2厅 | 93.12平米 | 东南 | 精装 | 低楼层(共16层)  | 板楼,7人关注 / 5个月以前发布,139,"14,927元/平"
九二路侨乡商业城电梯三房精致装修拎包入住证满税优！,侨乡商业城 -石狮中心,3室2厅 | 123.5平米 | 南 北 | 精装 | 中楼层(共19层)  | 暂无数据,2人关注 / 2个月以前发布,67.8,"5,490元/平"
新天旁，精装三房，两梯四户，采光佳，配套齐全,鼎盛大观 -站前大道,3室1厅 | 83.64平米 | 南 | 精装 | 低楼层(共33层)  | 板塔结合,3人关注 / 3个月以前发布,158,"18,891元/平"
港通公园壹号，中间楼层，格局方正，采光好,港通公园一号 -泉港区,3室2厅 | 128.55平米 | 南 | 毛坯 | 中楼层(共16层)  | 板塔结合,0人关注 / 一年前发布,53.8,"4,186元/平"
中骏云骏台，方正三房，毛坯 证满,中骏云景台 -宝龙广场,3室2厅 | 101.89平米 | 南 | 毛坯 | 中楼层(共33层)  | 板楼,10人关注 / 5个月以前发布,193.95,"19,036元/平"
百信三期精装小三房，证满，看房方便,百信御江帝景三期 -泉州桥南,3室2厅 | 89平米 | 东南 | 精装 | 低楼层(共32层)  | 塔楼,1人关注 / 3个月以前发布,185,"20,787元/平"
金色丽景两房两厅三面采光产权满边套采光好房型正,金色丽景 -洛江区,2室2厅 | 66.41平米 | 南 西 北 | 精装 | 高楼层(共7层)  | 板楼,44人关注 / 一年前发布,85,"12,800元/平"
通透格局好，采光充足，地上3层门口车位,世茂紫茂城紫溪苑 -紫帽镇,4室2厅 | 130.08平米 | 南 | 毛坯 | 低楼层(共3层)  | 暂无数据,3人关注 / 6个月以前发布,265,"20,373元/平"
此房户型方正，南北朝向，电梯高层，视野开阔,百捷·中央公园御府 -泉州桥南,3室1厅 | 97.2平米 | 东南 | 精装 | 高楼层(共33层)  | 板楼,0人关注 / 1个月以前发布,239,"24,589元/平"
四季康城精装大三房，113平两卫两阳台，户型动静分离,中骏四季康城1期 -南环路,3室1厅 | 113.44平米 | 东南 | 精装 | 低楼层(共18层)  | 板塔结合,0人关注 / 1个月以前发布,112,"9,874元/平"
海上海大三房边套高层景观，视野好,海上海领海苑 -东海,3室2厅 | 126.94平米 | 南 | 毛坯 | 中楼层(共40层)  | 板楼,1人关注 / 5个月以前发布,335,"26,391元/平"
带小区配套户型方正南北通透三房两卫,富临嘉园 -泰禾广场,3室2厅 | 123.27平米 | 南 北 | 精装 | 中楼层(共20层)  | 塔楼,7人关注 / 一年前发布,348,"28,231元/平"
钥匙在手恒大稀有高层边套大三房前后阳台看中庭无噪音,恒大御景湾 -泉州桥南,3室2厅 | 125.14平米 | 南 北 | 精装 | 中楼层(共29层)  | 板塔结合,0人关注 / 4个月以前发布,275,"21,976元/平"
边套户型是边套，小区就有读书的地方,海丝景城 -泉州桥南,3室2厅 | 124.1平米 | 南 | 简装 | 高楼层(共17层)  | 板塔结合,1人关注 / 5个月以前发布,163,"13,135元/平"
伟宏花园城小米时代精装3房 业主诚意出售,伟宏花园城小米时代二期 -洛江区,3室2厅 | 114.39平米 | 东南 | 精装 | 中楼层(共26层)  | 暂无数据,0人关注 / 4个月以前发布,130,"11,365元/平"
晋江市区 刚需三房 毛坯 诚意出售,中航城天悦 -宝龙广场,3室2厅 | 75.23平米 | 东南 南 | 毛坯 | 高楼层(共18层)  | 板塔结合,0人关注 / 2个月以前发布,123,"16,350元/平"
当代漂亮3房，带3阳台，低公摊，高绿化，花园小区。,当代万国城MOMΛ -泉州桥南,3室2厅 | 94.39平米 | 南 | 毛坯 | 低楼层(共32层)  | 暂无数据,2人关注 / 1个月以前发布,157,"16,634元/平"
体育馆旁宝龙城市广场3房带2个小露台,晋江宝龙国际社区西区 -宝龙广场,3室2厅 | 112.78平米 | 南 北 | 简装 | 低楼层(共32层)  | 板塔结合,0人关注 / 3个月以前发布,180,"15,961元/平"
天玺湾二次精装15万高层视野好、可读、诚意卖、有锁,碧桂园天玺湾 -东海,3室2厅 | 88.4平米 | 南 | 精装 | 中楼层(共33层)  | 板塔结合,0人关注 / 2个月以前发布,263,"29,752元/平"
洛江区万荣公寓中楼层证满省税带户口看房约,万荣公寓 -洛江区,3室2厅 | 122.3平米 | 南 | 精装 | 中楼层(共6层)  | 板楼,5人关注 / 6个月以前发布,113,"9,240元/平"
中骏蓝湾悦庭，精装温馨小三房，业主自住装修,中骏蓝湾悦庭 -泉州桥南,3室2厅 | 88.59平米 | 南 | 精装 | 中楼层(共34层)  | 板塔结合,0人关注 / 3个月以前发布,198.8,"22,441元/平"
楼层好，首付低，拧包入住，温馨经济小三房,金盾商住花苑 -清濛开发区,3室2厅 | 89.17平米 | 西 | 简装 | 高楼层(共6层)  | 暂无数据,0人关注 / 1个月以前发布,88,"9,869元/平"
满二，唯一，楼层好，视野宽阔，采光充足，,中航城天悦 -宝龙广场,3室2厅 | 95.41平米 | 南 北 | 毛坯 | 中楼层(共33层)  | 板塔结合,1人关注 / 8个月以前发布,152.8,"16,016元/平"
锦绣苑 精致自住高层 希信 视野无遮挡,锦绣苑 -晋江万达,3室2厅 | 135平米 | 东 南 北 | 精装 | 高楼层(共28层)  | 板楼,0人关注 / 1个月以前发布,236,"17,482元/平"
电梯3房 朝北朝向 看九十九溪,泉商观邸一期 -泉州桥南,3室2厅 | 98.02平米 | 东南 | 精装 | 高楼层(共26层)  | 板楼,0人关注 / 4个月以前发布,175,"17,854元/平"
市区内，繁华地段，标准三房，证件齐全，随时转手！,五星花园城 -宝龙广场,3室2厅 | 135平米 | 西南 | 简装 | 中楼层(共7层)  | 板楼,17人关注 / 6个月以前发布,87,"6,445元/平"
东海湾 御花园 南北通透格局 楼层好 视野开阔,东海湾御花园 -东海,4室2厅 | 143平米 | 南 西 北 | 精装 | 高楼层(共31层)  | 板楼,0人关注 / 1个月以前发布,490,"34,266元/平"
万达华府刚需三房，五店市旁业主急售，边套采光好。,万达华府C区 -晋江万达,3室2厅 | 128.42平米 | 南 | 简装 | 低楼层(共32层)  | 板楼,1人关注 / 一年前发布,265,"20,636元/平"
天悦中庭位置，全明房型，有施工图让您装修省一半,中航城天悦 -宝龙广场,3室2厅 | 99.12平米 | 南 | 毛坯 | 低楼层(共33层)  | 板塔结合,0人关注 / 1个月以前发布,157.7,"15,911元/平"
坐拥双公园，东湖公园和释雅山公园。户型方正。,汉唐天下 -东湖,3室2厅 | 125.94平米 | 南 | 简装 | 高楼层(共7层)  | 暂无数据,0人关注 / 2个月以前发布,265,"21,042元/平"
实验七小旁 雁山花园 毛坯大三房 高层景观房视野开阔,雁山花园 -池店南,3室2厅 | 133.52平米 | 南 北 | 毛坯 | 高楼层(共29层)  | 板楼,1人关注 / 4个月以前发布,158,"11,834元/平"
百信御江帝景三期三房出售带装修,百信御江帝景三期 -泉州桥南,3室2厅 | 123.43平米 | 南 | 精装 | 低楼层(共32层)  | 塔楼,0人关注 / 2个月以前发布,237,"19,202元/平"
户型方正！采光通透！房东诚意出售！,碧桂园天玺湾 -东海,4室2厅 | 129.72平米 | 东南 | 精装 | 低楼层(共33层)  | 板塔结合,4人关注 / 9个月以前发布,318,"24,515元/平"
房东诚意出售，看房方便，精装修,晋江溜霞花园 -泉州桥南,4室2厅 | 164.7平米 | 东南 | 简装 | 中楼层(共20层)  | 板楼,1人关注 / 4个月以前发布,180,"10,929元/平"
宝龙片区 75平方三房 使用面积大 即买即住 环境好,中航城天悦 -宝龙广场,3室1厅 | 75.24平米 | 南 | 简装 | 高楼层(共18层)  | 板塔结合,23人关注 / 一年前发布,129,"17,146元/平"
热门~丰泽新村罕见电梯小3房，看房方便。。。,丰泽新村 -丰泽街,3室2厅 | 96.12平米 | 南 东南 | 简装 | 中楼层(共6层)  | 板楼,4人关注 / 10个月以前发布,285,"29,651元/平"
泉州   晋江  安海   侨城海景湾房东 诚意出售景观好,侨成海景湾二期 -安海镇,3室1厅 | 138平米 | 南 北 | 毛坯 | 中楼层(共31层)  | 板塔结合,0人关注 / 1个月以前发布,235,"17,029元/平"
冠亚花园城市 正规三房 三面采光,冠亚城市花园 -丰泽街,3室2厅 | 98.88平米 | 南 北 | 精装 | 中楼层(共11层)  | 塔楼,3人关注 / 5个月以前发布,195,"19,721元/平"
虹景花园 2室1厅 南,虹景花园 -丰泽街,2室1厅 | 65平米 | 南 | 简装 | 低楼层(共15层)  | 板楼,2人关注 / 30天以前发布,92,"14,154元/平"
