标题,开发商,房子信息,发布信息,售价/万,单价
世纪花园竹园 3室2厅 南 北,世纪花园竹园 -张店区,3室2厅 | 188.59平米 | 南 北 | 精装 | 中楼层(共10层)  | 板楼,4人关注 / 13天以前发布,163,"8,644元/平"
降价5万电梯房  精装修 三室两厅 元宝户型,兴旺花园 -桓台县,3室2厅 | 129.98平米 | 南 | 其他 | 高楼层(共18层)  | 板塔结合,1人关注 / 6个月以前发布,92,"7,079元/平"
证满五 楼层好 户型好 装修保持好 拎包入住,陽光地带 -张店区,3室2厅 | 116.85平米 | 南 北 | 精装 | 中楼层(共6层)  | 板楼,7人关注 / 一年前发布,81,"6,932元/平"
海圣精装大三居，出门文体。电梯房，敞亮通透,海圣春天 -桓台县,3室2厅 | 121.51平米 | 南 北 | 精装 | 低楼层(共11层)  | 板楼,9人关注 / 11个月以前发布,104.8,"8,625元/平"
满五唯一 采光好 带储藏室 低楼层出入方便,富丽花园 -桓台县,3室2厅 | 93.74平米 | 南 北 | 其他 | 低楼层(共7层)  | 板塔结合,0人关注 / 5个月以前发布,68,"7,255元/平"
金洲花园 3室1厅 南,金洲花园 -桓台县,3室1厅 | 116平米 | 南 | 其他 | 中楼层(共6层)  | 板楼,0人关注 / 16天以前发布,114,"9,828元/平"
义乌旁 恒兴花园 多层大三室120平三卧朝阳 诚意出售,恒兴花园 -张店区,3室2厅 | 120平米 | 南 | 其他 | 中楼层(共7层)  | 板楼,1人关注 / 15天以前发布,108,"9,000元/平"
电梯六楼，精装两年 ，全明户型，拎包入住,怡海世家 -张店区,3室2厅 | 120.22平米 | 南 | 精装 | 中楼层(共17层)  | 板塔结合,1人关注 / 2个月以前发布,125,"10,398元/平"
唐家山公园旁边，多层四楼，元宝户型，带储急售57万。,孙家南苑绿洲小区一区 -张店区,3室2厅 | 109平米 | 南 北 | 简装 | 中楼层(共7层)  | 板楼,2人关注 / 8个月以前发布,57,"5,230元/平"
房龄新环境好，小区配套设施全，楼前无遮挡，带南车库,怡和花园 -桓台县,3室2厅 | 112.73平米 | 南 | 精装 | 低楼层(共6层)  | 板塔结合,4人关注 / 11个月以前发布,98,"8,694元/平"
原始房主，电梯房改四室，带储藏室，物业管理好,天煜星河 -桓台县,3室2厅 | 150.59平米 | 南 北 | 精装 | 低楼层(共11层)  | 板楼,0人关注 / 2个月以前发布,139,"9,231元/平"
降价房源精品3居室就选富丽花园，配套完善,富丽花园 -桓台县,3室1厅 | 98平米 | 南 北 | 精装 | 中楼层(共6层)  | 板塔结合,4人关注 / 一年前发布,65,"6,633元/平"
恒星二期精装客卧朝阳，通透敞亮，落地飘窗无遮挡！,恒星花园 -桓台县,3室2厅 | 131.48平米 | 南 北 | 简装 | 高楼层(共6层)  | 板楼,16人关注 / 一年前发布,84.8,"6,450元/平"
3华瑞园北区精装3室90平售价52.8万，随时看房三个卧室,华瑞园北区 -张店区,3室2厅 | 87.99平米 | 南 北 | 精装 | 中楼层(共6层)  | 板楼,0人关注 / 1个月以前发布,51,"5,797元/平"
凯瑞碧园 3室2厅 南 北,凯瑞碧园 -张店区,3室2厅 | 108平米 | 南 北 | 其他 | 中楼层(共6层)  | 板楼,1人关注 / 10天以前发布,99,"9,167元/平"
体育馆生活区 3室2厅 南 北,体育馆生活区 -张店区,3室2厅 | 102平米 | 南 北 | 简装 | 低楼层(共6层)  | 暂无数据,0人关注 / 11天以前发布,51.9,"5,089元/平"
柳泉路 百脑汇旁 多层一楼带院子50平 单位房,柳泉路33号 -张店区,3室2厅 | 97平米 | 南 北 | 简装 | 低楼层(共6层)  | 板楼,0人关注 / 16天以前发布,77.9,"8,031元/平"
龙泰苑A区精装修短住全明户 带30平地上大储，诚心售,民泰 · 龙泰苑A区 -张店区,3室2厅 | 111.06平米 | 南 北 | 精装 | 中楼层(共7层)  | 板塔结合,2人关注 / 16天以前发布,137,"12,336元/平"
大产权 三室元宝户型 装修品质高 拎包入住,逸景阳光 -张店区,3室2厅 | 137.48平米 | 东 南 西 北 | 精装 | 低楼层(共24层)  | 塔楼,0人关注 / 2个月以前发布,150,"10,911元/平"
江南豪庭 3室2厅 南 北,江南豪庭 -张店区,3室2厅 | 135平米 | 南 北 | 其他 | 中楼层(共7层)  | 板楼,0人关注 / 13天以前发布,125,"9,260元/平"
美力城  电梯洋房3室   精装 元宝户型,美力城 -张店区,3室2厅 | 129.98平米 | 南 北 | 精装 | 中楼层(共8层)  | 板楼,0人关注 / 12天以前发布,136,"10,464元/平"
恒兴花园 3室2厅 南,恒兴花园 -张店区,3室2厅 | 121.6平米 | 南 | 精装 | 低楼层(共7层)  | 板楼,2人关注 / 8天以前发布,145,"11,925元/平"
多层三楼  带储藏室  业主诚意出售,苹果园小区 -张店区,2室1厅 | 63.76平米 | 南 北 | 简装 | 中楼层(共5层)  | 暂无数据,0人关注 / 2个月以前发布,21,"3,294元/平"
恒大帝景 精装三室 有车位 小区绿化高 看房方便,恒大帝景 -张店区,3室2厅 | 132平米 | 南 | 精装 | 低楼层(共32层)  | 板楼,3人关注 / 12天以前发布,140,"10,607元/平"
龙泰A区 多层四楼 带地上储 楼前停车方便 满五唯一,民泰 · 龙泰苑A区 -张店区,3室2厅 | 111.06平米 | 南 北 | 精装 | 中楼层(共7层)  | 板楼,0人关注 / 9天以前发布,130,"11,706元/平"
橡树。公馆 高层电梯房 带车位储藏室,橡树·公馆 -桓台县,3室2厅 | 119平米 | 南 北 | 其他 | 中楼层(共24层)  | 暂无数据,0人关注 / 12天以前发布,120,"10,085元/平"
尚文苑 2室2厅 南 北,尚文苑 -张店区,2室2厅 | 96平米 | 南 北 | 简装 | 高楼层(共7层)  | 塔楼,0人关注 / 8天以前发布,69,"7,188元/平"
鸿泰嘉园 3室2厅 南,鸿泰嘉园 -张店区,3室2厅 | 109.2平米 | 南 | 精装 | 低楼层(共29层)  | 板楼,0人关注 / 10天以前发布,120,"10,990元/平"
楼座位置好，楼层好，户型方正南北通透，有车位,黄金国际 -张店区,3室2厅 | 145.97平米 | 南 北 | 精装 | 高楼层(共11层)  | 板楼,0人关注 / 1个月以前发布,165,"11,304元/平"
世纪花园，带车储多层电梯房。。。。,世纪花园秋悦园 -张店区,4室2厅 | 196平米 | 南 北 | 精装 | 中楼层(共6层)  | 板楼,4人关注 / 4个月以前发布,242,"12,347元/平"
四室两厅两卫精装有车储，能去柳泉,碧桂园·翡丽公馆 -张店区,4室2厅 | 144平米 | 南 北 | 精装 | 中楼层(共18层)  | 板楼,18人关注 / 4个月以前发布,181.5,"12,605元/平"
世纪花园文星园 带车位带储 精装好楼层 看房方便,世纪花园文星园 -张店区,4室2厅 | 184.48平米 | 南 北 | 精装 | 中楼层(共11层)  | 板楼,6人关注 / 一年前发布,185,"10,029元/平"
世纪花园，多层电梯洋房，带车库 。,世纪花园春趣园 -张店区,4室2厅 | 203.08平米 | 南 | 其他 | 中楼层(共6层)  | 板楼,0人关注 / 2个月以前发布,185,"9,110元/平"
青年公园，精装未住，电梯好楼层，带储,金城 · 春天里小区 -张店区,2室1厅 | 66.47平米 | 北 南 | 精装 | 中楼层(共17层)  | 板塔结合,3人关注 / 一年前发布,50,"7,523元/平"
新房未住，毛坯可以随意装修，诚心卖，有钥匙。,辉盛鑫苑学府 -张店区,3室2厅 | 118平米 | 南 北 | 毛坯 | 低楼层(共18层)  | 板塔结合,2人关注 / 4个月以前发布,139,"11,780元/平"
多层精装三楼 客卧朝阳 户型好住  诚意出售 看房方便,中房青年城 -张店区,3室2厅 | 117.05平米 | 南 | 精装 | 中楼层(共6层)  | 板楼,10人关注 / 一年前发布,82,"7,006元/平"
恒大帝景 精装好房子 好楼层急售,恒大帝景 -张店区,3室1厅 | 105.34平米 | 南 | 精装 | 高楼层(共32层)  | 板楼,0人关注 / 2个月以前发布,115,"10,918元/平"
兴业家园 出门七中剑桥 好装修好位置 110平带储纯三室,兴业家园 -张店区,3室2厅 | 110.33平米 | 南 北 | 精装 | 低楼层(共18层)  | 板楼,10人关注 / 8个月以前发布,123,"11,149元/平"
精装三 居室 客卧朝阳 采光好 通风好 干净整洁,恒和花园 -张店区,3室1厅 | 87.7平米 | 南 | 简装 | 中楼层(共22层)  | 板楼,3人关注 / 一年前发布,50,"5,702元/平"
此房格局、通风好、视野宽阔、采光好。,长廷街 -淄川区,3室1厅 | 85平米 | 南 西 | 简装 | 中楼层(共6层)  | 板楼,0人关注 / 2个月以前发布,43,"5,059元/平"
颐景园三期 3室 房龄新 园林小区 有车位,颐景园 -张店区,3室2厅 | 144平米 | 南 北 | 精装 | 高楼层(共26层)  | 板楼,3人关注 / 3个月以前发布,112,"7,778元/平"
区实验 西六路 福园三室 南北通透,新东升福园 -张店区,3室2厅 | 135.1平米 | 南 北 | 毛坯 | 高楼层(共24层)  | 板楼,17人关注 / 一年前发布,170,"12,584元/平"
金鼎华郡 好楼层 104平 仅售70万 拔台式小区  双公园,金鼎华郡 -张店区,2室2厅 | 104.78平米 | 南 | 毛坯 | 低楼层(共11层)  | 板塔结合,0人关注 / 1个月以前发布,63,"6,013元/平"
大三室 精装修 小区环境好，三卧朝阳,丽水景苑 -张店区,3室2厅 | 120.35平米 | 南 北 | 精装 | 低楼层(共23层)  | 板楼,24人关注 / 一年前发布,82,"6,814元/平"
辉盛鑫苑新房未住！好楼层！小区中间位置！有钥匙！,辉盛鑫苑学府 -张店区,3室2厅 | 133平米 | 南 北 | 毛坯 | 高楼层(共18层)  | 板塔结合,3人关注 / 4个月以前发布,155,"11,655元/平"
嘉亿国际 中间楼层 楼前无遮挡  带装修,嘉亿国际 -张店区,3室2厅 | 115平米 | 南 北 | 精装 | 中楼层(共34层)  | 板楼,31人关注 / 一年前发布,97,"8,435元/平"
理工大旁新上多层三室中间楼层房源，诚意出售欢迎看房,马尚供销社宿舍 -张店区,3室2厅 | 110.72平米 | 南 北 | 精装 | 中楼层(共6层)  | 板楼,0人关注 / 2个月以前发布,78,"7,045元/平"
齐盛湖旁绿城澜园洋房社区，大三居带双车储急售！,绿城百合花园蘭园 -张店区,3室2厅 | 150平米 | 南 北 | 毛坯 | 中楼层(共17层)  | 暂无数据,1人关注 / 4个月以前发布,268,"17,867元/平"
佳和园 3室2厅 南 北,佳和园 -张店区,3室2厅 | 150平米 | 南 北 | 精装 | 高楼层(共12层)  | 板塔结合,0人关注 / 1个月以前发布,150,"10,000元/平"
顶复带露台，四室，带储，采光好,世纪花园冬韵园 -张店区,4室2厅 | 125平米 | 南 北 | 简装 | 高楼层(共6层)  | 板楼,14人关注 / 9个月以前发布,99,"7,920元/平"
