标题,开发商,房子信息,发布信息,售价/万,单价
特警支队宿舍 宽敞的3房2厅诚心出售,海口特警支队宿舍 -海甸岛,3室2厅 | 88.45平米 | 南 北 | 精装 | 中楼层(共9层)  | 暂无数据,1人关注 / 15天以前发布,146,"16,507元/平"
满五多套 不靠马路 房子在小区中间,海秀中路印刷厂宿舍 -龙昆南,2室1厅 | 65平米 | 南 北 | 简装 | 中楼层(共6层)  | 暂无数据,1人关注 / 6天以前发布,79.8,"12,277元/平"
正规一房一厅 户型方正  钥匙在手看房方便,水岸听涛 -海甸岛,1室1厅 | 46.1平米 | 南 北 | 其他 | 中楼层(共26层)  | 板楼,2人关注 / 23天以前发布,73,"15,836元/平"
此房源满五唯一，楼层好，视野宽阔，采光充足,厚土珊瑚湾 -海甸岛,2室2厅 | 78.12平米 | 北 | 简装 | 高楼层(共26层)  | 板塔结合,1人关注 / 30天以前发布,141,"18,050元/平"
满五唯一，随时看房，诚心出售，家乐福旁大一室一厅。,伟达·雅郡 -海甸岛,1室1厅 | 60.34平米 | 东 | 简装 | 高楼层(共17层)  | 板塔结合,2人关注 / 26天以前发布,89.8,"14,883元/平"
急售！！海德公馆 朝南精装3房 楼层好 拎包入住 满二,绿地·海德公馆 -解放西,3室2厅 | 83.76平米 | 南 | 精装 | 33层  | 板塔结合,0人关注 / 24天以前发布,202,"24,117元/平"
龙昆南路主干道。电梯大平层 大三房,金泰大厦 -龙昆南,3室1厅 | 172平米 | 南 | 简装 | 高楼层(共21层)  | 塔楼,0人关注 / 21天以前发布,135,"7,849元/平"
新大洲大道正规三房，满五唯一，只要130万,海南政法职业学院 -凤翔,3室2厅 | 100.45平米 | 南 北 | 其他 | 中楼层(共8层)  | 暂无数据,1人关注 / 15天以前发布,130,"12,942元/平"
龙墅湾147平小高层四房通透通风采光好一线海景,龙墅湾 -紫园片区,4室2厅 | 147.04平米 | 东南 | 毛坯 | 7层  | 板塔结合,16人关注 / 4个月以前发布,358,"24,348元/平"
永万路天伦誉海湾4房2厅南北通采光通风视墅好 双阳台,天伦誉海湾 -紫园片区,3室2厅 | 120.11平米 | 南 | 精装 | 高楼层(共19层)  | 板楼,1人关注 / 4个月以前发布,270,"22,480元/平"
海甸岛，德利路，3房2厅，南北通透，双阳台,阳光海景 -海甸岛,3室1厅 | 107.79平米 | 南 北 | 简装 | 高楼层(共4层)  | 板楼,17人关注 / 3个月以前发布,143,"13,267元/平"
新埠岛，滨海国际南向精装大三房,碧桂园·滨海国际 -新埠岛,3室2厅 | 127.88平米 | 东 南 | 精装 | 18层  | 板塔结合,2人关注 / 3个月以前发布,260,"20,332元/平"
祥和家园 满五唯一 4房带大入户，182平，高楼层采光好,祥和家园 -紫园片区,4室2厅 | 187.09平米 | 南 北 | 其他 | 高楼层(共18层)  | 板楼,2人关注 / 8个月以前发布,420,"22,450元/平"
带入户花园  三房两厅双卫双阳台   南阳入户花园北向,瑞州嘉园 -海甸岛,3室2厅 | 117.58平米 | 南 | 毛坯 | 18层  | 塔楼,0人关注 / 9天以前发布,224,"19,051元/平"
小高层住宅小区，户型方正，采光好，单价低、满五唯一,展兴高新花园 -秀英,4室2厅 | 143.66平米 | 东南 | 精装 | 中楼层(共22层)  | 板塔结合,0人关注 / 1个月以前发布,208,"14,479元/平"
和风江岸，不邻滨江路，满五唯一，东户中高层，带车位,和风江岸 -国兴,3室2厅 | 124.25平米 | 东北 | 毛坯 | 高楼层(共33层)  | 板塔结合,1人关注 / 1个月以前发布,288,"23,180元/平"
金鹿花苑 6室3厅 南,金鹿花苑 -金盘,6室3厅 | 95.77平米 | 南 | 精装 | 中楼层(共7层)  | 暂无数据,0人关注 / 5天以前发布,163,"17,020元/平"
万绿园旁，生生国际旁，生活交通便利满五税费少,大通小区 -海口湾,2室2厅 | 88.74平米 | 南 北 | 简装 | 高楼层(共8层)  | 板楼,7人关注 / 28天以前发布,80,"9,016元/平"
龙华路、证满五年唯一电梯三房，户型方正昌茂清华园旁,海南省日用杂品公司宿舍 -解放西,3室2厅 | 91.37平米 | 南 北 | 简装 | 中楼层(共9层)  | 暂无数据,0人关注 / 14天以前发布,120,"13,134元/平"
房子满五多套，只需要缴纳个人所得税和契税,西城1号 -秀英,2室2厅 | 85.52平米 | 南 | 精装 | 高楼层(共19层)  | 板楼,1人关注 / 13天以前发布,142,"16,605元/平"
满五唯一，南北通透格局，楼层好，采光充足，交通便利,驰天钰园 -海甸岛,3室2厅 | 116.2平米 | 南 北 | 简装 | 中楼层(共13层)  | 板楼,0人关注 / 14天以前发布,174.3,"15,000元/平"
金盘实验旁、精装大三房、13平不算面积大阳台满五多,金城一品 -金盘,3室2厅 | 138.89平米 | 南 | 精装 | 低楼层(共17层)  | 暂无数据,1人关注 / 4个月以前发布,220,"15,840元/平"
满二 中楼层 无抵押随时可过户,碧桂园·滨海国际 -新埠岛,3室2厅 | 85.07平米 | 南 | 精装 | 18层  | 板塔结合,4人关注 / 3个月以前发布,200,"23,511元/平"
1、产证满五 2、中间楼层 3、两梯两户板楼,海航国兴城 -国兴,4室2厅 | 168.19平米 | 南 北 | 精装 | 中楼层(共31层)  | 板楼,3人关注 / 2个月以前发布,418,"24,853元/平"
国贸世贸海口湾，近万绿园商场酒店，教育丰富,置地花园 -国贸,4室2厅 | 122平米 | 西北 | 其他 | 中楼层(共26层)  | 板楼,0人关注 / 3天以前发布,188,"15,410元/平"
滨江品 质小区，满五年，精装修，视野宽广朝南户型,滨江绿都 -滨江,2室1厅 | 80平米 | 东南 | 其他 | 29层  | 板塔结合,0人关注 / 4天以前发布,148,"18,500元/平"
滨江海岸旁大小区水岸阳光三房朝南诚意出售,水岸阳光A区 -海甸岛,3室1厅 | 102.58平米 | 东南 | 精装 | 中楼层(共26层)  | 塔楼,1人关注 / 1个月以前发布,145.8,"14,214元/平"
蓝天路商场旁电梯三房，单价低！生活方便,康业西湖苑 -明珠,3室2厅 | 126.03平米 | 东南 | 简装 | 12层  | 板塔结合,15人关注 / 9个月以前发布,135,"10,712元/平"
濠江壹号 3室1厅 北,濠江壹号 -海甸岛,3室1厅 | 94.28平米 | 北 | 简装 | 16层  | 板塔结合,4人关注 / 1个月以前发布,168,"17,820元/平"
海甸岛繁华地段小两居带露台出售,嘉汇广场 -海甸岛,2室1厅 | 54.91平米 | 南 | 简装 | 中楼层(共11层)  | 塔楼,45人关注 / 5个月以前发布,92,"16,755元/平"
带装修诚心想出售 海航豪庭北苑一区,海航豪庭·北苑 -国兴,3室2厅 | 148.54平米 | 东南 | 精装 | 中楼层(共26层)  | 暂无数据,0人关注 / 3个月以前发布,407,"27,401元/平"
工作调动 诚心出售 30万装修 产证在手 高楼层精装三房,山海苑 -紫园片区,3室2厅 | 93.5平米 | 东南 | 精装 | 高楼层(共17层)  | 板塔结合,0人关注 / 1个月以前发布,188,"20,107元/平"
海甸岛18年小区精装公寓拎包入住正规朝南两房,碧桂园·滨江海岸（三期） -海甸岛,2室1厅 | 64.46平米 | 东南 | 精装 | 中楼层(共25层)  | 塔楼,124人关注 / 一年前发布,85,"13,187元/平"
钥匙房 绿地海德公馆 高层3房满二 业主诚意出售,绿地·海德公馆 -解放西,3室2厅 | 94.22平米 | 南 | 精装 | 33层  | 板塔结合,1人关注 / 2个月以前发布,230,"24,411元/平"
优美市区大盘，环境优美，业主诚心出售,恒大海口文化旅游城 -椰海大道,3室2厅 | 104平米 | 东北 | 精装 | 高楼层(共24层)  | 板塔结合,48人关注 / 9个月以前发布,102,"9,808元/平"
西海岸五源河 东汇西海岸免 税城 精装 南北向2+1房,东汇西海岸 -远大,3室2厅 | 103.9平米 | 南 北 | 精装 | 17层  | 板塔结合,0人关注 / 17天以前发布,170,"16,362元/平"
诚心出售，海德公馆3房，中间楼层，无抵押，产证满二,绿地·海德公馆 -解放西,3室2厅 | 83.73平米 | 南 | 毛坯 | 33层  | 板塔结合,1人关注 / 18天以前发布,209,"24,962元/平"
大禹小区 小户型精装房屋 适合年轻小伙伴,大禹小区 -白龙,2室1厅 | 54.04平米 | 东南 | 其他 | 高楼层(共18层)  | 塔楼,0人关注 / 29天以前发布,75,"13,879元/平"
世贸住宅两房90万 业主诚心出售,中天海景 -世贸,2室1厅 | 63.51平米 | 南 | 精装 | 中楼层(共19层)  | 板塔结合,1人关注 / 22天以前发布,90,"14,171元/平"
满五唯一 南北通透，采光佳 通风好,海南农垦东大院 -海垦,3室2厅 | 92.84平米 | 南 北 | 简装 | 中楼层(共8层)  | 板楼,0人关注 / 30天以前发布,135,"14,542元/平"
海甸岛 满五唯一 南北格局三阳台 通风采光好 业主诚心,伊甸家园 -海甸岛,2室2厅 | 90.74平米 | 东南 | 简装 | 中楼层(共16层)  | 板塔结合,0人关注 / 26天以前发布,163,"17,964元/平"
滨江电梯花园洋房含产权车位南北通透,佳元天上人间 -滨江,3室2厅 | 96.49平米 | 南 北 | 精装 | 7层  | 板楼,2人关注 / 1个月以前发布,186,"19,277元/平"
禧福新城，大三房两厅两卫，业主诚心出售，随时看房,禧福新城 -海垦,3室2厅 | 131.67平米 | 南 | 精装 | 高楼层(共18层)  | 塔楼,0人关注 / 26天以前发布,198,"15,038元/平"
白龙板桥路蓝水湾旁 海尚明居 精装二房 电梯房,海尚明居 -白龙,2室2厅 | 71平米 | 东北 | 精装 | 低楼层(共20层)  | 板塔结合,1人关注 / 27天以前发布,135,"19,015元/平"
户型方正，满五唯一，明厨明卫，通风采光足,法官公寓 -龙昆南,4室2厅 | 124.53平米 | 东 南 | 其他 | 低楼层(共6层)  | 板楼,0人关注 / 15天以前发布,160,"12,849元/平"
此房满五唯一，双卧朝南，一次卧朝东，中高层采光充足,燕兴城 -海甸岛,3室2厅 | 118.16平米 | 南 北 | 其他 | 高楼层(共15层)  | 板楼,1人关注 / 2个月以前发布,155,"13,118元/平"
业主40万精装修，花园洋房，1梯2户，双阳台南北通,海南之心和风花苑 -新埠岛,3室2厅 | 97.99平米 | 南 | 精装 | 6层  | 板楼,10人关注 / 2个月以前发布,220,"22,452元/平"
海甸岛精装3房，满五唯一，南北通透,一品水苑 -海甸岛,3室2厅 | 160.97平米 | 南 北 | 精装 | 15层  | 板楼,2人关注 / 6个月以前发布,248,"15,407元/平"
海甸岛五东路燕泰国际花园，大二房二厅，满五唯一 。,燕泰国际花园 -海甸岛,2室2厅 | 99.18平米 | 南 | 简装 | 高楼层(共17层)  | 板楼,5人关注 / 2个月以前发布,142,"14,318元/平"
国兴片区 滨江路 枫丹白露四房 南北 精装修 满五唯一,枫丹白露 -国兴,4室2厅 | 154.5平米 | 南 北 | 精装 | 低楼层(共18层)  | 板楼,5人关注 / 2个月以前发布,290,"18,771元/平"
西溪里一期，2016年小区，满五唯一，带车位出售,金隅大成西溪里 -海甸岛,2室2厅 | 87.95平米 | 南 | 精装 | 23层  | 板塔结合,13人关注 / 7个月以前发布,177,"20,126元/平"
朝南大三房，通风好，豪 华装修，东鹏瓷砖，定制门。,五源河公寓A区 -远大,3室2厅 | 127.02平米 | 南 | 精装 | 32层  | 板塔结合,6人关注 / 10个月以前发布,220,"17,321元/平"
国兴省图书馆 大型花园泳池小区精装大四房南北通透,学苑公馆 -滨江,4室2厅 | 157.07平米 | 南 北 | 精装 | 21层  | 板楼,0人关注 / 1个月以前发布,260,"16,554元/平"
农垦双创广场 南海花园 精装两房 到23年1月22日才过户,南海花园 -海垦,2室2厅 | 59.11平米 | 东 | 精装 | 中楼层(共19层)  | 板楼,0人关注 / 14天以前发布,105,"17,764元/平"
高品质小区，户型方正，环境好，产证满五唯一税费1%,佳元·椰风水韵 -滨江,2室2厅 | 77.66平米 | 南 | 精装 | 中楼层(共11层)  | 板楼,1人关注 / 16天以前发布,168,"21,633元/平"
满五唯一，精装修，视野宽广朝南户型,滨江绿都 -滨江,2室2厅 | 78.82平米 | 南 北 | 精装 | 28层  | 板塔结合,1人关注 / 11天以前发布,142,"18,016元/平"
房子户型好，正规一房，九中，交通方便，购物方便！,银达大厦 -明珠,1室1厅 | 44.99平米 | 南 | 其他 | 低楼层(共22层)  | 板塔结合,10人关注 / 15天以前发布,65,"14,448元/平"
滨江路，1房精装，看房江房，可以拎包入住,天艺国际酒店 -滨江,1室1厅 | 51.24平米 | 南 | 其他 | 21层  | 板塔结合,0人关注 / 5天以前发布,68,"13,271元/平"
业主诚心出售！滨海九小的大三房！朝南中间楼层！,金域湾畔 -海口湾,3室2厅 | 124.9平米 | 南 | 精装 | 30层  | 板塔结合,17人关注 / 5个月以前发布,222,"17,775元/平"
华林广场精装2房复式 实用面积大,华林广场 -明珠,2室1厅 | 36.19平米 | 北 | 简装 | 17层  | 板塔结合,4人关注 / 一年前发布,99,"27,356元/平"
龙昆南 优质电梯小区房 好楼层 带装修 车位充足,佳宝花园 -龙昆南,3室2厅 | 124.84平米 | 东北 | 简装 | 18层  | 板塔结合,19人关注 / 10个月以前发布,139,"11,135元/平"
吾悦商圈 17年小区 南北通透 正规四房 带车位！,昌茂·城邦 -椰海大道,4室2厅 | 136.77平米 | 南 北 | 精装 | 高楼层(共18层)  | 板楼,1人关注 / 1个月以前发布,268,"19,595元/平"
电梯房 仅需契税 友谊南海城旁 南向 诚心卖,绿谷康都 -海垦,2室2厅 | 81.7平米 | 南 | 简装 | 中楼层(共15层)  | 板楼,3人关注 / 2个月以前发布,148,"18,116元/平"
吾悦广场2017年小区 电梯中层  精装修,海口新城吾悦广场 -椰海大道,3室2厅 | 93.91平米 | 南 | 其他 | 22层  | 板楼,0人关注 / 2个月以前发布,185,"19,700元/平"
中信台达新装修两房产证满五诚心出售,中信·台达国际 -江东,2室2厅 | 65.39平米 | 南 | 精装 | 11层  | 板塔结合,28人关注 / 5个月以前发布,75,"11,470元/平"
海甸岛 次新小区 正规朝南两房,江海郡 -海甸岛,2室2厅 | 73.85平米 | 南 | 简装 | 高楼层(共23层)  | 板塔结合,5人关注 / 1个月以前发布,148,"20,041元/平"
秀英成熟社区，生活方便，户型方正，园林精致,兰庭雅苑 -秀英,3室2厅 | 114.22平米 | 北 | 简装 | 低楼层(共21层)  | 板塔结合,3人关注 / 11个月以前发布,180,"15,760元/平"
满五唯一 亚洲豪苑北区 毛坯未住过 方正三房两厅两卫,亚洲豪苑北区 -金盘,3室2厅 | 134.48平米 | 南 | 毛坯 | 13层  | 板塔结合,1人关注 / 3个月以前发布,210,"15,616元/平"
龙昆南 通透户型 大露台  满五 价格美丽,铂领公馆 -龙昆南,3室2厅 | 142.24平米 | 南 北 | 精装 | 22层  | 板楼,6人关注 / 4个月以前发布,200,"14,061元/平"
五小附，近精装两房出售！有小区环境,绿源雅都 -滨江,2室2厅 | 69.2平米 | 南 北 | 精装 | 中楼层(共13层)  | 板塔结合,1人关注 / 2个月以前发布,125,"18,064元/平"
2016年此新小区 满五多套，精装2房，精装，配套齐全,美丽沙·蓝色海岸 -海甸岛,2室2厅 | 80.19平米 | 南 | 精装 | 低楼层(共24层)  | 塔楼,0人关注 / 3个月以前发布,179,"22,322元/平"
永万路，一梯3户，次新小区，楼层好，视野棒,展兴高新花园 -秀英,3室2厅 | 131.98平米 | 南 北 | 精装 | 中楼层(共23层)  | 板塔结合,1人关注 / 4个月以前发布,195,"14,775元/平"
品质次新小高层小区 高楼层 通风采光好,紫园 -紫园片区,2室1厅 | 92.23平米 | 西北 北 | 其他 | 11层  | 板楼,1人关注 / 3个月以前发布,270,"29,275元/平"
新埠岛 次新小区 2房 诚心出售  环境优美  明厨明卫,碧桂园·滨海国际 -新埠岛,2室2厅 | 73.47平米 | 北 | 精装 | 18层  | 板塔结合,0人关注 / 1个月以前发布,155,"21,098元/平"
此房满五唯一，采光好，欧式装修,厚土珊瑚湾 -海甸岛,2室1厅 | 81.83平米 | 南 | 精装 | 低楼层(共24层)  | 板塔结合,2人关注 / 2个月以前发布,149,"18,209元/平"
相临海口湾大三房 业主诚意出售 单价12020/平 满5唯一,七彩阳光 -秀英,3室2厅 | 133.11平米 | 东南 | 简装 | 低楼层(共18层)  | 暂无数据,10人关注 / 4个月以前发布,150,"11,269元/平"
市二建宿舍 3室1厅 南,市二建宿舍 -明珠,3室1厅 | 81.12平米 | 南 | 精装 | 中楼层(共7层)  | 暂无数据,21人关注 / 4个月以前发布,88,"10,849元/平"
户型方正，视野好，采光好，电梯房,滨海花苑 -海口湾,3室2厅 | 112.76平米 | 西 北 | 简装 | 低楼层(共10层)  | 板楼,20人关注 / 6个月以前发布,139,"12,328元/平"
龙昆南 汇宇金城 124.88m² 三房两卫 162万 急售,汇宇金城 -龙昆南,3室2厅 | 124.88平米 | 东南 | 其他 | 低楼层(共22层)  | 板楼,0人关注 / 1个月以前发布,156,"12,492元/平"
开阔海景，免 税城，新海港。未入住过，新房出售。满,星华海岸城 -远大,3室2厅 | 119.39平米 | 北 | 精装 | 26层  | 板塔结合,10人关注 / 1个月以前发布,235,"19,684元/平"
精装正规两房，产证在手，通透采光好。业主诚心卖,滨海丽景 -解放西,2室1厅 | 59.81平米 | 南 | 其他 | 高楼层(共18层)  | 板塔结合,1人关注 / 1个月以前发布,130,"21,736元/平"
水云天大型园林小区，环境优美可看湖景。,水云天 -秀英,3室1厅 | 104.16平米 | 东 北 | 精装 | 低楼层(共18层)  | 塔楼,11人关注 / 2个月以前发布,148,"14,209元/平"
满二  国兴品质小区  绿化好  人车分流   高品质装修,海航豪庭·北苑 -国兴,3室2厅 | 156.84平米 | 南 | 精装 | 低楼层(共24层)  | 板楼,4人关注 / 2个月以前发布,420,"26,779元/平"
棕榈泉 大型社区 精装2房 1梯3户 小高层 满五,棕榈泉 -秀英,2室2厅 | 80.47平米 | 北 | 精装 | 中楼层(共7层)  | 板塔结合,2人关注 / 1个月以前发布,150,"18,641元/平"
吾悦商圈恒大文化旅游城3房2厅精装2梯3户住宅性质,恒大海口文化旅游城 -椰海大道,3室2厅 | 112.52平米 | 南 北 | 精装 | 中楼层(共18层)  | 板塔结合,5人关注 / 4个月以前发布,185,"16,442元/平"
满五唯一 中间楼层 朝南户型 随时看房 业主急售,兆南绿岛家园 -海甸岛,2室2厅 | 95.37平米 | 南 | 简装 | 中楼层(共11层)  | 板塔结合,18人关注 / 6个月以前发布,160,"16,777元/平"
此房满五且多套，业主诚心出售，看房方便，,海口市自然资源和规划局美兰分局宿舍 -海甸岛,3室2厅 | 109平米 | 南 北 | 简装 | 中楼层(共8层)  | 板楼,3人关注 / 31天以前发布,93,"8,533元/平"
海口亚洲豪苑通透明亮户型，成熟小区业主诚心售房,亚洲豪苑北区 -金盘,3室2厅 | 134.5平米 | 南 | 其他 | 14层  | 板塔结合,0人关注 / 8天以前发布,182.8,"13,592元/平"
清华园，市一中旁，高楼层采光好，精装修，无抵押满五,昌茂清华园 -解放西,2室2厅 | 76.76平米 | 北 | 精装 | 高楼层(共18层)  | 板塔结合,0人关注 / 8天以前发布,132,"17,197元/平"
天福新村  满五唯一 一楼住宅。,天福新村 -明珠,3室1厅 | 74.5平米 | 南 | 其他 | 低楼层(共7层)  | 板塔结合,1人关注 / 8天以前发布,89,"11,947元/平"
西海瑞园 2室2厅 南,西海瑞园 -远大,2室2厅 | 102.42平米 | 南 | 简装 | 低楼层(共16层)  | 板塔结合,0人关注 / 5天以前发布,160,"15,622元/平"
万达广场 骏豪仕家 精装四房 南北通透视野好 满二少税,万达·骏豪仕家 -万达,4室2厅 | 140.85平米 | 南 北 | 其他 | 32层  | 板塔结合,0人关注 / 6天以前发布,248,"17,608元/平"
五福雅苑 三房 低总价 业主诚心卖 满五唯一,五福雅苑 -海甸岛,3室2厅 | 119.82平米 | 东南 | 精装 | 23层  | 板塔结合,0人关注 / 6天以前发布,170,"14,188元/平"
江东新区 刚需2房  单价低，琥珀悠澜,琥珀悠澜 -江东,2室1厅 | 72.87平米 | 北 | 简装 | 19层  | 板塔结合,1人关注 / 13天以前发布,120,"16,468元/平"
洋房大型小区，大三房带露台50平包含一个车库满五急售,绿色佳园 -滨江,3室2厅 | 140.06平米 | 南 | 简装 | 6层  | 板楼,1人关注 / 1个月以前发布,196,"13,995元/平"
五源河B区 ，精装修，户型好。,五源河公寓B区 -远大,3室2厅 | 127.85平米 | 南 北 | 简装 | 28层  | 板塔结合,5人关注 / 一年前发布,220,"17,208元/平"
海口湾 次新小区  低总价好房,御景湾 -海口湾,2室1厅 | 94.48平米 | 北 | 精装 | 高楼层(共30层)  | 板塔结合,0人关注 / 31天以前发布,220,"23,286元/平"
繁华地段 交通便利 生活方便 采光好适合居家,祥阁深蓝湾 -世贸,3室2厅 | 92.26平米 | 东 东南 | 精装 | 高楼层(共31层)  | 板塔结合,24人关注 / 7个月以前发布,145,"15,717元/平"
海韵书香楼层好 朝南向 小区低密度 套内面积大,海韵书香 -海甸岛,1室1厅 | 21.6平米 | 南 | 精装 | 中楼层(共4层)  | 板塔结合,0人关注 / 1个月以前发布,35.5,"16,436元/平"
龙昆南 大型社区 户型方正 采光充足 94平三房 电梯,昌茂花园 -龙昆南,3室1厅 | 94.5平米 | 南 | 精装 | 18层  | 板楼,3人关注 / 2个月以前发布,123,"13,016元/平"
南宝路电梯两房，正规两房，繁华地段交通便利,龙翔大厦 -明珠,2室2厅 | 70.73平米 | 南 | 简装 | 中楼层(共8层)  | 塔楼,0人关注 / 4个月以前发布,80,"11,311元/平"
业主急售 视野通透 实用面积约100精装复式两房,华林广场 -明珠,2室1厅 | 50.28平米 | 西北 | 精装 | 17层  | 板楼,1人关注 / 2个月以前发布,108,"21,480元/平"
海甸岛，六东路，珍珠裕苑一期，电梯房，有露台,珍珠裕苑一期 -海甸岛,2室2厅 | 68.84平米 | 北 | 其他 | 低楼层(共9层)  | 板塔结合,2人关注 / 31天以前发布,100,"14,527元/平"
海口西海岸，产证满二交易税少 有学x校，买一层享两层,远大购物广场 -远大,2室1厅 | 45.96平米 | 北 | 其他 | 20层  | 板塔结合,1人关注 / 20天以前发布,77,"16,754元/平"
海悦国际 开间 满五 诚意出售,海悦国际 -海甸岛,1室0厅 | 24平米 | 南 | 简装 | 低楼层(共18层)  | 塔楼,0人关注 / 16天以前发布,38,"15,834元/平"
国兴大润发滨江路封闭小区盛贤景都南北通透三房满二,盛贤景都 -国兴,3室2厅 | 131.07平米 | 南 北 | 简装 | 中楼层(共31层)  | 塔楼,0人关注 / 27天以前发布,216,"16,480元/平"
滨江新苑A区 91.84平商品房 一线江景房 视野开阔,滨江新苑A区 -白龙,2室2厅 | 91.84平米 | 南 | 精装 | 中楼层(共26层)  | 板塔结合,1人关注 / 16天以前发布,158,"17,204元/平"
绿地文化城 2室2厅 南,绿地文化城 -西海岸南片区,2室2厅 | 77.08平米 | 南 | 精装 | 中楼层(共26层)  | 板塔结合,2人关注 / 13天以前发布,120,"15,569元/平"
椰城花园 3室2厅 南,椰城花园 -海口湾,3室2厅 | 134.5平米 | 南 | 简装 | 中楼层(共13层)  | 暂无数据,0人关注 / 9天以前发布,209,"15,540元/平"
业主急售，碧桂园大型大型花园小区，三房两厅两卫,碧桂园·中央首府 -椰海大道,3室2厅 | 102平米 | 南 | 精装 | 中楼层(共24层)  | 板塔结合,0人关注 / 8天以前发布,185,"18,138元/平"
此房满五 看房方便 小区生活便利 看海大  配套好,港湾花园 -海甸岛,2室2厅 | 85.51平米 | 东 西 | 精装 | 高楼层(共8层)  | 板楼,0人关注 / 1个月以前发布,118,"13,800元/平"
成熟小区精装修  拎包入住  。。。。,绿地缤纷城 -远大,2室2厅 | 50平米 | 北 | 精装 | 低楼层(共15层)  | 板塔结合,7人关注 / 8个月以前发布,75,"15,000元/平"
万达广场  银泉花园 业主精装修 南北通透两房,银泉花园 -万达,2室2厅 | 83.51平米 | 南 北 | 精装 | 高楼层(共29层)  | 板塔结合,2人关注 / 2个月以前发布,145,"17,364元/平"
业主诚心卖房 精装修 楼层视野好.,翡翠水城 -滨江,2室2厅 | 91平米 | 南 | 精装 | 32层  | 板塔结合,1人关注 / 1个月以前发布,152,"16,704元/平"
