标题,开发商,房子信息,发布信息,售价/万,单价
金地檀境 前排 视野开阔 采光充足 诚心出售,金地檀境 -前关,3室2厅 | 104.15平米 | 南 北 | 精装 | 中楼层(共33层)  | 板楼,0人关注 / 8天以前发布,136,"13,059元/平"
泉水枫丹丽城 南北通厅 位置好 近地铁3号线,枫丹丽城 -泉水美域盛景,2室1厅 | 91.18平米 | 南 北 | 简装 | 中楼层(共10层)  | 板楼,0人关注 / 4天以前发布,190,"20,838元/平"
房主诚心卖 户型方正 南北通透通厅 封闭小区,壹品漫谷 -凌水,3室2厅 | 128.02平米 | 南 北 | 精装 | 低楼层(共15层)  | 板楼,0人关注 / 6天以前发布,258,"20,154元/平"
房主诚心卖 户型方正 南北通透通厅 封闭小区 适合居住,壹品漫谷 -凌水,3室2厅 | 129.6平米 | 南 北 | 精装 | 高楼层(共9层)  | 板楼,1人关注 / 6天以前发布,300,"23,149元/平"
解放路秀月街卡纳意乡大三室2卫户型，视野好闹中取静,卡纳意乡 -景山,3室2厅 | 142.07平米 | 南 北 | 精装 | 高楼层(共18层)  | 板楼,1人关注 / 6天以前发布,280,"19,709元/平"
小平岛邻海园 3室2厅 南 北,小平岛邻海园 -小平岛,3室2厅 | 125.03平米 | 南 北 | 精装 | 高楼层(共11层)  | 板楼,0人关注 / 3天以前发布,255,"20,396元/平"
高品质改善型园林小区 三室  两梯两户楼层好 看海,东方圣荷西 -软件园,3室1厅 | 143.58平米 | 南 北 | 精装 | 中楼层(共18层)  | 板楼,6人关注 / 4天以前发布,389,"27,093元/平"
心宁苑 三室 有车库 处理房产 诚心出售,心宁苑 -孙家沟,3室2厅 | 113.95平米 | 南 北 | 简装 | 低楼层(共6层)  | 板楼,2人关注 / 5天以前发布,188,"16,499元/平"
金州火车站盛滨花园C区两室两厅多层精装修看房方便,盛滨花园C区 -站前,2室2厅 | 97.09平米 | 南 北 | 精装 | 中楼层(共7层)  | 板楼,0人关注 / 4天以前发布,99,"10,197元/平"
单价低三八广场电梯楼，4室位置采光好，近医院家乐福,北良公寓 -三八北,4室1厅 | 134.35平米 | 北 南 | 简装 | 高楼层(共19层)  | 板楼,1人关注 / 3天以前发布,155,"11,538元/平"
华润七期前排三室好楼层，视野好，业主急售，随时看房,华润海中国七期 -华润海中国,3室1厅 | 113.32平米 | 南 北 | 简装 | 33层  | 板楼,0人关注 / 30天以前发布,219.8,"19,397元/平"
中环嘉园 金马路近炮台山 环境好封闭小区 交通便利,中环嘉园 -城润,3室2厅 | 143.7平米 | 南 北 | 毛坯 | 中楼层(共11层)  | 板楼,1人关注 / 25天以前发布,133.8,"9,312元/平"
经典三室户型，多层3楼采光视野好，寻找有缘人,幸福e家一期 -幸福e家,3室1厅 | 122.13平米 | 南 北 | 精装 | 中楼层(共6层)  | 板楼,11人关注 / 25天以前发布,380,"31,115元/平"
一线海景 毛坯房 南北通透 西客厅,热岛黄金海岸 -华润海中国,3室2厅 | 155平米 | 南 北 | 毛坯 | 中楼层(共26层)  | 板楼,0人关注 / 19天以前发布,158,"10,194元/平"
悦泰福里 多层电梯洋房 有110平阁楼 5跃6,悦泰福里 -大菜市,3室2厅 | 114.8平米 | 南 北 | 毛坯 | 高楼层(共5层)  | 板楼,2人关注 / 25天以前发布,438,"38,154元/平"
精装龙湖物业品质小区 C位 视野采光好,大湖山语 -凌水,2室2厅 | 86.19平米 | 南 北 | 精装 | 中楼层(共33层)  | 板楼,2人关注 / 28天以前发布,224,"25,990元/平"
大区推荐房源 红梅开七 看山看海看广场 2015年房龄新,德泰时代广场 -红梅翠竹,3室2厅 | 125.84平米 | 南 北 | 精装 | 高楼层(共31层)  | 板楼,2人关注 / 27天以前发布,215,"17,086元/平"
寺儿沟房子不在证还有一个房间无坡3室1厅南北通透精装,春海街 -寺儿沟,3室1厅 | 52.07平米 | 南 北 | 精装 | 中楼层(共6层)  | 板楼,1人关注 / 28天以前发布,86,"16,517元/平"
三室南北通透 户型方正 精装修 拎包即住,正源吉祥e家祥福园 -城润,3室2厅 | 98.5平米 | 南 北 | 精装 | 中楼层(共32层)  | 板楼,0人关注 / 20天以前发布,120,"12,183元/平"
南北通厅 落地窗 多层洋房 临海不近海,美林西岸西岸风景 -旅顺开发区,3室2厅 | 144.98平米 | 南 北 | 毛坯 | 中楼层(共5层)  | 板楼,5人关注 / 29天以前发布,61.5,"4,242元/平"
婚房装修，手续清晰，看房方便。,国宝星月湾 -龙王塘,3室2厅 | 149.84平米 | 南 北 | 精装 | 中楼层(共32层)  | 板楼,7人关注 / 20天以前发布,188,"12,547元/平"
龙湖品质小区前排 精装修 一天没住,龙湖星海彼岸 -万达,3室2厅 | 106.57平米 | 南 北 | 精装 | 低楼层(共34层)  | 板楼,6人关注 / 24天以前发布,355,"33,312元/平"
景润一期南北向1楼居民区旁边开门头,景润一期 -北京公园,2室1厅 | 53.21平米 | 南 北 | 简装 | 低楼层(共7层)  | 板楼,0人关注 / 7天以前发布,68,"12,780元/平"
凤凰城标准户型，装修好几乎未住,凤凰城 -瓦房店,2室1厅 | 86.57平米 | 南 北 | 其他 | 低楼层(共11层)  | 塔楼,0人关注 / 5天以前发布,78.5,"9,068元/平"
南北通透，位置好，楼层好，设施配套齐全，交通方便,德华小区 -瓦房店,2室1厅 | 70平米 | 南 北 | 其他 | 低楼层(共7层)  | 板塔结合,0人关注 / 8天以前发布,56,"8,000元/平"
融创海逸长洲一期两室业主诚心出售,融创海逸长洲一期 -华润海中国,2室1厅 | 91.86平米 | 南 | 精装 | 中楼层(共26层)  | 板楼,1人关注 / 6天以前发布,150,"16,330元/平"
三室 光线好门前有花园一楼带院,金海花园西园 -香炉礁,4室2厅 | 139.89平米 | 南 北 | 毛坯 | 低楼层(共6层)  | 板楼,0人关注 / 12天以前发布,176,"12,582元/平"
精装修 南北通透大两室，全明户型，小区中间位置,岭秀滨城悦和中园 -生态新城,2室2厅 | 92.65平米 | 南 北 | 精装 | 中楼层(共13层)  | 板楼,0人关注 / 5天以前发布,129,"13,924元/平"
高新园区  黄泥川两室  南向 近车站 龙湖物业 有钥匙,亿达悦龙居 -黄泥川,2室2厅 | 71.86平米 | 南 | 毛坯 | 中楼层(共24层)  | 板楼,0人关注 / 7天以前发布,128,"17,813元/平"
华润置地一期店长推荐，三室精装修好楼层采光好诚心卖,华润置地广场一期 -华南,3室1厅 | 140.47平米 | 南 北 | 其他 | 高楼层(共33层)  | 塔楼,1人关注 / 10天以前发布,310,"22,069元/平"
就是着急卖！2016年电梯框架新楼！屋内保持很干净！,城宁家园 -高城山,2室1厅 | 78.6平米 | 南 北 | 简装 | 中楼层(共14层)  | 板楼,0人关注 / 6天以前发布,69,"8,779元/平"
新增好房 精装小户型 干净保持好 拎包入住  随时看,大华锦绣华城八期 -庙岭,2室1厅 | 63.47平米 | 南 | 其他 | 低楼层(共31层)  | 板楼,0人关注 / 4天以前发布,135,"21,270元/平"
香茗苑 封闭小区 视野开阔 采光好 近地铁站 市场,香茗苑 -侯家沟,2室2厅 | 82.6平米 | 南 北 | 精装 | 高楼层(共6层)  | 板楼,0人关注 / 20天以前发布,185,"22,398元/平"
华润海中国四期 3室1厅 南 北,华润海中国四期 -华润海中国,3室1厅 | 130.87平米 | 南 北 | 精装 | 中楼层(共17层)  | 板楼,0人关注 / 7天以前发布,230,"17,575元/平"
经典田字格三室，楼层好，户型好，位置好,兴华路 -山东路,3室0厅 | 69.54平米 | 南 北 | 简装 | 中楼层(共6层)  | 板楼,0人关注 / 7天以前发布,93.8,"13,489元/平"
精装修 随时看房 证件齐全 近车站 近市场,泉水N1区 -泉水龙畔金泉,3室1厅 | 147.1平米 | 南 北 | 其他 | 中楼层(共28层)  | 板楼,0人关注 / 5天以前发布,140,"9,518元/平"
北欧假日一室一厅，五明户型，视野开阔。,北欧假日 -松峪,1室1厅 | 58.06平米 | 西 北 | 精装 | 中楼层(共35层)  | 塔楼,0人关注 / 17天以前发布,69,"11,885元/平"
：南北通透，精装修，荣域成交火热户型，采光好,远洋荣域A4区 -华南,2室2厅 | 90.65平米 | 南 北 | 精装 | 中楼层(共28层)  | 塔楼,1人关注 / 16天以前发布,185,"20,409元/平"
此房产权证满5年，楼层好，权属清晰随时过户,东北明珠 -开发区万达,2室1厅 | 86.9平米 | 南 | 精装 | 高楼层(共30层)  | 板楼,0人关注 / 10天以前发布,97,"11,163元/平"
框架电梯洋房 南北通透将装修精装修两室一厅,金海蓝湾 -金华,2室1厅 | 85.71平米 | 南 北 | 精装 | 中楼层(共11层)  | 板楼,0人关注 / 12天以前发布,77,"8,984元/平"
亲亲家园 位置好 地铁沿线 3楼 南北通透 可随时看房,亲亲家园 -西山水库,1室1厅 | 48.49平米 | 南 北 | 精装 | 中楼层(共6层)  | 板楼,1人关注 / 13天以前发布,85,"17,530元/平"
湾里南交通方便，配套成熟 电梯楼 南向户型楼层位置好,湾里南小区 -金湾新城,2室1厅 | 65.3平米 | 南 北 | 精装 | 高楼层(共18层)  | 板楼,0人关注 / 14天以前发布,62,"9,495元/平"
金地檀境 精装两室，南北朝向，不遮挡，全天采光,金地檀境 -前关,2室1厅 | 85.7平米 | 南 北 | 精装 | 高楼层(共26层)  | 板楼,0人关注 / 14天以前发布,115,"13,419元/平"
精装修未入住，近万达，近菜市场，楼下有公立幼儿园,龙湖星海彼岸 -万达,2室1厅 | 88.16平米 | 南 北 | 精装 | 中楼层(共28层)  | 板楼,2人关注 / 15天以前发布,259,"29,379元/平"
壹品天城 新增精装两室南北通透五明 拎包即住诚售可议,壹品天城 -亿达,2室1厅 | 96.91平米 | 南 北 | 精装 | 高楼层(共17层)  | 板楼,0人关注 / 11天以前发布,251,"25,901元/平"
泡崖市场，南北两室，精装拎包住，位置好，产权清晰,泡崖二区 -泡崖市场,2室1厅 | 53.74平米 | 南 北 | 精装 | 高楼层(共7层)  | 板楼,1人关注 / 16天以前发布,58.5,"10,886元/平"
房主急售 南北通透 有钥匙 看房方便,远洋风景 -北京公园,2室1厅 | 96.48平米 | 南 北 | 精装 | 中楼层(共11层)  | 板楼,1人关注 / 16天以前发布,280,"29,022元/平"
机场新区机场前院精装修婚房未住诚心急售拎包入住可谈,福佳机场前院 -第五郡,2室2厅 | 87.17平米 | 南 北 | 精装 | 中楼层(共9层)  | 板楼,0人关注 / 16天以前发布,205,"23,518元/平"
成熟商圈 户型方正 南北通厅 无遮挡 精装修，70年产权,康馨壹品 -金湾新城,2室1厅 | 77.95平米 | 南 北 | 精装 | 26层  | 板塔结合,0人关注 / 15天以前发布,92,"11,803元/平"
店长推荐 望海39 2楼楼层好 医院家属楼质量好 诚心卖,39中安阳街 -三八南,2室1厅 | 63.76平米 | 东 西 | 简装 | 低楼层(共7层)  | 塔楼,2人关注 / 15天以前发布,130,"20,389元/平"
松峪里二期的房子，二室二厅，楼层好。,松峪里二期 -松峪,2室2厅 | 85.69平米 | 南 北 | 简装 | 低楼层(共6层)  | 板楼,2人关注 / 12天以前发布,135,"15,755元/平"
星海广场 大连明珠 两室精装修 高层看海看广场,大连明珠 -星海广场,2室2厅 | 161.6平米 | 东南 | 精装 | 高楼层(共31层)  | 板塔结合,0人关注 / 11天以前发布,460,"28,466元/平"
【店长推荐】艾维尼一期 全明南北通透两室，视野开阔,艾维尼小城 -生态新城,2室2厅 | 75.33平米 | 南 北 | 精装 | 中楼层(共11层)  | 板楼,3人关注 / 11天以前发布,103.8,"13,780元/平"
钻石9座 一室一厅户型 好楼层 交通便利 配套完善,钻石9座 -倚山里,1室1厅 | 48.96平米 | 南 北 | 精装 | 高楼层(共29层)  | 板塔结合,0人关注 / 11天以前发布,45.8,"9,355元/平"
精装，高楼层，宽敞明亮，楼层好，有钥匙看房方便,大有文园 -凌水,1室0厅 | 31.7平米 | 南 | 精装 | 高楼层(共11层)  | 板楼,0人关注 / 8天以前发布,68,"21,452元/平"
新上房源，七中，非顶，出行方便,新日里小区 -东山,2室1厅 | 86.18平米 | 北 南 | 简装 | 中楼层(共7层)  | 板楼,1人关注 / 10天以前发布,71,"8,239元/平"
湾里南两室一厅南北通透配套完善,湾里南小区 -金湾新城,2室1厅 | 82.47平米 | 南 北 | 精装 | 中楼层(共11层)  | 板楼,0人关注 / 14天以前发布,78,"9,458元/平"
景润小区 南北通透 框架结构 看房方便 有钥匙 非顶楼,景润一期 -北京公园,2室1厅 | 77.98平米 | 南 北 | 简装 | 高楼层(共7层)  | 板楼,1人关注 / 9天以前发布,80,"10,260元/平"
岭秀滨城多层洋房上跃3室2卫，精装修20W 近车站拎包住,岭秀滨城悦和西园 -生态新城,2室2厅 | 62.61平米 | 南 北 | 精装 | 高楼层(共5层)  | 板楼,0人关注 / 10天以前发布,91,"14,535元/平"
孙家沟小广场北侧 无坡中间楼层 南北通透随时看房,孙家沟 -孙家沟,2室1厅 | 55.14平米 | 南 北 | 简装 | 高楼层(共6层)  | 板楼,1人关注 / 10天以前发布,68,"12,333元/平"
中山区 无坡 安静 中间楼层好房推荐,铁山巷 -武昌街,2室1厅 | 49.85平米 | 南 北 | 简装 | 中楼层(共7层)  | 板楼,1人关注 / 9天以前发布,62,"12,438元/平"
南北通厅 落地窗 外带双阳台 采光好,泡崖康顺园 -泡崖八区,2室2厅 | 92.69平米 | 南 北 | 精装 | 中楼层(共7层)  | 板楼,2人关注 / 8天以前发布,101,"10,897元/平"
急售 马栏.南北通透.中间楼层 .出行方便 精装修,马栏小学北 -马栏,2室1厅 | 53.45平米 | 南 北 | 精装 | 中楼层(共7层)  | 板楼,2人关注 / 9天以前发布,74,"13,845元/平"
五一广场 婚房装修 配套设施齐全，交通方便，配套成熟,银寰花园 -北京公园,2室1厅 | 113.14平米 | 南 西南 | 精装 | 低楼层(共26层)  | 塔楼,2人关注 / 12天以前发布,131,"11,579元/平"
大连银行 2室1厅 东 西,大连银行 -普兰店,2室1厅 | 56.21平米 | 东 西 | 精装 | 低楼层(共6层)  | 暂无数据,0人关注 / 7天以前发布,28,"4,982元/平"
巾帼小区 一楼可开门头 地热 家电家具不带走 拎包即住,巾帼小区 -山东路,2室1厅 | 72.34平米 | 南 北 | 精装 | 低楼层(共7层)  | 板楼,0人关注 / 8天以前发布,96,"13,271元/平"
高安里 2室2厅 南 北,高安里 -高城山,2室2厅 | 89.34平米 | 南 北 | 简装 | 高楼层(共7层)  | 板楼,0人关注 / 10天以前发布,47.8,"5,351元/平"
户型好门口地铁地势平坦无坡框架全封闭小区视野好,西街晶品 -西山水库,2室2厅 | 102.46平米 | 南 北 | 精装 | 高楼层(共12层)  | 板楼,1人关注 / 8天以前发布,209,"20,399元/平"
泉水锦泉源主干道 位置好 交通便利经营中门头住宅,锦泉源B6区 -泉水锦泉源,1室0厅 | 44.76平米 | 南 北 | 简装 | 低楼层(共5层)  | 板楼,0人关注 / 7天以前发布,125,"27,927元/平"
泉水锦泉源住宅手续门头 主干道位置好,锦泉源B6区 -泉水锦泉源,1室0厅 | 47.21平米 | 南 | 简装 | 低楼层(共5层)  | 板楼,0人关注 / 7天以前发布,135,"28,596元/平"
阳光生态城 2室1厅 南 北,阳光生态城 -旅顺开发区,2室1厅 | 66.33平米 | 南 北 | 简装 | 低楼层(共6层)  | 板楼,0人关注 / 5天以前发布,30,"4,523元/平"
南北通透，视野好，精装修保持干净,新希望家园 -城润,2室1厅 | 80.26平米 | 南 北 | 精装 | 高楼层(共32层)  | 板楼,1人关注 / 6天以前发布,79,"9,844元/平"
真便宜 房主急售 一室精装小户型 看房方便,骏腾名苑 -泉水美域盛景,1室1厅 | 54.94平米 | 南 | 精装 | 中楼层(共15层)  | 板楼,0人关注 / 7天以前发布,76,"13,834元/平"
万益花园 封闭小区 框架房 地角好 生活方便,万益花园 -丽景,3室2厅 | 183.79平米 | 南 北 | 简装 | 低楼层(共13层)  | 板楼,2人关注 / 11天以前发布,298,"16,215元/平"
D1南北通透2室电梯洋房地热北站地铁口300米 出行便利,锦泉源D1区 -泉水锦泉源,2室1厅 | 71.53平米 | 南 北 | 精装 | 高楼层(共11层)  | 板楼,0人关注 / 4天以前发布,119.9,"16,763元/平"
金润小区 多层框架结构 三楼 标准两室一厅,金润小区A区 -金润,2室1厅 | 59.72平米 | 南 | 简装 | 中楼层(共6层)  | 板楼,1人关注 / 6天以前发布,54,"9,043元/平"
春柳地铁 旁，二楼，南向，近医院，近车站，近市场,春晖巷 -春柳,2室1厅 | 46.04平米 | 南 | 简装 | 低楼层(共6层)  | 板楼,0人关注 / 8天以前发布,52,"11,295元/平"
万达华府二期 近人民广场  南北向 视野开阔满五唯一,万达华府二期 -华府,2室2厅 | 81.28平米 | 东 南 北 | 精装 | 高楼层(共30层)  | 塔楼,1人关注 / 5天以前发布,231,"28,421元/平"
东城天下 2室1厅 南 北,东城天下 -东城,2室1厅 | 68.56平米 | 南 北 | 精装 | 中楼层(共6层)  | 板楼,1人关注 / 6天以前发布,68,"9,919元/平"
南北通透三室 户型方正  配套成熟  无遮挡视野采光好,绿洲半岛三期 -海富,3室1厅 | 124.92平米 | 南 北 | 简装 | 中楼层(共12层)  | 板楼,0人关注 / 13天以前发布,118,"9,447元/平"
一楼带院 两室南北通透一层三户位置安静近地铁采光好,西村街 -黑石礁,2室1厅 | 54.56平米 | 南 北 | 简装 | 低楼层(共6层)  | 板楼,0人关注 / 7天以前发布,80,"14,663元/平"
急 急 急 前排无遮挡 全天采光 精装拎包住 中间层,华润海中国三期 -华润海中国,3室1厅 | 135.49平米 | 南 北 | 精装 | 中楼层(共34层)  | 板楼,0人关注 / 10天以前发布,229,"16,902元/平"
中铁B区南北通透两室保持好配套好交通方便,中铁诺德滨海花园B区 -七贤岭,2室1厅 | 70.48平米 | 南 北 | 精装 | 高楼层(共18层)  | 板楼,1人关注 / 6天以前发布,170,"24,121元/平"
美域小高层南北通厅精装修 位置好采光足 全明户型,美域盛景 -泉水美域盛景,2室2厅 | 91.89平米 | 南 北 | 精装 | 中楼层(共10层)  | 板楼,2人关注 / 6天以前发布,160,"17,413元/平"
建烨新城 2室1厅 南 北,建烨新城 -普兰店,2室1厅 | 69.54平米 | 南 北 | 精装 | 低楼层(共6层)  | 塔楼,0人关注 / 6天以前发布,23.5,"3,380元/平"
精装修两卫南北通透中间位置楼间距150米,远洋时代城一期 -高城山,3室1厅 | 117.88平米 | 南 北 | 精装 | 24层  | 板楼,0人关注 / 14天以前发布,117,"9,926元/平"
花园小区 2室1厅 东 西,花园小区 -瓦房店,2室1厅 | 45.22平米 | 东 西 | 精装 | 中楼层(共5层)  | 暂无数据,0人关注 / 3天以前发布,18.9,"4,180元/平"
高新园区 小平岛 高楼层 一室优质房源 诚心出售,小平岛海悦山 -小平岛,1室0厅 | 28.51平米 | 东北 | 精装 | 高楼层(共31层)  | 塔楼,0人关注 / 7天以前发布,73,"25,606元/平"
房子是标准的南北向两室，单价低，近公交..,香炉礁 -香炉礁,1室1厅 | 42.48平米 | 南 北 | 简装 | 中楼层(共5层)  | 板楼,0人关注 / 5天以前发布,49.8,"11,724元/平"
新上金广二期  精装修可看海 全天采光 全明户型,金广东海岸 -华乐,3室2厅 | 153.93平米 | 南 北 | 精装 | 中楼层(共28层)  | 板楼,1人关注 / 11天以前发布,338,"21,959元/平"
多层洋房，南北通厅，位置好，视野开阔,运达诺维溪谷三期 -生态新城,3室2厅 | 85.73平米 | 南 北 | 精装 | 高楼层(共5层)  | 板楼,0人关注 / 5天以前发布,119.9,"13,986元/平"
光伸 二期 三室 电梯 精装，房主诚心卖,光伸玺樾 -金石滩,3室1厅 | 89.66平米 | 南 | 精装 | 中楼层(共6层)  | 板楼,0人关注 / 6天以前发布,110,"12,269元/平"
东城商圈，聚美一期精装3室，好楼层视野毫无遮挡,聚美东湾 -东城,3室1厅 | 81.09平米 | 南 北 | 精装 | 高楼层(共18层)  | 板楼,1人关注 / 6天以前发布,104,"12,826元/平"
龙湖金湾天鉅 小瑶湾的天花板 三室 通厅通透,龙湖金湾天鉅 -金石滩,3室2厅 | 94.42平米 | 南 北 | 毛坯 | 低楼层(共18层)  | 板楼,1人关注 / 7天以前发布,99,"10,486元/平"
一眼万年的房子，等您来品。。。,中海万锦公馆 -体育新城,3室2厅 | 99.54平米 | 南 北 | 精装 | 中楼层(共34层)  | 板楼,2人关注 / 5天以前发布,157,"15,773元/平"
