标题,开发商,房子信息,发布信息,售价/万,单价
适合老年人居住。一楼带花园不潮湿,广信四季家园 -贵阳北站,3室1厅 | 90.6平米 | 南 | 其他 | 低楼层(共7层)  | 板塔结合,0人关注 / 21天以前发布,58.8,"6,491元/平"
龙泉苑中装三房二卫，满五唯一，带车位，看房方便,世纪城龙泉苑东区 -世纪城,3室2厅 | 115.57平米 | 南 | 简装 | 中楼层(共33层)  | 塔楼,5人关注 / 一年前发布,90,"7,788元/平"
万科新都会  精装修+无尾款+可立马入住，,万科新都荟 -贵阳普天,3室2厅 | 96平米 | 南 | 精装 | 中楼层(共34层)  | 塔楼,15人关注 / 7个月以前发布,108,"11,250元/平"
此房满二唯一，精装修带家具家电。,中天知秋轩 -会展城,2室2厅 | 94平米 | 南 北 | 精装 | 中楼层(共25层)  | 板塔结合,10人关注 / 5个月以前发布,99,"10,532元/平"
高.端品质小区，无论是小区环境还是交通出行都好,文峰苑 -市北,4室2厅 | 138.26平米 | 东南 | 精装 | 低楼层(共28层)  | 塔楼,7人关注 / 一年前发布,161.8,"11,703元/平"
户型方正，利用率高，储物空间丰富，保持房间整洁。,文昌苑 -钻石广场,3室2厅 | 154.61平米 | 南 | 精装 | 高楼层(共26层)  | 板塔结合,1人关注 / 5个月以前发布,139,"8,991元/平"
急售中天花园复式楼客厅挑高6米精装修另得35平钢琴房,中天花园.御景湾 -中天花园,4室2厅 | 123.51平米 | 东南 | 精装 | 高楼层(共6层)  | 板塔结合,8人关注 / 3个月以前发布,130,"10,526元/平"
乐街小区精装大四房关门卖 紧靠地铁口 产权满二年,乐街小区 -小河转盘,4室2厅 | 147平米 | 东南 | 精装 | 中楼层(共9层)  | 板楼,2人关注 / 一年前发布,75,"5,103元/平"
中铁逸都精装修带暖气  家具家电关门卖  产权满五唯一,中铁逸都国际A区 -奥体中心,2室2厅 | 90平米 | 南 | 精装 | 中楼层(共31层)  | 板塔结合,17人关注 / 6个月以前发布,78,"8,667元/平"
保利别墅带花园 双车位，高层价享受别墅的品质，,保利春天大道 -保利温泉,4室1厅 | 241平米 | 东南 | 毛坯 | 低楼层(共7层)  | 板塔结合,21人关注 / 8个月以前发布,157,"6,515元/平"
兴隆城市花园，精装修，看房方便,兴隆城市花园 -小河山水黔城,2室2厅 | 88.42平米 | 东 西 | 精装 | 高楼层(共6层)  | 板塔结合,3人关注 / 一年前发布,56,"6,334元/平"
可按揭，精装修，看房方便，诚心卖,万科城B区洋房 -贵阳普天,3室2厅 | 112.64平米 | 东南 | 精装 | 高楼层(共23层)  | 暂无数据,1人关注 / 4个月以前发布,103,"9,145元/平"
万科城 3室1厅 南,万科城 -贵阳普天,3室1厅 | 76.22平米 | 南 | 精装 | 高楼层(共34层)  | 板塔结合,0人关注 / 3个月以前发布,66,"8,660元/平"
三号的铁出口新阳光花园简装三室，产权满五低税,新阳光花园 -振华广场,3室1厅 | 113平米 | 东南 | 简装 | 中楼层(共6层)  | 暂无数据,1人关注 / 3个月以前发布,62,"5,487元/平"
南明区市南路 保利国际广场 景观房 精装修 拎包入住,保利国际广场 -钻石广场,3室2厅 | 115平米 | 南 | 精装 | 高楼层(共39层)  | 塔楼,17人关注 / 一年前发布,165,"14,348元/平"
产权满二  河景大平层 视野采光佳,未来方舟D7组团 -未来方舟,5室2厅 | 169.37平米 | 东南 | 毛坯 | 低楼层(共32层)  | 板楼,0人关注 / 2个月以前发布,160,"9,447元/平"
万科精装品质刚需房.万科品质物业.观山湖交界处地段优,万科城 -贵阳普天,3室2厅 | 85.18平米 | 南 | 精装 | 低楼层(共34层)  | 板塔结合,8人关注 / 一年前发布,67,"7,866元/平"
产权满两年 支持公积金贷款 价格可谈 楼层好 价格可议,恒大城 -南湖,3室2厅 | 112平米 | 南 | 精装 | 中楼层(共32层)  | 塔楼,4人关注 / 2个月以前发布,74,"6,608元/平"
中天金融城知秋轩 业主诚心出售,中天知秋轩 -会展城,3室2厅 | 127平米 | 南 北 | 毛坯 | 低楼层(共32层)  | 板塔结合,70人关注 / 一年前发布,98.6,"7,764元/平"
可以公积金，龙慧苑 满五唯一  精装修关门卖 拎包入住,龙慧苑 -世纪城,2室2厅 | 85.48平米 | 南 北 | 精装 | 中楼层(共18层)  | 板塔结合,4人关注 / 2个月以前发布,76,"8,891元/平"
清水房距离地铁2号线兴筑路800米,华润悦府F区 -奥体中心,3室2厅 | 127.93平米 | 南 | 毛坯 | 低楼层(共32层)  | 板楼,1人关注 / 3个月以前发布,162,"12,664元/平"
观府壹号省医旁产权满二精装3房坐北朝南,观府壹号二组团 -新世界,3室2厅 | 113.45平米 | 南 | 精装 | 中楼层(共32层)  | 板塔结合,54人关注 / 一年前发布,115,"10,137元/平"
恒大中.央公园 2居室改小三居 精装修拎包入住看房方便,恒大中央公园D区 -会展城,2室2厅 | 91.02平米 | 东南 | 精装 | 高楼层(共33层)  | 板塔结合,19人关注 / 6个月以前发布,83,"9,119元/平"
奥体旁中铁逸都C区不靠马路精装大三房拎包入住敞,中铁逸都国际C区 -奥体中心,3室2厅 | 141.59平米 | 南 北 | 精装 | 中楼层(共31层)  | 板塔结合,0人关注 / 1个月以前发布,122,"8,617元/平"
兴隆城市花园 顶楼复式带100平顶楼花园,兴隆城市花园 -小河山水黔城,5室2厅 | 173.8平米 | 南 北 | 精装 | 高楼层(共6层)  | 板楼,13人关注 / 6个月以前发布,92,"5,294元/平"
华润悦府  三房两卫  即 满二  带车位  看 喀斯特公园,华润悦府F区 -奥体中心,3室2厅 | 128.12平米 | 南 | 毛坯 | 中楼层(共26层)  | 板塔结合,24人关注 / 9个月以前发布,190,"14,830元/平"
朝南朝向 带车位  产权清晰  满两年  无尾款和抵押,贵阳宇虹万花城 -阅山湖,3室2厅 | 123.02平米 | 南 | 毛坯 | 高楼层(共32层)  | 板塔结合,11人关注 / 8个月以前发布,99,"8,048元/平"
全产权 无尾款 正常首付 简装修 产权满二,中天帝景传说C区 -奥体中心,3室2厅 | 127.07平米 | 南 | 简装 | 低楼层(共6层)  | 板楼,14人关注 / 4个月以前发布,96,"7,555元/平"
中天山水园房子是精装修直接拎包入住,中天山水园 -观山湖公园,3室2厅 | 130.82平米 | 南 | 精装 | 中楼层(共6层)  | 板塔结合,6人关注 / 6个月以前发布,118,"9,021元/平"
观山湖区金阳乾图中心广场大三房。简装修房子出售。,金阳乾图中心广场 -观山湖公园,3室1厅 | 136.59平米 | 西北 | 简装 | 中楼层(共24层)  | 板塔结合,0人关注 / 8个月以前发布,98,"7,175元/平"
远大美域 精装2室 诚心出售 拎包可入住,远大美域 -高新区,2室1厅 | 93.19平米 | 南 | 精装 | 高楼层(共31层)  | 板塔结合,0人关注 / 1个月以前发布,90,"9,658元/平"
小孟工业园地铁口  纯毛坯房 业主同意公积金贷款,一鸣·宽城国际 -十里河滩,3室2厅 | 118.48平米 | 南 | 毛坯 | 高楼层(共35层)  | 塔楼,6人关注 / 一年前发布,67,"5,655元/平"
通透户型采光良好，业主诚意卖，满五不唯一，税费低,欣歆园 -市北,4室1厅 | 135.79平米 | 东南 | 精装 | 低楼层(共6层)  | 板楼,5人关注 / 一年前发布,80,"5,892元/平"
世纪城龙贤苑三房   户型方正  采光好,龙贤苑北区 -世纪城,3室2厅 | 118.99平米 | 南 | 简装 | 低楼层(共30层)  | 塔楼,41人关注 / 一年前发布,85,"7,144元/平"
云岩盐务街宅吉舒适二楼满五少税诚心出售,康发小区 -市北,3室2厅 | 92.25平米 | 南 | 简装 | 低楼层(共8层)  | 平房,5人关注 / 一年前发布,73,"7,914元/平"
中铁阅山湖离湖近的标准三房，诚心卖,阅山公馆 -阅山湖,3室1厅 | 119.18平米 | 南 | 毛坯 | 低楼层(共33层)  | 板塔结合,0人关注 / 2个月以前发布,135,"11,328元/平"
满五唯一带车位 世纪城龙泉苑中等装修三房 可拎包入住,世纪城龙泉苑东区 -世纪城,3室2厅 | 134.67平米 | 南 | 精装 | 中楼层(共30层)  | 板塔结合,8人关注 / 一年前发布,96.8,"7,188元/平"
地铁口小3房出售，看房方便，户型比较方正,中央国际智苑  -贵阳普天,3室2厅 | 85.49平米 | 东南 | 毛坯 | 中楼层(共48层)  | 板塔结合,18人关注 / 一年前发布,61,"7,136元/平"
俊发城 3室1厅 南,俊发城 -会展城,3室1厅 | 95.86平米 | 南 | 精装 | 高楼层(共33层)  | 板塔结合,0人关注 / 2个月以前发布,80,"8,346元/平"
此房产权满2         业主诚心出售,保利温泉新城三期 -保利温泉,5室2厅 | 229.5平米 | 东南 | 简装 | 低楼层(共26层)  | 板塔结合,7人关注 / 一年前发布,143,"6,231元/平"
宇虹万花城精装三房关门卖，产权清晰，满二,贵阳宇虹万花城 -阅山湖,3室1厅 | 97.29平米 | 南 | 精装 | 低楼层(共32层)  | 板塔结合,1人关注 / 一年前发布,104,"10,690元/平"
此房满五  复式楼采光通透， 视野好,碧波苑 -观山湖公园,4室2厅 | 186.34平米 | 南 | 精装 | 低楼层(共8层)  | 塔楼,1人关注 / 3个月以前发布,149,"7,997元/平"
精装修打包出售，只带走部分私人物品,花果园W2区 -花果园,3室2厅 | 160.22平米 | 南 | 精装 | 中楼层(共43层)  | 板塔结合,7人关注 / 2个月以前发布,104,"6,492元/平"
户型方正  精装修 关门卖 看房方便的,贵阳宇虹万花城 -阅山湖,3室2厅 | 119平米 | 北 | 精装 | 低楼层(共32层)  | 板塔结合,9人关注 / 8个月以前发布,95,"7,984元/平"
会展城A区、三改二户型、满五唯一、有钥匙看房方便。,中天会展城A区 -会展城,3室2厅 | 123.26平米 | 南 | 精装 | 低楼层(共32层)  | 板塔结合,0人关注 / 1个月以前发布,102,"8,276元/平"
