标题,开发商,房子信息,发布信息,售价/万,单价
清江嘉园 4室2厅 南,清江嘉园 -钱清,4室2厅 | 188.49平米 | 南 | 精装 | 高楼层(共6层)  | 板楼,0人关注 / 16天以前发布,355,"18,834元/平"
此房格局好，楼层好 ，采光充足，中间套，,龙湖·原著西苑 -柯西,2室2厅 | 77.13平米 | 南 | 精装 | 低楼层(共34层)  | 板楼,0人关注 / 4天以前发布,159,"20,615元/平"
天香南园，精装修，看房有钥匙，3房2卫,卧龙天香南园 -开发区,3室2厅 | 107.17平米 | 南 | 精装 | 低楼层(共25层)  | 板塔结合,0人关注 / 7天以前发布,195,"18,196元/平"
城南新小区 融信 三室二厅 双阳台,融信观河盛世府 -嵊州城南,3室2厅 | 89平米 | 南 | 精装 | 低楼层(共32层)  | 暂无数据,0人关注 / 7天以前发布,139.8,"15,708元/平"
刚需小户型低总价有车棚两房朝南位置好配套成看房钥匙,笛福新村 -柯桥市区,2室1厅 | 69.7平米 | 南 | 简装 | 低楼层(共7层)  | 板楼,0人关注 / 5天以前发布,152,"21,808元/平"
名城阳光园  适合老人居住，看房有钥匙,名城阳光园 -斗门,2室1厅 | 70平米 | 南 | 精装 | 低楼层(共7层)  | 板楼,1人关注 / 6天以前发布,79,"11,286元/平"
天香西园好房出售，楼层好，边套户型，交通便利,卧龙·天香西园 -开发区,3室2厅 | 88.25平米 | 南 | 其他 | 高楼层(共11层)  | 塔楼,0人关注 / 26天以前发布,175,"19,831元/平"
东周小区 坂湖公园旁  可看整个湖景 很美 满2,东周小区 -柯西,3室1厅 | 111.13平米 | 东南 | 毛坯 | 高楼层(共17层)  | 板楼,0人关注 / 21天以前发布,165,"14,848元/平"
家天下阳光好楼层，三房二厅二卫，曹娥江边,宝华家天下 -开发区,3室2厅 | 94.92平米 | 南 | 毛坯 | 中楼层(共24层)  | 板塔结合,1人关注 / 25天以前发布,225.5,"23,757元/平"
杭州奥体板块银泰南，一河之隔，配套设施齐全。,学府新城春晓园 -杨汛桥,3室1厅 | 101.05平米 | 南 | 毛坯 | 中楼层(共18层)  | 板楼,0人关注 / 22天以前发布,127,"12,569元/平"
好房推荐 次新房 中上楼层 价格实惠 带车位 好房,绍兴新城悦隽公馆 -两湖,3室2厅 | 92平米 | 南 | 毛坯 | 中楼层(共28层)  | 板楼,0人关注 / 17天以前发布,145,"15,761元/平"
两湖新小区，洋径湖商圈三房电梯房。,绍兴宝龙世家 -两湖,3室2厅 | 95平米 | 南 北 | 毛坯 | 低楼层(共18层)  | 板楼,0人关注 / 14天以前发布,140,"14,737元/平"
龙山望府3联排中间套全新毛坯，看房有钥匙,龙山望府 -上虞城南,4室2厅 | 359.82平米 | 南 | 毛坯 | 低楼层(共3层)  | 暂无数据,1人关注 / 7个月以前发布,538,"14,952元/平"
此房可拎包入住，南北格局，楼层好采光好,金湖湾小区 -斗门,3室2厅 | 125.43平米 | 南 | 简装 | 高楼层(共11层)  | 板楼,0人关注 / 1个月以前发布,165,"13,155元/平"
绍兴艺境 3室2厅 南,绍兴艺境 -斗门,3室2厅 | 89平米 | 南 | 毛坯 | 低楼层(共18层)  | 暂无数据,0人关注 / 3个月以前发布,142,"15,956元/平"
崧厦翰林花苑3室2卫户型方正实用,翰林花苑 -上虞北其他,4室2厅 | 139.35平米 | 南 | 精装 | 低楼层(共15层)  | 板塔结合,12人关注 / 6个月以前发布,169,"12,128元/平"
萧山南次新小区，南北通户型，房东诚心出售,杨江名邸 -杨汛桥,3室1厅 | 95.65平米 | 南 北 | 毛坯 | 中楼层(共11层)  | 板楼,0人关注 / 29天以前发布,135,"14,114元/平"
亚厦江与城精装出售 采光好 品牌家具家电,亚厦江与城 -城北新区,3室2厅 | 114.23平米 | 南 | 精装 | 高楼层(共29层)  | 塔楼,0人关注 / 24天以前发布,290,"25,388元/平"
香格里拉南北通2居室毛坯楼层阳光无遮挡,时代•香格里拉 -城北新区,2室1厅 | 88.82平米 | 南 | 毛坯 | 高楼层(共18层)  | 塔楼,0人关注 / 16天以前发布,210,"23,644元/平"
户型方正，看房有钥匙，采光不挡，房东诚心出售,亚厦江与城 -城北新区,2室2厅 | 86.5平米 | 南 | 精装 | 低楼层(共23层)  | 塔楼,0人关注 / 10天以前发布,193,"22,313元/平"
诚意出售，户型好，三房二卫，中楼层，。。。。,江滨新村 -开发区,3室2厅 | 96.04平米 | 南 | 精装 | 中楼层(共5层)  | 板楼,0人关注 / 1个月以前发布,129.8,"13,516元/平"
好房源不等人，满五唯一无个税，房子看好价格还可小刀,亚厦阳光假日 -上虞城北,2室1厅 | 89.97平米 | 南 | 简装 | 低楼层(共18层)  | 板塔结合,0人关注 / 25天以前发布,200,"22,230元/平"
丰泽苑高楼层，采光佳，，小区环境好，江边,丰泽苑 -开发区,3室2厅 | 115.83平米 | 南 北 | 精装 | 高楼层(共7层)  | 板楼,0人关注 / 24天以前发布,126,"10,879元/平"
新天龙文惠苑小区新，配套成熟，生活设施齐全,新天龙·文惠苑 -开发区,4室2厅 | 132.78平米 | 南 | 精装 | 低楼层(共18层)  | 板塔结合,0人关注 / 19天以前发布,255,"19,205元/平"
此房户型方正，环境好，精装修诚心出售,城北丽都 -上虞北其他,2室1厅 | 84.1平米 | 南 | 精装 | 中楼层(共6层)  | 板楼,0人关注 / 22天以前发布,118.8,"14,127元/平"
此房精装，装修配置高，拎包入住，产品质量高,亲亲家园南区 -斗门,3室1厅 | 87.12平米 | 南 | 精装 | 中楼层(共11层)  | 板楼,0人关注 / 9天以前发布,165,"18,940元/平"
房东诚心出售，全新装修，刚需三房,鸿通金都公寓 -两湖,3室2厅 | 101平米 | 南 | 精装 | 中楼层(共5层)  | 板楼,0人关注 / 8天以前发布,115,"11,387元/平"
东昌公寓 好楼层精装3房 有车棚 采光充足 诚心出售,东昌公寓 -两湖,3室2厅 | 103.68平米 | 南 | 精装 | 中楼层(共6层)  | 板楼,1人关注 / 9天以前发布,110,"10,610元/平"
房子满五唯一，精装修，房东诚心出售,星元南岸花园东区 -斗门,3室2厅 | 143.64平米 | 南 | 精装 | 中楼层(共18层)  | 板塔结合,0人关注 / 2个月以前发布,212,"14,760元/平"
上海花园，多层顶复，满五唯一，自住美式装修,新上海花园 -城北新区,4室2厅 | 161.78平米 | 南 | 精装 | 高楼层(共5层)  | 板塔结合,43人关注 / 8个月以前发布,358,"22,129元/平"
亚厦江与城，全新精装修，两居室，未入住过，高楼层,亚厦江与城 -城北新区,2室2厅 | 81.5平米 | 南 | 精装 | 高楼层(共29层)  | 塔楼,0人关注 / 13天以前发布,210,"25,767元/平"
全新精装修，中yang空调，保养的好，可拎包入住,星元南岸花园东区 -斗门,3室2厅 | 130.6平米 | 南 | 精装 | 低楼层(共11层)  | 板塔结合,0人关注 / 2个月以前发布,180,"13,783元/平"
区位便利，就学方便，价格优惠，房东诚心出售,海樾府西区 -镜湖,3室2厅 | 126.13平米 | 南 | 毛坯 | 低楼层(共18层)  | 板楼,0人关注 / 1个月以前发布,260,"20,614元/平"
诚售！阳光假日三阳台户型，房东诚心出售 看房方便！,亚厦阳光假日 -上虞城北,3室2厅 | 131.69平米 | 南 | 精装 | 低楼层(共11层)  | 板塔结合,40人关注 / 8个月以前发布,233,"17,694元/平"
群贤府和园楼层好，采光好，邻于越快速路，近高铁北站,群贤府和园 -柯北,4室2厅 | 130平米 | 南 | 简装 | 中楼层(共20层)  | 板塔结合,0人关注 / 2个月以前发布,275,"21,154元/平"
高楼层3房1卫双阳台，空间大，格局方正，看房方便！,永成天御湾 -两湖,3室2厅 | 89.27平米 | 南 | 简装 | 高楼层(共27层)  | 板塔结合,1人关注 / 1个月以前发布,150,"16,803元/平"
文化新村北区房东诚心出售，价格可谈,文化新村北区 -老城区,3室1厅 | 83平米 | 南 | 简装 | 高楼层(共7层)  | 板楼,0人关注 / 7天以前发布,116.8,"14,073元/平"
此房采光好，通透格局，位于繁华地段，交通方便,上悦城 -嵊州城南,3室2厅 | 89平米 | 南 | 精装 | 中楼层(共30层)  | 暂无数据,0人关注 / 4天以前发布,103,"11,574元/平"
房东诚心 出售 价格实惠 东边套 楼层高,龙湖·原著西苑 -柯西,4室2厅 | 135平米 | 南 | 其他 | 中楼层(共34层)  | 板楼,0人关注 / 8天以前发布,235,"17,408元/平"
"虞富大厦在步行街,旁边就是老大通商场地理位置优越",虞富大厦 -老城区,2室2厅 | 106平米 | 南 | 精装 | 高楼层(共6层)  | 暂无数据,0人关注 / 2天以前发布,115.8,"10,925元/平"
电梯房两室房东诚心出售  位置好,东厦瑞星园 -柯桥滨海,2室2厅 | 73.41平米 | 北 | 简装 | 中楼层(共13层)  | 板塔结合,0人关注 / 11天以前发布,77,"10,490元/平"
友谊苑 5室3厅 南,友谊苑 -诸暨城区（老）,5室3厅 | 125平米 | 南 | 精装 | 高楼层(共7层)  | 板楼,0人关注 / 24天以前发布,170,"13,600元/平"
湖景房，边套户型，急售急售。。,锦都学府 -两湖,3室2厅 | 156.37平米 | 南 | 简装 | 高楼层(共18层)  | 板楼,1人关注 / 27天以前发布,153,"9,785元/平"
振兴新村架空一楼西边套，出入方便,振兴新村 -开发区,3室1厅 | 73.28平米 | 南 | 精装 | 低楼层(共7层)  | 板楼,0人关注 / 16天以前发布,108,"14,738元/平"
融信新小区 89平方 三室二厅  新装修,融信观河盛世府 -嵊州城南,3室1厅 | 89平米 | 南 | 精装 | 中楼层(共29层)  | 暂无数据,0人关注 / 12天以前发布,127,"14,270元/平"
元垄城宁园 3室2厅 南,元垄城宁园 -柯东,3室2厅 | 106平米 | 南 | 精装 | 高楼层(共18层)  | 板塔结合,0人关注 / 12天以前发布,295,"27,831元/平"
中间楼层 户型方正简单装修 采光视野好 诚心出售,鹤池苑二区 -城东,3室1厅 | 77.2平米 | 南 北 | 简装 | 中楼层(共6层)  | 板楼,0人关注 / 12天以前发布,130,"16,840元/平"
122方，东边户型，采光好，楼层位置好，中间楼层,恒宇锦园 -柯西,3室2厅 | 122平米 | 南 | 毛坯 | 中楼层(共25层)  | 板楼,0人关注 / 13天以前发布,270,"22,132元/平"
此房楼层好，地理位置好，出行方便，自住装修,后郭新苑 -上虞城北,2室2厅 | 72平米 | 南 | 精装 | 中楼层(共22层)  | 板塔结合,0人关注 / 13天以前发布,138.8,"19,278元/平"
天香南园，4房2厅2卫，毛坯房，看房有钥匙,卧龙天香南园 -开发区,4室2厅 | 139.03平米 | 南 | 毛坯 | 低楼层(共18层)  | 板塔结合,1人关注 / 1个月以前发布,210,"15,105元/平"
清枫雅苑4室精装修三开间朝南.,清枫雅苑 -上虞北其他,4室2厅 | 141.2平米 | 南 | 精装 | 高楼层(共15层)  | 板塔结合,4人关注 / 5个月以前发布,205,"14,519元/平"
万达水岸一号，三房+书房，利用面积大，双阳台,万达水岸一号 -上虞万达,3室1厅 | 123.73平米 | 南 | 毛坯 | 高楼层(共25层)  | 板塔结合,6人关注 / 4个月以前发布,230,"18,589元/平"
纯毛坯三房两厅两卫，布局合理没有浪费空间,学府新城春晓园 -杨汛桥,3室2厅 | 109.88平米 | 南 | 毛坯 | 低楼层(共18层)  | 板楼,0人关注 / 9个月以前发布,135,"12,287元/平"
天香南园，车位另购，毛坯，看房有钥匙,卧龙天香南园 -开发区,3室1厅 | 144.46平米 | 南 | 毛坯 | 中楼层(共18层)  | 板塔结合,4人关注 / 10个月以前发布,210,"14,537元/平"
亚厦江与城，三房两卫，楼层好边套房，随时看房。,亚厦江与城 -城北新区,3室2厅 | 107.86平米 | 南 | 毛坯 | 中楼层(共18层)  | 板塔结合,1人关注 / 3个月以前发布,259.8,"24,087元/平"
出售诚心房东，价格实惠，采光好,金色凤凰园锦园 -兰亭,3室2厅 | 110.5平米 | 南 | 毛坯 | 低楼层(共8层)  | 板楼,7人关注 / 8个月以前发布,95,"8,598元/平"
天香南园，中间楼层，看房提前约，带车位,卧龙天香南园 -开发区,3室2厅 | 104.58平米 | 南 | 毛坯 | 低楼层(共18层)  | 板塔结合,3人关注 / 7个月以前发布,175,"16,734元/平"
城区小三房，拎包入住随时看房，房东诚心出售,福欣新村 -柯桥市区,3室1厅 | 84.48平米 | 南 | 简装 | 中楼层(共5层)  | 暂无数据,1人关注 / 4个月以前发布,160,"18,940元/平"
银河新村，中间楼层，看房方便，诚意出售,银河新村 -开发区,3室2厅 | 87.96平米 | 南 | 简装 | 中楼层(共6层)  | 板楼,0人关注 / 1个月以前发布,113.8,"12,938元/平"
星宇新村，三居室，自住精装，满五，无个税,星宇新村 -上虞城北,3室2厅 | 92.38平米 | 南 | 精装 | 中楼层(共7层)  | 板楼,10人关注 / 8个月以前发布,141.8,"15,350元/平"
房东诚心出售，毛坯，楼层好，视野好，,稽山翡翠园 -城南,3室2厅 | 107.71平米 | 东 | 毛坯 | 高楼层(共6层)  | 板塔结合,4人关注 / 8个月以前发布,185,"17,176元/平"
新小区环境好，东边套双阳台，户型方正，采光好,学府新城春晓园 -杨汛桥,4室2厅 | 117.51平米 | 东南 南 | 毛坯 | 低楼层(共18层)  | 板楼,6人关注 / 6个月以前发布,145,"12,340元/平"
萧山一桥之隔 次新小区 自住适合养老 业主急售！,学府新城春晓园 -杨汛桥,3室2厅 | 117.51平米 | 南 | 毛坯 | 低楼层(共18层)  | 板楼,0人关注 / 9个月以前发布,147,"12,510元/平"
小区出入自由，配套成熟，生活设施便利,花园新村 -开发区,3室1厅 | 91.07平米 | 南 | 精装 | 中楼层(共7层)  | 板楼,0人关注 / 3个月以前发布,112.8,"12,387元/平"
此房格局好，视野开阔，采光充足，配套设施齐全。,舜湾花苑 -上虞北其他,3室1厅 | 104.43平米 | 南 | 精装 | 低楼层(共15层)  | 板塔结合,1人关注 / 4个月以前发布,120,"11,491元/平"
此房满2年，房东诚心出售价格可以谈，有车位另算,赞成 · 香林 -柯东,4室2厅 | 147.82平米 | 南 | 简装 | 低楼层(共17层)  | 板楼,4人关注 / 6个月以前发布,328,"22,190元/平"
名城阳光园两湖好地段交过土地出让金,名城阳光园 -斗门,2室1厅 | 68.47平米 | 南 | 精装 | 中楼层(共7层)  | 板楼,5人关注 / 9个月以前发布,115,"16,796元/平"
沥海海湾国际二室二厅一卫，户型好。,海湾国际 -上虞北其他,2室2厅 | 107.57平米 | 南 | 毛坯 | 高楼层(共26层)  | 板楼,0人关注 / 3个月以前发布,141,"13,108元/平"
海樾湖景头排边套  142方毛坯地段位置棒,海樾府西区 -镜湖,4室2厅 | 142.34平米 | 南 | 毛坯 | 中楼层(共18层)  | 板楼,22人关注 / 一年前发布,360,"25,292元/平"
全新品质小区，纯毛坯，南北通，中楼层边套,学府新城·星云园 -杨汛桥,4室2厅 | 119.29平米 | 西南 | 毛坯 | 中楼层(共18层)  | 板楼,1人关注 / 10个月以前发布,150,"12,575元/平"
水岸名府  跃层    房东诚心出售,水岸名府 -钱清,4室2厅 | 140.61平米 | 东南 南 西南 | 简装 | 高楼层(共22层)  | 板楼,0人关注 / 3个月以前发布,205,"14,580元/平"
房东诚心出售，采光好，户型方正,恒宇锦园 -柯西,4室2厅 | 141.06平米 | 南 | 毛坯 | 高楼层(共22层)  | 板楼,1人关注 / 4个月以前发布,300,"21,268元/平"
2号线地铁口，现价310万房东急售，,海樾府西区 -镜湖,4室2厅 | 143.31平米 | 南 北 | 毛坯 | 低楼层(共18层)  | 板塔结合,9人关注 / 一年前发布,300,"20,934元/平"
小区配套齐全，楼层好。。。。。。,阳光城君悦龙山 -上虞城南,3室2厅 | 89.16平米 | 南 | 精装 | 低楼层(共18层)  | 板塔结合,2人关注 / 1个月以前发布,173.8,"19,494元/平"
此房诚售，视线开阔，小区环境优美，商场近,清江嘉园 -钱清,3室2厅 | 144.48平米 | 南 | 精装 | 低楼层(共22层)  | 板塔结合,2人关注 / 4个月以前发布,210,"14,535元/平"
君悦龙山，精装修，小区好，空气好,阳光城君悦龙山 -上虞城南,3室2厅 | 107.25平米 | 南 | 精装 | 低楼层(共18层)  | 板塔结合,5人关注 / 5个月以前发布,178.8,"16,672元/平"
星辰自住精装修两室一厅两卫阳台配套..,星辰首府 -上虞城北,2室1厅 | 84.74平米 | 南 | 精装 | 低楼层(共24层)  | 板塔结合,1人关注 / 4个月以前发布,169.8,"20,038元/平"
天际海悦，边套，采光视野好！看房方便,天际海悦 -上虞城北,4室2厅 | 129.65平米 | 南 | 毛坯 | 低楼层(共18层)  | 板塔结合,1人关注 / 3个月以前发布,249.5,"19,245元/平"
此房楼层好，河景房，环境好，交通方便。,东馨花园 -上虞区,3室2厅 | 113.52平米 | 南 | 精装 | 高楼层(共5层)  | 板楼,0人关注 / 2个月以前发布,168.8,"14,870元/平"
次新小区，楼层好采光足，视野开阔,学府新城春晓园 -杨汛桥,3室2厅 | 109.88平米 | 南 | 毛坯 | 高楼层(共18层)  | 板楼,1人关注 / 9个月以前发布,133,"12,105元/平"
位置好。交通便捷 地铁口配套成熟.,海樾府西区 -镜湖,3室1厅 | 126.68平米 | 南 | 毛坯 | 低楼层(共18层)  | 板楼,0人关注 / 1个月以前发布,268,"21,156元/平"
瓜渚湖畔，地铁口，精装修复式大露台！,双梅小区 -瓜渚湖北,3室2厅 | 115.84平米 | 南 | 精装 | 高楼层(共7层)  | 板楼,20人关注 / 7个月以前发布,179,"15,453元/平"
房东诚心出售，装修保养好，房间格局可利用面积多,绿城桂花园 -上虞城北,3室2厅 | 158.48平米 | 南 | 精装 | 低楼层(共5层)  | 板楼,0人关注 / 1个月以前发布,280,"17,668元/平"
房东自住精装修，正对曹娥江景，看房提前预约,求是家园 -城北新区,3室2厅 | 136.37平米 | 南 | 精装 | 中楼层(共25层)  | 板塔结合,2人关注 / 2个月以前发布,332,"24,346元/平"
镜水苑大三房，中间楼层，双老，房东诚心出售,镜水苑 -柯桥市区,3室2厅 | 139.03平米 | 南 北 | 精装 | 中楼层(共7层)  | 板楼,7人关注 / 8个月以前发布,225,"16,184元/平"
亚厦江与城，精装东边套，123方4室2卫，入户7平方平台,亚厦江与城 -城北新区,4室2厅 | 122.99平米 | 南 | 精装 | 低楼层(共23层)  | 板塔结合,37人关注 / 10个月以前发布,298,"24,230元/平"
简单装修 看房方便 楼层佳 采光没影响 地段好,锦盛蝶庄 -柯东,3室2厅 | 126.85平米 | 南 | 毛坯 | 高楼层(共11层)  | 板楼,2人关注 / 一年前发布,255,"20,103元/平"
春晓园东边套，采光好，两房朝南，大客厅，随时看房,学府新城春晓园 -杨汛桥,3室2厅 | 117.56平米 | 东南 | 毛坯 | 高楼层(共18层)  | 板楼,4人关注 / 10个月以前发布,143,"12,165元/平"
此房楼层好，阳光佳，适合大家居住,阳光城君悦龙山 -上虞城南,3室1厅 | 89.17平米 | 南 | 毛坯 | 低楼层(共18层)  | 板塔结合,3人关注 / 9个月以前发布,150,"16,822元/平"
永利天桥府，离地铁一公里，全新毛坯，空置，楼层佳,永利天桥府 -杨汛桥,3室2厅 | 110.96平米 | 南 | 毛坯 | 中楼层(共17层)  | 板楼,2人关注 / 11个月以前发布,158,"14,240元/平"
沥海阳光苑两室两厅一卫，户型好,阳光苑 -上虞北其他,2室2厅 | 75平米 | 南 | 精装 | 中楼层(共5层)  | 暂无数据,6人关注 / 7个月以前发布,87,"11,600元/平"
此房视野开阔，采光充足，配套设施齐全，交通便利。,建屋海德景园 -上虞北其他,3室2厅 | 127.14平米 | 南 | 毛坯 | 中楼层(共24层)  | 板塔结合,0人关注 / 6个月以前发布,160,"12,585元/平"
"香槟花园中低楼层,边套,有双阳台,朝南2房朝北1房",正元香檳花園 -开发区,3室2厅 | 89.5平米 | 南 | 毛坯 | 低楼层(共11层)  | 板塔结合,16人关注 / 一年前发布,159.9,"17,866元/平"
双桥新村，房子方正，南北通阳光好,双桥新村 -开发区,3室2厅 | 104.58平米 | 南 | 精装 | 高楼层(共5层)  | 板楼,5人关注 / 5个月以前发布,110.8,"10,595元/平"
一本证，楼层采光好，视野开阔，看房方便,香水湾 -柯东,3室2厅 | 152.48平米 | 南 | 简装 | 中楼层(共26层)  | 板楼,0人关注 / 一年前发布,289,"18,954元/平"
万达水岸豪庭 3室2厅 南,万达水岸豪庭 -上虞万达,3室2厅 | 95.56平米 | 南 | 毛坯 | 低楼层(共30层)  | 塔楼,6人关注 / 4个月以前发布,198,"20,720元/平"
都市阳光花园经典户型双阳台百米楼间距，采光充足,都市阳光花园 -柯西,3室2厅 | 115.5平米 | 南 | 毛坯 | 低楼层(共18层)  | 板楼,15人关注 / 一年前发布,175,"15,152元/平"
小区中间楼栋位置，停车方便，配套齐全，晚上热闹,星丰小区 -上虞城北,3室1厅 | 99平米 | 南 | 精装 | 低楼层(共17层)  | 板塔结合,1人关注 / 1个月以前发布,200,"20,203元/平"
浅水湾好房出售，楼层好，采光好,淺水灣 -上虞城北,3室2厅 | 143.13平米 | 南 | 毛坯 | 低楼层(共18层)  | 板塔结合,10人关注 / 一年前发布,265,"18,515元/平"
天香西园八楼，自住精装修，视野开阔生活设施便利,卧龙·天香西园 -开发区,3室1厅 | 86.4平米 | 南 | 精装 | 中楼层(共11层)  | 板塔结合,0人关注 / 1个月以前发布,185,"21,413元/平"
采光好，价格实惠，2房朝南，看房方便,景瑞曦之湖 -城西,3室1厅 | 86.22平米 | 南 | 精装 | 中楼层(共32层)  | 板楼,2人关注 / 3个月以前发布,145,"16,818元/平"
湖景房，总价低，诚心出售，看房方便,昌安东村 -迪荡,1室1厅 | 42.44平米 | 南 | 简装 | 中楼层(共5层)  | 暂无数据,0人关注 / 28天以前发布,69,"16,259元/平"
恒利新村东二区 4室1厅 南,恒利新村东二区 -老城区,4室1厅 | 220平米 | 南 | 简装 | 高楼层(共7层)  | 板楼,0人关注 / 5天以前发布,218,"9,910元/平"
城北恒大滨江御澜庭，小区环境好，位置好！房东诚心卖,恒大·御澜庭 -诸暨城北,3室2厅 | 106平米 | 南 | 毛坯 | 低楼层(共11层)  | 暂无数据,0人关注 / 3天以前发布,155,"14,623元/平"
运河首府精装头排沿河景观房 四开间朝南,长业·运河首府 -迪荡,3室2厅 | 129.69平米 | 南 | 精装 | 中楼层(共24层)  | 板塔结合,1人关注 / 24天以前发布,306,"23,595元/平"
馥园鉴湖一号 3室2厅 南,馥园鉴湖一号 -柯岩,3室2厅 | 101.3平米 | 南 | 其他 | 低楼层(共16层)  | 暂无数据,0人关注 / 17天以前发布,200,"19,744元/平"
越中新天地两房朝南精装修，拎包入住。楼层好,越中新天地 -两湖,2室1厅 | 81.35平米 | 南 | 精装 | 高楼层(共6层)  | 板楼,0人关注 / 20天以前发布,98,"12,047元/平"
朝南 采光好  小面积  低总价  交通方便,新世纪花園 -柯东,1室1厅 | 26.52平米 | 南 | 其他 | 高楼层(共5层)  | 板楼,0人关注 / 29天以前发布,58,"21,871元/平"
