标题,开发商,房子信息,发布信息,售价/万,单价
团城山优质好房拎包入住，交通生活便利,扬子玉龙湾 -团城山,3室2厅 | 133.59平米 | 南 北 | 精装 | 高楼层(共31层)  | 塔楼,3人关注 / 6个月以前发布,105,"7,860元/平"
此房结构合理，大三居室， 采光好，户型好，通风好。,天方百花園 -万达,3室2厅 | 134.11平米 | 南 | 简装 | 高楼层(共7层)  | 板楼,2人关注 / 5个月以前发布,62,"4,624元/平"
宏维山水明城，全新精装婚房，户型方正，拎包入住,宏维山水明城 -团城山,3室2厅 | 102.05平米 | 南 | 精装 | 高楼层(共27层)  | 板塔结合,10人关注 / 5个月以前发布,87.5,"8,575元/平"
佳木公园大平层 业主诚心出售 价格美丽,佳木公园 -团城山,4室2厅 | 193.06平米 | 南 | 毛坯 | 中楼层(共31层)  | 板楼,8人关注 / 8个月以前发布,148,"7,667元/平"
三室两厅一厨两卫 精装修全屋石材 精装修家具家电齐全,百事威·尊邸二期 -团城山,3室2厅 | 134.76平米 | 南 北 | 精装 | 中楼层(共17层)  | 板楼,2人关注 / 8个月以前发布,78,"5,789元/平"
黄石公园精装修一天未住标准湖景三房,中冶黄石公园 -楠竹林,3室2厅 | 108.67平米 | 东南 | 精装 | 中楼层(共13层)  | 暂无数据,23人关注 / 一年前发布,80,"7,362元/平"
入户花园，中间好楼层，通风采光好，税费少！,怡康花园(下陆区) -团城山,4室2厅 | 138.89平米 | 南 北 | 毛坯 | 中楼层(共24层)  | 塔楼,11人关注 / 7个月以前发布,102,"7,344元/平"
此房位于武商量贩旁，地段好，电梯洋房，公摊小,丽岛半山华府 -团城山,3室2厅 | 146.19平米 | 南 | 精装 | 中楼层(共11层)  | 板塔结合,34人关注 / 9个月以前发布,112,"7,662元/平"
万达商圈，老虎头电梯高层，好采光，首付10万,立信时代广场 -万达,2室2厅 | 72.1平米 | 南 | 精装 | 高楼层(共14层)  | 板塔结合,0人关注 / 22天以前发布,39.5,"5,479元/平"
绿城玉兰花园，精装三房带大阳台，满两年带家私拎包住,黄石绿城玉兰花园 -万达,3室2厅 | 110.41平米 | 南 北 | 精装 | 高楼层(共23层)  | 板楼,0人关注 / 7天以前发布,92,"8,333元/平"
大地花城，电梯大三房，采光好。,大地花城 -万达,3室2厅 | 126平米 | 南 | 简装 | 高楼层(共16层)  | 板楼,0人关注 / 16天以前发布,74,"5,874元/平"
毛胚大三房，户型方正，釆光好，一梯两户舒适度高。,碧桂园磁湖半岛 -八卦嘴,3室2厅 | 123.76平米 | 东南 南 | 毛坯 | 低楼层(共11层)  | 暂无数据,0人关注 / 18天以前发布,64.5,"5,212元/平"
香格里拉精装大三房，户型方正，全新装修可当婚房,香格里拉家园 -新城区,3室2厅 | 128.25平米 | 南 | 精装 | 中楼层(共8层)  | 板楼,0人关注 / 2个月以前发布,60,"4,679元/平"
佳木旁 一梯两户，三层复式，旁边就可以上学,阳光新干线 -团城山,5室2厅 | 206.21平米 | 南 | 毛坯 | 高楼层(共6层)  | 板楼,0人关注 / 10天以前发布,81.9,"3,972元/平"
陈家湾武商后面。广场2室2厅。满五。电梯房。,黄石大道254号 -上窑,3室2厅 | 87.27平米 | 南 | 精装 | 高楼层(共10层)  | 板楼,0人关注 / 2个月以前发布,59,"6,761元/平"
南北通透，户型好楼梯三楼，生活交通便利,青龙花园 -团城山,3室2厅 | 124.8平米 | 南 北 | 精装 | 中楼层(共6层)  | 暂无数据,20人关注 / 一年前发布,65,"5,209元/平"
龚小旁 可贷款 楼层低 明厨明卫 客厅有窗 有停车场,牧羊湖 -八卦嘴,2室2厅 | 80.7平米 | 东 南 | 简装 | 低楼层(共9层)  | 板楼,0人关注 / 2个月以前发布,30,"3,718元/平"
老虎头小xue后面历史新低单价3700，全朝南采光很好,都市村庄 -万达,2室2厅 | 96.87平米 | 东南 南 | 简装 | 高楼层(共7层)  | 塔楼,6人关注 / 11个月以前发布,36,"3,717元/平"
全湖景 坐拥环湖步道 小区绿化高 有地下停车场 可贷款,银湖月色 -八卦嘴,2室2厅 | 90.24平米 | 南 北 | 精装 | 高楼层(共17层)  | 板楼,12人关注 / 10个月以前发布,48,"5,320元/平"
玉龙湾高楼层 看湖湖景两房 宜居绿化好,扬子玉龙湾 -团城山,2室2厅 | 104.47平米 | 南 | 毛坯 | 中楼层(共32层)  | 塔楼,4人关注 / 一年前发布,65,"6,222元/平"
裕华城 前排 湖景房 好楼层 精装两房,裕华城 -万达,2室2厅 | 94平米 | 南 | 精装 | 中楼层(共17层)  | 板塔结合,1人关注 / 1个月以前发布,59.5,"6,330元/平"
团城山繁华地段 ，配套齐全， 楼层好,杭州公馆 -团城山,2室2厅 | 99.31平米 | 南 | 毛坯 | 中楼层(共32层)  | 板塔结合,23人关注 / 一年前发布,55,"5,539元/平"
湖景花园小复式，采光好，户型方正,城建湖景花园 -新城区,3室2厅 | 140.89平米 | 南 | 毛坯 | 中楼层(共25层)  | 板塔结合,0人关注 / 4个月以前发布,70,"4,969元/平"
此房是电梯房，两室两厅，看中价格还可以商量。,铜都新城 -新城区,2室1厅 | 97.13平米 | 南 | 毛坯 | 高楼层(共17层)  | 塔楼,1人关注 / 2个月以前发布,29,"2,986元/平"
磁湖北岸 顺佳小区朝南大两房 只卖35万！价格好谈！,顺佳花苑 -楠竹林,2室2厅 | 79.22平米 | 南 | 简装 | 中楼层(共5层)  | 板塔结合,1人关注 / 3个月以前发布,35,"4,419元/平"
妇幼旁豪庭 小户型 适合独居的你,磁湖福地豪庭 -团城山,2室1厅 | 86.64平米 | 南 | 毛坯 | 高楼层(共29层)  | 塔楼,5人关注 / 一年前发布,64,"7,387元/平"
黄石大道 王家里车站旁生活办公 出行便利二楼,黄石大道98号 -沈家营,2室2厅 | 111平米 | 东南 | 简装 | 低楼层(共6层)  | 板楼,0人关注 / 6个月以前发布,48.5,"4,370元/平"
黄石港 顺佳花苑 简单装修两居室出售 满五年,顺佳花苑 -楠竹林,2室2厅 | 99.58平米 | 南 | 简装 | 低楼层(共8层)  | 板塔结合,8人关注 / 一年前发布,41,"4,118元/平"
采光好，户型方正精装修，出行交通方便。,两宜園 -万达,3室2厅 | 104.25平米 | 南 | 精装 | 低楼层(共22层)  | 塔楼,0人关注 / 1个月以前发布,66,"6,331元/平"
城上城全湖景公园旁高层朝南大两房户型方正精装满五年,城上城 -团城山,2室2厅 | 86.78平米 | 南 | 精装 | 高楼层(共33层)  | 板楼,0人关注 / 2个月以前发布,60,"6,915元/平"
市内电梯房东方华庭 武商商圈；纯朝南配套齐全；,东方华庭 -武商,2室2厅 | 101.52平米 | 南 北 | 毛坯 | 中楼层(共31层)  | 板楼,0人关注 / 7天以前发布,82,"8,078元/平"
满五二套，采光好，拎包入住，适合过度。,田家墩巷 -中窑,2室1厅 | 57.9平米 | 东南 | 简装 | 高楼层(共7层)  | 板楼,0人关注 / 3天以前发布,13.5,"2,332元/平"
一楼带院子 朝南采光好，前排出行方便，满二,中冶黄石公园 -楠竹林,3室2厅 | 106.53平米 | 南 北 | 精装 | 低楼层(共10层)  | 板楼,2人关注 / 2个月以前发布,83,"7,792元/平"
市内文化宫小区 户型方正大三房 拎包即住 满五年,文化宫小区 -市中心,3室2厅 | 128.93平米 | 南 北 | 精装 | 高楼层(共9层)  | 板楼,2人关注 / 3个月以前发布,75,"5,818元/平"
满二年税费低，两梯三户，南北双阳台，楼层好,江天金水湾 -万达,3室2厅 | 127.91平米 | 南 | 简装 | 高楼层(共18层)  | 板塔结合,1人关注 / 1个月以前发布,108,"8,444元/平"
人信假日威尼斯联排，院子天井地下室，满五唯一,人信假日威尼斯 -花湖,4室2厅 | 183平米 | 南 | 简装 | 3层  | 板楼,4人关注 / 4个月以前发布,112,"6,121元/平"
武商商圈  电梯低楼层三房  房东急售,大上海广场玉兰雅苑 -武商,3室2厅 | 119.65平米 | 西南 | 简装 | 低楼层(共30层)  | 板塔结合,1人关注 / 2个月以前发布,85,"7,105元/平"
青山花园文化大院 3室2厅 南,青山花园文化大院 -沈家营,3室2厅 | 134.75平米 | 南 | 精装 | 低楼层(共17层)  | 板楼,14人关注 / 一年前发布,65,"4,824元/平"
中冶黄石公园 3室2厅 南 北,中冶黄石公园 -楠竹林,3室2厅 | 101.86平米 | 南 北 | 精装 | 高楼层(共30层)  | 暂无数据,5人关注 / 5个月以前发布,83,"8,149元/平"
杭州西路主干道！宏维山水明城（高档小区！天然 氧吧,宏维山水明城 -团城山,3室2厅 | 121.04平米 | 南 | 精装 | 中楼层(共6层)  | 板楼,8人关注 / 10个月以前发布,86,"7,106元/平"
享受阳光生活，悠然自得景观好房,百事威·尊邸二期 -团城山,3室2厅 | 136.45平米 | 南 | 毛坯 | 高楼层(共17层)  | 板楼,0人关注 / 一年前发布,67,"4,911元/平"
团城山磁湖山庄旁湖锦家园小区，大四房,湖锦家园 -团城山,4室2厅 | 137.92平米 | 南 | 简装 | 中楼层(共8层)  | 暂无数据,14人关注 / 5个月以前发布,79,"5,728元/平"
天方百花园毛坯大4房南北双阳台，满五年,天方百花園 -万达,4室2厅 | 162.38平米 | 南 | 毛坯 | 高楼层(共7层)  | 板楼,12人关注 / 10个月以前发布,76,"4,681元/平"
杭州公馆精装大2房，配套设施齐全，交通便利。,杭州公馆 -团城山,2室2厅 | 95.97平米 | 南 | 精装 | 低楼层(共34层)  | 板塔结合,0人关注 / 20天以前发布,57,"5,940元/平"
万达商圈宜居养老 低楼层东南户采光好 全明户型没暗房,天方百花園 -万达,2室2厅 | 73.68平米 | 南 | 简装 | 低楼层(共8层)  | 板楼,0人关注 / 21天以前发布,39.6,"5,375元/平"
万达十四中旁 大桥两宜园 电梯小三房 满两年,两宜園 -万达,3室2厅 | 105平米 | 东北 | 简装 | 中楼层(共22层)  | 塔楼,2人关注 / 3个月以前发布,64.6,"6,153元/平"
怡康花园-人车分流，湿地公园旁,怡康花园(下陆区) -团城山,2室2厅 | 113.24平米 | 东南 南 | 毛坯 | 中楼层(共21层)  | 塔楼,2人关注 / 3个月以前发布,70,"6,182元/平"
《百事威二期》带40平米露台 产证满五唯一 精装修,百事威·尊邸二期 -团城山,3室2厅 | 140.78平米 | 东南 南 | 精装 | 低楼层(共17层)  | 板楼,0人关注 / 3个月以前发布,80,"5,683元/平"
团城山白小旁边供电单位房 房屋质量好内部管理,怡康花园(下陆区) -团城山,2室2厅 | 126.61平米 | 南 | 精装 | 高楼层(共17层)  | 塔楼,1人关注 / 9个月以前发布,83,"6,556元/平"
白马山小区，可怜包入住，教育生活便利,白马山小区 -团城山,3室2厅 | 104.74平米 | 南 | 简装 | 中楼层(共23层)  | 板塔结合,1人关注 / 19天以前发布,61,"5,824元/平"
电梯房 出行方便 价格便宜拎包入住,水榭名居 -八卦嘴,3室1厅 | 122平米 | 南 北 | 简装 | 低楼层(共15层)  | 板塔结合,0人关注 / 13天以前发布,56,"4,591元/平"
团城山万达旁 精装 大两房 诚心出售,江天凤凰山庄 -团城山,2室2厅 | 97平米 | 南 | 精装 | 高楼层(共28层)  | 板楼,0人关注 / 15天以前发布,55,"5,671元/平"
美地金城，新装修，拎包入住，经典二房,美地金城阳光里 -黄金山,2室2厅 | 84.23平米 | 南 | 精装 | 高楼层(共33层)  | 板塔结合,0人关注 / 1个月以前发布,34,"4,037元/平"
宝石名城 配套齐全 此房出行方便,宝石名城 -万达,2室2厅 | 67.1平米 | 北 | 精装 | 低楼层(共17层)  | 塔楼,0人关注 / 3个月以前发布,52,"7,750元/平"
电梯中层  产证满二  户型方正  采光很好  拎包入住,宝石银都 -万达,2室2厅 | 100.53平米 | 南 | 精装 | 中楼层(共27层)  | 板楼,0人关注 / 5个月以前发布,68,"6,765元/平"
1990年的房子，产证在手，可贷款，税费低，楼层好,周家巷 -八卦嘴,2室1厅 | 66.69平米 | 西南 | 简装 | 中楼层(共6层)  | 暂无数据,1人关注 / 1个月以前发布,21,"3,149元/平"
宏维山水明城花园洋房三楼，阳光充足，楼梯房公摊少。,宏维山水明城 -团城山,2室2厅 | 93.43平米 | 南 北 | 简装 | 中楼层(共6层)  | 板楼,0人关注 / 1个月以前发布,75,"8,028元/平"
白马路上精装2房带露台多带一间房满2年税费低诚心卖,龙湾一品 -团城山,3室2厅 | 94.84平米 | 南 | 精装 | 低楼层(共18层)  | 板塔结合,16人关注 / 一年前发布,63,"6,643元/平"
碧桂园壹方公馆，黄石港区优质小区,碧桂园壹方公馆 -万达,3室2厅 | 125平米 | 南 | 毛坯 | 中楼层(共34层)  | 暂无数据,2人关注 / 7个月以前发布,103,"8,240元/平"
人民广场，市政府，位置好，出门就是车,扬子玉龙湾 -团城山,3室2厅 | 137.26平米 | 西南 | 毛坯 | 低楼层(共32层)  | 塔楼,23人关注 / 8个月以前发布,72.8,"5,304元/平"
团城山杭州西路全新装修一天未住随时看房,扬子馥园 -团城山,3室2厅 | 139.52平米 | 南 | 精装 | 中楼层(共32层)  | 塔楼,0人关注 / 2个月以前发布,100,"7,168元/平"
此房的位置，银湖月色小区旁，湖景小区。,磁湖南郡 -八卦嘴,3室2厅 | 140.05平米 | 南 北 | 毛坯 | 高楼层(共28层)  | 板塔结合,1人关注 / 4个月以前发布,69.8,"4,984元/平"
好房源，好户型，中高楼层，品质物业,居然悦隽大都会 -团城山,3室2厅 | 111.2平米 | 南 | 毛坯 | 中楼层(共33层)  | 板塔结合,3人关注 / 6个月以前发布,55,"4,947元/平"
碧桂园壹方公馆商四房万达江景中山十四,碧桂园壹方公馆 -万达,4室2厅 | 142平米 | 南 | 毛坯 | 高楼层(共34层)  | 板塔结合,1人关注 / 7个月以前发布,122,"8,592元/平"
宝石银都 3室2厅 南 北,宝石银都 -万达,3室2厅 | 120.43平米 | 南 北 | 精装 | 高楼层(共32层)  | 板楼,0人关注 / 2个月以前发布,88,"7,308元/平"
咿呀口腔旁全新高档小区南北对流户型 全新装修,碧桂园壹方公馆 -万达,4室2厅 | 142.97平米 | 南 北 | 精装 | 低楼层(共34层)  | 平房,11人关注 / 8个月以前发布,135,"9,443元/平"
百事威单价5000多满五唯一好房，房东诚心急售！,百事威·尊邸二期 -团城山,3室2厅 | 134.76平米 | 南 | 毛坯 | 中楼层(共17层)  | 板楼,5人关注 / 9个月以前发布,67,"4,972元/平"
黄石港江边，出门交通方便，大三房改四房,人民街201/203号 -万达,4室2厅 | 109.17平米 | 西北 | 简装 | 中楼层(共9层)  | 板楼,8人关注 / 一年前发布,41,"3,756元/平"
离二中近，步行方便。房东急卖。满五,琥珀山庄小区 -团城山,3室2厅 | 144.06平米 | 南 北 | 简装 | 低楼层(共7层)  | 板楼,10人关注 / 一年前发布,82,"5,693元/平"
汇金花园，毛坯，通透户型，随意装修,汇金花园 -团城山,3室2厅 | 116.48平米 | 南 北 | 毛坯 | 中楼层(共34层)  | 板楼,2人关注 / 8个月以前发布,74,"6,354元/平"
黄石港壹方公馆优质小区，电梯高层大三房,碧桂园壹方公馆 -万达,3室2厅 | 125平米 | 南 | 毛坯 | 高楼层(共34层)  | 平房,0人关注 / 1个月以前发布,103,"8,240元/平"
紫金花城大三房，面积大，公摊小。可三面采光,紫金花城 -花湖,3室2厅 | 131平米 | 东南 | 毛坯 | 低楼层(共32层)  | 板塔结合,0人关注 / 一年前发布,69.8,"5,329元/平"
《龙湾一品 大5房》东边户 视野开阔 可看湿地公园,龙湾一品 -团城山,5室2厅 | 163.64平米 | 南 北 | 毛坯 | 中楼层(共29层)  | 板塔结合,12人关注 / 7个月以前发布,88,"5,378元/平"
《城上城 大3房 毛坯》湖景房 产证满五年 前后双阳台,城上城 -团城山,3室2厅 | 124平米 | 南 | 毛坯 | 中楼层(共33层)  | 板楼,14人关注 / 一年前发布,77,"6,210元/平"
万达旁全新小区，边户双阳台采光好,黄石当代满堂悦MOMΛ -万达,4室2厅 | 140平米 | 南 北 | 毛坯 | 中楼层(共31层)  | 板楼,1人关注 / 3个月以前发布,92,"6,572元/平"
小区南门出是湿地公园 户型格局好全天光照充足 白马山,龙湾一品 -团城山,3室2厅 | 127平米 | 南 | 毛坯 | 高楼层(共24层)  | 板塔结合,0人关注 / 1个月以前发布,76,"5,985元/平"
白马山杭州西路朝南中间楼层满2年业主工作调动诚心卖,天域·名流天地 -团城山,3室2厅 | 134平米 | 南 | 简装 | 中楼层(共31层)  | 板塔结合,0人关注 / 3个月以前发布,73,"5,448元/平"
此房是商品房证在手户型方正高层视野开阔无遮挡,金广厦·未来城 -团城山,3室2厅 | 121.8平米 | 南 | 精装 | 中楼层(共24层)  | 板塔结合,42人关注 / 一年前发布,70,"5,748元/平"
天域名流精装修 电梯2房南北朝向，旁边就是白马山XIAO,天域·名流天地 -团城山,2室2厅 | 90.01平米 | 南 北 | 精装 | 中楼层(共34层)  | 塔楼,0人关注 / 22天以前发布,64.8,"7,200元/平"
八卦嘴路口都市静苑，敞亮通透。一室一厅。,都市静苑 -八卦嘴,1室1厅 | 45.82平米 | 南 | 简装 | 中楼层(共6层)  | 板楼,0人关注 / 4个月以前发布,32,"6,984元/平"
繁华地段江景大两房、采光充足、交通便利,顺佳大厦 -市中心,2室1厅 | 97.73平米 | 东南 | 简装 | 高楼层(共33层)  | 板塔结合,1人关注 / 6个月以前发布,57,"5,833元/平"
中山十四中 佳美星城 电梯中层三房 看房方便,佳美星城 -万达,3室2厅 | 109平米 | 南 | 简装 | 中楼层(共18层)  | 塔楼,1人关注 / 1个月以前发布,68,"6,239元/平"
三江共和城 精装修三房  户型方正 黄石产权,三江共和城 -万达,3室2厅 | 119.62平米 | 东南 | 精装 | 高楼层(共18层)  | 板塔结合,1人关注 / 一年前发布,66,"5,518元/平"
该房精装修，户型方正，采光好小区环境优美交通便利,城建湖景花园 -新城区,4室2厅 | 139.48平米 | 南 | 精装 | 中楼层(共20层)  | 板塔结合,2人关注 / 2个月以前发布,68,"4,876元/平"
次新小区 环境优美 户型格局好,恒大帝景 -团城山,3室2厅 | 126.17平米 | 南 | 精装 | 高楼层(共25层)  | 板楼,0人关注 / 1个月以前发布,75,"5,945元/平"
毛坯大三房，楼层适中，采光好。,阳光花城新领地 -万达,3室2厅 | 124平米 | 南 | 毛坯 | 中楼层(共6层)  | 板塔结合,1人关注 / 5个月以前发布,54,"4,355元/平"
诚心出售！碧桂园一方公馆中层大3房毛坯,碧桂园壹方公馆 -万达,3室1厅 | 122.68平米 | 南 | 毛坯 | 中楼层(共34层)  | 暂无数据,0人关注 / 2个月以前发布,103,"8,396元/平"
团城山新城明昱，一梯一户，诚心出售,新城明昱 -团城山,4室2厅 | 136平米 | 南 北 | 毛坯 | 高楼层(共32层)  | 暂无数据,0人关注 / 1个月以前发布,85,"6,250元/平"
万达商圈　生活方便拎包入住大两房　满五唯一税费低,迎宾御园 -万达,2室2厅 | 89.7平米 | 南 | 精装 | 低楼层(共27层)  | 板塔结合,2人关注 / 4个月以前发布,39.5,"4,404元/平"
团城山杭州西路繁华地段精装大两房房东诚心低价出售,青龙苑 -团城山,2室1厅 | 98.5平米 | 南 | 精装 | 中楼层(共8层)  | 板楼,0人关注 / 2个月以前发布,48.6,"4,935元/平"
华森公馆，中层精装电梯2房，前排采光好，朝南大阳台,华森国际公馆 -万达,2室2厅 | 87.34平米 | 南 | 精装 | 中楼层(共27层)  | 板楼,5人关注 / 一年前发布,56.5,"6,469元/平"
此房是2房带装修的，地段好，费用低，满2年,天域·名流天地 -团城山,2室1厅 | 104.42平米 | 南 | 简装 | 高楼层(共31层)  | 塔楼,12人关注 / 一年前发布,59,"5,651元/平"
双环地产，中装大两房，南北通透，可贷款，房东诚意售,双环花园西区 -沈家营,2室1厅 | 88平米 | 南 北 | 简装 | 中楼层(共9层)  | 板楼,34人关注 / 一年前发布,30,"3,410元/平"
杭州西路主干道，出行方便。楼层好。。。,石榴园 -团城山,2室1厅 | 85平米 | 东 东南 | 简装 | 中楼层(共7层)  | 板楼,10人关注 / 一年前发布,41,"4,824元/平"
成熟小区，交通方便，天然气入户。,天虹小区 -万达,3室1厅 | 76.28平米 | 东南 | 简装 | 中楼层(共7层)  | 板楼,1人关注 / 5个月以前发布,33,"4,327元/平"
采光充足 ，出行方便，毛坯 刚需小户型,万达华府 -万达,2室1厅 | 88.44平米 | 南 | 毛坯 | 中楼层(共33层)  | 板楼,0人关注 / 2个月以前发布,62,"7,011元/平"
城上城一线湖景房，三开间朝南户型大阳台,城上城 -团城山,2室2厅 | 97.92平米 | 南 | 毛坯 | 中楼层(共33层)  | 板塔结合,18人关注 / 8个月以前发布,54,"5,515元/平"
团城山万达旁 金广厦未来城毛坯两房 小区醉便宜一套,金广厦·未来城 -团城山,2室1厅 | 84平米 | 南 | 毛坯 | 中楼层(共33层)  | 板塔结合,1人关注 / 1个月以前发布,38,"4,524元/平"
紫荆花城 简装两房 满二 房东诚心出售价格可谈,紫金花城 -花湖,2室2厅 | 83.63平米 | 东南 | 简装 | 中楼层(共33层)  | 板塔结合,2人关注 / 3个月以前发布,42,"5,023元/平"
此房装修带家具家电一起 拎包入住 房东诚心出售，,天新花园 -团城山,3室2厅 | 125.5平米 | 南 北 | 精装 | 中楼层(共26层)  | 板楼,1人关注 / 3个月以前发布,84,"6,694元/平"
黄石港阳光花城，精装修步 梯大三房,阳光花城新领地 -万达,3室2厅 | 133平米 | 东南 | 精装 | 中楼层(共6层)  | 暂无数据,1人关注 / 4个月以前发布,59,"4,437元/平"
楠竹林社区 2室1厅 南 北,楠竹林社区 -楠竹林,2室1厅 | 74.3平米 | 南 北 | 简装 | 低楼层(共6层)  | 板楼,1人关注 / 一年前发布,29,"3,904元/平"
房东外地发展，有看房的可以联系我。,宏维·星都 -团城山,3室2厅 | 126.6平米 | 东南 | 简装 | 低楼层(共17层)  | 板楼,18人关注 / 一年前发布,95,"7,504元/平"
万达商圈精装修江景大三房拎包入住,江泰春岸 -花湖,3室2厅 | 113.14平米 | 南 | 精装 | 高楼层(共38层)  | 塔楼,10人关注 / 8个月以前发布,68,"6,011元/平"
武商商圈电梯三房两卫，房子户型房正，三面采光。,月桂花苑小区 -上窑,3室2厅 | 122.89平米 | 西北 | 简装 | 中楼层(共13层)  | 板塔结合,3人关注 / 3个月以前发布,69,"5,615元/平"
万达商圈交通便利，保养好拎包入住,阳光花城新领地 -万达,3室2厅 | 139.5平米 | 东 南 北 | 精装 | 低楼层(共21层)  | 板楼,1人关注 / 8个月以前发布,56,"4,015元/平"
金广厦未来城，经典二房，朝南户型，毛坯房，随心装修,金广厦·未来城 -团城山,2室2厅 | 90.98平米 | 南 | 毛坯 | 低楼层(共28层)  | 板塔结合,2人关注 / 3个月以前发布,40,"4,397元/平"
全新毛坯。满两年，中间楼层。湿地公园,龙湾一品 -团城山,2室2厅 | 91.07平米 | 南 | 毛坯 | 中楼层(共18层)  | 板塔结合,4人关注 / 4个月以前发布,51,"5,601元/平"
八卦嘴，石料山临湖温馨两房，满五唯一。,石料山社区 -八卦嘴,2室2厅 | 80平米 | 南 | 简装 | 低楼层(共9层)  | 暂无数据,0人关注 / 1个月以前发布,32,"4,000元/平"
房子保养很新，精装修拎包入住，采光好,月桂花苑小区 -上窑,2室1厅 | 66.56平米 | 南 | 精装 | 中楼层(共7层)  | 板塔结合,10人关注 / 8个月以前发布,32,"4,808元/平"
