标题,开发商,房子信息,发布信息,售价/万,单价
了封闭小区龙城帝景 两室业主重新装修了 钥匙在手,龙城帝景 -中海,2室1厅 | 89.71平米 | 南 | 精装 | 中楼层(共32层)  | 板楼,0人关注 / 23天以前发布,59.5,"6,633元/平"
中海世家电梯洋房中间楼层视野开阔不挡光,中海世家 -松花江中学,3室2厅 | 123平米 | 南 北 | 毛坯 | 低楼层(共18层)  | 暂无数据,0人关注 / 27天以前发布,98.9,"8,041元/平"
此房头排望江 无遮挡采光嘎嘎好 精装婚房 一天没住,万科莱茵小镇 -万科城,3室2厅 | 137.6平米 | 南 北 | 精装 | 高楼层(共30层)  | 板楼,1人关注 / 23天以前发布,106,"7,704元/平"
中海国际社区 南北通透3室 个人精装 满五唯一,中海国际社区 -中海,3室2厅 | 114.12平米 | 南 北 | 精装 | 高楼层(共18层)  | 板楼,0人关注 / 20天以前发布,68,"5,959元/平"
中海国际社区原山一期 3室1厅 南 北,中海国际社区原山一期 -中海,3室1厅 | 93.79平米 | 南 北 | 毛坯 | 高楼层(共6层)  | 板楼,2人关注 / 27天以前发布,48.8,"5,204元/平"
电梯六楼，两室两厅两卫，南北通透，还有车库出售,西典花园 -东北电力,2室2厅 | 85平米 | 南 北 | 简装 | 中楼层(共17层)  | 板塔结合,0人关注 / 30天以前发布,41,"4,824元/平"
吉东·托斯卡纳 6室4厅 南 北,吉东·托斯卡纳 -吉林一中,6室4厅 | 141.91平米 | 南 北 | 精装 | 高楼层(共11层)  | 板塔结合,2人关注 / 1个月以前发布,129,"9,091元/平"
筑石红 南北通透 两室两厅 精装修 可贷款,筑石紅 -和平街,2室2厅 | 72平米 | 南 北 | 精装 | 低楼层(共26层)  | 板楼,1人关注 / 24天以前发布,59.8,"8,306元/平"
长光小区 2室1厅 南 北,长光小区 -八一,2室1厅 | 64平米 | 南 北 | 精装 | 高楼层(共6层)  | 板楼,0人关注 / 28天以前发布,24.5,"3,829元/平"
中东帕萨迪纳，户型通透，楼层好，视野宽阔，采光好,帕萨迪纳 -中东,1室1厅 | 56平米 | 南 | 简装 | 中楼层(共15层)  | 板塔结合,0人关注 / 23天以前发布,29,"5,179元/平"
筑石红 电梯15楼 南北通透 不把不临 拎包入住,筑石紅 -和平街,2室2厅 | 72平米 | 南 北 | 精装 | 中楼层(共26层)  | 板楼,0人关注 / 23天以前发布,63.7,"8,848元/平"
帕萨迪纳 电梯12楼 南北、东明厅 简装 诚心出售,帕萨迪纳 -中东,2室2厅 | 87.13平米 | 南 北 | 简装 | 中楼层(共18层)  | 板塔结合,0人关注 / 3个月以前发布,46,"5,280元/平"
楓蘭香谷二期 2室1厅 南,楓蘭香谷二期 -黄旗屯,2室1厅 | 66.95平米 | 南 | 精装 | 低楼层(共17层)  | 塔楼,0人关注 / 15天以前发布,36.8,"5,497元/平"
户型好 南北通透 大H格局 采光好 双书包,鸿博园 -华南,2室1厅 | 104平米 | 南 北 | 精装 | 低楼层(共6层)  | 板楼,0人关注 / 10天以前发布,63,"6,058元/平"
标准南北H格局，离近音乐喷泉，江南公园，泰山路早市,送配电小区 -烽火丰满一实验,2室2厅 | 71.63平米 | 南 北 | 精装 | 中楼层(共7层)  | 板楼,0人关注 / 15天以前发布,52.8,"7,372元/平"
金地红大蓝湾 3室2厅 南 北,金地红大蓝湾 -丰满二实验,3室2厅 | 122.26平米 | 南 北 | 精装 | 高楼层(共33层)  | 板楼,0人关注 / 19天以前发布,125,"10,225元/平"
万科上东区 19楼视野好 全天不挡光 便宜 便宜 便宜,万科上东区 -万科城,3室1厅 | 111.52平米 | 南 北 | 精装 | 中楼层(共33层)  | 板楼,0人关注 / 12天以前发布,79.8,"7,156元/平"
卢浮公馆多层五楼 南北通透  三室一卫有阳台外扩,卢浮公馆 -雾凇中路,3室2厅 | 98.7平米 | 南 北 | 精装 | 高楼层(共6层)  | 板楼,0人关注 / 12天以前发布,64.8,"6,566元/平"
此房出行方便，户型方正，居住方便舒适,松江苑 -昌邑区政府,2室1厅 | 73.57平米 | 南 北 | 简装 | 中楼层(共7层)  | 板塔结合,0人关注 / 5个月以前发布,46,"6,253元/平"
铂悦公馆K区 3室2厅 南 北,铂悦公馆K区 -中海,3室2厅 | 129.28平米 | 南 北 | 精装 | 中楼层(共17层)  | 板楼,2人关注 / 1个月以前发布,118.8,"9,190元/平"
多层电梯洋房，二楼，不把山不临街，毛坯随心装修,金地·第七郡 -中东客运站,3室2厅 | 111.17平米 | 南 北 | 毛坯 | 低楼层(共7层)  | 板楼,0人关注 / 1个月以前发布,75.5,"6,792元/平"
铂悦公馆，毛坯，位置好，随时看房,中海铂悦公馆一期 -中海,3室2厅 | 129平米 | 南 北 | 毛坯 | 低楼层(共18层)  | 板楼,0人关注 / 3个月以前发布,93,"7,210元/平"
万科滨江九里   南北通透  居住舒适 可望江,万科滨江九里 -万科城,3室2厅 | 127平米 | 南 北 | 精装 | 低楼层(共35层)  | 暂无数据,2人关注 / 1个月以前发布,99.8,"7,859元/平"
公园道一号 多层二楼 三室两厅两卫 精装 动静分离,东方伟业公园道一号 -雾凇中路,3室2厅 | 110平米 | 南 北 | 精装 | 低楼层(共6层)  | 板塔结合,0人关注 / 3个月以前发布,89.4,"8,128元/平"
小区小高12层 房子在6层 不把不临 户型好 5年外唯一,中环·滨江花园 -世纪广场,2室2厅 | 112平米 | 南 北 | 精装 | 中楼层(共12层)  | 板楼,0人关注 / 1个月以前发布,95,"8,483元/平"
采光好，无遮挡，交通便利，配套设施完善,光明新村西区 -厦门街,3室2厅 | 115平米 | 南 北 | 简装 | 高楼层(共7层)  | 板楼,10人关注 / 一年前发布,38,"3,305元/平"
此房南北通透，格局方正，楼龄新，绿化好,泽信吉府 -中海,4室2厅 | 115平米 | 南 北 | 精装 | 高楼层(共17层)  | 板楼,11人关注 / 一年前发布,99.8,"8,679元/平"
江南丰满区 中海紫御江城 个人精装，直接入住,中海紫御江城 -世纪广场,3室2厅 | 139平米 | 南 北 | 精装 | 中楼层(共33层)  | 板楼,2人关注 / 1个月以前发布,148,"10,648元/平"
封闭式小区 可随时预约看房·······,中环·滨江花园 -世纪广场,3室2厅 | 125平米 | 南 北 | 精装 | 低楼层(共10层)  | 板楼,0人关注 / 2个月以前发布,96,"7,680元/平"
小高楼层好视野好，毛坯的价格随时看房,龙城帝景 -中海,3室2厅 | 127平米 | 南 北 | 精装 | 中楼层(共18层)  | 板楼,0人关注 / 2个月以前发布,79.8,"6,284元/平"
户型周正 空气清新   设施齐全,星光江城 -星光江城,3室2厅 | 113平米 | 南 北 | 精装 | 中楼层(共27层)  | 板楼,5人关注 / 5个月以前发布,61.7,"5,461元/平"
泽信吉府，六千多买三居室，毛坯房，随意装修，,泽信吉府 -中海,3室2厅 | 109平米 | 南 北 | 毛坯 | 高楼层(共17层)  | 板楼,0人关注 / 2个月以前发布,70,"6,423元/平"
莱茵小镇电梯洋房三室二卫，公摊小，一梯一户独立入户,万科莱茵小镇 -万科城,3室2厅 | 133平米 | 南 北 | 精装 | 中楼层(共7层)  | 板楼,5人关注 / 3个月以前发布,110,"8,271元/平"
西山林语3-2-1-1 97.30m²,西山林语 -雾凇中路,3室2厅 | 97.3平米 | 南 北 | 精装 | 高楼层(共17层)  | 塔楼,0人关注 / 3个月以前发布,65.8,"6,763元/平"
紫金江尚 电梯小高层 三居室 南北通透户型,紫金江尚 -八一,3室2厅 | 109.58平米 | 南 北 | 精装 | 中楼层(共18层)  | 板楼,0人关注 / 1个月以前发布,87.5,"7,986元/平"
望云山景 多层6越7 南北通透户型 精装修,望云山景 -北极街,4室2厅 | 100.67平米 | 南 北 | 精装 | 高楼层(共7层)  | 板楼,1人关注 / 1个月以前发布,49,"4,868元/平"
中海剑桥郡，电梯房17楼，标准南北通透大H户型,剑桥郡 -中海,2室2厅 | 106平米 | 南 北 | 毛坯 | 高楼层(共24层)  | 板楼,0人关注 / 23天以前发布,69.8,"6,585元/平"
锦绣江南，封闭小区，六楼不顶，精致家装，南北通透,锦绣江南 -松花江中学,2室2厅 | 107.5平米 | 北 南 | 其他 | 高楼层(共7层)  | 板楼,0人关注 / 30天以前发布,59.8,"5,563元/平"
江滨公园旁，正2楼，精装修，南北通透大H格局,高新B区 -厦门街,2室1厅 | 72平米 | 南 北 | 精装 | 低楼层(共7层)  | 板楼,0人关注 / 19天以前发布,46.5,"6,459元/平"
小区环境好  出行方便 交通便利,锦绣江南 -松花江中学,2室1厅 | 89.93平米 | 南 北 | 简装 | 低楼层(共7层)  | 板楼,0人关注 / 24天以前发布,66.5,"7,395元/平"
广泽紫晶城精装两室 视野好 全天采光,紫晶城D区 -吉林一中,2室2厅 | 81平米 | 南 北 | 精装 | 高楼层(共28层)  | 塔楼,0人关注 / 24天以前发布,44.8,"5,531元/平"
筑石红品质好房源好房子快来看看,筑石紅 -和平街,2室1厅 | 81平米 | 南 北 | 简装 | 中楼层(共6层)  | 板楼,0人关注 / 26天以前发布,64.8,"8,000元/平"
精装修 拎包入住采光充足，配套设施齐，交通便利,锦绣花园(船营区) -农林街,3室1厅 | 77平米 | 南 北 | 精装 | 低楼层(共6层)  | 板楼,0人关注 / 25天以前发布,43,"5,585元/平"
中海悦江府一期 不把不临 中间楼层 采光足 视野好,中海悦江府 -万达广场,3室1厅 | 120平米 | 南 北 | 毛坯 | 高楼层(共20层)  | 板楼,0人关注 / 19天以前发布,99.8,"8,317元/平"
正4楼，精装修，南北通透，家具家电设施齐全,园艺小区 -丰满二实验,2室1厅 | 61平米 | 南 北 | 其他 | 中楼层(共7层)  | 板楼,0人关注 / 18天以前发布,37.8,"6,197元/平"
西山香麓多层，楼层好采光充足，南北通透大H户型,西山香麓 -中东,2室2厅 | 74.49平米 | 南 北 | 精装 | 中楼层(共6层)  | 板塔结合,1人关注 / 29天以前发布,53.8,"7,223元/平"
此房无抵押。房子是私产房，产权清晰，,依山小筑 -西安路,2室1厅 | 72平米 | 南 | 精装 | 中楼层(共7层)  | 板楼,0人关注 / 29天以前发布,39.8,"5,528元/平"
托斯卡纳电梯凤凰城采光好南北H户型,吉东·托斯卡纳 -吉林一中,2室2厅 | 84平米 | 南 北 | 精装 | 高楼层(共18层)  | 板塔结合,0人关注 / 18天以前发布,48.8,"5,810元/平"
花园小区，楼层好，采光好，南北通透户型，精装三室,中东凯悦公馆 -中东,3室1厅 | 96.88平米 | 南 北 | 精装 | 低楼层(共11层)  | 板楼,0人关注 / 25天以前发布,69.8,"7,205元/平"
世纪广场旁头排望江房中间楼层采光充足,中海紫御东郡 -世纪广场,3室2厅 | 129平米 | 南 北 | 精装 | 中楼层(共30层)  | 板塔结合,1人关注 / 26天以前发布,129,"10,000元/平"
业主急售家庭装修急售 ）店长推荐业主急,乾丰园南区 -十一中,2室1厅 | 59平米 | 南 北 | 精装 | 中楼层(共7层)  | 板楼,1人关注 / 29天以前发布,29,"4,916元/平"
一室一厅 位置好采光好 随时看房,松北二区 -松北,1室1厅 | 36.22平米 | 南 | 其他 | 高楼层(共6层)  | 暂无数据,0人关注 / 12天以前发布,23.8,"6,571元/平"
楼层好 松江商圈 采光好 交通便利 户型好 不把不临,松江家园北区 -昌邑区政府,2室1厅 | 87.76平米 | 南 北 | 简装 | 低楼层(共6层)  | 板塔结合,0人关注 / 3个月以前发布,59.8,"6,815元/平"
吉林大街 运河里住宅 南北通透  精装小户型,运河里西山棚户区 -桃源路,2室1厅 | 54.91平米 | 南 北 | 精装 | 低楼层(共6层)  | 板楼,2人关注 / 2个月以前发布,35.8,"6,520元/平"
中东新生活旁 帕萨迪纳 电梯15楼 南北通透 婚房两室,帕萨迪纳 -中东,2室2厅 | 83.41平米 | 南 北 | 其他 | 高楼层(共16层)  | 板塔结合,0人关注 / 4个月以前发布,58,"6,954元/平"
正4楼，二室一厅，价钱可讲，随时看房,吉炭小区 -大润发二店,2室1厅 | 78平米 | 南 北 | 精装 | 中楼层(共7层)  | 暂无数据,0人关注 / 5天以前发布,47.8,"6,129元/平"
万达广场两室精装修 ，看房方便,万达江畔华城A区 -万达广场,2室2厅 | 100平米 | 南 北 | 精装 | 中楼层(共28层)  | 板楼,0人关注 / 3天以前发布,96.5,"9,650元/平"
翰林院封闭小区，看房方便，下楼早市,瀚林苑 -烽火丰满一实验,2室2厅 | 101平米 | 南 北 | 简装 | 低楼层(共31层)  | 板楼,0人关注 / 2个月以前发布,63,"6,238元/平"
泽信依山郡二期 园区绿化高 前排精装修视野好 可贷款,泽信依山郡 -桃源路,3室2厅 | 105平米 | 南 北 | 其他 | 中楼层(共13层)  | 暂无数据,1人关注 / 1个月以前发布,89.8,"8,553元/平"
精装修，屋里保持的很好。。。。,龙城帝景 -中海,3室2厅 | 134.9平米 | 南 北 | 精装 | 高楼层(共11层)  | 板楼,0人关注 / 1个月以前发布,99.9,"7,406元/平"
采光充足，配套设施齐，交通便利 出行方便 户型方正,安顺小区 -北山,3室1厅 | 97平米 | 南 北 | 精装 | 中楼层(共7层)  | 板楼,0人关注 / 1个月以前发布,59.8,"6,165元/平"
2光明新村 多层5楼 大H户型 单价4200 可以贷款,光明新村西区 -厦门街,2室2厅 | 107平米 | 东南 西北 | 简装 | 中楼层(共7层)  | 板楼,20人关注 / 一年前发布,44,"4,113元/平"
楓蘭香谷二期小H格局看房方便户型号南北通透,楓蘭香谷二期 -黄旗屯,2室1厅 | 70.98平米 | 南 北 | 精装 | 高楼层(共17层)  | 塔楼,0人关注 / 4个月以前发布,42.8,"6,030元/平"
房主急售，小高不顶，好楼层，园区绿化美观。,盈胜毓园 -厦门街,2室2厅 | 88.75平米 | 北 南 | 简装 | 高楼层(共16层)  | 板楼,17人关注 / 5个月以前发布,58.8,"6,626元/平"
锦东世纪新村，电梯房，精装修，可拎包入住。,錦東世纪新村 -昌邑公安分局,3室1厅 | 137平米 | 南 北 | 精装 | 中楼层(共11层)  | 板楼,14人关注 / 10个月以前发布,69.8,"5,095元/平"
吉东·托斯卡纳 3室1厅 南 北,吉东·托斯卡纳 -吉林一中,3室1厅 | 93.8平米 | 南 北 | 简装 | 高楼层(共18层)  | 板塔结合,2人关注 / 2个月以前发布,46,"4,905元/平"
西山香簏六跃七跃八，三室两卫两个衣帽间，实木装修,西山香麓 -中东,3室2厅 | 111.62平米 | 南 北 | 精装 | 高楼层(共6层)  | 板塔结合,1人关注 / 5个月以前发布,69,"6,182元/平"
泽信依山郡 大H户型 毛坯 中间楼层 随意装修,泽信依山郡 -桃源路,3室2厅 | 105平米 | 南 北 | 毛坯 | 低楼层(共17层)  | 板楼,0人关注 / 2个月以前发布,69.8,"6,648元/平"
中海世家 3室2厅 南 北,中海世家 -松花江中学,3室2厅 | 118平米 | 南 北 | 其他 | 高楼层(共18层)  | 板楼,0人关注 / 1个月以前发布,105,"8,899元/平"
三室两厅两卫一楼带花园，装修好，配套齐全。,绿地国际花都 -雾凇中路,3室2厅 | 116平米 | 南 北 | 精装 | 低楼层(共6层)  | 板楼,0人关注 / 3个月以前发布,78.8,"6,794元/平"
多层，松花江。位置好，交通便利。,园艺小区 -丰满二实验,2室1厅 | 100平米 | 南 北 | 精装 | 高楼层(共7层)  | 板楼,1人关注 / 2个月以前发布,41.8,"4,180元/平"
一楼不带花园  自家装修  三居室户型 南北通透,吉东·托斯卡纳 -吉林一中,3室2厅 | 107平米 | 南 北 | 精装 | 低楼层(共11层)  | 板塔结合,1人关注 / 1个月以前发布,53.5,"5,000元/平"
中海国际社区3室2厅精装修南北通透,中海国际社区 -中海,3室2厅 | 121平米 | 南 北 | 精装 | 低楼层(共17层)  | 板楼,9人关注 / 一年前发布,80,"6,612元/平"
户型方正，视野宽阔，采光充足，楼层好,广泽紫晶城二期 -吉林一中,3室2厅 | 109.88平米 | 北 南 | 精装 | 中楼层(共18层)  | 板楼,0人关注 / 1个月以前发布,81.5,"7,418元/平"
厦门街 光明新 南北通透户型 出小区就是早市交通方便,光明新村西区 -厦门街,2室1厅 | 72平米 | 南 北 | 简装 | 低楼层(共6层)  | 板楼,9人关注 / 一年前发布,41,"5,695元/平"
交通便利 小区环境干净舒适 适合居住,颐景花园 -十一中,2室1厅 | 78.49平米 | 南 北 | 简装 | 高楼层(共11层)  | 板塔结合,0人关注 / 9个月以前发布,57,"7,263元/平"
锦绣花园，南北通透大h户型，视野开阔，拎包入住,锦绣花园(船营区) -农林街,2室2厅 | 107平米 | 南 北 | 简装 | 高楼层(共6层)  | 板塔结合,0人关注 / 1个月以前发布,60,"5,608元/平"
万科B区 头排望江 114平 3室  78万可议,万科城B区 -万科城,3室1厅 | 114.2平米 | 西 东 | 精装 | 低楼层(共34层)  | 板楼,0人关注 / 3个月以前发布,75,"6,568元/平"
：此房两年外 精装现房 户型好  采光好 一天未住,泽信吉府 -中海,3室2厅 | 109.74平米 | 南 北 | 精装 | 低楼层(共15层)  | 板楼,4人关注 / 9个月以前发布,90,"8,202元/平"
师院小区  精装修  拎包入住 一楼,师院二区 -丰满二实验,2室1厅 | 63.63平米 | 南 北 | 精装 | 低楼层(共7层)  | 板楼,2人关注 / 一年前发布,38,"5,973元/平"
此房地理位置优越，楼层好，户型好，采光好,金汇嘉园 -八一,2室1厅 | 105平米 | 南 北 | 精装 | 高楼层(共24层)  | 板楼,2人关注 / 8个月以前发布,75.8,"7,220元/平"
和平花园 两室一厅 多层四楼 精装修 首付少,和平花园 -和平街,2室1厅 | 55平米 | 南 | 精装 | 中楼层(共6层)  | 板塔结合,1人关注 / 1个月以前发布,34.8,"6,328元/平"
包更名！卢瓦尔小镇旁大林幸福家园，两室一厅一卫！,幸福家园 -和平街,2室1厅 | 55平米 | 南 | 精装 | 中楼层(共6层)  | 板楼,1人关注 / 4个月以前发布,36.8,"6,691元/平"
万科城 精装 三室 带露台 拎包入住 支持各种贷款,万科城 -万科城,3室1厅 | 117平米 | 南 北 | 精装 | 低楼层(共34层)  | 板楼,14人关注 / 一年前发布,78,"6,667元/平"
红大蓝湾 小高中间层 个人精装 南北通透 封闭小区,金地红大蓝湾 -丰满二实验,2室2厅 | 79.9平米 | 南 北 | 精装 | 高楼层(共17层)  | 板楼,12人关注 / 一年前发布,69.5,"8,699元/平"
房子前后无遮挡，房主诚心卖房，价格可谈,东方伟业公园道一号 -雾凇中路,2室1厅 | 93平米 | 南 北 | 精装 | 低楼层(共18层)  | 板塔结合,6人关注 / 一年前发布,55,"5,914元/平"
锦绣江南 多层5楼 江南好位置 配套完善,锦绣江南 -松花江中学,2室1厅 | 94.87平米 | 南 北 | 精装 | 中楼层(共7层)  | 板楼,12人关注 / 一年前发布,66,"6,957元/平"
：花园小区，楼层好，采光好，南北通透户型,筑石紅 -和平街,2室1厅 | 80平米 | 南 北 | 精装 | 中楼层(共6层)  | 板楼,1人关注 / 2个月以前发布,63.8,"7,975元/平"
出行方便，采光好，户型方正，拎包入住，小区绿化好,盈胜毓园 -厦门街,2室2厅 | 82.04平米 | 南 北 | 精装 | 中楼层(共6层)  | 板楼,8人关注 / 一年前发布,66.8,"8,143元/平"
万科南北通透两居室，随时看房，拎包入住,万科城 -万科城,2室2厅 | 89平米 | 南 北 | 精装 | 低楼层(共34层)  | 板楼,0人关注 / 一年前发布,50,"5,618元/平"
装修好，楼层好，拎包入住，房屋干净整洁,鸿博御园 -长春路,2室2厅 | 91平米 | 南 北 | 精装 | 中楼层(共7层)  | 板楼,0人关注 / 5个月以前发布,49.8,"5,473元/平"
万科城B区 精装2室 带外置阳台 望江 采光好,万科城B区 -万科城,2室1厅 | 89平米 | 南 北 | 精装 | 高楼层(共34层)  | 板楼,0人关注 / 4个月以前发布,65.8,"7,394元/平"
首创国际广场，小区人车分流，封闭小区，,首创国际广场 -大润发四店,3室1厅 | 109平米 | 南 北 | 毛坯 | 高楼层(共18层)  | 暂无数据,11人关注 / 一年前发布,42.3,"3,881元/平"
精装 拎包入住  东出口 火车站  可贷款,阿里山花园 -火车站东广场,2室2厅 | 102平米 | 南 北 | 精装 | 中楼层(共7层)  | 板塔结合,2人关注 / 2个月以前发布,59.8,"5,863元/平"
长光小区 2室1厅 南,长光小区 -八一,2室1厅 | 63平米 | 南 | 精装 | 低楼层(共7层)  | 板楼,0人关注 / 1个月以前发布,38.5,"6,112元/平"
紫光北郡  诺 丁山   两室一厅一厨一卫,紫光北郡诺丁山 -北山,2室1厅 | 58平米 | 南 | 精装 | 低楼层(共28层)  | 板塔结合,0人关注 / 1个月以前发布,25.5,"4,397元/平"
此房满五年 南北格局 出行方便，户型方正,绿地福林 -雾凇中路,2室2厅 | 81.95平米 | 南 北 | 精装 | 高楼层(共18层)  | 板塔结合,0人关注 / 1个月以前发布,56.8,"6,932元/平"
紫金江尚园中好楼层，采光好拎包入住。,紫金江尚 -八一,2室2厅 | 73.4平米 | 南 | 精装 | 中楼层(共17层)  | 板楼,6人关注 / 5个月以前发布,55,"7,494元/平"
江南伊利花园小区 婚房精装修没入住,伊利花園 -八一,2室2厅 | 104平米 | 南 北 | 精装 | 中楼层(共7层)  | 板楼,1人关注 / 2个月以前发布,58.5,"5,625元/平"
卢瓦尔小镇 2室1厅 南 北,卢瓦尔小镇 -雾凇中路,2室1厅 | 93.95平米 | 南 北 | 简装 | 中楼层(共7层)  | 板楼,0人关注 / 2个月以前发布,63,"6,706元/平"
通潭西区 多层5楼 南北通透2室 精装修拎包入住,通潭西区 -解放北路,2室2厅 | 81.2平米 | 南 北 | 精装 | 高楼层(共6层)  | 板楼,1人关注 / 3个月以前发布,55.8,"6,872元/平"
龙城帝景，毛坯，两室，采光好，随时看房,龙城帝景 -中海,2室1厅 | 86平米 | 南 | 毛坯 | 高楼层(共18层)  | 板楼,0人关注 / 5个月以前发布,47,"5,466元/平"
锦绣江南多层精装两室 南北通透落地窗采光好,锦绣江南 -松花江中学,2室2厅 | 100平米 | 南 北 | 精装 | 高楼层(共7层)  | 板楼,0人关注 / 1个月以前发布,67.5,"6,750元/平"
东北电力旁，西典花园，电梯一室，精装，有钥匙随时看,西典花园 -东北电力,1室1厅 | 31.27平米 | 南 | 精装 | 高楼层(共17层)  | 板塔结合,0人关注 / 1个月以前发布,14.8,"4,733元/平"
崇文小区 2室1厅 南,崇文小区 -松江,2室1厅 | 57.62平米 | 南 | 其他 | 低楼层(共6层)  | 板塔结合,0人关注 / 1个月以前发布,34,"5,901元/平"
筑石红两室两厅大H户型 南北通透,筑石紅 -和平街,2室1厅 | 72平米 | 南 北 | 精装 | 中楼层(共26层)  | 板楼,0人关注 / 26天以前发布,55.5,"7,709元/平"
出行方便，户型方正，居住方便舒适配套设施齐全。,吉炭小区 -大润发二店,2室1厅 | 67.56平米 | 南 | 精装 | 中楼层(共7层)  | 板楼,0人关注 / 30天以前发布,39.8,"5,892元/平"
万达广场复式毛坯房，随意装修，两室一厅,金地·中央大街 -万达广场,1室0厅 | 39平米 | 东南 | 毛坯 | 中楼层(共18层)  | 塔楼,0人关注 / 20天以前发布,42.8,"10,975元/平"
东方雅居 毛坯房 随意装修  可贷款,东方雅居二期 -万达江畔,2室1厅 | 79.78平米 | 南 北 | 其他 | 中楼层(共20层)  | 板塔结合,1人关注 / 29天以前发布,39.8,"4,989元/平"
西山林语 1室1厅 南,西山林语 -雾凇中路,1室1厅 | 50.02平米 | 南 | 其他 | 低楼层(共32层)  | 塔楼,0人关注 / 16天以前发布,25.8,"5,158元/平"
江湾路成熟商圈永昌小区多层4楼，精装。拎包入住，，,永昌小区 -江湾路,2室1厅 | 57平米 | 南 北 | 精装 | 中楼层(共7层)  | 板楼,0人关注 / 21天以前发布,34.8,"6,106元/平"
中间楼层采光好 直通地库 公摊小得房率高 带精装修,金澜悦府 -二手车市场,3室2厅 | 107.23平米 | 南 北 | 精装 | 中楼层(共17层)  | 暂无数据,0人关注 / 2个月以前发布,91.5,"8,534元/平"
昌茂花园-南北通透大H-拎包即住-随时看房-价格可议,昌茂花園 -西安路,3室1厅 | 138平米 | 南 北 | 精装 | 中楼层(共19层)  | 暂无数据,0人关注 / 1个月以前发布,108,"7,827元/平"
楼层好 大三居 户型方正 可望江,龙城帝景 -中海,3室2厅 | 132平米 | 南 北 | 精装 | 高楼层(共32层)  | 板楼,0人关注 / 1个月以前发布,86,"6,516元/平"
南通北达，采光好，落地窗大客厅。产权清晰。,荣邦新城 -丰满二实验,3室2厅 | 109平米 | 南 北 | 精装 | 低楼层(共10层)  | 板楼,4人关注 / 3个月以前发布,76.9,"7,056元/平"
