标题,开发商,房子信息,发布信息,售价/万,单价
神农城，华晨御园毛坯大三房，中间楼层，价格可刀,华晨御园 -奥园城市广场,3室2厅 | 133.88平米 | 南 北 | 毛坯 | 高楼层(共25层)  | 板塔结合,0人关注 / 8天以前发布,83.8,"6,260元/平"
庐山路上庐山春天四房清水毛坯好房出售,华晨·庐山春天 -庐山路,4室2厅 | 185.83平米 | 东南 | 毛坯 | 低楼层(共18层)  | 板楼,8人关注 / 8个月以前发布,105,"5,651元/平"
此房满两年，房东急卖，价格实惠。,湘坤金岸华庭 -大润发,4室2厅 | 148.95平米 | 南 北 | 精装 | 低楼层(共29层)  | 板塔结合,0人关注 / 8个月以前发布,77.8,"5,224元/平"
牡丹园 5室2厅 南,牡丹园 -田心,5室2厅 | 180平米 | 南 | 精装 | 高楼层(共9层)  | 暂无数据,1人关注 / 2个月以前发布,48,"2,667元/平"
红旗广场 公务员小区 免费停车 电梯洋房 急售,西子花园 -大润发,4室2厅 | 167.53平米 | 南 北 | 精装 | 低楼层(共13层)  | 板楼,0人关注 / 7个月以前发布,78.8,"4,704元/平"
房子是在五桥头省直中医院旁，看湖景观江景，,宏侨凯旋名门 -贺嘉土,4室2厅 | 135平米 | 南 | 精装 | 高楼层(共28层)  | 板塔结合,3人关注 / 7个月以前发布,90.5,"6,704元/平"
万达广场商圈 南北对流 新装修的三房 业主到外地发展,嘉天紫东苑 -向阳广场,3室1厅 | 129.35平米 | 西北 | 精装 | 中楼层(共16层)  | 暂无数据,0人关注 / 27天以前发布,78.8,"6,092元/平"
尚格名城 六期 江边 白鹤 精品大两房诚意出售,尚格名城万家理想 -株洲大道（体育馆）,2室2厅 | 86.4平米 | 南 北 | 精装 | 高楼层(共18层)  | 板塔结合,0人关注 / 30天以前发布,55,"6,366元/平"
火车站旁，居家2房出行方便，小区环境好,新屋街 -新华东路,2室1厅 | 53.61平米 | 南 | 简装 | 中楼层(共7层)  | 暂无数据,2人关注 / 5个月以前发布,17,"3,172元/平"
新桂广场新桂都 精装两房 中高楼层 业主诚心出售,新桂广场新桂都 -大润发,2室2厅 | 85.63平米 | 南 | 精装 | 中楼层(共30层)  | 板楼,0人关注 / 2个月以前发布,57.8,"6,750元/平"
文化路检察院，居家精装2房，小区免费停车,株洲市人民检察院宿舍 -红旗广场,2室1厅 | 59.18平米 | 东南 | 精装 | 中楼层(共5层)  | 暂无数据,3人关注 / 2个月以前发布,20.6,"3,481元/平"
万达商圈  八达旁 电梯精装2房  景观楼层,嶺秀天下 -荷塘区,2室2厅 | 89平米 | 南 | 精装 | 高楼层(共24层)  | 板塔结合,1人关注 / 29天以前发布,45,"5,057元/平"
株洲大道旺城天悦精装三房两卫满两年好楼层,旺城天悦 -株洲大道（体育馆）,3室2厅 | 113.72平米 | 南 | 精装 | 低楼层(共31层)  | 板楼,0人关注 / 1个月以前发布,69.8,"6,138元/平"
江边温馨三居，楼层好，带一楼杂物间,滨江一村 -滨江广场,3室2厅 | 114.86平米 | 南 北 | 简装 | 中楼层(共7层)  | 暂无数据,1人关注 / 3个月以前发布,46,"4,005元/平"
河西五桥，精装两房，楼梯三楼，拎包入住，满两年,德政花苑 -庐山路,2室2厅 | 85.5平米 | 南 | 精装 | 中楼层(共8层)  | 板楼,0人关注 / 3个月以前发布,40,"4,679元/平"
瑞丽江南，看房方便，业主诚信出售。多套房产此房出售,德政瑞丽江南 -龙泉,2室2厅 | 94.01平米 | 南 北 | 精装 | 中楼层(共18层)  | 塔楼,1人关注 / 6个月以前发布,43.8,"4,660元/平"
服装市场 王塔冲温馨两居室  带杂物间急售,王塔冲小区 -庆云山,2室1厅 | 60.47平米 | 南 | 简装 | 低楼层(共6层)  | 板楼,3人关注 / 6个月以前发布,20,"3,308元/平"
红旗广场，荷塘星城小区，精装电梯两房两厅,荷塘星城小区 -大润发,2室2厅 | 85.91平米 | 东南 | 精装 | 中楼层(共18层)  | 暂无数据,0人关注 / 2个月以前发布,61.8,"7,194元/平"
天元中小大四房，业主急售，不靠马路位置好，车位另算,馨香橄榄城 -栗雨（美的城）,4室2厅 | 148.08平米 | 南 | 毛坯 | 高楼层(共30层)  | 板塔结合,1人关注 / 5个月以前发布,79.5,"5,369元/平"
御山和苑 全新毛坯小三房  诚心出售,中建御山和苑 -庐山路,3室1厅 | 98平米 | 南 | 毛坯 | 中楼层(共22层)  | 板塔结合,1人关注 / 4个月以前发布,63.8,"6,511元/平"
万达广场  东部美的城 精装四房两厅  人车分流,东部美的城1期 -向阳广场,3室2厅 | 115平米 | 南 | 精装 | 中楼层(共34层)  | 暂无数据,0人关注 / 6个月以前发布,82,"7,131元/平"
水竹一村 3室2厅 南,水竹一村 -红旗广场,3室2厅 | 71.8平米 | 南 | 精装 | 低楼层(共7层)  | 暂无数据,0人关注 / 2个月以前发布,39,"5,432元/平"
株洲恒大华府 带家电 三房两卫 户型好 通风 给你家哦,株洲恒大华府 -湖南工业大学,3室2厅 | 121平米 | 南 | 精装 | 低楼层(共21层)  | 板塔结合,0人关注 / 1个月以前发布,95.8,"7,918元/平"
栗雨株百 国企开发商 居家精装大三房 满两年 诚心出售,高科慧谷阳光 -栗雨（美的城）,3室2厅 | 113.9平米 | 南 北 | 精装 | 高楼层(共27层)  | 板塔结合,8人关注 / 4个月以前发布,80,"7,024元/平"
房正实用，得房高、通透采光好！随时看房,天金山家园 -向阳广场,3室2厅 | 115.19平米 | 南 | 精装 | 低楼层(共28层)  | 暂无数据,1人关注 / 1个月以前发布,62.8,"5,452元/平"
单价低 荣盛华府大四房 诚心出售,荣盛华府 -向阳广场,4室2厅 | 132平米 | 南 北 | 毛坯 | 低楼层(共31层)  | 暂无数据,0人关注 / 3个月以前发布,71,"5,379元/平"
房正实用，得房高、通透采光好，小区环境好，物业费低,馨香小區 -向阳广场,4室2厅 | 140平米 | 南 | 精装 | 中楼层(共7层)  | 暂无数据,2人关注 / 5个月以前发布,56.8,"4,058元/平"
业主在河西，房子空置变现，好房子，多带客户,嘉盛华府 -大润发,3室2厅 | 89.8平米 | 南 | 精装 | 高楼层(共18层)  | 塔楼,0人关注 / 2个月以前发布,46.8,"5,212元/平"
磐龙世纪城海棠湾3-2-1-2 135.00m² 60 万,磐龙世纪城海棠湾 -云龙示范区,3室2厅 | 135平米 | 西南 | 毛坯 | 高楼层(共17层)  | 板楼,0人关注 / 3个月以前发布,57,"4,223元/平"
此房满两年  采光通风佳  视野开阔,碧桂园·麓府 -株洲北,3室2厅 | 123平米 | 南 | 精装 | 低楼层(共31层)  | 暂无数据,1人关注 / 11个月以前发布,70,"5,692元/平"
湘水湾6期，123平精装大三房，二卫二阳，景观大阳台,晋合湘水湾6期 -神农城,3室2厅 | 123平米 | 南 | 精装 | 低楼层(共32层)  | 暂无数据,9人关注 / 5个月以前发布,90,"7,318元/平"
莱茵小镇精装三房诚心出售看房方便,中天恒基莱茵小镇 -田心,3室2厅 | 128平米 | 南 北 | 精装 | 高楼层(共18层)  | 暂无数据,11人关注 / 5个月以前发布,51.5,"4,024元/平"
徐家桥解放街建宁新村全新精装三房  有想法的来看房,建宁新村 -徐家桥商业步行街,3室2厅 | 81.37平米 | 南 北 | 精装 | 中楼层(共7层)  | 暂无数据,1人关注 / 2个月以前发布,45.8,"5,629元/平"
位置好 市中新地段少有三房两厅 精装修,天顺楼 -中心广场,3室2厅 | 114.26平米 | 东南 | 精装 | 中楼层(共23层)  | 板塔结合,0人关注 / 1个月以前发布,66,"5,777元/平"
天台小区 精装3房 拎包入住 诚心卖！,天台小区 -神农城,3室2厅 | 120.43平米 | 南 | 精装 | 中楼层(共7层)  | 板楼,8人关注 / 6个月以前发布,69.8,"5,796元/平"
建宁，楼梯房2楼，适合老人家和刚需家庭，诚心出售。,邮政新村 -神农城,3室2厅 | 108平米 | 东南 | 精装 | 低楼层(共8层)  | 板楼,5人关注 / 3个月以前发布,55,"5,093元/平"
万达旁 正规四房 单价低 新小区楼层好交通便利,新城樾府 -向阳广场,4室2厅 | 139.64平米 | 南 | 毛坯 | 中楼层(共32层)  | 暂无数据,6人关注 / 一年前发布,71,"5,085元/平"
金轮翡翠名园 精装修三房  还保持的很新 满二,金轮·翡翠名园 -株洲西站,3室2厅 | 90平米 | 东南 | 精装 | 高楼层(共24层)  | 塔楼,1人关注 / 2个月以前发布,76.8,"8,534元/平"
市民中星旁  恒大物业  园林小区,湘银星城（恒大华府） -湖南工业大学,3室2厅 | 107平米 | 南 | 精装 | 高楼层(共33层)  | 板塔结合,1人关注 / 2个月以前发布,72,"6,729元/平"
此房满五唯一，南北 明亮，楼层好，视野开阔,时代·云龙城 -田心,3室2厅 | 131.28平米 | 南 北 | 毛坯 | 低楼层(共24层)  | 暂无数据,3人关注 / 3个月以前发布,55.8,"4,251元/平"
万达广场大丰站云龙大道，学府华庭毛坯房,学府华庭 -株洲北,3室2厅 | 132平米 | 东南 | 毛坯 | 高楼层(共16层)  | 板塔结合,0人关注 / 一年前发布,58,"4,394元/平"
精装小三房 拎包入住 白鹤菱溪校门口 干净舒适温馨,日盛·桂花城 -株洲西站,3室2厅 | 90平米 | 南 | 精装 | 中楼层(共30层)  | 板塔结合,0人关注 / 1个月以前发布,69.8,"7,756元/平"
荷塘星城精装三房 家电齐全 品牌,荷塘星城小区 -大润发,3室2厅 | 112.73平米 | 南 北 | 精装 | 中楼层(共29层)  | 暂无数据,0人关注 / 1个月以前发布,75.8,"6,725元/平"
龙腾国际 3室2厅 南 北,龙腾国际 -湖南工业大学,3室2厅 | 111平米 | 南 北 | 精装 | 低楼层(共18层)  | 板塔结合,10人关注 / 3个月以前发布,68,"6,127元/平"
各大型商场、菜市场、医院、公园、娱乐场所等等都有,西子花园 -大润发,3室2厅 | 128平米 | 南 | 精装 | 中楼层(共12层)  | 板塔结合,0人关注 / 1个月以前发布,69,"5,391元/平"
徐家桥步行街步梯中间楼层，全新装修三房，拎包入住,建宁新村 -徐家桥商业步行街,3室1厅 | 72.07平米 | 南 北 | 精装 | 中楼层(共7层)  | 板楼,0人关注 / 1个月以前发布,33.8,"4,690元/平"
小三房，户型周正，采光好，视野开阔,港口街56号 -九天国际广场,3室1厅 | 63.62平米 | 南 北 | 精装 | 低楼层(共6层)  | 暂无数据,3人关注 / 5个月以前发布,34.8,"5,470元/平"
雅礼*中建江湾壹号 毛坯大四房 满两年江景视野采光好,中建江湾壹号 -湖南工业大学,4室2厅 | 140平米 | 南 北 | 毛坯 | 高楼层(共33层)  | 板塔结合,5人关注 / 一年前发布,88.8,"6,343元/平"
武广板块 白鹤凌溪 南北通透 大三房 双阳台 环境优美,华晨·山水洲城 -株洲西站,4室2厅 | 137.89平米 | 南 北 | 毛坯 | 中楼层(共32层)  | 板塔结合,5人关注 / 7个月以前发布,79.8,"5,788元/平"
建宁 单位院子好停车 中间楼层 精致三房 去年翻新装修,大湖塘二村 -神农城,3室2厅 | 97平米 | 南 北 | 精装 | 中楼层(共7层)  | 板楼,1人关注 / 1个月以前发布,46.8,"4,825元/平"
日盛·桂花城3-2-1-2 104.00m²,日盛·桂花城 -株洲西站,3室2厅 | 104平米 | 东南 | 毛坯 | 中楼层(共33层)  | 板塔结合,0人关注 / 1个月以前发布,63,"6,058元/平"
拎包入住，精装，楼层好，地段好，小三房，业主急售,保利花园 -滨江广场,3室1厅 | 92.09平米 | 南 | 精装 | 中楼层(共8层)  | 板楼,0人关注 / 1个月以前发布,52.8,"5,734元/平"
万达广场，全新精装大两房，因业主外地发展变卖.,兰天一村 -向阳广场,2室2厅 | 92平米 | 南 | 精装 | 低楼层(共29层)  | 板塔结合,0人关注 / 10个月以前发布,50.8,"5,522元/平"
田心泉塘花园小区 电梯精装两房   拎包入住,泉塘花園 -田心,2室2厅 | 91.72平米 | 北 | 精装 | 高楼层(共18层)  | 暂无数据,0人关注 / 5个月以前发布,35,"3,816元/平"
田心泉塘花园精装两房一厅一卫出售,泉塘花園 -田心,2室1厅 | 88.36平米 | 南 | 精装 | 高楼层(共18层)  | 暂无数据,5人关注 / 3个月以前发布,32.8,"3,713元/平"
万达商圈精装两房拎包入住带车位,城发郦城 -向阳广场,2室2厅 | 87.62平米 | 南 | 精装 | 低楼层(共32层)  | 板塔结合,0人关注 / 4个月以前发布,61,"6,962元/平"
电梯精装3房，家具电器齐全直接拎包入住，读银海,湘银小区世纪花园 -滨江广场,3室2厅 | 118平米 | 南 | 精装 | 低楼层(共13层)  | 板楼,5人关注 / 7个月以前发布,58.8,"4,984元/平"
工大旁 西郡佳园 电梯两房 全新装修未入住,西郡佳园五期 -湖南工业大学,2室1厅 | 97.2平米 | 南 | 精装 | 中楼层(共18层)  | 暂无数据,0人关注 / 1个月以前发布,66.8,"6,873元/平"
房主诚心出售，楼层好，单价便宜，停车方便,天元机关小区 -庐山路,4室2厅 | 171平米 | 南 | 精装 | 中楼层(共7层)  | 板楼,1人关注 / 8个月以前发布,75,"4,386元/平"
红旗广场商圈 精装三房  拎包入住,怡诚花园 -向阳广场,3室1厅 | 108平米 | 南 | 精装 | 高楼层(共6层)  | 暂无数据,0人关注 / 3个月以前发布,40.8,"3,778元/平"
全新精装修小三房 电梯中间楼层 满两年,日盛·山湖城 -株洲西站,3室2厅 | 98平米 | 南 北 | 精装 | 中楼层(共33层)  | 板塔结合,0人关注 / 2个月以前发布,68.8,"7,021元/平"
香博堡国际精装修三房证满五年，户型好，采光通风好,香博堡国际 -响石广场,3室2厅 | 107.03平米 | 南 | 精装 | 高楼层(共18层)  | 暂无数据,0人关注 / 4个月以前发布,55.8,"5,214元/平"
文化园 下楼就是公园，户型好，采光好 ，诚心出售,汇侨文化园 -贺嘉土,3室2厅 | 128平米 | 南 | 精装 | 高楼层(共31层)  | 板楼,0人关注 / 3个月以前发布,83.8,"6,547元/平"
美的城带简单两房还有一间阳光房诚心出售单价5700,美的城 -栗雨（美的城）,3室2厅 | 80.3平米 | 南 | 简装 | 中楼层(共33层)  | 板塔结合,0人关注 / 2个月以前发布,40,"4,982元/平"
此房已满两年，税费比较低，楼层中等，夏季很凉快，,明月湖小区 -神农城,3室2厅 | 101平米 | 东南 | 精装 | 中楼层(共6层)  | 板楼,3人关注 / 2个月以前发布,51,"5,050元/平"
红旗广场，精装修1楼3房，带院子，户型周正，拎包入住,宴家湾村 -红旗广场,3室2厅 | 64平米 | 南 | 精装 | 低楼层(共5层)  | 暂无数据,0人关注 / 2个月以前发布,28.8,"4,500元/平"
翰林府三期 全新硬装  可读长郡  采光通风佳 随时看房,翰林府三期 -株洲北,3室2厅 | 110.66平米 | 南 | 精装 | 低楼层(共34层)  | 暂无数据,0人关注 / 3个月以前发布,69.8,"6,308元/平"
居家装修，视野广阔、房龄新、小区环境好,华晨·山水洲城 -株洲西站,3室2厅 | 111.86平米 | 南 | 毛坯 | 低楼层(共31层)  | 板塔结合,28人关注 / 一年前发布,50,"4,470元/平"
中瑞曼哈顿花园3-1-1-2 139.00m²毛坯 81.8 万,中瑞曼哈顿花园 -高家坳,3室1厅 | 139平米 | 南 北 | 毛坯 | 中楼层(共23层)  | 板塔结合,0人关注 / 3个月以前发布,8.18,589元/平
满两年，户型好，通风采光好，属于小高层,经世龙城 -栗雨（美的城）,4室2厅 | 166.13平米 | 南 北 | 毛坯 | 低楼层(共17层)  | 板塔结合,3人关注 / 4个月以前发布,96.8,"5,827元/平"
一线江景、居家大5房带中秧空调，，带露台，,大江观邸 -株洲大道（体育馆）,4室2厅 | 149.85平米 | 南 | 精装 | 中楼层(共24层)  | 板塔结合,0人关注 / 1个月以前发布,112,"7,475元/平"
神龙公园商圈，房子周正通风性好，可以看到神农公园湖,市建生活小区 -贺嘉土,4室2厅 | 148平米 | 西 | 精装 | 中楼层(共8层)  | 板楼,1人关注 / 1个月以前发布,68,"4,595元/平"
全新精装小三房，三开间朝南，带两个阳台,西郡佳园 -湖南工业大学,3室2厅 | 87平米 | 南 | 精装 | 中楼层(共18层)  | 板塔结合,0人关注 / 1个月以前发布,63.8,"7,334元/平"
流芳公园旁全新装修两房中间楼层家电齐全,新华东路98号 -向阳广场,2室1厅 | 56.89平米 | 南 | 精装 | 中楼层(共5层)  | 暂无数据,16人关注 / 6个月以前发布,26.8,"4,711元/平"
新华东路主干道 精装大两房 中间楼层,嶺秀天下 -荷塘区,2室1厅 | 89.54平米 | 南 北 | 精装 | 中楼层(共24层)  | 板塔结合,4人关注 / 6个月以前发布,43,"4,803元/平"
高科集团  周正大二房 全明户型，采光好,高科慧谷阳光 -栗雨（美的城）,2室2厅 | 101平米 | 南 | 简装 | 中楼层(共28层)  | 板塔结合,0人关注 / 一年前发布,56.8,"5,624元/平"
万达广场，精装两房，诚心出售，随时可以看房,恒大御景湾 -荷塘区,2室1厅 | 78.61平米 | 东南 | 精装 | 低楼层(共29层)  | 暂无数据,27人关注 / 一年前发布,36,"4,580元/平"
租不如买 红旗广场 首付4万买精装公寓 有钥匙,奥园爱丁堡 -红旗广场,1室1厅 | 37平米 | 南 | 精装 | 高楼层(共24层)  | 暂无数据,4人关注 / 一年前发布,16.8,"4,541元/平"
小区环境优美，适合养老居家，楼层好视野好,煤田小区 -向阳广场,2室1厅 | 53.7平米 | 南 | 精装 | 中楼层(共5层)  | 板楼,3人关注 / 6个月以前发布,16,"2,980元/平"
湘湾小区B区 1室1厅 南,湘湾小区B区 -栗雨（美的城）,1室1厅 | 51.73平米 | 南 | 其他 | 高楼层(共7层)  | 板塔结合,0人关注 / 1个月以前发布,16.8,"3,248元/平"
恒大名都 2室1厅 南 北,恒大名都 -神农城,2室1厅 | 79.49平米 | 南 北 | 精装 | 高楼层(共32层)  | 塔楼,1人关注 / 3个月以前发布,51,"6,416元/平"
