标题,开发商,房子信息,发布信息,售价/万,单价
此房精装修拎包入住，楼层好 视野开阔，生活便利。。,凯旋中央城 -吉州区,2室2厅 | 84.28平米 | 南 北 | 精装 | 高楼层(共29层)  | 板塔结合,0人关注 / 22天以前发布,75.8,"8,994元/平"
城南碧桂园二期环境优美，精装三房户型朝南,碧桂园正荣庐陵府Ⅱ期 -吉州区,3室2厅 | 107.52平米 | 南 | 精装 | 中楼层(共24层)  | 板楼,8人关注 / 一年前发布,107,"9,952元/平"
城南小区，4房精装修，满2年，看房方便，价格可谈,恒源泰·锦绣香江 -吉州区,4室2厅 | 97.28平米 | 南 | 精装 | 低楼层(共6层)  | 板楼,2人关注 / 3个月以前发布,81,"8,327元/平"
滨江三期，大两房，沿江路上风景好。,滨江三期 -吉州区,2室2厅 | 114.41平米 | 南 北 | 简装 | 中楼层(共9层)  | 板楼,7人关注 / 10个月以前发布,58,"5,070元/平"
江边的小区，中间楼层2房精装修，家具家电齐全,滨江春天 -青原区,2室2厅 | 86.13平米 | 南 | 精装 | 中楼层(共20层)  | 板楼,0人关注 / 1个月以前发布,57,"6,618元/平"
吉州区，天一园旁南北两房，满二，低楼层诚售。,江西七0六电视调频台宿舍 -吉州区,2室1厅 | 62.79平米 | 南 北 | 简装 | 低楼层(共5层)  | 板楼,0人关注 / 6天以前发布,68,"10,830元/平"
枫丹白露毛坯3室2厅2卫，中上楼层户型方正 光照时间长,江报枫丹白露 -吉州区,3室2厅 | 126.47平米 | 南 北 | 毛坯 | 高楼层(共27层)  | 塔楼,0人关注 / 11天以前发布,138,"10,912元/平"
阳光小区新出好房源，简单装修带柴间出售,阳光小区 -吉水县,3室2厅 | 102.44平米 | 南 北 | 简装 | 高楼层(共7层)  | 板楼,0人关注 / 15天以前发布,55,"5,369元/平"
此房满二年户型方正，好楼层，采光充足，交通生活便利,江报枫丹白露 -吉州区,3室2厅 | 125.71平米 | 南 北 | 毛坯 | 中楼层(共28层)  | 板楼,1人关注 / 12天以前发布,132,"10,501元/平"
百乐苑在县中红绿灯处，上学好方便，房子在1楼，是3房,百乐苑 -吉安县,3室2厅 | 143.45平米 | 南 | 简装 | 低楼层(共7层)  | 板楼,0人关注 / 14天以前发布,87,"6,065元/平"
庐境园，3房简装修，带露台阳光棚，户型好，格局大方,庐境园 -吉州区,3室2厅 | 144.71平米 | 南 北 | 简装 | 高楼层(共8层)  | 塔楼,0人关注 / 8天以前发布,105,"7,256元/平"
格局好。拎包入住，赣江边，空气好，风景好,康居帝景湾二期、三期 -吉州区,5室2厅 | 188.56平米 | 南 | 简装 | 高楼层(共6层)  | 板楼,0人关注 / 4天以前发布,133,"7,054元/平"
海尔-学-校旁边的婚房三房俩厅俩卫一厨,御品国际 -吉安县,3室2厅 | 108.96平米 | 南 | 精装 | 中楼层(共15层)  | 塔楼,1人关注 / 4天以前发布,95,"8,719元/平"
总价低，南北双阳台，实用面积大，视野广阔，采光通透,城北温馨家苑 -吉安县,3室2厅 | 109.89平米 | 南 | 简装 | 高楼层(共6层)  | 板楼,0人关注 / 25天以前发布,59,"5,370元/平"
此房精装修格局好，方正，采光好，中间楼层,现代城 -青原区,3室2厅 | 100.11平米 | 南 北 | 精装 | 中楼层(共23层)  | 塔楼,0人关注 / 22天以前发布,84,"8,391元/平"
精装修全屋集成吊顶，直接拎包入住，产证满二税费低。,龙庭博雅轩 -吉安县,3室2厅 | 109.85平米 | 东南 南 | 精装 | 低楼层(共16层)  | 板楼,0人关注 / 8天以前发布,88,"8,011元/平"
城建花苑毛坯三房，户型通透小区物业绿化很好,城建花苑 -吉州区,3室2厅 | 122.42平米 | 南 | 毛坯 | 高楼层(共25层)  | 板楼,0人关注 / 5天以前发布,115,"9,394元/平"
老师范 金麟府 好楼层 通透边3居,东投金鳞府 -吉州区,3室2厅 | 102.2平米 | 南 | 毛坯 | 中楼层(共14层)  | 板楼,0人关注 / 8天以前发布,189,"18,494元/平"
房子满二年，房子视野开阔，采光充足,恒大帝景 -吉州区,2室2厅 | 95.47平米 | 南 | 精装 | 中楼层(共30层)  | 板楼,0人关注 / 5天以前发布,84.5,"8,851元/平"
御品国际，花园新小区，户型方正，兴华小 学旁,御品国际 -吉安县,3室2厅 | 109平米 | 南 | 毛坯 | 中楼层(共16层)  | 板楼,0人关注 / 8天以前发布,87,"7,982元/平"
老街红商诺贝尔小区大面积宽敞4房 15楼视野采光佳,红商诺贝尔国际 -吉安县,4室2厅 | 143.49平米 | 南 北 | 毛坯 | 高楼层(共16层)  | 暂无数据,0人关注 / 5天以前发布,128.7,"8,970元/平"
上江界 边户，毛坯房自由装修 出行便利,上江界 -青原区,3室2厅 | 121.19平米 | 南 北 | 毛坯 | 中楼层(共30层)  | 塔楼,0人关注 / 28天以前发布,85.5,"7,056元/平"
新小区 电梯房 中间楼层 东边户 户型方正 南北对流,龙鑫家园 -吉安县,3室2厅 | 92.2平米 | 东南 | 毛坯 | 高楼层(共16层)  | 板楼,0人关注 / 20天以前发布,79,"8,569元/平"
凯旋翰林府精装两房，满两年业主诚心出售，带个车位,凯旋翰林府 -吉州区,2室2厅 | 78.29平米 | 南 | 精装 | 高楼层(共26层)  | 板楼,0人关注 / 6天以前发布,94,"12,007元/平"
小区绿化好，环境优美，配套齐。,东山名苑 -吉水县,5室2厅 | 134.99平米 | 南 | 毛坯 | 低楼层(共8层)  | 板楼,1人关注 / 30天以前发布,139,"10,298元/平"
老井冈山大桥旁，精装四房，好楼层，无遮挡，可看江景,天龙花园 -吉州区,4室2厅 | 138.38平米 | 东 | 精装 | 中楼层(共7层)  | 塔楼,0人关注 / 21天以前发布,150,"10,840元/平"
重磅地段（唯一好房）好小区好物业,凯旋翰林府 -吉州区,3室2厅 | 114.99平米 | 南 北 | 精装 | 中楼层(共26层)  | 板楼,0人关注 / 18天以前发布,135,"11,741元/平"
房子大三房，公摊小，装修保养好，小区环境好。,梅苑小区 -青原区,3室2厅 | 131.27平米 | 南 | 精装 | 中楼层(共7层)  | 板楼,0人关注 / 10天以前发布,80.5,"6,133元/平"
盛世名门新小区，毛坯大三房，业主诚心出售看房方便。,盛世名门 -吉安县,3室2厅 | 131.79平米 | 南 北 | 毛坯 | 高楼层(共18层)  | 板楼,0人关注 / 4天以前发布,95,"7,209元/平"
户型方正采光好，离校园近，环境不错,学府嘉园 -青原区,3室2厅 | 111平米 | 东南 | 精装 | 高楼层(共15层)  | 板楼,0人关注 / 6天以前发布,64,"5,766元/平"
产证满五唯一，户型好，楼层好，大阳台，房子保养干净,天立花园云河苑 -青原区,3室2厅 | 128.63平米 | 南 北 | 简装 | 低楼层(共7层)  | 板楼,0人关注 / 5天以前发布,73,"5,676元/平"
外贸局宿舍，读书方便，离天虹，沃尔玛方便,外贸局宿舍 -吉州区,2室2厅 | 63.14平米 | 南 北 | 简装 | 低楼层(共6层)  | 板楼,0人关注 / 30天以前发布,68,"10,770元/平"
城北优质小区精装修舒适度高采光充足朝南无遮挡,文澜府白鹭 -吉州区,3室2厅 | 108.28平米 | 南 | 精装 | 高楼层(共23层)  | 暂无数据,0人关注 / 19天以前发布,107.8,"9,956元/平"
城北阳光房带车位，配套齐全，安家这里省心,鑫鼎商业广场 -永新县,3室2厅 | 113.06平米 | 南 | 毛坯 | 中楼层(共17层)  | 暂无数据,0人关注 / 2个月以前发布,83,"7,342元/平"
城南凯旋世纪通透边户三房 好楼层 业主外地买房至换。,凯旋世纪城 -吉州区,3室2厅 | 113.54平米 | 南 | 毛坯 | 高楼层(共21层)  | 板楼,1人关注 / 8个月以前发布,92,"8,103元/平"
望江村住宅小区，3房2厅，楼层好,望江村住宅小区 -吉州区,3室2厅 | 109.87平米 | 南 | 简装 | 中楼层(共7层)  | 板塔结合,3人关注 / 一年前发布,112,"10,194元/平"
"中央公园西区三房2厅2卫,中间楼层，毛坯房，价格好！",中央公园西区 -吉州区,3室2厅 | 113.02平米 | 南 | 毛坯 | 低楼层(共14层)  | 板楼,0人关注 / 13天以前发布,113,"9,999元/平"
骡子山公园旁，毛坯三房，好楼层，户型方正,汇丰御园 -吉州区,3室2厅 | 114.05平米 | 南 | 毛坯 | 中楼层(共20层)  | 板楼,1人关注 / 17天以前发布,70,"6,138元/平"
滨江外滩江景 大3房 房东外地置业 诚心出售 产证满2年,滨江外滩 -泰和县,3室2厅 | 125.94平米 | 南 北 | 毛坯 | 中楼层(共23层)  | 板楼,1人关注 / 3个月以前发布,99,"7,861元/平"
户型方正，采光通透，配套齐全近老街,龙锦花苑小区 -吉安县,3室2厅 | 129.36平米 | 南 | 精装 | 中楼层(共11层)  | 板楼,3人关注 / 一年前发布,100,"7,731元/平"
房子是满五多套，精装修直接拎包入住大三房。,穗华名郡 -吉州区,3室2厅 | 133.46平米 | 南 | 精装 | 中楼层(共11层)  | 板楼,9人关注 / 7个月以前发布,118,"8,842元/平"
泰发茗城3房2厅2卫，毛坯房，好楼层,泰发茗城 -泰和县,3室2厅 | 107.66平米 | 南 北 | 毛坯 | 中楼层(共30层)  | 暂无数据,4人关注 / 7个月以前发布,82,"7,617元/平"
小区环境优雅，交通便利，视野开阔！,街心嘉园 -吉水县,3室2厅 | 99.7平米 | 南 北 | 简装 | 低楼层(共7层)  | 塔楼,1人关注 / 3个月以前发布,80.9,"8,115元/平"
达观天下一期四房毛坯业主诚心卖有钥匙满2年,达观天下一期 -吉州区,4室2厅 | 143.28平米 | 南 北 | 毛坯 | 低楼层(共15层)  | 板楼,5人关注 / 7个月以前发布,93,"6,491元/平"
业主诚心出售，价格可以谈，简单装修,康居外滩 -青原区,3室2厅 | 111.24平米 | 南 | 简装 | 低楼层(共18层)  | 板楼,0人关注 / 5个月以前发布,80,"7,192元/平"
新白鹭，城南广场，铜罗湾天虹购物广场。医院,学府壹号 -吉州区,3室2厅 | 84.49平米 | 南 | 简装 | 低楼层(共6层)  | 板塔结合,0人关注 / 1个月以前发布,63,"7,457元/平"
地段好，楼层好，采光好，精装修，房东急卖！,鼎馨花园 -青原区,4室2厅 | 160.12平米 | 南 北 | 精装 | 高楼层(共24层)  | 板楼,4人关注 / 5个月以前发布,115,"7,183元/平"
滨江公园大三房精装修诚意出售满五唯一配套成熟方便,上江界 -青原区,3室2厅 | 122平米 | 北 | 精装 | 高楼层(共30层)  | 塔楼,1人关注 / 7个月以前发布,85.5,"7,009元/平"
朝阳城3房东边户，出证满2年视野开阔望东投读书近,信业朝阳城 -吉州区,3室2厅 | 122.6平米 | 南 | 毛坯 | 中楼层(共21层)  | 暂无数据,0人关注 / 15天以前发布,136,"11,093元/平"
印象城 3室2厅 南,印象城 -吉州区,3室2厅 | 137.82平米 | 南 | 毛坯 | 高楼层(共33层)  | 板塔结合,0人关注 / 14天以前发布,122,"8,853元/平"
房子采光好，环境好，户型方正，楼层好。,康居外滩 -青原区,3室2厅 | 126.56平米 | 南 | 毛坯 | 中楼层(共26层)  | 塔楼,1人关注 / 5个月以前发布,92,"7,270元/平"
双阳台边户 满五唯一过户费低 南北双阳台精装房,康居外滩 -青原区,3室2厅 | 119.74平米 | 南 | 精装 | 中楼层(共26层)  | 板楼,2人关注 / 7个月以前发布,95,"7,934元/平"
小区门口多路公交车 可抵达广场天虹 达观天下二期,达观天下二期 -吉州区,3室2厅 | 115.98平米 | 南 北 | 毛坯 | 中楼层(共27层)  | 板楼,3人关注 / 7个月以前发布,82,"7,071元/平"
此房满五多套，户型方正，南北空气对流，阳光充足,光彩桂香园 -吉水县,3室2厅 | 128平米 | 南 | 简装 | 高楼层(共6层)  | 板楼,0人关注 / 3个月以前发布,75,"5,860元/平"
此房满5唯1，税费低，精装修，拧包入住,汇鑫国际 -吉州区,3室2厅 | 127.7平米 | 东 | 精装 | 低楼层(共17层)  | 板楼,2人关注 / 4个月以前发布,103,"8,066元/平"
小区环境优雅，，交通便利，配套齐全，，，，,山水豪城 -吉水县,3室2厅 | 113.16平米 | 南 北 | 毛坯 | 中楼层(共18层)  | 板塔结合,3人关注 / 8个月以前发布,73,"6,452元/平"
县中旁，龙湖边，复式楼上下两层带大露台，观赏湖景,龙湖左岸2期 -吉安县,5室2厅 | 242.3平米 | 南 | 毛坯 | 高楼层(共7层)  | 板楼,0人关注 / 7天以前发布,95,"3,921元/平"
生活、交通便利的采光好，森林公园旁，教育环境优越,兴华路144附1号 -吉安县,4室2厅 | 143.98平米 | 南 北 | 精装 | 中楼层(共6层)  | 暂无数据,1人关注 / 9个月以前发布,78,"5,418元/平"
户型方正，客厅阳台朝南。阳光充足,恒大帝景 -吉州区,3室2厅 | 105.4平米 | 南 北 | 精装 | 低楼层(共26层)  | 板楼,0人关注 / 2个月以前发布,88,"8,350元/平"
泽盛二期，三房两厅两卫、中间好楼层。,泽盛中心城二期A区 -泰和县,3室2厅 | 115.2平米 | 南 北 | 毛坯 | 高楼层(共23层)  | 暂无数据,3人关注 / 5个月以前发布,80.8,"7,014元/平"
交通便利，楼层好，配套齐全，菜市场就在旁边,敦石小区 -吉安县,3室2厅 | 151.01平米 | 南 北 | 简装 | 低楼层(共7层)  | 板楼,5人关注 / 一年前发布,77.8,"5,152元/平"
御品国际，新小区，海尔旁绿化好,御品国际 -吉安县,4室2厅 | 122.75平米 | 南 北 | 毛坯 | 高楼层(共16层)  | 板楼,1人关注 / 2个月以前发布,99,"8,066元/平"
东投金鳞府 3室2厅 南,东投金鳞府 -吉州区,3室2厅 | 127平米 | 南 | 毛坯 | 高楼层(共14层)  | 板楼,0人关注 / 8天以前发布,229,"18,032元/平"
上江界，大阳台，阳光 充足，业主诚心出售,上江界 -青原区,3室2厅 | 120.86平米 | 南 北 | 毛坯 | 低楼层(共31层)  | 塔楼,0人关注 / 7天以前发布,81,"6,702元/平"
房子满五唯一，精装修，南北通透，带柴间出售。,山水豪城 -吉水县,3室2厅 | 117.5平米 | 南 北 | 精装 | 中楼层(共8层)  | 板楼,0人关注 / 5天以前发布,88,"7,490元/平"
学府公馆豪 装三房，房东急卖，全屋空调。,学府公馆 -吉州区,3室2厅 | 109.53平米 | 南 | 精装 | 低楼层(共24层)  | 板楼,0人关注 / 4天以前发布,152,"13,878元/平"
满五唯一的精装二房好楼层得房率高小区停车方便。。。,井大阳光城 -青原区,2室1厅 | 87平米 | 南 | 简装 | 低楼层(共6层)  | 板塔结合,0人关注 / 14天以前发布,54.5,"6,265元/平"
井大阳光城三期 2室1厅 西南,井大阳光城三期 -青原区,2室1厅 | 41.78平米 | 西南 | 简装 | 中楼层(共28层)  | 塔楼,0人关注 / 15天以前发布,18,"4,309元/平"
满五 多套，是商品房，大两房，步行出行，配套完善，,道署坪十字街 -吉州区,2室2厅 | 71.13平米 | 南 | 精装 | 高楼层(共6层)  | 平房,0人关注 / 9天以前发布,86,"12,091元/平"
水韵蓝湾：满二年品牌精装修新房，采光充足，视野好,水韵蓝湾 -吉州区,1室1厅 | 48.34平米 | 南 | 精装 | 中楼层(共28层)  | 板塔结合,0人关注 / 6天以前发布,39,"8,068元/平"
城南精装大三房 南 北通透户型 拎包入住,阳光花园 -遂川县,3室2厅 | 114.95平米 | 东南 | 精装 | 中楼层(共7层)  | 板楼,0人关注 / 4天以前发布,63.8,"5,551元/平"
老街房地段不错，精装修的大三房 上学购物、交通方便,吉州路5号 -吉安县,3室2厅 | 93.41平米 | 南 | 精装 | 中楼层(共7层)  | 暂无数据,0人关注 / 21天以前发布,66,"7,066元/平"
鹏华国际 精装四房 拎包入住  看房随时联系 产证在手,鹏華·国際華城 -吉州区,4室2厅 | 137.27平米 | 南 北 | 精装 | 低楼层(共30层)  | 板楼,0人关注 / 23天以前发布,128,"9,325元/平"
中央首府，江景房，好楼层毛坯自由装修，3+1户型。,中央首府 -吉水县,3室2厅 | 107.1平米 | 南 北 | 毛坯 | 低楼层(共33层)  | 暂无数据,0人关注 / 18天以前发布,103,"9,618元/平"
地段好，菜市场旁边，此价带19.07平柴间，大3房。,供销合作社宿舍楼 -吉安县,3室2厅 | 92平米 | 南 | 简装 | 低楼层(共7层)  | 暂无数据,0人关注 / 18天以前发布,62,"6,740元/平"
达观洲悦3房洋房，毛肧房，南北通透户型,达观洲悦 -吉水县,3室2厅 | 107.59平米 | 南 北 | 毛坯 | 高楼层(共7层)  | 暂无数据,0人关注 / 24天以前发布,75,"6,971元/平"
业主诚心出售！市区C位！园林式小区,恒源泰荣诚 -吉州区,3室2厅 | 112.21平米 | 南 | 毛坯 | 中楼层(共32层)  | 板楼,0人关注 / 19天以前发布,118,"10,516元/平"
开阳星苑精装修，拎包入住，地段在富川路,开阳星苑 -吉安县,3室2厅 | 126.33平米 | 南 东南 | 精装 | 高楼层(共6层)  | 板楼,1人关注 / 11个月以前发布,96,"7,600元/平"
上江界户型通透3房，采光好，满两年过户便宜,上江界 -青原区,3室2厅 | 118.77平米 | 南 北 | 精装 | 高楼层(共34层)  | 板楼,0人关注 / 3个月以前发布,99,"8,336元/平"
房东诚意出售，精装修大三房边户,理想城南区 -青原区,3室2厅 | 128.85平米 | 南 | 精装 | 中楼层(共32层)  | 板塔结合,0人关注 / 3个月以前发布,90,"6,985元/平"
城南达观学府三房毛坯，业主诚心出售。,达观学府 -吉州区,3室2厅 | 119.48平米 | 南 北 | 毛坯 | 高楼层(共25层)  | 暂无数据,2人关注 / 2个月以前发布,95,"7,952元/平"
小区位置好，买卖方便，九年义务近，交通便利,理想城南区 -青原区,4室2厅 | 149平米 | 南 北 | 毛坯 | 高楼层(共33层)  | 板塔结合,0人关注 / 11天以前发布,83,"5,571元/平"
精装，产证满五年，楼梯房公摊面积小，南北通透方正。,浅水湾小区 -泰和县,3室2厅 | 128.42平米 | 南 北 | 精装 | 低楼层(共6层)  | 板楼,0人关注 / 7天以前发布,89,"6,931元/平"
三房两卫精装修拎包入住满两年边户 户型好中间楼层,凯旋世纪城 -吉州区,3室2厅 | 113.81平米 | 南 | 精装 | 中楼层(共28层)  | 板楼,0人关注 / 8天以前发布,106,"9,314元/平"
凯旋翰林府三房精装修，业主诚心出售。,凯旋翰林府 -吉州区,3室2厅 | 115平米 | 南 | 精装 | 高楼层(共26层)  | 板楼,0人关注 / 3天以前发布,121.8,"10,592元/平"
紫郡花园洋房，精装两房 好楼层 好户型 业主诚心出售,紫郡花园 -吉州区,2室2厅 | 89.04平米 | 南 | 精装 | 低楼层(共11层)  | 板楼,0人关注 / 30天以前发布,66,"7,413元/平"
此房满五唯一 过户费低 总J 位置还可以,北门街129号 -吉州区,3室1厅 | 78.94平米 | 东 | 简装 | 中楼层(共8层)  | 暂无数据,0人关注 / 20天以前发布,57.6,"7,297元/平"
八中旁中寰小区 正三房 读书生活方便,中寰名城 -吉州区,3室2厅 | 123.83平米 | 南 北 | 简装 | 中楼层(共7层)  | 板塔结合,8人关注 / 3个月以前发布,117,"9,449元/平"
近公园和石阳 天一园 精装修 大平层,天一园 -吉州区,5室2厅 | 183.52平米 | 南 | 简装 | 中楼层(共8层)  | 板楼,0人关注 / 6个月以前发布,155.2,"8,457元/平"
房子满了5年唯1，中间楼层，视野开阔，采光很好,华厦江岸星城 -吉州区,3室2厅 | 103.71平米 | 南 | 精装 | 低楼层(共25层)  | 板楼,0人关注 / 3个月以前发布,96,"9,257元/平"
楼层好，视野广阔，是小区的主打户型。,汇丰御园 -吉州区,3室2厅 | 121平米 | 南 | 毛坯 | 中楼层(共18层)  | 板楼,0人关注 / 11天以前发布,73,"6,034元/平"
产证在手，楼层好精装修，拎包入住,庐贤雅居 -吉安县,3室2厅 | 97.18平米 | 南 | 精装 | 高楼层(共33层)  | 板楼,1人关注 / 3个月以前发布,65,"6,689元/平"
小区环境好，离公园近。居住舒适，电梯房，配套齐全。,金廬一號 -吉州区,3室2厅 | 123.36平米 | 南 | 精装 | 高楼层(共26层)  | 板楼,0人关注 / 10天以前发布,73.6,"5,967元/平"
浅水湾3房2厅2卫，才5700一平米，实惠,浅水湾小区 -泰和县,3室2厅 | 119平米 | 南 北 | 精装 | 低楼层(共7层)  | 板楼,0人关注 / 10天以前发布,68,"5,715元/平"
望江郡府 4室2厅 南,望江郡府 -吉水县,4室2厅 | 129.92平米 | 南 | 精装 | 高楼层(共7层)  | 板楼,0人关注 / 1个月以前发布,78,"6,004元/平"
龙华中大道艺术广场开心附三房精装修未入住中上楼层,龙华中大道 -吉水县,3室2厅 | 100.69平米 | 东 西 | 精装 | 高楼层(共6层)  | 暂无数据,0人关注 / 1个月以前发布,67.8,"6,734元/平"
鸿运楼，精装修三房两厅拎包入住,鸿运楼 -永新县,3室2厅 | 101.67平米 | 西南 | 精装 | 中楼层(共9层)  | 板楼,0人关注 / 7个月以前发布,79.6,"7,830元/平"
市委大院  好停车  正四房 满五年 中间楼层,市委大院 -吉州区,4室2厅 | 136.61平米 | 南 | 简装 | 中楼层(共7层)  | 板楼,2人关注 / 6个月以前发布,180,"13,177元/平"
经开区国道旁精装大三房双阳台采光好出行方便拎包入住,智慧城 -吉安县,3室2厅 | 121.67平米 | 南 北 | 精装 | 高楼层(共22层)  | 板楼,0人关注 / 4个月以前发布,80,"6,576元/平"
滨江 首 府，精装三房，家具家电齐全，直接拎包入住,滨江首府 -青原区,3室2厅 | 127.9平米 | 南 北 | 精装 | 高楼层(共33层)  | 板楼,0人关注 / 2个月以前发布,97,"7,585元/平"
天龙花园3室2厅精装修急卖急卖中间楼层,天龙花园 -吉州区,3室2厅 | 135.7平米 | 南 | 精装 | 中楼层(共7层)  | 塔楼,3人关注 / 4个月以前发布,145,"10,686元/平"
有院子，有洗衣间，有储藏，还有以大阳台,金岸 · 锦绣文山 -吉州区,3室3厅 | 162.62平米 | 南 北 | 精装 | 低楼层(共6层)  | 塔楼,6人关注 / 8个月以前发布,190,"11,684元/平"
房子毛坯房，房东在诚心卖，带一车位，楼层佳,理想城南区 -青原区,3室2厅 | 145.5平米 | 南 北 | 毛坯 | 中楼层(共21层)  | 塔楼,0人关注 / 30天以前发布,66,"4,537元/平"
城南新小区，光线充足，户型方正，交通方便，环境好；,南澳公馆 -吉州区,3室2厅 | 128平米 | 南 | 精装 | 高楼层(共26层)  | 板楼,0人关注 / 23天以前发布,108,"8,438元/平"
正两房，总价低 ，房屋格局好，大阳台,鹏華·国際華城 -吉州区,2室2厅 | 90.01平米 | 南 | 精装 | 高楼层(共17层)  | 板楼,0人关注 / 1个月以前发布,83,"9,222元/平"
好户型  好楼层   好房源  精装修,学府壹号 -吉州区,2室2厅 | 70.6平米 | 南 北 | 精装 | 低楼层(共18层)  | 暂无数据,0人关注 / 13天以前发布,58,"8,216元/平"
天龙花园大2房，中高层江景房，业主诚心卖，看房方便,天龙花园 -吉州区,2室2厅 | 106.06平米 | 南 | 毛坯 | 高楼层(共26层)  | 板楼,0人关注 / 12天以前发布,113.8,"10,730元/平"
配套设施齐全，交通便利，楼层好可以冬暧夏凉。,沁章花园 -吉水县,2室1厅 | 48.54平米 | 西南 | 简装 | 低楼层(共7层)  | 板楼,6人关注 / 一年前发布,12.8,"2,638元/平"
此房户型方正，空气对流.适合居家,阳光花园 -遂川县,3室2厅 | 113.85平米 | 南 | 精装 | 中楼层(共8层)  | 板楼,0人关注 / 7天以前发布,63,"5,534元/平"
市委大院旁， 2房简装读书近，单位房实际面积更大,道署坪十字街 -吉州区,2室1厅 | 56.43平米 | 南 北 | 简装 | 高楼层(共7层)  | 板楼,0人关注 / 8天以前发布,68,"12,051元/平"
城南恒大帝景正两房，环境优美，居住舒适,恒大帝景 -吉州区,2室1厅 | 95.46平米 | 南 | 精装 | 低楼层(共32层)  | 板塔结合,0人关注 / 2个月以前发布,80,"8,381元/平"
铜锣湾中 央公园 南 北双阳台大四房 好楼层 满两年,中央公园西区 -吉州区,4室2厅 | 136.57平米 | 南 | 毛坯 | 高楼层(共24层)  | 板楼,1人关注 / 28天以前发布,150,"10,984元/平"
