标题,开发商,房子信息,发布信息,售价/万,单价
西咸新区秦创园低密度墅区叠拼诚意出售,阳光城壹号蔷薇溪谷 -秦都区,3室1厅 | 167.75平米 | 南 | 精装 | 上叠(共4层)  | 板楼 | 叠拼别墅 ,0人关注 / 6天以前发布,350,"20,865元/平"
南北通透2居室，满二临地铁 一梯两户小高层,怡水花园 -秦都区,2室2厅 | 82.27平米 | 南 北 | 简装 | 中楼层(共15层)  | 板楼,0人关注 / 5天以前发布,93,"11,305元/平"
精装四室家具家电全带8月满二无增值税，视野无遮挡,阳光城壹号巴塞阳光 -秦都区,4室2厅 | 148.23平米 | 南 北 | 精装 | 中楼层(共34层)  | 板塔结合,27人关注 / 一年前发布,240,"16,192元/平"
地铁口 复式洋房 通风性好 业主急售,沣桥艺墅家 -秦都区,3室2厅 | 160.33平米 | 南 | 简装 | 低楼层(共14层)  | 板塔结合,3人关注 / 2个月以前发布,125,"7,797元/平"
小区紧/邻咸阳湖 适合居住 周/边配套成熟购物方便,林湖苑 -秦都区,3室2厅 | 133.2平米 | 南 北 | 精装 | 高楼层(共32层)  | 板塔结合,1人关注 / 3个月以前发布,140,"10,511元/平"
阳光城壹号官邸4-2-1-2 143平 232 万,阳光城壹号官邸 -秦都区,4室2厅 | 143.9平米 | 南 北 | 精装 | 中楼层(共33层)  | 板塔结合,0人关注 / 1个月以前发布,214,"14,872元/平"
满二 视野开阔 精装三室 南北通透 双地铁口 诚心出售,白桦林印象 -秦都区,3室2厅 | 122.31平米 | 南 北 | 精装 | 中楼层(共32层)  | 板塔结合,1人关注 / 2个月以前发布,179,"14,635元/平"
西咸能源金贸区 房本满二 南北通透 全明户型,阳光城西西里 -秦都区,3室2厅 | 117.69平米 | 南 北 | 精装 | 高楼层(共26层)  | 板塔结合,4人关注 / 5个月以前发布,175,"14,870元/平"
地铁口沣河森林公园旁，精装修复式住宅,沣桥艺墅家 -秦都区,3室2厅 | 162.06平米 | 南 北 | 精装 | 中楼层(共14层)  | 板塔结合,3人关注 / 3个月以前发布,142,"8,763元/平"
采光很好，户型方正，地铁口现房,奥林匹克花园四期伦敦奥运村 -秦都区,3室2厅 | 104.31平米 | 南 北 | 简装 | 中楼层(共18层)  | 板楼,1人关注 / 4个月以前发布,125,"11,984元/平"
满五唯一 免个税 沣东新城白桦林印象130平175万 急售,白桦林印象 -秦都区,3室1厅 | 130.68平米 | 南 北 | 简装 | 中楼层(共33层)  | 板塔结合,0人关注 / 6天以前发布,175,"13,392元/平"
此房满二税费低面积小适合职场年轻人居住。,财富中心 -秦都区,1室1厅 | 52.92平米 | 南 | 精装 | 中楼层(共30层)  | 板塔结合,1人关注 / 11天以前发布,58,"10,960元/平"
泉北四巷  电梯已加装 配套齐全,市运司玉泉小区家属院 -秦都区,2室2厅 | 82.42平米 | 东 西 | 简装 | 中楼层(共6层)  | 板塔结合,0人关注 / 10天以前发布,48,"5,824元/平"
诚心出售万达侧丽彩二期，楼层居中，房本在手.....,丽彩珠泉新城·花间树 -秦都区,3室2厅 | 110.79平米 | 南 北 | 简装 | 高楼层(共33层)  | 板塔结合,0人关注 / 7天以前发布,120,"10,832元/平"
点我！点我！精装两室年底安家优选！,奥林匹克花园四期伦敦奥运村 -秦都区,2室2厅 | 69.4平米 | 南 | 其他 | 高楼层(共31层)  | 板塔结合,0人关注 / 20天以前发布,95,"13,689元/平"
地铁口大三室.单价9014每平.南北通透。,先河国际西区 -秦都区,3室1厅 | 128.3平米 | 南 北 | 其他 | 低楼层(共26层)  | 板塔结合,0人关注 / 31天以前发布,113,"8,808元/平"
国润城东区经典小两室，无抵押产权清晰，诚心出售,国润城 -秦都区,2室2厅 | 68.07平米 | 东南 | 简装 | 中楼层(共33层)  | 板塔结合,0人关注 / 23天以前发布,110,"16,160元/平"
奥林匹克花园 两室精装 拎包入住 随时看房,奥林匹克花园四期伦敦奥运村 -秦都区,2室2厅 | 37.61平米 | 东 | 其他 | 高楼层(共20层)  | 板塔结合,0人关注 / 31天以前发布,50,"13,295元/平"
沣东新城 双地铁口 奥林匹克花园三期 动静分离,奥林匹克花园三期北京奥运村 -秦都区,2室2厅 | 47.28平米 | 南 北 | 其他 | 低楼层(共20层)  | 板塔结合,0人关注 / 27天以前发布,68,"14,383元/平"
高档小区 临公园 精装修三室 观湖景,融创观澜壹号 -秦都区,3室2厅 | 98.08平米 | 南 | 其他 | 中楼层(共33层)  | 板塔结合,0人关注 / 27天以前发布,116,"11,828元/平"
奥园三期两室经典户型 业主着急出售 看房方便,奥林匹克花园三期北京奥运村 -秦都区,2室1厅 | 79.62平米 | 南 | 精装 | 中楼层(共11层)  | 板塔结合,0人关注 / 25天以前发布,113,"14,193元/平"
沣东新城能源金茂区双铁口成熟小区精装两室满二,奥林匹克花园五期 -秦都区,2室2厅 | 75.72平米 | 南 | 精装 | 高楼层(共33层)  | 板塔结合,0人关注 / 17天以前发布,115,"15,188元/平"
万达商圈，恒大帝景，精装交付。,恒大帝景 -秦都区,3室2厅 | 121.5平米 | 南 北 | 精装 | 中楼层(共33层)  | 板塔结合,0人关注 / 16天以前发布,121,"9,959元/平"
此房小区 环境优美 交通便利 配套齐全 毛坯三室,天地源珺樾坊 -秦都区,4室2厅 | 140.33平米 | 南 北 | 毛坯 | 低楼层(共34层)  | 暂无数据,0人关注 / 22天以前发布,132.5,"9,443元/平"
巴塞阳光4室业主诚心出售中间楼层,阳光城壹号巴塞阳光 -秦都区,4室2厅 | 143.83平米 | 南 北 | 精装 | 高楼层(共34层)  | 板塔结合,13人关注 / 8个月以前发布,225,"15,644元/平"
阳光城上林悦洋房带80平花园 业主急卖 带大阳台采光好,阳光城壹号上林悦 -秦都区,4室2厅 | 141.58平米 | 南 | 毛坯 | 低楼层(共7层)  | 暂无数据,0人关注 / 1个月以前发布,306,"21,614元/平"
奥林匹克花园四期，经典三室，精装修,奥林匹克花园四期伦敦奥运村 -秦都区,3室2厅 | 109.04平米 | 南 北 | 其他 | 中楼层(共9层)  | 板塔结合,36人关注 / 一年前发布,138,"12,656元/平"
滨河西路 咸阳湖（聆水居）两室精装 配套齐全,聆水居 -秦都区,2室1厅 | 74.37平米 | 南 | 精装 | 中楼层(共32层)  | 板塔结合,0人关注 / 23天以前发布,85,"11,430元/平"
急售玉泉路简装多层，楼层居中，看房方便，房本在手。,玉泉家园 -秦都区,2室2厅 | 90.4平米 | 南 北 | 精装 | 中楼层(共6层)  | 板楼,0人关注 / 28天以前发布,68.8,"7,611元/平"
地铁口精装小三室！业主急售！满二无增值税！,宝瑞阳光 -秦都区,3室2厅 | 107.17平米 | 南 北 | 精装 | 低楼层(共33层)  | 板楼,1人关注 / 19天以前发布,103,"9,611元/平"
本房满二，精装修，诚心出售 看房方便,白桦林印象 -秦都区,2室2厅 | 90.84平米 | 南 | 简装 | 中楼层(共32层)  | 板塔结合,0人关注 / 18天以前发布,126,"13,871元/平"
团结路 兴业两室全明户型 中间楼层 通双气 采光充足,兴业小区 -秦都区,2室2厅 | 72.13平米 | 南 北 | 简装 | 中楼层(共7层)  | 板楼,0人关注 / 20天以前发布,43,"5,962元/平"
人民中路，繁华地段，好房诚心出售,二印小区 -秦都区,2室1厅 | 52.8平米 | 南 北 | 简装 | 高楼层(共5层)  | 板楼,0人关注 / 17天以前发布,31,"5,872元/平"
芙蓉佳苑两室两厅 南北通透 户型好 诚心出售,芙蓉佳苑 -秦都区,2室2厅 | 101.58平米 | 南 北 | 精装 | 中楼层(共18层)  | 板塔结合,0人关注 / 22天以前发布,92,"9,057元/平"
近湿地公园  电梯中间楼层  精装修   随时可以入住,朝阳国际 -渭城区,2室2厅 | 100.93平米 | 南 北 | 简装 | 中楼层(共18层)  | 板塔结合,0人关注 / 17天以前发布,90,"8,918元/平"
秦建苑东区 2室1厅 南 北,秦建苑东区 -渭城区,2室1厅 | 75.77平米 | 南 北 | 其他 | 中楼层(共6层)  | 板楼,0人关注 / 7天以前发布,45,"5,940元/平"
世纪大道秦皇路地铁口秦阳花园小区南北通透三室可按揭,秦阳花园 -秦都区,3室2厅 | 127.25平米 | 南 北 | 精装 | 中楼层(共6层)  | 板楼,0人关注 / 12天以前发布,108,"8,488元/平"
业主诚心出售寻找有缘人 中间楼层两居室,风和日丽 -渭城区,2室2厅 | 77.92平米 | 南 北 | 简装 | 中楼层(共6层)  | 板楼,0人关注 / 10天以前发布,50,"6,417元/平"
文汇东路七九五小区，温馨两室，精装业主诚售！,七九五厂小区 -渭城区,2室2厅 | 74平米 | 南 北 | 精装 | 中楼层(共5层)  | 板塔结合,1人关注 / 9天以前发布,56,"7,568元/平"
文汇东路华星小区，经典小三室，业主诚售！,华泰小区26-27号楼 -渭城区,3室1厅 | 77.97平米 | 南 北 | 其他 | 中楼层(共6层)  | 板楼,0人关注 / 13天以前发布,56,"7,183元/平"
渭阳西路地铁口，精装两室，户型方正，满二，业主诚售,百特城市 -秦都区,2室2厅 | 89.02平米 | 南 | 精装 | 中楼层(共26层)  | 板塔结合,0人关注 / 8天以前发布,83,"9,324元/平"
万达三室 低楼层 双气入户 业主诚心出售,瑞祥小区 -秦都区,3室2厅 | 133.59平米 | 南 | 简装 | 低楼层(共6层)  | 板楼,0人关注 / 8天以前发布,88,"6,588元/平"
世纪大道国润城三室，南北通透，看房随时,国润城 -秦都区,3室1厅 | 111.08平米 | 南 北 | 简装 | 低楼层(共33层)  | 板塔结合,0人关注 / 10天以前发布,159,"14,315元/平"
地铁口精装3室。双地铁，全明格局，楼层好，视野开阔,佳龙大沃城 -秦都区,3室1厅 | 127.58平米 | 南 北 | 精装 | 高楼层(共18层)  | 板塔结合,5人关注 / 7个月以前发布,175,"13,717元/平"
三室户型，采光好，无公摊，产权清晰,新茂小区 -秦都区,3室1厅 | 83平米 | 北 | 其他 | 低楼层(共6层)  | 板楼,0人关注 / 7天以前发布,53,"6,386元/平"
大新社区，精装三室 户型方正 业主诚心,荣盛·锦绣观邸 -秦都区,3室1厅 | 120平米 | 南 北 | 其他 | 中楼层(共32层)  | 板塔结合,0人关注 / 6天以前发布,112,"9,334元/平"
低楼层2楼；业主重新翻新过可以领包入住,彩虹老区 -秦都区,2室1厅 | 58.19平米 | 南 北 | 精装 | 中楼层(共5层)  | 板楼,0人关注 / 13天以前发布,49,"8,421元/平"
户型方正 中楼层采光好 纯南户型视野开阔,轻纺住宅小区 -秦都区,2室1厅 | 43.59平米 | 南 | 精装 | 中楼层(共5层)  | 暂无数据,0人关注 / 12天以前发布,27,"6,195元/平"
精装3室，采光好，本小区交通便利，公交地铁门口,先河国际西区 -秦都区,3室2厅 | 118平米 | 南 北 | 毛坯 | 低楼层(共27层)  | 板塔结合,0人关注 / 10天以前发布,106,"8,984元/平"
力高御景湾 南北大三室 中楼层 精装修  不临街,力高御景湾 -秦都区,3室2厅 | 109.92平米 | 南 北 | 精装 | 高楼层(共18层)  | 板楼,0人关注 / 8天以前发布,108,"9,826元/平"
精装湖景，拎包入住，北门口，看房随时。,永大观邸 -渭城区,3室1厅 | 140.76平米 | 南 北 | 精装 | 中楼层(共32层)  | 板楼,0人关注 / 13天以前发布,139,"9,875元/平"
地铁口  精装三室  南北通透  中间楼层 业主诚售,先河国际社区东区 -秦都区,3室1厅 | 105.6平米 | 南 北 | 简装 | 中楼层(共19层)  | 板楼,0人关注 / 10天以前发布,113.5,"10,749元/平"
北门口附件鼎城花园小区安静低楼层两居,鼎城花园 -渭城区,2室1厅 | 73.7平米 | 南 | 简装 | 低楼层(共6层)  | 板楼,16人关注 / 5个月以前发布,48,"6,513元/平"
咸阳湖经典老房好地段近湖近公园,辘轳把巷35号 -渭城区,2室1厅 | 46.43平米 | 南 北 | 简装 | 低楼层(共6层)  | 暂无数据,2人关注 / 2个月以前发布,26.8,"5,773元/平"
稀有户型， 双向大阳台，高品质装修，高私密性,国润城 -秦都区,3室1厅 | 107.84平米 | 南 北 | 精装 | 低楼层(共33层)  | 板塔结合,16人关注 / 8个月以前发布,165,"15,301元/平"
全明3室  电梯房  中间楼层,奥林匹克花园五期 -秦都区,3室2厅 | 102.68平米 | 南 | 毛坯 | 低楼层(共33层)  | 板塔结合,0人关注 / 3个月以前发布,150,"14,609元/平"
一号地铁沿线，枫景苑，顶楼带路台，,枫景苑 -秦都区,1室1厅 | 46.84平米 | 南 北 | 简装 | 高楼层(共7层)  | 板楼,1人关注 / 2个月以前发布,34,"7,259元/平"
阳光城西西里 精装两室 视野好 满五 诚心出售看房方便,阳光城西西里 -秦都区,2室1厅 | 78.63平米 | 南 西 | 精装 | 中楼层(共33层)  | 板塔结合,2人关注 / 一年前发布,110,"13,990元/平"
三号桥南、世纪大道、精装两室、地铁口,华府御园 -秦都区,2室2厅 | 81.36平米 | 南 西南 | 精装 | 中楼层(共18层)  | 板塔结合,0人关注 / 一年前发布,86,"10,571元/平"
精装修品质社区，全天采光，户型方正,国润城 -秦都区,2室1厅 | 79.84平米 | 南 北 | 精装 | 中楼层(共34层)  | 板塔结合,4人关注 / 5个月以前发布,123,"15,406元/平"
离小区100米左右是咸阳实验中 学,中华苑 -秦都区,3室2厅 | 137.89平米 | 南 北 | 精装 | 中楼层(共18层)  | 板塔结合,13人关注 / 11个月以前发布,126,"9,138元/平"
业主诚心出售， 户型房子  洋房社区,阳光城壹号官邸 -秦都区,4室2厅 | 173.67平米 | 南 北 | 毛坯 | 低楼层(共9层)  | 暂无数据,8人关注 / 10个月以前发布,299.9,"17,269元/平"
开发商精装修 经济型 全明两室,阳光城上林府 -秦都区,2室2厅 | 77.16平米 | 东北 | 精装 | 高楼层(共33层)  | 板塔结合,0人关注 / 2个月以前发布,120,"15,553元/平"
西咸新区世纪大道地铁沿线怡水花园小区三室出售,怡水花园 -秦都区,2室2厅 | 77.57平米 | 南 | 简装 | 低楼层(共29层)  | 板塔结合,0人关注 / 2个月以前发布,86,"11,087元/平"
房子采光好，户型方正，室内布局合理，交通便利，,金科世界城 -秦都区,3室2厅 | 110.58平米 | 南 北 | 精装 | 中楼层(共15层)  | 暂无数据,1人关注 / 1个月以前发布,122,"11,033元/平"
能源金贸区，楼层好，采光好，精装.,阳光城壹号上林悦 -秦都区,3室2厅 | 117.12平米 | 南 北 | 精装 | 高楼层(共16层)  | 板塔结合,2人关注 / 4个月以前发布,184.3,"15,736元/平"
咸阳湖畔 两室电梯房  生活配套齐全 成熟社区,中央领域 -渭城区,2室2厅 | 86.82平米 | 东北 | 简装 | 高楼层(共32层)  | 板塔结合,22人关注 / 9个月以前发布,74,"8,524元/平"
能源金贸区，中间楼层，采光好，小区环境好,阳光城壹号上林悦 -秦都区,3室2厅 | 100.07平米 | 东 南 | 精装 | 高楼层(共32层)  | 板塔结合,0人关注 / 1个月以前发布,150,"14,990元/平"
万达商圈 三居室 电梯房 楼层好  采光好,文林风景小区 -秦都区,3室2厅 | 102.52平米 | 西 南 | 毛坯 | 中楼层(共12层)  | 板塔结合,29人关注 / 一年前发布,70.8,"6,906元/平"
双地铁  满二无大税  急售  随时可签,奥林匹克花园二期巴塞罗那奥运村 -秦都区,3室2厅 | 97.92平米 | 南 北 | 简装 | 低楼层(共18层)  | 板塔结合,29人关注 / 6个月以前发布,116,"11,847元/平"
市中.心，经典两室，全明户型.交通很常便利,易俗巷35号院 -渭城区,2室1厅 | 63.56平米 | 西北 | 简装 | 中楼层(共6层)  | 板楼,11人关注 / 6个月以前发布,36,"5,664元/平"
永大官邸 大三居 业主诚心出售,永大观邸 -渭城区,3室2厅 | 139.39平米 | 南 北 | 简装 | 高楼层(共30层)  | 板塔结合,1人关注 / 1个月以前发布,115,"8,251元/平"
高新区优质小区 绿化高 小区环境好。楼间距大,鑫苑又一程 -秦都区,3室1厅 | 114.58平米 | 南 北 | 毛坯 | 高楼层(共26层)  | 板塔结合,3人关注 / 6个月以前发布,99.9,"8,719元/平"
古有八水绕长安，现有两河环西咸，沣河渭河两河交汇,亿龙金河湾 -秦都区,3室2厅 | 95.71平米 | 东 南 北 | 简装 | 中楼层(共18层)  | 板楼,16人关注 / 4个月以前发布,116,"12,120元/平"
社区成熟，地铁直达，楼层好，楼距宽，位置好,奥林匹克花园四期伦敦奥运村 -秦都区,2室2厅 | 51.45平米 | 南 | 精装 | 中楼层(共20层)  | 板塔结合,4人关注 / 3个月以前发布,72,"13,995元/平"
业主诚心出售，看房方便，价位可谈，大三室地段佳,中宏丽舍 -秦都区,3室2厅 | 122.42平米 | 南 北 | 简装 | 中楼层(共18层)  | 板塔结合,9人关注 / 9个月以前发布,101.8,"8,316元/平"
此房满五唯一， 全明户型 楼层好，采光好,奥林匹克花园四期伦敦奥运村 -秦都区,2室2厅 | 73.18平米 | 南 | 精装 | 低楼层(共31层)  | 板塔结合,1人关注 / 2个月以前发布,99,"13,529元/平"
德祐优选  万鹏小区大两室精装修,万鹏小区 -秦都区,2室2厅 | 104.76平米 | 南 北 | 精装 | 中楼层(共5层)  | 板楼,8人关注 / 3个月以前发布,62,"5,919元/平"
世纪大道大两室，地铁口，政府小区，环境好,渭滨苑 -秦都区,2室1厅 | 115.62平米 | 南 | 简装 | 低楼层(共23层)  | 板楼,1人关注 / 2个月以前发布,121,"10,466元/平"
世纪大道地铁口  精装两室 诚心出售,奥林匹克花园四期伦敦奥运村 -秦都区,2室1厅 | 79.73平米 | 南 | 精装 | 高楼层(共33层)  | 板塔结合,17人关注 / 6个月以前发布,95,"11,916元/平"
中华小区 紧凑三室 户型方正  生活便利 上学方便,中华小区 -秦都区,3室2厅 | 93.12平米 | 南 北 | 简装 | 低楼层(共7层)  | 板楼,6人关注 / 8个月以前发布,88,"9,451元/平"
人民西路精装大三室，电梯房，一梯两户，南北通透,永嘉兰庭 -秦都区,3室2厅 | 144.21平米 | 南 北 | 简装 | 低楼层(共10层)  | 板楼,13人关注 / 4个月以前发布,100,"6,935元/平"
视野宽阔好楼层，精装修保养好，着急出售,白桦林印象 -秦都区,3室2厅 | 128.7平米 | 南 北 | 精装 | 高楼层(共32层)  | 板塔结合,45人关注 / 8个月以前发布,195,"15,152元/平"
世纪大道 地铁口 毛坯大三室 房东诚心出售,世纪锦城 -秦都区,3室1厅 | 122.08平米 | 南 北 | 毛坯 | 低楼层(共27层)  | 板塔结合,41人关注 / 6个月以前发布,117,"9,584元/平"
双地铁口 国企开发 白桦林三室毛坯 业主急售,白桦林印象 -秦都区,3室1厅 | 130.7平米 | 东南 | 毛坯 | 低楼层(共32层)  | 板塔结合,0人关注 / 2个月以前发布,175,"13,390元/平"
繁华地段，紧凑三室，随时预约可看房,彩虹老区 -秦都区,3室1厅 | 57.3平米 | 南 | 简装 | 中楼层(共5层)  | 板楼,0人关注 / 1个月以前发布,50,"8,727元/平"
人民西路，大型社区，经典三室，户型方正,芙蓉佳苑 -秦都区,3室2厅 | 105.68平米 | 南 北 | 精装 | 高楼层(共33层)  | 板塔结合,0人关注 / 2个月以前发布,102,"9,652元/平"
房子户型方正，采光好，看房方便业主诚心出售,电建小区 -秦都区,2室1厅 | 55.28平米 | 南 北 | 简装 | 中楼层(共5层)  | 板楼,1人关注 / 2个月以前发布,38,"6,875元/平"
阳光城壹号院官邸，精装三室，南北通透，中间楼层,阳光城壹号官邸 -秦都区,3室2厅 | 116.39平米 | 南 北 | 精装 | 高楼层(共34层)  | 板塔结合,0人关注 / 1个月以前发布,185,"15,895元/平"
地铁沿线   精装三室  满二   中间楼层  欢迎咨询,双鱼湾 -秦都区,3室2厅 | 120.97平米 | 南 北 | 精装 | 高楼层(共33层)  | 板塔结合,1人关注 / 2个月以前发布,108,"8,928元/平"
沣西新城世纪大道小三居，温馨舒适，南北通透,佳境天城 -秦都区,3室2厅 | 112.83平米 | 南 北 | 精装 | 中楼层(共17层)  | 板塔结合,4人关注 / 8个月以前发布,110,"9,750元/平"
中高楼层大三室，采光好，户型南北通透。,中宏丽舍 -秦都区,3室2厅 | 124.79平米 | 南 北 | 毛坯 | 中楼层(共28层)  | 板塔结合,7人关注 / 9个月以前发布,108,"8,655元/平"
奥林匹克花园四期 精装两室   诚心出售,奥林匹克花园四期伦敦奥运村 -秦都区,2室1厅 | 79.73平米 | 南 | 精装 | 高楼层(共33层)  | 板塔结合,0人关注 / 2个月以前发布,100,"12,543元/平"
纯南户型，采光好，位置佳，居住舒适~,奥林匹克花园五期 -秦都区,2室2厅 | 76.67平米 | 南 | 精装 | 高楼层(共33层)  | 板塔结合,0人关注 / 1个月以前发布,108,"14,087元/平"
佳境天城 两室中间楼层 地铁口出售,佳境天城 -秦都区,2室2厅 | 90.35平米 | 南 西 | 简装 | 中楼层(共17层)  | 板塔结合,0人关注 / 1个月以前发布,85,"9,408元/平"
彩虹十字华润万家地铁口中宏星苑两室出售,中宏星苑 -秦都区,2室2厅 | 90.15平米 | 南 北 | 简装 | 低楼层(共28层)  | 塔楼,7人关注 / 7个月以前发布,73,"8,098元/平"
世纪大道地铁口，两室南北通透小高层公摊低一梯两户,平湖秋月 -秦都区,2室2厅 | 97.7平米 | 南 北 | 精装 | 低楼层(共17层)  | 板楼,0人关注 / 7个月以前发布,96,"9,826元/平"
毕塬路十字（新北小区西院）简装两室中间楼层上学方便,新北小区西院 -渭城区,2室1厅 | 52.64平米 | 南 北 | 精装 | 中楼层(共6层)  | 暂无数据,1人关注 / 5个月以前发布,30.5,"5,795元/平"
此房业主诚心出售，急售满二无大税，精装修！,奥林匹克花园四期伦敦奥运村 -秦都区,3室2厅 | 102.88平米 | 南 北 | 简装 | 高楼层(共33层)  | 板塔结合,0人关注 / 2个月以前发布,128,"12,442元/平"
业主诚心出售，南北通透，万达商圈,玉泉花园 -秦都区,2室2厅 | 97.2平米 | 南 北 | 简装 | 高楼层(共6层)  | 板塔结合,0人关注 / 1个月以前发布,56.8,"5,844元/平"
房子实际使用面积大，配套齐全，交通便利,中铁二十局集团咸阳基地 -渭城区,3室2厅 | 82.93平米 | 南 北 | 精装 | 中楼层(共6层)  | 板楼,50人关注 / 6个月以前发布,40,"4,824元/平"
地铁口优质房源，精装修，户型好，采光佳！,华府御园 -秦都区,3室2厅 | 114.84平米 | 南 北 | 简装 | 高楼层(共18层)  | 板塔结合,1人关注 / 2个月以前发布,110,"9,579元/平"
业主急售，纯南朝向。房本满二，钥匙在手看房方便,丽彩·珠泉新城 -秦都区,2室2厅 | 78.19平米 | 南 | 简装 | 中楼层(共32层)  | 塔楼,3人关注 / 2个月以前发布,71.3,"9,119元/平"
双地铁口 国企开发 白桦林纯南两室精装,白桦林印象 -秦都区,2室2厅 | 91.8平米 | 南 | 精装 | 中楼层(共31层)  | 板塔结合,1人关注 / 3个月以前发布,119,"12,963元/平"
此房两室南户型，全明视野开阔，上林路地铁口。,佳龙大沃城 -秦都区,2室1厅 | 76.98平米 | 东南 | 精装 | 低楼层(共32层)  | 板塔结合,0人关注 / 2个月以前发布,110,"14,290元/平"
紫韵东城两室电梯房，采光好，楼位好。,紫韵东城 -渭城区,2室1厅 | 84.83平米 | 南 北 | 精装 | 中楼层(共11层)  | 板塔结合,0人关注 / 2个月以前发布,76,"8,960元/平"
秦皇北路+瑞沣苑小区+多层新+大社区+生活成本低,瑞沣苑小区 -秦都区,3室2厅 | 133.39平米 | 南 北 | 精装 | 中楼层(共6层)  | 板塔结合,0人关注 / 2个月以前发布,105,"7,872元/平"
能源金贸区 奥林匹克花园 小两室 地铁1号线上林路站,奥林匹克花园一期 -秦都区,2室1厅 | 82.15平米 | 南 北 | 精装 | 低楼层(共6层)  | 板塔结合,6人关注 / 9个月以前发布,102,"12,417元/平"
成国右岸 产证满二 精装三室 钥匙在手随时看,成国右岸 -渭城区,3室2厅 | 115.78平米 | 南 | 精装 | 低楼层(共31层)  | 板塔结合,0人关注 / 2个月以前发布,91.8,"7,929元/平"
经典三室 采光好 高楼层 欢迎咨询...,美景江南 -渭城区,3室2厅 | 125.38平米 | 南 北 | 其他 | 高楼层(共7层)  | 板塔结合,30人关注 / 一年前发布,67,"5,344元/平"
地铁口刚需层高高经典2室loft户型,奥林匹克花园三期北京奥运村 -秦都区,2室2厅 | 47.23平米 | 南 | 精装 | 低楼层(共20层)  | 板楼,3人关注 / 5个月以前发布,72,"15,245元/平"
品牌房企开发建设 园林社区 精品住宅,碧桂园秦都府 -秦都区,3室2厅 | 115.43平米 | 南 北 | 精装 | 低楼层(共33层)  | 板楼,3人关注 / 6个月以前发布,125,"10,830元/平"
丽彩·珠泉新城2-1-1-1 99.84m²,丽彩·珠泉新城 -秦都区,2室1厅 | 99.84平米 | 西南 | 毛坯 | 中楼层(共32层)  | 塔楼,0人关注 / 10个月以前发布,81,"8,113元/平"
大秦御港城 满二 2室精装房 业主诚心出售,大秦御港城 -秦都区,2室1厅 | 85.26平米 | 西 | 精装 | 高楼层(共33层)  | 板塔结合,0人关注 / 1个月以前发布,86,"10,087元/平"
