标题,开发商,房子信息,发布信息,售价/万,单价
恒大名都 精三室 124平 南北向 看房方便,恒大名都 -银海区,3室2厅 | 124.28平米 | 南 | 精装 | 中楼层(共32层)  | 塔楼,5人关注 / 7个月以前发布,67,"5,392元/平"
金滩，新小区，电梯中层，视野采光好，东边户,领航家园 -海城区,3室2厅 | 90.96平米 | 南 东 | 精装 | 中楼层(共28层)  | 塔楼,1人关注 / 2个月以前发布,56,"6,157元/平"
侨港商圈  精装  3房2厅  交通便利  视野宽敞,岳麓海岸 -银海区,3室2厅 | 89.26平米 | 南 | 简装 | 中楼层(共18层)  | 板塔结合,3人关注 / 10个月以前发布,45.6,"5,109元/平"
万达商圈爱琴海景三房两厅一厨一卫,爱琴海景 -银海区,3室2厅 | 82.94平米 | 南 | 简装 | 中楼层(共18层)  | 板塔结合,2人关注 / 一年前发布,39.5,"4,763元/平"
万泉城二区  纯板楼 户型通透方正,银滩万泉城2区 -银海区,2室2厅 | 86.84平米 | 南 | 毛坯 | 低楼层(共18层)  | 板楼,20人关注 / 一年前发布,47.8,"5,505元/平"
房子精装修，室内格局合理，采光充足，,金域华府 -银海区,4室2厅 | 130.28平米 | 北 | 精装 | 低楼层(共26层)  | 板塔结合,19人关注 / 一年前发布,78,"5,988元/平"
越亚天赐良园，朝南户型，中高楼层采光充足,越亚天赐良园 -银海区,3室2厅 | 95平米 | 南 北 | 毛坯 | 高楼层(共30层)  | 板塔结合,8人关注 / 一年前发布,65,"6,843元/平"
越亚天赐碧园朝南电梯大两房诚心出售,越亚天赐碧园 -海城区,2室2厅 | 90.34平米 | 南 | 简装 | 中楼层(共32层)  | 板塔结合,2人关注 / 5个月以前发布,46,"5,092元/平"
碧海华庭 3室1厅 南 北,碧海华庭 -银海区,3室1厅 | 110.29平米 | 南 北 | 毛坯 | 高楼层(共18层)  | 板塔结合,0人关注 / 4天以前发布,58,"5,259元/平"
金滩商圈，上海路与北部湾东路，海宁新区三室,海宁新区 -海城区,3室2厅 | 90.12平米 | 南 北 | 简装 | 高楼层(共8层)  | 板塔结合,15人关注 / 5个月以前发布,19.8,"2,198元/平"
精装，中层朝南两房两卫新房洋房，视野宽阔，采光充足,雅居乐金海湾 -银海区,2室2厅 | 86.13平米 | 东南 | 精装 | 中楼层(共12层)  | 暂无数据,0人关注 / 20天以前发布,51.88,"6,024元/平"
银滩公园万达商圈，中间楼层通透的3房,桐洋国际大厦 -银海区,3室2厅 | 88平米 | 北 | 简装 | 低楼层(共28层)  | 塔楼,0人关注 / 17天以前发布,41.5,"4,716元/平"
品质小区 全新装修未入住 大4房 南北通透 无抵押,金域华府 -银海区,4室2厅 | 130.28平米 | 南 北 | 简装 | 高楼层(共26层)  | 板塔结合,0人关注 / 1个月以前发布,85,"6,525元/平"
意创大厦 3室2厅 南 北,意创大厦 -海城区,3室2厅 | 154.32平米 | 南 北 | 精装 | 中楼层(共16层)  | 板塔结合,0人关注 / 26天以前发布,50,"3,241元/平"
中南明珠 3室2厅 南 北,中南明珠 -海城区,3室2厅 | 118.29平米 | 南 北 | 简装 | 中楼层(共31层)  | 板塔结合,0人关注 / 21天以前发布,69.8,"5,901元/平"
吾悦万达双商圈 精装三房 业主换房 急售 有钥匙,恒大名都 -银海区,3室1厅 | 91.05平米 | 南 | 精装 | 低楼层(共32层)  | 塔楼,0人关注 / 21天以前发布,50,"5,492元/平"
东峰富苑 3室2厅 南 北,东峰富苑 -海城区,3室2厅 | 89.22平米 | 南 北 | 精装 | 高楼层(共6层)  | 板塔结合,0人关注 / 18天以前发布,29.9,"3,352元/平"
碧桂园北海阳光 4室2厅 南 北,碧桂园北海阳光 -海城区,4室2厅 | 132平米 | 南 北 | 精装 | 低楼层(共34层)  | 塔楼,0人关注 / 18天以前发布,92,"6,970元/平"
上海路与重庆路交南北通透大三房，,东方明珠 -海城区,3室2厅 | 156.82平米 | 南 北 | 精装 | 中楼层(共6层)  | 板塔结合,7人关注 / 8个月以前发布,68.8,"4,388元/平"
视野好，户型方正，2+1房，交通便利,华一·红树林 -银海区,3室2厅 | 87.97平米 | 南 北 | 简装 | 高楼层(共33层)  | 板塔结合,0人关注 / 13天以前发布,48,"5,457元/平"
房子全明设计，客厅和卧室均朝南看海效果好,森海豪庭观海阁 -银海区,1室1厅 | 63.38平米 | 南 | 其他 | 高楼层(共29层)  | 板楼,0人关注 / 5天以前发布,36,"5,681元/平"
嘉盛名都五期 南北通透三房  随意装修,嘉盛名都 -银海区,4室2厅 | 120.31平米 | 南 北 | 毛坯 | 高楼层(共33层)  | 板塔结合,0人关注 / 15天以前发布,78,"6,484元/平"
捡大漏  一线海景房  北海名建筑  北部湾壹号,北部湾壹号 -海城区,3室2厅 | 134.98平米 | 北 | 毛坯 | 中楼层(共32层)  | 板楼,27人关注 / 一年前发布,73.5,"5,446元/平"
北海大道 3房  配套成熟  没出租,德臣金海花园 -海城区,3室2厅 | 89平米 | 南 | 简装 | 中楼层(共16层)  | 板塔结合,0人关注 / 8天以前发布,52,"5,843元/平"
高德市场、和安便民商场、闽辉商场、,珠光苑 -海城区,3室2厅 | 86平米 | 南 北 | 其他 | 中楼层(共7层)  | 板楼,0人关注 / 4天以前发布,32,"3,721元/平"
新世纪大道，职业学院，总价低3房,东辉·翰林鑫苑 -银海区,3室2厅 | 86平米 | 南 北 | 简装 | 中楼层(共26层)  | 板塔结合,0人关注 / 13天以前发布,38,"4,419元/平"
新大润发商圈，户型方正、朝北、满五唯一，交通便利！,融旗华堂 -银海区,3室2厅 | 87.34平米 | 南 北 | 简装 | 低楼层(共18层)  | 板塔结合,0人关注 / 2个月以前发布,49.8,"5,702元/平"
万达、吾悦商圈2室2厅2卫  东南,逢时海景大厦 -银海区,2室2厅 | 76.07平米 | 东南 | 毛坯 | 低楼层(共27层)  | 板塔结合,35人关注 / 8个月以前发布,25,"3,287元/平"
中间楼层，全新未入住，观海看夕阳,第九湾蓝山上湾 -银海区,2室2厅 | 87.87平米 | 南 | 精装 | 中楼层(共30层)  | 板塔结合,0人关注 / 5个月以前发布,43,"4,894元/平"
房东急售 满五唯一 朝南两居室 即买即住家具家电全带,桐洋家园 -银海区,2室2厅 | 79.12平米 | 南 | 简装 | 低楼层(共17层)  | 板塔结合,33人关注 / 一年前发布,30,"3,792元/平"
江苏泰城  方正两房  随时看房,江苏泰城 -银海区,2室2厅 | 70.04平米 | 南 北 | 简装 | 低楼层(共27层)  | 板塔结合,5人关注 / 1个月以前发布,25,"3,570元/平"
嘉和冠山海1房1厅1厨1卫48.34平29万,嘉和冠山海 -海城区,1室1厅 | 48.34平米 | 西南 | 简装 | 高楼层(共32层)  | 板塔结合,8人关注 / 4个月以前发布,28,"5,793元/平"
东峰锦绣城 全新精装修 未入住过,东峰锦绣城 -海城区,2室2厅 | 85.44平米 | 南 北 | 精装 | 高楼层(共23层)  | 板塔结合,0人关注 / 1个月以前发布,39,"4,565元/平"
高铁站旁正规三房城市繁华地段户型好,安美花园 -海城区,2室2厅 | 118.55平米 | 南 | 简装 | 中楼层(共6层)  | 板楼,14人关注 / 一年前发布,35,"2,953元/平"
恒大御景半岛朝南2房 户型方正满五唯一 大阳台观景好,恒大御景半岛 -银海区,2室2厅 | 89平米 | 南 | 精装 | 中楼层(共33层)  | 板塔结合,19人关注 / 6个月以前发布,48.5,"5,450元/平"
廉州湾金滩 候鸟湾品质小区 电梯高层朝南 南北通透2房,候鳥灣 -海城区,2室2厅 | 82.18平米 | 南 北 | 精装 | 高楼层(共31层)  | 板塔结合,0人关注 / 5个月以前发布,54.8,"6,669元/平"
此房满五唯一，户型方正，高楼层采光好，视野开阔,东峰锦绣城 -海城区,2室2厅 | 84.73平米 | 南 北 | 精装 | 高楼层(共23层)  | 板塔结合,0人关注 / 8个月以前发布,33.5,"3,954元/平"
大润发楼上，视野宽阔，楼下就是*市生活方便。,大润发 -海城区,2室2厅 | 128.1平米 | 北 | 简装 | 中楼层(共28层)  | 板塔结合,2人关注 / 一年前发布,36,"2,811元/平"
北海大道旁 ，朝南大2房 接受按揭  看房方便,富美苑 -海城区,2室2厅 | 89.81平米 | 南 | 简装 | 中楼层(共28层)  | 塔楼,6人关注 / 4个月以前发布,31,"3,452元/平"
户型方正，三期新房 高铁站旁 出行方便 小区很安静,国际新城 -海城区,1室1厅 | 59.34平米 | 北 | 毛坯 | 高楼层(共13层)  | 板塔结合,7人关注 / 一年前发布,27,"4,551元/平"
春天海景 1室1厅 南,春天海景 -海城区,1室1厅 | 51.7平米 | 南 | 简装 | 低楼层(共24层)  | 板塔结合,25人关注 / 9个月以前发布,16.8,"3,250元/平"
出售 万达商圈 恒大名都 一房精装修 干净,恒大名都 -银海区,1室1厅 | 52.06平米 | 南 | 精装 | 低楼层(共32层)  | 塔楼,2人关注 / 9个月以前发布,24.2,"4,649元/平"
广东南路 嘉盛名都 朝南三房 业主诚意出售,嘉盛名都 -银海区,3室1厅 | 89平米 | 南 | 精装 | 高楼层(共32层)  | 板塔结合,1人关注 / 14天以前发布,58.8,"6,607元/平"
广东路星标社区嘉盛名都三房一卫出售,嘉盛名都 -银海区,3室2厅 | 89平米 | 北 | 简装 | 高楼层(共32层)  | 板塔结合,0人关注 / 15天以前发布,55.9,"6,281元/平"
证在手，电梯中层，视野好，大型市场公园就在眼前,北海名座 -海城区,3室2厅 | 86.31平米 | 北 | 简装 | 高楼层(共32层)  | 板塔结合,5人关注 / 一年前发布,60,"6,952元/平"
三中东里2楼2房朝南2房50平带杂物房仅23.8万,三中东里 -海城区,2室1厅 | 49.81平米 | 南 | 精装 | 中楼层(共5层)  | 板楼,0人关注 / 2个月以前发布,23.8,"4,779元/平"
新大润发侨苑商住区精装三房两厅两卫,侨苑商住区 -银海区,3室2厅 | 118.5平米 | 南 北 | 其他 | 低楼层(共8层)  | 板塔结合,7人关注 / 一年前发布,45,"3,798元/平"
镒建世纪城毛坯大三房，成熟商圈，万达，新大瑞发,镒建世纪城 -银海区,3室2厅 | 121.26平米 | 南 北 | 毛坯 | 高楼层(共29层)  | 板塔结合,0人关注 / 一年前发布,72,"5,938元/平"
房子是大五房，实用面积5房，毛坯，随意装修,海悦华府 -银海区,5室2厅 | 107.63平米 | 南 北 | 毛坯 | 高楼层(共34层)  | 板塔结合,20人关注 / 11个月以前发布,87,"8,084元/平"
侨港 附 近 朝南的精 装三房 中间楼层,银滩融鑫苑 -银海区,3室1厅 | 88.26平米 | 南 北 | 精装 | 中楼层(共18层)  | 板塔结合,0人关注 / 2个月以前发布,44.2,"5,008元/平"
此房位置好，户型方正，南北通风好，适合老人和孩子,金癸领海郡 -银海区,3室2厅 | 111.81平米 | 南 北 | 毛坯 | 低楼层(共26层)  | 板塔结合,2人关注 / 一年前发布,55,"4,920元/平"
证件齐全 产权明晰南北通透 格局方正公园式小区,蓝海银湾 -海城区,4室2厅 | 116.83平米 | 南 北 | 精装 | 中楼层(共18层)  | 板塔结合,1人关注 / 1个月以前发布,67.5,"5,778元/平"
恒大名都 精装三室 89平 业主诚心出售,恒大名都 -银海区,3室2厅 | 88.86平米 | 北 | 精装 | 低楼层(共32层)  | 塔楼,22人关注 / 7个月以前发布,48,"5,402元/平"
恒大名都中层3房 采光充足，家具家电齐全，整齐干净,恒大名都 -银海区,3室2厅 | 89平米 | 北 | 精装 | 中楼层(共32层)  | 塔楼,0人关注 / 1个月以前发布,53,"5,956元/平"
空中大平层~银海区~这是不是你想要的风景！,镒建世纪城 -银海区,4室2厅 | 148平米 | 南 北 | 毛坯 | 高楼层(共32层)  | 板塔结合,5人关注 / 4个月以前发布,81.49,"5,507元/平"
海城区政府宿舍楼 3室2厅 南 北,海城区政府宿舍楼 -海城区,3室2厅 | 114.83平米 | 南 北 | 简装 | 中楼层(共7层)  | 板楼,0人关注 / 1个月以前发布,48,"4,181元/平"
海悦华府 3室1厅 南,海悦华府 -银海区,3室1厅 | 70平米 | 南 | 简装 | 低楼层(共34层)  | 板塔结合,0人关注 / 30天以前发布,44.5,"6,358元/平"
银州花园 3室2厅 南 北,银州花园 -银海区,3室2厅 | 114.27平米 | 南 北 | 其他 | 高楼层(共32层)  | 塔楼,1人关注 / 17天以前发布,43,"3,764元/平"
冯家江湿地公园旁      可观江  可观海   精装三房,彰泰观江海 -银海区,3室2厅 | 89.97平米 | 南 北 | 精装 | 中楼层(共25层)  | 暂无数据,0人关注 / 30天以前发布,88.8,"9,870元/平"
国宾区嘉和冠山海精装两房双阳台,嘉和冠山海 -海城区,2室2厅 | 71.56平米 | 南 西 | 精装 | 低楼层(共30层)  | 板塔结合,0人关注 / 22天以前发布,47.8,"6,680元/平"
安盛花园 2室2厅 北,安盛花园 -海城区,2室2厅 | 89.31平米 | 北 | 精装 | 高楼层(共11层)  | 板塔结合,0人关注 / 16天以前发布,31,"3,472元/平"
侨港、银滩区域，朝北，精装一房，采光好，交通便利,在海一方 -银海区,1室0厅 | 30.35平米 | 北 | 精装 | 高楼层(共18层)  | 板塔结合,4人关注 / 2个月以前发布,12.36,"4,073元/平"
北岸金摊 富丽华大酒店边上  海辰国际  价格美丽,海辰国际公寓 -海城区,2室2厅 | 78.12平米 | 东南 | 精装 | 低楼层(共32层)  | 板塔结合,6人关注 / 一年前发布,37.5,"4,801元/平"
岳麓海岸，两房，贵阳综合市场，侨港风情街，价格美丽,岳麓海岸 -银海区,2室2厅 | 78.75平米 | 南 | 简装 | 高楼层(共18层)  | 板塔结合,2人关注 / 一年前发布,38,"4,826元/平"
森海豪庭四期  高层   海景一房,金昌森海豪庭观邸 -银海区,1室1厅 | 56.44平米 | 西 | 精装 | 中楼层(共26层)  | 板塔结合,1人关注 / 一年前发布,34.2,"6,060元/平"
园辉新都 南北通透 精装修三房 业主吉售,园辉新都 -银海区,3室2厅 | 103.65平米 | 南 北 | 精装 | 中楼层(共34层)  | 板塔结合,0人关注 / 1个月以前发布,52.8,"5,095元/平"
北岸金滩 阳光东海岸 1房急卖,阳光东海岸 -海城区,1室0厅 | 36.55平米 | 北 | 简装 | 中楼层(共21层)  | 板塔结合,8人关注 / 8个月以前发布,11.3,"3,092元/平"
嘉和冠山海 3室2厅 东 西,嘉和冠山海 -海城区,3室2厅 | 88平米 | 东 西 | 精装 | 低楼层(共31层)  | 板塔结合,0人关注 / 23天以前发布,49.98,"5,680元/平"
贵兴市场，步梯大2房，南北通透，证在手，随时看房,贵海花园二期 -银海区,2室1厅 | 87.39平米 | 南 北 | 其他 | 中楼层(共6层)  | 板楼,0人关注 / 7天以前发布,33,"3,777元/平"
万达商圈高楼层南北通透大两房两个阳台,海德堡 -银海区,2室2厅 | 89.31平米 | 南 北 | 精装 | 高楼层(共11层)  | 板塔结合,2人关注 / 6个月以前发布,44.9,"5,028元/平"
满五唯一 高楼层 业主诚心出售 随时可签约,嘉盛名都 -银海区,3室2厅 | 88.68平米 | 南 北 | 精装 | 中楼层(共32层)  | 板塔结合,0人关注 / 16天以前发布,66,"7,443元/平"
地处北海万达广场、吾悦广场，朝南两房,爱琴海景 -银海区,2室2厅 | 67.45平米 | 南 | 其他 | 低楼层(共18层)  | 板塔结合,2人关注 / 4个月以前发布,36,"5,338元/平"
精装修四室两厅一厨两卫，南北通透，采光好。,星海名城一期 -海城区,4室2厅 | 134.62平米 | 东 西 | 精装 | 高楼层(共11层)  | 板塔结合,21人关注 / 7个月以前发布,69,"5,126元/平"
长沙路 吾悦华府 新装修未入住 户型通透,吾悦华府 -银海区,3室2厅 | 86平米 | 南 | 简装 | 中楼层(共19层)  | 板楼,7人关注 / 3个月以前发布,53,"6,163元/平"
北外实、大润发、万达商圈，莱茵名郡南北通透三房出售,莱茵名郡 -银海区,3室2厅 | 89.43平米 | 南 北 | 简装 | 中楼层(共30层)  | 板塔结合,3人关注 / 6个月以前发布,50.5,"5,647元/平"
广东路 1小旁 新装修未入住3房 视野无遮挡,金域华府 -银海区,3室2厅 | 87.56平米 | 南 | 简装 | 中楼层(共26层)  | 板塔结合,1人关注 / 5个月以前发布,56.5,"6,453元/平"
银海1小旁 3房 新装修未入住 随时过户,金域华府 -银海区,3室2厅 | 87.56平米 | 南 | 简装 | 高楼层(共26层)  | 板塔结合,1人关注 / 1个月以前发布,56.5,"6,453元/平"
万达商圈电梯两房总价2字头家具家电齐全,中南锦绣花园 -银海区,2室1厅 | 65.01平米 | 南 北 | 简装 | 高楼层(共15层)  | 板塔结合,1人关注 / 1个月以前发布,25.7,"3,954元/平"
新大润发商场 小两房 市场配套成熟 交通方便,丽水南珠 -银海区,2室1厅 | 62.96平米 | 南 北 | 简装 | 高楼层(共12层)  | 板塔结合,4人关注 / 一年前发布,26.49,"4,208元/平"
海滨生活，一居室，证在手，新装修,春天海景 -海城区,1室1厅 | 43.79平米 | 西 | 简装 | 中楼层(共26层)  | 塔楼,20人关注 / 一年前发布,16,"3,654元/平"
万达商圈嘉福夏日海湾2房朝南看海楼间距远楼下是菜场,嘉福夏日海湾 -银海区,2室1厅 | 82.8平米 | 东南 | 简装 | 高楼层(共16层)  | 板塔结合,0人关注 / 1个月以前发布,38.9,"4,699元/平"
银海区，电梯3房，南北通透，双阳台，精装修,辰宸花园 -银海区,3室2厅 | 89.89平米 | 南 北 | 精装 | 高楼层(共17层)  | 板塔结合,25人关注 / 11个月以前发布,48,"5,340元/平"
世纪公寓两房两厅一厨一卫，诚心出售！,世纪公寓 -海城区,2室1厅 | 85平米 | 西 北 | 简装 | 高楼层(共19层)  | 塔楼,3人关注 / 一年前发布,32.5,"3,824元/平"
东峰世纪公寓 三房两厅 采光好 视野开阔,东峰世纪公寓 -银海区,3室2厅 | 88.52平米 | 南 北 | 精装 | 低楼层(共27层)  | 板塔结合,0人关注 / 5个月以前发布,45,"5,084元/平"
冯家江湿地公园旁恒大名都高层三房吉售,恒大名都 -银海区,3室1厅 | 108平米 | 北 | 精装 | 高楼层(共32层)  | 塔楼,8人关注 / 4个月以前发布,60,"5,556元/平"
新大润发 万达商圈 嘉盛名都 大四房 南北通透,嘉盛名都 -银海区,4室2厅 | 119.45平米 | 南 北 | 精装 | 高楼层(共33层)  | 板塔结合,3人关注 / 2个月以前发布,65,"5,442元/平"
满五唯一采光好，带入户花园，朝南，实用面积大,海枫和苑 -海城区,3室2厅 | 87.73平米 | 南 | 精装 | 中楼层(共18层)  | 板楼,6人关注 / 一年前发布,39,"4,446元/平"
湖南路东都嘉园步梯大三房即买即住,东都嘉园 -海城区,3室2厅 | 125.4平米 | 南 | 精装 | 中楼层(共6层)  | 板楼,1人关注 / 1个月以前发布,49.8,"3,972元/平"
圣煌广场 3室2厅 南,圣煌广场 -海城区,3室2厅 | 87平米 | 南 | 简装 | 高楼层(共28层)  | 板塔结合,1人关注 / 6个月以前发布,43.9,"5,046元/平"
银海区 万达大润发商圈 嘉盛名都 三房二卫 小三房,嘉盛名都 -银海区,3室2厅 | 88平米 | 南 北 | 简装 | 低楼层(共32层)  | 板塔结合,0人关注 / 1个月以前发布,61.5,"6,989元/平"
