标题,开发商,房子信息,发布信息,售价/万,单价
格局宽阔，采光充足好，楼层好，视野好 满五唯颐,颐景雅苑 -延安东路,3室2厅 | 128.45平米 | 南 | 精装 | 高楼层(共5层)  | 板塔结合,0人关注 / 18天以前发布,138,"10,744元/平"
翔宇大道旁亿力未来城欧式装修大四房看房提前约,亿力未来城 -翔宇大道,4室2厅 | 184.89平米 | 南 北 | 精装 | 低楼层(共24层)  | 板塔结合,8人关注 / 4个月以前发布,205,"11,088元/平"
南洋花园 精装大三房  户型方正 看房有钥匙,南洋花园 -北京西路,3室1厅 | 124.48平米 | 南 | 其他 | 高楼层(共12层)  | 板塔结合,0人关注 / 5天以前发布,123,"9,882元/平"
亿丰时代广场 3室2厅 南,亿丰时代广场 -迎宾大道,3室2厅 | 123.02平米 | 南 | 毛坯 | 低楼层(共18层)  | 板塔结合,0人关注 / 4天以前发布,106,"8,617元/平"
房子是毛坯，户型方方正正，采光好，,宝龙世家 -白鹭湖,4室2厅 | 126.5平米 | 南 | 毛坯 | 中楼层(共27层)  | 板塔结合,0人关注 / 6天以前发布,112,"8,854元/平"
宝龙世家西区。。。。。。。。。。。。。。。,宝龙世家西区 -白鹭湖,2室1厅 | 75.12平米 | 南 | 毛坯 | 低楼层(共11层)  | 暂无数据,0人关注 / 16天以前发布,77,"10,251元/平"
格局方正，楼层好，视野宽阔，采光充足，配套设施齐全,钵池小区 -迎宾大道,3室1厅 | 102平米 | 东南 南 | 毛坯 | 高楼层(共6层)  | 板楼,0人关注 / 10天以前发布,56.8,"5,569元/平"
淮安新都高层户型周正精装设施齐全,淮安新都 -漕运西路,2室2厅 | 99.4平米 | 南 | 精装 | 高楼层(共24层)  | 板塔结合,2人关注 / 1个月以前发布,75,"7,546元/平"
天山华庭.3楼.户型好.全天采光.急售,天山华庭 -东大院,3室2厅 | 127.87平米 | 南 | 精装 | 中楼层(共6层)  | 板楼,0人关注 / 2个月以前发布,188,"14,703元/平"
格局方正，楼层好，视野宽阔，采光充足，配套设施齐全,星河花园 -迎宾大道,2室1厅 | 99.64平米 | 东南 南 | 毛坯 | 高楼层(共24层)  | 暂无数据,0人关注 / 2个月以前发布,84,"8,431元/平"
房子是精装的带地暖品牌家电家具看房方便,兰亭绿城 -漕运西路,3室2厅 | 114.45平米 | 南 | 精装 | 中楼层(共24层)  | 板塔结合,5人关注 / 一年前发布,99,"8,651元/平"
急售中南锦城 三房两卫 户型采光好 领包入住 老证,中南世纪锦城 -生态新城,3室1厅 | 109.57平米 | 南 | 精装 | 高楼层(共34层)  | 板塔结合,13人关注 / 7个月以前发布,117,"10,679元/平"
此房地理位置好，户型方正，楼层好采光明亮，交通便利,淮安恒大名都 -恒大名都,3室2厅 | 142.85平米 | 南 | 精装 | 中楼层(共33层)  | 塔楼,1人关注 / 1个月以前发布,109,"7,631元/平"
绿地一期诚售品质精装三房 宰相楼层 全明户型 满两年,绿地世纪城一期 -生态新城,3室2厅 | 103.59平米 | 南 | 精装 | 低楼层(共25层)  | 板楼,0人关注 / 1个月以前发布,175,"16,894元/平"
香溢茗园环境优美，户型方正，楼层好，交通方便,香溢茗园东区 -白鹭湖,3室2厅 | 117.28平米 | 南 北 | 毛坯 | 高楼层(共34层)  | 暂无数据,0人关注 / 3个月以前发布,118,"10,062元/平"
楼栋位置好，河景房，楼层采光明亮,淮安恒大名都 -恒大名都,3室2厅 | 138.23平米 | 南 北 | 精装 | 高楼层(共33层)  | 塔楼,0人关注 / 26天以前发布,110,"7,958元/平"
大河新城  户型方正   采光好  生活便利,大河新城 -漕运西路,2室2厅 | 102平米 | 南 | 简装 | 低楼层(共17层)  | 板塔结合,0人关注 / 7天以前发布,78,"7,648元/平"
御花园C区 3室2厅 南,御花园C区 -长征小学,3室2厅 | 96.95平米 | 南 | 简装 | 中楼层(共6层)  | 板楼,0人关注 / 6天以前发布,81,"8,355元/平"
北京新村，3室1厅楼层好适合养老户型好,北京新村 -外国语,3室1厅 | 78.9平米 | 南 | 简装 | 中楼层(共4层)  | 板楼,0人关注 / 3天以前发布,65,"8,239元/平"
翔宇大道旁亿力未来城前排景观三房带车位储藏室,亿力未来城 -翔宇大道,3室2厅 | 125.95平米 | 南 | 精装 | 高楼层(共11层)  | 板塔结合,0人关注 / 26天以前发布,158,"12,545元/平"
绿地九里香颂3室2厅1厨2卫，彩光佳，户型好,绿地九里香颂 -白鹭湖,3室2厅 | 129.56平米 | 南 | 毛坯 | 高楼层(共17层)  | 暂无数据,0人关注 / 29天以前发布,133,"10,266元/平"
清江府 毛坯四房 采光需要遮阳板 位置5号楼你就懂了,金辉城清江府 -白鹭湖,4室2厅 | 128.74平米 | 南 | 毛坯 | 低楼层(共27层)  | 暂无数据,0人关注 / 19天以前发布,115.8,"8,995元/平"
北京新村一楼带院子，三室户型好，看房方便,北京新村 -外国语,3室2厅 | 72平米 | 南 | 精装 | 低楼层(共5层)  | 板楼,0人关注 / 27天以前发布,76.8,"10,667元/平"
钵池小区精装3室，家具家电齐全带大车库房东诚心出售,钵池小区 -迎宾大道,3室2厅 | 91平米 | 南 | 精装 | 中楼层(共6层)  | 板楼,0人关注 / 18天以前发布,71.8,"7,891元/平"
新城尚隽公馆，毛坯三房三开间朝南户型好，价格可谈,新城尚隽公馆 -迎宾大道,3室2厅 | 123平米 | 南 北 | 毛坯 | 中楼层(共24层)  | 塔楼,0人关注 / 25天以前发布,105,"8,537元/平"
恒大名都三期 3室2厅 南,恒大名都三期 -恒大名都,3室2厅 | 115.71平米 | 南 | 精装 | 高楼层(共32层)  | 塔楼,0人关注 / 25天以前发布,112,"9,680元/平"
建华玖珑半岛 好楼层 前排 有钥匙 随时看房,建华玖珑半岛 -生态新城,3室2厅 | 110.14平米 | 南 | 精装 | 低楼层(共33层)  | 暂无数据,1人关注 / 24天以前发布,115,"10,442元/平"
满两年可谈，精装修， 家电齐全采光好，交通便利,中南世纪城一期 -中南商圈,3室2厅 | 116.99平米 | 南 | 精装 | 中楼层(共33层)  | 塔楼,0人关注 / 25天以前发布,127,"10,856元/平"
清城亿园两房毛坯全天采光价格便宜,金辉城清江府 -白鹭湖,3室1厅 | 96平米 | 南 | 其他 | 低楼层(共34层)  | 暂无数据,0人关注 / 24天以前发布,99.8,"10,396元/平"
新城市广场 电梯好楼层 新证 毛坯随意装修,新城市广场(淮安区) -新城市广场,3室2厅 | 108平米 | 南 | 毛坯 | 高楼层(共33层)  | 塔楼,0人关注 / 27天以前发布,115,"10,649元/平"
户型方正，环境优美，采光无遮挡。,香溢茗园西区 -白鹭湖,3室2厅 | 103.78平米 | 南 | 毛坯 | 低楼层(共27层)  | 板塔结合,0人关注 / 29天以前发布,105,"10,118元/平"
诚意出售，好楼层，全天采光，品质小区,金辉城清江府 -白鹭湖,3室1厅 | 96.42平米 | 南 北 | 毛坯 | 高楼层(共24层)  | 暂无数据,0人关注 / 18天以前发布,89.5,"9,283元/平"
幸福城 3室2厅 南,幸福城 -淮阴区大润发,3室2厅 | 93.69平米 | 南 | 毛坯 | 中楼层(共9层)  | 暂无数据,0人关注 / 12天以前发布,115,"12,275元/平"
香溢名苑西区，新小区，小区环境好，适合居住,香溢茗园西区 -白鹭湖,4室2厅 | 137.44平米 | 南 | 毛坯 | 高楼层(共17层)  | 板塔结合,0人关注 / 5个月以前发布,137,"9,968元/平"
一建公司宿舍 小康城里面 位置好 价格低 看房随时,一建公司宿舍 -翔宇大道,3室1厅 | 101.3平米 | 东南 | 精装 | 高楼层(共5层)  | 暂无数据,0人关注 / 5天以前发布,85,"8,391元/平"
业主诚心出售，此房格局大方，户型好，楼层好。,中茵春天里翰林花园III-IV期 -大学城商圈,3室2厅 | 113.15平米 | 南 | 精装 | 中楼层(共5层)  | 暂无数据,0人关注 / 1个月以前发布,105,"9,280元/平"
清河开明 白鹭湖颐园117平精装3房115万 满2,丰球颐园 -白鹭湖,3室2厅 | 117平米 | 南 | 其他 | 低楼层(共18层)  | 暂无数据,1人关注 / 10天以前发布,110,"9,402元/平"
华德力精装三室 家具家电齐全 看房方便楼层好采光佳,华德力运河城 -恒大名都,3室2厅 | 103.76平米 | 南 北 | 精装 | 高楼层(共30层)  | 暂无数据,0人关注 / 1个月以前发布,108,"10,409元/平"
此房户型方正，视野开阔，采光充足，交通便利,香溢茗园西区 -白鹭湖,3室2厅 | 126.7平米 | 南 北 | 毛坯 | 低楼层(共17层)  | 暂无数据,0人关注 / 16天以前发布,126,"9,945元/平"
小高层电梯洋房！户型方正！三室朝阳！双阳台,新城悦隽 -火车北站,3室2厅 | 115.21平米 | 南 | 毛坯 | 中楼层(共10层)  | 塔楼,7人关注 / 一年前发布,108,"9,375元/平"
丰球璟园 3室1厅 南,丰球璟园 -白鹭湖,3室1厅 | 134平米 | 南 | 毛坯 | 高楼层(共18层)  | 板塔结合,0人关注 / 10天以前发布,130,"9,702元/平"
此房格局大方，户型好，采光好，首排无遮挡,融创广场 -延安东路,3室2厅 | 106.59平米 | 南 | 精装 | 低楼层(共33层)  | 暂无数据,1人关注 / 10个月以前发布,119,"11,165元/平"
建华观园 4室2厅 南,建华观园 -生态新城,4室2厅 | 141平米 | 南 | 其他 | 高楼层(共29层)  | 塔楼,0人关注 / 10天以前发布,176,"12,483元/平"
新维中央美地毛坯五房朝南，房东急售,新维中央美地 -大学城商圈,4室2厅 | 145.39平米 | 南 | 毛坯 | 高楼层(共21层)  | 板楼,7人关注 / 4个月以前发布,122,"8,392元/平"
中南三期小三室 精装修好楼层 视野充足采光通透,中南世纪城三期玺园 -中南商圈,3室2厅 | 109.89平米 | 南 | 精装 | 高楼层(共33层)  | 塔楼,1人关注 / 1个月以前发布,120,"10,921元/平"
香溢茗园洋房 好楼层 采光充足,香溢茗园东区 -白鹭湖,3室2厅 | 122.4平米 | 南 北 | 毛坯 | 中楼层(共9层)  | 暂无数据,0人关注 / 10天以前发布,145,"11,847元/平"
中南世纪城二期   边户南北通  4房2厅2卫,中南世纪城2期 -中南商圈,4室2厅 | 134.02平米 | 南 | 其他 | 高楼层(共34层)  | 塔楼,5人关注 / 8个月以前发布,120,"8,954元/平"
洋房好楼层，户型格局好，满二。,香格里拉E区 -水渡口大道,3室2厅 | 111.4平米 | 南 北 | 精装 | 中楼层(共5层)  | 板塔结合,10人关注 / 一年前发布,154,"13,825元/平"
水韵天成洋房 三室二厅二卫 户型好 精装修 采光充足,水韵天成银杏苑 -翔宇大道,3室2厅 | 117.82平米 | 南 | 精装 | 高楼层(共5层)  | 板塔结合,13人关注 / 8个月以前发布,188,"15,957元/平"
绿地世纪城国际花都南苑 3室2厅 东南,绿地世纪城国际花都南苑 -生态新城,3室2厅 | 118.16平米 | 东南 | 其他 | 中楼层(共24层)  | 板楼,0人关注 / 10天以前发布,185,"15,657元/平"
金辉城悦府 三房二卫 带入户花园 中间楼层,金辉城悦府 -白鹭湖,3室1厅 | 113.25平米 | 南 | 毛坯 | 中楼层(共34层)  | 板楼,0人关注 / 9天以前发布,110,"9,714元/平"
房子是毛坯的！户型方正，全天采光,叶语郡 -白鹭湖,2室1厅 | 82.49平米 | 南 | 毛坯 | 中楼层(共18层)  | 板塔结合,0人关注 / 5天以前发布,78,"9,456元/平"
益兴名人湾 精装修 三房两卫 户型方正,益兴名人湾 -长征小学,3室2厅 | 137.92平米 | 南 | 精装 | 低楼层(共6层)  | 板楼,9人关注 / 8个月以前发布,146,"10,586元/平"
郦城国际南苑 106.4平，好楼层，满二，无车位，诚意出,郦城国际南苑 -翔宇大道,3室2厅 | 106.41平米 | 南 | 毛坯 | 高楼层(共34层)  | 板楼,0人关注 / 8天以前发布,153,"14,379元/平"
清河新区水渡口大道白鹭湖璟园精装修三室两厅两卫东边,丰球颐园 -白鹭湖,3室1厅 | 112.75平米 | 南 | 精装 | 高楼层(共18层)  | 暂无数据,0人关注 / 1个月以前发布,120,"10,644元/平"
观邸精装修，品牌空调，家具家电，满两年,融侨观邸 -水渡口大道,3室2厅 | 119.61平米 | 南 北 | 精装 | 中楼层(共33层)  | 板塔结合,1人关注 / 2个月以前发布,139,"11,622元/平"
采光好视野佳户型方正 居家装修,中天翡丽湾 -生态新城,3室2厅 | 113.37平米 | 南 | 精装 | 高楼层(共33层)  | 板塔结合,15人关注 / 一年前发布,107,"9,439元/平"
里运河旁精装修 舒适三房 屋况好 急售 看房方便,河畔花城 -翔宇大道,3室2厅 | 121.89平米 | 南 | 精装 | 中楼层(共28层)  | 板塔结合,4人关注 / 一年前发布,120,"9,845元/平"
香格里拉E区 三房精装出售 中上楼层采光好,香格里拉E区 -水渡口大道,3室2厅 | 111.68平米 | 南 | 精装 | 高楼层(共17层)  | 板楼,11人关注 / 9个月以前发布,143,"12,805元/平"
丰球璟园   4室2厅2卫  一楼可做院,丰球璟园 -白鹭湖,4室2厅 | 159.22平米 | 南 | 精装 | 低楼层(共18层)  | 板楼,0人关注 / 10个月以前发布,168,"10,552元/平"
市区亿力未来城精装修三房两卫看房提前联系,亿力未来城 -翔宇大道,3室2厅 | 129.16平米 | 南 | 其他 | 高楼层(共18层)  | 板塔结合,0人关注 / 6个月以前发布,155,"12,001元/平"
淮安恒大名都 3室2厅 南 北,淮安恒大名都 -恒大名都,3室2厅 | 125.43平米 | 南 北 | 其他 | 高楼层(共33层)  | 板塔结合,0人关注 / 4天以前发布,97,"7,734元/平"
新城悦隽 3室1厅 南,新城悦隽 -火车北站,3室1厅 | 120平米 | 南 | 其他 | 低楼层(共34层)  | 板塔结合,0人关注 / 6天以前发布,110,"9,167元/平"
新城悦隽 3室1厅 南,新城悦隽 -火车北站,3室1厅 | 120平米 | 南 | 其他 | 高楼层(共34层)  | 板塔结合,0人关注 / 6天以前发布,115,"9,584元/平"
位置俱佳！靠车站近！出行方便！高楼层！视野,新城悦隽 -火车北站,3室2厅 | 126平米 | 南 | 其他 | 中楼层(共34层)  | 板塔结合,0人关注 / 2天以前发布,105,"8,334元/平"
幸福城一期 精装修三室两厅一卫 随时可看房,幸福城 -淮阴区大润发,3室1厅 | 99.37平米 | 南 | 精装 | 低楼层(共32层)  | 板楼,1人关注 / 16天以前发布,109.8,"11,050元/平"
帝景蓝湾精装3房2卫，家具家电全留，拎包入住,帝景蓝湾(淮阴区) -火车北站,3室1厅 | 119.86平米 | 南 | 精装 | 低楼层(共22层)  | 塔楼,0人关注 / 1个月以前发布,105,"8,761元/平"
深圳路边小高层阳光房大露台三开间朝南精装满二,大湖城邦西区 -深圳路,3室2厅 | 91.42平米 | 东南 | 精装 | 中楼层(共11层)  | 板塔结合,53人关注 / 一年前发布,78,"8,533元/平"
中南三期 户型楼层好 全天采光 房东诚心出售,中南世纪城三期玺园 -中南商圈,3室2厅 | 106平米 | 南 北 | 精装 | 低楼层(共34层)  | 塔楼,4人关注 / 5个月以前发布,120,"11,321元/平"
水沐清华毛坯装修空间大三房三开间朝南 南北通透 税少,水沐清华 -恒大名都,3室2厅 | 96.81平米 | 南 北 | 毛坯 | 低楼层(共6层)  | 板楼,2人关注 / 6个月以前发布,96.8,"9,999元/平"
大润发旁幸福城 三房两厅楼层好采光好,幸福城 -淮阴区大润发,3室1厅 | 108.37平米 | 南 北 | 精装 | 中楼层(共29层)  | 塔楼,0人关注 / 7个月以前发布,124.5,"11,489元/平"
星雨华府 毛坯两房 满两年随时看房,星雨华府(淮安区) -生态新城,2室2厅 | 89.55平米 | 南 | 毛坯 | 高楼层(共32层)  | 板塔结合,0人关注 / 8个月以前发布,118,"13,177元/平"
交通便利，环境优雅，小区居民素质高,云梦清河 -水渡口大道,3室2厅 | 123.91平米 | 南 | 毛坯 | 中楼层(共11层)  | 板楼,6人关注 / 一年前发布,128,"10,331元/平"
此房满2年，出行方便，户型方正，居住方便舒适,云梦清河二期 -水渡口大道,3室2厅 | 127.97平米 | 南 北 | 毛坯 | 低楼层(共18层)  | 板塔结合,4人关注 / 6个月以前发布,111,"8,674元/平"
淮海路 运河旁 精装修 家电齐全,华德力运河城 -恒大名都,2室2厅 | 87.3平米 | 南 北 | 精装 | 高楼层(共6层)  | 塔楼,3人关注 / 8个月以前发布,88,"10,081元/平"
小区 绿 化 好，环 境 优 美，适 宜 居 住，,璟和名城 -水渡口大道,3室2厅 | 127.88平米 | 南 | 毛坯 | 低楼层(共27层)  | 板塔结合,5人关注 / 6个月以前发布,153,"11,965元/平"
市区 清江人家电梯小三室 毛坯 诚心出售 随时看房,清江人家 -延安东路,3室2厅 | 84.39平米 | 南 | 毛坯 | 中楼层(共28层)  | 板塔结合,8人关注 / 5个月以前发布,86,"10,191元/平"
房子户型好，采光无遮挡 ，楼层好。户型通透,怡景园 -大学城商圈,3室2厅 | 106.52平米 | 南 | 简装 | 中楼层(共6层)  | 板楼,7人关注 / 一年前发布,78,"7,323元/平"
红豆美墅毛坯4房2卫，河景房，，，，，，，,红豆美墅 -迎宾大道,4室2厅 | 144.15平米 | 南 北 | 毛坯 | 高楼层(共26层)  | 板塔结合,0人关注 / 3个月以前发布,135,"9,366元/平"
中交香槟国际 3室2厅 南 北,中交香槟国际 -中南商圈,3室2厅 | 120.75平米 | 南 北 | 简装 | 高楼层(共33层)  | 塔楼,0人关注 / 8个月以前发布,110,"9,110元/平"
业主诚心出售 满两年 东边户 楼层好 户型方正采光刺眼,鼎泰·沁园 -大学城商圈,3室2厅 | 130.34平米 | 南 | 毛坯 | 中楼层(共17层)  | 板塔结合,7人关注 / 6个月以前发布,120,"9,207元/平"
装修三房，楼层可以，看房有钥匙，随时看房,亿丰时代广场 -迎宾大道,3室2厅 | 112.62平米 | 南 | 简装 | 中楼层(共32层)  | 板塔结合,0人关注 / 23天以前发布,106,"9,413元/平"
此房是精装修，户型方正，户型方正 产权清晰,荷花池花园小区 -清晏园,3室2厅 | 96.51平米 | 南 | 精装 | 中楼层(共7层)  | 板塔结合,0人关注 / 17天以前发布,350,"36,266元/平"
淮阴区德汇公馆 东边户 两卧朝南户型 中间楼层 采光好,德汇公馆 -长征小学,3室2厅 | 115平米 | 东南 | 精装 | 高楼层(共18层)  | 板楼,0人关注 / 13天以前发布,121,"10,522元/平"
中天华庭二期  三室两厅两卫  楼层好 采光好,中天华庭二期 -漕运西路,3室2厅 | 123平米 | 南 | 精装 | 中楼层(共11层)  | 板楼,0人关注 / 10个月以前发布,160,"13,009元/平"
采光好，户型佳，看房方便，交通便利。。,淮海花园A区 -大运河文化广场,3室1厅 | 100.1平米 | 南 | 简装 | 中楼层(共6层)  | 板楼,4人关注 / 一年前发布,116,"11,589元/平"
盛世名门多层装修三房 紧靠淮中上学方便,盛世名门 -延安东路,3室2厅 | 105.59平米 | 南 北 | 精装 | 中楼层(共5层)  | 板楼,2人关注 / 9个月以前发布,98,"9,282元/平"
小区柳树湾环境优美小区安静房子是三室两厅两卫精装,中南樾府 -外国语,3室2厅 | 112.87平米 | 南 | 精装 | 低楼层(共17层)  | 暂无数据,0人关注 / 1个月以前发布,128,"11,341元/平"
营东菜场  精装三房  户型方正 双阳台采光不错,营东菜场 -淮阴区大润发,3室2厅 | 112.54平米 | 南 | 精装 | 中楼层(共6层)  | 塔楼,22人关注 / 7个月以前发布,70,"6,221元/平"
深圳路 富士康 三房两卫 精装修 业主诚心出售,御景天成花苑 -白鹭湖,3室2厅 | 117.7平米 | 南 北 | 精装 | 中楼层(共8层)  | 暂无数据,4人关注 / 一年前发布,89,"7,562元/平"
精装修的看房提前约家电家具齐全拎包入住,天润翠璟 -外国语,3室2厅 | 116.96平米 | 南 | 精装 | 低楼层(共32层)  | 板楼,0人关注 / 1个月以前发布,126,"10,773元/平"
金榜花园 好户型三房精装修  保养很好急售,金榜花园 -大学城商圈,3室2厅 | 107.38平米 | 南 | 精装 | 中楼层(共5层)  | 板楼,0人关注 / 2个月以前发布,88,"8,196元/平"
急售。宝龙世家3-2-1-2 115.20m²,宝龙世家 -白鹭湖,3室2厅 | 115.2平米 | 南 | 其他 | 中楼层(共26层)  | 塔楼,0人关注 / 22天以前发布,112,"9,723元/平"
宝龙世家毛坯四室两厅两卫户型方正采光好视野开阔,宝龙世家西区 -白鹭湖,4室2厅 | 127平米 | 南 | 毛坯 | 中楼层(共16层)  | 暂无数据,0人关注 / 1个月以前发布,120,"9,449元/平"
吾悦精装修四房两卫，好楼层，采光好诚心出售,吾悦首府B地块 -生态新城,4室1厅 | 160平米 | 南 | 其他 | 中楼层(共33层)  | 板楼,1人关注 / 31天以前发布,260,"16,250元/平"
此房满两年，毛坯四房，小区前排楼栋，里运河景观房,金域华府 -翔宇大道,4室2厅 | 135平米 | 南 北 | 毛坯 | 高楼层(共38层)  | 板塔结合,0人关注 / 25天以前发布,192,"14,223元/平"
金辉城清江府小三房。。。。。。,金辉城清江府 -白鹭湖,3室2厅 | 96平米 | 南 | 毛坯 | 低楼层(共34层)  | 塔楼,0人关注 / 31天以前发布,84.5,"8,803元/平"
裕墨园 3室2厅 南 北,裕墨园 -中南商圈,3室2厅 | 122.87平米 | 南 北 | 毛坯 | 中楼层(共26层)  | 暂无数据,0人关注 / 25天以前发布,150,"12,209元/平"
小区环境好...........,星雨华府(淮安区) -生态新城,4室2厅 | 130.56平米 | 南 | 毛坯 | 中楼层(共32层)  | 板楼,0人关注 / 16天以前发布,147,"11,260元/平"
电梯两室毛坯看房方便有钥匙.......,鑫景湾 -外国语,2室1厅 | 89.63平米 | 南 | 毛坯 | 低楼层(共33层)  | 暂无数据,1人关注 / 28天以前发布,106,"11,827元/平"
幸福城北区中高楼层，拎包入住全天采光双阳台钥匙房,幸福城 -淮阴区大润发,3室2厅 | 99平米 | 南 | 精装 | 中楼层(共32层)  | 板楼,0人关注 / 22天以前发布,116.8,"11,798元/平"
双卫双阳台 两房加客厅朝南的户型采光,融侨观邸 -水渡口大道,3室1厅 | 112.85平米 | 南 | 毛坯 | 高楼层(共30层)  | 塔楼,0人关注 / 19天以前发布,110,"9,748元/平"
颐和花园精装两房，户型方正，双阳台，拎包就住,颐和花园A区 -长征小学,2室2厅 | 77平米 | 南 | 精装 | 低楼层(共31层)  | 暂无数据,0人关注 / 17天以前发布,79.8,"10,364元/平"
兰亭绿城  精装修  户型方正  看房提前联系,兰亭绿城 -漕运西路,2室2厅 | 86.98平米 | 南 | 精装 | 中楼层(共24层)  | 暂无数据,0人关注 / 27天以前发布,75,"8,623元/平"
