标题,开发商,房子信息,发布信息,售价/万,单价
公馆贰号 2室1厅 西北,公馆贰号 -南岸西区,2室1厅 | 41.43平米 | 西北 | 其他 | 高楼层(共16层)  | 塔楼,0人关注 / 5天以前发布,32.8,"7,917元/平"
丽雅大院看江！叠拼别墅上3连跃层，420万包大车位,丽雅大院 -南岸西区,4室2厅 | 234.09平米 | 东南 | 其他 | 下叠(共3层)  | 板楼 | 叠拼别墅 ,13人关注 / 一年前发布,400,"17,088元/平"
人民路学 校对 面紫金城二期豪 装大四房出售,紫金城玺园 -临港,4室2厅 | 123.88平米 | 西南 | 其他 | 高楼层(共22层)  | 暂无数据,1人关注 / 一年前发布,138,"11,140元/平"
金帝庄园B区空中别墅5室二厅一厨5卫清水房出售,正和金帝庄园B区 -中坝,5室2厅 | 415平米 | 东南 | 其他 | 中楼层(共29层)  | 暂无数据,1人关注 / 一年前发布,425,"10,241元/平"
行方便，户型方正，居住环境优雅，采光好,经典北新公馆 -城北新区,4室2厅 | 120.7平米 | 东南 | 其他 | 高楼层(共32层)  | 暂无数据,3人关注 / 一年前发布,73.8,"6,115元/平"
叙州区毕加索庄园精装大3房房东诚意出售,城中央-毕加索庄园 -城北新区,3室2厅 | 118平米 | 西北 | 精装 | 低楼层(共32层)  | 板楼,0人关注 / 一年前发布,97,"8,221元/平"
城北新区精装三室，房东诚意出售,远达香榭里一期 -城北新区,3室2厅 | 79.59平米 | 南 | 其他 | 高楼层(共32层)  | 暂无数据,3人关注 / 9个月以前发布,68,"8,544元/平"
左岸公馆 清水正四房 正看龙文、体育馆 采光通风好,拉菲-左岸公馆 -城北新区,4室2厅 | 129.5平米 | 西北 | 毛坯 | 中楼层(共33层)  | 暂无数据,2人关注 / 一年前发布,92,"7,105元/平"
中山生态园     5室 125平,中山生态园 -南岸东区,5室2厅 | 125平米 | 东南 | 其他 | 高楼层(共8层)  | 暂无数据,9人关注 / 一年前发布,97,"7,760元/平"
全中庭，正看大中庭，看七星山，视野巴适,山水原著三期原香岭 -南岸西区,3室2厅 | 108.8平米 | 南 | 其他 | 33层  | 塔楼,19人关注 / 一年前发布,97,"8,916元/平"
顶楼带露台花园房，走过路过不要错过,邦泰天誉二期 -南岸西区,4室1厅 | 98平米 | 东南 | 其他 | 高楼层(共17层)  | 板楼,0人关注 / 1个月以前发布,180,"18,368元/平"
南岸东区  莱茵河畔 精装 楼层佳 户型好,莱茵河畔-丽江湾 -南岸东区,2室2厅 | 72平米 | 南 | 精装 | 中楼层(共22层)  | 板塔结合,9人关注 / 一年前发布,86.8,"12,056元/平"
滨江国际三房双卫 清水房 单价八千 看中庭 客厅阳台,正和滨江国际B区 -中坝,3室2厅 | 127平米 | 东南 | 毛坯 | 低楼层(共23层)  | 塔楼,15人关注 / 一年前发布,102,"8,032元/平"
邦泰社区97户型带转角大阳台+免费车位即买即装修,邦泰国际社区北区 -临港,3室2厅 | 97.49平米 | 西北 | 毛坯 | 低楼层(共30层)  | 暂无数据,1人关注 / 一年前发布,94,"9,643元/平"
户型方正，采光通透，入住环境优美。,白沙翡翠城 -临港,3室1厅 | 89平米 | 东南 | 其他 | 高楼层(共17层)  | 暂无数据,0人关注 / 11个月以前发布,88,"9,888元/平"
邦泰天誉二期 92平三室一卫小户型 动静分区,邦泰天誉二期 -南岸西区,3室2厅 | 93平米 | 东南 东北 | 毛坯 | 低楼层(共17层)  | 板楼,5人关注 / 一年前发布,95,"10,216元/平"
肖邦26栋视野开阔，中高楼，精装新房，大三室，,城中央-肖邦 -城北新区,3室2厅 | 92平米 | 东南 | 精装 | 高楼层(共33层)  | 板楼,5人关注 / 一年前发布,76.8,"8,348元/平"
房子使用面积180平左右，房东急售，顶跃一线江景房,阳光碧水长滩 -新村,3室2厅 | 81.47平米 | 西南 | 毛坯 | 高楼层(共33层)  | 塔楼,2人关注 / 一年前发布,85,"10,434元/平"
邦泰北区  精装  三室两厅双卫   带车位出售,邦泰国际社区北区 -临港,3室2厅 | 92平米 | 东南 | 精装 | 中楼层(共7层)  | 暂无数据,15人关注 / 一年前发布,112,"12,174元/平"
户 型 方 正，采 光 相 当 好，上 学 很 近。,城中央南城 -柏溪镇,3室2厅 | 99.24平米 | 东北 | 毛坯 | 低楼层(共33层)  | 板楼,1人关注 / 一年前发布,75,"7,558元/平"
三江新区白沙鹭岛房东诚心出售，看中庭，房本已拿到手,邦泰白沙鹭岛 -临港,3室2厅 | 112.93平米 | 东 | 其他 | 中楼层(共17层)  | 暂无数据,1人关注 / 一年前发布,104,"9,210元/平"
户型方正  领  包  入   住,鲁能山水绿城D街区 -南岸西区,3室2厅 | 124.1平米 | 南 | 精装 | 低楼层(共18层)  | 暂无数据,2人关注 / 一年前发布,102,"8,220元/平"
南岸西区繁华地段媞香湾洋房双阳台清水4房出售,山水原著二期缇香湾 -南岸西区,4室2厅 | 136.2平米 | 东南 | 毛坯 | 中楼层(共6层)  | 板塔结合,9人关注 / 一年前发布,143.5,"10,536元/平"
大地坡邦泰天誉二期全中庭三房有证带车位房东诚心出售,邦泰天誉二期 -南岸西区,3室2厅 | 114平米 | 东 东南 | 毛坯 | 中楼层(共17层)  | 暂无数据,0人关注 / 2个月以前发布,125,"10,965元/平"
锦绣龙城精装4房 ，看中庭中间楼层,锦绣龙城 -南岸西区,4室2厅 | 127平米 | 东 | 精装 | 中楼层(共16层)  | 板塔结合,3人关注 / 一年前发布,207,"16,300元/平"
精装三房，视野好，户型通透，看房方便，,阳光城珑山悦 -南岸西区,3室2厅 | 125平米 | 南 | 精装 | 低楼层(共17层)  | 暂无数据,0人关注 / 1个月以前发布,160,"12,800元/平"
邦泰天誉二期 带车位出售 三房双卫,邦泰天誉二期 -南岸西区,3室2厅 | 113.86平米 | 东 | 其他 | 高楼层(共17层)  | 暂无数据,0人关注 / 一年前发布,145,"12,735元/平"
邦泰社区北区精装三房 户型方正 采光好 可加价带车位,邦泰国际社区北区 -临港,3室2厅 | 85平米 | 南 | 精装 | 低楼层(共30层)  | 板楼,17人关注 / 一年前发布,86.5,"10,177元/平"
丽雅龙城 3室2厅 南,丽雅龙城 -南岸西区,3室2厅 | 117平米 | 南 | 精装 | 中楼层(共22层)  | 板塔结合,11人关注 / 一年前发布,163,"13,932元/平"
标准四房双卫，正看中庭，带车位，旁边四大公园,锦绣龙城 -南岸西区,4室2厅 | 129平米 | 南 | 毛坯 | 低楼层(共16层)  | 板塔结合,16人关注 / 一年前发布,159,"12,326元/平"
锦绣龙城跃层带产权车位仅剩一席,锦绣龙城 -南岸西区,4室2厅 | 100.79平米 | 西南 | 毛坯 | 高楼层(共16层)  | 板塔结合,17人关注 / 一年前发布,180,"17,859元/平"
正对中庭，楼栋好，楼层佳看全中庭（以下证）,华润公园九里 -临港,3室2厅 | 113平米 | 西南 | 其他 | 中楼层(共32层)  | 暂无数据,4人关注 / 9个月以前发布,99,"8,762元/平"
邦泰天誉三房 带字母车位 正中庭 看房方便,邦泰天誉二期 -南岸西区,3室2厅 | 115平米 | 南 | 其他 | 高楼层(共17层)  | 板楼,0人关注 / 一年前发布,140,"12,174元/平"
龙源府 邸，现目前唯一一套清水两房出售，,龙源府邸 -南岸西区,2室2厅 | 76.15平米 | 东南 | 毛坯 | 高楼层(共18层)  | 板塔结合,8人关注 / 一年前发布,82,"10,769元/平"
中楼层，小区安静，配套完善，出行便利,海韵名都 -南岸西区,3室1厅 | 123平米 | 东南 | 简装 | 高楼层(共11层)  | 暂无数据,3人关注 / 8个月以前发布,98,"7,968元/平"
临港邦泰国际社区 清水三房 小区环境优美 带车位出售,邦泰国际社区北区 -临港,3室2厅 | 85平米 | 东 | 毛坯 | 低楼层(共30层)  | 暂无数据,0人关注 / 一年前发布,90,"10,589元/平"
吉祥名都三室出售 出行方便便捷,吉祥名都 -南岸西区,3室2厅 | 104.42平米 | 东南 | 简装 | 低楼层(共6层)  | 塔楼,2人关注 / 一年前发布,69,"6,608元/平"
邦泰北区，大三房双卫，清水带车位,邦泰国际社区北区 -临港,3室2厅 | 100平米 | 东南 | 毛坯 | 高楼层(共30层)  | 板塔结合,4人关注 / 一年前发布,87,"8,700元/平"
江语城精装2房，诚心急售，证满2年 可按揭,浩誉江语城 -中坝,2室2厅 | 80平米 | 东 | 精装 | 低楼层(共28层)  | 塔楼,6人关注 / 一年前发布,71.8,"8,975元/平"
此房视野开阔，采光充足，配套设施齐全，交通便利,邦泰国际社区北区 -临港,3室2厅 | 99平米 | 东南 | 精装 | 高楼层(共30层)  | 暂无数据,9人关注 / 一年前发布,106.8,"10,788元/平"
邦泰天誉一期四房两卫，小区环境好出行方便人车分流,邦泰天誉一期 -南岸西区,4室2厅 | 139平米 | 东南 | 毛坯 | 低楼层(共7层)  | 暂无数据,5人关注 / 一年前发布,137.9,"9,921元/平"
降价了 降价了+宜宾网红水街公园4房,邦泰白沙鹭岛 -临港,4室2厅 | 122平米 | 西北 | 毛坯 | 低楼层(共17层)  | 暂无数据,4人关注 / 一年前发布,110,"9,017元/平"
观澜上郡小区位于金沙江河畔江景房,观澜上郡 -柏溪镇,3室2厅 | 87.81平米 | 东南 | 毛坯 | 中楼层(共32层)  | 塔楼,3人关注 / 一年前发布,55,"6,264元/平"
水映金沙，三室两厅，清水房，户型方正,水映金沙 -柏溪镇,3室2厅 | 71平米 | 北 | 毛坯 | 中楼层(共27层)  | 板塔结合,11人关注 / 一年前发布,47,"6,620元/平"
鑫领寓精装大三房诚心出售家具家电齐全,鑫领寓 -南岸西区,3室2厅 | 134平米 | 南 | 精装 | 中楼层(共32层)  | 板塔结合,2人关注 / 一年前发布,120,"8,956元/平"
环境优美．装修简单．方便重装．,碧竹山庄 -南岸西区,3室2厅 | 127.66平米 | 南 | 简装 | 中楼层(共7层)  | 塔楼,2人关注 / 一年前发布,88.8,"6,956元/平"
邦泰物业 户型方正 配套齐全 房东诚心出售,邦泰临港国际 -临港,3室2厅 | 106.7平米 | 南 | 毛坯 | 低楼层(共28层)  | 塔楼,0人关注 / 10个月以前发布,89.5,"8,389元/平"
下江北邦泰临港国际标准大三房诚售,邦泰临港国际 -临港,3室2厅 | 106.07平米 | 东 | 精装 | 高楼层(共30层)  | 塔楼,3人关注 / 一年前发布,101,"9,523元/平"
南岸东区莱茵河畔西湖湾 标准的3房2卫 拎包入住,莱茵河畔-西湖湾 -南岸东区,3室2厅 | 128平米 | 南 | 精装 | 高楼层(共24层)  | 板塔结合,5人关注 / 一年前发布,140,"10,938元/平"
吉祥名都装修大三房出售，生活方便，交通便利,吉祥名都 -南岸西区,3室2厅 | 130.01平米 | 东南 南 | 简装 | 高楼层(共11层)  | 平房,0人关注 / 3个月以前发布,85.8,"6,600元/平"
此房户型方正，正看中庭，小区绿化环境优美,邦泰天誉二期 -南岸西区,3室2厅 | 116平米 | 东南 | 毛坯 | 中楼层(共17层)  | 暂无数据,2人关注 / 一年前发布,145,"12,500元/平"
豪   装四房 每周按时钟点工打扫卫生 干干净整洁,临港中央 -临港,4室2厅 | 134.34平米 | 东南 | 精装 | 中楼层(共29层)  | 板楼,11人关注 / 一年前发布,128,"9,529元/平"
丽雅龙城奢居套四，全江景，正看来水。,丽雅龙城 -南岸西区,4室2厅 | 230.1平米 | 南 | 精装 | 中楼层(共33层)  | 板塔结合,1人关注 / 2个月以前发布,399.8,"17,376元/平"
小区在金沙江河畔，环境优雅，配套成熟，出行方便,阳光花园 -柏溪镇,3室2厅 | 142平米 | 东南 | 精装 | 中楼层(共7层)  | 平房,3人关注 / 一年前发布,69,"4,860元/平"
精装电梯小三室，房东急卖！！！,文星花园 -城北新区,3室2厅 | 82平米 | 东南 南 | 精装 | 低楼层(共12层)  | 暂无数据,5人关注 / 2个月以前发布,42.8,"5,220元/平"
莱茵河畔的小两室  物美价廉.......,莱茵河畔-月光半岛 -南岸东区,2室2厅 | 65.23平米 | 南 | 其他 | 高楼层(共21层)  | 板塔结合,9人关注 / 一年前发布,72.8,"11,161元/平"
