标题,开发商,房子信息,发布信息,售价/万,单价
阳光100米娅中心二期 1室1厅 南,阳光100米娅中心二期 -万年场,1室1厅 | 48.59平米 | 南 | 精装 | 高楼层(共26层) | 2015年建 | 塔楼,18人关注 / 5个月以前发布,98,"20,169元/平"
南湖国际社区 4室2厅 东,南湖国际社区 -南湖,4室2厅 | 186平米 | 东 | 精装 | 低楼层(共34层) | 2010年建 | 板塔结合,6人关注 / 2个月以前发布,430,"23,119元/平"
交桂二巷21号院 3室2厅 南,交桂二巷21号院 -西南交大,3室2厅 | 96.25平米 | 南 | 简装 | 中楼层(共7层) | 1999年建 | 板楼,3人关注 / 2个月以前发布,86,"8,936元/平"
南湖国际社区 5室2厅 南,南湖国际社区 -南湖,5室2厅 | 234.76平米 | 南 | 精装 | 低楼层(共34层) | 2010年建 | 板塔结合,385人关注 / 8个月以前发布,445,"18,956元/平"
桂王桥东街4号 3室1厅 东南,桂王桥东街4号 -盐市口,3室1厅 | 91.32平米 | 东南 | 简装 | 低楼层(共7层) | 1999年建 | 板楼,6人关注 / 1个月以前发布,95,"10,403元/平"
万科翡翠公园 3室1厅 南,万科翡翠公园 -南湖,3室1厅 | 94.71平米 | 南 | 精装 | 高楼层(共35层)  | 塔楼,7人关注 / 2个月以前发布,245,"25,869元/平"
央湖名邸二期 3室2厅 东 西,央湖名邸二期 -东湖,3室2厅 | 100.04平米 | 东 西 | 精装 | 中楼层(共31层) | 2018年建 | 塔楼,313人关注 / 一年前发布,278,"27,789元/平"
恒大帝景 3室2厅 西,恒大帝景 -高新西,3室2厅 | 102.43平米 | 西 | 精装 | 低楼层(共29层) | 2016年建 | 塔楼,13人关注 / 11个月以前发布,106,"10,349元/平"
会所花园 3室1厅 西,会所花园 -五大花园,3室1厅 | 128.74平米 | 西 | 精装 | 低楼层(共12层) | 2002年建 | 板楼,0人关注 / 1个月以前发布,175,"13,594元/平"
蓝光圣菲town城 3室2厅 南,蓝光圣菲town城 -航空港,3室2厅 | 86.33平米 | 南 | 精装 | 中楼层(共23层) | 2009年建 | 塔楼,9人关注 / 1个月以前发布,138,"15,986元/平"
锦绣花园西区 3室2厅 东南,锦绣花园西区 -桐梓林,3室2厅 | 153.11平米 | 东南 | 精装 | 中楼层(共16层) | 2003年建 | 板楼,34人关注 / 5个月以前发布,235,"15,349元/平"
