标题,开发商,房子信息,发布信息,售价/万,单价
恒大名都 3室2厅 南 北,恒大名都 -盐湖区,3室2厅 | 151.46平米 | 南 北 | 精装 | 高楼层(共32层)  | 板塔结合,0人关注 / 1天以前发布,86.6,"5,718元/平"
业主 急售  带地下室 车位  满二 可按揭,盐湖城 -盐湖区,3室2厅 | 118平米 | 南 北 | 其他 | 高楼层(共6层)  | 板塔结合,0人关注 / 19天以前发布,62.8,"5,323元/平"
禹都花园电梯好楼层满二南北通透,禹都花园 -盐湖区,3室2厅 | 141.77平米 | 南 北 | 精装 | 高楼层(共16层)  | 板楼,0人关注 / 15天以前发布,79.8,"5,629元/平"
弘丰源天玺城 4室2厅 南 北,弘丰源天玺城 -盐湖区,4室2厅 | 167平米 | 南 北 | 其他 | 低楼层(共24层)  | 暂无数据,0人关注 / 14天以前发布,113.8,"6,815元/平"
东湖湾 4室2厅 南 北,东湖湾 -盐湖区,4室2厅 | 166.37平米 | 南 北 | 其他 | 高楼层(共12层)  | 暂无数据,0人关注 / 13天以前发布,175,"10,519元/平"
急售云天格调，南北通透户型，三室两厅两卫,云天格调 -盐湖区,3室2厅 | 116.13平米 | 南 北 | 其他 | 中楼层(共8层)  | 板塔结合,4人关注 / 8个月以前发布,58.8,"5,064元/平"
电梯好楼层，户型南北大通透 采光好 前后屋遮挡,铂郡东方 -盐湖区,3室2厅 | 137平米 | 南 北 | 其他 | 高楼层(共26层)  | 暂无数据,0人关注 / 12天以前发布,73.8,"5,387元/平"
五洲观澜 经典好户型 品牌家装 婚房首  选 随时可看,五洲观澜 -盐湖区,4室2厅 | 131平米 | 南 北 | 其他 | 低楼层(共33层)  | 板楼,0人关注 / 11天以前发布,135,"10,306元/平"
精装未住，电梯中层，业主置换改善,恒大绿洲 -盐湖区,3室2厅 | 114平米 | 南 | 其他 | 中楼层(共33层)  | 板塔结合,0人关注 / 13天以前发布,88,"7,720元/平"
金悦华府，南北通透，三室，满二可按揭,金鑫·金悦华府 -盐湖区,3室2厅 | 124平米 | 南 北 | 其他 | 低楼层(共32层)  | 板塔结合,0人关注 / 8天以前发布,85.8,"6,920元/平"
小高层，复试楼，美丽的很，挑高7米左右,幸福里铂郡 -盐湖区,5室2厅 | 252平米 | 南 北 | 其他 | 高楼层(共18层)  | 暂无数据,4人关注 / 4个月以前发布,110,"4,366元/平"
天宝春沐苑 5室2厅 南 北,天宝春沐苑 -盐湖区,5室2厅 | 250平米 | 南 北 | 其他 | 低楼层(共5层)  | 暂无数据,1人关注 / 21天以前发布,155,"6,200元/平"
东区逸夫 运中 步梯低层三居两卫满二可按揭,御泽苑 -盐湖区,3室2厅 | 124平米 | 南 | 其他 | 低楼层(共6层)  | 暂无数据,0人关注 / 7天以前发布,86,"6,936元/平"
南风广场！行署六院，电梯17楼，3室2厅1卫,市委六院小区 -盐湖区,3室2厅 | 123平米 | 南 北 | 其他 | 高楼层(共19层)  | 暂无数据,0人关注 / 6天以前发布,72,"5,854元/平"
业主急售，电梯低楼层，精装修。,学苑花都 -盐湖区,3室2厅 | 138.49平米 | 南 北 | 其他 | 低楼层(共13层)  | 板楼,0人关注 / 6天以前发布,107,"7,727元/平"
盐湖城地暖 中层采光好 首付20万品牌家具带露台户型好,盐湖城 -盐湖区,3室2厅 | 137.31平米 | 南 | 其他 | 高楼层(共6层)  | 板塔结合,0人关注 / 7天以前发布,85.8,"6,249元/平"
南北通透  大阳台 精装短住 满二,安民华府 -盐湖区,3室2厅 | 137.53平米 | 南 北 | 其他 | 中楼层(共7层)  | 暂无数据,0人关注 / 6天以前发布,50.8,"3,694元/平"
好房：地委行署机关第十一家属院，好地段，学 区房,地委行暑机关第十一家属院 -盐湖区,3室2厅 | 90平米 | 南 北 | 其他 | 中楼层(共5层)  | 暂无数据,0人关注 / 5天以前发布,38.5,"4,278元/平"
锦绣花城北区 3室2厅 南 北,锦绣花城北区 -盐湖区,3室2厅 | 126.44平米 | 南 北 | 其他 | 低楼层(共12层)  | 板楼,0人关注 / 5天以前发布,88.8,"7,024元/平"
华曦城央首府！电梯4楼，3室2厅2卫，5300一平,华曦城央首府 -盐湖区,3室2厅 | 142.55平米 | 南 北 | 其他 | 低楼层(共33层)  | 暂无数据,0人关注 / 6天以前发布,75,"5,262元/平"
此房南北通透 电梯高楼层，视野宽阔，采光充足,广厦金海湾 -盐湖区,4室3厅 | 120平米 | 南 北 | 其他 | 高楼层(共18层)  | 暂无数据,0人关注 / 3天以前发布,105,"8,750元/平"
御景华庭 3室2厅 南 北,御景华庭 -盐湖区,3室2厅 | 140.2平米 | 南 北 | 其他 | 高楼层(共17层)  | 暂无数据,0人关注 / 6天以前发布,142,"10,129元/平"
新出！学府嘉园，精装修好房，拎包住，带地下室,学府嘉园(盐湖区) -盐湖区,3室2厅 | 162.9平米 | 南 北 | 其他 | 高楼层(共6层)  | 暂无数据,0人关注 / 4天以前发布,81.8,"5,022元/平"
禹都花园 4室2厅 南 北,禹都花园 -盐湖区,4室2厅 | 155.95平米 | 南 北 | 精装 | 中楼层(共16层)  | 板楼,0人关注 / 3天以前发布,92.8,"5,951元/平"
盐湖城 业主降价急售 采光好 有露台地下室 有本满二,盐湖城 -盐湖区,3室2厅 | 133平米 | 南 北 | 其他 | 高楼层(共6层)  | 板塔结合,0人关注 / 7天以前发布,74.8,"5,625元/平"
外滩首府 3室2厅 南 北,外滩首府 -盐湖区,3室2厅 | 153平米 | 南 北 | 其他 | 高楼层(共23层)  | 板塔结合,0人关注 / 3天以前发布,168,"10,981元/平"
急售：港府花都好位置  三层别墅 5室4卫,港府花都2期 -盐湖区,5室2厅 | 278平米 | 南 北 | 毛坯 | 低楼层(共3层)  | 暂无数据,0人关注 / 4天以前发布,230,"8,274元/平"
解三旁 三室双卫 好楼层。房本在手！支持按揭。,翰林湖畔 -盐湖区,3室2厅 | 111.29平米 | 南 北 | 精装 | 中楼层(共5层)  | 板塔结合,0人关注 / 1个月以前发布,66,"5,931元/平"
大运外滩玺园 4室2厅 南 北,大运外滩玺园 -盐湖区,4室2厅 | 150平米 | 南 北 | 精装 | 低楼层(共32层)  | 板楼,0人关注 / 21天以前发布,135,"9,000元/平"
港府花都 电梯好楼层 一楼带院 院子60平米 公摊小,港府花都 -盐湖区,3室2厅 | 121平米 | 南 北 | 毛坯 | 低楼层(共7层)  | 暂无数据,0人关注 / 16天以前发布,68,"5,620元/平"
银湖小区别墅楼 三层带车库 精装拎包入住 有证满二,银湖小区 -盐湖区,6室4厅 | 316平米 | 南 北 | 精装 | 低楼层(共3层)  | 暂无数据,0人关注 / 21天以前发布,290,"9,178元/平"
急售：工农西街 运汽家属院步梯高层3居室2卫中装,运汽家属院 -盐湖区,3室2厅 | 151.75平米 | 南 北 | 精装 | 高楼层(共6层)  | 暂无数据,0人关注 / 16天以前发布,58,"3,823元/平"
业主急售！东郡 电梯底层 精装婚房 房本在手满二,水岸华庭东郡 -盐湖区,3室2厅 | 144平米 | 南 北 | 精装 | 低楼层(共28层)  | 板塔结合,0人关注 / 11天以前发布,138,"9,584元/平"
东花园旁捡漏好房   三室两厅一卫 只要二十几万,幸福院子 -盐湖区,3室2厅 | 115平米 | 南 北 | 毛坯 | 高楼层(共6层)  | 暂无数据,0人关注 / 10天以前发布,26,"2,261元/平"
文苑住宅区 3室2厅 南 北,文苑住宅区 -盐湖区,3室2厅 | 126平米 | 南 北 | 简装 | 中楼层(共5层)  | 暂无数据,0人关注 / 12天以前发布,50.5,"4,008元/平"
急售 印象南湖 四室两厅两卫 新装短柱 保养如新,印象南湖 -盐湖区,4室2厅 | 166.42平米 | 南 北 | 精装 | 高楼层(共18层)  | 暂无数据,0人关注 / 9天以前发布,92,"5,529元/平"
出售/出租：写字楼128平米  环球财富大厦电梯办公楼,财富大厦 -盐湖区,2室1厅 | 127.18平米 | 西 | 简装 | 高楼层(共16层)  | 板楼,0人关注 / 一年前发布,70,"5,505元/平"
中鑫美景天城 3室2厅 南 北,中鑫美景天城 -盐湖区,3室2厅 | 120.16平米 | 南 北 | 精装 | 高楼层(共7层)  | 暂无数据,0人关注 / 2个月以前发布,78,"6,492元/平"
空港北区 颐贤园  3居2卫南北通透好户型 出售,颐贤园 -盐湖区,3室2厅 | 133.01平米 | 南 北 | 精装 | 中楼层(共6层)  | 板楼,2人关注 / 7个月以前发布,69,"5,188元/平"
出售：货场西路 银都花苑 步梯一楼3居室房,银都花苑 -盐湖区,3室2厅 | 99.14平米 | 东 南 北 | 简装 | 低楼层(共6层)  | 暂无数据,0人关注 / 5个月以前发布,46.8,"4,721元/平"
华曦 电梯中层 精装 满二 拎包入住 可按揭 首付,华曦城央首府 -盐湖区,3室2厅 | 142.55平米 | 南 北 | 精装 | 高楼层(共33层)  | 暂无数据,0人关注 / 1个月以前发布,89.8,"6,300元/平"
东湖湾  电梯好楼层 可按揭 南北通透,东湖湾 -盐湖区,3室2厅 | 125.22平米 | 南 北 | 其他 | 中楼层(共16层)  | 暂无数据,0人关注 / 7天以前发布,89,"7,108元/平"
经典三居室 电梯中层 视野开阔 人车分流总价格低,嘉禾华侨城 -盐湖区,3室2厅 | 130.9平米 | 南 北 | 其他 | 中楼层(共16层)  | 暂无数据,0人关注 / 7天以前发布,70,"5,348元/平"
西域年华，温馨三居，中间楼层，价格美丽,西域年华 -盐湖区,3室2厅 | 86.51平米 | 南 | 其他 | 中楼层(共6层)  | 暂无数据,0人关注 / 8天以前发布,33,"3,815元/平"
蒲东小区 3室2厅 南 北,蒲东小区 -盐湖区,3室2厅 | 112平米 | 南 北 | 简装 | 低楼层(共16层)  | 板楼,0人关注 / 4天以前发布,60.8,"5,429元/平"
左岸凰城 三房 有本首付少 出门1500米就是私塾,左岸凰城 -盐湖区,3室2厅 | 112.11平米 | 南 北 | 毛坯 | 低楼层(共18层)  | 暂无数据,0人关注 / 8天以前发布,54.5,"4,862元/平"
恒大绿洲 3室2厅 南 北,恒大绿洲 -盐湖区,3室2厅 | 130平米 | 南 北 | 其他 | 高楼层(共33层)  | 板塔结合,0人关注 / 6天以前发布,79.8,"6,139元/平"
晋府壹号 3室2厅 南,晋府壹号 -盐湖区,3室2厅 | 117平米 | 南 | 其他 | 高楼层(共33层)  | 暂无数据,0人关注 / 1天以前发布,80.8,"6,906元/平"
御苑尚品 现房洋房低密度 采光好 环境好 随时看房 4室,御苑尚品 -盐湖区,4室2厅 | 160.03平米 | 南 北 | 其他 | 低楼层(共8层)  | 暂无数据,0人关注 / 19天以前发布,160,"9,999元/平"
天鹅湾 四居室 红军学 区 可按揭 随时看房 有钥匙,天鹅湾 -盐湖区,4室2厅 | 156平米 | 北 | 其他 | 低楼层(共18层)  | 板楼,0人关注 / 28天以前发布,96.8,"6,206元/平"
书香名邸 3室2厅 西 东,书香名邸 -盐湖区,3室2厅 | 118平米 | 西 东 | 其他 | 高楼层(共6层)  | 暂无数据,0人关注 / 19天以前发布,69.8,"5,916元/平"
万和城  124平 电梯中层 南北大通透 三室两卫,正通·万和城 -盐湖区,3室2厅 | 124.24平米 | 南 北 | 毛坯 | 高楼层(共33层)  | 暂无数据,0人关注 / 17天以前发布,74.5,"5,997元/平"
东郡，满二好房，南北直通户型，钥匙在手，随时可看,水岸华庭东郡 -盐湖区,3室2厅 | 142.44平米 | 南 北 | 毛坯 | 高楼层(共29层)  | 暂无数据,0人关注 / 17天以前发布,120,"8,425元/平"
空港北区 怡鑫苑 精装大两室 房本满二 可按揭,怡鑫苑 -盐湖区,2室1厅 | 90平米 | 南 北 | 精装 | 低楼层(共6层)  | 暂无数据,0人关注 / 17天以前发布,33,"3,667元/平"
凤凰财富广场 3室2厅 南 北,凤凰财富广场 -盐湖区,3室2厅 | 120平米 | 南 北 | 精装 | 高楼层(共32层)  | 板塔结合,0人关注 / 16天以前发布,68.8,"5,734元/平"
蒲东小区3室2厅一厨一卫毛坯南北通透,蒲东小区 -盐湖区,3室2厅 | 110平米 | 南 西北 | 其他 | 中楼层(共16层)  | 暂无数据,0人关注 / 16天以前发布,62.8,"5,710元/平"
东上水漾佳苑 步梯5楼顶层 看房有钥匙 过渡房,东上水漾佳苑 -盐湖区,3室2厅 | 110.4平米 | 南 北 | 毛坯 | 中楼层(共11层)  | 暂无数据,0人关注 / 12天以前发布,30,"2,718元/平"
香港花园 3室2厅 南 北,香港花园 -盐湖区,3室2厅 | 101平米 | 南 北 | 精装 | 低楼层(共12层)  | 暂无数据,0人关注 / 10天以前发布,52,"5,149元/平"
空港南区  南北通透 电梯好楼层,港府花都2期 -盐湖区,3室2厅 | 131平米 | 南 北 | 毛坯 | 中楼层(共17层)  | 暂无数据,0人关注 / 10天以前发布,63,"4,810元/平"
尧梦湖畔南北通透大三室  全明户型,蒲东小区 -盐湖区,3室2厅 | 109平米 | 南 北 | 毛坯 | 高楼层(共16层)  | 暂无数据,0人关注 / 9天以前发布,62,"5,689元/平"
美林山 小三居 电梯中层 大红本在手满二 业主诚意出售,美林山 -盐湖区,3室2厅 | 108平米 | 南 | 毛坯 | 中楼层(共22层)  | 板楼,0人关注 / 12天以前发布,56,"5,186元/平"
金悦华府东区3室1卫南北通透原价出手,金鑫·金悦华府 -盐湖区,3室2厅 | 124.4平米 | 南 北 | 毛坯 | 高楼层(共32层)  | 板塔结合,0人关注 / 11个月以前发布,80.86,"6,500元/平"
空港北区 性 价 比高 环境好三居室精装修,名人港湾 -盐湖区,3室2厅 | 131平米 | 南 北 | 毛坯 | 高楼层(共12层)  | 暂无数据,0人关注 / 10个月以前发布,63.8,"4,871元/平"
外滩首府 3室2厅 南 北,外滩首府 -盐湖区,3室2厅 | 190.2平米 | 南 北 | 精装 | 低楼层(共26层)  | 板塔结合,1人关注 / 11个月以前发布,185,"9,727元/平"
有证满二  可按揭  有地下室 电梯好楼层  精装修,云天格调 -盐湖区,3室2厅 | 116平米 | 南 北 | 精装 | 低楼层(共8层)  | 板塔结合,0人关注 / 6天以前发布,57.8,"4,983元/平"
有证满二 大产权  可按揭 步梯好楼层  精装修,鸿德阳光嘉苑 -盐湖区,3室2厅 | 106平米 | 南 北 | 精装 | 中楼层(共6层)  | 板塔结合,0人关注 / 7天以前发布,56.8,"5,359元/平"
小区配套齐全，公园、医院、魏风小 学距离都比较近,关铝花园 -盐湖区,3室2厅 | 133.76平米 | 南 北 | 毛坯 | 中楼层(共10层)  | 暂无数据,0人关注 / 8天以前发布,87,"6,505元/平"
圣惠嘉园 3室2厅 南 北,圣惠嘉园 -盐湖区,3室2厅 | 115平米 | 南 北 | 精装 | 高楼层(共11层)  | 暂无数据,0人关注 / 5天以前发布,54,"4,696元/平"
新出好房：幸福里铂郡电梯高层，带地下室，包增值税！,幸福里铂郡 -盐湖区,3室1厅 | 106.7平米 | 南 北 | 精装 | 高楼层(共26层)  | 暂无数据,0人关注 / 8天以前发布,75.8,"7,105元/平"
万和城洋房电梯好楼层，三室两卫可按揭,正通·万和城 -盐湖区,3室2厅 | 127平米 | 南 北 | 毛坯 | 高楼层(共11层)  | 暂无数据,0人关注 / 2天以前发布,85,"6,693元/平"
五洲观澜 3室2厅 南,五洲观澜 -盐湖区,3室2厅 | 123平米 | 南 | 其他 | 高楼层(共33层)  | 暂无数据,0人关注 / 4天以前发布,86.8,"7,057元/平"
外滩玺园，毛坯通透好房，首付17万，有钥匙，随时看房,大运外滩玺园 -盐湖区,3室2厅 | 129平米 | 南 | 毛坯 | 高楼层(共27层)  | 板楼,0人关注 / 6天以前发布,85,"6,590元/平"
禹都花园 2室2厅 南 北,禹都花园 -盐湖区,2室2厅 | 110平米 | 南 北 | 简装 | 高楼层(共6层)  | 板楼,0人关注 / 3天以前发布,42,"3,819元/平"
大世界花园 电梯中层 精装带车位带地下室 边户 可按揭,大世界花园 -盐湖区,3室2厅 | 146平米 | 南 北 | 精装 | 低楼层(共18层)  | 暂无数据,0人关注 / 1个月以前发布,115,"7,877元/平"
学府嘉园(盐湖区) 3室2厅 南 北,学府嘉园(盐湖区) -盐湖区,3室2厅 | 129平米 | 南 北 | 精装 | 低楼层(共6层)  | 板塔结合,0人关注 / 22天以前发布,98,"7,597元/平"
急售人民北路好地段，好房海天花苑,海天花苑 -盐湖区,3室2厅 | 110平米 | 南 北 | 简装 | 高楼层(共6层)  | 板楼,1人关注 / 22天以前发布,48.8,"4,437元/平"
华荣东方明珠 3室2厅 南 北,华荣东方明珠 -盐湖区,3室2厅 | 132.8平米 | 南 北 | 毛坯 | 高楼层(共19层)  | 板塔结合,0人关注 / 24天以前发布,79.8,"6,010元/平"
外滩玺园！毛坯4卧2卫，有证，好楼层！,大运外滩玺园 -盐湖区,4室2厅 | 160.43平米 | 南 北 | 毛坯 | 中楼层(共27层)  | 暂无数据,0人关注 / 24天以前发布,138,"8,602元/平"
东湖春天 经典两居 新装短住 大红本在手 后期费用少,东湖春天 -盐湖区,2室2厅 | 80平米 | 南 | 精装 | 中楼层(共18层)  | 板塔结合,0人关注 / 23天以前发布,42.5,"5,313元/平"
嘉禾西班牙 4室2厅 南 北,嘉禾西班牙 -盐湖区,4室2厅 | 159.64平米 | 南 北 | 精装 | 高楼层(共17层)  | 暂无数据,0人关注 / 21天以前发布,92,"5,763元/平"
鼎鑫华府  可按揭 户型好 楼层好,鼎鑫华府 -盐湖区,4室2厅 | 197平米 | 南 北 | 其他 | 中楼层(共31层)  | 暂无数据,0人关注 / 19天以前发布,126,"6,396元/平"
新装修南北大通透，户型方正，双阳台,山水华都 -盐湖区,4室2厅 | 149平米 | 南 北 | 其他 | 低楼层(共26层)  | 塔楼,0人关注 / 19天以前发布,120,"8,054元/平"
鼓楼·海上誉庭 4室2厅 南 北,鼓楼·海上誉庭 -盐湖区,4室2厅 | 165平米 | 南 北 | 简装 | 低楼层(共28层)  | 暂无数据,0人关注 / 16天以前发布,99.8,"6,049元/平"
北区电梯房  精装空房  电梯好楼层,金源阁 -盐湖区,3室2厅 | 208.48平米 | 东 西 | 其他 | 中楼层(共12层)  | 暂无数据,1人关注 / 11个月以前发布,80.8,"3,876元/平"
南方广场 北海小区步梯4楼 单价3823 新装修,北海小区 -盐湖区,3室2厅 | 170平米 | 南 | 其他 | 中楼层(共7层)  | 暂无数据,0人关注 / 16天以前发布,65,"3,824元/平"
南风广场跟前，电梯小高层，南北通透,龙庭雅苑 -盐湖区,3室2厅 | 138.38平米 | 南 | 其他 | 中楼层(共12层)  | 暂无数据,0人关注 / 16天以前发布,70,"5,059元/平"
典式楼，楼层好，户型好，采光好，满二。,汇景名园 -盐湖区,3室2厅 | 129.38平米 | 南 北 | 其他 | 中楼层(共26层)  | 暂无数据,1人关注 / 一年前发布,77.8,"6,014元/平"
阳光嘉苑 三室两卫 户型好 有地下室,鸿德阳光嘉苑 -盐湖区,3室2厅 | 125平米 | 南 北 | 其他 | 中楼层(共6层)  | 板塔结合,0人关注 / 15天以前发布,62.8,"5,024元/平"
鑫地阳光城 步梯六楼 南北通透 生活成本低 地暖房52万,鑫地阳光城 -盐湖区,3室2厅 | 115平米 | 南 北 | 其他 | 高楼层(共6层)  | 暂无数据,0人关注 / 20天以前发布,51.9,"4,514元/平"
鼎鑫华府  毛坯现房    西把边户    顶跃复式,鼎鑫华府 -盐湖区,4室2厅 | 143平米 | 南 北 | 其他 | 高楼层(共31层)  | 暂无数据,0人关注 / 21天以前发布,120.6,"8,434元/平"
御泽苑 电梯中层 精装上下两层复式楼 房本满二可按揭,御泽苑 -盐湖区,5室2厅 | 216.49平米 | 南 北 | 其他 | 高楼层(共8层)  | 暂无数据,1人关注 / 15天以前发布,145,"6,698元/平"
电梯小高层，一梯两户，公摊小，三面朝阳，精装修,中鑫美景天城 -盐湖区,3室2厅 | 145.76平米 | 南 北 | 其他 | 高楼层(共7层)  | 暂无数据,1人关注 / 3个月以前发布,76,"5,215元/平"
金地花园，好楼层，大边户，业主诚心出售,金地花苑 -盐湖区,3室2厅 | 132平米 | 南 | 其他 | 低楼层(共6层)  | 暂无数据,0人关注 / 14天以前发布,73,"5,531元/平"
鼎新华府 边户 南北通透 3室2厅2卫 大产权 精装现房,鼎鑫华府 -盐湖区,3室2厅 | 130平米 | 南 | 其他 | 中楼层(共31层)  | 暂无数据,0人关注 / 19天以前发布,92.8,"7,139元/平"
东湖湾 3室2厅 南 北,东湖湾 -盐湖区,3室2厅 | 148平米 | 南 北 | 其他 | 高楼层(共15层)  | 暂无数据,0人关注 / 13天以前发布,141,"9,528元/平"
户型方正 满二 可按揭 看房提前联系,关铝花园 -盐湖区,3室2厅 | 127.79平米 | 南 北 | 其他 | 高楼层(共6层)  | 暂无数据,0人关注 / 12天以前发布,80,"6,261元/平"
楼层好 格局好 采光好 有本可按揭,御沁园 -盐湖区,3室2厅 | 126.8平米 | 南 北 | 其他 | 中楼层(共6层)  | 板楼,0人关注 / 12天以前发布,75,"5,915元/平"
山水华都南北大通透，好楼层双观景阳台,山水华都 -盐湖区,3室2厅 | 157平米 | 南 北 | 其他 | 中楼层(共26层)  | 板楼,0人关注 / 12天以前发布,135,"8,599元/平"
有本满二 步梯好楼层 maopei三室 交通便利 南北通透,润森建工嘉苑 -盐湖区,3室2厅 | 128平米 | 南 北 | 其他 | 低楼层(共7层)  | 暂无数据,0人关注 / 12天以前发布,56.8,"4,438元/平"
瑞安·水云间 3室2厅 南 北,瑞安·水云间 -盐湖区,3室2厅 | 128.59平米 | 南 北 | 其他 | 高楼层(共18层)  | 板塔结合,0人关注 / 10天以前发布,92.8,"7,217元/平"
空港南区  复式楼带露台  五室两卫,东方华城 -盐湖区,5室2厅 | 176平米 | 南 北 | 精装 | 高楼层(共7层)  | 暂无数据,0人关注 / 10天以前发布,70,"3,978元/平"
解三      门口     刚需,汇景仕嘉 -盐湖区,3室2厅 | 120.4平米 | 南 北 | 其他 | 高楼层(共6层)  | 板楼,0人关注 / 11天以前发布,53,"4,402元/平"
恒大绿洲 3室2厅 南,恒大绿洲 -盐湖区,3室2厅 | 108平米 | 南 | 其他 | 低楼层(共32层)  | 板塔结合,0人关注 / 16天以前发布,80,"7,408元/平"
泰森华林逸墅 3室2厅 南 北,泰森华林逸墅 -盐湖区,3室2厅 | 140平米 | 南 北 | 其他 | 高楼层(共17层)  | 板楼,0人关注 / 11天以前发布,99,"7,072元/平"
国科星天地 3室2厅 南 北,国科星天地 -盐湖区,3室2厅 | 108平米 | 南 北 | 其他 | 高楼层(共30层)  | 暂无数据,0人关注 / 9天以前发布,72,"6,667元/平"
五洲芳华 电梯中层 毛坯 南北通透 可自由装修,五洲芳华 -盐湖区,4室2厅 | 139平米 | 南 北 | 其他 | 高楼层(共33层)  | 暂无数据,0人关注 / 9天以前发布,90,"6,475元/平"
隆泽苑 3室2厅 南 北,隆泽苑 -盐湖区,3室2厅 | 137.44平米 | 南 北 | 其他 | 高楼层(共6层)  | 暂无数据,0人关注 / 9天以前发布,64.8,"4,715元/平"
泰森华林逸墅 3室2厅 南 北,泰森华林逸墅 -盐湖区,3室2厅 | 139.97平米 | 南 北 | 其他 | 低楼层(共17层)  | 板楼,0人关注 / 24天以前发布,92.5,"6,609元/平"
电梯入户，凤凰楼层，南北通透，,天泰邑北苑 -盐湖区,3室2厅 | 129平米 | 南 北 | 毛坯 | 高楼层(共18层)  | 暂无数据,0人关注 / 21天以前发布,76.8,"5,954元/平"
有证满二 有地下室 租的车位，南北通透家具家电齐全,奥梅花园 -盐湖区,3室2厅 | 117平米 | 南 北 | 其他 | 低楼层(共7层)  | 暂无数据,0人关注 / 22天以前发布,56.8,"4,855元/平"
华瑞小区三室两厅两卫南北通透 便宜的一套房,华瑞小区 -盐湖区,3室2厅 | 135平米 | 南 北 | 其他 | 中楼层(共11层)  | 暂无数据,0人关注 / 18天以前发布,66.8,"4,949元/平"
奥梅花园 3室2厅 南 北,奥梅花园 -盐湖区,3室2厅 | 107平米 | 南 北 | 其他 | 中楼层(共7层)  | 暂无数据,0人关注 / 16天以前发布,46.8,"4,374元/平"
满二可按揭，带家具家电，老少皆宜,尚东城 -盐湖区,3室2厅 | 139平米 | 南 北 | 其他 | 低楼层(共16层)  | 暂无数据,3人关注 / 4个月以前发布,85,"6,116元/平"
禹香苑 步梯好楼层 万达商圈 南北通透 对口运中,禹香苑 -盐湖区,3室2厅 | 137.52平米 | 北 南 | 其他 | 低楼层(共5层)  | 板楼,1人关注 / 一年前发布,76,"5,527元/平"
精装短住     刚装的房子   满二,金鑫槐东花园 -盐湖区,3室2厅 | 108平米 | 南 北 | 其他 | 高楼层(共6层)  | 板楼,0人关注 / 19天以前发布,58.8,"5,445元/平"
中层 满二可按揭 带家具家电 老少皆宜 窗户已换断桥,沁水雅居 -盐湖区,2室2厅 | 89.6平米 | 南 | 其他 | 中楼层(共6层)  | 暂无数据,0人关注 / 9个月以前发布,52.8,"5,893元/平"
此房正规南北通透，户型 好，，采光好 精装未住,颐贤园 -盐湖区,3室2厅 | 103平米 | 南 北 | 其他 | 中楼层(共6层)  | 暂无数据,0人关注 / 16天以前发布,69.8,"6,777元/平"
