标题,开发商,房子信息,发布信息,售价/万,单价
清河庄园精装修全屋暖气拎包入住中间楼层税费低,清河庄园 -樊城东区,3室2厅 | 108.53平米 | 南 北 | 精装 | 高楼层(共17层)  | 塔楼,0人关注 / 14天以前发布,99,"9,122元/平"
13区 高楼层   毛坯，视野好,东津世纪城13区瀚林院 -东津区,3室2厅 | 98.81平米 | 南 | 毛坯 | 高楼层(共33层)  | 板塔结合,9人关注 / 9个月以前发布,68.5,"6,933元/平"
楼层佳，前后无遮挡，采光好，配套设全，购物出行便利,南街102医院家属院 -襄城区,3室2厅 | 90.66平米 | 南 北 | 简装 | 中楼层(共5层)  | 暂无数据,13人关注 / 一年前发布,83,"9,156元/平"
沃尔玛人民广场双商圈，精装大三室，随时看房,民发世纪新城 -樊城东区,3室2厅 | 149.4平米 | 南 | 精装 | 中楼层(共26层)  | 塔楼,8人关注 / 一年前发布,148,"9,907元/平"
东津世纪城102平三房房本满二无个税楼层好 业主急售,东津世纪城16区天境台 -东津区,3室2厅 | 102.12平米 | 南 | 毛坯 | 高楼层(共33层)  | 板塔结合,0人关注 / 5个月以前发布,70,"6,855元/平"
东津世纪城11区 纯毛坯 随意装修 高楼层 视野开阔,东津世纪城11区观澜郡 -东津区,3室2厅 | 121.96平米 | 南 北 | 毛坯 | 高楼层(共33层)  | 板塔结合,4人关注 / 一年前发布,86,"7,052元/平"
虎头山路单位家属院 中装三房好楼层业主急售,襄阳市应急管理局家属院 -襄城区,3室2厅 | 116.84平米 | 东南 | 简装 | 中楼层(共5层)  | 板楼,11人关注 / 4个月以前发布,94.5,"8,088元/平"
和信北郡毛培大三室急卖急卖急卖,和信北郡 -高新区,3室2厅 | 126.47平米 | 南 | 毛坯 | 高楼层(共11层)  | 板楼,21人关注 / 一年前发布,49,"3,875元/平"
东湖国际花园 精装大三室 外加储物间+大花园 +车位,东湖国际花园 -襄州区,3室2厅 | 124.54平米 | 南 北 | 精装 | 低楼层(共6层)  | 板楼,8人关注 / 5个月以前发布,89,"7,147元/平"
新上 春天大道 房龄新 小区绿化高 楼间距大,春天大道小区 -樊城东区,3室2厅 | 117.71平米 | 东南 | 精装 | 中楼层(共30层)  | 塔楼,1人关注 / 18天以前发布,125,"10,620元/平"
清河小高层电梯房 前后无遮挡 满二年 税少 错过拍大腿,清河庄园 -樊城东区,2室2厅 | 90.38平米 | 南 北 | 精装 | 中楼层(共17层)  | 暂无数据,1人关注 / 31天以前发布,83,"9,184元/平"
楼层好，视野好，拎包入住 ，居住舒适,东津世纪城16区天境台 -东津区,2室2厅 | 81.68平米 | 南 北 | 精装 | 中楼层(共26层)  | 板塔结合,0人关注 / 27天以前发布,62,"7,591元/平"
东津世纪城10区御华苑 3室1厅 东南,东津世纪城10区御华苑 -东津区,3室1厅 | 99.18平米 | 东南 | 精装 | 中楼层(共33层)  | 板塔结合,0人关注 / 22天以前发布,80,"8,067元/平"
城墙内四中旁电视台家属院，小区停车方便，中间楼层,文宣巷1号小区 -襄城区,3室2厅 | 101.76平米 | 南 北 | 简装 | 中楼层(共6层)  | 板楼,6人关注 / 一年前发布,125,"12,284元/平"
长征路都市花园步梯房中间楼层精装修,都市花园 -樊城东区,3室1厅 | 133.15平米 | 南 | 精装 | 中楼层(共8层)  | 板塔结合,19人关注 / 7个月以前发布,95,"7,135元/平"
檀溪路，电梯房，东边户采光好，无遮挡，税费少,山水家园 -襄城区,3室2厅 | 135.81平米 | 东南 | 毛坯 | 中楼层(共26层)  | 板塔结合,11人关注 / 6个月以前发布,147,"10,824元/平"
万达商圈，长虹路，三房，户型采光好。,青扬邻里 -樊城西区,3室2厅 | 115.25平米 | 南 北 | 毛坯 | 中楼层(共16层)  | 板塔结合,7人关注 / 7个月以前发布,93,"8,070元/平"
和信北郡大两室 中高楼层 房东急售 税少,和信北郡 -高新区,2室1厅 | 85.43平米 | 南 | 毛坯 | 15层  | 板楼,1人关注 / 1个月以前发布,38,"4,449元/平"
城中雅苑户型方正精装大三房诚意出售,中房·城中雅苑 -樊城东区,3室2厅 | 124.12平米 | 南 | 精装 | 低楼层(共18层)  | 塔楼,4人关注 / 一年前发布,103,"8,299元/平"
人民广场 德宜中心城 电梯两室毛坯,德宜 · 中心城 -樊城东区,2室2厅 | 90.12平米 | 南 | 毛坯 | 高楼层(共24层)  | 板塔结合,2人关注 / 4个月以前发布,90.5,"10,043元/平"
荟苑小区 中间楼层 户型好 采光好,荟苑小区 -襄城区,3室1厅 | 90.96平米 | 南 | 简装 | 中楼层(共7层)  | 板塔结合,0人关注 / 1个月以前发布,76,"8,356元/平"
火车站圈，精装三室，有钥匙，房主诚心出售。,铁路分局二院住宅二区 -樊城东区,3室1厅 | 78.51平米 | 南 北 | 精装 | 高楼层(共6层)  | 板楼,7人关注 / 4个月以前发布,59,"7,515元/平"
三十四中旁 精装大三房 均价7100 拎包入住,欣欣佳园 -襄州区,3室1厅 | 118.35平米 | 南 | 精装 | 低楼层(共18层)  | 板楼,1人关注 / 8天以前发布,85,"7,183元/平"
火车站旁优质电梯房小区新，停车方便,宏泰中央公园 -樊城东区,1室1厅 | 61.75平米 | 南 | 毛坯 | 低楼层(共27层)  | 板塔结合,0人关注 / 11天以前发布,55,"8,907元/平"
长虹路精装2房，满五唯一，学X42中五中旁，吾悦商圈,江山馨园小区 -樊城西区,2室2厅 | 91.07平米 | 南 | 精装 | 中楼层(共27层)  | 板塔结合,0人关注 / 3个月以前发布,75,"8,236元/平"
政府大院生活一区 暖气房 精装二房 停车方便 证齐,市政府生活一区 -襄城区,2室2厅 | 81.53平米 | 南 | 精装 | 中楼层(共7层)  | 暂无数据,0人关注 / 2个月以前发布,118,"14,474元/平"
胜利街半山逸品后，院大环境优美好停车，精装2室2卫,湖北台基半导体股份有限公司 -襄城区,2室2厅 | 80.69平米 | 东 南 | 精装 | 中楼层(共7层)  | 板塔结合,2人关注 / 1个月以前发布,55.5,"6,879元/平"
东津世纪城88平精装两房满二税少楼层好随时看房 急售,东津世纪城15区上和院 -东津区,2室2厅 | 88.23平米 | 南 北 | 精装 | 中楼层(共26层)  | 板塔结合,1人关注 / 1个月以前发布,70,"7,934元/平"
五中对邻  住宅两室  民水民电通燃气,朗曼•梦公园 -樊城西区,2室2厅 | 60.57平米 | 南 北 | 精装 | 高楼层(共32层)  | 塔楼,37人关注 / 10个月以前发布,50,"8,255元/平"
东津12区 精装两室 拎包入住 中间楼层 满二税少,东津世纪城12区花漫里 -东津区,2室2厅 | 79.88平米 | 南 北 | 精装 | 中楼层(共26层)  | 板塔结合,0人关注 / 2个月以前发布,56,"7,011元/平"
江山馨园小区长虹北路主干道上出行方便万达吾悦商圈,江山馨园小区 -樊城西区,2室1厅 | 87.53平米 | 南 北 | 精装 | 中楼层(共30层)  | 板塔结合,2人关注 / 4个月以前发布,77,"8,797元/平"
沃尔玛商圈 三楼 一室一厅 满五年 看房方便,襄棉北苑 -樊城西区,1室1厅 | 48.72平米 | 南 北 | 简装 | 中楼层(共5层)  | 暂无数据,1人关注 / 2个月以前发布,36,"7,390元/平"
两房朝南，看房方便，低楼层，易出行,东津世纪城16区天境台 -东津区,2室1厅 | 85.57平米 | 南 东 | 精装 | 低楼层(共26层)  | 板塔结合,1人关注 / 8个月以前发布,62,"7,246元/平"
温哥华一套精装修两室的房屋出售，看房有钥匙,温哥华1792 -襄州区,2室2厅 | 97.23平米 | 南 | 精装 | 高楼层(共33层)  | 板塔结合,2人关注 / 3个月以前发布,66,"6,789元/平"
房子位置优越，出门公园，交通便利，格局好，楼层好。,仟和惠景 -襄城区,2室2厅 | 95.81平米 | 南 北 | 简装 | 中楼层(共7层)  | 板楼,4人关注 / 4个月以前发布,74.5,"7,776元/平"
恒大名都方正两室好楼层 索菲亚家具家电齐全拎包入住,恒大名都 -襄城区,2室1厅 | 86.64平米 | 南 | 精装 | 中楼层(共32层)  | 板塔结合,2人关注 / 5个月以前发布,102,"11,773元/平"
临江单位家属院的房子，面积小，总价低，购房压力小。,襄阳市襄州区水利局一生活区 -樊城东区,2室1厅 | 86.64平米 | 南 | 毛坯 | 中楼层(共6层)  | 暂无数据,0人关注 / 1个月以前发布,52,"6,002元/平"
长虹路主干道 单位房 精装修 户型方正 出行方便,艺品苑小区 -樊城东区,3室1厅 | 98.41平米 | 南 北 | 精装 | 高楼层(共8层)  | 板塔结合,2人关注 / 2个月以前发布,58,"5,894元/平"
檀溪山水家园精装三房，房主诚心出售，满五唯一,山水家园 -襄城区,3室2厅 | 129.03平米 | 南 | 精装 | 高楼层(共26层)  | 板塔结合,2人关注 / 2个月以前发布,148,"11,471元/平"
户型方正，南北户型，采光通风好,华都新村 -樊城东区,3室2厅 | 139.25平米 | 南 北 | 精装 | 中楼层(共8层)  | 板楼,0人关注 / 3个月以前发布,95,"6,823元/平"
天润万象城中间楼层满二税低精装修拎包入住看房方便,天润万象城B区 -襄州区,3室2厅 | 100.8平米 | 南 | 精装 | 中楼层(共29层)  | 板楼,0人关注 / 2个月以前发布,80,"7,937元/平"
公园一号满五税费少房子户型方正出行停车方便,公园一号 -襄州区,2室2厅 | 93.93平米 | 南 北 | 精装 | 高楼层(共7层)  | 板塔结合,1人关注 / 8个月以前发布,41.5,"4,419元/平"
此房位于江景房，出门就是阳春门公园，南北对流,新城湾小区 -襄城区,4室2厅 | 157.57平米 | 南 北 | 精装 | 中楼层(共6层)  | 暂无数据,1人关注 / 3个月以前发布,150,"9,520元/平"
毛坯房，楼间距宽，采光充足，南北通透,中建状元府 -樊城西区,4室2厅 | 141.85平米 | 南 北 | 毛坯 | 中楼层(共33层)  | 板塔结合,8人关注 / 一年前发布,122,"8,601元/平"
地段好  沿江公园   东西轴线  3楼     采光通风好,玉丰花园 -樊城东区,2室2厅 | 108.42平米 | 西南 | 简装 | 中楼层(共6层)  | 塔楼,0人关注 / 3个月以前发布,88.5,"8,163元/平"
荟园公园 荟苑小区三室两厅 满五唯一 南北通透环境好,荟苑小区 -襄城区,3室2厅 | 90.96平米 | 南 北 | 简装 | 低楼层(共7层)  | 板塔结合,11人关注 / 8个月以前发布,81,"8,906元/平"
31晨光 小区停车方便业主诚心卖房,米庄运管所家属院 -樊城东区,3室2厅 | 120.99平米 | 南 | 简装 | 低楼层(共6层)  | 板楼,0人关注 / 25天以前发布,85,"7,026元/平"
护城河边精装三室，中间楼层，拎包入住，配套齐全。,丽波湾 -襄城区,3室1厅 | 105.9平米 | 南 北 | 精装 | 中楼层(共7层)  | 板楼,1人关注 / 17天以前发布,99.8,"9,424元/平"
绿地 航天福汇园 精装两室未入住 享受吾悦万达双商圈,航天福汇园 -樊城西区,2室2厅 | 101.01平米 | 南 北 | 精装 | 高楼层(共26层)  | 暂无数据,2人关注 / 25天以前发布,67.9,"6,723元/平"
此房满五年 中间楼层 精装修 采光充足 看房方便,庞公花苑 -襄城区,2室2厅 | 95.65平米 | 东 西 | 精装 | 中楼层(共7层)  | 暂无数据,0人关注 / 2个月以前发布,85,"8,887元/平"
学府佳园 精装修 诚心出售 价格可谈,学府佳园 -樊城西区,2室2厅 | 85.65平米 | 南 | 精装 | 中楼层(共31层)  | 板塔结合,5人关注 / 3个月以前发布,75,"8,757元/平"
首付10万 家乐福商圈 五洲医院 烟厂家属院停车位方便,董台小区烟厂家属院 -樊城东区,3室1厅 | 79.13平米 | 东南 | 简装 | 中楼层(共8层)  | 暂无数据,18人关注 / 6个月以前发布,45,"5,687元/平"
小区环境好，房子户型很好，装修精致，小区设施齐全,东津世纪城16区天境台 -东津区,3室2厅 | 103.27平米 | 南 北 | 精装 | 高楼层(共23层)  | 板塔结合,1人关注 / 1个月以前发布,85,"8,231元/平"
东津世纪城14区精装修两室带暖气    拎包入住,东津世纪城14区崇文府 -东津区,2室2厅 | 79.95平米 | 南 北 | 精装 | 高楼层(共26层)  | 板塔结合,6人关注 / 8个月以前发布,75,"9,381元/平"
骧龙国际新小区电梯房  精装修 满二年 环境优美,海容骧龙国际 -襄城区,2室2厅 | 88.53平米 | 南 | 精装 | 中楼层(共26层)  | 板塔结合,0人关注 / 1个月以前发布,92,"10,392元/平"
此房已满二，精装修，采光好，急售！！！,学府佳园 -樊城西区,2室2厅 | 85.03平米 | 南 | 简装 | 低楼层(共32层)  | 板塔结合,4人关注 / 6个月以前发布,75,"8,821元/平"
新上笋盘！火车站 宏泰中央公园 精装小三房 一梯一户,宏泰中央公园 -樊城东区,3室2厅 | 101.73平米 | 南 | 精装 | 中楼层(共17层)  | 暂无数据,0人关注 / 17天以前发布,130,"12,779元/平"
边户，南北朝向，满二唯一，拎包入住，尾款业主自还,天润万象城B区 -襄州区,3室2厅 | 123.44平米 | 南 | 精装 | 低楼层(共24层)  | 塔楼,3人关注 / 1个月以前发布,101.9,"8,256元/平"
长虹路主干道   万达商圈  精装大三房  采光视线很好,语港旺府 -樊城西区,3室2厅 | 150.08平米 | 南 | 精装 | 中楼层(共29层)  | 板塔结合,0人关注 / 1个月以前发布,136,"9,062元/平"
国色天襄  精装三房  拎包入住  满了两年,国色天襄A区 -樊城西区,3室2厅 | 126.76平米 | 南 北 | 精装 | 低楼层(共32层)  | 板塔结合,0人关注 / 3个月以前发布,113,"8,915元/平"
家乐福商圈 春园路精装三房业主诚心出售,蓝钻领域 -樊城东区,3室2厅 | 106.26平米 | 南 北 | 精装 | 高楼层(共28层)  | 塔楼,3人关注 / 7个月以前发布,91,"8,564元/平"
新城湾滨江花园A区一楼大三房。,新城湾滨江花园A区 -襄城区,3室2厅 | 135.3平米 | 南 北 | 简装 | 低楼层(共7层)  | 暂无数据,0人关注 / 2个月以前发布,125.5,"9,276元/平"
万达广场和绿地双商圈 欧式装修 二期绿地香缇公馆,绿地中央广场香缇公馆 -樊城西区,1室2厅 | 88.86平米 | 南 | 其他 | 中楼层(共33层)  | 板楼,0人关注 / 1天以前发布,96,"10,804元/平"
房屋产权清晰 户型方正 南北通透双阳台边户 光线好,清华园 -襄城区,3室2厅 | 119.93平米 | 南 北 | 其他 | 低楼层(共12层)  | 板楼,0人关注 / 1个月以前发布,140,"11,674元/平"
刚需福音，精装修拎包入住，疫情被迫出售来电立减2万,民发世界城嘉秀阁 -襄州区,3室2厅 | 114.6平米 | 南 | 精装 | 中楼层(共29层)  | 板塔结合,0人关注 / 2个月以前发布,92,"8,028元/平"
连山鼎府叠墅 毛坯大四房  得房率高,鼎府 -襄州区,4室2厅 | 193平米 | 南 | 毛坯 | 4层  | 板楼,10人关注 / 4个月以前发布,130,"6,736元/平"
中房鹏程润景低楼层精装两室山景房,中房 · 鹏城润景 -襄城区,2室2厅 | 99.43平米 | 北 | 精装 | 低楼层(共6层)  | 板楼,2人关注 / 7个月以前发布,76,"7,644元/平"
精装修，产证满二，全屋品牌家具家电,绿地中央广场香庭公馆 -樊城西区,2室2厅 | 89.13平米 | 南 | 精装 | 中楼层(共33层)  | 板塔结合,35人关注 / 一年前发布,102,"11,444元/平"
诸葛亮广场盛特公园精装2室大厨房边户，主卧带小阳台,民发盛特公园 -樊城西区,2室2厅 | 90.45平米 | 南 | 精装 | 高楼层(共31层)  | 板塔结合,14人关注 / 5个月以前发布,122,"13,489元/平"
下楼就到紫贞公园 中间楼层 视野开阔 采光通风好,瑞城国际 -樊城西区,3室2厅 | 95.01平米 | 南 | 简装 | 中楼层(共25层)  | 板楼,5人关注 / 4个月以前发布,85,"8,947元/平"
沃尔玛，泛悦商圈，汉水水华城精装两房,汉水和苑 -樊城西区,2室2厅 | 91.31平米 | 南 | 精装 | 高楼层(共30层)  | 板塔结合,7人关注 / 7个月以前发布,112,"12,266元/平"
航空路主干道 粮苑小区 房主外地发展用不上,粮苑小区(襄州区) -襄州区,2室2厅 | 93.25平米 | 南 北 | 简装 | 中楼层(共8层)  | 板塔结合,12人关注 / 7个月以前发布,50,"5,362元/平"
前排有加高，带地暖，有阳光照射没有遮挡，满五唯一,丽江泊林 -襄城区,2室2厅 | 96.36平米 | 南 北 | 精装 | 低楼层(共8层)  | 板楼,0人关注 / 4个月以前发布,92,"9,548元/平"
护城河边 业主急售 新小区 复式楼 精装拎包入住,四季万锦 -襄城区,2室2厅 | 85.23平米 | 南 | 精装 | 高楼层(共6层)  | 塔楼,6人关注 / 6个月以前发布,79,"9,270元/平"
骧龙国际 中高楼层 大三室好户型 业主诚意出售,海容骧龙国际 -襄城区,3室2厅 | 142.9平米 | 南 北 | 毛坯 | 高楼层(共29层)  | 板塔结合,1人关注 / 1个月以前发布,110,"7,698元/平"
新五中旁 吾悦商圈 陪读佳选 满二可拎包入住,朗曼•梦公园 -樊城西区,3室2厅 | 107平米 | 南 | 精装 | 低楼层(共28层)  | 板楼,28人关注 / 9个月以前发布,90,"8,412元/平"
小区环境优美，整个小区采用合围式排列，采光充足。,绿地中央广场香庭公馆 -樊城西区,3室2厅 | 129.81平米 | 南 北 | 毛坯 | 中楼层(共33层)  | 板塔结合,39人关注 / 一年前发布,114,"8,783元/平"
紫荆花园 电梯三房 双阳台 三室两卫 房东诚心出售,紫荆花園 -襄州区,3室2厅 | 124.08平米 | 南 | 精装 | 低楼层(共31层)  | 板楼,1人关注 / 1个月以前发布,95,"7,657元/平"
满五唯一，停车方便，机关大院，中间楼层，四zhong旁,襄阳市审计局家属院 -襄城区,3室2厅 | 129.95平米 | 南 北 | 简装 | 中楼层(共5层)  | 暂无数据,0人关注 / 2个月以前发布,132.5,"10,197元/平"
东津精装小三室 近民发广场 拎包入住  无抵押,东津世纪城10区御华苑 -东津区,3室1厅 | 98.81平米 | 南 北 | 精装 | 中楼层(共33层)  | 板塔结合,0人关注 / 1个月以前发布,84,"8,502元/平"
绿地商圈 边户三房改四房 紧凑四房 居家好房,襄轴家园 -樊城西区,4室2厅 | 118.81平米 | 南 | 精装 | 中楼层(共26层)  | 板塔结合,0人关注 / 2个月以前发布,98,"8,249元/平"
需用钱出售15区102平毛坯小三房,东津世纪城15区上和院 -东津区,3室2厅 | 102.42平米 | 南 | 简装 | 中楼层(共26层)  | 板塔结合,4人关注 / 4个月以前发布,68.3,"6,669元/平"
天境台新上117平毛坯，闲置出售,东津世纪城16区天境台 -东津区,3室2厅 | 117平米 | 南 | 毛坯 | 中楼层(共26层)  | 板塔结合,0人关注 / 1个月以前发布,81,"6,924元/平"
幸福社区 3室1厅 南,幸福社区 -樊城东区,3室1厅 | 84.48平米 | 南 | 精装 | 高楼层(共6层)  | 板楼,1人关注 / 2个月以前发布,67,"7,931元/平"
小区目前改造已完成，停车方便，有公共休闲娱乐设施,美亚花苑 -鱼梁洲,2室1厅 | 76.13平米 | 南 | 简装 | 中楼层(共6层)  | 板楼,0人关注 / 1个月以前发布,55,"7,225元/平"
优质房源，欢迎优秀的同事多多带客户看房。,天一百合雅庭 -樊城东区,3室2厅 | 118.85平米 | 南 | 精装 | 低楼层(共18层)  | 暂无数据,1人关注 / 1个月以前发布,102,"8,583元/平"
人民广场，大庆东路三卧朝南，停车位足,湖北汽车工业公司小区 -樊城东区,3室1厅 | 101.8平米 | 南 北 | 简装 | 高楼层(共6层)  | 板塔结合,1人关注 / 2个月以前发布,52,"5,109元/平"
三室，视野开阔，采光充足，中楼层采光好，视野开阔,保利海上五月花 -高新区,3室2厅 | 107.11平米 | 南 | 毛坯 | 中楼层(共32层)  | 板塔结合,8人关注 / 7个月以前发布,62,"5,789元/平"
长虹路 建华路园林局 中层 三卧朝南光线好 满五年唯一,建华路园林管理局家属院 -樊城东区,3室2厅 | 128.61平米 | 南 北 | 简装 | 中楼层(共5层)  | 板楼,2人关注 / 一年前发布,95,"7,387元/平"
恒大御府 3室1厅 南,恒大御府 -樊城东区,3室1厅 | 110.56平米 | 南 | 精装 | 低楼层(共29层)  | 板塔结合,0人关注 / 1个月以前发布,116,"10,493元/平"
房子在小区门口，中间楼层，边户户型好！,东津世纪城2区金域府 -东津区,3室2厅 | 123.31平米 | 南 | 毛坯 | 中楼层(共27层)  | 板塔结合,0人关注 / 2个月以前发布,96,"7,786元/平"
长征路民众鑫苑精装小两房，诚心出售！,民众馨苑 -樊城东区,2室1厅 | 64.15平米 | 南 | 精装 | 低楼层(共29层)  | 塔楼,1人关注 / 29天以前发布,49,"7,639元/平"
城馨嘉园襄遇，小区环境优美，物业绿化好,城馨嘉园·襄遇 -樊城东区,3室2厅 | 136.52平米 | 东 | 精装 | 中楼层(共32层)  | 塔楼,1人关注 / 2个月以前发布,142,"10,402元/平"
房子在大庆东路.简装三室 .户型方正看房方便 房龄新,樊城區教師公寓 -樊城东区,3室2厅 | 115平米 | 南 北 | 精装 | 高楼层(共8层)  | 板塔结合,3人关注 / 8个月以前发布,68,"5,914元/平"
满5唯一，税费低，户型方正通透好，出行便捷,山水檀溪·山园 -襄城区,3室1厅 | 133.4平米 | 南 | 其他 | 低楼层(共16层)  | 板楼,0人关注 / 23天以前发布,143,"10,720元/平"
此房满五唯一格局好采光充足配套设施齐,民发盛特公园 -樊城西区,2室1厅 | 91.66平米 | 南 | 精装 | 低楼层(共30层)  | 板塔结合,0人关注 / 15天以前发布,122,"13,311元/平"
房子中装修保养不错楼层好，带60多平的露台利用空间大,建昌社区 -樊城西区,2室1厅 | 70.71平米 | 南 | 精装 | 中楼层(共6层)  | 板楼,2人关注 / 3个月以前发布,68.8,"9,730元/平"
