标题,开发商,房子信息,发布信息,售价/万,单价
高铁站  绿地云水谣  四室 带车位 带储藏室 南北通透,绿地云水谣 -高铁新区,4室2厅 | 151.67平米 | 南 北 | 毛坯 | 高楼层(共11层)  | 塔楼,0人关注 / 7天以前发布,159,"10,484元/平"
停车方便，精装修，交通方便，可随时看房。,华易青年城 -万达广场,2室2厅 | 102平米 | 南 北 | 其他 | 低楼层(共20层)  | 板楼,0人关注 / 8天以前发布,79.8,"7,824元/平"
迎胜E区 3室2厅 南,迎胜E区 -泰安市委,3室2厅 | 133平米 | 南 | 其他 | 低楼层(共11层)  | 暂无数据,1人关注 / 14天以前发布,200,"15,038元/平"
泰山区 迎胜路 园林式小区 电梯集暖 交通方便 配套全,汉和十园 -徐家楼,3室2厅 | 116平米 | 南 北 | 精装 | 高楼层(共13层)  | 板楼,2人关注 / 10个月以前发布,110,"9,483元/平"
楼间距大 楼层3楼 好停车 有两个配房 生活方便,学府嘉园 -宝龙城,4室3厅 | 129平米 | 南 北 | 精装 | 高楼层(共6层)  | 塔楼,0人关注 / 2个月以前发布,218,"16,900元/平"
国山墅 六室精装 电梯洋房 带阁楼 实用280平 免大税,国山墅 -泰安市委,6室3厅 | 158平米 | 南 北 | 精装 | 高楼层(共6层)  | 暂无数据,7人关注 / 7个月以前发布,420,"26,583元/平"
大展·麓山郡 3室2厅 南,大展·麓山郡 -岱岳区,3室2厅 | 105平米 | 南 | 精装 | 高楼层(共6层)  | 板楼,0人关注 / 16天以前发布,65,"6,191元/平"
电梯集暖房，70年产权，两室朝阳，证已满二免大税。,金色领域 -徐家楼,2室1厅 | 75平米 | 南 | 精装 | 高楼层(共28层)  | 板楼,3人关注 / 15天以前发布,46.9,"6,254元/平"
岱岳花园 2室1厅 南 北,岱岳花园 -岱岳区区委,2室1厅 | 72平米 | 南 北 | 简装 | 中楼层(共7层)  | 暂无数据,0人关注 / 10天以前发布,51,"7,084元/平"
嘉和新城一期 六楼带阁楼 真实图片 南北通透 书香世家,嘉和新城 -南开发区,3室2厅 | 120.23平米 | 南 北 | 简装 | 高楼层(共7层)  | 暂无数据,4人关注 / 4个月以前发布,80.6,"6,704元/平"
硕园东边户地下有近的车位配房 老街 万达 保利 鲁商,开元盛世硕园 -泮河景区,3室2厅 | 124.03平米 | 南 北 | 毛坯 | 低楼层(共33层)  | 板楼,0人关注 / 5个月以前发布,110,"8,869元/平"
宝盛万达旁  房子满二唯一，精装房未住，楼前无遮挡,王府花园A区 -万达广场,2室2厅 | 90.42平米 | 南 北 | 精装 | 低楼层(共18层)  | 板楼,24人关注 / 一年前发布,84,"9,290元/平"
大安书香世家精装房 整个小区价位樶合适一套,书香世家 -南开发区,3室2厅 | 109平米 | 南 | 精装 | 高楼层(共33层)  | 暂无数据,6人关注 / 3个月以前发布,74,"6,789元/平"
房主急售 老街旁 和园 免大税 可贷款,开元盛世和园B区 -泮河景区,3室2厅 | 87.93平米 | 南 北 | 毛坯 | 中楼层(共33层)  | 板楼,2人关注 / 6个月以前发布,74,"8,416元/平"
万达旁 房主急售 精装三室 含家具家电 拎包入住,万岳华府B区 -万达广场,3室2厅 | 91平米 | 南 | 精装 | 中楼层(共30层)  | 板楼,7人关注 / 3个月以前发布,106,"11,649元/平"
绿地云水谣二期 3室1厅 南,绿地云水谣二期 -高铁新区,3室1厅 | 105平米 | 南 | 简装 | 高楼层(共33层)  | 板楼,1人关注 / 1个月以前发布,84.6,"8,058元/平"
华新新城！电梯洋房！带有300多平大露台！五矿凤凰城,华新新城 -南开发区,2室2厅 | 91平米 | 南 北 | 简装 | 低楼层(共14层)  | 板塔结合,1人关注 / 3个月以前发布,66,"7,253元/平"
海普凤凰城 好楼层东户 带储藏室精装 南高新区 长城路,海普凤凰城 -南开发区,3室2厅 | 144平米 | 南 北 | 精装 | 高楼层(共18层)  | 暂无数据,1人关注 / 7个月以前发布,113,"7,848元/平"
长城路 岳峰  免大税 带储藏室 观山两室,名仕尚座 -体育中心,2室1厅 | 79.89平米 | 东北 | 简装 | 高楼层(共29层)  | 板楼,1人关注 / 1个月以前发布,53,"6,635元/平"
万达 长城路  品质小区 免大税  通透格局  视野开阔,长城一品 -泮河景区,3室2厅 | 113平米 | 南 西北 | 毛坯 | 高楼层(共29层)  | 板楼,0人关注 / 5个月以前发布,105,"9,293元/平"
精装未住 全明三室 大卧室 云水谣 满二 高铁 老街,绿地云水谣 -高铁新区,3室2厅 | 104.7平米 | 南 北 | 精装 | 高楼层(共33层)  | 板楼,1人关注 / 1个月以前发布,95,"9,074元/平"
房子精装户型方正，基本无浪费面积，视野开阔,绿地云水谣二期 -高铁新区,3室2厅 | 115.4平米 | 南 | 精装 | 低楼层(共31层)  | 板楼,0人关注 / 1个月以前发布,110,"9,533元/平"
迎胜南 精装3室 集暖 好停车 满五唯一 储藏室,交运六宿舍 -泰安市委,3室1厅 | 84平米 | 南 北 | 精装 | 中楼层(共6层)  | 暂无数据,17人关注 / 6个月以前发布,116,"13,810元/平"
绿地公馆智园 精装 拎包入住 免大税 采光好,绿地公馆智园 -高铁新区,3室2厅 | 108平米 | 南 北 | 其他 | 高楼层(共34层)  | 塔楼,0人关注 / 28天以前发布,89.6,"8,297元/平"
天平湖壹号 3室2厅 南 北,天平湖壹号 -岱岳区区委,3室2厅 | 130平米 | 南 北 | 毛坯 | 低楼层(共11层)  | 板楼,0人关注 / 25天以前发布,135.5,"10,424元/平"
新华城南郡 3室2厅 南 北,新华城南郡 -徐家楼,3室2厅 | 105平米 | 南 北 | 其他 | 低楼层(共27层)  | 板塔结合,0人关注 / 19天以前发布,88,"8,381元/平"
国华经典 精装三室  满五 环山路 拎包入住 急售,國華經典 -泰安市委,3室2厅 | 148平米 | 南 北 | 精装 | 高楼层(共7层)  | 板楼,0人关注 / 28天以前发布,330,"22,298元/平"
绿地公馆秀园 3室2厅 南,绿地公馆秀园 -高铁新区,3室2厅 | 112平米 | 南 | 精装 | 低楼层(共28层)  | 板塔结合,0人关注 / 24天以前发布,95,"8,483元/平"
升平小区 一楼带院 户型好 看房方便,升平小区 -南湖公园,1室1厅 | 42平米 | 南 | 简装 | 低楼层(共4层)  | 暂无数据,0人关注 / 18天以前发布,129,"30,715元/平"
泰山区 恒大城精装修大三室 带配房 有钥匙 随时看房,恒大城 -高铁新区,3室2厅 | 132平米 | 南 北 | 精装 | 低楼层(共26层)  | 塔楼,0人关注 / 18天以前发布,105,"7,955元/平"
小区西临北实小，小区北面是凤凰湖公园，风景优美。,龍城国际水岸龍庭 -南开发区,2室2厅 | 85.28平米 | 南 北 | 其他 | 低楼层(共27层)  | 板塔结合,0人关注 / 18天以前发布,54,"6,333元/平"
东湖公园 华伟家园精装金质楼层 东郡 金域缇香 迎春,华伟家园 -东湖公园,2室2厅 | 106.31平米 | 南 北 | 精装 | 中楼层(共23层)  | 板塔结合,0人关注 / 28天以前发布,110,"10,348元/平"
11层电梯洋房一梯两户 皇冠带配房 长城路五矿,皇冠河滨园 -南开发区,3室2厅 | 129.45平米 | 南 北 | 精装 | 中楼层(共11层)  | 暂无数据,0人关注 / 21天以前发布,72.6,"5,609元/平"
恒大城两室 观山房 好楼层 精装修 可贷款 泰山区,恒大城 -高铁新区,2室1厅 | 64平米 | 南 北 | 精装 | 中楼层(共28层)  | 板楼,15人关注 / 9个月以前发布,54.8,"8,563元/平"
户型方正 布局合理 视野广阔 无浪费面积,灵芝小区 -徐家楼,2室1厅 | 61.64平米 | 南 北 | 简装 | 低楼层(共7层)  | 板楼,0人关注 / 2个月以前发布,43.8,"7,106元/平"
政务大厅东 大展麓山郡 电梯洋房 户型方正 采光好,大展·麓山郡 -岱岳区,2室1厅 | 67平米 | 南 北 | 毛坯 | 高楼层(共6层)  | 板楼,0人关注 / 12天以前发布,39.9,"5,956元/平"
书香世家.精装.三室两厅.房主诚售.价可议.满2年,书香世家 -南开发区,3室2厅 | 128平米 | 南 北 | 精装 | 高楼层(共18层)  | 板楼,1人关注 / 5个月以前发布,105,"8,204元/平"
长城路北段 圣山帝景 好楼层 泰山区 精装修 御碑楼,聖山帝景 -体育中心,2室1厅 | 97.5平米 | 南 北 | 其他 | 中楼层(共32层)  | 板楼,4人关注 / 5个月以前发布,85,"8,718元/平"
英中南临  曹家村幸福佳苑  李家庄   小堰堤,曹家村幸福佳苑 -高铁新区,3室2厅 | 97平米 | 南 | 简装 | 中楼层(共22层)  | 暂无数据,2人关注 / 3个月以前发布,63,"6,495元/平"
泰山区 迎胜路 园林式小区 电梯集暖 交通方便 配套全.,汉和十园 -徐家楼,3室2厅 | 96.08平米 | 南 | 精装 | 高楼层(共33层)  | 暂无数据,0人关注 / 2个月以前发布,85.5,"8,899元/平"
爱琴海老街   光彩大市场  公园  三室房源   好楼层,上旺小区 -泮河景区,3室2厅 | 90平米 | 南 北 | 其他 | 高楼层(共17层)  | 暂无数据,2人关注 / 1个月以前发布,60,"6,667元/平"
小区出门公园，4A级花园小区，户型方正，价格适中。,开元盛世硕园 -泮河景区,3室2厅 | 101平米 | 南 | 其他 | 低楼层(共24层)  | 板楼,22人关注 / 一年前发布,89.8,"8,892元/平"
泰山区 三室户型 中间楼层 泮河景区 交通便利,汉和十园 -徐家楼,3室2厅 | 94.4平米 | 南 北 | 毛坯 | 中楼层(共29层)  | 暂无数据,3人关注 / 5个月以前发布,74,"7,839元/平"
爱琴海老街旁 泰山区 电梯洋房 仅售67万 三室 恒大城,大官庄社区 -高铁新区,3室2厅 | 90平米 | 南 | 毛坯 | 高楼层(共17层)  | 暂无数据,4人关注 / 3个月以前发布,62,"6,889元/平"
爱琴海老街 光彩大市场 泮河公园 三室房源 好楼层,上旺小区 -泮河景区,3室2厅 | 90平米 | 南 北 | 精装 | 中楼层(共17层)  | 暂无数据,1人关注 / 1个月以前发布,60,"6,667元/平"
万达东邻 王 府花园北区 3楼精装好停车 宝盛东七佳苑,王府花园北区 -万达广场,3室2厅 | 85平米 | 南 | 精装 | 中楼层(共5层)  | 塔楼,2人关注 / 8个月以前发布,83,"9,765元/平"
76万买95平，博文岱庙江山 中悦城 电梯房好楼层望岳,中悦城 -南关,2室2厅 | 94平米 | 南 北 | 精装 | 中楼层(共24层)  | 暂无数据,0人关注 / 2个月以前发布,69.8,"7,426元/平"
光彩大市场  三室房源 观景房   好楼层   采光佳,上旺小区 -泮河景区,3室2厅 | 90平米 | 南 北 | 其他 | 中楼层(共17层)  | 暂无数据,1人关注 / 1个月以前发布,60,"6,667元/平"
爱琴海老街 光彩大市场 泮河公园 三室房源 好楼层,上旺小区 -泮河景区,3室2厅 | 90平米 | 南 北 | 毛坯 | 中楼层(共17层)  | 暂无数据,0人关注 / 1个月以前发布,60,"6,667元/平"
老银座，财源街，好楼层，边户全明户型，诚心出售,财源居 -火车站,2室2厅 | 92.33平米 | 南 北 | 简装 | 中楼层(共32层)  | 塔楼,0人关注 / 3个月以前发布,103,"11,156元/平"
市直崇信 新湖绿园 精装带阁楼 洋房 区政府泰山西湖,泰山新湖绿园 -岱岳区区委,2室2厅 | 108平米 | 南 北 | 精装 | 高楼层(共5层)  | 暂无数据,4人关注 / 一年前发布,110,"10,186元/平"
上旺小区 小高层 三室 好地段 小区环境好！,上旺小区 -泮河景区,3室2厅 | 90平米 | 南 | 毛坯 | 低楼层(共17层)  | 暂无数据,0人关注 / 1个月以前发布,52,"5,778元/平"
博文盛世小区环境优美，户型方正 采光没任何影响,博文盛世 -南开发区,3室2厅 | 105平米 | 北 南 | 其他 | 高楼层(共27层)  | 板楼,6人关注 / 一年前发布,58,"5,524元/平"
王府花园 3室2厅 南,王府花园 -万达广场,3室2厅 | 110平米 | 南 | 简装 | 中楼层(共22层)  | 板楼,0人关注 / 1个月以前发布,95,"8,637元/平"
中南佳期漫，115.9平 好楼层 南北通透 精装修设计合理,中南佳期漫 -南开发区,3室2厅 | 115.76平米 | 南 北 | 精装 | 中楼层(共34层)  | 板塔结合,4人关注 / 8个月以前发布,86,"7,430元/平"
产权清晰，全明户型，布局合理，，带车位配房,鲁商中心 -泮河景区,3室2厅 | 134平米 | 南 北 | 毛坯 | 低楼层(共34层)  | 暂无数据,3人关注 / 3个月以前发布,125,"9,329元/平"
汉和十园长城路16层电梯洋房 户型好园林社区 双阳台,汉和十园 -徐家楼,3室2厅 | 116平米 | 南 北 | 简装 | 中楼层(共16层)  | 板楼,1人关注 / 2个月以前发布,99,"8,535元/平"
恒大城精装三室  楼层好 采光好 可贷款 看房方便 老街,恒大城 -高铁新区,3室2厅 | 130平米 | 南 北 | 精装 | 低楼层(共28层)  | 暂无数据,3人关注 / 3个月以前发布,96,"7,385元/平"
楼层好，户型棒 ，价格便宜，看房方便。业主诚心出售,开元盛世和园B区 -泮河景区,4室2厅 | 147平米 | 南 | 毛坯 | 中楼层(共33层)  | 板楼,1人关注 / 1个月以前发布,105,"7,143元/平"
书香世家 好楼层 装修未住三室 看房方便 五矿 凤凰城,书香世家 -南开发区,3室2厅 | 110平米 | 南 北 | 简装 | 中楼层(共33层)  | 暂无数据,0人关注 / 3个月以前发布,75,"6,819元/平"
老街开元盛世和园 精装未住三室 含车位 诚意出售 硕园,开元盛世和园A区 -泮河景区,3室2厅 | 95平米 | 南 | 精装 | 低楼层(共31层)  | 塔楼,0人关注 / 1个月以前发布,96,"10,106元/平"
正嘉馨居  三室 满五年 精装  好楼层  有钥匙 采光足,正嘉馨居 -体育中心,3室2厅 | 98.74平米 | 南 北 | 精装 | 中楼层(共24层)  | 平房,6人关注 / 11个月以前发布,96.5,"9,774元/平"
龙湖公园里 泮河大街以南 三室两厅 毛坯房 随意装修,龙湖公园里 -徐家楼,3室2厅 | 112.57平米 | 南 北 | 毛坯 | 高楼层(共24层)  | 板塔结合,5人关注 / 一年前发布,83,"7,374元/平"
精装修 全明户型 长城路西 泰山大街以北 东岳大街以南,恒地君悦山 -大佛寺,3室2厅 | 114平米 | 南 | 精装 | 低楼层(共32层)  | 塔楼,7人关注 / 一年前发布,92.5,"8,115元/平"
急售科大西校 两室朝阳 南北通透 精美装修 户型方正,科大西校 -泮河景区,2室1厅 | 64平米 | 南 北 | 精装 | 中楼层(共4层)  | 板楼,1人关注 / 一年前发布,56,"8,750元/平"
老街 爱琴海 精装漂亮复式  急售 楼层好 采光好,开元盛世和园B区 -泮河景区,4室2厅 | 121平米 | 南 | 精装 | 中楼层(共26层)  | 板楼,7人关注 / 4个月以前发布,108,"8,926元/平"
证满两年！带储藏室！诚意出售，正常首付！十二中,绿地公馆秀园 -高铁新区,2室1厅 | 93.52平米 | 南 | 毛坯 | 低楼层(共31层)  | 板塔结合,1人关注 / 20天以前发布,60.5,"6,470元/平"
单位大院 带车库 现浇房 房龄新 看房方便,房管佳园 -东湖公园,3室2厅 | 130平米 | 北 南 | 精装 | 中楼层(共7层)  | 板塔结合,0人关注 / 3个月以前发布,190,"14,616元/平"
精装修大三室 好楼层 东边户 奥源时代 急售急售,奥源时代C区 -南开发区,3室2厅 | 115平米 | 南 北 | 精装 | 中楼层(共31层)  | 暂无数据,0人关注 / 1个月以前发布,90,"7,827元/平"
本套房户型方正，基本无浪费面积，楼层很好，视野开阔,绿地云水谣 -高铁新区,3室2厅 | 105平米 | 南 北 | 简装 | 低楼层(共33层)  | 板楼,0人关注 / 1个月以前发布,87,"8,286元/平"
精装电梯房，房龄新，老人孩子出入方便，也适合做婚房,恒大城 -高铁新区,3室2厅 | 130.82平米 | 南 北 | 精装 | 中楼层(共26层)  | 塔楼,0人关注 / 3个月以前发布,102,"7,797元/平"
花园小区 南小 就在小区 新六 红色物业 上学方便,岱庙街道花园社区 -东湖公园,2室1厅 | 60平米 | 南 北 | 精装 | 高楼层(共6层)  | 暂无数据,0人关注 / 2个月以前发布,62,"10,334元/平"
泰山区 金峪小区电梯房三室  急售，急急急,金峪小区 -高铁新区,3室2厅 | 99.87平米 | 南 北 | 简装 | 中楼层(共11层)  | 暂无数据,0人关注 / 1个月以前发布,62,"6,209元/平"
公路局单位房 一楼带院采光好 南北通透好停车 博文旁,公路局第三宿舍 -红门,4室1厅 | 63平米 | 南 北 | 精装 | 低楼层(共4层)  | 暂无数据,0人关注 / 2个月以前发布,128,"20,318元/平"
好房！电梯房精装两室！总价低！灵溪湾公园旁 集暖,惠丰园 -东湖公园,2室1厅 | 80平米 | 南 | 精装 | 中楼层(共24层)  | 暂无数据,0人关注 / 3个月以前发布,66,"8,250元/平"
房主急售 11层洋房 三室两厅两卫带车位储藏室新房未住,泮河嘉苑 -泮河景区,3室2厅 | 136平米 | 南 | 毛坯 | 低楼层(共11层)  | 暂无数据,0人关注 / 5个月以前发布,120.6,"8,868元/平"
碧桂园·时代澜湾 3室2厅 南,碧桂园·时代澜湾 -高铁新区,3室2厅 | 123平米 | 南 | 精装 | 低楼层(共18层)  | 暂无数据,0人关注 / 2个月以前发布,119,"9,675元/平"
青年路 中悦城三室好楼层 带配房,中悦城 -南关,3室2厅 | 103平米 | 南 北 | 简装 | 低楼层(共27层)  | 暂无数据,4人关注 / 6个月以前发布,96,"9,321元/平"
鲁商中心 中间好楼层 精装婚房 满两年有配房 全明户型,鲁商中心 -泮河景区,3室2厅 | 98平米 | 南 北 | 精装 | 中楼层(共34层)  | 暂无数据,7人关注 / 4个月以前发布,96,"9,796元/平"
岱庙   红门  科大教师公寓博士楼 两室两厅,教师公寓 -红门,2室2厅 | 70平米 | 南 北 | 精装 | 中楼层(共7层)  | 暂无数据,1人关注 / 3个月以前发布,148.5,"21,215元/平"
