标题,开发商,房子信息,发布信息,售价/万,单价
青年路碱泉街兵二日月星光地暖电梯复式采光好人车分流,日光小区 -青年路,4室3厅 | 234.2平米 | 南 北 | 简装 | 高楼层(共13层)  | 板楼,12人关注 / 一年前发布,178,"7,601元/平"
美居2010年电梯房 津城茗苑 107平 南北通透 7900/平,津城茗苑 -美居,2室1厅 | 107.36平米 | 南 北 | 简装 | 低楼层(共31层)  | 板塔结合,1人关注 / 5个月以前发布,85,"7,918元/平"
友好北园春商圈 精装 采光好 交通便利,锦福苑 -油运司,2室2厅 | 59.04平米 | 西 | 简装 | 中楼层(共7层)  | 板楼,7人关注 / 8个月以前发布,49.8,"8,435元/平"
雅山新天地A区 复式 带露台 业主诚心出售,信达雅山新天地A区 -西山,3室2厅 | 80.16平米 | 南 北 | 精装 | 高楼层(共6层)  | 暂无数据,5人关注 / 10个月以前发布,68,"8,484元/平"
特变水木尚城多层三室两厅两卫，带地下室，产证在手,特变水木尚城 -天汇汽车城,3室2厅 | 121.24平米 | 南 北 | 简装 | 高楼层(共6层)  | 板楼,0人关注 / 2个月以前发布,75,"6,187元/平"
新市区木材厂马德里春天九家湾小区2室,友好宜和嘉园九家湾小区 -木材厂,2室2厅 | 73.25平米 | 南 北 | 简装 | 中楼层(共14层)  | 暂无数据,0人关注 / 3个月以前发布,56,"7,646元/平"
兵团二中后门正对，出租出售为孩子上学都很方便！,大十字商业大厦 -碱泉街,2室1厅 | 66.67平米 | 南 北 | 简装 | 中楼层(共6层)  | 暂无数据,5人关注 / 一年前发布,48,"7,200元/平"
特变水木尚城3室精装103平报价72.8万状况好产证在手,特变水木尚城 -天汇汽车城,3室2厅 | 103平米 | 南 北 | 精装 | 中楼层(共17层)  | 板楼,2人关注 / 4个月以前发布,69.8,"6,777元/平"
南北户型，小高层前后无遮挡，采光好，3室改2室,双宇博格达城 -天汇汽车城,2室2厅 | 91.91平米 | 南 北 | 精装 | 高楼层(共10层)  | 平房,1人关注 / 4个月以前发布,55.6,"6,050元/平"
南北通透格局，楼层好，布局好，采光好，全明户型,香缇苑 -天汇汽车城,3室2厅 | 108.53平米 | 南 北 | 精装 | 中楼层(共26层)  | 暂无数据,0人关注 / 8个月以前发布,67,"6,174元/平"
香缇苑简装三室南北通透，满五唯一视野开阔，釆光充足,香缇苑 -天汇汽车城,3室2厅 | 98.27平米 | 南 北 | 简装 | 高楼层(共33层)  | 暂无数据,1人关注 / 7个月以前发布,52.8,"5,373元/平"
天山区新上好房，标准两居室，中间楼层，带地下室。。,六附院家属区 -北门,2室1厅 | 49平米 | 南 北 | 简装 | 中楼层(共6层)  | 暂无数据,0人关注 / 4个月以前发布,43,"8,776元/平"
珠江路金粮源小区公寓 面积布局好的,金粮公寓 -商贸城,1室1厅 | 51.53平米 | 南 北 | 简装 | 中楼层(共6层)  | 板塔结合,3人关注 / 4个月以前发布,35,"6,793元/平"
好房出售3室2厅标准户型南北 通透可按揭,新疆路桥桥梁工程建设有限责任公司家属院 -卡子湾,3室2厅 | 88.39平米 | 南 北 | 简装 | 高楼层(共6层)  | 板楼,6人关注 / 5个月以前发布,38,"4,300元/平"
满五，三室两厅带花园，多层公摊小，采光充足交通便利,荷兰小镇一期 -天汇汽车城,3室2厅 | 93.98平米 | 南 北 | 精装 | 低楼层(共6层)  | 暂无数据,4人关注 / 7个月以前发布,63,"6,704元/平"
米东三期多层三楼南北通透中装采光好114,米东新城三期 -天汇汽车城,2室2厅 | 77.3平米 | 南 北 | 简装 | 中楼层(共6层)  | 暂无数据,0人关注 / 5个月以前发布,47.8,"6,184元/平"
嘉华园 3室2厅 南 北,嘉华园 -长春路,3室2厅 | 102.84平米 | 南 北 | 精装 | 中楼层(共7层)  | 板楼,1人关注 / 18天以前发布,85,"8,266元/平"
华朗春天里 2室1厅 南,华朗春天里 -新市区,2室1厅 | 85平米 | 南 | 精装 | 高楼层(共27层)  | 板塔结合,0人关注 / 7天以前发布,95,"11,177元/平"
和兴雅轩 2室1厅 南 北,和兴雅轩 -西山,2室1厅 | 79.6平米 | 南 北 | 精装 | 低楼层(共11层)  | 塔楼,0人关注 / 15天以前发布,57,"7,161元/平"
万泰怡郡小区 2室1厅 南,万泰怡郡小区 -小西沟,2室1厅 | 107平米 | 南 | 精装 | 高楼层(共19层)  | 塔楼,0人关注 / 7天以前发布,95,"8,879元/平"
华凌公寓 3室2厅 南 北,华凌公寓 -南湖广场,3室2厅 | 137.58平米 | 南 北 | 精装 | 中楼层(共32层)  | 暂无数据,0人关注 / 一年前发布,150,"10,903元/平"
一环内区域多层，门口BRT7号线，71号线，旁边农大,古城花园B区 -友好,3室2厅 | 95.03平米 | 南 | 精装 | 低楼层(共6层)  | 板塔结合,4人关注 / 4个月以前发布,76,"7,998元/平"
水区 123平米 复式带晒台 3室2卫,国秀苑 -水磨沟公园,4室2厅 | 123.33平米 | 南 北 | 精装 | 高楼层(共6层)  | 暂无数据,7人关注 / 7个月以前发布,67.5,"5,474元/平"
精装小三居 楼龄新 楼层好  业主诚心对外出售,中豪润园B区 -西山,3室2厅 | 89.47平米 | 南 西 北 | 精装 | 18层  | 板楼,4人关注 / 6个月以前发布,67.5,"7,545元/平"
精装3室 万科都会传奇旁 标准户型 带飘窗 拎包入住,中央郡 -油运司,3室2厅 | 116.81平米 | 西 北 | 精装 | 高楼层(共24层)  | 板楼,18人关注 / 一年前发布,106,"9,075元/平"
北京路铁路局二宫体育馆旁，地暖精装小高层,天山雅仕居小区 -长春路,3室1厅 | 138.39平米 | 南 北 | 简装 | 低楼层(共11层)  | 板楼,0人关注 / 5个月以前发布,108,"7,805元/平"
美居三楼 美特花园106.78平 南北三室 现7677/平,美特花园 -美居,3室2厅 | 106.78平米 | 南 北 | 简装 | 中楼层(共6层)  | 板楼,1人关注 / 5个月以前发布,82,"7,680元/平"
映象南湖 3室2厅 南,映象南湖 -南湖广场,3室2厅 | 139.53平米 | 南 | 精装 | 中楼层(共11层)  | 板楼,2人关注 / 10个月以前发布,135,"9,676元/平"
单位房，中等装修，业主诚意出售，看房方便！,高法家属院 -王家梁,3室2厅 | 132.05平米 | 南 北 | 简装 | 高楼层(共11层)  | 板楼,6人关注 / 4个月以前发布,112,"8,482元/平"
三室两厅一厨两卫，楼层也相当好,昊元上品 -卫星路,3室2厅 | 160.21平米 | 南 北 | 精装 | 低楼层(共28层)  | 板楼,5人关注 / 5个月以前发布,140,"8,739元/平"
新市区长春路友好商场花田小镇美居大都会旁绿苑雅筑,绿苑雅筑 -美居,3室2厅 | 126.48平米 | 南 北 | 精装 | 中楼层(共16层)  | 板楼,1人关注 / 5个月以前发布,121.5,"9,607元/平"
青年路，天宁高层，精装修，优质好房,天宁高层 -青年路,3室2厅 | 143.88平米 | 西 北 | 精装 | 中楼层(共26层)  | 塔楼,3人关注 / 一年前发布,180,"12,511元/平"
长春路美居 三号线旁南北 新小区 交通配套全 标准三室,绿苑雅筑 -美居,3室2厅 | 126.48平米 | 南 北 | 精装 | 高楼层(共16层)  | 板楼,0人关注 / 4个月以前发布,128,"10,121元/平"
友好沙区西北路，南梁坡。精装修，低楼层 前后无遮挡,海龙山庄 -文化宫,2室1厅 | 89.26平米 | 东 西 | 精装 | 低楼层(共6层)  | 板楼,0人关注 / 5个月以前发布,66,"7,395元/平"
维斯特五期上新房源带前后大花园精装领包入住停车方便,维斯特世纪花园五期 -水磨沟区,3室2厅 | 113.65平米 | 南 北 | 精装 | 低楼层(共5层)  | 板楼,1人关注 / 4个月以前发布,79.6,"7,004元/平"
沙依巴克区阿勒泰路越秀小区3楼好房急售,越秀小区 -油运司,2室2厅 | 83.48平米 | 南 北 | 简装 | 中楼层(共7层)  | 板楼,8人关注 / 8个月以前发布,60,"7,188元/平"
翠泉路39中旁房龄新小区环境好出行便利采光好,金卫阳光小区 -天山区,2室2厅 | 97.24平米 | 南 北 | 精装 | 中楼层(共18层)  | 暂无数据,1人关注 / 8个月以前发布,99,"10,181元/平"
兰乔圣菲 联排精装别墅  直接拎包入住,兰乔圣菲 -西山,5室2厅 | 401平米 | 南 北 | 精装 | 低楼层(共3层)  | 暂无数据,10人关注 / 一年前发布,430,"10,724元/平"
米东区特变水木130平米3室高层11楼南北通透采光好,特变水木尚城 -天汇汽车城,3室2厅 | 130.57平米 | 南 北 | 简装 | 高楼层(共12层)  | 板楼,3人关注 / 5个月以前发布,86,"6,587元/平"
长沙路精装带大于100平晒台可烧烤阳光房花房养鸽子,百信康城 -植物园,4室3厅 | 138.82平米 | 东南 | 精装 | 高楼层(共7层)  | 板楼,9人关注 / 5个月以前发布,102,"7,348元/平"
北门红山路 兵一旁 农行家属院 三室 带60平晒台,天山区农行家属院 -北门,3室2厅 | 136.39平米 | 南 | 简装 | 中楼层(共8层)  | 暂无数据,44人关注 / 一年前发布,85,"6,233元/平"
医学院县医院御园公馆LOFT赛博特御园世家碧水源,御园公馆 -美居,3室2厅 | 164平米 | 东 | 精装 | 高楼层(共19层)  | 板楼,17人关注 / 一年前发布,99.6,"6,074元/平"
特变阳光绿景复式洋房精装修带晒台,特变阳光绿景 -天汇汽车城,4室2厅 | 157.84平米 | 南 北 | 精装 | 中楼层(共6层)  | 板楼,4人关注 / 5个月以前发布,119,"7,540元/平"
教育学院后门新地暖精装房出售 三室,天鸿山庄 -红山公园,3室1厅 | 106.5平米 | 南 北 | 精装 | 低楼层(共6层)  | 板楼,2人关注 / 一年前发布,135,"12,677元/平"
经开区卫星路秦郡小区一品九点阳光带地下室3室精装修,一品九点阳光 -秦郡,3室2厅 | 122.65平米 | 南 北 | 精装 | 中楼层(共26层)  | 暂无数据,0人关注 / 7个月以前发布,119,"9,703元/平"
新疆师范大学家属院，好楼层，好户型，前后视野棒,新疆师范大学家属院 -医学院,3室1厅 | 81.78平米 | 南 北 | 简装 | 中楼层(共6层)  | 板楼,1人关注 / 7个月以前发布,132,"16,141元/平"
烟草公司家属院 3室2厅 南 北,烟草公司家属院 -友好,3室2厅 | 105平米 | 南 北 | 简装 | 高楼层(共6层)  | 板楼,0人关注 / 22天以前发布,103,"9,810元/平"
七一阳光新城 绿景花苑一期 4室精装复式好房出售,绿景花苑一期 -水磨沟区,4室2厅 | 176.87平米 | 南 北 | 其他 | 高楼层(共6层)  | 板塔结合,2人关注 / 5个月以前发布,110,"6,220元/平"
金色嘉园 2室1厅 南,金色嘉园 -美居,2室1厅 | 71.73平米 | 南 | 精装 | 低楼层(共6层)  | 板楼,0人关注 / 7天以前发布,63,"8,783元/平"
百商国际 2室2厅 东,百商国际 -美居,2室2厅 | 87平米 | 东 | 其他 | 高楼层(共25层)  | 板塔结合,0人关注 / 4天以前发布,78,"8,966元/平"
公园七号 3室2厅 南,公园七号 -红光山,3室2厅 | 109.74平米 | 南 | 毛坯 | 中楼层(共31层)  | 板楼,0人关注 / 13天以前发布,90,"8,202元/平"
光明路北小区 2室1厅 南 北,光明路北小区 -北门,2室1厅 | 80.5平米 | 南 北 | 其他 | 低楼层(共6层)  | 板楼,0人关注 / 6天以前发布,268,"33,292元/平"
沙区 天安名 门 红山 雅山公园 沙区政府旁 养老 改善,天安名门 -文化宫,5室2厅 | 313.21平米 | 南 北 | 精装 | 高楼层(共12层)  | 板楼,9人关注 / 10个月以前发布,300,"9,579元/平"
一楼复式精装修面积大........,百信康城 -植物园,4室2厅 | 220.98平米 | 南 北 | 精装 | 低楼层(共7层)  | 板楼,16人关注 / 一年前发布,170,"7,694元/平"
儿童村北园春复式大四室盛大花园采光好,盛大花园 -儿童村,4室3厅 | 186平米 | 南 | 精装 | 高楼层(共6层)  | 暂无数据,7人关注 / 一年前发布,112,"6,022元/平"
新上北门兵团机关南院家属院   空房子随时看房,兵团机关南院 -人民电影院,2室1厅 | 54平米 | 南 北 | 简装 | 高楼层(共5层)  | 板楼,0人关注 / 3个月以前发布,98,"18,149元/平"
诚意出售 碱泉街蓝波湾小区 2室2厅单卫,百信蓝波湾 -天山区,2室1厅 | 63.17平米 | 西 北 | 简装 | 低楼层(共6层)  | 板楼,2人关注 / 3个月以前发布,46,"7,282元/平"
产证在手！拎包入住！荷兰二期南北通透卫生间带窗户！,荷兰小镇二期 -天汇汽车城,2室2厅 | 86.56平米 | 南 北 | 精装 | 低楼层(共18层)  | 板楼,0人关注 / 4个月以前发布,48,"5,546元/平"
幸福花园三期 单身公寓 房子干净 房东诚心出售,幸福花园三期 -幸福路,1室0厅 | 35.36平米 | 南 | 简装 | 高楼层(共6层)  | 板楼,1人关注 / 4个月以前发布,22,"6,222元/平"
米东三期多层二楼带地下室，产证在手，方便装修,米东新城三期 -天汇汽车城,2室2厅 | 88.2平米 | 南 北 | 简装 | 低楼层(共6层)  | 板楼,2人关注 / 一年前发布,49.8,"5,647元/平"
房东急售 94平 天山花园地暖房 精装修 南北通透,天山花园 -医学院,2室2厅 | 94.14平米 | 南 北 | 精装 | 高楼层(共7层)  | 板楼,13人关注 / 一年前发布,74,"7,861元/平"
新市区 北京南路 南北通透 两居室出门地铁口,泰翠小区 -医学院,2室1厅 | 67.07平米 | 南 北 | 简装 | 高楼层(共7层)  | 板楼,2人关注 / 5个月以前发布,39.5,"5,890元/平"
4楼 一梯2户两室两厅有钥匙随时看房南北通透,161队职工小区 -西山,2室2厅 | 76.85平米 | 南 北 | 精装 | 中楼层(共5层)  | 板楼,5人关注 / 8个月以前发布,50,"6,507元/平"
房子是博雅苑标准户型 座北朝南 采光好,博雅苑 -植物园,1室1厅 | 39.35平米 | 西 | 毛坯 | 低楼层(共6层)  | 板楼,1人关注 / 5个月以前发布,34,"8,641元/平"
天山区五星路建工医院旁建运司家属院简单装修可随时看,建运司家属院 -青年路,2室1厅 | 62.14平米 | 南 北 | 简装 | 中楼层(共6层)  | 暂无数据,0人关注 / 5个月以前发布,53,"8,530元/平"
荷兰二期，精装大两室，南北通透，证在手可按揭,荷兰小镇二期 -天汇汽车城,2室2厅 | 86.37平米 | 南 北 | 精装 | 中楼层(共18层)  | 板楼,2人关注 / 8个月以前发布,54.5,"6,311元/平"
房子满5年唯一适合年轻人过度和老人住,泰琇小区 -油运司,1室0厅 | 33.6平米 | 东 | 简装 | 低楼层(共6层)  | 暂无数据,6人关注 / 7个月以前发布,22.5,"6,697元/平"
青年路 兵团医院旁 兵团二中旁 出行方便 离校园100米,九运司家属院 -北门,2室1厅 | 59.86平米 | 东 西 | 简装 | 中楼层(共6层)  | 板楼,0人关注 / 5个月以前发布,120,"20,047元/平"
瑞祥小区好房低价出售出行便利设施齐全,瑞祥花苑 -喀什东路,1室2厅 | 57.74平米 | 南 | 简装 | 高楼层(共6层)  | 板楼,12人关注 / 8个月以前发布,28.5,"4,936元/平"
天山区青年路正苑小区精装三室业主诚心出售,正苑小区北区 -青年路,3室1厅 | 82.98平米 | 东 西 | 精装 | 高楼层(共6层)  | 板楼,0人关注 / 4个月以前发布,57,"6,870元/平"
天山区青年路兵团汽贸中装两室诚心出售,兵团汽贸 -青年路,2室2厅 | 79.8平米 | 南 北 | 简装 | 中楼层(共6层)  | 暂无数据,0人关注 / 3个月以前发布,60,"7,519元/平"
好楼层单身公寓。步行梯公摊少。现在租金1300,万豪家苑 -宣仁墩,1室1厅 | 49.37平米 | 南 | 简装 | 中楼层(共6层)  | 暂无数据,21人关注 / 4个月以前发布,21,"4,254元/平"
精装修  小区环境好  采光好  视野开阔,百信蓝波湾 -天山区,2室1厅 | 77.66平米 | 南 北 | 精装 | 高楼层(共6层)  | 板楼,0人关注 / 7天以前发布,52,"6,696元/平"
南北通透，采光好，楼层位置好。交通便利,特变水木尚城 -天汇汽车城,3室2厅 | 125.03平米 | 南 北 | 精装 | 高楼层(共17层)  | 板楼,0人关注 / 6个月以前发布,78,"6,239元/平"
碱泉街69号院 1室1厅 南,碱泉街69号院 -青年路,1室1厅 | 51.52平米 | 南 | 精装 | 中楼层(共7层)  | 板楼,1人关注 / 7个月以前发布,115,"22,322元/平"
北京南路 电梯地铁 旁边就是福润德,中核金原名居 -小西沟,3室2厅 | 147.93平米 | 南 北 | 精装 | 高楼层(共16层)  | 板楼,0人关注 / 3个月以前发布,190,"12,844元/平"
晨曦小区五楼，配套设施齐全，环境优美 公摊小,晨曦小区 -油运司,3室2厅 | 110.02平米 | 东 西 | 简装 | 高楼层(共6层)  | 暂无数据,1人关注 / 7个月以前发布,85,"7,726元/平"
房子户型好 楼层好 地理位置好 十分好卖,优诗美地二期 -青年路,3室2厅 | 118.73平米 | 南 北 | 简装 | 中楼层(共7层)  | 板楼,0人关注 / 4个月以前发布,123,"10,360元/平"
蓝调晶典 2室1厅 东,蓝调晶典 -美居,2室1厅 | 68平米 | 东 | 简装 | 高楼层(共6层)  | 板楼,1人关注 / 2个月以前发布,44,"6,471元/平"
经开区一品九点阳光，三室，精装，看房随时,一品九点阳光 -秦郡,3室2厅 | 125平米 | 南 北 | 简装 | 中楼层(共12层)  | 板楼,0人关注 / 4个月以前发布,113,"9,040元/平"
青年路碱泉街天府花园两室南北通透可实地看房,天府花园 -碱泉街,2室2厅 | 74.12平米 | 南 北 | 简装 | 高楼层(共7层)  | 板楼,4人关注 / 4个月以前发布,40,"5,397元/平"
白云尚都   三室两厅一卫  南北朝向,白云尚都 -青年路,3室2厅 | 109平米 | 南 北 | 精装 | 中楼层(共24层)  | 板楼,3人关注 / 7个月以前发布,168,"15,413元/平"
"小区位于新华南路主干道,环境优美,户型好。南北朝阳",南公园小区 -珠江路,2室1厅 | 60.03平米 | 南 北 | 简装 | 中楼层(共6层)  | 板塔结合,2人关注 / 5个月以前发布,49.8,"8,296元/平"
首付25 电梯中层 精装 视野好  户型通透,荣和城二期祥郡 -油运司,3室2厅 | 112.61平米 | 南 北 | 精装 | 低楼层(共18层)  | 板塔结合,0人关注 / 6个月以前发布,115,"10,213元/平"
出售机场旁迎宾路莱茵庄园汇润城精装两室，小区环境好,莱茵庄园 -机场,2室2厅 | 74.5平米 | 南 | 精装 | 低楼层(共5层)  | 板塔结合,2人关注 / 8个月以前发布,62,"8,323元/平"
专汽小区   交通便利  配套齐全,专汽小区 -碱泉街,1室1厅 | 61.3平米 | 西北 | 精装 | 中楼层(共7层)  | 板楼,6人关注 / 9个月以前发布,47.5,"7,749元/平"
青年路碱泉街嘉鸿园精装房东诚心出售,嘉鸿园小区 -碱泉街,2室2厅 | 70.07平米 | 北 南 | 精装 | 中楼层(共7层)  | 暂无数据,4人关注 / 4个月以前发布,75,"10,704元/平"
房子坐北朝南，双证齐全小区可停车,建运司家属院 -青年路,2室1厅 | 75.37平米 | 南 北 | 简装 | 低楼层(共6层)  | 暂无数据,0人关注 / 8个月以前发布,77,"10,217元/平"
天山区青年路碱泉街光明路优诗美地二期日月星光医院,优诗美地二期 -青年路,3室2厅 | 104.26平米 | 南 北 | 精装 | 中楼层(共6层)  | 板楼,0人关注 / 7个月以前发布,110,"10,551元/平"
简单装修 房屋干净 可以拎包入住 采光好 业主爱惜,德邻苑 -碱泉街,2室1厅 | 66.59平米 | 南 北 | 简装 | 高楼层(共6层)  | 暂无数据,0人关注 / 5个月以前发布,50,"7,509元/平"
三楼  大两室  户型通透   没有公摊  比实际面积大,新疆公路管理局住宅小区 -商贸城,2室1厅 | 60平米 | 东 西 | 简装 | 中楼层(共6层)  | 暂无数据,1人关注 / 3个月以前发布,48,"8,000元/平"
双宇博格达城电梯中层精装三室带车位，领包入住,双宇博格达城 -天汇汽车城,3室2厅 | 140.63平米 | 南 北 | 精装 | 中楼层(共17层)  | 塔楼,0人关注 / 7个月以前发布,88,"6,258元/平"
中装两居室位置好楼层好，小区安静不临街，配套齐全。,红山路电视台家属院 -红山公园,2室1厅 | 55.89平米 | 南 | 简装 | 中楼层(共6层)  | 暂无数据,1人关注 / 4个月以前发布,40,"7,157元/平"
南北通透格局，采光好，满五唯一，交通便利,嘉禾华府 -古牧地,3室2厅 | 90.44平米 | 南 北 | 精装 | 中楼层(共6层)  | 暂无数据,2人关注 / 6个月以前发布,56,"6,192元/平"
