标题,开发商,房子信息,发布信息,售价/万,单价
龙记帝景湾 3室2厅 南 北,龙记帝景湾 -城北,3室2厅 | 120.01平米 | 南 北 | 精装 | 低楼层(共23层)  | 板塔结合,0人关注 / 3天以前发布,170,"14,166元/平"
华城万象 3室1厅 北 南,华城万象 -城南,3室1厅 | 99.98平米 | 北 南 | 精装 | 低楼层(共33层)  | 板塔结合,0人关注 / 11天以前发布,167,"16,704元/平"
明德门(南东区) 2室2厅 南,明德门(南东区) -城南,2室2厅 | 65.38平米 | 南 | 简装 | 中楼层(共7层)  | 板楼,0人关注 / 12天以前发布,63,"9,636元/平"
爱尚泾渭 3室2厅 南,爱尚泾渭 -高陵,3室2厅 | 62.72平米 | 南 | 其他 | 中楼层(共16层)  | 板塔结合,0人关注 / 15天以前发布,68,"10,842元/平"
恒基碧翠锦华 2室2厅 东南,恒基碧翠锦华 -城东,2室2厅 | 92.35平米 | 东南 | 精装 | 高楼层(共33层)  | 板楼,1人关注 / 6天以前发布,159.9,"17,315元/平"
天地源香都东岸 4室2厅 南 北,天地源香都东岸 -曲江,4室2厅 | 147.35平米 | 南 北 | 毛坯 | 10层  | 板塔结合,0人关注 / 6天以前发布,423,"28,708元/平"
浐灞半岛A6区 3室1厅 西,浐灞半岛A6区 -浐河西路,3室1厅 | 48.13平米 | 西 | 精装 | 低楼层(共18层)  | 板塔结合,0人关注 / 9天以前发布,65,"13,506元/平"
龙天名俊 3室2厅 南 北,龙天名俊 -陕西大会堂,3室2厅 | 96.53平米 | 南 北 | 精装 | 中楼层(共31层)  | 板楼,0人关注 / 16天以前发布,173,"17,922元/平"
南坊巷小区 3室2厅 南 北,南坊巷小区 -城内,3室2厅 | 86.55平米 | 南 北 | 其他 | 高楼层(共4层)  | 板塔结合,0人关注 / 13天以前发布,85,"9,821元/平"
冠诚鼎和国际 3室2厅 南 北,冠诚鼎和国际 -经开南,3室2厅 | 116.13平米 | 南 北 | 毛坯 | 高楼层(共24层)  | 板塔结合,2人关注 / 16天以前发布,190,"16,361元/平"
绿港花园 3室2厅 东北,绿港花园 -高新六路,3室2厅 | 110.91平米 | 东北 | 精装 | 32层  | 板塔结合,0人关注 / 10天以前发布,159,"14,336元/平"
东方罗马花园 2室1厅 北,东方罗马花园 -矿山路,2室1厅 | 45.54平米 | 北 | 简装 | 中楼层(共16层)  | 塔楼,3人关注 / 14天以前发布,78,"17,128元/平"
万科金域蓝湾 3室1厅 南,万科金域蓝湾 -广泰门,3室1厅 | 91.29平米 | 南 | 精装 | 中楼层(共33层)  | 板塔结合,0人关注 / 14天以前发布,178,"19,499元/平"
高科绿水东城一期 2室2厅 南,高科绿水东城一期 -纺织城,2室2厅 | 107.6平米 | 南 | 简装 | 中楼层(共33层)  | 板塔结合,0人关注 / 9天以前发布,128,"11,896元/平"
旭景兴园 2室1厅 东南,旭景兴园 -经开北,2室1厅 | 89.47平米 | 东南 | 简装 | 中楼层(共33层)  | 板塔结合,0人关注 / 4天以前发布,115,"12,854元/平"
西北有色地质研究院生活小区 2室2厅 南 北,西北有色地质研究院生活小区 -城东,2室2厅 | 103.56平米 | 南 北 | 其他 | 中楼层(共6层)  | 板楼,0人关注 / 11天以前发布,107,"10,333元/平"
西岸国际花园西苑 3室1厅 南 北,西岸国际花园西苑 -广泰门,3室1厅 | 119.7平米 | 南 北 | 精装 | 高楼层(共29层)  | 板塔结合,1人关注 / 14天以前发布,185,"15,456元/平"
旭景碧泽园 3室2厅 南 北,旭景碧泽园 -高新六路,3室2厅 | 127.31平米 | 南 北 | 精装 | 低楼层(共20层)  | 板塔结合,3人关注 / 10天以前发布,167,"13,118元/平"
紫郡长安 2室2厅 东,紫郡长安 -城南,2室2厅 | 90.42平米 | 东 | 简装 | 高楼层(共33层)  | 板塔结合,4人关注 / 12天以前发布,126,"13,935元/平"
保利天悦一期 3室1厅 南,保利天悦一期 -鱼化寨,3室1厅 | 101.59平米 | 南 | 精装 | 33层  | 板楼,0人关注 / 9天以前发布,349,"34,354元/平"
北城新天地 3室2厅 西南,北城新天地 -高陵,3室2厅 | 61.97平米 | 西南 | 精装 | 高楼层(共16层)  | 塔楼,0人关注 / 1个月以前发布,69,"11,135元/平"
华豪丽晶 3室2厅 东南,华豪丽晶 -黄雁村,3室2厅 | 121.67平米 | 东南 | 其他 | 低楼层(共33层)  | 板塔结合,0人关注 / 7天以前发布,251,"20,630元/平"
华宇凤凰城 3室2厅 南 北,华宇凤凰城 -西咸,3室2厅 | 134.61平米 | 南 北 | 精装 | 中楼层(共26层)  | 板塔结合,0人关注 / 6天以前发布,172,"12,778元/平"
金泰假日花城 3室1厅 南 北,金泰假日花城 -城南,3室1厅 | 131.82平米 | 南 北 | 精装 | 26层  | 板塔结合,0人关注 / 7天以前发布,237,"17,980元/平"
第二人民医院家属院 2室2厅 南 北,第二人民医院家属院 -经开南,2室2厅 | 98.79平米 | 南 北 | 简装 | 高楼层(共5层)  | 板楼,0人关注 / 5天以前发布,93,"9,414元/平"
水岸东方3期 2室2厅 南,水岸东方3期 -雁鸣湖,2室2厅 | 89.35平米 | 南 | 精装 | 中楼层(共18层)  | 板塔结合,0人关注 / 3天以前发布,120,"13,431元/平"
东方米兰国际城 3室2厅 南 北,东方米兰国际城 -鱼化寨,3室2厅 | 125.62平米 | 南 北 | 其他 | 低楼层(共33层)  | 板楼,0人关注 / 7天以前发布,298,"23,723元/平"
复地优尚国际二期 3室1厅 南 北,复地优尚国际二期 -鱼化寨,3室1厅 | 88.7平米 | 南 北 | 简装 | 低楼层(共27层)  | 板塔结合,0人关注 / 6天以前发布,165,"18,603元/平"
枫林绿洲 4室2厅 南 北,枫林绿洲 -高新三小,4室2厅 | 156.13平米 | 南 北 | 简装 | 23层  | 板楼,0人关注 / 3天以前发布,410,"26,261元/平"
华远海蓝城二期 3室2厅 南,华远海蓝城二期 -矿山路,3室2厅 | 97.71平米 | 南 | 简装 | 低楼层(共33层)  | 板塔结合,0人关注 / 4天以前发布,166,"16,990元/平"
魏玛公馆 2室1厅 南,魏玛公馆 -经开北,2室1厅 | 50.86平米 | 南 | 精装 | 高楼层(共32层)  | 板塔结合,0人关注 / 15天以前发布,128,"25,168元/平"
金陵广场 2室2厅 南,金陵广场 -高陵,2室2厅 | 83.8平米 | 南 | 简装 | 高楼层(共31层)  | 板塔结合,0人关注 / 11天以前发布,78,"9,308元/平"
高山流水和城 2室1厅 南 北,高山流水和城 -都市之门,2室1厅 | 89.13平米 | 南 北 | 毛坯 | 低楼层(共32层)  | 板塔结合,0人关注 / 9天以前发布,77,"8,640元/平"
伟业公馆 6室4厅 南 北,伟业公馆 -高新六路,6室4厅 | 133.06平米 | 南 北 | 精装 | 低楼层(共33层)  | 板塔结合,1人关注 / 21天以前发布,440,"33,068元/平"
中华世纪城 5室2厅 南 北,中华世纪城 -唐延路,5室2厅 | 190.26平米 | 南 北 | 毛坯 | 中楼层(共11层)  | 板楼,0人关注 / 20天以前发布,294,"15,453元/平"
西航花园 4室2厅 南 北,西航花园 -国际港务区,4室2厅 | 131.92平米 | 南 北 | 精装 | 低楼层(共3层)  | 板楼,0人关注 / 21天以前发布,115,"8,718元/平"
海轩梦想100 2室2厅 南 北,海轩梦想100 -高陵,2室2厅 | 81.14平米 | 南 北 | 精装 | 高楼层(共27层)  | 板塔结合,0人关注 / 14天以前发布,85,"10,476元/平"
摩登小镇 3室2厅 南 北,摩登小镇 -长安,3室2厅 | 115.85平米 | 南 北 | 精装 | 高楼层(共9层)  | 板楼,0人关注 / 13天以前发布,125,"10,790元/平"
华清苑住宅小区 3室2厅 南 北,华清苑住宅小区 -临潼,3室2厅 | 126.93平米 | 南 北 | 简装 | 高楼层(共6层)  | 暂无数据,1人关注 / 12天以前发布,82,"6,461元/平"
融侨馨苑 3室2厅 南 西南,融侨馨苑 -城南,3室2厅 | 117.14平米 | 南 西南 | 精装 | 高楼层(共33层)  | 板塔结合,1人关注 / 29天以前发布,203,"17,330元/平"
西铁大明宫小区 2室2厅 南 北,西铁大明宫小区 -经开南,2室2厅 | 91.37平米 | 南 北 | 精装 | 低楼层(共7层)  | 板楼,1人关注 / 24天以前发布,95,"10,398元/平"
蓝光公园华府三期 3室1厅 南,蓝光公园华府三期 -西咸,3室1厅 | 110.67平米 | 南 | 精装 | 中楼层(共33层)  | 板楼,0人关注 / 1个月以前发布,172,"15,542元/平"
水岸东方2期 2室2厅 东南,水岸东方2期 -半坡立交,2室2厅 | 94.53平米 | 东南 | 精装 | 中楼层(共26层)  | 板楼,0人关注 / 1个月以前发布,115,"12,166元/平"
浅水湾澜园 4室2厅 南 北,浅水湾澜园 -纺织城,4室2厅 | 151.24平米 | 南 北 | 简装 | 中楼层(共26层)  | 板楼,0人关注 / 27天以前发布,245,"16,200元/平"
蓝光公园华府二期 3室2厅 南 北,蓝光公园华府二期 -西咸,3室2厅 | 108.96平米 | 南 北 | 精装 | 高楼层(共34层)  | 板楼,2人关注 / 29天以前发布,169,"15,511元/平"
双子座公寓 2室2厅 东,双子座公寓 -经开南,2室2厅 | 95.03平米 | 东 | 简装 | 中楼层(共32层)  | 塔楼,6人关注 / 1个月以前发布,99.8,"10,502元/平"
浐灞半岛A10区 2室1厅 南,浐灞半岛A10区 -浐河西路,2室1厅 | 87.15平米 | 南 | 精装 | 中楼层(共17层)  | 板塔结合,0人关注 / 21天以前发布,118,"13,540元/平"
红枫林 2室1厅 南,红枫林 -高新六路,2室1厅 | 84.85平米 | 南 | 精装 | 中楼层(共32层)  | 板楼,2人关注 / 26天以前发布,151,"17,797元/平"
佳艺住宅小区 3室2厅 南 北,佳艺住宅小区 -城南,3室2厅 | 104.01平米 | 南 北 | 精装 | 中楼层(共5层)  | 暂无数据,1人关注 / 19天以前发布,120,"11,538元/平"
万科金域东郡 2室1厅 南,万科金域东郡 -矿山路,2室1厅 | 70.1平米 | 南 | 简装 | 低楼层(共34层)  | 板塔结合,2人关注 / 27天以前发布,132,"18,831元/平"
西七路2号 2室1厅 南,西七路2号 -城内,2室1厅 | 59.76平米 | 南 | 其他 | 低楼层(共6层)  | 暂无数据,0人关注 / 19天以前发布,65,"10,877元/平"
浐灞半岛A6区 2室1厅 南,浐灞半岛A6区 -浐河西路,2室1厅 | 78.59平米 | 南 | 精装 | 高楼层(共18层)  | 塔楼,1人关注 / 25天以前发布,103,"13,106元/平"
金地褐石公馆 3室2厅 南 北,金地褐石公馆 -曲江,3室2厅 | 113.24平米 | 南 北 | 精装 | 低楼层(共34层)  | 板塔结合,0人关注 / 26天以前发布,245,"21,636元/平"
金泰假日花城 3室2厅 南 北,金泰假日花城 -城南,3室2厅 | 153.4平米 | 南 北 | 精装 | 低楼层(共10层)  | 板楼,1人关注 / 25天以前发布,334.9,"21,832元/平"
功德小区 3室2厅 东北,功德小区 -李家村,3室2厅 | 134.54平米 | 东北 | 简装 | 中楼层(共23层)  | 板楼,0人关注 / 24天以前发布,145,"10,778元/平"
陕西省医药公司家属院 2室1厅 南 北,陕西省医药公司家属院 -城东,2室1厅 | 65.63平米 | 南 北 | 其他 | 中楼层(共6层)  | 板塔结合,0人关注 / 31天以前发布,55,"8,381元/平"
文景观园 4室2厅 南 北,文景观园 -经开南,4室2厅 | 161.63平米 | 南 北 | 精装 | 中楼层(共17层)  | 板楼,0人关注 / 19天以前发布,309,"19,118元/平"
翠屏湾二期 2室1厅 南,翠屏湾二期 -矿山路,2室1厅 | 79.53平米 | 南 | 精装 | 中楼层(共18层)  | 塔楼,0人关注 / 21天以前发布,113.5,"14,272元/平"
万科金域东郡 3室2厅 南,万科金域东郡 -矿山路,3室2厅 | 88.34平米 | 南 | 精装 | 低楼层(共33层)  | 板楼,1人关注 / 23天以前发布,169,"19,131元/平"
太奥广场住宅 3室2厅 南 北,太奥广场住宅 -城西,3室2厅 | 101.94平米 | 南 北 | 精装 | 中楼层(共31层)  | 板塔结合,1人关注 / 29天以前发布,166,"16,285元/平"
鸿基新城祥园 2室1厅 南,鸿基新城祥园 -鱼化寨,2室1厅 | 83.57平米 | 南 | 精装 | 24层  | 板塔结合,1人关注 / 26天以前发布,146,"17,471元/平"
鸿基新城祥园 3室1厅 南 北,鸿基新城祥园 -鱼化寨,3室1厅 | 126.71平米 | 南 北 | 精装 | 18层  | 板塔结合,0人关注 / 24天以前发布,240,"18,941元/平"
龙湖花千树 3室2厅 南 北,龙湖花千树 -长安,3室2厅 | 147.35平米 | 南 北 | 毛坯 | 中楼层(共8层)  | 板楼,0人关注 / 28天以前发布,360,"24,432元/平"
中海御湖 2室2厅 南,中海御湖 -曲江,2室2厅 | 95.8平米 | 南 | 精装 | 中楼层(共33层)  | 板塔结合,2人关注 / 19天以前发布,295,"30,794元/平"
泾渭馨佳苑 3室2厅 南,泾渭馨佳苑 -高陵,3室2厅 | 135.76平米 | 南 | 毛坯 | 高楼层(共28层)  | 板塔结合,1人关注 / 18天以前发布,99,"7,293元/平"
华远海蓝城4期 3室2厅 南,华远海蓝城4期 -矿山路,3室2厅 | 86.72平米 | 南 | 精装 | 中楼层(共27层)  | 板塔结合,0人关注 / 28天以前发布,177,"20,411元/平"
高新骊山下的院子 3室2厅 南 北,高新骊山下的院子 -临潼,3室2厅 | 146.38平米 | 南 北 | 其他 | 低楼层(共10层)  | 板塔结合,0人关注 / 20天以前发布,252,"17,216元/平"
仕嘉公寓A区（绿地世纪城） 3室2厅 南 北,仕嘉公寓A区（绿地世纪城） -锦业路,3室2厅 | 128.86平米 | 南 北 | 精装 | 中楼层(共24层)  | 板塔结合,0人关注 / 26天以前发布,293,"22,738元/平"
富苑阳光 2室2厅 南 北,富苑阳光 -经开南,2室2厅 | 93.84平米 | 南 北 | 简装 | 低楼层(共13层)  | 板楼,2人关注 / 24天以前发布,129,"13,747元/平"
海璟时代 3室2厅 南,海璟时代 -经开南,3室2厅 | 107.84平米 | 南 | 其他 | 低楼层(共33层)  | 板塔结合,3人关注 / 22天以前发布,127,"11,777元/平"
自强小区(莲湖) 3室2厅 南 北,自强小区(莲湖) -城北,3室2厅 | 112.82平米 | 南 北 | 简装 | 中楼层(共7层)  | 板楼,1人关注 / 22天以前发布,95.6,"8,474元/平"
融侨馨苑 2室2厅 南 北,融侨馨苑 -城南,2室2厅 | 94.16平米 | 南 北 | 简装 | 16层  | 板楼,1人关注 / 20天以前发布,159,"16,887元/平"
蓝光公园华府三期 3室1厅 南 北,蓝光公园华府三期 -西咸,3室1厅 | 110.19平米 | 南 北 | 精装 | 高楼层(共34层)  | 板楼,0人关注 / 24天以前发布,165,"14,975元/平"
群星莱骊 2室2厅 南,群星莱骊 -临潼,2室2厅 | 93.84平米 | 南 | 精装 | 中楼层(共33层)  | 板塔结合,0人关注 / 23天以前发布,97,"10,337元/平"
省科技大院家属区 3室2厅 南 北,省科技大院家属区 -曲江,3室2厅 | 120.22平米 | 南 北 | 简装 | 中楼层(共6层)  | 板楼,1人关注 / 24天以前发布,160,"13,309元/平"
西安航天城A区 3室2厅 南,西安航天城A区 -长安,3室2厅 | 82.58平米 | 南 | 精装 | 高楼层(共30层)  | 板楼,0人关注 / 27天以前发布,152,"18,407元/平"
太白小区 3室2厅 南 北,太白小区 -城南,3室2厅 | 91.16平米 | 南 北 | 其他 | 中楼层(共7层)  | 板楼,0人关注 / 28天以前发布,114,"12,506元/平"
华怡园 2室1厅 南,华怡园 -高新四路,2室1厅 | 67.66平米 | 南 | 其他 | 低楼层(共7层)  | 板楼,0人关注 / 19天以前发布,136,"20,101元/平"
泰和御景豪庭 3室2厅 南,泰和御景豪庭 -城北,3室2厅 | 100.69平米 | 南 | 简装 | 低楼层(共26层)  | 板塔结合,3人关注 / 26天以前发布,118,"11,720元/平"
铭城16号 2室1厅 东,铭城16号 -城南,2室1厅 | 70.17平米 | 东 | 简装 | 中楼层(共33层)  | 板塔结合,0人关注 / 26天以前发布,116,"16,532元/平"
红枫林 2室2厅 南,红枫林 -高新六路,2室2厅 | 84.85平米 | 南 | 精装 | 高楼层(共32层)  | 板楼,1人关注 / 17天以前发布,151,"17,797元/平"
联盟新城 3室2厅 西南,联盟新城 -城南,3室2厅 | 143.93平米 | 西南 | 毛坯 | 低楼层(共34层)  | 板塔结合,2人关注 / 21天以前发布,143,"9,936元/平"
浐灞半岛A10区 2室1厅 南 北,浐灞半岛A10区 -浐河西路,2室1厅 | 90平米 | 南 北 | 精装 | 中楼层(共23层)  | 板塔结合,0人关注 / 23天以前发布,122,"13,556元/平"
浐灞半岛A10区 2室1厅 南 北,浐灞半岛A10区 -浐河西路,2室1厅 | 90.14平米 | 南 北 | 精装 | 低楼层(共24层)  | 板塔结合,0人关注 / 21天以前发布,119,"13,202元/平"
尚品桃源居 3室1厅 南 北,尚品桃源居 -长安,3室1厅 | 144.27平米 | 南 北 | 毛坯 | 低楼层(共6层)  | 板楼,0人关注 / 31天以前发布,183,"12,685元/平"
御锦城原香 3室2厅 南 北,御锦城原香 -浐河西路,3室2厅 | 131.9平米 | 南 北 | 精装 | 低楼层(共24层)  | 板楼,1人关注 / 26天以前发布,173,"13,116元/平"
东方罗马花园 3室1厅 南,东方罗马花园 -矿山路,3室1厅 | 55.56平米 | 南 | 精装 | 高楼层(共16层)  | 塔楼,1人关注 / 21天以前发布,96,"17,279元/平"
天然居一期 3室2厅 北,天然居一期 -城东,3室2厅 | 106.08平米 | 北 | 简装 | 高楼层(共18层)  | 板塔结合,2人关注 / 29天以前发布,150,"14,141元/平"
西安航天城 3室1厅 东 南,西安航天城 -长安,3室1厅 | 83.91平米 | 东 南 | 精装 | 低楼层(共26层)  | 板楼,0人关注 / 26天以前发布,158,"18,830元/平"
