标题,开发商,房子信息,发布信息,售价/万,单价
精装修3房 视野开阔 南北通透 省心省力省时间,香榭丽舍 -风景城邦商圈,3室1厅 | 98.62平米 | 南 北 | 精装 | 14层  | 板塔结合,0人关注 / 6天以前发布,83,"8,417元/平"
雅居乐两房和厅都朝南 户型好 品质小区 近镇江南站,雅居乐涟山 -南徐商圈,4室1厅 | 138.12平米 | 南 北 | 精装 | 低楼层(共33层)  | 暂无数据,0人关注 / 4天以前发布,112,"8,109元/平"
全屋定制 没有住过 无贷款 满二年 中间楼层,碧桂园大学印象 -宝华商圈,3室2厅 | 97平米 | 南 | 精装 | 高楼层(共24层)  | 板楼,0人关注 / 8天以前发布,83,"8,557元/平"
恒大雅苑 毛坯大三房 视野采光好 诚心出售,恒大雅苑 -宝华商圈,3室2厅 | 125平米 | 南 | 毛坯 | 高楼层(共33层)  | 塔楼,2人关注 / 6天以前发布,85,"6,800元/平"
户型方正，南北通透，小区人车分流,远洋心里 -宝华商圈,3室2厅 | 88平米 | 南 北 | 精装 | 低楼层(共33层)  | 塔楼,0人关注 / 6天以前发布,78,"8,864元/平"
近地铁仙林湖旁精装修  未入住全新房出售  价格可谈,和昌仙林国际 -宝华商圈,3室2厅 | 93.74平米 | 南 | 精装 | 中楼层(共18层)  | 板楼,0人关注 / 23天以前发布,110,"11,735元/平"
精装自主，中高楼层，拎包入住。,百悦华府 -宝龙商圈,2室1厅 | 82.47平米 | 南 东 | 精装 | 高楼层(共27层)  | 板楼,1人关注 / 23天以前发布,62,"7,518元/平"
通透，4房，得房率高 ，配套齐全，多层,九曲花苑 -宝华商圈,4室2厅 | 135.83平米 | 南 北 | 毛坯 | 中楼层(共6层)  | 塔楼,0人关注 / 20天以前发布,140,"10,308元/平"
楼层好 视野宽阔 采光充足 朝南户型方正,光明南郡 -风景城邦商圈,4室2厅 | 123.31平米 | 南 北 | 精装 | 中楼层(共6层)  | 板塔结合,0人关注 / 24天以前发布,85,"6,894元/平"
近地铁口 满2年 全款房 二次装修视野好 采光佳 大三房,碧桂园凤凰城翰林湾 -碧桂园凤凰城,3室2厅 | 122.69平米 | 南 | 精装 | 中楼层(共33层)  | 塔楼,4人关注 / 20天以前发布,73.5,"5,991元/平"
此房楼层好，户型房正，采光佳，无遮挡,优山美地花园北区 -象山街办,2室1厅 | 82平米 | 南 北 | 精装 | 33层  | 板塔结合,0人关注 / 3个月以前发布,74.8,"9,122元/平"
【店长推荐】中叠精装修 四间卧室拎包入住 带墙暖空调,润城御珑湖 -南徐商圈,4室2厅 | 179.24平米 | 南 北 | 精装 | 中楼层(共5层)  | 板塔结合,1人关注 / 16天以前发布,310,"17,296元/平"
楼间距大 南向采光无遮挡 精装大四房,宝龙国际花园二期 -宝龙商圈,4室1厅 | 131.1平米 | 南 北 | 精装 | 低楼层(共18层)  | 塔楼,0人关注 / 3个月以前发布,121,"9,230元/平"
楼层好，采光充足，配套实施齐全，交通便利,宜业苑 -大港新区,2室1厅 | 86.26平米 | 南 | 毛坯 | 中楼层(共18层)  | 塔楼,0人关注 / 12天以前发布,34,"3,942元/平"
现代简约装修，格局好，采光充足，四开间朝南,碧桂园大学印象峰景苑 -宝华商圈,4室2厅 | 125平米 | 南 | 精装 | 低楼层(共18层)  | 板塔结合,0人关注 / 7天以前发布,99,"7,920元/平"
精装修 采光充足，适合养老，刚需，温馨舒适的家,光明南郡 -风景城邦商圈,3室2厅 | 95平米 | 南 北 | 精装 | 低楼层(共6层)  | 板塔结合,0人关注 / 6天以前发布,85,"8,948元/平"
万科精装修洋房，房本满五唯一。。。,万科沁园二期 -南徐商圈,3室2厅 | 85.76平米 | 南 北 | 精装 | 中楼层(共8层)  | 板楼,0人关注 / 13天以前发布,108,"12,594元/平"
国企泰达 小高层 户型方正 采光充足 交通便利,泰达青筑 -宝华商圈,2室1厅 | 80.88平米 | 南 | 精装 | 高楼层(共18层)  | 板楼,0人关注 / 9天以前发布,73,"9,026元/平"
将装修前后两个大露台双阳台户型好品质小区,朗诗万都玲珑樾 -宝华商圈,3室2厅 | 87.27平米 | 西 | 简装 | 低楼层(共7层)  | 板塔结合,4人关注 / 16天以前发布,95,"10,886元/平"
万科品质精装修电梯房 全天采光 随时看房,万科中南翡翠江湾 -红豆购物广场商圈,3室2厅 | 119平米 | 南 | 精装 | 中楼层(共17层)  | 板楼,0人关注 / 9天以前发布,122,"10,253元/平"
恒大雅苑 三开间朝南 户型通透  精装婚房三房急售！,恒大雅苑 -宝华商圈,3室1厅 | 102.73平米 | 南 | 精装 | 中楼层(共33层)  | 塔楼,1人关注 / 10天以前发布,98,"9,540元/平"
景阳山庄精装三房，106平米，拎包入住,景阳山庄 -象山街办,3室2厅 | 106平米 | 南 | 精装 | 中楼层(共18层)  | 塔楼,0人关注 / 10天以前发布,83.8,"7,906元/平"
碧桂园凤凰城翰林湾 全明三房 急售,碧桂园凤凰城翰林湾 -碧桂园凤凰城,3室2厅 | 92.72平米 | 南 | 精装 | 中楼层(共26层)  | 塔楼,0人关注 / 3天以前发布,61,"6,579元/平"
碧桂园翡翠华府 精装修 拎包入住 业主急卖,碧桂园翡翠华府 -宝华商圈,3室1厅 | 115平米 | 南 | 精装 | 高楼层(共28层)  | 板楼,1人关注 / 11天以前发布,100,"8,696元/平"
近地铁 大学印象 精装大3房 楼层好  阳光充足,碧桂园大学印象 -宝华商圈,3室2厅 | 97平米 | 南 | 精装 | 中楼层(共24层)  | 板楼,0人关注 / 9天以前发布,71,"7,320元/平"
恒大雅苑 二次精装 拎包可住 诚心出售 边户,恒大雅苑 -宝华商圈,4室2厅 | 158.18平米 | 南 | 精装 | 低楼层(共33层)  | 塔楼,0人关注 / 9天以前发布,140.5,"8,883元/平"
格局好，采光充足，四开间朝南，山景一览无遗 有车位,碧桂园大学印象 -宝华商圈,4室2厅 | 127.59平米 | 南 | 精装 | 中楼层(共33层)  | 暂无数据,2人关注 / 2个月以前发布,103,"8,073元/平"
恒大雅苑三期 精装修全屋定制家具 双阳台 随时看,恒大雅苑 -宝华商圈,3室2厅 | 130.97平米 | 南 | 精装 | 高楼层(共31层)  | 板楼,13人关注 / 4个月以前发布,123,"9,392元/平"
京岘山庄优质好房源楼层好视野开阔有固定汽车位,京岘山庄 -梦溪商圈,3室2厅 | 113.08平米 | 南 | 精装 | 高楼层(共7层)  | 板塔结合,2人关注 / 3个月以前发布,87,"7,694元/平"
润城御龙湖3房，背靠山南面朝湖景，户型视野采光好,润城御珑湖 -南徐商圈,3室2厅 | 107.53平米 | 南 北 | 毛坯 | 中楼层(共16层)  | 板塔结合,18人关注 / 一年前发布,103,"9,579元/平"
湖景房 业主诚心出售 宽大客厅 舒适惬意,恒大雅苑 -宝华商圈,4室2厅 | 158.14平米 | 南 | 精装 | 低楼层(共33层)  | 塔楼,12人关注 / 9个月以前发布,125,"7,905元/平"
南北通透，大飘窗， 保养好，大飘窗,万科沁园二期 -南徐商圈,3室2厅 | 123.87平米 | 南 北 | 精装 | 低楼层(共18层)  | 板楼,11人关注 / 8个月以前发布,100,"8,073元/平"
香山壹景精装两房，楼层好 采光视野无遮挡,香山壹境 -宝华商圈,2室1厅 | 71.66平米 | 南 北 | 精装 | 高楼层(共33层)  | 塔楼,8人关注 / 一年前发布,59.8,"8,345元/平"
宝华山旁，精装三房。诚心出售，随时看房。,碧桂园大学印象峰景苑 -宝华商圈,3室2厅 | 95平米 | 南 | 精装 | 低楼层(共29层)  | 板楼,6人关注 / 2个月以前发布,72,"7,579元/平"
该房位于丁卯商圈，东边吾悦广场，购物休闲方便,尚东国际 -丁卯商圈,3室2厅 | 92.9平米 | 南 北 | 精装 | 高楼层(共21层)  | 板楼,3人关注 / 8个月以前发布,78,"8,397元/平"
仙林东 央企品质 招商物业 舒适三房两卫 全新装修,招商国际E城 -宝华商圈,3室2厅 | 91.32平米 | 南 | 精装 | 低楼层(共34层)  | 板楼,5人关注 / 7个月以前发布,88,"9,637元/平"
楼下配套成熟，此房格局好 楼层好，视野开阔 采光充足,恒大雅苑 -宝华商圈,4室2厅 | 174平米 | 南 | 精装 | 中楼层(共31层)  | 塔楼,7人关注 / 一年前发布,138,"7,932元/平"
精装修 楼层好 采光充足  房主急售  价格可谈,优山美地花园北区 -象山街办,3室2厅 | 133.43平米 | 北 南 | 精装 | 32层  | 板塔结合,9人关注 / 一年前发布,109,"8,170元/平"
滨江板块、江山明州六期电梯洋房、毛坯,江山名洲 -红豆购物广场商圈,4室2厅 | 152.36平米 | 东南 | 毛坯 | 高楼层(共9层)  | 板楼,1人关注 / 1个月以前发布,198,"12,996元/平"
二次精装修全屋墙布全新家具家电10年物业费,碧桂园翡翠华府 -宝华商圈,3室2厅 | 114.94平米 | 南 | 精装 | 中楼层(共33层)  | 板楼,9人关注 / 5个月以前发布,109,"9,484元/平"
碧桂园仙林东郡二次装修三房诚意出售,碧桂园仙林东郡 -宝华商圈,3室2厅 | 95.96平米 | 南 | 精装 | 中楼层(共18层)  | 板楼,15人关注 / 8个月以前发布,79.9,"8,327元/平"
碧桂园大学印象峰景苑 3室1厅 东南,碧桂园大学印象峰景苑 -宝华商圈,3室1厅 | 95平米 | 东南 | 简装 | 高楼层(共29层)  | 板楼,1人关注 / 5个月以前发布,72,"7,579元/平"
房子格局好，楼层好，采光足，视野好朝南面多户型方正,招商国际E城 -宝华商圈,3室2厅 | 95平米 | 南 | 精装 | 低楼层(共34层)  | 板塔结合,2人关注 / 4个月以前发布,93,"9,790元/平"
双地铁 多层洋房 附50平院子 另有20平地下室,仙林悦城新街坊 -宝华商圈,3室2厅 | 134.57平米 | 南 北 | 毛坯 | 低楼层(共5层)  | 板楼,32人关注 / 8个月以前发布,139,"10,330元/平"
精装地暖房，经典3房户型  楼层好 视野开阔,碧桂园翡翠华府二期 -宝华商圈,3室2厅 | 116.78平米 | 南 | 精装 | 中楼层(共34层)  | 塔楼,2人关注 / 4个月以前发布,105,"8,992元/平"
精装三室两厅 户型方正 小区交通购便捷,珑悦苑 -丁卯商圈,3室2厅 | 111.52平米 | 南 | 精装 | 中楼层(共34层)  | 板塔结合,1人关注 / 10个月以前发布,131,"11,747元/平"
房东诚心出售一楼带院子，采光充足,翰霖苑二期 -学府路商圈,2室2厅 | 94.38平米 | 南 北 | 简装 | 低楼层(共6层)  | 板塔结合,1人关注 / 1个月以前发布,88,"9,325元/平"
多层 二楼 边户  四房二卫 户型美 采光好 诚意卖,金桥花园 -市政府商圈,4室2厅 | 141.68平米 | 南 | 毛坯 | 低楼层(共6层)  | 板楼,2人关注 / 一年前发布,123,"8,682元/平"
仙林东  宝华镇  恒大雅苑  金碧物业,恒大雅苑 -宝华商圈,3室2厅 | 105平米 | 南 | 精装 | 低楼层(共33层)  | 塔楼,11人关注 / 9个月以前发布,96.5,"9,191元/平"
地铁口 精装房 满两年 总价低 凤凰层 视野开阔 诚售,碧桂园凤凰城临湖苑 -碧桂园凤凰城,3室2厅 | 99.84平米 | 南 | 精装 | 高楼层(共33层)  | 塔楼,4人关注 / 27天以前发布,65.5,"6,561元/平"
凤凰城柏丽湾   全南户型  地铁口   简单家具家电,碧桂园凤凰城柏丽湾 -碧桂园凤凰城,3室2厅 | 90.54平米 | 南 | 精装 | 中楼层(共33层)  | 塔楼,2人关注 / 25天以前发布,60,"6,627元/平"
毛坯新房 小区品质高 单价低 房东诚心卖,江山名洲六期 -红豆购物广场商圈,4室1厅 | 145平米 | 南 北 | 毛坯 | 中楼层(共18层)  | 暂无数据,0人关注 / 6天以前发布,185,"12,759元/平"
满二，楼层好，有二装，可拎包入住。,碧桂园凤凰城芷兰湾 -碧桂园凤凰城,2室1厅 | 70.27平米 | 南 | 精装 | 中楼层(共30层)  | 塔楼,5人关注 / 17天以前发布,48,"6,831元/平"
房屋好高档社区电梯房精装修有地热拎包入住您的选择！,云开甲第花园 -南徐商圈,2室1厅 | 91.89平米 | 西南 | 精装 | 低楼层(共29层)  | 板塔结合,0人关注 / 21天以前发布,91,"9,904元/平"
精装小户型 温馨 设施全 拎包入住,汤山鎏园 -句容,1室1厅 | 62.95平米 | 南 北 | 精装 | 中楼层(共11层)  | 板楼,0人关注 / 12天以前发布,47,"7,467元/平"
柏丽湾二装2房 简洁  满二 出行方便 配套齐全,碧桂园凤凰城柏丽湾 -碧桂园凤凰城,2室2厅 | 89.09平米 | 南 | 精装 | 低楼层(共30层)  | 板楼,0人关注 / 16天以前发布,53,"5,950元/平"
柏丽湾 近地铁小三房 前无遮挡全天采光 好楼层,碧桂园凤凰城柏丽湾 -碧桂园凤凰城,3室2厅 | 90.42平米 | 南 | 精装 | 低楼层(共32层)  | 塔楼,3人关注 / 30天以前发布,59.6,"6,592元/平"
大学印象 峰景苑 山景住宅 安静舒适 诚心出售,碧桂园大学印象峰景苑 -宝华商圈,3室2厅 | 95平米 | 南 | 精装 | 中楼层(共29层)  | 板楼,0人关注 / 23天以前发布,74.5,"7,843元/平"
户型方正 保养好 价格可谈 配套成熟,恒大雅苑 -宝华商圈,3室1厅 | 111.45平米 | 南 | 精装 | 中楼层(共33层)  | 塔楼,1人关注 / 24天以前发布,93,"8,345元/平"
翡翠华府 精装四房  中间楼层 视野好,碧桂园翡翠华府二期 -宝华商圈,4室2厅 | 143平米 | 南 | 精装 | 中楼层(共17层)  | 塔楼,1人关注 / 20天以前发布,152,"10,630元/平"
嘉荟新城东区精装122平拎包入住,嘉荟新城东区 -丹阳开发区商圈,3室1厅 | 122平米 | 南 | 精装 | 低楼层(共18层)  | 平房,1人关注 / 31天以前发布,89.8,"7,361元/平"
四季金辉 3室2厅 南,四季金辉 -宝华商圈,3室2厅 | 85.67平米 | 南 | 毛坯 | 高楼层(共33层)  | 塔楼,0人关注 / 29天以前发布,71,"8,288元/平"
现代简约装修，格局好，采光充足，四开间朝南，山景！,碧桂园大学印象 -宝华商圈,4室2厅 | 142.33平米 | 南 | 精装 | 中楼层(共17层)  | 暂无数据,0人关注 / 16天以前发布,119,"8,361元/平"
学府精装 高采光 南北通风 南向双卧室,中建大观天下北区 -学府路商圈,3室2厅 | 116.07平米 | 南 | 精装 | 高楼层(共32层)  | 板塔结合,1人关注 / 2个月以前发布,109.8,"9,460元/平"
格局好，楼层好，婚装装修，采光 充足，配套设施齐..,北固湾小区三区 -东吴商圈,3室2厅 | 124.39平米 | 南 | 精装 | 中楼层(共24层)  | 板楼,0人关注 / 2个月以前发布,248,"19,938元/平"
仙林悦城精装修全明边户，视野采光好，中下楼层，仙林,仙林悦城 -宝华商圈,4室2厅 | 115.45平米 | 北 南 | 精装 | 低楼层(共33层)  | 板塔结合,13人关注 / 一年前发布,93,"8,056元/平"
学林雅郡3-2-1-1 97.00m² 78,学林雅郡 -学府路商圈,3室2厅 | 97平米 | 南 | 简装 | 中楼层(共11层)  | 塔楼,6人关注 / 7个月以前发布,76.6,"7,897元/平"
毛坯三房 楼层户型好 房主诚售,宜嘉湖庭花园 -红豆购物广场商圈,3室2厅 | 109.05平米 | 南 | 毛坯 | 中楼层(共11层)  | 板塔结合,6人关注 / 11个月以前发布,80,"7,337元/平"
视野开阔，采光充足，配套设施相当完善，交通便利,凤凰家园凤翔苑 -南徐商圈,3室2厅 | 108.24平米 | 南 北 | 毛坯 | 低楼层(共17层)  | 板塔结合,2人关注 / 8个月以前发布,62,"5,729元/平"
【店长力荐】珑湖精装三房 如果不想花装修时间很合适,润城御珑湖 -南徐商圈,3室2厅 | 102平米 | 南 | 精装 | 中楼层(共16层)  | 板塔结合,0人关注 / 6天以前发布,118,"11,569元/平"
香江花城精装小高层 边户通透 保养好 有车位 全天采光,香江花城桃李苑 -红豆购物广场商圈,3室2厅 | 122.08平米 | 南 北 | 精装 | 中楼层(共18层)  | 板塔结合,1人关注 / 5个月以前发布,109.8,"8,995元/平"
楼层好视野广阔采光充足配套设施齐全交通便利,京东紫晶 -宝华商圈,4室2厅 | 104.02平米 | 西 | 精装 | 高楼层(共35层)  | 塔楼,4人关注 / 8个月以前发布,83,"7,980元/平"
一楼带前后院子，环境优美 交通便利 采光好 楼间距大,碧桂园大学印象峰景苑 -宝华商圈,4室2厅 | 122.14平米 | 南 北 | 精装 | 低楼层(共18层)  | 板楼,15人关注 / 6个月以前发布,118,"9,662元/平"
地理位置好，小区环境佳，配套齐全,恒大雅苑 -宝华商圈,2室1厅 | 88.88平米 | 南 | 精装 | 中楼层(共31层)  | 板楼,1人关注 / 2个月以前发布,77,"8,664元/平"
交通便利 生活方便 吃喝玩乐为一体,阳光城尚海茗苑 -象山街办,4室2厅 | 144平米 | 南 | 精装 | 低楼层(共9层)  | 暂无数据,1人关注 / 12天以前发布,179,"12,431元/平"
碧桂园凤凰城临湖苑 3室2厅 北 南 西,碧桂园凤凰城临湖苑 -碧桂园凤凰城,3室2厅 | 125.98平米 | 北 南 西 | 精装 | 高楼层(共33层)  | 塔楼,0人关注 / 3天以前发布,78,"6,192元/平"
采光通风格局好，楼层好，采光充足，视野好,仙林悦城 -宝华商圈,3室2厅 | 90.68平米 | 西南 | 精装 | 中楼层(共29层)  | 塔楼,37人关注 / 一年前发布,83,"9,154元/平"
采光充足 配套设施齐全 交通便利 成熟小区,御带河花园 -学府路商圈,3室2厅 | 127平米 | 南 北 | 精装 | 中楼层(共33层)  | 暂无数据,1人关注 / 14天以前发布,87,"6,851元/平"
此房楼层好，户型房正，采光佳，无遮挡 精装,万科中南翡翠江湾 -红豆购物广场商圈,4室2厅 | 125平米 | 南 | 精装 | 中楼层(共17层)  | 暂无数据,0人关注 / 10天以前发布,145,"11,600元/平"
通透，采光很好，保养很好，房东诚心出售！,阳光城尚海茗苑 -象山街办,4室2厅 | 143平米 | 南 | 精装 | 中楼层(共11层)  | 板楼,2人关注 / 一年前发布,175,"12,238元/平"
万科金域江湾 3室1厅 东南,万科金域江湾 -大港新区,3室1厅 | 96平米 | 东南 | 精装 | 中楼层(共12层)  | 塔楼,0人关注 / 7天以前发布,82,"8,542元/平"
绿竹苑 3室1厅 南 北,绿竹苑 -大市口商圈,3室1厅 | 144.1平米 | 南 北 | 其他 | 低楼层(共6层)  | 板塔结合,0人关注 / 6天以前发布,209,"14,504元/平"
小区地理位置好，环境好，绿化好，配套设施齐全,孔雀苑 -学府路商圈,4室2厅 | 116平米 | 南 | 简装 | 中楼层(共34层)  | 塔楼,0人关注 / 3天以前发布,95,"8,190元/平"
此房南北通透，满二无增值税，靠地铁口近，出行方便,碧桂园凤凰城柏丽湾 -碧桂园凤凰城,3室2厅 | 116.03平米 | 南 北 | 简装 | 低楼层(共32层)  | 塔楼,0人关注 / 10天以前发布,70,"6,033元/平"
配套设施齐全 交通便利 小区成熟,富兴国际半岛 -丁卯商圈,2室2厅 | 80平米 | 南 北 | 精装 | 低楼层(共33层)  | 板楼,0人关注 / 13天以前发布,68,"8,500元/平"
秀山美苑 2室1厅 南,秀山美苑 -官塘商圈,2室1厅 | 66平米 | 南 | 简装 | 低楼层(共7层)  | 板塔结合,1人关注 / 11天以前发布,40,"6,061元/平"
碧桂园凤凰城水蓝湾优质房源，采光无遮挡,碧桂园凤凰城水蓝湾 -碧桂园凤凰城,3室1厅 | 92平米 | 东南 | 简装 | 低楼层(共32层)  | 塔楼,1人关注 / 14天以前发布,56.5,"6,142元/平"
世纪城邦 小区环境好 适合居住,碧桂园世纪城邦 -句容,4室1厅 | 142平米 | 南 | 精装 | 中楼层(共17层)  | 板楼,0人关注 / 9天以前发布,85,"5,986元/平"
水蓝湾南北通透户型，中间楼层，交通便利，配套齐全,碧桂园凤凰城水蓝湾 -碧桂园凤凰城,3室2厅 | 125.45平米 | 南 北 | 简装 | 中楼层(共32层)  | 塔楼,0人关注 / 10天以前发布,72,"5,740元/平"
九华山庄 全新轻奢装修 拎包入住 工作调动诚意出售,九华山庄香榭苑 -南山商圈,3室2厅 | 91平米 | 南 北 | 精装 | 高楼层(共25层)  | 板楼,0人关注 / 9天以前发布,69.8,"7,671元/平"
碧桂园凤凰城地铁口精装修三房楼层好采光好满二无抵押,碧桂园凤凰城柏丽湾 -碧桂园凤凰城,3室1厅 | 90.41平米 | 南 | 精装 | 中楼层(共32层)  | 塔楼,1人关注 / 9天以前发布,59.8,"6,615元/平"
楼层好采光足，视野开阔，朝南 ，配套齐全，交通便利,濠锋星钻 -宝华商圈,2室2厅 | 82平米 | 南 | 精装 | 低楼层(共34层)  | 板塔结合,0人关注 / 8个月以前发布,62,"7,561元/平"
近地铁 苏州园林 布局归整 户型方正 采光佳,碧桂园凤凰城·凤仪苑 -碧桂园凤凰城,3室2厅 | 112.7平米 | 南 | 毛坯 | 中楼层(共30层)  | 塔楼,5人关注 / 1个月以前发布,61.5,"5,457元/平"
花园洋房，1+2楼复式，毛坯房室内空间大，采光充足,融恒紫晶香郡 -大港新区,4室2厅 | 163.94平米 | 南 | 毛坯 | 低楼层(共8层)  | 塔楼,9人关注 / 一年前发布,119,"7,259元/平"
此房户型方正，采光通风好，领包入住,首创·悦府 -丁卯商圈,3室2厅 | 94.17平米 | 东南 | 精装 | 中楼层(共22层)  | 板楼,18人关注 / 一年前发布,70,"7,434元/平"
碧桂园凤凰城柏丽湾 近交通精致三房,碧桂园凤凰城柏丽湾 -碧桂园凤凰城,3室2厅 | 115.77平米 | 南 | 精装 | 中楼层(共31层)  | 塔楼,1人关注 / 1个月以前发布,71.5,"6,177元/平"
小区自带菜场，生活方便，楼层好，采光足，户型方正。,京东紫晶 -宝华商圈,2室2厅 | 61.29平米 | 南 | 精装 | 低楼层(共35层)  | 板楼,0人关注 / 1个月以前发布,66,"10,769元/平"
毛胚景观洋房，南北通透  采光好，视野开阔 固定车位,上河御府 -青年广场商圈,3室2厅 | 134.17平米 | 南 北 | 毛坯 | 中楼层(共9层)  | 板楼,13人关注 / 一年前发布,170,"12,671元/平"
4室好楼层无遮挡楼下就是湖景，点进来看奈斯到飞起,云玺苑 -碧桂园凤凰城,4室2厅 | 192.81平米 | 东南 南 北 西北 | 精装 | 中楼层(共31层)  | 塔楼,12人关注 / 5个月以前发布,140,"7,262元/平"
碧桂园凤凰城 142平大四房 采光充足 楼层好 湖景房,碧桂园凤凰城芷兰湾 -碧桂园凤凰城,4室2厅 | 144.11平米 | 南 东南 | 精装 | 低楼层(共18层)  | 塔楼,10人关注 / 9个月以前发布,92,"6,385元/平"
南京仙林东宝华山旁碧桂园大学印象,碧桂园大学印象峰景苑 -宝华商圈,4室2厅 | 123.08平米 | 南 北 | 精装 | 高楼层(共13层)  | 板塔结合,8人关注 / 一年前发布,98,"7,963元/平"
优质好房源。网红户型，高楼层。,碧桂园凤凰城临湖苑 -碧桂园凤凰城,3室2厅 | 125.98平米 | 东南 | 精装 | 高楼层(共33层)  | 塔楼,2人关注 / 8个月以前发布,86,"6,827元/平"
精装两房，业主诚心急售价格好谈,招商国际E城 -宝华商圈,2室2厅 | 78.39平米 | 南 北 | 精装 | 低楼层(共34层)  | 塔楼,2人关注 / 2个月以前发布,80,"10,206元/平"
采光好，楼层好，绿化好，物业好。适合居住。,永隆城市广场 -丁卯商圈,3室2厅 | 106.55平米 | 南 北 | 精装 | 中楼层(共30层)  | 板塔结合,4人关注 / 一年前发布,100,"9,386元/平"
吾悦旁 纬五路美食街 实惠毛坯两房 楼层好无遮挡,钻石铭苑 -丁卯商圈,2室2厅 | 86.76平米 | 南 | 毛坯 | 高楼层(共18层)  | 板塔结合,4人关注 / 11个月以前发布,66,"7,608元/平"
急卖，南北通透，好视野，86万可谈,碧桂园凤凰城临湖苑 -碧桂园凤凰城,3室2厅 | 126平米 | 南 北 | 精装 | 高楼层(共33层)  | 塔楼,12人关注 / 4个月以前发布,72,"5,715元/平"
价格便宜 位置好 湖景房 大四房 业主诚心价格可谈,碧桂园凤凰城临湖苑 -碧桂园凤凰城,4室1厅 | 176.4平米 | 东 东南 | 精装 | 中楼层(共30层)  | 塔楼,0人关注 / 1个月以前发布,132,"7,483元/平"
有钥匙 价好谈 带地暖 电梯洋房 房东外地买房诚心卖,万科沁园二期 -南徐商圈,3室2厅 | 131.89平米 | 南 北 | 精装 | 高楼层(共9层)  | 板楼,29人关注 / 一年前发布,143,"10,843元/平"
恒大雅苑 精装两房朝南 新空房无人住过 阳台已封闭,恒大雅苑 -宝华商圈,2室2厅 | 88.88平米 | 南 | 精装 | 中楼层(共31层)  | 板楼,1人关注 / 1个月以前发布,77,"8,664元/平"
雅居乐三开间朝南 好楼层 小区比较新 近镇江南站,雅居乐涟山 -南徐商圈,3室2厅 | 130.55平米 | 南 | 精装 | 高楼层(共27层)  | 暂无数据,8人关注 / 11个月以前发布,105.8,"8,105元/平"
水蓝湾一线湖景 精装大平层 东边户好楼层,碧桂园凤凰城水蓝湾 -碧桂园凤凰城,4室2厅 | 274.32平米 | 南 | 简装 | 高楼层(共33层)  | 塔楼,4人关注 / 1个月以前发布,160,"5,833元/平"
地铁口的小区，采光充足，楼层好,碧桂园凤凰城柏丽湾 -碧桂园凤凰城,3室2厅 | 115.77平米 | 南 | 精装 | 中楼层(共31层)  | 塔楼,6人关注 / 7个月以前发布,70,"6,047元/平"
