标题,开发商,房子信息,发布信息,售价/万,单价
安德门商圈 银城物业 交通便利 楼层采光无遮挡,时光澔韵 -小行,3室2厅 | 113.54平米 | 南 北 | 简装 | 高楼层(共18层)  | 板楼,5人关注 / 2个月以前发布,420,"36,992元/平"
店长推荐：业主诚心出售，中间楼层，户型南北通透,金王府 -百家湖,2室1厅 | 76.01平米 | 南 北 | 精装 | 中楼层(共6层)  | 板楼,1人关注 / 6天以前发布,245,"32,233元/平"
满五唯一 全新家居  中间楼层 清幽如静 带租赁车位,江南青年城惠山苑 -将军大道,3室2厅 | 116.27平米 | 南 北 | 精装 | 中楼层(共6层)  | 板楼,69人关注 / 13天以前发布,232,"19,954元/平"
万裕龙庭水岸 3室1厅 南 北,万裕龙庭水岸 -江宁大学城,3室1厅 | 101.17平米 | 南 北 | 简装 | 低楼层(共20层)  | 板塔结合,1人关注 / 9天以前发布,216,"21,351元/平"
模范马路站  大三房 中间楼层随时看房,新金贸花园 -许府巷,3室2厅 | 98.95平米 | 南 北 | 简装 | 低楼层(共7层)  | 板楼,4人关注 / 11天以前发布,430,"43,457元/平"
近贤苑 玄武区 双南户型 电梯房 看房方便 价格可谈,兴贤佳园近贤苑 -月苑,2室1厅 | 68.49平米 | 南 | 精装 | 中楼层(共11层)  | 板楼,0人关注 / 8天以前发布,150,"21,902元/平"
西苑 精装3房 楼层好 诚心出售 有储藏室,西苑 -东山镇,3室2厅 | 90平米 | 南 北 | 精装 | 低楼层(共6层)  | 板楼,0人关注 / 14天以前发布,195,"21,667元/平"
2020年婚房装修 业主换房诚心卖 中间楼层边户不临街,凤凰西街188号 -凤凰西街,2室1厅 | 60.87平米 | 南 西 北 | 精装 | 中楼层(共7层)  | 板楼,1人关注 / 7天以前发布,248,"40,743元/平"
低总价 满5唯一 格局好视野阳光好南北通透，交通便利,双乐园小区 -来凤里,2室1厅 | 50.35平米 | 南 北 | 简装 | 高楼层(共7层)  | 板楼,0人关注 / 3天以前发布,139,"27,607元/平"
江心洲地铁口仁恒精装四房 新空看房方便 小区位置好,仁恒绿洲新岛水木园 -江心洲,4室2厅 | 138.63平米 | 南 北 | 精装 | 高楼层(共26层)  | 板塔结合,1人关注 / 8天以前发布,680,"49,052元/平"
康盛花园中间楼层三房边户诚心出售,康盛花园 -宁南,3室1厅 | 80.43平米 | 南 北 | 简装 | 中楼层(共6层)  | 板楼,3人关注 / 8天以前发布,345,"42,895元/平"
诚心卖房 精装3室 可拎包入住 小区中间位置,爱涛尚书云邸 -东山镇,3室2厅 | 109.24平米 | 南 | 精装 | 低楼层(共18层)  | 板塔结合,0人关注 / 6天以前发布,305,"27,921元/平"
明发滨江新城三期 3房2卫 满5唯1 近地铁 诚心出售,明发滨江新城大三期 -桥北,3室2厅 | 115.2平米 | 南 | 精装 | 低楼层(共33层)  | 塔楼,2人关注 / 7天以前发布,227,"19,705元/平"
大中桥 小区中间 西边户 三室二厅 业主诚心出售,东城水岸 -建康路,3室2厅 | 107.1平米 | 南 北 | 其他 | 低楼层(共16层)  | 板楼,1人关注 / 7天以前发布,517,"48,273元/平"
S6号地铁站  中间楼层  采光通风好  急卖急卖,东郊小镇第二街区 -麒麟镇,3室2厅 | 103.09平米 | 南 北 | 精装 | 中楼层(共6层)  | 板塔结合,0人关注 / 7天以前发布,159,"15,424元/平"
有大院子精装五百万银城物业环境好,莱蒙水榭春天 -奥体,10室2厅 | 258.81平米 | 南 北 | 精装 | 低楼层(共32层)  | 板楼,3人关注 / 19天以前发布,1450,"56,026元/平"
新街口 张府园 朝天宫 金鼎湾花园 顶跃 钥匙房 满五年,金鼎湾花园 -升州路,5室2厅 | 214.48平米 | 南 | 其他 | 高楼层(共11层)  | 板楼,1人关注 / 21天以前发布,1078,"50,262元/平"
精装修 150平大露台 四房三卫 拎包入住,威尼斯水城第十街区 -桥北,4室2厅 | 88.27平米 | 南 | 精装 | 中楼层(共6层)  | 板楼,6人关注 / 19天以前发布,238,"26,963元/平"
玄武湖畔紫金山脚下 东方城华侨新村别墅 采光好地铁站,华侨新村紫薇苑 -樱驼花园,3室3厅 | 184.07平米 | 南 北 | 精装 | 2层  | 板塔结合 | 联排别墅 ,13人关注 / 15天以前发布,688,"37,378元/平"
禹洲弘阳滨湖里 3室1厅 东,禹洲弘阳滨湖里 -江宁滨江,3室1厅 | 89.43平米 | 东 | 简装 | 低楼层(共26层)  | 板楼,1人关注 / 22天以前发布,120,"13,419元/平"
优质小区 配套完善 精装修 通透大三房 诚心出售,旭日华庭 -桥北,3室2厅 | 133.27平米 | 南 | 精装 | 低楼层(共11层)  | 板楼,5人关注 / 25天以前发布,255,"19,135元/平"
户型好，三开间朝南，精装自住的 业主诚心出售 大横厅,世茂梦享家 -江宁大学城,4室2厅 | 109.74平米 | 南 北 | 精装 | 中楼层(共11层)  | 板楼,5人关注 / 30天以前发布,308,"28,067元/平"
雅居乐花园 物业好 人车分流 双地铁中间 诚心出售,雅居乐花园 -秦虹,3室1厅 | 72.87平米 | 北 | 简装 | 中楼层(共11层)  | 板塔结合,8人关注 / 22天以前发布,255,"34,994元/平"
此房满五唯一，两北一南西边户，全明户型，有电梯,汇贤居 -龙江,3室2厅 | 115.48平米 | 南 | 简装 | 中楼层(共11层)  | 板楼,3人关注 / 24天以前发布,609,"52,737元/平"
采光视野好 一层两户 家装 户型方正 南北通透,天润城第五街区 -桥北,2室2厅 | 86.72平米 | 南 北 | 简装 | 高楼层(共6层)  | 板楼,3人关注 / 29天以前发布,129,"14,876元/平"
新街口 丰富路 独门独院 婚装 满五唯一,丰富路 -新街口,2室1厅 | 52.35平米 | 南 北 | 精装 | 高楼层(共7层)  | 板楼,7人关注 / 17天以前发布,161,"30,755元/平"
价优满五年唯一 双南户型楼层好采光无挡生活交通便利,长营村 -迈皋桥,2室1厅 | 59.65平米 | 南 | 简装 | 中楼层(共7层)  | 板塔结合,1人关注 / 17天以前发布,140,"23,471元/平"
上秦淮 银城物业 精装三房 次新小区 满二,银城旭辉云台天境 -上秦淮,3室1厅 | 89.02平米 | 南 北 | 精装 | 中楼层(共18层)  | 板楼,2人关注 / 27天以前发布,299,"33,588元/平"
满两年税费低，高楼层，采光全天无遮挡，五矿升级装修,五矿崇文金城 -奥南,3室2厅 | 92.36平米 | 南 北 | 精装 | 中楼层(共33层)  | 板楼,6人关注 / 22天以前发布,495,"53,595元/平"
朗诗三恒 一线江景 户型采光好 看房方便 诚心出售,金象朗诗红树林 -桥北,3室1厅 | 118.31平米 | 南 | 精装 | 低楼层(共33层)  | 板塔结合,0人关注 / 19天以前发布,366,"30,936元/平"
老山脚下花园洋房精装修三房，不临街中高楼层，带墙暖,金地浅山艺境 -顶山街道,3室1厅 | 87.93平米 | 南 | 精装 | 高楼层(共6层)  | 板楼,6人关注 / 25天以前发布,265,"30,138元/平"
物业环境好品质高，地铁好盘户型通透，前面无遮挡,翠屏诚园 -上秦淮,3室2厅 | 95.52平米 | 南 北 | 精装 | 低楼层(共15层)  | 板楼,2人关注 / 22天以前发布,299,"31,303元/平"
好楼层三房 多一个阳台 适合改善家庭 换房诚心卖,樱驼花园永康园 -樱驼花园,3室1厅 | 70.79平米 | 西 | 精装 | 低楼层(共6层)  | 板楼,0人关注 / 15天以前发布,194,"27,406元/平"
业主急卖，全新婚装房一天没住过，设施基本齐全拎包住,文荟福邸 -麒麟镇,3室1厅 | 118.3平米 | 南 北 | 精装 | 中楼层(共7层)  | 板楼,1人关注 / 11天以前发布,169.8,"14,354元/平"
此房满五年，通透户型。小区中间位置，安静整洁。,御水湾花园 -光华路,2室2厅 | 93.3平米 | 南 北 | 其他 | 中楼层(共6层)  | 板塔结合,1人关注 / 14天以前发布,385,"41,265元/平"
善水湾花园  S3贾西地铁站 雨核  精装小三房 中高层,善水湾花园 -铁心桥,3室2厅 | 90.93平米 | 南 | 精装 | 中楼层(共18层)  | 板楼,33人关注 / 14天以前发布,320,"35,192元/平"
秦虹小区 中楼层 低总价 采光好 诚心卖 价格可谈,文安里小区北区 -秦虹,2室1厅 | 47.59平米 | 南 | 简装 | 高楼层(共6层)  | 板楼,0人关注 / 8天以前发布,126,"26,477元/平"
新上 市政天元城 改善四房 满五年唯一 有储藏室和车位,市政天元城 -东山镇,4室2厅 | 155.16平米 | 南 北 | 其他 | 低楼层(共6层)  | 板塔结合,0人关注 / 11天以前发布,399,"25,716元/平"
一号线胜太路站 交通便利 配套成熟 自住精装修拎包住,同曦国际广场 -百家湖,2室2厅 | 102.86平米 | 南 | 精装 | 低楼层(共28层)  | 板楼,7人关注 / 14天以前发布,289,"28,097元/平"
满五唯一，简单装修，实际适用面积大，有大院子,花园路 -锁金村,2室1厅 | 68.91平米 | 南 | 简装 | 低楼层(共6层)  | 板塔结合,0人关注 / 8天以前发布,218,"31,636元/平"
奥南低总价规整三房，户型方正，高楼层，全天采光佳,招商雍和府 -奥南,3室2厅 | 88.99平米 | 东南 南 | 精装 | 高楼层(共32层)  | 板楼,9人关注 / 10天以前发布,430,"48,321元/平"
河西南  S2S3地铁  南奥新居户型 通透  急售,南奥新居 -板桥,2室2厅 | 90.4平米 | 南 | 简装 | 中楼层(共18层)  | 板塔结合,1人关注 / 13天以前发布,132,"14,602元/平"
电梯房 满五年 中间楼层 视野好 业主诚售,南湖春晓嘉怡苑 -南苑,2室2厅 | 101.79平米 | 南 | 简装 | 中楼层(共17层)  | 板塔结合,0人关注 / 10天以前发布,359,"35,269元/平"
方山熙园大两房 非一楼 看房有钥匙 纯毛坯 价格可谈,方山熙园 -江宁大学城,2室1厅 | 82.43平米 | 南 北 | 毛坯 | 低楼层(共6层)  | 板楼,0人关注 / 7天以前发布,159,"19,290元/平"
中间楼层 全明户型 四房两卫 房龄新有钥匙 价格可谈,花园路 -锁金村,4室2厅 | 116.86平米 | 南 | 简装 | 中楼层(共6层)  | 板塔结合,4人关注 / 15天以前发布,300,"25,672元/平"
青石村 04年房龄 三开间朝南 架空一楼 带地下室有车位,青石村 -许府巷,3室2厅 | 118.04平米 | 南 北 | 简装 | 低楼层(共5层)  | 板塔结合,0人关注 / 9天以前发布,478,"40,495元/平"
五塘商圈 五塘新村 次顶楼 满五 独立小区 有钥匙,五塘新村二段 -五塘广场,2室1厅 | 47.63平米 | 南 北 | 简装 | 高楼层(共6层)  | 板楼,0人关注 / 5天以前发布,115,"24,145元/平"
紫金山下 双地铁 南北通透 小区环境优美,钟山晶典苑 -马群,3室2厅 | 127.56平米 | 南 北 | 精装 | 低楼层(共16层)  | 板塔结合,101人关注 / 10天以前发布,352,"27,595元/平"
满两年，小区直达地铁，看房必陪看,翠屏诚园 -上秦淮,3室1厅 | 85.46平米 | 南 北 | 其他 | 低楼层(共32层)  | 板塔结合,18人关注 / 9天以前发布,245,"28,669元/平"
满两年，户型方正，采光好，隧道口，业主诚心卖,正荣润江城 -顶山街道,3室2厅 | 88.19平米 | 南 | 其他 | 低楼层(共33层)  | 板塔结合,1人关注 / 8天以前发布,320,"36,286元/平"
中间楼层精装修，通风好，花园式小区，看房有钥匙,弘阳旭日上城二区 -桥北,3室2厅 | 129.77平米 | 南 | 精装 | 低楼层(共34层)  | 板楼,0人关注 / 16天以前发布,279,"21,500元/平"
满两年 二次精装修 拎包入住 楼层好 采光充足 位置好,中航樾公馆 -东山镇,3室2厅 | 87.95平米 | 南 | 精装 | 中楼层(共35层)  | 塔楼,0人关注 / 13天以前发布,230,"26,152元/平"
海峡城经典三房 业主急售 低楼层 视野好 满2年,海峡城云玺湾 -奥南,3室1厅 | 114.04平米 | 南 北 | 精装 | 低楼层(共27层)  | 板塔结合,3人关注 / 9天以前发布,555,"48,668元/平"
满两年 高楼层 景观房 诚心出售 随时看房,正荣润锦城 -顶山街道,3室2厅 | 85.19平米 | 南 | 简装 | 高楼层(共33层)  | 板楼,2人关注 / 12天以前发布,297,"34,864元/平"
奥体南 金水花园 双地铁口高性比价三房采光好,金穗花园 -奥南,3室1厅 | 90.95平米 | 南 北 | 其他 | 低楼层(共28层)  | 板塔结合,0人关注 / 7天以前发布,230,"25,289元/平"
锦澜府 毛坯三房 户型方正 凤凰层,锦澜府 -泰山街道,3室2厅 | 102.54平米 | 南 | 其他 | 中楼层(共15层)  | 板楼,0人关注 / 12天以前发布,202,"19,700元/平"
老山下万科精装修洋房 带电梯露台 视眼开阔。,万科璞悦山 -江浦街道,3室2厅 | 101.96平米 | 南 北 | 其他 | 高楼层(共6层)  | 板楼,4人关注 / 12天以前发布,232,"22,755元/平"
摄山星城 听竹苑 居家装修三房  采光好 通透 两证全,摄山星城听竹苑 -栖霞其它,3室2厅 | 85.32平米 | 南 | 精装 | 高楼层(共6层)  | 板塔结合,0人关注 / 8天以前发布,113,"13,245元/平"
百家湖金鹰景峰旁 诚基名苑70年住宅 上下两层 随时看,诚基名苑 -百家湖,2室1厅 | 50.44平米 | 南 | 其他 | 中楼层(共12层)  | 塔楼,2人关注 / 12天以前发布,150,"29,739元/平"
双南三房 毛坯次新房 电梯中间层,翠屏城 -禄口,3室2厅 | 93.61平米 | 南 北 | 其他 | 高楼层(共26层)  | 板塔结合,0人关注 / 5天以前发布,88,"9,401元/平"
满2年，格局通透，设施配套齐全，交通方便,威尼斯水城第十六街区 -桥北,3室2厅 | 112.51平米 | 东 南 北 | 毛坯 | 中楼层(共33层)  | 塔楼,2人关注 / 12天以前发布,189,"16,799元/平"
方山熙园正规大三房，中间楼层带大露台，改善好房,方山熙园 -江宁大学城,3室2厅 | 142.85平米 | 南 | 其他 | 中楼层(共5层)  | 板楼,0人关注 / 14天以前发布,255,"17,851元/平"
燕子矶新城  2018年次新 小高层电梯房 6号线地铁口,电建洺悦府 -万寿,3室1厅 | 88.23平米 | 西南 | 毛坯 | 低楼层(共9层)  | 板楼,3人关注 / 8天以前发布,229,"25,955元/平"
新模范马路地铁 芦席营 精装修 三房 中间楼层,芦席营 -湖南路,3室1厅 | 74.38平米 | 南 北 | 其他 | 中楼层(共5层)  | 板塔结合,0人关注 / 15天以前发布,303,"40,737元/平"
月牙湖 南北通透 地铁五号线石门坎 电梯房 诚心出售,大地豪庭 -月牙湖,2室1厅 | 93.36平米 | 南 北 | 精装 | 低楼层(共11层)  | 板塔结合,2人关注 / 5天以前发布,348,"37,276元/平"
此房满五唯一，户型通透，采光刺眼，视野开阔,东郊小镇第二街区 -麒麟镇,3室2厅 | 103.44平米 | 南 | 其他 | 中楼层(共6层)  | 板塔结合,2人关注 / 8天以前发布,159.9,"15,459元/平"
急售 精装修 拎包入住 随时可以看房,锦绣花园 -麒麟镇,4室2厅 | 153.05平米 | 南 | 精装 | 高楼层(共6层)  | 板楼,10人关注 / 一年前发布,215,"14,048元/平"
万科物业 架空一楼 有地下车位 满五年 地铁口 急卖,颐和美地 -百家湖,5室2厅 | 191.4平米 | 南 北 | 简装 | 低楼层(共1层)  | 板楼,6人关注 / 2个月以前发布,526,"27,482元/平"
招商雍华府 河西中部 精装四房，满五年唯一,招商雍华府 -应天西路,4室2厅 | 142.48平米 | 南 北 | 其他 | 高楼层(共31层)  | 塔楼,17人关注 / 2个月以前发布,770,"54,043元/平"
业主诚心出售，装修好 小区位置好,华汇康城 -麒麟镇,5室1厅 | 188.99平米 | 南 | 精装 | 高楼层(共6层)  | 板塔结合,6人关注 / 2个月以前发布,238,"12,594元/平"
品质小区  有大阁楼  有露台  有钥匙随时看,上海明珠花园 -东山镇,5室3厅 | 131.08平米 | 南 北 | 简装 | 高楼层(共6层)  | 板塔结合,11人关注 / 7个月以前发布,339,"25,863元/平"
精装修 满两年 绿化高 视野好无遮挡,高科荣境二期 -仙林,4室2厅 | 178.53平米 | 南 | 精装 | 高楼层(共11层)  | 板楼,115人关注 / 10个月以前发布,760,"42,570元/平"
鼓楼滨江 秦淮河畔 中海桃源里低密度小高层,中海桃源里 -热河南路,4室2厅 | 157.21平米 | 南 北 | 毛坯 | 高楼层(共15层)  | 板楼,82人关注 / 7个月以前发布,930,"59,157元/平"
紫金山脚下 玄武湖畔 地铁口 中间楼层 业主诚售,紫鑫城 -锁金村,3室2厅 | 92.27平米 | 南 北 | 简装 | 低楼层(共7层)  | 板楼,0人关注 / 6天以前发布,268,"29,046元/平"
诚心出售 采光好  诚心出售 新百花园 三房 边户,新百花园 -应天西路,3室1厅 | 93.12平米 | 南 北 | 其他 | 中楼层(共7层)  | 板楼,3人关注 / 6天以前发布,358,"38,446元/平"
次新房，好楼层，不限售，交通方便,北外滩水城第十九街区 -桥北,3室2厅 | 113.97平米 | 东 南 | 精装 | 中楼层(共34层)  | 板塔结合,0人关注 / 8天以前发布,220,"19,304元/平"
南部新城 电梯  精装修 拎包入住 视野宽阔 采光无遮挡,怡馨花园 -秦虹,3室1厅 | 100.33平米 | 南 | 精装 | 高楼层(共11层)  | 板楼,4人关注 / 8天以前发布,410,"40,866元/平"
一梯两户楼层好装修新正规三房方正交通便利小区环境好,浦泰和天下三期 -桥北,3室2厅 | 98.21平米 | 南 | 精装 | 中楼层(共11层)  | 板塔结合,0人关注 / 7天以前发布,206,"20,976元/平"
仙林湖畔 金中金小 万科金色领域 精装修 楼层佳采光好,万科金色领域 -仙林,3室2厅 | 89.18平米 | 南 北 | 精装 | 高楼层(共18层)  | 板楼,0人关注 / 6天以前发布,305,"34,201元/平"
莲花嘉园 满五唯一 精装拎包入住 不靠绕城 楼栋位置好,莲花嘉园 -油坊桥,3室1厅 | 88.41平米 | 南 | 精装 | 低楼层(共34层)  | 板楼,0人关注 / 4天以前发布,205,"23,188元/平"
人车分流 双地铁中间 产权清晰 性比价*高的一套房子,雅居乐花园 -秦虹,3室1厅 | 73.31平米 | 北 | 简装 | 低楼层(共11层)  | 板塔结合,16人关注 / 15天以前发布,240,"32,738元/平"
商品房70年产权满五唯一刚需好房 一号线沿线 晓庄站,大地伊丽雅特湾 -晓庄,1室1厅 | 50.64平米 | 西 | 简装 | 中楼层(共10层)  | 板塔结合,5人关注 / 8天以前发布,108,"21,328元/平"
江北正核 双地铁口 低总价大三房 业主诚售 随时可看,华润国际社区 -顶山街道,3室2厅 | 108.62平米 | 南 | 毛坯 | 低楼层(共30层)  | 板塔结合,5人关注 / 10天以前发布,365,"33,604元/平"
绿地悦峰公馆楼层好采光无遮挡双阳台近地铁,绿地新里悦峰公馆 -高新区,2室2厅 | 69.55平米 | 南 | 简装 | 高楼层(共18层)  | 板楼,1人关注 / 15天以前发布,157,"22,574元/平"
和燕园一楼带院子低总价地铁口随时看房,和燕园 -小市,2室1厅 | 62.57平米 | 南 | 简装 | 低楼层(共7层)  | 板楼,4人关注 / 11天以前发布,169,"27,010元/平"
新街口夫子庙三山街万象天地楼层好采光无遮挡急售,金粟庵路 -来凤里,1室1厅 | 39.21平米 | 西南 | 毛坯 | 中楼层(共8层)  | 板楼,1人关注 / 11天以前发布,111.5,"28,437元/平"
急售金地二期 S2地铁小户型 精装拎包入住 低总价 力学,金地自在城第二街区 -板桥,2室1厅 | 63.34平米 | 南 | 精装 | 低楼层(共33层)  | 板楼,2人关注 / 8天以前发布,109,"17,209元/平"
全明户型 采光好 拎包入住 价格可谈,三条巷(鼓楼) -湖南路,2室1厅 | 53.03平米 | 南 | 精装 | 6层  | 板楼,1人关注 / 11天以前发布,188,"35,452元/平"
精装修跃层，满五唯一，诚心出售，拎包入住，南北通透,杏林北苑 -桥北,6室2厅 | 155.95平米 | 南 北 | 其他 | 高楼层(共11层)  | 板楼,0人关注 / 1个月以前发布,360,"23,085元/平"
连家店 业主诚心 看房随时 价格可议 很适合陪读,育才公寓东片 -凤凰西街,5室2厅 | 84.4平米 | 南 | 毛坯 | 低楼层(共6层)  | 板楼,6人关注 / 一年前发布,560,"66,351元/平"
地铁口，龙湖天街旁，小区中间位置，精装修，三室两厅,中海万锦熙岸一期 -江浦街道,3室1厅 | 108.55平米 | 南 | 精装 | 高楼层(共21层)  | 板楼,3人关注 / 17天以前发布,262,"24,137元/平"
随时可以看房，通透采光好，王炸户型，业主诚售,金轮第一居 -东山镇,4室1厅 | 143平米 | 南 北 | 精装 | 中楼层(共5层)  | 板楼,0人关注 / 10天以前发布,357,"24,966元/平"
中楼层 纯边户 业主自住 看房方便,华庭南园 -青龙山国际新城,3室1厅 | 93.31平米 | 南 | 简装 | 中楼层(共18层)  | 板塔结合,1人关注 / 11天以前发布,172,"18,434元/平"
江北新区 自贸区 双地铁 隧道口 交通方便 配套齐全,毅达中心 -江浦街道,1室1厅 | 35.7平米 | 南 | 精装 | 中楼层(共20层)  | 板楼,0人关注 / 13天以前发布,63,"17,648元/平"
电梯房 挑高客厅 南北通透 有车位 附带阁楼阳台,御水湾花园 -光华路,4室2厅 | 85.21平米 | 南 北 | 精装 | 高楼层(共10层)  | 塔楼,11人关注 / 13天以前发布,378,"44,361元/平"
西苑3房 楼层好 朝南15平大储藏室 有车位 采光好,西苑 -东山镇,3室1厅 | 88.44平米 | 南 北 | 简装 | 中楼层(共6层)  | 板楼,1人关注 / 8天以前发布,185,"20,919元/平"
明发二期精装修板房B户型有暖气，满五唯一，采光好,明发滨江新城二期 -桥北,3室1厅 | 131.38平米 | 南 | 精装 | 中楼层(共11层)  | 板塔结合,2人关注 / 15天以前发布,315,"23,977元/平"
龙凤新出三开间朝南 满五年 不临街 中间层 诚售,龙凤花园腾龙里 -龙江,3室2厅 | 119.65平米 | 南 | 精装 | 中楼层(共7层)  | 板楼,3人关注 / 9天以前发布,536,"44,798元/平"
新上飞机户型，南北通透三居室，为数不多的好户型！,中电颐和家园一期 -红山,3室2厅 | 94.43平米 | 南 北 | 简装 | 中楼层(共11层)  | 塔楼,2人关注 / 11天以前发布,338,"35,794元/平"
万科物业 精装3房 金陵华兴 纯边户 看房方便,和昌湾景 -板桥,3室1厅 | 87.28平米 | 南 | 精装 | 低楼层(共34层)  | 板楼,1人关注 / 13天以前发布,206,"23,603元/平"
新精装修  税费少 价格可谈 看房方便,天润城第三街区 -桥北,3室2厅 | 109.09平米 | 南 | 精装 | 中楼层(共11层)  | 板楼,0人关注 / 14天以前发布,236,"21,634元/平"
和燕园南北通透地铁口1998年房龄,和燕园 -小市,2室1厅 | 67.89平米 | 南 北 | 简装 | 中楼层(共7层)  | 板楼,2人关注 / 6天以前发布,169,"24,894元/平"
保利罗兰春天3房精装楼层好 边户 采光绝好 通透性佳,保利罗兰春天 -仙林,3室2厅 | 93.48平米 | 南 | 精装 | 中楼层(共27层)  | 板塔结合,2人关注 / 13天以前发布,338,"36,158元/平"
地铁口 中间楼层采光好 自住装修 诚售,天景山公寓碧华苑 -东山镇,3室1厅 | 91.87平米 | 南 | 精装 | 中楼层(共6层)  | 板楼,0人关注 / 10天以前发布,190,"20,682元/平"
户型全明 满五年唯一，中高楼层，交通便利，诚心急售,银河湾福苑 -万达广场,3室1厅 | 99.1平米 | 南 北 | 精装 | 中楼层(共11层)  | 板楼,1人关注 / 10天以前发布,538.8,"54,370元/平"
鼓楼北京西路云南路一楼40平大院看房方便,鼓楼四条巷 -湖南路,2室1厅 | 53.69平米 | 南 北 | 简装 | 低楼层(共4层)  | 板楼,1人关注 / 4天以前发布,237,"44,143元/平"
桥北新街口   交通方便  房主急售  出门地铁口,旭日华庭金棕榈北区 -桥北,3室2厅 | 128.62平米 | 南 北 | 精装 | 中楼层(共28层)  | 塔楼,1人关注 / 15天以前发布,262,"20,371元/平"
满五唯一 南北通通 中楼层 采光好 看房方便,裴家桥小区 -湖南路,2室1厅 | 46.2平米 | 南 | 精装 | 中楼层(共7层)  | 板楼,0人关注 / 5天以前发布,160,"34,633元/平"
