标题,开发商,房子信息,发布信息,售价/万,单价
御璟城市花园 3室2厅 南 北,御璟城市花园 -榆次区,3室2厅 | 120平米 | 南 北 | 精装 | 中楼层(共33层)  | 板塔结合,0人关注 / 10天以前发布,100,"8,334元/平"
万科洋房中间楼层小高层 大红本可贷款电梯房繁华地段,万科朗润园三期 -榆次区,2室2厅 | 91.9平米 | 南 北 | 其他 | 中楼层(共10层)  | 塔楼,2人关注 / 4个月以前发布,74,"8,053元/平"
万科朗润园三期 2室2厅 南 北,万科朗润园三期 -榆次区,2室2厅 | 92平米 | 南 北 | 精装 | 中楼层(共10层)  | 塔楼,0人关注 / 7天以前发布,76,"8,261元/平"
南苑新区 2室1厅 南 北,南苑新区 -榆次区,2室1厅 | 90.82平米 | 南 北 | 简装 | 高楼层(共6层)  | 暂无数据,0人关注 / 8天以前发布,35,"3,854元/平"
华都·公园里 3室2厅 南,华都·公园里 -榆次区,3室2厅 | 170.07平米 | 南 | 精装 | 高楼层(共18层)  | 板楼,1人关注 / 1个月以前发布,125,"7,350元/平"
金色豪庭 3室2厅 南 北,金色豪庭 -榆次区,3室2厅 | 137.55平米 | 南 北 | 精装 | 低楼层(共33层)  | 板楼,1人关注 / 1个月以前发布,100,"7,271元/平"
东大街康居佳园 两居精装好楼层 大红本满五,康居佳园 -榆次区,2室2厅 | 95平米 | 南 北 | 精装 | 低楼层(共6层)  | 暂无数据,0人关注 / 1个月以前发布,63,"6,632元/平"
泰亨华庭 观景好楼层无遮挡 精装两卧朝阳 大红本满二,泰亨华庭 -榆次区,2室2厅 | 86.8平米 | 南 北 | 精装 | 高楼层(共15层)  | 暂无数据,0人关注 / 1个月以前发布,59,"6,798元/平"
清华金元德国小镇 2室2厅 南 北,清华金元德国小镇 -榆次区,2室2厅 | 106.97平米 | 南 北 | 其他 | 高楼层(共6层)  | 板楼,0人关注 / 一年前发布,70,"6,544元/平"
华都·公园里 3室2厅 南 北,华都·公园里 -榆次区,3室2厅 | 171.37平米 | 南 北 | 其他 | 中楼层(共26层)  | 板楼,0人关注 / 一年前发布,132,"7,703元/平"
山大附 龙湖大街 精装复式 万达奥莱 保利城 拎包入住,兰田传奇 -榆次区,3室1厅 | 110平米 | 南 北 | 精装 | 中楼层(共16层)  | 塔楼,7人关注 / 5个月以前发布,68,"6,182元/平"
带40平小园子10平地下室 可做商铺 玉湖公园 逸夫旁,书林世家 -榆次区,3室2厅 | 118.08平米 | 南 北 | 其他 | 低楼层(共6层)  | 板楼,1人关注 / 5个月以前发布,105,"8,893元/平"
欧风丽景园 3室1厅 南 北,欧风丽景园 -榆次区,3室1厅 | 140平米 | 南 北 | 其他 | 高楼层(共19层)  | 板楼,0人关注 / 11天以前发布,92,"6,572元/平"
上东庭院 2室2厅 南 北,上东庭院 -榆次区,2室2厅 | 114平米 | 南 北 | 毛坯 | 低楼层(共9层)  | 板楼,0人关注 / 1个月以前发布,65,"5,702元/平"
兰田传奇保利城 独体独户 4米挑高 随时看房 精致装修,泰悦御庭 -榆次区,3室2厅 | 106平米 | 南 | 精装 | 低楼层(共26层)  | 板楼,0人关注 / 1个月以前发布,81,"7,642元/平"
晋中碧桂园 3室2厅 南,晋中碧桂园 -榆次区,3室2厅 | 135平米 | 南 | 精装 | 中楼层(共31层)  | 板楼,1人关注 / 1个月以前发布,115,"8,519元/平"
毛坯电梯三居室 伊甸城 大学城旁 首创南北通透,首创国际学园三期 -榆次区,3室2厅 | 121.85平米 | 南 北 | 毛坯 | 中楼层(共32层)  | 暂无数据,0人关注 / 一年前发布,86,"7,058元/平"
红星天铂 3室2厅 南 北,红星天铂 -榆次区,3室2厅 | 134平米 | 南 北 | 其他 | 中楼层(共29层)  | 板楼,0人关注 / 10天以前发布,95,"7,090元/平"
寿安里壹中蕴华街蕴祥小区精装地暖房大红本可贷款,蕴祥小區 -榆次区,3室2厅 | 138.27平米 | 南 北 | 精装 | 高楼层(共6层)  | 板楼,1人关注 / 10个月以前发布,95,"6,871元/平"
凤凰城安宁街 3室2厅 东 南 北,凤凰城安宁街 -榆次区,3室2厅 | 130平米 | 东 南 北 | 简装 | 低楼层(共30层)  | 暂无数据,0人关注 / 8个月以前发布,78,"6,000元/平"
中间楼层 三卧朝阳  采光充足 配套齐全,晋华苑西小区 -榆次区,3室2厅 | 107平米 | 南 北 | 毛坯 | 高楼层(共6层)  | 板楼,5人关注 / 一年前发布,76,"7,103元/平"
和平壹号三居两卫 观景楼层 电梯房 大红本,和平壹号 -榆次区,3室2厅 | 143.3平米 | 南 北 | 毛坯 | 高楼层(共33层)  | 板楼,0人关注 / 6个月以前发布,99,"6,909元/平"
南北通透格局好价格低大红本在手可贷款,田森嘉园C区 -榆次区,3室2厅 | 122平米 | 南 北 | 简装 | 高楼层(共6层)  | 暂无数据,18人关注 / 一年前发布,77,"6,312元/平"
文锦苑 4室2厅 南,文锦苑 -榆次区,4室2厅 | 168.66平米 | 南 | 精装 | 中楼层(共25层)  | 暂无数据,2人关注 / 10个月以前发布,155,"9,191元/平"
安宁街上 田森旁边  无遮挡采光好；视野广阔,田森嘉园B区 -榆次区,2室2厅 | 91平米 | 南 北 | 简装 | 中楼层(共16层)  | 暂无数据,0人关注 / 一年前发布,79,"8,682元/平"
九普小区 2室2厅 南 北,九普小区 -榆次区,2室2厅 | 79平米 | 南 北 | 简装 | 高楼层(共5层)  | 暂无数据,0人关注 / 8个月以前发布,58,"7,342元/平"
潇河湾小区3居简装中间楼层大红本 交通方便带8㎡地下,潇河湾 -榆次区,3室2厅 | 113平米 | 南 北 | 简装 | 中楼层(共6层)  | 暂无数据,0人关注 / 8个月以前发布,85,"7,523元/平"
北部新城   紧挨大学城  大红本可按揭,云泰心绿城 -榆次区,3室2厅 | 125平米 | 南 北 | 精装 | 高楼层(共19层)  | 板楼,12人关注 / 一年前发布,87,"6,960元/平"
田森嘉园B区 2室2厅 南,田森嘉园B区 -榆次区,2室2厅 | 105.37平米 | 南 | 其他 | 低楼层(共16层)  | 板楼,1人关注 / 一年前发布,85,"8,067元/平"
晋中碧桂园 3室2厅 南 北,晋中碧桂园 -榆次区,3室2厅 | 133.25平米 | 南 北 | 简装 | 高楼层(共32层)  | 板楼,1人关注 / 5个月以前发布,110,"8,256元/平"
山西现代双语旁晋福佳园  大红本可按揭,晋福佳园 -榆次区,3室2厅 | 108平米 | 南 北 | 精装 | 高楼层(共6层)  | 暂无数据,7人关注 / 一年前发布,96,"8,889元/平"
经纬七区   两卧朝阳 南北通透  采光充足,经纬七区 -榆次区,2室1厅 | 63平米 | 南 北 | 简装 | 中楼层(共5层)  | 暂无数据,3人关注 / 8个月以前发布,35,"5,556元/平"
红星天铂二期 3室2厅 南 北,红星天铂二期 -榆次区,3室2厅 | 132平米 | 南 北 | 毛坯 | 中楼层(共30层)  | 暂无数据,1人关注 / 3个月以前发布,91.8,"6,955元/平"
天星锦苑 2室2厅 南,天星锦苑 -榆次区,2室2厅 | 106平米 | 南 | 精装 | 中楼层(共17层)  | 板楼,1人关注 / 一年前发布,110,"10,378元/平"
顺驰小区文苑街安宁街定阳路新晋世家华都公园里,顺驰城市艺墅 -榆次区,5室3厅 | 280平米 | 南 北 | 简装 | 中楼层(共4层)  | 暂无数据,16人关注 / 一年前发布,188,"6,715元/平"
顺驰城市艺墅 4室4厅 南 北,顺驰城市艺墅 -榆次区,4室4厅 | 281平米 | 南 北 | 毛坯 | 中楼层(共4层)  | 暂无数据,8人关注 / 一年前发布,180,"6,406元/平"
华悦怡苑 区法院小区 中间楼层 方正三居两卫 落地窗,华悦怡苑 -榆次区,3室2厅 | 143.75平米 | 南 北 | 毛坯 | 中楼层(共6层)  | 暂无数据,0人关注 / 一年前发布,108,"7,514元/平"
华都·公园里 2室2厅 南,华都·公园里 -榆次区,2室2厅 | 88.34平米 | 南 | 精装 | 中楼层(共26层)  | 板楼,0人关注 / 1个月以前发布,77,"8,717元/平"
汇通路世界知音三居两卫，复式大红本满二 带地下室,世界知音 -榆次区,3室2厅 | 154.81平米 | 南 北 | 毛坯 | 中楼层(共5层)  | 暂无数据,1人关注 / 一年前发布,83,"5,362元/平"
佳地花园 三室两厅 简单装修 南北通透,佳地花园 -榆次区,3室2厅 | 128平米 | 南 北 | 简装 | 高楼层(共6层)  | 板楼,28人关注 / 一年前发布,67,"5,235元/平"
龙湖大街玉湖公园旁书林世家逸夫,书林世家 -榆次区,3室2厅 | 104平米 | 北 南 | 精装 | 高楼层(共6层)  | 板楼,7人关注 / 一年前发布,78,"7,500元/平"
一  中  南北通透   小三居   实用面积大    带地下室,锦纶厂2区 -榆次区,3室2厅 | 76.28平米 | 南 北 | 简装 | 高楼层(共6层)  | 暂无数据,13人关注 / 一年前发布,45,"5,900元/平"
安宁街  嘉丰小区  电梯好楼层   大三居,嘉丰小区 -榆次区,3室2厅 | 147.63平米 | 南 北 | 简装 | 高楼层(共12层)  | 塔楼,1人关注 / 2个月以前发布,90,"6,097元/平"
下跃户型 南北通透 采光好 随时能看 价格可谈 可贷款,华悦骏璟 -榆次区,3室2厅 | 138.4平米 | 南 北 | 精装 | 中楼层(共15层)  | 板塔结合,2人关注 / 5个月以前发布,92,"6,648元/平"
鑫欣佳园 2室2厅 南 北,鑫欣佳园 -榆次区,2室2厅 | 86平米 | 南 北 | 精装 | 高楼层(共31层)  | 暂无数据,2人关注 / 一年前发布,79,"9,187元/平"
顺驰城市艺墅 3室2厅 南 北,顺驰城市艺墅 -榆次区,3室2厅 | 138平米 | 南 北 | 精装 | 高楼层(共6层)  | 板楼,2人关注 / 8个月以前发布,99,"7,174元/平"
泉秀小区 2室2厅 南 北,泉秀小区 -榆次区,2室2厅 | 88平米 | 南 北 | 其他 | 高楼层(共6层)  | 暂无数据,1人关注 / 4个月以前发布,45,"5,114元/平"
市审计局宿舍 3室2厅 南 北,市审计局宿舍 -榆次区,3室2厅 | 99平米 | 南 北 | 其他 | 中楼层(共5层)  | 板楼,0人关注 / 7天以前发布,62,"6,263元/平"
世纪福星苑小区 3室2厅 南 北,世纪福星苑小区 -榆次区,3室2厅 | 135平米 | 南 北 | 其他 | 中楼层(共6层)  | 暂无数据,0人关注 / 4天以前发布,65,"4,815元/平"
世纪福星苑小区 2室2厅 南 北,世纪福星苑小区 -榆次区,2室2厅 | 94平米 | 南 北 | 其他 | 中楼层(共6层)  | 暂无数据,0人关注 / 4天以前发布,56,"5,958元/平"
晋中碧桂园 5室2厅 南 北,晋中碧桂园 -榆次区,5室2厅 | 280平米 | 南 北 | 其他 | 中楼层(共30层)  | 暂无数据,0人关注 / 1个月以前发布,205,"7,322元/平"
锦纶厂5区宿舍 2室1厅 南 北,锦纶厂5区宿舍 -榆次区,2室1厅 | 56.5平米 | 南 北 | 其他 | 中楼层(共5层)  | 暂无数据,0人关注 / 1个月以前发布,35,"6,195元/平"
盛景华庭华瑞小区 2室1厅 南 北,盛景华庭华瑞小区 -榆次区,2室1厅 | 110平米 | 南 北 | 其他 | 低楼层(共12层)  | 暂无数据,0人关注 / 1个月以前发布,94,"8,546元/平"
泉秀小区 3室2厅 南 北,泉秀小区 -榆次区,3室2厅 | 129.08平米 | 南 北 | 其他 | 高楼层(共6层)  | 暂无数据,0人关注 / 25天以前发布,80,"6,198元/平"
晋中恒大华府 3室2厅 南 北,晋中恒大华府 -榆次区,3室2厅 | 135.27平米 | 南 北 | 其他 | 中楼层(共24层)  | 板楼,0人关注 / 23天以前发布,155,"11,459元/平"
保利·壹号公馆 4室2厅 南 北,保利·壹号公馆 -榆次区,4室2厅 | 144平米 | 南 北 | 其他 | 高楼层(共20层)  | 板楼,0人关注 / 23天以前发布,116,"8,056元/平"
富锦嘉苑 4室2厅 南 北,富锦嘉苑 -榆次区,4室2厅 | 220平米 | 南 北 | 其他 | 中楼层(共18层)  | 暂无数据,0人关注 / 1个月以前发布,220,"10,000元/平"
德御园小区 4室2厅 南 北,德御园小区 -榆次区,4室2厅 | 174平米 | 南 北 | 其他 | 中楼层(共11层)  | 暂无数据,0人关注 / 23天以前发布,115,"6,610元/平"
晋中市民政局宿舍 3室2厅 南 北,晋中市民政局宿舍 -榆次区,3室2厅 | 139.8平米 | 南 北 | 其他 | 高楼层(共6层)  | 板楼,0人关注 / 31天以前发布,80,"5,723元/平"
红星天铂 3室2厅 南 北,红星天铂 -榆次区,3室2厅 | 119.88平米 | 南 北 | 其他 | 高楼层(共29层)  | 板楼,0人关注 / 17天以前发布,85,"7,091元/平"
民盛大厦 3室2厅 南 北 东,民盛大厦 -榆次区,3室2厅 | 152.9平米 | 南 北 东 | 其他 | 低楼层(共23层)  | 板塔结合,0人关注 / 17天以前发布,120,"7,849元/平"
新晋世家 3室2厅 南 北,新晋世家 -榆次区,3室2厅 | 132平米 | 南 北 | 其他 | 高楼层(共9层)  | 板楼,1人关注 / 23天以前发布,89,"6,743元/平"
晋中万科·紫郡 4室2厅 南,晋中万科·紫郡 -榆次区,4室2厅 | 160平米 | 南 | 其他 | 低楼层(共18层)  | 板楼,0人关注 / 16天以前发布,210,"13,125元/平"
龙城金帝园 3室2厅 南 北,龙城金帝园 -榆次区,3室2厅 | 140.23平米 | 南 北 | 精装 | 中楼层(共18层)  | 暂无数据,0人关注 / 12天以前发布,94,"6,704元/平"
万象国际 3室2厅 南 北,万象国际 -榆次区,3室2厅 | 147平米 | 南 北 | 精装 | 中楼层(共26层)  | 暂无数据,1人关注 / 14天以前发布,92,"6,259元/平"
榆液小区  汇通路口医院对过  采光楼层供暖好带地下室,榆液小区 -榆次区,2室2厅 | 92.12平米 | 南 北 | 简装 | 中楼层(共6层)  | 暂无数据,0人关注 / 16天以前发布,55,"5,971元/平"
晋中路桥公司宿舍 2室2厅 南 北,晋中路桥公司宿舍 -榆次区,2室2厅 | 78.5平米 | 南 北 | 简装 | 中楼层(共5层)  | 暂无数据,0人关注 / 11天以前发布,56.6,"7,211元/平"
东华世家东区 2室1厅 南 北,东华世家东区 -榆次区,2室1厅 | 80.35平米 | 南 北 | 简装 | 高楼层(共32层)  | 暂无数据,0人关注 / 11天以前发布,60,"7,468元/平"
银海心悦 三室两卫 南北通 好楼层 费用低 免费停车,银海心悦 -榆次区,3室2厅 | 141.42平米 | 南 北 | 精装 | 高楼层(共11层)  | 板楼,0人关注 / 10天以前发布,98,"6,930元/平"
电力巷 好楼层  浇筑房大红本 无抵押,电力巷小区 -榆次区,2室2厅 | 85.41平米 | 南 北 | 精装 | 低楼层(共5层)  | 板楼,0人关注 / 3个月以前发布,60,"7,025元/平"
经纬九区 满二年 低层住宅 南北通格局 步梯三层,经纬9区 -榆次区,2室1厅 | 52.11平米 | 南 北 | 简装 | 低楼层(共3层)  | 塔楼,5人关注 / 一年前发布,26,"4,990元/平"
新华小区 2室1厅 南 北,新华小区 -榆次区,2室1厅 | 70平米 | 南 北 | 简装 | 中楼层(共6层)  | 暂无数据,0人关注 / 1个月以前发布,35,"5,000元/平"
兰田首府 2室2厅 南 北,兰田首府 -榆次区,2室2厅 | 89.98平米 | 南 北 | 精装 | 低楼层(共23层)  | 塔楼,0人关注 / 2个月以前发布,65,"7,224元/平"
泰亨华庭 2室2厅 南 北,泰亨华庭 -榆次区,2室2厅 | 114平米 | 南 北 | 精装 | 低楼层(共21层)  | 板楼,0人关注 / 3个月以前发布,68,"5,965元/平"
经纬十三区 只需刮墙 就可入住的南北两居带地下室房子,经纬十三区 -榆次区,2室1厅 | 53.19平米 | 南 北 | 简装 | 中楼层(共5层)  | 板楼,0人关注 / 2个月以前发布,33,"6,205元/平"
首创国际学园三期 3室2厅 南 北,首创国际学园三期 -榆次区,3室2厅 | 126.05平米 | 南 北 | 其他 | 中楼层(共32层)  | 塔楼,1人关注 / 1个月以前发布,85,"6,744元/平"
阳光城·文澜府 2室2厅 南 北,阳光城·文澜府 -榆次区,2室2厅 | 89平米 | 南 北 | 其他 | 低楼层(共27层)  | 暂无数据,0人关注 / 25天以前发布,120,"13,484元/平"
安宁壹号 2室2厅 东 北,安宁壹号 -榆次区,2室2厅 | 87平米 | 东 北 | 精装 | 高楼层(共29层)  | 塔楼,0人关注 / 22天以前发布,55,"6,322元/平"
万达奥莱，华都公园里三室两厅一卫。,华都·公园里 -榆次区,3室2厅 | 101平米 | 南 | 其他 | 高楼层(共27层)  | 板楼,1人关注 / 一年前发布,93,"9,208元/平"
首创国际学园B区 3室2厅 南 北,首创国际学园B区 -榆次区,3室2厅 | 159.03平米 | 南 北 | 其他 | 低楼层(共24层)  | 板楼,0人关注 / 一年前发布,137,"8,615元/平"
文苑街逸夫贰中三居双卫带地下室,书林世家三期 -榆次区,3室2厅 | 132平米 | 南 北 | 其他 | 低楼层(共8层)  | 暂无数据,3人关注 / 7个月以前发布,106,"8,031元/平"
小高层南北通透，采光充足，交通便利，设施齐全,银海心悦 -榆次区,3室2厅 | 125平米 | 南 北 | 毛坯 | 低楼层(共18层)  | 板楼,6人关注 / 一年前发布,84,"6,720元/平"
急售 安宁街 田森嘉园 精装修 三居室 可贷款 好楼层,田森嘉园B区 -榆次区,3室2厅 | 126.64平米 | 南 北 | 其他 | 中楼层(共16层)  | 暂无数据,2人关注 / 一年前发布,102,"8,055元/平"
银海心悦 精装三居室 南北通 好楼层 可贷款 免费停车,银海心悦 -榆次区,3室2厅 | 124.1平米 | 南 北 | 其他 | 中楼层(共18层)  | 板楼,1人关注 / 8个月以前发布,105,"8,461元/平"
晋中碧桂园 3室2厅 南 北,晋中碧桂园 -榆次区,3室2厅 | 132平米 | 南 北 | 其他 | 中楼层(共32层)  | 板楼,1人关注 / 6个月以前发布,108,"8,182元/平"
