标题,开发商,房子信息,发布信息,售价/万,单价
开元上府高品质精装洋房 证过二 带产权子母车位带负一,开元上府 -新闻大厦,4室2厅 | 233.94平米 | 南 | 简装 | 中楼层(共5层)  | 板楼,1人关注 / 1个月以前发布,369,"15,774元/平"
东华花园，精装修，低楼层，带个28平的大车库,东华花园 -沂河实验小学,3室2厅 | 93.84平米 | 南 | 精装 | 中楼层(共6层)  | 板楼,1人关注 / 2个月以前发布,62,"6,607元/平"
户型好，交通方便，配套齐全，采光好,盛世春晖 -平安路,3室1厅 | 85平米 | 南 | 精装 | 高楼层(共6层)  | 板楼,38人关注 / 一年前发布,50,"5,883元/平"
沂河新区馨苑A区 精致三室证过二,荣盛•沂河馨苑A区 -锦绣外滩,3室2厅 | 85.72平米 | 南 | 精装 | 中楼层(共16层)  | 板塔结合,46人关注 / 8个月以前发布,75,"8,750元/平"
沂河新区 城开东岸 双卫全明三室 带储藏室,城开东岸 -锦绣外滩,3室2厅 | 126平米 | 南 | 毛坯 | 中楼层(共11层)  | 暂无数据,17人关注 / 一年前发布,150,"11,905元/平"
怡景天鹅湖证过五带个南向大车库 精装修带家具家电,怡景天鹅湖 -双月湖公园,3室2厅 | 112.15平米 | 南 北 | 精装 | 中楼层(共7层)  | 板楼,1人关注 / 1个月以前发布,67,"5,975元/平"
伊丽莎白花漾  证过二  观河景很好,伊丽莎白花漾 -国际会展中心,3室2厅 | 111.48平米 | 南 | 毛坯 | 高楼层(共15层)  | 塔楼,1人关注 / 2个月以前发布,67,"6,011元/平"
沂河观邸 证过二 带储藏室 好楼层 全天采光 户型好,沂河观邸 -锦绣外滩,3室2厅 | 134.28平米 | 南 | 简装 | 中楼层(共16层)  | 板楼,13人关注 / 一年前发布,105,"7,820元/平"
书香尚城 洋房社区 元宝户型 房东诚心 出售,书香尚城 -工业园,3室1厅 | 121.17平米 | 南 | 毛坯 | 高楼层(共13层)  | 板楼,19人关注 / 一年前发布,115,"9,491元/平"
掌舵东岸电梯洋房  西边户   观河景好,掌舵东岸 -沂河实验小学,3室1厅 | 128.63平米 | 东 | 毛坯 | 中楼层(共11层)  | 板塔结合,2人关注 / 1个月以前发布,91,"7,075元/平"
伊丽莎白花漾3居大产权可贷款好楼层,伊丽莎白花漾 -国际会展中心,3室2厅 | 111.48平米 | 南 北 | 简装 | 高楼层(共15层)  | 塔楼,2人关注 / 7个月以前发布,87,"7,805元/平"
幸福小镇三期电梯洋房一楼带院证过二公摊小,农房·幸福小镇 -东方城,3室1厅 | 95.96平米 | 南 北 | 毛坯 | 低楼层(共7层)  | 板楼,1人关注 / 3个月以前发布,73,"7,608元/平"
过五唯一带车位 齐鲁园 西边户 精装 三十五,齐鲁园 -北城-临沂第三十五中,3室2厅 | 141.68平米 | 西南 | 精装 | 低楼层(共18层)  | 板楼,0人关注 / 21天以前发布,200,"14,117元/平"
滨河新天地优质房源，业主诚心出售,滨河新天地 -北城-北城人民医院,3室2厅 | 95.72平米 | 南 | 其他 | 高楼层(共18层)  | 板楼,0人关注 / 14天以前发布,95,"9,925元/平"
南湖尚城 好位置 全天无遮挡 东边户 有车位储藏室,房源·南湖尚城 -远通汽车广场,3室2厅 | 158平米 | 南 北 | 毛坯 | 中楼层(共17层)  | 板楼,0人关注 / 18天以前发布,89,"5,633元/平"
急售万城花开 户型方正 南北通风 全天采光,万城花开 -北城-长沙路西片区,3室2厅 | 129.1平米 | 南 | 毛坯 | 中楼层(共30层)  | 塔楼,0人关注 / 30天以前发布,149,"11,542元/平"
好楼层，三室，70年大产权，产权清晰，诚心出售,宝丽阳光名居 -双月湖公园,3室2厅 | 101平米 | 南 | 精装 | 中楼层(共7层)  | 板楼,0人关注 / 22天以前发布,52,"5,149元/平"
沂河观邸  大三室  证过二 带车位 储藏室,沂河观邸 -锦绣外滩,3室1厅 | 128平米 | 南 北 | 精装 | 高楼层(共16层)  | 板楼,1人关注 / 30天以前发布,100,"7,813元/平"
冠亚星城三期 一梯两户 低公摊 户型通透 随时看房,冠亚星城三期 -国际会展中心,3室1厅 | 110平米 | 南 | 精装 | 中楼层(共11层)  | 板塔结合,0人关注 / 20天以前发布,82,"7,455元/平"
新上书香尚城 元宝户型三居室 精装未住 洋房公摊小,书香尚城 -工业园,3室2厅 | 125.11平米 | 南 北 | 精装 | 低楼层(共9层)  | 板楼,1人关注 / 29天以前发布,133,"10,631元/平"
沂河明珠  多层一楼 三室带储藏室  客厅南向,沂河明珠 -沂水县,3室2厅 | 133平米 | 南 | 简装 | 低楼层(共6层)  | 暂无数据,12人关注 / 一年前发布,109.8,"8,256元/平"
汀香郡 4室2厅 南,汀香郡 -北城-临沂第三十五中,4室2厅 | 148平米 | 南 | 其他 | 低楼层(共32层)  | 塔楼,0人关注 / 7天以前发布,258,"17,433元/平"
冠亚星城  经典大2居 满5唯一省税 好房诚售领包入住,冠亚星城二期 -国际会展中心,2室2厅 | 100.86平米 | 南 北 | 简装 | 低楼层(共11层)  | 板塔结合,3人关注 / 2个月以前发布,65,"6,445元/平"
大名城南区  契税满二  带车库,大名城南区 -沂水县,3室2厅 | 118平米 | 南 北 | 其他 | 中楼层(共18层)  | 板楼,0人关注 / 8天以前发布,82,"6,950元/平"
保利堂悦  3室2厅2卫  精装修未住  证过二  带储藏室,保利堂悦 -北城-长沙路西片区,3室2厅 | 130.69平米 | 南 | 精装 | 中楼层(共18层)  | 板楼,4人关注 / 6个月以前发布,167,"12,779元/平"
拉菲公馆 观河高层 全天采光 不遮不挡不冲 业主诚售,拉菲公馆 -北城-长沙路东区,3室2厅 | 134.54平米 | 南 北 | 其他 | 低楼层(共33层)  | 板塔结合,14人关注 / 5个月以前发布,152,"11,298元/平"
拉菲公馆 户型方正 楼层好 接地气 业主诚售 价格可谈,拉菲公馆 -北城-长沙路东区,3室2厅 | 134.94平米 | 南 北 | 其他 | 低楼层(共33层)  | 板塔结合,5人关注 / 3个月以前发布,145,"10,746元/平"
北坛新区 三室 简装 带车位带 储,北坛新区 -沂水县,3室2厅 | 121平米 | 南 北 | 简装 | 高楼层(共18层)  | 暂无数据,3人关注 / 6个月以前发布,106,"8,761元/平"
南北朝向 带储藏室 证过二省税  精装未住,荣盛沂河馨苑C区 -锦绣外滩,3室2厅 | 116.27平米 | 南 北 | 其他 | 高楼层(共15层)  | 塔楼,1人关注 / 1个月以前发布,102,"8,773元/平"
沂河边一楼带院带负一，环境优美采光好，间距宽无遮挡,致远海上传奇 -国际会展中心,3室2厅 | 272.42平米 | 南 | 毛坯 | 低楼层(共17层)  | 板楼,30人关注 / 7个月以前发布,132,"4,846元/平"
冠亚星城中央观邸一楼带院带负一有钥匙随时都可以看,冠亚星城中央观邸 -国际会展中心,4室2厅 | 138.64平米 | 南 | 毛坯 | 低楼层(共6层)  | 暂无数据,9人关注 / 6个月以前发布,165,"11,902元/平"
奥德海棠 一楼带院 带负一 小区中间 全天采光,奥德海棠 -锦绣外滩,4室2厅 | 320平米 | 南 北 | 毛坯 | 低楼层(共7层)  | 板塔结合,8人关注 / 4个月以前发布,350,"10,938元/平"
颐兴园东区7+1电梯洋房 底上240平 精装修 南北露台,颐兴园东区 -锦绣外滩,5室2厅 | 208.89平米 | 南 | 精装 | 高楼层(共7层)  | 板塔结合,6人关注 / 6个月以前发布,230,"11,011元/平"
奥德海棠顶楼复式洋房大开间全明采光  急售有钥匙,奥德海棠 -锦绣外滩,4室2厅 | 223平米 | 南 北 | 毛坯 | 高楼层(共10层)  | 暂无数据,11人关注 / 7个月以前发布,345,"15,471元/平"
电梯花园洋房四居室 三开间朝南 户型方正 全明户型,紫云府 -临沂市第三人民医院,4室2厅 | 125.7平米 | 南 北 | 精装 | 中楼层(共11层)  | 板塔结合,1人关注 / 1个月以前发布,88,"7,001元/平"
急售 冠亚五期  联排叠墅 2-3楼 带两个露台,冠亚星城中央观邸 -国际会展中心,4室2厅 | 185.83平米 | 南 北 | 毛坯 | 中楼层(共5层)  | 板楼,7人关注 / 6个月以前发布,175,"9,418元/平"
业主急售恒大绿洲精装 户型南北透透 配套成熟,恒大绿洲 -临沂市第三人民医院,3室2厅 | 146平米 | 南 | 精装 | 中楼层(共26层)  | 塔楼,2人关注 / 2个月以前发布,78,"5,343元/平"
中央观邸 精装修 带储藏室 双卧朝阳 房东诚心出售,冠亚星城中央观邸 -国际会展中心,4室2厅 | 151平米 | 南 北 西 | 精装 | 低楼层(共17层)  | 塔楼,1人关注 / 4个月以前发布,120,"7,948元/平"
房东诚售 翡翠东岸2室 精装证过二 配套成熟 随时可看,伊丽莎白东岸 -东夷文化园,2室1厅 | 78.64平米 | 南 | 精装 | 中楼层(共21层)  | 板塔结合,0人关注 / 11天以前发布,59,"7,503元/平"
业主急售！福源家园4室2厅2卫141平单价6900高层采光好,福源家园 -东方不夜城,4室2厅 | 141.12平米 | 南 北 | 简装 | 高楼层(共7层)  | 板楼,0人关注 / 6天以前发布,98,"6,945元/平"
新东关 永恒华府 配套完善，户型方正全明户型采光好.,新东关 -新东关,3室2厅 | 134.18平米 | 南 北 | 毛坯 | 高楼层(共22层)  | 暂无数据,1人关注 / 13天以前发布,128,"9,540元/平"
全天采光好楼层， 大三室户型，通地下有储藏室,保利堂悦 -北城-长沙路西片区,3室1厅 | 142平米 | 南 | 毛坯 | 中楼层(共6层)  | 板楼,1人关注 / 12天以前发布,200,"14,085元/平"
城开首府 3室2厅 南 北,城开首府 -北城-长沙路西片区,3室2厅 | 100.3平米 | 南 北 | 毛坯 | 中楼层(共34层)  | 板楼,0人关注 / 13天以前发布,113,"11,267元/平"
银盛泰·博观新城 3室2厅 南,银盛泰·博观新城 -北城-长沙路西片区,3室2厅 | 129平米 | 南 | 精装 | 中楼层(共17层)  | 板塔结合,1人关注 / 12天以前发布,170,"13,179元/平"
电梯洋房好楼层，不遮不挡，全明户型诚心出售,海联江山里 -河东机场,3室2厅 | 115.11平米 | 南 | 毛坯 | 中楼层(共9层)  | 板塔结合,0人关注 / 9天以前发布,74,"6,429元/平"
荣昌绿园 3室2厅 南,荣昌绿园 -北城-鲁商中心,3室2厅 | 98平米 | 南 | 精装 | 高楼层(共30层)  | 板塔结合,0人关注 / 9天以前发布,115,"11,735元/平"
万城花开 好楼层三室 看房方便，有钥匙装修基本完成,万城花开 -北城-长沙路西片区,3室2厅 | 127平米 | 南 北 | 简装 | 高楼层(共31层)  | 塔楼,0人关注 / 11天以前发布,145,"11,418元/平"
海博长安府电梯洋房一楼带院证过二带车位楼栋位置好,海博长安府 -沂河实验小学,3室2厅 | 194.21平米 | 南 北 | 毛坯 | 低楼层(共5层)  | 板楼,0人关注 / 3个月以前发布,140,"7,209元/平"
沂龙湾御园 小高层 观河 证过2年 南北通透户型,沂龙湾御园 -北城-实验中学,3室2厅 | 112.43平米 | 南 北 | 简装 | 高楼层(共18层)  | 板楼,9人关注 / 10个月以前发布,150,"13,342元/平"
滨河新天地小高层精装修4室，证过二,滨河新天地 -北城-北城人民医院,4室1厅 | 137.87平米 | 南 | 精装 | 中楼层(共17层)  | 板楼,2人关注 / 3个月以前发布,139,"10,082元/平"
香舍里精品洋房三居室，全天采光，看房方便。,开元香舍里 -北城-实验中学,3室2厅 | 136.67平米 | 南 北 | 精装 | 高楼层(共6层)  | 板楼,28人关注 / 8个月以前发布,265,"19,390元/平"
天和花园 顶楼复式 简单装修 房产证过二 带储藏室,天和花园 -人民公园,3室2厅 | 130.99平米 | 南 | 简装 | 高楼层(共7层)  | 板楼,12人关注 / 一年前发布,145,"11,070元/平"
滨河新天地 小高层 带车位储藏室！南北通透 次顶楼,滨河新天地 -北城-北城人民医院,3室2厅 | 136.9平米 | 南 北 | 简装 | 高楼层(共18层)  | 板楼,7人关注 / 8个月以前发布,133,"9,716元/平"
金雀花苑 精装修东边户 观河景 中间楼层 采光充足,金雀花苑 -人民公园,3室1厅 | 117.92平米 | 南 | 精装 | 中楼层(共30层)  | 板楼,3人关注 / 9个月以前发布,139,"11,788元/平"
水岸花墅多层洋房，户型好4室2厅2卫,水岸花墅 -沂水县,4室2厅 | 143.88平米 | 南 北 | 毛坯 | 中楼层(共5层)  | 暂无数据,0人关注 / 一年前发布,130,"9,036元/平"
精装4室证6月过二，带6平储藏室，配套设施齐全,澜泊湾悦澜D区 -北城-澜泊湾,4室2厅 | 149平米 | 南 | 精装 | 低楼层(共33层)  | 板楼,24人关注 / 8个月以前发布,225,"15,101元/平"
银苑小区 带车位储藏室 近人民广场印刷小区银都小区,银苑小区 -人民广场,3室2厅 | 87.19平米 | 南 北 | 简装 | 低楼层(共2层)  | 板楼,0人关注 / 2个月以前发布,92,"10,552元/平"
电业局家属院 证过五 低楼层 双气,电业局家属院 -平安路,2室1厅 | 75.21平米 | 南 北 | 简装 | 低楼层(共5层)  | 板楼,2人关注 / 6个月以前发布,57,"7,579元/平"
银都小区 证过二 毛坯三室 近印刷小区有钥匙看房方便,银都小区 -人民广场,3室1厅 | 85.93平米 | 南 | 简装 | 中楼层(共6层)  | 塔楼,8人关注 / 一年前发布,89,"10,358元/平"
滨河新天地 刚性三居室 价格合适 证过二,滨河新天地 -北城-北城人民医院,3室2厅 | 110.7平米 | 南 | 简装 | 高楼层(共18层)  | 板楼,4人关注 / 1个月以前发布,93,"8,402元/平"
精装修证过二  中间楼层  诚心出售,皇山花园三期 -东夷文化园,3室2厅 | 124.16平米 | 南 | 简装 | 中楼层(共21层)  | 塔楼,0人关注 / 2个月以前发布,82,"6,605元/平"
双气集中供暖 ，客厅在西，全明户型，随时看房,韵皓 · 宝翠园 -双月湖公园,3室2厅 | 129平米 | 南 | 精装 | 中楼层(共28层)  | 板塔结合,3人关注 / 一年前发布,77,"5,969元/平"
世纪花园急售 精装婚房 有车位南北通透老九中,世纪花园(兰山区) -新闻大厦,3室2厅 | 123.02平米 | 南 北 | 精装 | 高楼层(共36层)  | 塔楼,16人关注 / 9个月以前发布,110,"8,942元/平"
金泰华城 电梯洋房 一梯两户 带储藏室,金泰华城悦园 -前十街,3室2厅 | 133.25平米 | 南 | 精装 | 高楼层(共9层)  | 板楼,0人关注 / 1个月以前发布,142,"10,657元/平"
香榭丽舍七十年产权 证过二 户型方正,香榭丽舍 -新闻大厦,3室2厅 | 165.48平米 | 南 | 简装 | 高楼层(共6层)  | 板楼,22人关注 / 6个月以前发布,168,"10,153元/平"
万阅城 证过二 省税 紧靠人民广场 九州大厦 出行方便,万阅城 -人民广场,2室2厅 | 94.21平米 | 西南 | 精装 | 33层  | 板塔结合,0人关注 / 一年前发布,121,"12,844元/平"
香榭丽舍 大平层   环境好 视野好,香榭丽舍 -新闻大厦,3室2厅 | 199.64平米 | 南 北 | 简装 | 中楼层(共4层)  | 板楼,0人关注 / 2个月以前发布,185,"9,267元/平"
银座中心胜利陆中三室精装客厅通阳台,银座中心 -和谐广场,3室2厅 | 113.4平米 | 南 北 | 精装 | 中楼层(共30层)  | 塔楼,4人关注 / 9个月以前发布,138,"12,170元/平"
卢浮宫馆、小高层的好位置，优楼层，俯瞰公园！,白鹭金岸·卢浮宫馆 -青啤广场,3室2厅 | 105.38平米 | 南 | 精装 | 高楼层(共18层)  | 板塔结合,2人关注 / 4个月以前发布,87,"8,256元/平"
