标题,开发商,房子信息,发布信息,售价/万,单价
高新佳园三期丨中间楼层丨单价4000多丨本满二丨首付16,高新佳园三期 -高新区,3室2厅 | 126.71平米 | 南 北 | 毛坯 | 中楼层(共7层)  | 板楼,0人关注 / 5天以前发布,53,"4,183元/平"
都市名园小区三室两厅 132.30m² 出售,都市名园小区 -火车站,3室2厅 | 132.3平米 | 南 北 | 精装 | 低楼层(共8层)  | 板楼,0人关注 / 3个月以前发布,47,"3,553元/平"
业主诚心出售！大庆路汉强海德公园！！,汉强海德公园 -大庆路,3室2厅 | 109.75平米 | 南 北 | 其他 | 中楼层(共34层)  | 暂无数据,0人关注 / 8天以前发布,63,"5,741元/平"
经二路东段 精装修 采光好 房子保持干净,宝鸡卷烟厂金渭路住宅小区 -火车站,2室2厅 | 91平米 | 东 西 | 其他 | 高楼层(共7层)  | 板塔结合,0人关注 / 21天以前发布,28,"3,077元/平"
高新一路 新小区 126平 三室两卫 有本可按揭 看房方便,锦御华府 -高新区,3室2厅 | 126.25平米 | 南 北 | 简装 | 低楼层(共33层)  | 板楼,1人关注 / 15天以前发布,73,"5,783元/平"
精装修，环境优美，一级物业未住人,凌云·现代城 -高新区,3室2厅 | 116.37平米 | 南 北 | 精装 | 低楼层(共28层)  | 板塔结合,0人关注 / 12天以前发布,85,"7,305元/平"
房子户型方正 明厨明卫 客厅带大阳台,百翠园 -新福路,2室1厅 | 83平米 | 南 | 毛坯 | 中楼层(共15层)  | 板楼,0人关注 / 13天以前发布,42.5,"5,121元/平"
金台区 新福路 豪城天下 多层两室,豪城天下G区 -新福路,2室2厅 | 84.84平米 | 南 | 精装 | 低楼层(共6层)  | 板楼,0人关注 / 3个月以前发布,40.9,"4,821元/平"
新建路转盘闹中取静中间楼层两室南北通透可按揭,新建路中段15号 -火车站,2室2厅 | 93.17平米 | 南 北 | 简装 | 中楼层(共7层)  | 板塔结合,5人关注 / 5个月以前发布,29.9,"3,210元/平"
银泰城刚需3室全明户型，随时看房领包入住电梯新小区,东岭新时代二期 -陈仓园,3室2厅 | 97.93平米 | 西 | 精装 | 低楼层(共32层)  | 板塔结合,4人关注 / 6个月以前发布,59,"6,025元/平"
房东急售新建路精装两室一套有意者请联系,天上人间都市花园 -火车站,2室2厅 | 113.02平米 | 南 北 | 精装 | 中楼层(共6层)  | 塔楼,4人关注 / 一年前发布,43.5,"3,849元/平"
多层板楼，户型较好，南北通透，诚售，低价位随时.,秦龙公司家属院 -上马营,2室1厅 | 92.79平米 | 南 北 | 简装 | 7层  | 板塔结合,8人关注 / 一年前发布,25.9,"2,792元/平"
斗鸡宏文路电梯房3室精装可按揭房龄新业主急售,西建领秀 -大庆路,3室1厅 | 101.82平米 | 东 南 | 精装 | 高楼层(共26层)  | 板楼,6人关注 / 9个月以前发布,52.5,"5,157元/平"
高新二路带花园，上学方便，南北通透，适合养老,万润城市花园 -高新区,3室2厅 | 123.69平米 | 南 北 | 精装 | 低楼层(共6层)  | 暂无数据,0人关注 / 1个月以前发布,82,"6,630元/平"
高新佳园三期繁华地段中间楼层大两室,高新佳园三期 -高新区,2室2厅 | 111.57平米 | 南 北 | 毛坯 | 中楼层(共7层)  | 板楼,11人关注 / 一年前发布,44,"3,944元/平"
天玺台 南北通透 小三室经典户型精装修 添置即可入住,石鼓天玺台 -石坝河,3室2厅 | 101.73平米 | 南 北 | 精装 | 低楼层(共11层)  | 板塔结合,0人关注 / 1个月以前发布,81.8,"8,041元/平"
桥南英达路丽景家园大三室看房方便有钥匙,丽景家园 -桥南,3室2厅 | 149.85平米 | 南 北 | 简装 | 低楼层(共13层)  | 板塔结合,25人关注 / 6个月以前发布,50,"3,337元/平"
斗中北路 多层一楼 拎包入住 可按揭,金桥福盛佳园 -大庆路,2室1厅 | 98.06平米 | 南 北 | 简装 | 7层  | 板楼,5人关注 / 4个月以前发布,36.8,"3,753元/平"
银泰城附 近，电梯精装三室，家具家电都带，南北通透,中粮国际 -上马营,3室1厅 | 121.71平米 | 南 北 | 精装 | 30层  | 板楼,34人关注 / 一年前发布,64,"5,259元/平"
三室南北通透，户型方正，没有浪费面积。,轩苑臻品 -新福路,3室2厅 | 111平米 | 南 北 | 简装 | 中楼层(共6层)  | 板楼,4人关注 / 8个月以前发布,53.9,"4,856元/平"
联盟路上的电梯房，高楼层视野很开阔，,花样年华·庭苑 -陈仓园,3室2厅 | 132.78平米 | 南 | 毛坯 | 30层  | 板塔结合,1人关注 / 3个月以前发布,62,"4,670元/平"
2015年次新房 毛坯未装修 房本满二无大税,团结君逸 -大庆路,3室2厅 | 131.18平米 | 南 北 | 毛坯 | 高楼层(共21层)  | 板楼,2人关注 / 一年前发布,59,"4,498元/平"
渭滨桥南繁华路段生活方便交通便利三室电梯房,景心苑 -桥南,3室2厅 | 109.5平米 | 东南 | 简装 | 中楼层(共9层)  | 暂无数据,3人关注 / 2个月以前发布,48.8,"4,457元/平"
陈仓大道主干道，客厅舒适，面积合理运用房本满两年,华辰花园洲 -卧龙寺,2室2厅 | 81.3平米 | 南 | 简装 | 中楼层(共30层)  | 板塔结合,0人关注 / 5个月以前发布,42,"5,167元/平"
高新四路 永泰名苑 精装三室 电梯房 繁华地段交通方便,高新永泰茗苑 -高新区,3室2厅 | 57.76平米 | 南 | 精装 | 中楼层(共8层)  | 板楼,1人关注 / 2个月以前发布,46,"7,964元/平"
高新六路 家具家电齐全 拎包入住 看房方便,東城國際 -高新区,3室2厅 | 128.77平米 | 南 北 | 精装 | 中楼层(共26层)  | 板楼,1人关注 / 3个月以前发布,87,"6,757元/平"
河景房急售金台区银泰城大剧院CCBD景现房一梯两户,东岭新时代二期 -陈仓园,3室2厅 | 159.39平米 | 南 北 | 精装 | 中楼层(共18层)  | 板楼,5人关注 / 11个月以前发布,99,"6,212元/平"
此房房本满五年，格局方正，楼层好视野开阔，采光充租,三迪加州阳光小区 -三迪,3室2厅 | 96.39平米 | 南 北 | 精装 | 中楼层(共6层)  | 板塔结合,0人关注 / 4个月以前发布,61,"6,329元/平"
高新五路 聚丰大城际 精装三室 看房方便,麦恩印象二期 -高新区,3室2厅 | 119.4平米 | 南 北 | 简装 | 高楼层(共18层)  | 板塔结合,0人关注 / 2个月以前发布,73.8,"6,181元/平"
上马营金台大道电梯3居室，精装修，看房有钥匙,花样年华·庭苑 -陈仓园,3室2厅 | 132.78平米 | 南 北 | 精装 | 30层  | 板塔结合,3人关注 / 5个月以前发布,62,"4,670元/平"
急售 桥南 清姜路 宝成社区 多层中间楼层 南北通透,宝成社区西苑小区 -清姜,2室1厅 | 67.21平米 | 南 北 | 其他 | 中楼层(共6层)  | 板楼,0人关注 / 19天以前发布,24,"3,571元/平"
新福路 百翠园 中装两室 满五唯一 可按揭,百翠园 -新福路,2室2厅 | 99.02平米 | 南 北 | 其他 | 中楼层(共7层)  | 板楼,0人关注 / 11天以前发布,42.2,"4,262元/平"
桥南 大型社区 多层低楼层 厨卫全明 南北通透 可按揭,新烽火盛華園 -桥南,2室2厅 | 96.56平米 | 南 北 | 其他 | 低楼层(共6层)  | 板楼,0人关注 / 10天以前发布,39,"4,039元/平"
此房满五，户型好，配套齐全，交通便利,渭水苑B区 -高新区,3室2厅 | 105.57平米 | 南 北 | 毛坯 | 低楼层(共6层)  | 板楼,2人关注 / 4个月以前发布,55,"5,210元/平"
三室精装修 户型方正 结构合理 采光充足 拎包入住,九华园 -火车站,3室2厅 | 105平米 | 南 北 | 简装 | 中楼层(共7层)  | 板楼,4人关注 / 6个月以前发布,38,"3,620元/平"
中滩路 滨河南路小区 南北小三室,中铁一局三公司滨河南路小区 -桥南,3室1厅 | 70.28平米 | 南 北 | 其他 | 中楼层(共7层)  | 暂无数据,1人关注 / 2个月以前发布,22.5,"3,202元/平"
市政府旁，精装修，花园洋房，业主急售,三迪加州阳光小区 -三迪,4室2厅 | 170.5平米 | 南 北 | 其他 | 低楼层(共6层)  | 板塔结合,19人关注 / 一年前发布,93.8,"5,502元/平"
业主诚心出售 高新六路 房本满五 无大税 看房钥匙在手,渭水苑B区 -高新区,4室2厅 | 153.02平米 | 南 北 | 毛坯 | 高楼层(共18层)  | 板塔结合,0人关注 / 3个月以前发布,61,"3,987元/平"
高新一路半  洋房一楼 精装修三居室,水木清華 -高新区,3室2厅 | 116.18平米 | 南 北 | 简装 | 低楼层(共6层)  | 板楼,25人关注 / 一年前发布,71,"6,112元/平"
公园里的家 绿化70% 高新大道旁 河景,宏运海河湾 -高新区,3室2厅 | 106.19平米 | 南 | 简装 | 中楼层(共33层)  | 板塔结合,0人关注 / 1个月以前发布,68.5,"6,451元/平"
高新五路丨九路新城丨精装三室丨无大税，随时过户,九龙新城 -高新区,3室2厅 | 106.58平米 | 南 北 | 精装 | 中楼层(共33层)  | 板楼,0人关注 / 1个月以前发布,78,"7,319元/平"
桥南多层2室，配套齐全可按揭，,陕开社区 -桥南,2室2厅 | 75.83平米 | 南 北 | 简装 | 中楼层(共7层)  | 板楼,4人关注 / 6个月以前发布,27,"3,561元/平"
高新五路 九龙新城丨品质小区丨产权清晰，随时过户,九龙新城 -高新区,3室2厅 | 119.93平米 | 南 北 | 其他 | 中楼层(共31层)  | 板楼,0人关注 / 2个月以前发布,77.8,"6,488元/平"
上马营电梯三室，房龄新，保养好,宝铁华苑小区 -上马营,3室2厅 | 113.32平米 | 西南 | 简装 | 25层  | 板塔结合,5人关注 / 5个月以前发布,52,"4,589元/平"
清姜东一路，71平小三室，中间楼层。看房方便、,宝鸡市气象局生活区 -清姜,3室1厅 | 71.6平米 | 南 北 | 简装 | 中楼层(共6层)  | 板楼,16人关注 / 9个月以前发布,20,"2,794元/平"
一梯一户 南北通透 中间楼层  银泰边,宝鸡机床集团公司住宅二区 -上马营,2室2厅 | 80.9平米 | 南 北 | 简装 | 中楼层(共7层)  | 板楼,0人关注 / 1个月以前发布,34.9,"4,314元/平"
上马营2室精装.采光好.交通便利.可领包入住.,宝铁华苑小区 -上马营,2室2厅 | 69.05平米 | 西北 | 精装 | 7层  | 板楼,1人关注 / 3个月以前发布,25.8,"3,737元/平"
高新二路 水木清华三室，户型方正，手续齐全,水木清華 -高新区,3室2厅 | 106.54平米 | 南 北 | 精装 | 中楼层(共24层)  | 板塔结合,11人关注 / 6个月以前发布,70,"6,571元/平"
玉泉花园多层三楼，86.32平可以按揭,玉泉花园南区 -桥南,2室2厅 | 86.32平米 | 南 北 | 简装 | 中楼层(共7层)  | 板楼,0人关注 / 5个月以前发布,34.5,"3,997元/平"
电梯房洋房，户型方正，宽敞明亮，视野宽阔，,凯跃欧洲城 -桥南,3室1厅 | 131.05平米 | 北 南 | 精装 | 中楼层(共7层)  | 板塔结合,0人关注 / 3个月以前发布,66,"5,037元/平"
桥南英达路精装小三室南北通透看房方便,景心苑 -桥南,3室2厅 | 109.5平米 | 南 北 | 简装 | 高楼层(共9层)  | 暂无数据,1人关注 / 3个月以前发布,50.5,"4,612元/平"
高新四路天下汇旁，交通便利，繁华地段，采光好视野好,盛园锦都 -高新区,3室2厅 | 98.47平米 | 东 西 | 其他 | 中楼层(共21层)  | 板塔结合,2人关注 / 3个月以前发布,52,"5,281元/平"
陈仓园 l 市民广场l 联盟大桥 l 世纪荟萃,陈仓园 -陈仓园,2室2厅 | 91.4平米 | 南 北 | 简装 | 中楼层(共7层)  | 板楼,0人关注 / 1个月以前发布,39,"4,267元/平"
陈仓园  轩苑世家 大两室出售,軒苑世家一期 -陈仓园,3室2厅 | 113平米 | 南 北 | 精装 | 低楼层(共33层)  | 板塔结合,0人关注 / 1个月以前发布,59,"5,222元/平"
小区绿化好，管理规范，院内有小公园，可休闲散步..,三迪加州阳光小区 -三迪,3室2厅 | 96.39平米 | 南 北 | 毛坯 | 中楼层(共6层)  | 板塔结合,23人关注 / 一年前发布,61,"6,329元/平"
银泰旁边，精装三室，地段好，环境佳,东岭新时代二期 -陈仓园,3室2厅 | 139.82平米 | 南 北 | 简装 | 高楼层(共33层)  | 板塔结合,5人关注 / 5个月以前发布,79,"5,651元/平"
此房满五唯一，楼层低，采光好，业主诚心出售、,豪城天下A东 -新福路,2室1厅 | 73.14平米 | 南 | 简装 | 低楼层(共7层)  | 板楼,0人关注 / 1个月以前发布,36.3,"4,964元/平"
新福路精装三室电梯婚房家具家电全带拎包入住有本可按,金水湾 -新福路,3室2厅 | 127.41平米 | 南 北 | 精装 | 中楼层(共18层)  | 板楼,0人关注 / 2个月以前发布,77,"6,044元/平"
此房一梯三户，电梯小高层，精装修，房本满二，可按揭,豪城天下A西 -新福路,2室1厅 | 87.76平米 | 南 | 其他 | 中楼层(共12层)  | 板楼,0人关注 / 2个月以前发布,46,"5,242元/平"
大庆路94平米多层1楼拎包入住 看房有钥匙,电力新苑 -大庆路,2室2厅 | 94.9平米 | 南 北 | 简装 | 低楼层(共6层)  | 板楼,7人关注 / 4个月以前发布,38.5,"4,057元/平"
电梯中间楼层。楼龄新，精装电梯房，纯南全明户型,仁和公园华府 -桥南,2室1厅 | 91.61平米 | 南 | 精装 | 中楼层(共32层)  | 板塔结合,0人关注 / 3天以前发布,51,"5,568元/平"
英达路上，3室电梯房，业主诚心出售，价位便宜,虹桥高新花园 -桥南,3室2厅 | 152.29平米 | 南 西 | 简装 | 中楼层(共20层)  | 板楼,1人关注 / 3个月以前发布,43.2,"2,837元/平"
高新三路，好房推荐。小三室。首付21个w,城市枫景 -高新区,3室2厅 | 104.01平米 | 南 北 | 简装 | 中楼层(共6层)  | 板楼,4人关注 / 6个月以前发布,64,"6,154元/平"
房子格局通透，视野宽阔，采光充足，有本可按揭,轩苑世家Ⅱ期 -陈仓园,3室2厅 | 131.31平米 | 东南 | 毛坯 | 中楼层(共33层)  | 板塔结合,4人关注 / 9个月以前发布,74,"5,636元/平"
高新四路 精装三室 基本未住人 户型方正 园林式绿化,城市公馆 -高新区,3室2厅 | 136.47平米 | 南 | 精装 | 中楼层(共26层)  | 板塔结合,2人关注 / 2个月以前发布,79.5,"5,826元/平"
此房格局好 大两室 精装修 装修标准高,麦恩印象二期 -高新区,2室2厅 | 103.48平米 | 南 北 | 简装 | 中楼层(共18层)  | 板楼,8人关注 / 一年前发布,60,"5,799元/平"
小区位置优越，门口渭河公园，房子户型方正。,西堤住宅小区 -火车站,2室2厅 | 100.19平米 | 南 北 | 简装 | 高楼层(共7层)  | 暂无数据,9人关注 / 5个月以前发布,26.8,"2,675元/平"
宝鸡供电局西区家属院 2室1厅 南,宝鸡供电局西区家属院 -火车站,2室1厅 | 60.32平米 | 南 | 其他 | 6层  | 板塔结合,0人关注 / 11天以前发布,18,"2,985元/平"
高新四路北段城市公馆，优质房源。,城市公馆 -高新区,3室2厅 | 115.6平米 | 南 北 | 精装 | 低楼层(共18层)  | 板塔结合,1人关注 / 7个月以前发布,77,"6,661元/平"
此房满二，地段繁华，交通方便，户型方正，南北朝向,上马营二号小区 -上马营,2室2厅 | 88.42平米 | 东南 | 简装 | 中楼层(共7层)  | 板楼,0人关注 / 3个月以前发布,33.8,"3,823元/平"
急售 此房有本 看房方便 户型好,外贸15号院 -群众路,3室2厅 | 71平米 | 东 西 | 简装 | 中楼层(共6层)  | 板塔结合,4人关注 / 4个月以前发布,19,"2,677元/平"
高新天下汇后面，高铁南站旁，交通便利,盛园锦都 -高新区,3室2厅 | 126.24平米 | 南 北 | 精装 | 高楼层(共21层)  | 板塔结合,0人关注 / 5个月以前发布,78,"6,179元/平"
大庆路多层中间楼层 93平 3室1厅 南北通透  价位可谈,雅典丽舍小区 -大庆路,3室1厅 | 93平米 | 南 北 | 其他 | 中楼层(共7层)  | 塔楼,0人关注 / 2个月以前发布,43,"4,624元/平"
此房位置优越，环境优美，户型方正经典 房子是精装修,轩苑盛世二期A区 -新福路,2室1厅 | 94平米 | 南 北 | 精装 | 高楼层(共33层)  | 板塔结合,0人关注 / 2个月以前发布,58,"6,171元/平"
轩苑盛世精装 电梯3室 有本可按揭,轩苑盛世 -新福路,3室1厅 | 105.89平米 | 东 南 | 精装 | 高楼层(共33层)  | 板塔结合,0人关注 / 1个月以前发布,56.9,"5,374元/平"
业主急售 店子街低楼层 户型方正全明户型 南北通透,宝运花园 -上马营,2室1厅 | 77.6平米 | 南 北 | 简装 | 7层  | 板楼,0人关注 / 11天以前发布,30,"3,866元/平"
桥南 绿舟小区 多层三楼 看房方便 价位可谈,绿舟小区 -桥南,2室2厅 | 105.7平米 | 南 北 | 简装 | 中楼层(共7层)  | 板楼,5人关注 / 7个月以前发布,37,"3,501元/平"
此房公摊小，明厨明卫，采光好；精装修，楼间距大。,百翠园 -新福路,2室2厅 | 101.53平米 | 南 北 | 精装 | 高楼层(共11层)  | 板楼,2人关注 / 4个月以前发布,54,"5,319元/平"
桥南繁华地段人民公园近多层无公摊两室可按揭,新烽火盛華園 -桥南,2室2厅 | 81.76平米 | 南 北 | 简装 | 中楼层(共6层)  | 板楼,0人关注 / 1个月以前发布,34,"4,159元/平"
高新二路 电梯房 标准一室 房本满二可按揭 近高铁,城市枫景 -高新区,1室1厅 | 65.62平米 | 北 | 简装 | 低楼层(共26层)  | 板塔结合,0人关注 / 3个月以前发布,36.5,"5,563元/平"
精装两室 楼层好 采光好  电梯房,三迪加州阳光小区 -三迪,2室2厅 | 87.51平米 | 北 | 精装 | 中楼层(共33层)  | 板塔结合,1人关注 / 3个月以前发布,52,"5,943元/平"
精装婚房  入住半年 南北通透 全明户型,玉泉花园北区 -桥南,2室2厅 | 97.4平米 | 南 北 | 精装 | 中楼层(共7层)  | 平房,8人关注 / 一年前发布,40.8,"4,189元/平"
宝钛新区丨一楼好房丨适合老人和便宜小两室客户丨,宝钛新区 -高新区,2室2厅 | 79.56平米 | 南 北 | 精装 | 低楼层(共6层)  | 板塔结合,0人关注 / 3个月以前发布,37.8,"4,752元/平"
桥南 精装南北通透双阳台 全明户型采光好手续齐全,凯跃欧洲城 -桥南,2室2厅 | 93.11平米 | 南 北 | 精装 | 低楼层(共26层)  | 板塔结合,1人关注 / 2个月以前发布,55,"5,907元/平"
桥南 凯跃欧洲城 精装两室 全明户型 采光好 中间楼层,凯跃欧洲城 -桥南,2室2厅 | 94.41平米 | 西南 | 精装 | 中楼层(共26层)  | 板塔结合,0人关注 / 3个月以前发布,55,"5,826元/平"
新福路东段 两室精装 拎包入住 看房方便 无抵押无大税,轩苑臻品 -新福路,2室2厅 | 93.43平米 | 南 北 | 精装 | 低楼层(共6层)  | 板楼,5人关注 / 4个月以前发布,48,"5,138元/平"
新建路西段优质小区两室房源诚意出售,天上人间都市花园 -火车站,2室2厅 | 94.57平米 | 东 西 | 简装 | 高楼层(共7层)  | 塔楼,16人关注 / 一年前发布,27.8,"2,940元/平"
陈仓园  大两室  靠河提   安静环境好,陈仓园 -陈仓园,2室2厅 | 83.27平米 | 南 北 | 简装 | 中楼层(共7层)  | 板楼,0人关注 / 3个月以前发布,29.5,"3,543元/平"
电梯房  好楼层  房龄新  精装修  产权清晰  支持按揭,公交三公司家属院 -卧龙寺,2室1厅 | 96.96平米 | 西南 | 精装 | 中楼层(共18层)  | 板楼,1人关注 / 5个月以前发布,41.5,"4,281元/平"
高新佳园三期丨多层二楼丨精装全带丨南北通风丨本满二,高新佳园三期 -高新区,2室2厅 | 90.18平米 | 东南 | 精装 | 中楼层(共5层)  | 板楼,0人关注 / 3个月以前发布,46,"5,101元/平"
长青佳园 3室1厅 南 北,长青佳园 -西关,3室1厅 | 92平米 | 南 北 | 简装 | 中楼层(共7层)  | 板楼,0人关注 / 15天以前发布,39,"4,240元/平"
大型社区 烽火新村 南北通透 明厨明卫 低楼层2室,烽火新村 -桥南,2室1厅 | 69平米 | 南 北 | 简装 | 低楼层(共6层)  | 板楼,0人关注 / 10天以前发布,31.6,"4,580元/平"
清姜繁华地段 电梯房 生活配套齐全 交通便利,盛华大厦 -桥南,2室1厅 | 75.37平米 | 南 | 精装 | 低楼层(共23层)  | 板塔结合,0人关注 / 3天以前发布,28.3,"3,755元/平"
河景房一室一厅 户型方正 结构合理 精装修拎包入住,滨河花园(渭滨区) -火车站,1室1厅 | 85.31平米 | 南 北 | 精装 | 中楼层(共30层)  | 板塔结合,0人关注 / 2个月以前发布,35.5,"4,162元/平"
东高新二路 大三室 带阳光房 南北通透 楼层好 采光好,万润城市花园 -高新区,3室2厅 | 148.95平米 | 南 北 | 精装 | 低楼层(共6层)  | 板楼,15人关注 / 10个月以前发布,81,"5,439元/平"
渭工路，出门就是渭河公园，两室拎包入住，房子干净,西堤住宅小区 -火车站,2室2厅 | 98.38平米 | 南 | 简装 | 中楼层(共7层)  | 板楼,0人关注 / 2个月以前发布,33.7,"3,426元/平"
业主急售经二路上精装修三室住宅楼一套,壹号大院 -火车站,3室2厅 | 127.02平米 | 南 北 | 简装 | 低楼层(共31层)  | 板楼,2人关注 / 5个月以前发布,78,"6,141元/平"
银泰商圈河景房.南北.户型.装修好.业主诚心出售.,东岭新时代(金台区) -陈仓园,3室2厅 | 136.83平米 | 南 北 | 精装 | 低楼层(共16层)  | 板塔结合,0人关注 / 2个月以前发布,69,"5,043元/平"
业主急售，一楼精装，渭河公园炎帝园旁,红旗路48号院 -火车站,2室2厅 | 79.88平米 | 东 西 | 简装 | 低楼层(共7层)  | 暂无数据,0人关注 / 6个月以前发布,30.2,"3,781元/平"
高新一路 精装大三室 电梯中层 前后无遮挡 视野好,高新名门 -高新区,3室2厅 | 141平米 | 南 | 精装 | 中楼层(共27层)  | 塔楼,0人关注 / 3个月以前发布,81,"5,745元/平"
电梯凤凰层，全新精装两年，南北通透大三室，等您回家,臻和天下 -高新区,3室2厅 | 129.29平米 | 南 北 | 精装 | 高楼层(共30层)  | 板塔结合,26人关注 / 一年前发布,78,"6,033元/平"
高新三路 田丰高新国际 带地下室出售 房本满五可按揭,田丰高新国际 -高新区,2室2厅 | 105.18平米 | 南 北 | 简装 | 7层  | 板楼,1人关注 / 2个月以前发布,50.8,"4,830元/平"
高新五路 次新房  一楼带花园带车位的大三居  可按揭,华厦·世界城 -高新区,3室2厅 | 140.98平米 | 南 北 | 精装 | 低楼层(共26层)  | 板楼,19人关注 / 6个月以前发布,110,"7,803元/平"
