标题,开发商,房子信息,发布信息,售价/万,单价
金港静园，带20平大露台，精装2+1户型，业主诚心卖,金港静园 -路北区,2室1厅 | 97.52平米 | 南 北 | 精装 | 低楼层(共23层)  | 板楼,0人关注 / 29天以前发布,123,"12,613元/平"
祥荣里  经典三居室 老本 钥匙房,祥荣里小区 -路北区,3室1厅 | 118.82平米 | 南 北 | 简装 | 高楼层(共6层)  | 板楼,24人关注 / 一年前发布,100,"8,417元/平"
中间楼层，配套实施齐全。采光充足。停车方便,新世界水景花苑 -丰南区,3室2厅 | 117.11平米 | 北 南 | 简装 | 高楼层(共6层)  | 暂无数据,0人关注 / 9个月以前发布,61,"5,209元/平"
鹭港小区 三居室老本，婚房装修，不把边不临街。,鹭港小区 -路北区,3室1厅 | 125.4平米 | 南 北 | 精装 | 低楼层(共25层)  | 板楼,2人关注 / 2个月以前发布,170,"13,557元/平"
福乐园精致两居  一层一层  楼前无遮挡 老本省税,常泰里福乐园 -路南区,2室1厅 | 75.9平米 | 南 北 | 精装 | 低楼层(共6层)  | 板楼,22人关注 / 10个月以前发布,86,"11,331元/平"
红日楼 3室2厅 南 北,红日楼 -丰南区,3室2厅 | 125.46平米 | 南 北 | 精装 | 高楼层(共6层)  | 板楼,2人关注 / 5个月以前发布,66.6,"5,309元/平"
金港静园 2室1厅 南 北,金港静园 -路北区,2室1厅 | 101.75平米 | 南 北 | 其他 | 中楼层(共18层)  | 板楼,0人关注 / 29天以前发布,123,"12,089元/平"
22小区 1室1厅 南 北,22小区 -丰润区,1室1厅 | 48.98平米 | 南 北 | 简装 | 高楼层(共6层)  | 板楼,0人关注 / 23天以前发布,29.5,"6,023元/平"
金洋御景 2室2厅 南 东,金洋御景 -路北区,2室2厅 | 84.97平米 | 南 东 | 其他 | 高楼层(共19层)  | 板楼,0人关注 / 8天以前发布,91,"10,710元/平"
锦绣天地 3室1厅 南 北,锦绣天地 -丰南区,3室1厅 | 94.25平米 | 南 北 | 毛坯 | 低楼层(共33层)  | 板楼,1人关注 / 29天以前发布,69,"7,321元/平"
友谊楼 3室1厅 南,友谊楼 -丰南区,3室1厅 | 76.7平米 | 南 | 简装 | 低楼层(共4层)  | 板楼,0人关注 / 17天以前发布,40,"5,216元/平"
荣盛锦绣天城 3室2厅 南 北,荣盛锦绣天城 -丰南区,3室2厅 | 144平米 | 南 北 | 其他 | 中楼层(共27层)  | 暂无数据,0人关注 / 10天以前发布,135,"9,375元/平"
都市花园小区 2室2厅 南 北,都市花园小区 -高新区,2室2厅 | 96.45平米 | 南 北 | 简装 | 中楼层(共5层)  | 板楼,2人关注 / 3个月以前发布,120,"12,442元/平"
翔云北里建欣园 2室2厅 南 北,翔云北里建欣园 -路北区,2室2厅 | 116.41平米 | 南 北 | 其他 | 高楼层(共32层)  | 板楼,0人关注 / 8天以前发布,107,"9,192元/平"
此房老本 三阳开间 户型好过户费低 带地下室看房方便,丽水馨苑 -丰南区,3室1厅 | 114.73平米 | 南 北 | 精装 | 中楼层(共28层)  | 板楼,0人关注 / 1个月以前发布,73,"6,363元/平"
远洋城双阳住室北客厅，2层 老本可过户 忒好,东方花苑 -高新区,2室2厅 | 76.57平米 | 南 北 | 简装 | 低楼层(共6层)  | 板楼,12人关注 / 一年前发布,98,"12,799元/平"
全天采光，方正全明三居室，位置好,正泰里惠民园 -路北区,3室1厅 | 118.66平米 | 南 北 | 其他 | 高楼层(共18层)  | 板楼,0人关注 / 14天以前发布,95,"8,007元/平"
部西里 2室1厅 南 东,部西里 -路北区,2室1厅 | 55.59平米 | 南 东 | 简装 | 中楼层(共6层)  | 暂无数据,0人关注 / 8天以前发布,58,"10,434元/平"
老本唯一  中间楼层  钥匙房,光明南里 -路北区,2室1厅 | 75.51平米 | 南 北 | 简装 | 中楼层(共5层)  | 板楼,23人关注 / 9个月以前发布,64,"8,476元/平"
园北小区西区 2室2厅 南 北,园北小区西区 -丰润区,2室2厅 | 76.82平米 | 南 北 | 其他 | 高楼层(共6层)  | 板楼,0人关注 / 6天以前发布,62,"8,071元/平"
双湖锦苑二期 3室2厅 南 北,双湖锦苑二期 -丰南区,3室2厅 | 139.85平米 | 南 北 | 其他 | 中楼层(共16层)  | 板塔结合,13人关注 / 一年前发布,120,"8,581元/平"
龙泉西里南北通透三室两卫双卧和客厅都朝南带地下室。,龙泉西里 -路北区,3室2厅 | 102.69平米 | 南 北 | 其他 | 高楼层(共6层)  | 板塔结合,16人关注 / 一年前发布,100,"9,739元/平"
银城一期的房子，曾经的婚房，可拎包入住，双证老本,银城花园 -丰南区,2室1厅 | 75.98平米 | 南 北 | 其他 | 中楼层(共5层)  | 板楼,17人关注 / 9个月以前发布,32.8,"4,317元/平"
明珠都市花园 一层带小院 三居室 带地下室 带装修,明珠都市花園 -丰南区,3室2厅 | 130.56平米 | 南 北 | 简装 | 低楼层(共6层)  | 板楼,15人关注 / 8个月以前发布,107,"8,196元/平"
星河湾   交通便利  生活方便   ....,星河湾 -丰南区,3室2厅 | 95.96平米 | 南 | 其他 | 中楼层(共18层)  | 板塔结合,0人关注 / 8天以前发布,60,"6,253元/平"
户型好，南北通透，全明户型，品质住宅，改善型住宅,禹洲嘉誉瀞湖 -丰南区,4室1厅 | 130.01平米 | 南 北 | 其他 | 高楼层(共27层)  | 板楼,5人关注 / 5个月以前发布,83,"6,385元/平"
满五唯一产权清晰南北通透户型 中间层 看房有钥匙,电建地产首郡 -路北区,3室1厅 | 118.58平米 | 南 北 | 简装 | 中楼层(共28层)  | 板楼,29人关注 / 4个月以前发布,186,"15,686元/平"
金港国际  南北通  全明户型,金港静园 -路北区,2室2厅 | 95.43平米 | 南 北 | 简装 | 高楼层(共23层)  | 板楼,47人关注 / 一年前发布,115,"12,051元/平"
房主诚意出售，看房有钥匙。。。,富华东里惠仁楼 -高新区,2室2厅 | 76.13平米 | 南 北 | 简装 | 低楼层(共6层)  | 板楼,5人关注 / 4个月以前发布,88,"11,560元/平"
鹭港小区电梯房小高层三室钥匙房源能贷款,鹭港小区 -路北区,3室2厅 | 124.19平米 | 南 北 | 简装 | 中楼层(共12层)  | 板塔结合,23人关注 / 一年前发布,162,"13,045元/平"
万科金域华府二期 3室2厅 南 北,万科金域华府二期 -路北区,3室2厅 | 139.04平米 | 南 北 | 其他 | 高楼层(共32层)  | 板楼,0人关注 / 6天以前发布,279,"20,067元/平"
凤城国贸  邻爱琴海 精装修 诚心出售 价格可议,凤城国贸 -路北区,2室1厅 | 81.02平米 | 西 | 精装 | 中楼层(共26层)  | 板楼,17人关注 / 4个月以前发布,88,"10,862元/平"
48号小区友谊北中层3室户型好位置好可贷款配套齐全！,友谊北楼 -路北区,3室1厅 | 68.56平米 | 南 北 | 简装 | 中楼层(共5层)  | 板楼,9人关注 / 4个月以前发布,85,"12,398元/平"
银城花园 2室2厅 南 北,银城花园 -丰南区,2室2厅 | 76.5平米 | 南 北 | 简装 | 低楼层(共3层)  | 暂无数据,5人关注 / 一年前发布,28.7,"3,752元/平"
双湖二期北苑商品满五唯一次顶层带家具家电看房方便,双湖锦苑二期 -丰南区,2室2厅 | 108.39平米 | 南 北 | 精装 | 高楼层(共16层)  | 板楼,0人关注 / 1个月以前发布,95,"8,765元/平"
祥富里 价格可以议 急售 看房方便 无遮挡 老本,祥富里 -路北区,2室1厅 | 58.65平米 | 南 北 | 简装 | 中楼层(共6层)  | 板楼,1人关注 / 3个月以前发布,63,"10,742元/平"
万科的房子，每个人一生都要住一次万科的，,万科公园大道•顺泰园 -路北区,2室1厅 | 86.96平米 | 南 北 | 精装 | 低楼层(共24层)  | 板楼,15人关注 / 一年前发布,103,"11,845元/平"
雅颂居好户型，，南北通，，环境好,雅颂居 -路北区,2室2厅 | 124.58平米 | 南 北 | 精装 | 中楼层(共18层)  | 板楼,18人关注 / 一年前发布,230,"18,463元/平"
新上祥和里，一室房子，低总价，生活便利,祥和里 -路北区,1室1厅 | 46.39平米 | 南 北 | 简装 | 高楼层(共6层)  | 板楼,2人关注 / 6个月以前发布,36,"7,761元/平"
德源里，一层，一居，南北朝向，老本，采光好无遮挡,德源里 -路北区,1室1厅 | 46.27平米 | 南 北 | 简装 | 低楼层(共6层)  | 板楼,6人关注 / 8个月以前发布,58,"12,536元/平"
鹭港小区，一室出售，交通好，位置好，诚意出售,鹭港小区 -路北区,1室1厅 | 48.79平米 | 北 | 精装 | 中楼层(共26层)  | 板楼,0人关注 / 1个月以前发布,53,"10,863元/平"
南北通透可贷款，楼层好全天采光。,许庄南里 -路北区,2室1厅 | 57.66平米 | 南 北 | 简装 | 中楼层(共5层)  | 板楼,22人关注 / 一年前发布,68,"11,794元/平"
德源里小区低楼层，老本，必卖房。,德源里 -路北区,2室2厅 | 56.23平米 | 南 北 | 简装 | 低楼层(共6层)  | 板楼,20人关注 / 6个月以前发布,70,"12,449元/平"
翔云家园二期 2室1厅 南,翔云家园二期 -丰南区,2室1厅 | 82.07平米 | 南 | 简装 | 中楼层(共18层)  | 暂无数据,0人关注 / 4天以前发布,60,"7,311元/平"
步梯二层适合养老，房东诚心出售，看房方便,老国税楼 -丰南区,2室1厅 | 88.9平米 | 南 北 | 简装 | 中楼层(共4层)  | 暂无数据,0人关注 / 5天以前发布,51,"5,737元/平"
小高层 精装修 有本商品房 中间楼层,湖岸新城 -丰南区,2室1厅 | 98平米 | 南 北 | 其他 | 中楼层(共17层)  | 板塔结合,0人关注 / 3天以前发布,65,"6,633元/平"
位置好，交通便利，出行方便，小区设施配套齐全,鹭港小区 -路北区,3室1厅 | 112.24平米 | 南 北 | 简装 | 高楼层(共6层)  | 板楼,0人关注 / 9天以前发布,95,"8,465元/平"
天元花园，两室一厅，南北通户型,天元花园 -路北区,2室2厅 | 92.5平米 | 南 北 | 精装 | 高楼层(共6层)  | 板楼,1人关注 / 1个月以前发布,118,"12,757元/平"
远洋城商圈跃层，凤宁花园 公摊面积小业主着急出售,凤宁花园 -路北区,4室2厅 | 184.68平米 | 南 北 | 精装 | 高楼层(共11层)  | 板楼,71人关注 / 一年前发布,199.9,"10,825元/平"
繁荣花园3室2厅2卫南北通透大客厅可贷款位置好配套全,繁荣花园 -路北区,3室2厅 | 126.23平米 | 南 北 | 简装 | 中楼层(共11层)  | 暂无数据,1人关注 / 1个月以前发布,185,"14,656元/平"
远洋城商圈 龙泉小三居 满五唯一 采光好视野开阔,金色河畔 -高新区,3室2厅 | 88.5平米 | 南 北 | 简装 | 高楼层(共17层)  | 板楼,19人关注 / 一年前发布,102,"11,526元/平"
洋房不临街没底商，南北通，老本，地理位置好,鹭港小区 -路北区,4室2厅 | 187.6平米 | 南 北 西 | 简装 | 低楼层(共12层)  | 板塔结合,0人关注 / 30天以前发布,300,"15,992元/平"
此房老本唯一，两室南北通透户型方正，采光好。,凤祥园 -路北区,2室2厅 | 97.57平米 | 南 北 | 简装 | 高楼层(共6层)  | 板楼,1人关注 / 2个月以前发布,82,"8,405元/平"
店长推荐，央企开发，大院，明厨明卫，装修后零甲醛。,电建地产首郡 -路北区,3室2厅 | 105.74平米 | 南 北 | 精装 | 中楼层(共26层)  | 板楼,24人关注 / 5个月以前发布,185,"17,496元/平"
交通便捷 元宝户型 有装修  老本唯一  卖房置换房产,金色家园 -路北区,3室1厅 | 141.43平米 | 南 北 | 精装 | 高楼层(共18层)  | 板楼,4人关注 / 3个月以前发布,180,"12,728元/平"
君熙太和  毛坯 诚心出售 随时看房,君熙太和 -丰南区,4室2厅 | 177平米 | 南 北 | 毛坯 | 高楼层(共15层)  | 板楼,2人关注 / 一年前发布,168,"9,492元/平"
南湖旁 红堡三期 小高层 单梯入户 独立电梯厅,仁泰里金岸红堡 -路南区,3室2厅 | 127平米 | 南 北 | 其他 | 中楼层(共11层)  | 板楼,0人关注 / 29天以前发布,168,"13,229元/平"
星河湾 2室1厅 南,星河湾 -丰南区,2室1厅 | 82平米 | 南 | 简装 | 高楼层(共18层)  | 暂无数据,0人关注 / 19天以前发布,51,"6,220元/平"
地处唐山地段个大商圈云集。交通便利,河茵北里 -高新区,2室1厅 | 59.12平米 | 西南 | 简装 | 高楼层(共7层)  | 板楼,2人关注 / 3个月以前发布,45,"7,612元/平"
13小区    次顶  边三.室精装修  明厨明卫,十三小区 -丰润区,2室1厅 | 55.13平米 | 南 北 | 其他 | 高楼层(共6层)  | 板塔结合,0人关注 / 4个月以前发布,41,"7,437元/平"
唐钢小区+二层好楼层+老本+总价低,唐钢社区 -开平区,2室1厅 | 50.5平米 | 南 北 | 简装 | 中楼层(共5层)  | 板楼,0人关注 / 12天以前发布,28,"5,545元/平"
视野开阔 无遮挡，交通便利 出行方便，配套齐全。,河茵里 -高新区,2室1厅 | 61.5平米 | 南 北 | 简装 | 中楼层(共6层)  | 板楼,2人关注 / 一年前发布,62,"10,082元/平"
立新东楼 3室1厅 南 北,立新东楼 -路南区,3室1厅 | 68平米 | 南 北 | 简装 | 高楼层(共5层)  | 板楼,16人关注 / 一年前发布,62,"9,118元/平"
老本 两室 挨着唐山一中 精装修,鹭港小区 -路北区,2室2厅 | 80.68平米 | 西 东 | 简装 | 低楼层(共18层)  | 板塔结合,42人关注 / 一年前发布,87,"10,784元/平"
兴泰里 2室1厅 南 北,兴泰里 -路南区,2室1厅 | 86平米 | 南 北 | 其他 | 低楼层(共18层)  | 板楼,0人关注 / 12天以前发布,78,"9,070元/平"
友谊里 两室 老本唯一 诚心出售 看房方便,友谊里 -路南区,2室1厅 | 71.06平米 | 东北 | 简装 | 中楼层(共6层)  | 板楼,3人关注 / 一年前发布,57,"8,022元/平"
双阳面两室，老本可贷款，接受贷款，诚心出售,河北三号小区 -高新区,2室1厅 | 50.94平米 | 南 | 其他 | 高楼层(共5层)  | 板楼,0人关注 / 14天以前发布,29.5,"5,792元/平"
有房本.位置佳.价格合适.房主诚心出售,世纪龙庭C区 -高新区,2室1厅 | 79.81平米 | 南 | 简装 | 中楼层(共24层)  | 塔楼,14人关注 / 一年前发布,75,"9,398元/平"
经典一居户型 层次好 位置好 老本可贷款,华岩东里社区 -路北区,1室1厅 | 36平米 | 南 | 简装 | 中楼层(共5层)  | 板楼,13人关注 / 一年前发布,39,"10,834元/平"
缸窑里和顺园 2室2厅 南 北,缸窑里和顺园 -路北区,2室2厅 | 94平米 | 南 北 | 其他 | 中楼层(共11层)  | 板楼,0人关注 / 13天以前发布,76,"8,086元/平"
机场路南里 0室0厅 南,机场路南里 -路北区,0室0厅 | 42.46平米 | 南 | 其他 | 中楼层(共4层)  | 板楼,0人关注 / 5个月以前发布,36,"8,479元/平"
南湖片区 金色和园 南北通H户型 明厨明卫 带地下室,金色和园 -路南区,2室2厅 | 87平米 | 南 北 | 简装 | 高楼层(共18层)  | 板楼,0人关注 / 14天以前发布,118,"13,564元/平"
翔云北里建欣园 2室2厅 南,翔云北里建欣园 -路北区,2室2厅 | 83.96平米 | 南 | 其他 | 高楼层(共32层)  | 板楼,0人关注 / 9天以前发布,78,"9,291元/平"
翔云北里建欣园 2室2厅 南 北,翔云北里建欣园 -路北区,2室2厅 | 116.41平米 | 南 北 | 其他 | 高楼层(共32层)  | 板楼,0人关注 / 9天以前发布,107,"9,192元/平"
西北新楼一层1室1厅37平双阳台老本35.5万开一后身,西北新楼社区 -路北区,1室1厅 | 36.4平米 | 南 | 简装 | 低楼层(共5层)  | 板楼,8人关注 / 8个月以前发布,35.5,"9,753元/平"
精装老本小两居，带露台，阳台有外扩,金色玺园 -路北区,2室1厅 | 60.73平米 | 南 | 其他 | 低楼层(共11层)  | 板楼,11人关注 / 11个月以前发布,78,"12,844元/平"
草场社区 1室0厅 南,草场社区 -路北区,1室0厅 | 35.32平米 | 南 | 精装 | 中楼层(共4层)  | 板楼,0人关注 / 15天以前发布,32.5,"9,202元/平"
老本唯一 视野好 明厨明卫 通风效果很好 公摊小,许庄南里方建楼 -路北区,2室2厅 | 60.64平米 | 南 北 | 简装 | 中楼层(共6层)  | 板塔结合,6人关注 / 8个月以前发布,68,"11,214元/平"
房主诚心出售，骏安园温馨两居室,骏安园北区 -路北区,2室1厅 | 91.36平米 | 南 | 毛坯 | 高楼层(共28层)  | 板楼,0人关注 / 4个月以前发布,82,"8,976元/平"
此房为老本的房子，配套设施成熟，带装修采光好,阳光家园城北楼 -丰南区,2室2厅 | 86平米 | 南 北 | 简装 | 高楼层(共6层)  | 板楼,0人关注 / 8个月以前发布,38,"4,419元/平"
机场路烧烤夜市 4层 房主急售,和平楼社区 -路北区,1室1厅 | 35平米 | 南 | 简装 | 中楼层(共5层)  | 板楼,1人关注 / 5个月以前发布,42,"12,000元/平"
3小区 三层 落地窗 精装修可以拎包入住,唐车小区 -丰润区,2室1厅 | 56.67平米 | 南 北 | 其他 | 中楼层(共5层)  | 板楼,0人关注 / 13天以前发布,52.8,"9,318元/平"
钢启新村 一室南北通 精装修 一天没住,钢啟新村 -路北区,1室1厅 | 39.85平米 | 南 | 精装 | 低楼层(共2层)  | 暂无数据,2人关注 / 3个月以前发布,25,"6,274元/平"
翔云北里建欣园 2室2厅 南,翔云北里建欣园 -路北区,2室2厅 | 83.96平米 | 南 | 简装 | 高楼层(共32层)  | 板楼,0人关注 / 9天以前发布,78,"9,291元/平"
唐宁湾 有本可贷款 精装修 采光好,唐宁湾 -路北区,2室2厅 | 84平米 | 南 | 精装 | 高楼层(共22层)  | 板塔结合,0人关注 / 14天以前发布,77,"9,167元/平"
房子老本 可贷款 精装未住 随时看房,龙凤嘉苑 -丰南区,2室2厅 | 86.96平米 | 南 北 | 其他 | 高楼层(共6层)  | 暂无数据,6人关注 / 一年前发布,25.5,"2,933元/平"
十三小区 2室1厅 南,十三小区 -丰润区,2室1厅 | 51.5平米 | 南 | 其他 | 低楼层(共5层)  | 板塔结合,0人关注 / 13天以前发布,49.8,"9,670元/平"
凤凰新城挨着一中，老本好租，带装修。,鹭港小区 -路北区,2室1厅 | 80.3平米 | 西 北 | 精装 | 低楼层(共26层)  | 板楼,11人关注 / 5个月以前发布,79.9,"9,951元/平"
仁泰里南北通采光好两居室，可贷款。,仁泰里 -路北区,2室2厅 | 87.72平米 | 南 北 | 简装 | 高楼层(共17层)  | 板楼,35人关注 / 11个月以前发布,62,"7,068元/平"
南北通H户型两居  小公摊居住实惠  诚意出售价格可议,龙悦新居 -高新区,2室2厅 | 86.93平米 | 南 北 | 简装 | 高楼层(共6层)  | 板楼,16人关注 / 5个月以前发布,80,"9,203元/平"
此房满五唯一，格局好，楼层好，保养好,龙华里益民园 -高新区,2室2厅 | 100平米 | 南 北 | 其他 | 高楼层(共11层)  | 板楼,6人关注 / 8个月以前发布,120,"12,000元/平"
金都一层 养老房  老本 窗户新还的 拎包入住,金都花园 -丰南区,2室2厅 | 89.83平米 | 南 北 | 精装 | 低楼层(共6层)  | 板楼,0人关注 / 20天以前发布,68,"7,570元/平"
三室南北通，通风比较好，业主诚心出售,六合轩府 -路北区,3室1厅 | 131.8平米 | 南 北 | 精装 | 高楼层(共25层)  | 板楼,1人关注 / 21天以前发布,175,"13,278元/平"
9层洋房里6层，全天采光，南北正通飞机带翅膀户型,天源骏景 -路北区,3室2厅 | 148.6平米 | 南 北 | 精装 | 中楼层(共9层)  | 板楼,1人关注 / 31天以前发布,258,"17,363元/平"
万科洋房小三居一层带30平米小院子精装修,常泰西里安泰园 -路北区,3室1厅 | 99.7平米 | 南 北 | 精装 | 低楼层(共5层)  | 暂无数据,0人关注 / 28天以前发布,165,"16,550元/平"
天云家园小区大两居南北可贷款拎包入住,燕新里天云家园 -路南区,2室1厅 | 110.98平米 | 南 北 | 简装 | 高楼层(共17层)  | 板塔结合,1人关注 / 一年前发布,158,"14,237元/平"
物业费低，抗震效果好，老本省税。格局设计合理,天元花园 -路北区,3室2厅 | 137平米 | 南 北 | 其他 | 高楼层(共10层)  | 板楼,7人关注 / 4个月以前发布,210,"15,329元/平"
锦绣阅山 2室1厅 南 北,锦绣阅山 -丰南区,2室1厅 | 91.09平米 | 南 北 | 其他 | 高楼层(共27层)  | 板塔结合,0人关注 / 5天以前发布,85,"9,332元/平"
房主诚意出售，看房提前联系。。。。。。,都市花园小区 -高新区,2室2厅 | 101.32平米 | 南 北 | 简装 | 低楼层(共6层)  | 板楼,2人关注 / 4个月以前发布,136,"13,423元/平"
此房产权清晰，有地下室，有车位，楼层高，采光好,世纪龙庭C区 -高新区,3室2厅 | 116.56平米 | 南 北 | 简装 | 中楼层(共17层)  | 板楼,2人关注 / 1个月以前发布,180,"15,443元/平"
房主诚心出售  看房方便  位置好,建华里逸翠园小区 -路北区,3室2厅 | 134.33平米 | 南 北 | 其他 | 中楼层(共18层)  | 暂无数据,1人关注 / 1个月以前发布,163,"12,135元/平"
壹零壹大平层三室两厅两卫 楼层好精装拎包住 老本唯一,唐城·壹零壹 -路北区,3室2厅 | 172平米 | 南 北 | 精装 | 低楼层(共32层)  | 板楼,1人关注 / 4个月以前发布,379,"22,035元/平"
景泰翰林三室 南北通透         改善住房,景泰翰林东区 -路北区,3室1厅 | 124.74平米 | 南 北 | 其他 | 低楼层(共15层)  | 板楼,1人关注 / 2个月以前发布,166,"13,308元/平"
成熟的生活社区，出行方便，精装修，户型好,诚成尚品 -路北区,2室2厅 | 101.74平米 | 南 北 | 其他 | 中楼层(共18层)  | 塔楼,0人关注 / 2个月以前发布,128,"12,582元/平"
明珠都市花園 3室1厅 南 北,明珠都市花園 -丰南区,3室1厅 | 122.17平米 | 南 北 | 简装 | 高楼层(共6层)  | 板楼,1人关注 / 2个月以前发布,56.5,"4,625元/平"
诚心出售 凤南小区三层相当合适的一套 不把边 不临街,凤南 -路北区,3室1厅 | 71.21平米 | 南 北 | 简装 | 中楼层(共4层)  | 板楼,13人关注 / 一年前发布,76,"10,673元/平"
恒大学庭   南北三居   精装修  无遮挡,恒大学庭 -高新区,3室1厅 | 122平米 | 南 北 | 精装 | 中楼层(共26层)  | 板楼,5人关注 / 5个月以前发布,175,"14,345元/平"
金色河畔 3室1厅 南 北,金色河畔 -高新区,3室1厅 | 88.5平米 | 南 北 | 其他 | 低楼层(共17层)  | 板楼,9人关注 / 8个月以前发布,96,"10,848元/平"
公摊小，精装修，有固定车位，地下室,蓝天家园 -路北区,3室1厅 | 113.72平米 | 南 北 | 精装 | 高楼层(共6层)  | 暂无数据,76人关注 / 6个月以前发布,66,"5,804元/平"
下跃  有花园  南北通  万科物业,万科翡翠蓝山 -高新区,2室2厅 | 173平米 | 南 北 | 毛坯 | 低楼层(共18层)  | 暂无数据,27人关注 / 一年前发布,162,"9,365元/平"
此房是南北通户型，楼层好，格局好，全天采光,友谊楼 -丰南区,2室1厅 | 71.36平米 | 南 北 | 简装 | 中楼层(共4层)  | 暂无数据,0人关注 / 12天以前发布,36,"5,045元/平"
爱琴海商圈 健康楼社区2室1厅1卫1 厨56.57平 70 可议,健康楼社区 -路北区,2室1厅 | 56.57平米 | 南 北 | 简装 | 高楼层(共4层)  | 板楼,0人关注 / 7天以前发布,65,"11,491元/平"
电梯房  满五且唯一  总价低 诚意卖,六合嘉园 -路南区,2室1厅 | 88.01平米 | 南 北 | 简装 | 低楼层(共15层)  | 板楼,5人关注 / 11个月以前发布,97,"11,022元/平"
远洋城商圈 惠安楼 南北通 层次好 采光好 云天广场,富华东里惠安楼 -高新区,1室1厅 | 45.2平米 | 南 北 | 简装 | 中楼层(共6层)  | 板楼,2人关注 / 8个月以前发布,50,"11,062元/平"
河茵公寓 1室1厅 北,河茵公寓 -高新区,1室1厅 | 48.2平米 | 北 | 简装 | 中楼层(共25层)  | 塔楼,0人关注 / 1个月以前发布,37.5,"7,781元/平"
仁泰里 2室1厅 南,仁泰里 -路北区,2室1厅 | 89.95平米 | 南 | 简装 | 低楼层(共27层)  | 板楼,8人关注 / 一年前发布,72,"8,005元/平"
世博！精装修！单价10000，，全天采光，拎包入住,世博广场 -路南区,1室1厅 | 62.87平米 | 南 | 精装 | 高楼层(共32层)  | 板塔结合,5人关注 / 一年前发布,64,"10,180元/平"
