标题,开发商,房子信息,发布信息,售价/万,单价
西部新城 园林小区 电梯房 装修保养好 关门卖拎包入住,阳光路苑三期 -城南片区,3室2厅 | 76.36平米 | 西 | 其他 | 低楼层(共18层)  | 塔楼,1人关注 / 7天以前发布,58.8,"7,701元/平"
好的房子不是用来欣赏的 是用来享受的,碧海蓝天 -城南片区,3室2厅 | 129.9平米 | 南 | 简装 | 中楼层(共11层)  | 塔楼,9人关注 / 一年前发布,112.8,"8,684元/平"
二楼，南北朝向，明厨明卫，房型方正，支持按揭贷款。,会理县人民医院家属楼 -会理县,3室2厅 | 92.28平米 | 南 北 | 简装 | 中楼层(共5层)  | 暂无数据,5人关注 / 5个月以前发布,40,"4,335元/平"
金色学府，小区环境好。西部新城中间，这边--*/,正黄金色学府 -西部新城片区,3室2厅 | 72平米 | 南 北 | 毛坯 | 高楼层(共18层)  | 板楼,2人关注 / 3个月以前发布,68,"9,445元/平"
新仓库电梯房，户型方正，采光好,丝绸苑小区 -三岔口片区,2室2厅 | 80.24平米 | 南 | 其他 | 低楼层(共16层)  | 暂无数据,0人关注 / 5天以前发布,65,"8,101元/平"
距离长安菜市200米左右。经典错层设计,欧典嘉园 -长安片区,3室2厅 | 138平米 | 北 | 其他 | 中楼层(共7层)  | 板楼,0人关注 / 25天以前发布,96.6,"7,000元/平"
此房满五唯一标准三室双卫 客厅开间大  采光通风好,健康路质监局 -三岔口片区,3室2厅 | 98.52平米 | 南 | 其他 | 高楼层(共4层)  | 板楼,0人关注 / 18天以前发布,76,"7,715元/平"
城东万达广场旁，6楼标准套三带单卫简单装修,阳光小区 -三岔口片区,3室2厅 | 99.11平米 | 北 | 其他 | 低楼层(共18层)  | 暂无数据,0人关注 / 22天以前发布,110,"11,099元/平"
航天道1号标准两室诚心出售..........,航天道1号 -长安片区,2室2厅 | 67.15平米 | 东 | 简装 | 高楼层(共17层)  | 塔楼,2人关注 / 一年前发布,70,"10,425元/平"
此房满二，产权清晰，无贷款，户型方正，楼层低,兴康苑 -长安片区,2室1厅 | 86.6平米 | 东南 | 精装 | 低楼层(共7层)  | 板塔结合,0人关注 / 2个月以前发布,62.8,"7,252元/平"
"户型方正,满五唯一直接拎包入住，采光好",凯悦帝景 -长安片区,2室2厅 | 89平米 | 南 | 精装 | 中楼层(共16层)  | 板楼,0人关注 / 29天以前发布,73,"8,203元/平"
此房通透户型户型，生活配套齐全,兴景苑 -长安片区,3室2厅 | 104.43平米 | 南 北 | 简装 | 中楼层(共6层)  | 板楼,0人关注 / 1个月以前发布,80,"7,661元/平"
标准套二改套三   交通便利 配套设施齐全,美姑县教师安居小区 -老城片区,3室1厅 | 80.07平米 | 西南 | 其他 | 低楼层(共18层)  | 暂无数据,0人关注 / 1个月以前发布,49.98,"6,243元/平"
出行方便，户型方正，，配套成熟，物业管理水平高；,凤栖苑 -德昌县,3室2厅 | 124.5平米 | 东 | 其他 | 高楼层(共5层)  | 暂无数据,0人关注 / 3个月以前发布,58.8,"4,723元/平"
河景房，位置好，采光好，视野扩阔,景苑山水华庭 -会理县,4室2厅 | 132.83平米 | 东 西 | 其他 | 中楼层(共24层)  | 平房,0人关注 / 1个月以前发布,90.8,"6,836元/平"
此房房龄新 总高10层一梯两户 将装修拎包入住,万景阳光 -长安片区,3室2厅 | 108.26平米 | 东 | 其他 | 中楼层(共10层)  | 塔楼,0人关注 / 31天以前发布,87.5,"8,083元/平"
精装三室，诚心出售，看房方便 ，欢迎多多带看,大巷口上街18号 -老城片区,3室1厅 | 52平米 | 东 东南 | 精装 | 高楼层(共6层)  | 板楼,0人关注 / 31天以前发布,47.8,"9,193元/平"
外滩16区，舒适套四，拎包入住，品质生活,外滩16区 -城南片区,4室2厅 | 167.1平米 | 东北 | 精装 | 高楼层(共16层)  | 塔楼,5人关注 / 6个月以前发布,178,"10,653元/平"
西部新城清水房套三双卫保本卖了,正黄金色学府 -西部新城片区,3室2厅 | 82.82平米 | 东 | 毛坯 | 中楼层(共18层)  | 板塔结合,0人关注 / 1个月以前发布,75.5,"9,117元/平"
长安花园二区小区好房出售，此房楼层好，采光好,长安花园二区 -长安片区,3室2厅 | 133平米 | 东北 | 精装 | 中楼层(共8层)  | 板楼,0人关注 / 一年前发布,95.8,"7,204元/平"
电梯房，采光好名厨明卫，房屋通透.,美姑县教师安居小区 -老城片区,3室2厅 | 118.15平米 | 南 | 简装 | 高楼层(共18层)  | 板楼,3人关注 / 3个月以前发布,61,"5,163元/平"
房东诚心出售，就近设施齐全，小区环境安静。,松香厂 -长安片区,3室2厅 | 102.01平米 | 北 | 其他 | 中楼层(共18层)  | 暂无数据,0人关注 / 1个月以前发布,74.6,"7,314元/平"
西昌市政务大厅西客站片区一梯两户洋房带车位精装,万景阳光 -长安片区,3室2厅 | 108.26平米 | 南 | 精装 | 高楼层(共10层)  | 塔楼,0人关注 / 3个月以前发布,92,"8,499元/平"
月城丽景二期 2室2厅 南,月城丽景二期 -西部新城片区,2室2厅 | 83.96平米 | 南 | 精装 | 低楼层(共18层)  | 塔楼,0人关注 / 2个月以前发布,64,"7,623元/平"
中信国际花城 2室2厅 东南,中信国际花城 -长安片区,2室2厅 | 84平米 | 东南 | 精装 | 中楼层(共18层)  | 板塔结合,1人关注 / 1个月以前发布,70,"8,334元/平"
标准套二，诚心出售，户型方正。,外滩16区 -城南片区,2室2厅 | 81.26平米 | 西南 | 毛坯 | 中楼层(共16层)  | 塔楼,5人关注 / 5个月以前发布,76,"9,353元/平"
标准两室，小区环境好。楼层好。,桂苑 -西部新城片区,2室2厅 | 93.95平米 | 南 | 毛坯 | 高楼层(共18层)  | 板塔结合,1人关注 / 1个月以前发布,54,"5,748元/平"
标准两室，精装修，家具家电齐全，拎包入住。,德馨苑 -西部新城片区,2室2厅 | 79.55平米 | 西南 | 精装 | 低楼层(共18层)  | 板楼,0人关注 / 3个月以前发布,62,"7,794元/平"
精装套二，中间楼层，带车位一起卖,德馨苑 -西部新城片区,2室1厅 | 80.45平米 | 西 | 其他 | 中楼层(共18层)  | 塔楼,0人关注 / 18天以前发布,64.8,"8,055元/平"
房东诚心出售，关门卖，拎包即可入住,瑞錦園 -城南片区,3室2厅 | 141.6平米 | 南 | 精装 | 中楼层(共6层)  | 板楼,0人关注 / 一年前发布,110,"7,769元/平"
邦泰花溪府经典三居室，9楼朝东,邦泰花熙府 -西部新城片区,3室2厅 | 90平米 | 东 | 毛坯 | 中楼层(共18层)  | 塔楼,1人关注 / 一年前发布,79.8,"8,867元/平"
航天旁清水套二，房龄新，单价低……,德馨苑 -西部新城片区,2室2厅 | 80.45平米 | 南 | 毛坯 | 高楼层(共18层)  | 塔楼,2人关注 / 2个月以前发布,56.8,"7,061元/平"
长安中信国际    楼层好  视野好 采光好,中信国际花城 -长安片区,2室1厅 | 83.95平米 | 西南 | 精装 | 中楼层(共18层)  | 板塔结合,0人关注 / 1个月以前发布,63,"7,505元/平"
西客站旁  月亮湖旁边  精装修 拎包入住,月城丽景 -长安片区,2室2厅 | 83.3平米 | 西南 | 精装 | 中楼层(共11层)  | 板楼,0人关注 / 3个月以前发布,74,"8,884元/平"
标准套二，精装修，户型方正，采光好。,丽景豪庭 -长安片区,2室2厅 | 81.81平米 | 南 | 精装 | 中楼层(共7层)  | 板楼,0人关注 / 1个月以前发布,67,"8,190元/平"
紫薇星座电梯跃层 精装套四带产权车位 带家具家电,紫薇星座 -市中心片区,4室2厅 | 103.5平米 | 西南 | 精装 | 高楼层(共15层)  | 塔楼,0人关注 / 4天以前发布,96,"9,276元/平"
配套成熟。环境好，户型好，适合居家,西运小区 -市中心片区,3室2厅 | 94.6平米 | 东南 | 简装 | 中楼层(共4层)  | 平房,0人关注 / 3天以前发布,68,"7,189元/平"
精装套二，朝中庭位置，随时看房方便,德馨苑 -西部新城片区,2室1厅 | 95.32平米 | 西 | 精装 | 低楼层(共18层)  | 塔楼,0人关注 / 2个月以前发布,68,"7,134元/平"
户型方正格局好，精装修拎包入住,兴康苑 -长安片区,2室2厅 | 86.5平米 | 南 | 其他 | 高楼层(共7层)  | 板楼,6人关注 / 4个月以前发布,60,"6,937元/平"
西客站悦汇广场，出行方便，交通便利,月城丽景 -长安片区,2室2厅 | 83.4平米 | 南 | 精装 | 中楼层(共11层)  | 板楼,1人关注 / 1个月以前发布,70.8,"8,490元/平"
兴景苑 3室2厅 南,兴景苑 -长安片区,3室2厅 | 104.27平米 | 南 | 其他 | 低楼层(共6层)  | 板楼,0人关注 / 10天以前发布,89.8,"8,613元/平"
东部 套三双卫 免费停车 单价低 单价低  房东急卖,五一家园 -三岔口片区,3室2厅 | 139.06平米 | 南 | 其他 | 低楼层(共11层)  | 暂无数据,0人关注 / 1个月以前发布,112,"8,055元/平"
电梯套二，满两年，税费低，采光好视野好,警官花园 -长安片区,3室1厅 | 86平米 | 西南 | 精装 | 高楼层(共15层)  | 板塔结合,4人关注 / 8个月以前发布,75.8,"8,814元/平"
此房总价低，地段好，交通便利，二次装修方便,宁远安居小区 -宁远桥片区,2室2厅 | 72.78平米 | 西北 | 简装 | 4层  | 板楼,0人关注 / 18天以前发布,62.5,"8,588元/平"
城南印象好楼层优质套三，精装修可直接拎包入住,城南印象 -城南片区,3室2厅 | 142平米 | 东南 | 精装 | 中楼层(共6层)  | 板塔结合,5人关注 / 一年前发布,137.6,"9,691元/平"
小区环境好 出行方便，户型方正，居住方便舒适,碧海蓝天 -城南片区,2室2厅 | 88.56平米 | 东南 | 精装 | 中楼层(共11层)  | 塔楼,0人关注 / 28天以前发布,79.8,"9,011元/平"
老城区，四小旁，标准套三出售，,州一医院家属区 -老城片区,3室2厅 | 78.92平米 | 南 | 简装 | 低楼层(共1层)  | 暂无数据,0人关注 / 28天以前发布,69.5,"8,807元/平"
城东万达广场旁合信邛海湾，精装套四钥匙在手关门卖,合信邛海湾B区 -三岔口片区,4室2厅 | 85.16平米 | 南 | 其他 | 中楼层(共20层)  | 塔楼,0人关注 / 1个月以前发布,138.8,"16,299元/平"
沃尔玛旁，好房出售，标准套四 中等装修。,世纪花园 -城南片区,4室2厅 | 143平米 | 南 | 精装 | 低楼层(共12层)  | 塔楼,27人关注 / 一年前发布,113.8,"7,959元/平"
此房精装套二，户型方正，采光好,长安中路小区 -市中心片区,2室1厅 | 49.33平米 | 东南 | 精装 | 低楼层(共6层)  | 塔楼,0人关注 / 19天以前发布,58,"11,758元/平"
沃尔玛  月中苑  采光好  此房满五唯一，双证在手,月中苑 -城南片区,2室1厅 | 87.37平米 | 南 | 简装 | 中楼层(共5层)  | 板楼,5人关注 / 一年前发布,77.5,"8,871元/平"
海河边带大花园朝向好的好房出售,月城公寓一区 -城南片区,3室2厅 | 92.47平米 | 南 | 精装 | 高楼层(共7层)  | 板楼,1人关注 / 1个月以前发布,118,"12,761元/平"
标准套三户型方正小区整洁人文素质高,木里教育干休所 -市中心片区,3室2厅 | 99.73平米 | 南 | 其他 | 6层  | 平房,4人关注 / 10个月以前发布,84,"8,423元/平"
海事局里面 剪力墙 麻免费停车位,胜利北路58号 -老城片区,3室2厅 | 142.42平米 | 南 北 | 精装 | 低楼层(共2层)  | 暂无数据,2人关注 / 一年前发布,120,"8,426元/平"
越西二干所低价出售 门口就是南坛菜市场,越西县二干所 -三岔口片区,4室2厅 | 145.34平米 | 西南 | 精装 | 中楼层(共7层)  | 平房,2人关注 / 一年前发布,95,"6,537元/平"
三岔口精装套三，户型方正采光好,三岔口东路51号 -三岔口片区,3室1厅 | 66.8平米 | 东南 | 其他 | 低楼层(共3层)  | 板楼,0人关注 / 26天以前发布,59.8,"8,953元/平"
月城丽景精装修一室房屋出售，房子装修保养还不错,月城丽景 -长安片区,1室1厅 | 58平米 | 东 | 精装 | 低楼层(共15层)  | 塔楼,1人关注 / 7个月以前发布,60,"10,345元/平"
海河壹号标准套一，交通便利，小区环境干净舒适 。,海河壹号 -城南片区,1室1厅 | 50.58平米 | 南 | 其他 | 高楼层(共17层)  | 塔楼,1人关注 / 8个月以前发布,60,"11,863元/平"
此房精装套三，房东诚心出售，户型方正，小区环境好,凉山州公路运输管理处 -市中心片区,3室2厅 | 123.33平米 | 南 | 精装 | 中楼层(共10层)  | 板楼,0人关注 / 29天以前发布,108.6,"8,806元/平"
此房子满五税费低，朝中庭，动静分区， 旁边配套齐全,长安国际 -市中心片区,3室2厅 | 120.5平米 | 东北 | 精装 | 中楼层(共16层)  | 塔楼,0人关注 / 30天以前发布,126,"10,457元/平"
二*学期，无户口，立买立迁，可拎包入住，价格可谈,鑫海小区 -市中心片区,5室2厅 | 140.18平米 | 南 | 精装 | 高楼层(共7层)  | 板楼,8人关注 / 一年前发布,109,"7,776元/平"
昌平片区 沃尔玛 达达旁 简装三室 诚心出售 看房方便,康达花园 -城南片区,3室2厅 | 128.12平米 | 西北 | 其他 | 低楼层(共9层)  | 塔楼,0人关注 / 1个月以前发布,95,"7,415元/平"
西部精装套三双卫  业主诚心出售  钥匙在手 随时看房,正黄金色学府 -西部新城片区,3室2厅 | 82.96平米 | 东北 | 其他 | 高楼层(共18层)  | 板塔结合,0人关注 / 8天以前发布,93.6,"11,283元/平"
海河天街 ，户型方正格碧海蓝天精装套三,碧海蓝天 -城南片区,3室2厅 | 136.47平米 | 东南 | 精装 | 低楼层(共11层)  | 塔楼,21人关注 / 一年前发布,110,"8,061元/平"
剪力墙中层 业主安心出售 钥匙在手 看房方便,梨园巷凉山州金属材料公司宿舍 -市中心片区,3室2厅 | 79.24平米 | 东 | 其他 | 低楼层(共6层)  | 暂无数据,0人关注 / 1个月以前发布,69.8,"8,809元/平"
房东急卖马水河小区，环境干净舒适，适合居住！,马水河街64号 -老城片区,3室2厅 | 72平米 | 南 | 简装 | 低楼层(共3层)  | 暂无数据,13人关注 / 一年前发布,57.5,"7,987元/平"
胜利路片区套三精装修好房出售了,四川省凉山州大桥水电开发总公司 -城南片区,3室2厅 | 103.3平米 | 东南 | 精装 | 高楼层(共6层)  | 板塔结合,15人关注 / 11个月以前发布,83.8,"8,113元/平"
西客站悦汇广场旁，中信国际花城小区精装套三钥匙在手,中信国际花城 -长安片区,3室2厅 | 100.08平米 | 西南 | 精装 | 中楼层(共19层)  | 塔楼,6人关注 / 一年前发布,88,"8,793元/平"
低楼层大套四，生活出行便利、地理位置优越的小区,金厦攀星花園 -市中心片区,4室2厅 | 153.05平米 | 东北 | 简装 | 低楼层(共7层)  | 板楼,0人关注 / 3个月以前发布,129,"8,429元/平"
此房满五，税费低，装修简洁大方，户型方正,长安国际 -市中心片区,3室1厅 | 126.6平米 | 东南 | 精装 | 低楼层(共16层)  | 塔楼,5人关注 / 一年前发布,117,"9,242元/平"
此房一梯两户，楼层好，视野宽阔，采光充足，配套齐全,星光嘉苑 -城南片区,3室2厅 | 129.49平米 | 南 | 简装 | 11层  | 板楼,8人关注 / 7个月以前发布,125.5,"9,692元/平"
州政府大院，环境舒适，标准两室两厅，阳光片区,州政府大院 -三岔口片区,2室1厅 | 72.19平米 | 南 | 简装 | 中楼层(共5层)  | 塔楼,0人关注 / 1个月以前发布,76.8,"10,639元/平"
长安精装大套三 首付税费低 好停车 关门卖 诚心出售,航天阳光 -长安片区,3室2厅 | 129.29平米 | 东南 | 精装 | 高楼层(共18层)  | 板塔结合,3人关注 / 一年前发布,125.8,"9,731元/平"
灵龙尚居带露台精装套二紧急出售,灵龙尚居 -城南片区,2室2厅 | 79.49平米 | 西南 | 精装 | 低楼层(共7层)  | 塔楼,9人关注 / 一年前发布,83,"10,442元/平"
西昌市水泥厂小区 精装套四 满五唯一,西昌市水泥厂小区 -市中心片区,4室2厅 | 134平米 | 东 | 精装 | 高楼层(共7层)  | 板楼,0人关注 / 2个月以前发布,106,"7,911元/平"
满五唯一、产权清晰、精装修住保养很好,月中苑 -城南片区,2室2厅 | 87.37平米 | 东 | 精装 | 高楼层(共6层)  | 板楼,18人关注 / 一年前发布,71,"8,127元/平"
宁远桥四室两厅一厨双卫精装修大户型出售,宁远桥房改办 -老城片区,4室2厅 | 171平米 | 西南 | 其他 | 中楼层(共7层)  | 板塔结合,3人关注 / 7个月以前发布,106.8,"6,246元/平"
凉山监狱套二 带70平面院子 改套二加一个书房,四川省凉山监狱 -老城片区,2室2厅 | 70.37平米 | 东 | 简装 | 低楼层(共4层)  | 暂无数据,4人关注 / 一年前发布,59.8,"8,498元/平"
月城广场 老城区 三室 71.8万 业主诚意出售,老山厂坝4号 -老城片区,3室1厅 | 84.48平米 | 西南 | 简装 | 低楼层(共4层)  | 暂无数据,16人关注 / 一年前发布,63,"7,458元/平"
拾晓旁  标准套三简装   购物交通方便，,市工商局宿舍 -市中心片区,3室2厅 | 89.66平米 | 东 | 简装 | 低楼层(共6层)  | 板楼,1人关注 / 2个月以前发布,67.98,"7,582元/平"
沃尔玛旁边大套三出售，价格美丽,金厦攀星花園 -市中心片区,3室2厅 | 119.76平米 | 西北 | 精装 | 中楼层(共6层)  | 板楼,0人关注 / 1个月以前发布,115,"9,603元/平"
四小大套三  视野采光好     配套成熟,州政府小区 -老城片区,3室2厅 | 140.95平米 | 南 北 | 毛坯 | 高楼层(共11层)  | 暂无数据,1人关注 / 20天以前发布,130,"9,224元/平"
合信南山别墅 3室2厅 南,合信南山别墅 -城南片区,3室2厅 | 76.7平米 | 南 | 其他 | 高楼层(共9层)  | 塔楼,0人关注 / 24天以前发布,108,"14,081元/平"
名店街旁边。轻工机械厂标准套二出售,西昌轻工机械厂生活区东区 -市中心片区,2室2厅 | 64.25平米 | 南 | 简装 | 中楼层(共4层)  | 板楼,0人关注 / 24天以前发布,52.8,"8,218元/平"
房子产权清晰，园林式小区，出行方便，户型方正,三岔口南路州农行家属区 -三岔口片区,3室1厅 | 116.5平米 | 南 | 简装 | 高楼层(共6层)  | 板楼,2人关注 / 9个月以前发布,104.6,"8,979元/平"
月亮湖公园套三双卫，户型方正，采光好,南山国际社区御墅 -城南片区,3室2厅 | 99.65平米 | 西南 | 其他 | 高楼层(共7层)  | 板塔结合,1人关注 / 9个月以前发布,112,"11,240元/平"
标准套三，房源好户型好，采光好，位置好,凉山宾馆家属小区 -市中心片区,3室2厅 | 119.14平米 | 东南 | 其他 | 低楼层(共6层)  | 板楼,4人关注 / 一年前发布,93.5,"7,848元/平"
市区名店街套三精装带大阳台采光好，关门卖。,名店街交通局 -市中心片区,3室2厅 | 103.4平米 | 东南 | 精装 | 高楼层(共7层)  | 板塔结合,12人关注 / 8个月以前发布,83.8,"8,105元/平"
长安菜市旁，大套三出售，采光好，单价低,公路局小车厂 -长安片区,3室2厅 | 102.58平米 | 东北 | 其他 | 高楼层(共15层)  | 板楼,0人关注 / 10天以前发布,86.5,"8,433元/平"
户型方正，楼层好，精装大套三，,消防队单位房 -市中心片区,3室2厅 | 145平米 | 北 | 精装 | 低楼层(共10层)  | 暂无数据,0人关注 / 30天以前发布,108,"7,449元/平"
好房出售，标准套四房型方正，房东诚心出售,凉山水务 -市中心片区,4室2厅 | 124平米 | 南 西北 | 简装 | 中楼层(共4层)  | 平房,0人关注 / 23天以前发布,108,"8,710元/平"
