标题,开发商,房子信息,发布信息,售价/万,单价
兰亭花园！四五楼复式！带倆露台！精装修！,蘭亭花園 -理想城,5室3厅 | 142.75平米 | 南 北 | 精装 | 高楼层(共4层)  | 暂无数据,29人关注 / 7个月以前发布,125,"8,757元/平"
爱佳小区步梯2楼房龄新看房方便,爱佳小区 -恒大,3室2厅 | 100平米 | 东 | 其他 | 低楼层(共6层)  | 板楼,0人关注 / 12天以前发布,59.8,"5,980元/平"
精装别墅，共三层，带院子，带露台停车方便。,物华小区 -恒大,5室3厅 | 209.05平米 | 南 | 精装 | 低楼层(共3层)  | 暂无数据,0人关注 / 1个月以前发布,155,"7,415元/平"
全明户型，南北通透，经典小三室,文体阁 -光彩,3室1厅 | 98.5平米 | 南 北 | 精装 | 中楼层(共6层)  | 板楼,46人关注 / 一年前发布,53.5,"5,432元/平"
万达商圈 房子 精装修 没住过人 老证 采光好,牧南小区 -万达,3室2厅 | 104.34平米 | 南 北 | 精装 | 中楼层(共6层)  | 板楼,31人关注 / 一年前发布,59.8,"5,732元/平"
牧野花园 毛坯小三室 诚心出售,牧野花园 -伟业,3室2厅 | 113平米 | 南 北 | 毛坯 | 高楼层(共21层)  | 板楼,13人关注 / 10个月以前发布,87,"7,700元/平"
此房业主诚心出售随时签约，看房方便，户型方正,启明小区 -花卉市场,3室1厅 | 84.78平米 | 南 北 | 简装 | 中楼层(共6层)  | 板楼,0人关注 / 5天以前发布,45,"5,308元/平"
新上房源！枫景上东！临湖观景！采光无遮挡！随时看！,绿都枫景上东 -宝龙,2室2厅 | 86平米 | 南 | 精装 | 低楼层(共26层)  | 板塔结合,0人关注 / 13天以前发布,78,"9,070元/平"
开祥天下城 3室2厅 南 北,开祥天下城 -橄榄城,3室2厅 | 89.23平米 | 南 北 | 精装 | 低楼层(共11层)  | 板楼,0人关注 / 14天以前发布,72.8,"8,159元/平"
老证，急急急，新小区，交通便利，环境优美，中间层。,天鹅第一城一期 -市中心医院,3室2厅 | 120.85平米 | 南 北 | 毛坯 | 高楼层(共26层)  | 板楼,0人关注 / 13天以前发布,79.5,"6,579元/平"
金谷阳光电梯洋房高层，价格便宜，业主诚心出售！,金谷阳光 -柳青路,3室1厅 | 90平米 | 南 | 简装 | 高楼层(共11层)  | 板塔结合,25人关注 / 10个月以前发布,55,"6,112元/平"
紫金广场 宝龙商圈 电梯三室 诚心出售,紫金广场B区 -汽车东站,3室2厅 | 128.85平米 | 南 北 | 精装 | 中楼层(共19层)  | 板塔结合,4人关注 / 11个月以前发布,75,"5,821元/平"
常青藤！精装未住2+1！拎包入住世外桃源！随时看房！,诚城•常青藤 -大学城,2室2厅 | 95平米 | 西南 | 精装 | 高楼层(共33层)  | 板塔结合,0人关注 / 1个月以前发布,76,"8,000元/平"
师大嘉苑 电梯洋房 采光好 带30平地下室 随时看房,师大嘉苑 -柳青路,4室2厅 | 161.24平米 | 南 | 毛坯 | 低楼层(共12层)  | 板楼,19人关注 / 一年前发布,110,"6,823元/平"
宝龙国际 精装中层 ，采光好，视野辽阔，老证！,宝龙国际社区 -宝龙,2室2厅 | 96平米 | 南 | 精装 | 中楼层(共32层)  | 板塔结合,14人关注 / 8个月以前发布,80,"8,334元/平"
丽水华庭步梯5楼，3室2厅2卫，南北通透,丽水华庭 -橄榄城,3室2厅 | 134.72平米 | 南 北 | 简装 | 高楼层(共6层)  | 板楼,0人关注 / 1个月以前发布,71,"5,271元/平"
市政府万达彩虹桥东东郡牧野花园毛坯有钥匙随时看房,牧野花园 -伟业,3室2厅 | 142.69平米 | 西 | 毛坯 | 中楼层(共24层)  | 板楼,0人关注 / 4个月以前发布,98,"6,869元/平"
业主外地发展急卖急卖看房有钥匙随时看房,温莎城堡 -柳青路,3室2厅 | 122平米 | 南 北 | 毛坯 | 低楼层(共33层)  | 板楼,0人关注 / 2个月以前发布,84,"6,886元/平"
枫景上东！毛坯三室！中间楼层！老证！随时看房！,绿都枫景上东 -宝龙,3室2厅 | 109平米 | 南 北 | 毛坯 | 低楼层(共32层)  | 板楼,10人关注 / 一年前发布,92,"8,441元/平"
东区高品质低密度宜居益生活您的生活值得拥有,华瑞逸品紫晶 -理想城,3室2厅 | 108.56平米 | 西 | 精装 | 高楼层(共18层)  | 板塔结合,0人关注 / 1个月以前发布,96,"8,844元/平"
步梯二楼带30平方平台 可以做个小院 种花养草,解放大道中140号 -新乡站,3室2厅 | 84.48平米 | 东 西 | 精装 | 低楼层(共6层)  | 暂无数据,6人关注 / 5个月以前发布,48,"5,682元/平"
汽车东站旁，新小区，房龄新，南北通透,豫峰朗庭 -汽车东站,3室2厅 | 123.64平米 | 南 北 | 毛坯 | 低楼层(共24层)  | 板塔结合,7人关注 / 一年前发布,88,"7,118元/平"
理想学府 总高11层电梯洋房三室两厅一卫实际面积大,永恒理想学府 -橄榄城,3室2厅 | 121.33平米 | 西 | 毛坯 | 低楼层(共11层)  | 暂无数据,0人关注 / 3个月以前发布,68,"5,605元/平"
定国湖旁惠邦华恩城房源维护人了解,华恩城西区 -定国湖,3室2厅 | 143平米 | 南 北 | 毛坯 | 高楼层(共29层)  | 板塔结合,41人关注 / 一年前发布,86,"6,014元/平"
鸿发·智慧城 3室2厅 南,鸿发·智慧城 -橄榄城,3室2厅 | 98平米 | 南 | 简装 | 高楼层(共26层)  | 板塔结合,0人关注 / 2个月以前发布,72.5,"7,398元/平"
金谷阳光地带  精装三室两厅两卫  满五唯一 步梯三楼,金谷阳光 -柳青路,3室2厅 | 124平米 | 南 北 | 精装 | 中楼层(共6层)  | 板塔结合,12人关注 / 5个月以前发布,79.8,"6,436元/平"
电梯四室两厅两卫，精装房，老证。地下车位价格另算,星海传说小区 -柳青路,4室2厅 | 134.28平米 | 南 北 | 精装 | 中楼层(共23层)  | 板塔结合,0人关注 / 3个月以前发布,103,"7,671元/平"
太阳城心悦城精装三室，一楼，老证，可以按揭,太阳城心悦阳光一 期 -二中,3室1厅 | 90平米 | 东 | 精装 | 低楼层(共11层)  | 板楼,12人关注 / 4个月以前发布,62.8,"6,978元/平"
二十二所生活区 看房方便 管理规范 步梯2楼 满五唯一,二十二所家属院第四生活区 -万达,3室1厅 | 79.5平米 | 南 北 | 简装 | 中楼层(共5层)  | 板楼,2人关注 / 2个月以前发布,43,"5,409元/平"
房子毛坯，有储藏室，采光好，全明户型，出行方便,隆基新谊城 -光彩,3室2厅 | 130平米 | 南 北 | 毛坯 | 中楼层(共21层)  | 板楼,0人关注 / 1个月以前发布,89.8,"6,908元/平"
步梯二楼标准两室两厅，单价低，可以按揭,配件公司家属院 -市中心医院,2室2厅 | 93.75平米 | 南 北 | 简装 | 低楼层(共6层)  | 板塔结合,0人关注 / 3个月以前发布,40,"4,267元/平"
市 政 府 旁 经 典 三 室 低 公 摊,大景城 -伟业,3室2厅 | 113.84平米 | 南 北 | 精装 | 中楼层(共11层)  | 板楼,21人关注 / 5个月以前发布,87,"7,643元/平"
能抗8级地震 公园旁新悦城 低层大三房 合适,烟草局家属楼 -花卉市场,3室3厅 | 127平米 | 南 北 | 简装 | 中楼层(共5层)  | 板楼,0人关注 / 2个月以前发布,66,"5,197元/平"
此房为老证  电梯高层 采光很好,太阳城心悦阳光一 期 -二中,3室2厅 | 125.36平米 | 西 | 精装 | 高楼层(共11层)  | 塔楼,5人关注 / 6个月以前发布,76,"6,063元/平"
位于繁华地段，中西结合，欧式建筑，法式园林。,绿都 · 塞纳春天 -二中,2室2厅 | 102.66平米 | 西南 | 简装 | 低楼层(共18层)  | 板楼,2人关注 / 一年前发布,86,"8,378元/平"
黄岗近~精装3室~好楼层~拎包入住,牧野区利民小区 -新乡站,3室2厅 | 113.5平米 | 南 北 | 精装 | 中楼层(共6层)  | 板楼,1人关注 / 1个月以前发布,53,"4,670元/平"
人民公园 星海假日  满五唯一  四开间全南向 采光很棒,星海假日王府 -人民公园,3室2厅 | 135.89平米 | 南 | 精装 | 中楼层(共28层)  | 板塔结合,15人关注 / 一年前发布,109.7,"8,073元/平"
温莎城堡 小三室 南北通透 有钥匙 看房方便,温莎城堡 -柳青路,3室2厅 | 86.04平米 | 南 北 | 毛坯 | 高楼层(共33层)  | 板楼,8人关注 / 一年前发布,65,"7,555元/平"
常青藤！精装修！采光无遮挡！品质小区！随时看房！,诚城•常青藤 -大学城,3室2厅 | 110平米 | 南 北 | 精装 | 高楼层(共33层)  | 板塔结合,1人关注 / 3个月以前发布,87,"7,910元/平"
老证！随时可签！牧野湖！市政府旁！全明采光好！,牧野花园 -伟业,3室2厅 | 132.47平米 | 南 | 毛坯 | 高楼层(共24层)  | 板楼,0人关注 / 1个月以前发布,99,"7,474元/平"
新谊城精装三室两厅两卫，拎包入住，南北直通，采光好,隆基新谊城 -光彩,3室2厅 | 127.06平米 | 南 北 | 精装 | 高楼层(共21层)  | 板塔结合,1人关注 / 1个月以前发布,81,"6,375元/平"
一中旁 电梯小洋房，总高6层，明窗明卫，南北通透！,金谷阳光 -柳青路,3室2厅 | 117.94平米 | 南 北 | 精装 | 低楼层(共6层)  | 板塔结合,3人关注 / 3个月以前发布,74.5,"6,317元/平"
市政府旁，精装小三房，拎包入住。,大景城 -伟业,3室2厅 | 113.65平米 | 南 北 | 精装 | 高楼层(共18层)  | 板楼,0人关注 / 7天以前发布,91.5,"8,052元/平"
翡翠城，精装大3房，邻居大胖，人民公园，和平路小X,润华翡翠城 -人民公园,3室2厅 | 142.17平米 | 南 | 其他 | 高楼层(共33层)  | 板塔结合,0人关注 / 18天以前发布,140,"9,848元/平"
东区经典两室，拎包入住，中间楼层,华瑞逸品紫晶 -理想城,2室2厅 | 89.09平米 | 南 | 简装 | 中楼层(共18层)  | 板楼,0人关注 / 24天以前发布,80,"8,980元/平"
一中！精装2室！中间楼层！全天采光！,华瑞逸品紫晶 -理想城,2室2厅 | 89.55平米 | 南 | 精装 | 中楼层(共33层)  | 板楼,1人关注 / 18天以前发布,73,"8,152元/平"
一中！小3室！优装！停车方便！楼层好！采光优！,华瑞逸品紫晶 -理想城,3室2厅 | 112平米 | 南 | 精装 | 低楼层(共33层)  | 板楼,0人关注 / 18天以前发布,111,"9,911元/平"
高新区   花卉市场  国悦城  郑州银行近,新尚国际 -花卉市场,3室1厅 | 142.88平米 | 南 北 | 毛坯 | 高楼层(共19层)  | 板楼,0人关注 / 21天以前发布,89,"6,230元/平"
世和府！电梯洋房！能丐名！毛坯随意装！随时看房！,建业世和府 -大学城,3室2厅 | 138.88平米 | 南 北 | 毛坯 | 高楼层(共11层)  | 暂无数据,0人关注 / 25天以前发布,122.5,"8,821元/平"
建业四期南北通透三室毛坯房随意装修,建业壹号城邦 -宝龙,3室2厅 | 120.36平米 | 南 北 | 毛坯 | 高楼层(共28层)  | 板塔结合,1人关注 / 18天以前发布,104.8,"8,708元/平"
启明小区、1楼带50平院子、有双气南北通、看房方便,启明小区 -花卉市场,3室2厅 | 94.23平米 | 南 北 | 简装 | 低楼层(共6层)  | 板楼,9人关注 / 5个月以前发布,56.8,"6,028元/平"
洋房大横厅，三改四，蒂森克虏伯电梯，毛坯随心装,建业世和府 -大学城,4室2厅 | 149平米 | 南 北 | 其他 | 高楼层(共11层)  | 暂无数据,1人关注 / 16天以前发布,120,"8,054元/平"
电梯洋房总高11层  南北通透三居室,永恒理想学府 -橄榄城,3室2厅 | 121.33平米 | 南 北 | 其他 | 高楼层(共11层)  | 暂无数据,0人关注 / 2个月以前发布,70.6,"5,819元/平"
东站 鑫鑫家园  2004年，简装三室，户型好，支持贷款,鑫鑫家园 -汽车东站,3室1厅 | 114平米 | 南 北 | 简装 | 中楼层(共6层)  | 板楼,0人关注 / 18天以前发布,57,"5,000元/平"
急卖！急！急！步梯中层！精装拎包住！可贷款,水产公司家属院 -恒大,3室2厅 | 100平米 | 南 北 | 其他 | 中楼层(共6层)  | 板楼,0人关注 / 16天以前发布,42.8,"4,280元/平"
此房满五唯一    省个税   带一间车棚,红旗区一中家属院 -人民公园,3室2厅 | 96.94平米 | 南 北 | 其他 | 低楼层(共6层)  | 板楼,5人关注 / 5个月以前发布,95.8,"9,883元/平"
东区精装小三室   拎包入住  位置   楼层,绿都枫景上东 -宝龙,3室2厅 | 86.15平米 | 南 | 精装 | 中楼层(共18层)  | 板楼,15人关注 / 6个月以前发布,77,"8,938元/平"
急售 三室两厅一卫 一楼带40平院  带地下室,汇景花园(红旗区) -光彩,3室2厅 | 138.13平米 | 西南 | 精装 | 低楼层(共6层)  | 板楼,7人关注 / 一年前发布,99,"7,168元/平"
三室  通透  光照充足  有钥匙,立拓上海城 -新悦城,3室2厅 | 109.9平米 | 南 北 | 精装 | 高楼层(共26层)  | 板塔结合,1人关注 / 1个月以前发布,86,"7,826元/平"
精装未住，南北通透，看房方便随时，,隆基宜家小区 -恒大,3室2厅 | 101.17平米 | 南 北 | 其他 | 高楼层(共6层)  | 板楼,1人关注 / 2个月以前发布,46,"4,547元/平"
和谐公园旁  南北通透3居 拎包入住 看房方便,伟业中央公园 -伟业,3室2厅 | 110平米 | 南 北 | 其他 | 高楼层(共18层)  | 板楼,3人关注 / 一年前发布,99.8,"9,073元/平"
蓝葆湾标准小三房，全明户型，无遮挡采光，无遮挡视野,蓝葆湾 -柳青路,3室2厅 | 98平米 | 南 | 毛坯 | 中楼层(共31层)  | 板塔结合,4人关注 / 4个月以前发布,69.8,"7,123元/平"
精装三室两卫 南北通透 满五唯一 采光视野好,福兴国际 -汽车东站,3室2厅 | 124.84平米 | 南 北 | 精装 | 高楼层(共26层)  | 板楼,6人关注 / 5个月以前发布,89,"7,130元/平"
奥园康城 3室带平台 三附院西一个路口,奥园康城 -洪门,3室2厅 | 129.4平米 | 南 北 | 其他 | 低楼层(共23层)  | 板塔结合,4人关注 / 3个月以前发布,95,"7,342元/平"
房子精装修，看房方便，业主诚心出售！,国悦城 -汽车东站,3室2厅 | 107.5平米 | 南 | 精装 | 高楼层(共31层)  | 暂无数据,0人关注 / 11个月以前发布,88,"8,187元/平"
户型方正敞亮，全明户型，通风采光好无遮挡。,新飛花園 -橄榄城,3室2厅 | 127平米 | 南 北 | 其他 | 低楼层(共6层)  | 板塔结合,0人关注 / 8个月以前发布,78.8,"6,205元/平"
莱茵半岛 精装三室 基本未住  房东诚心出售,万新莱茵半岛 -柳青路,3室2厅 | 128平米 | 南 北 | 精装 | 高楼层(共28层)  | 板楼,0人关注 / 2个月以前发布,98,"7,657元/平"
诚城三英里 3室2厅 南,诚城三英里 -高铁东站,3室2厅 | 99.98平米 | 南 | 精装 | 低楼层(共26层)  | 暂无数据,0人关注 / 13天以前发布,75,"7,502元/平"
单价8000公园南门星海假日精装修3室  拎包入住 急售,星海假日王府 -人民公园,3室2厅 | 99.58平米 | 南 北 | 精装 | 高楼层(共32层)  | 板塔结合,75人关注 / 一年前发布,77,"7,733元/平"
房子急卖南边通透格局，小高层好楼层,宝龙国际社区 -宝龙,3室2厅 | 135.11平米 | 南 北 | 精装 | 低楼层(共18层)  | 板塔结合,0人关注 / 2个月以前发布,103,"7,624元/平"
松江帕提欧，临河阔景大三房，三个观景飘窗，一线河景,松江·帕提欧 -宝龙,3室2厅 | 119平米 | 南 北 | 毛坯 | 中楼层(共32层)  | 板楼,0人关注 / 1个月以前发布,108,"9,076元/平"
万达旁！南北直通！大三室！配套齐全！看房方便！,中建·海德壹号 -万达,3室2厅 | 124.8平米 | 南 | 其他 | 中楼层(共32层)  | 板塔结合,11人关注 / 8个月以前发布,96,"7,693元/平"
精装 3楼 2卫 南北通透 看房有钥匙,鑫恒幸福易居 -恒大,3室2厅 | 132.98平米 | 南 北 | 简装 | 中楼层(共6层)  | 板楼,4人关注 / 一年前发布,68,"5,114元/平"
二机床家属院 三楼 小三房 精装修  双气拎包住,二机床家属院 -万达,3室1厅 | 94.52平米 | 南 北 | 精装 | 中楼层(共6层)  | 板楼,0人关注 / 2个月以前发布,69.9,"7,396元/平"
步梯中层，带小车库一间，户型方正，外接九平方,新运小区七号院 -市中心医院,2室1厅 | 45.5平米 | 南 北 | 简装 | 中楼层(共4层)  | 暂无数据,1人关注 / 3个月以前发布,25.3,"5,561元/平"
"南区品质小区，交通便利，全明采光,户型方正",桂竹花园一期 -橄榄城,3室2厅 | 153.81平米 | 东 | 其他 | 高楼层(共15层)  | 板楼,0人关注 / 11天以前发布,84.6,"5,501元/平"
市的两层楼—户型房子—业主诚心出售—随时看房,孟营三村 -恒大,7室3厅 | 142平米 | 南 | 简装 | 低楼层(共1层)  | 暂无数据,10人关注 / 一年前发布,99.5,"7,008元/平"
盛润牧野新城 3室2厅 南 北,盛润牧野新城 -河师大,3室2厅 | 141.84平米 | 南 北 | 其他 | 中楼层(共6层)  | 板楼,0人关注 / 4天以前发布,56,"3,949元/平"
此房独院上下两层，有独立院子，安静舒适，诚心出售,吉祥苑 -新建街,4室2厅 | 136.79平米 | 南 北 | 精装 | 低楼层(共2层)  | 暂无数据,19人关注 / 一年前发布,87,"6,361元/平"
房子精装修 双气已正常使用，满五,货场路煤建公司家属院 -市中心医院,2室1厅 | 60平米 | 南 北 | 精装 | 高楼层(共6层)  | 板楼,0人关注 / 8天以前发布,38,"6,334元/平"
派克公馆 采光好  位置好 高楼层,博远·派克公馆 -汽车东站,1室1厅 | 97.42平米 | 南 | 精装 | 高楼层(共31层)  | 板塔结合,1人关注 / 一年前发布,58,"5,954元/平"
柳青路笑学对过，电梯二房，总价不到60万，即买即装修,博瑞沁园 -柳青路,2室2厅 | 93.49平米 | 南 北 | 毛坯 | 中楼层(共26层)  | 板楼,23人关注 / 一年前发布,54.8,"5,862元/平"
新上房源！枫景上东！精装两室！户型方正！随时看房！,绿都枫景上东 -宝龙,2室2厅 | 85平米 | 南 | 精装 | 中楼层(共32层)  | 板楼,2人关注 / 2个月以前发布,74,"8,706元/平"
建业壹号城邦，非顶层，经典两室户型，每个屋都带阳台,建业壹号城邦 -宝龙,2室2厅 | 92.24平米 | 南 西南 | 简装 | 高楼层(共34层)  | 板楼,11人关注 / 5个月以前发布,77,"8,348元/平"
南区 精装 两室 51.72平老证 地下室,隆胜华庭 -恒大,2室1厅 | 51.72平米 | 南 北 | 精装 | 高楼层(共6层)  | 板楼,0人关注 / 2个月以前发布,26.8,"5,182元/平"
东站十字 派克公馆 精装双气70年产权 中间楼层 老证,博远·派克公馆 -汽车东站,2室1厅 | 97.43平米 | 南 | 精装 | 中楼层(共31层)  | 板塔结合,0人关注 / 一年前发布,60,"6,159元/平"
和平大道中 和平路三巷 两卧朝南 采光充足 配套齐全,石牌坊东圪垱南街 -牧野公园,2室1厅 | 62.94平米 | 南 | 简装 | 中楼层(共5层)  | 暂无数据,37人关注 / 一年前发布,21,"3,337元/平"
大两室，电梯高层，采光充足，临河观景房,城投·上河城 -牧野公园,2室1厅 | 81.9平米 | 西 | 精装 | 中楼层(共17层)  | 板楼,0人关注 / 2个月以前发布,59,"7,204元/平"
一楼带院可做门面住宅老证胖东来公园近精装户型好,东大街47号 -二中,2室1厅 | 77.19平米 | 东 西 | 精装 | 低楼层(共5层)  | 板楼,5人关注 / 3个月以前发布,44,"5,701元/平"
精装两室满五唯一常青藤诚心卖看房方便,诚城•常青藤 -大学城,2室1厅 | 90.98平米 | 南 | 精装 | 高楼层(共33层)  | 板塔结合,4人关注 / 4个月以前发布,69.9,"7,684元/平"
老证，临河观景，视野辽阔，采光好，拎包入住！,绿都枫景上东 -宝龙,2室1厅 | 81平米 | 南 | 简装 | 高楼层(共18层)  | 板塔结合,4人关注 / 一年前发布,66,"8,149元/平"
一室公寓精装修，拎包入住，好楼层视野好,伟业中央公园 -伟业,1室1厅 | 46.02平米 | 南 | 精装 | 中楼层(共26层)  | 塔楼,1人关注 / 一年前发布,33,"7,171元/平"
逸品紫晶南向两居室简单装修老证看房随时钥匙,华瑞逸品紫晶 -理想城,2室1厅 | 85.1平米 | 南 | 简装 | 高楼层(共18层)  | 板塔结合,0人关注 / 2个月以前发布,71,"8,344元/平"
新迪小区 1室1厅 南 北,新迪小区 -新乡站,1室1厅 | 39.52平米 | 南 北 | 简装 | 中楼层(共6层)  | 板楼,6人关注 / 一年前发布,10.8,"2,733元/平"
视野开阔   通风采光效果好  没有干扰,温莎城堡 -柳青路,2室1厅 | 82.07平米 | 南 | 毛坯 | 高楼层(共33层)  | 板塔结合,0人关注 / 6个月以前发布,55,"6,702元/平"
恒大雅苑 3室2厅 南,恒大雅苑 -恒大,3室2厅 | 144.5平米 | 南 | 精装 | 中楼层(共27层)  | 板楼,0人关注 / 10天以前发布,102.8,"7,115元/平"
蓝葆湾精装修电梯四房，南北通透，采光好通风好，老证,蓝葆湾 -柳青路,4室2厅 | 134平米 | 南 北 | 精装 | 高楼层(共25层)  | 板楼,1人关注 / 8天以前发布,110,"8,209元/平"
东区育才明德东方家园精装三室可直接入住,东方家园 -理想城,3室2厅 | 141平米 | 南 北 | 精装 | 低楼层(共17层)  | 板楼,8人关注 / 4个月以前发布,137,"9,717元/平"
华鼎世家 精装 领包入住  胖东来 宝龙 万达 十中渐德,新乡华鼎世家 -汽车东站,3室2厅 | 114.73平米 | 北 南 | 精装 | 低楼层(共33层)  | 板楼,0人关注 / 1个月以前发布,82,"7,148元/平"
东区品质小区 紫钰 电梯中层 老证 中装 配套齐全,诚城紫钰 -大学城,3室2厅 | 111平米 | 南 北 | 简装 | 低楼层(共33层)  | 板塔结合,4人关注 / 4个月以前发布,94.5,"8,514元/平"
此房满五唯一，精装修，两卧朝南，南北直通,建业绿色家园 -橄榄城,3室2厅 | 147.23平米 | 南 北 | 精装 | 高楼层(共11层)  | 板楼,5人关注 / 11个月以前发布,113,"7,676元/平"
老证，步梯3层，带固定车位，带十几平地下室,馨景家园 -新建街,2室2厅 | 85.29平米 | 南 | 精装 | 中楼层(共6层)  | 板楼,7人关注 / 6个月以前发布,55,"6,449元/平"
房龄新 小区环境好 楼层好 户型方正 价钱便宜,太阳城巴黎左岸 -二中,4室2厅 | 123.33平米 | 南 北 | 简装 | 低楼层(共18层)  | 板塔结合,42人关注 / 一年前发布,77,"6,244元/平"
美丽星城  电梯洋房   中层 南北通透 看房方便,美丽星城 -恒大,3室2厅 | 126平米 | 南 北 | 精装 | 低楼层(共11层)  | 板塔结合,0人关注 / 2个月以前发布,81,"6,429元/平"
强力推荐急急急业主急卖急卖看房方便全明户型,绿都城 -柳青路,3室2厅 | 89.9平米 | 南 北 | 简装 | 中楼层(共6层)  | 板楼,0人关注 / 1个月以前发布,65,"7,231元/平"
不到两年的精装修，房东很诚心，市政府旁经典户型,亿源·和谐城 -理想城,3室2厅 | 139.55平米 | 南 北 | 精装 | 低楼层(共18层)  | 板塔结合,1人关注 / 4个月以前发布,130,"9,316元/平"
四室两厅两卫全明复式，品牌家具家电,青青家园(红旗区) -橄榄城,4室2厅 | 130.06平米 | 南 | 精装 | 中楼层(共11层)  | 板楼,14人关注 / 一年前发布,98,"7,535元/平"
伟业南北小三房 精装双卫 中间楼层 满五唯一,伟业中央公园 -伟业,3室2厅 | 110.2平米 | 南 北 东北 | 精装 | 中楼层(共18层)  | 板楼,0人关注 / 1个月以前发布,99,"8,984元/平"
"此房子是老证，精装三室两厅两卫的，南北通户型方正,",丽水华庭 -橄榄城,3室2厅 | 134平米 | 南 北 | 简装 | 中楼层(共6层)  | 板楼,4人关注 / 4个月以前发布,79.8,"5,956元/平"
绿都城电梯的中层，全天采光，看房诚心出售,绿都城 -柳青路,3室2厅 | 98平米 | 南 | 简装 | 高楼层(共33层)  | 板塔结合,1人关注 / 5个月以前发布,67,"6,837元/平"
东站十字！国悦城！精装三室！电梯中层！房龄新！,国悦城 -汽车东站,3室2厅 | 116平米 | 南 北 | 精装 | 中楼层(共34层)  | 板塔结合,8人关注 / 6个月以前发布,104,"8,966元/平"
