标题,开发商,房子信息,发布信息,售价/万,单价
嘉荟新城东区精装122平拎包入住,嘉荟新城东区 -丹阳开发区商圈,3室1厅 | 122平米 | 南 | 精装 | 低楼层(共18层)  | 平房,1人关注 / 31天以前发布,89.8,"7,361元/平"
嘉荟新村开发区新房，总价低，生活方便,嘉荟新城东区 -丹阳开发区商圈,3室2厅 | 108平米 | 南 北 | 精装 | 中楼层(共11层)  | 暂无数据,0人关注 / 3个月以前发布,88.8,"8,223元/平"
金鼎城市花复式电梯房实际140平两房两卫拎包入住,金鼎城市花园 -丹阳开发区商圈,2室2厅 | 140平米 | 南 北 | 精装 | 高楼层(共7层)  | 板楼,6人关注 / 3个月以前发布,63.5,"4,536元/平"
恒大名都2-2-1-1 83.00m² 86.8 万,恒大名都 -丹阳城区商圈,2室2厅 | 83平米 | 南 北 | 精装 | 中楼层(共33层)  | 板楼,0人关注 / 2个月以前发布,79.8,"9,615元/平"
金宛新村此房满5年，户型好.楼层好,金宛新村 -丹阳城区商圈,2室1厅 | 74平米 | 南 | 精装 | 低楼层(共6层)  | 暂无数据,1人关注 / 3个月以前发布,53.8,"7,271元/平"
濱河鳳凰城2-2-1-1 94.40m² 119.8 万,濱河鳳凰城 -丹阳华南商圈,2室2厅 | 94.4平米 | 南 北 | 毛坯 | 高楼层(共11层)  | 板楼,0人关注 / 10天以前发布,119.8,"12,691元/平"
御珑湾3-2-1-2 126.98m² 142.8 万,御珑湾 -丹阳开发区商圈,3室2厅 | 126.98平米 | 南 | 精装 | 中楼层(共17层)  | 板楼,0人关注 / 26天以前发布,142.8,"11,246元/平"
华都锦城·幸福里 2室1厅 南,华都锦城·幸福里 -丹阳华南商圈,2室1厅 | 89.97平米 | 南 | 毛坯 | 低楼层(共34层)  | 板楼,0人关注 / 22天以前发布,99.6,"11,071元/平"
丹桂园北区 5楼3室2卫 双阳台135平有独库,丹桂园 -丹阳城区商圈,3室2厅 | 135.53平米 | 南 北 | 简装 | 高楼层(共5层)  | 板楼,2人关注 / 7个月以前发布,82,"6,051元/平"
嘉园首付267.8平 采光好 视野好 户型好 楼层好满两年,嘉源首府（丹阳市） -丹阳开发区商圈,5室2厅 | 267.8平米 | 南 | 毛坯 | 高楼层(共32层)  | 板楼,4人关注 / 一年前发布,229,"8,552元/平"
国骅天波 7室3厅 南,国骅天波 -丹阳开发区商圈,7室3厅 | 198.89平米 | 南 | 毛坯 | 高楼层(共21层)  | 塔楼,1人关注 / 4个月以前发布,208.8,"10,499元/平"
吾悦华府公馆3-2-1-2 115.96m² 143.8 万,吾悦华府公馆 -丹阳开发区商圈,3室2厅 | 115.96平米 | 南 | 精装 | 低楼层(共34层)  | 板楼,0人关注 / 4个月以前发布,136.8,"11,798元/平"
急急急 华都锦城 全新毛坯 三室两卫127.8万 满二,华都锦城 -丹阳华南商圈,3室2厅 | 119.51平米 | 南 | 毛坯 | 高楼层(共30层)  | 板楼,0人关注 / 1个月以前发布,126.8,"10,610元/平"
高新区旁，凤熹台3房2厅2卫，毛坯115.8万,凤熹台 -丹阳华南商圈,3室2厅 | 125平米 | 南 | 毛坯 | 高楼层(共27层)  | 暂无数据,0人关注 / 1个月以前发布,115.8,"9,264元/平"
万善上苑 楼层好 全天采光127平 全新毛坯 双阳台满二,万善上院 -丹阳华南商圈,3室2厅 | 127平米 | 南 北 | 毛坯 | 高楼层(共33层)  | 暂无数据,0人关注 / 24天以前发布,139.8,"11,008元/平"
御珑湾140.5平 楼层好 采光好,御珑湾 -丹阳开发区商圈,4室2厅 | 140.5平米 | 南 | 毛坯 | 低楼层(共11层)  | 板楼,1人关注 / 31天以前发布,144.8,"10,307元/平"
万善上院 3室2厅 南,万善上院 -丹阳华南商圈,3室2厅 | 148平米 | 南 | 毛坯 | 低楼层(共33层)  | 暂无数据,0人关注 / 26天以前发布,145,"9,798元/平"
房东诚心出售，地段佳127平3房2卫,万善上院 -丹阳华南商圈,3室2厅 | 127.41平米 | 南 | 毛坯 | 低楼层(共33层)  | 暂无数据,0人关注 / 29天以前发布,127,"9,968元/平"
"上善雅苑，高层非顶，98平，3室2厅,满两年",上善雅苑 -丹阳华南商圈,3室2厅 | 98平米 | 南 | 简装 | 高楼层(共29层)  | 暂无数据,0人关注 / 1个月以前发布,89.8,"9,164元/平"
嘉荟新城 精装修 102平75.8万 3室 急售 急售 急售,嘉荟新城东区 -丹阳开发区商圈,3室2厅 | 102平米 | 南 | 精装 | 低楼层(共18层)  | 平房,1人关注 / 19天以前发布,75.8,"7,432元/平"
凤熹台  125平3室2厅2卫，精装修，133.8万,凤熹台 -丹阳华南商圈,3室2厅 | 125平米 | 南 | 其他 | 中楼层(共27层)  | 暂无数据,0人关注 / 23天以前发布,135.8,"10,864元/平"
恒大城103平 精装修 家具家电齐全 楼层 采光好 户型好,恒大城 -丹阳开发区商圈,3室2厅 | 103平米 | 南 | 精装 | 低楼层(共33层)  | 板楼,0人关注 / 21天以前发布,88.8,"8,622元/平"
电梯房 中间楼层 全天都有光照 大面积,紫竹园 -丹阳华南商圈,4室1厅 | 165.5平米 | 南 北 | 毛坯 | 高楼层(共33层)  | 板楼,0人关注 / 一年前发布,166.8,"10,079元/平"
华都幸福里 精装修两室 90平只要103.8万 满二采光好,华都锦城·幸福里 -丹阳华南商圈,2室2厅 | 90平米 | 南 北 | 精装 | 低楼层(共34层)  | 板楼,0人关注 / 6天以前发布,105.8,"11,756元/平"
中南一期洋房 楼栋位置好128平  四室 前后双阳台满二,中南君悦府 -丹阳华南商圈,4室2厅 | 128平米 | 南 | 毛坯 | 中楼层(共8层)  | 暂无数据,0人关注 / 10天以前发布,185.8,"14,516元/平"
众悦华城 107平 精装 三房一卫 楼层采光好 保养如新,众悦华城 -丹阳开发区商圈,3室2厅 | 107.55平米 | 南 北 | 精装 | 高楼层(共26层)  | 板楼,0人关注 / 6个月以前发布,99.8,"9,280元/平"
万善上院 127平 婚装 房东诚心出售,万善上院 -丹阳华南商圈,3室2厅 | 120.61平米 | 南 | 精装 | 高楼层(共28层)  | 暂无数据,0人关注 / 2个月以前发布,145.8,"12,089元/平"
物业好，口碑好，小区环境优美，生活购物方便,江南人家 -丹阳城区商圈,3室2厅 | 129.8平米 | 南 北 | 精装 | 中楼层(共6层)  | 板楼,11人关注 / 一年前发布,106.8,"8,229元/平"
大3居采光好，出行方便，配套设施齐全,昆仑华府 -丹阳华南商圈,3室2厅 | 119.79平米 | 南 北 | 毛坯 | 中楼层(共32层)  | 板楼,6人关注 / 一年前发布,98,"8,181元/平"
此房满五唯一 房屋格局好 东西朝向 无遮挡 采光好,城河路 -丹阳城区商圈,3室2厅 | 103.26平米 | 南 北 | 精装 | 中楼层(共5层)  | 板楼,0人关注 / 一年前发布,93.8,"9,084元/平"
金鼎城市花园 精装2房 诚心出售,金鼎城市花园 -丹阳开发区商圈,2室2厅 | 102.38平米 | 南 | 精装 | 高楼层(共6层)  | 暂无数据,3人关注 / 7个月以前发布,75.8,"7,404元/平"
楼层好 位置没有其次 精装南区诚心出售 价格好说,丹阳碧桂园 -丹阳华南商圈,3室2厅 | 121.75平米 | 南 | 精装 | 高楼层(共29层)  | 板楼,0人关注 / 8个月以前发布,136.8,"11,237元/平"
中间户，楼层佳 两房全新精装未入住适合当婚房,华都锦城·幸福里 -丹阳华南商圈,2室2厅 | 89.97平米 | 南 | 精装 | 低楼层(共34层)  | 板楼,0人关注 / 5个月以前发布,113,"12,560元/平"
华都锦城 前排108平 精装3室 124.8万,华都锦城 -丹阳华南商圈,3室2厅 | 108.22平米 | 南 | 精装 | 低楼层(共30层)  | 板楼,0人关注 / 2个月以前发布,121.8,"11,255元/平"
锦轩华庭 电梯精装10楼 一梯两户  三房两卫  全天采光,锦轩华庭 -丹阳华南商圈,3室2厅 | 128.9平米 | 南 北 | 精装 | 高楼层(共12层)  | 板楼,4人关注 / 一年前发布,119.8,"9,295元/平"
吾悦华府172.84平 四室两厅两卫  有地暖 满两年,吾悦华府 -丹阳开发区商圈,4室1厅 | 172.84平米 | 南 北 | 精装 | 低楼层(共19层)  | 板楼,0人关注 / 5个月以前发布,199.8,"11,560元/平"
南北通透的格局，通风好，屋子里空气更好流通,華南新村 -丹阳华南商圈,3室1厅 | 85.52平米 | 南 北 | 精装 | 高楼层(共6层)  | 暂无数据,5人关注 / 一年前发布,63,"7,367元/平"
金鼎城市花园129平全屋欧派装修,金鼎城市花园 -丹阳开发区商圈,3室2厅 | 129.64平米 | 南 | 精装 | 低楼层(共27层)  | 板楼,1人关注 / 7个月以前发布,128.5,"9,913元/平"
恒大城 103平 精装修 高楼层  采光好 户型好,恒大城 -丹阳开发区商圈,3室2厅 | 103.66平米 | 南 | 精装 | 高楼层(共33层)  | 板楼,27人关注 / 一年前发布,88,"8,490元/平"
房东急售 众悦华城 15楼 130㎡ 三室两厅一卫 全天采光,众悦华城 -丹阳开发区商圈,3室2厅 | 130.69平米 | 南 北 | 精装 | 高楼层(共18层)  | 板楼,0人关注 / 2个月以前发布,95.8,"7,331元/平"
南北通透，全明户型 ， 全天采光。,香草新村 -丹阳城区商圈,3室2厅 | 92.7平米 | 南 北 | 精装 | 高楼层(共6层)  | 板楼,4人关注 / 一年前发布,63.5,"6,851元/平"
华都锦城 中层 98平 两室 精装 满二 112.8万,华都锦城 -丹阳华南商圈,2室2厅 | 97.36平米 | 南 | 精装 | 中楼层(共28层)  | 板楼,0人关注 / 2个月以前发布,112.8,"11,586元/平"
美亚华悦 精装三房 全天采光 楼层好房东诚心出售,美亚华悦 -丹阳开发区商圈,3室2厅 | 118.67平米 | 南 | 精装 | 高楼层(共29层)  | 板塔结合,3人关注 / 11个月以前发布,123.8,"10,433元/平"
丹凤国际 精装2居室 楼层好 采光好,丹鳳國际 -丹阳华南商圈,2室1厅 | 89.33平米 | 南 | 精装 | 高楼层(共18层)  | 板楼,0人关注 / 5天以前发布,105,"11,755元/平"
房东急售汇金天地 142平3开间朝南户型  153万满2,汇金天地 -丹阳开发区商圈,3室1厅 | 142平米 | 南 | 毛坯 | 中楼层(共34层)  | 暂无数据,0人关注 / 7天以前发布,153.8,"10,831元/平"
恒大名都4-2-1-3 276.00m² 238.8 万,恒大名都 -丹阳城区商圈,4室2厅 | 276平米 | 南 | 精装 | 中楼层(共30层)  | 板楼,1人关注 / 12天以前发布,238.8,"8,653元/平"
品质小区，绿化面积达，楼间距大，视野好，采光好。,江南人家 -丹阳城区商圈,4室2厅 | 162平米 | 南 北 | 精装 | 高楼层(共6层)  | 板楼,4人关注 / 一年前发布,99,"6,112元/平"
恒大名都165.31平 精装修 楼层好 户型好,恒大名都 -丹阳城区商圈,4室2厅 | 165.31平米 | 南 北 | 精装 | 高楼层(共33层)  | 板楼,1人关注 / 5个月以前发布,136,"8,227元/平"
恒大名都282.68平 精装修 楼层好 采光好 视野好,恒大名都 -丹阳城区商圈,5室3厅 | 282.68平米 | 南 北 | 精装 | 中楼层(共27层)  | 板楼,5人关注 / 8个月以前发布,218.8,"7,741元/平"
光线充足 凤熹台 153平  全新毛坯 四室 满二,凤熹台 -丹阳华南商圈,4室2厅 | 153平米 | 南 | 毛坯 | 中楼层(共27层)  | 暂无数据,0人关注 / 26天以前发布,139.8,"9,138元/平"
普善人家多层4楼层三室一卫独立车库,普善人家 -丹阳城区商圈,3室2厅 | 102平米 | 南 | 毛坯 | 中楼层(共6层)  | 平房,0人关注 / 1个月以前发布,78.8,"7,726元/平"
新新家园 中层 采光好 位置好 价格可谈,新新家園 -丹阳华南商圈,3室2厅 | 95平米 | 南 | 精装 | 中楼层(共7层)  | 板楼,0人关注 / 1个月以前发布,83.8,"8,822元/平"
汇金天地 3室2厅 南,汇金天地 -丹阳开发区商圈,3室2厅 | 120平米 | 南 | 毛坯 | 低楼层(共34层)  | 暂无数据,0人关注 / 24天以前发布,139.8,"11,650元/平"
幸福小区3-2-1-1 97.00m² 68.8 万,幸福小区 -丹阳开发区商圈,3室2厅 | 97平米 | 南 | 精装 | 中楼层(共6层)  | 暂无数据,0人关注 / 22天以前发布,68.8,"7,093元/平"
汇金天地127.8平 低楼层 采光好 户型好,汇金天地 -丹阳开发区商圈,3室2厅 | 127.8平米 | 南 | 毛坯 | 高楼层(共27层)  | 板楼,0人关注 / 23天以前发布,136.8,"10,705元/平"
万善上院 3室2厅 南,万善上院 -丹阳华南商圈,3室2厅 | 126平米 | 南 | 毛坯 | 高楼层(共25层)  | 暂无数据,0人关注 / 1个月以前发布,129,"10,239元/平"
天福花园 2室2厅 南,天福花园 -丹阳开发区商圈,2室2厅 | 83平米 | 南 | 精装 | 高楼层(共6层)  | 板楼,0人关注 / 19天以前发布,66,"7,952元/平"
嘉荟新城东区2-2-1-1 毛坯价有钥匙,嘉荟新城东区 -丹阳开发区商圈,2室2厅 | 93平米 | 南 | 简装 | 高楼层(共11层)  | 平房,1人关注 / 28天以前发布,56.8,"6,108元/平"
急售万善上苑 全新毛坯103平 满二 中层只要113.8万,万善上院 -丹阳华南商圈,3室2厅 | 103平米 | 南 | 毛坯 | 中楼层(共33层)  | 暂无数据,0人关注 / 18天以前发布,113.8,"11,049元/平"
中间户 ，楼层佳 ， 3房户型，采光充足，视野佳,华都锦城·幸福里 -丹阳华南商圈,3室1厅 | 105.7平米 | 南 | 毛坯 | 高楼层(共34层)  | 暂无数据,0人关注 / 19天以前发布,119.8,"11,334元/平"
天怡南郡4房2厅2卫，毛坯，洋房户型。,天怡·南郡 -丹阳华南商圈,4室2厅 | 130.97平米 | 南 | 毛坯 | 中楼层(共11层)  | 暂无数据,0人关注 / 19天以前发布,133.8,"10,217元/平"
精准拎包入住 品质装修 丹阳碧桂园高楼层采光好,丹阳碧桂园 -丹阳华南商圈,2室2厅 | 88平米 | 南 | 精装 | 高楼层(共27层)  | 板楼,0人关注 / 19天以前发布,93.8,"10,660元/平"
練湖新城 3室1厅 南 北,練湖新城 -丹阳城区商圈,3室1厅 | 131.72平米 | 南 北 | 毛坯 | 高楼层(共20层)  | 板楼,0人关注 / 3个月以前发布,99.8,"7,577元/平"
熙悦城4室2厅1厨2卫136平,熙悦城 -丹阳华南商圈,4室2厅 | 136.25平米 | 南 | 毛坯 | 高楼层(共11层)  | 板楼,3人关注 / 一年前发布,149.8,"10,995元/平"
房东置换诚心出售，家里装修保持的不错，拎包入住,華南新村 -丹阳华南商圈,3室2厅 | 99平米 | 南 北 | 精装 | 高楼层(共6层)  | 暂无数据,11人关注 / 一年前发布,74.5,"7,526元/平"
华都锦城幸福里  127平  3室2厅2卫,华都锦城·幸福里 -丹阳华南商圈,3室2厅 | 127平米 | 南 | 毛坯 | 中楼层(共34层)  | 暂无数据,0人关注 / 12天以前发布,133.8,"10,536元/平"
天波城 精装修 两房 拎包入住 配套齐全,国骅天波 -丹阳开发区商圈,2室2厅 | 87.75平米 | 南 | 简装 | 低楼层(共9层)  | 塔楼,0人关注 / 1个月以前发布,96.8,"11,032元/平"
华南 华都锦城 大两室 格局好 简单装修 只要103.8万,华都锦城 -丹阳华南商圈,2室2厅 | 97平米 | 南 | 简装 | 低楼层(共28层)  | 板楼,0人关注 / 1个月以前发布,103.8,"10,702元/平"
欧洲城，154平，4室2厅2卫，二胎家庭的选择,欧洲城 -丹阳华南商圈,4室2厅 | 154平米 | 南 | 毛坯 | 高楼层(共27层)  | 暂无数据,0人关注 / 1个月以前发布,135.8,"8,819元/平"
恒大名都3-2-1-2 141.00m² 145.8 万,恒大名都 -丹阳城区商圈,3室2厅 | 141平米 | 南 北 | 精装 | 高楼层(共29层)  | 板塔结合,1人关注 / 1个月以前发布,125.8,"8,922元/平"
吾悦华府123平3房两厅两卫售价135万,吾悦华府 -丹阳开发区商圈,3室2厅 | 122.32平米 | 南 | 精装 | 中楼层(共34层)  | 板楼,0人关注 / 31天以前发布,135,"11,037元/平"
全新精装，全屋定制家具，视野宽阔，采光充足,上善雅苑 -丹阳华南商圈,3室2厅 | 122平米 | 南 | 精装 | 高楼层(共29层)  | 暂无数据,1人关注 / 22天以前发布,118.6,"9,722元/平"
江南人家3室2卫婚装独库设全采光佳户型好112.8万,江南人家 -丹阳城区商圈,3室2厅 | 120平米 | 南 | 精装 | 中楼层(共6层)  | 暂无数据,2人关注 / 1个月以前发布,106.8,"8,900元/平"
世纪豪都 4室2厅 南 北,世纪豪都 -丹阳城区商圈,4室2厅 | 249.01平米 | 南 北 | 精装 | 中楼层(共4层)  | 板楼,6人关注 / 11个月以前发布,288,"11,566元/平"
上善雅苑 高层 三开间朝南 112平 只要106.8万满二,上善雅苑 -丹阳华南商圈,3室2厅 | 112.74平米 | 南 北 | 毛坯 | 高楼层(共33层)  | 板楼,0人关注 / 6天以前发布,106.8,"9,474元/平"
芳草苑 五楼 132平 三室两卫 精装 满二 96.8万,芳草苑 -丹阳城区商圈,3室2厅 | 132平米 | 南 北 | 精装 | 高楼层(共6层)  | 板楼,0人关注 / 2天以前发布,96.8,"7,334元/平"
顶楼复式，房间多，采光好 户型通透,文化雅居 -丹阳城区商圈,5室2厅 | 147.75平米 | 南 北 | 简装 | 高楼层(共6层)  | 板楼,2人关注 / 一年前发布,94,"6,363元/平"
恒大名都湖景房，此房房东诚心出售，满二,恒大名都 -丹阳城区商圈,3室2厅 | 110.93平米 | 南 | 精装 | 中楼层(共33层)  | 板楼,1人关注 / 10个月以前发布,110,"9,917元/平"
碧桂园全新精装公寓设施齐全，好楼层入手即可出租,丹阳碧桂园 -丹阳华南商圈,1室1厅 | 47.46平米 | 南 | 精装 | 高楼层(共27层)  | 板楼,5人关注 / 一年前发布,43,"9,061元/平"
荣城国际中高楼层 精装修2年 2室1厅59.2平,荣城国际 -丹阳城区商圈,2室1厅 | 59.22平米 | 南 | 精装 | 高楼层(共34层)  | 板楼,0人关注 / 6个月以前发布,78.8,"13,307元/平"
恒大名都3-2-1-2 135.00m² 139.5 万,恒大名都 -丹阳城区商圈,3室2厅 | 135平米 | 南 | 精装 | 低楼层(共29层)  | 板塔结合,0人关注 / 16天以前发布,138.8,"10,282元/平"
中南君悦府 中层 三室两卫 双阳台 新精装 满二160.8万,中南君悦府 -丹阳华南商圈,3室2厅 | 118平米 | 南 | 精装 | 中楼层(共34层)  | 暂无数据,0人关注 / 11天以前发布,160.8,"13,628元/平"
丹金人家，小高层97平，3室2厅，88.8万,丹金人家 -丹阳华南商圈,2室2厅 | 97平米 | 南 | 精装 | 高楼层(共18层)  | 板楼,0人关注 / 12天以前发布,88.8,"9,155元/平"
江南人家 3室2厅 南 北,江南人家 -丹阳城区商圈,3室2厅 | 120.31平米 | 南 北 | 精装 | 中楼层(共6层)  | 暂无数据,0人关注 / 9天以前发布,110,"9,144元/平"
1楼带院子天波城133平3房2厅2卫毛坯,国骅天波 -丹阳开发区商圈,3室1厅 | 133平米 | 南 | 毛坯 | 低楼层(共11层)  | 板塔结合,0人关注 / 14天以前发布,158.8,"11,940元/平"
恒大名都141平 精装修 楼层好 采光好 户型好,恒大名都 -丹阳城区商圈,3室2厅 | 141.48平米 | 南 | 精装 | 低楼层(共29层)  | 板塔结合,0人关注 / 6个月以前发布,151.8,"10,730元/平"
楼层好视野开阔，无遮挡，采光好,锦尚名都 -丹阳华南商圈,3室2厅 | 144.95平米 | 南 北 | 精装 | 中楼层(共11层)  | 板楼,0人关注 / 一年前发布,153.8,"10,611元/平"
金桥·世纪城3-2-1-2 125.00m² 满五唯一98.8 万,金桥·世纪城 -丹阳开发区商圈,3室2厅 | 125.27平米 | 南 | 精装 | 低楼层(共18层)  | 板楼,0人关注 / 一年前发布,98.7,"7,879元/平"
华都锦城 2室2厅 南,华都锦城 -丹阳华南商圈,2室2厅 | 100.81平米 | 南 | 精装 | 低楼层(共33层)  | 板楼,1人关注 / 2个月以前发布,103.8,"10,297元/平"
新家园中高层 138平 采光好 地段佳,新家园(丹阳市) -丹阳城区商圈,3室2厅 | 138.01平米 | 南 北 | 精装 | 中楼层(共7层)  | 板楼,1人关注 / 11个月以前发布,86.8,"6,290元/平"
御河熙岸 幸福家 180.9平 五室两厅三卫 采光好 户型好,御河熙岸·幸福家 -丹阳开发区商圈,5室2厅 | 180.9平米 | 南 | 简装 | 高楼层(共11层)  | 板楼,1人关注 / 一年前发布,139.8,"7,729元/平"
国骅天波5-3-1-4 254.47m² 222 万,国骅天波 -丹阳开发区商圈,5室3厅 | 254.47平米 | 南 | 毛坯 | 低楼层(共2层)  | 板塔结合,8人关注 / 一年前发布,218,"8,567元/平"
国骅天波 3室2厅 南,国骅天波 -丹阳开发区商圈,3室2厅 | 142.41平米 | 南 | 毛坯 | 高楼层(共18层)  | 板塔结合,0人关注 / 4个月以前发布,161.8,"11,362元/平"
国骅天波 3室2厅 南,国骅天波 -丹阳开发区商圈,3室2厅 | 108平米 | 南 | 精装 | 中楼层(共6层)  | 板塔结合,1人关注 / 4个月以前发布,95.8,"8,871元/平"
中南君悦府 洋房 123平 毛坯4房 139.8万,中南君悦府 -丹阳华南商圈,4室2厅 | 123平米 | 南 | 毛坯 | 低楼层(共11层)  | 暂无数据,1人关注 / 4个月以前发布,139.8,"11,366元/平"
城市大盘 天然氧吧 恒大名都中低楼层276平,恒大名都 -丹阳城区商圈,5室2厅 | 276.02平米 | 南 北 | 毛坯 | 低楼层(共28层)  | 板塔结合,0人关注 / 一年前发布,220,"7,971元/平"
恒大名都 165平 精装修 品牌定制家居 未入住 中间楼层,恒大名都 -丹阳城区商圈,4室2厅 | 165平米 | 南 | 精装 | 高楼层(共33层)  | 板塔结合,0人关注 / 11个月以前发布,173.8,"10,534元/平"
房东急售 普善人家135平 中间楼层 135平4房2卫,普善人家 -丹阳城区商圈,3室2厅 | 135平米 | 南 | 精装 | 中楼层(共6层)  | 平房,1人关注 / 6个月以前发布,96.8,"7,171元/平"
吾悦旁 农行小区147.37平 4房大平层 房东诚心售,农行小区 -丹阳城区商圈,4室2厅 | 147.37平米 | 南 | 简装 | 高楼层(共6层)  | 暂无数据,2人关注 / 8个月以前发布,79.8,"5,415元/平"
恒大名都17楼4室2厅2卫277平246.8万,恒大名都 -丹阳城区商圈,4室2厅 | 276.87平米 | 南 | 精装 | 中楼层(共27层)  | 板楼,1人关注 / 一年前发布,246,"8,886元/平"
恒大名都166平 精装修 中高层 满两年 有钥匙,恒大名都 -丹阳城区商圈,4室2厅 | 166平米 | 南 | 精装 | 高楼层(共33层)  | 板塔结合,1人关注 / 11个月以前发布,156.8,"9,446元/平"
御珑湾3-2-1-1 133.00m² 142.8 万,御珑湾 -丹阳开发区商圈,3室2厅 | 133平米 | 南 | 毛坯 | 低楼层(共15层)  | 板楼,1人关注 / 4个月以前发布,139.8,"10,512元/平"
恒大名都4-2-1-2 165.00m² 156.8 万满二,恒大名都 -丹阳城区商圈,4室2厅 | 165平米 | 南 | 精装 | 高楼层(共33层)  | 板塔结合,0人关注 / 4个月以前发布,156.8,"9,504元/平"
吾悦总高18层，两梯两户，南北通透，仓光无遮挡,吾悦华府公馆 -丹阳开发区商圈,4室2厅 | 187平米 | 南 北 | 毛坯 | 低楼层(共18层)  | 板楼,5人关注 / 一年前发布,185.8,"9,936元/平"
此房为凤熹台四室毛坯，户型好，大阳台。,凤熹台 -丹阳华南商圈,4室2厅 | 143平米 | 南 | 毛坯 | 中楼层(共18层)  | 板楼,0人关注 / 3个月以前发布,143,"10,000元/平"
国骅天波 3室2厅 南,国骅天波 -丹阳开发区商圈,3室2厅 | 118平米 | 南 | 精装 | 低楼层(共21层)  | 塔楼,0人关注 / 4个月以前发布,136.8,"11,594元/平"
业主精心装修，诚心出售，位置好，采光好,华都锦城·幸福里 -丹阳华南商圈,4室2厅 | 190平米 | 南 | 毛坯 | 中楼层(共25层)  | 暂无数据,1人关注 / 7个月以前发布,198,"10,422元/平"
紫竹园  三室两厅一卫  房东精装婚房,紫竹园 -丹阳华南商圈,3室2厅 | 125平米 | 西 | 精装 | 中楼层(共17层)  | 板楼,0人关注 / 2个月以前发布,124,"9,920元/平"
